"company","file_no","opened","closed","coverage","subcoverage","reason","subreason","disposition","conclusion","recovery","status"
"Cigna Health and Life Insurance Company","7003688","2020-09-11T00:00:00.000","2020-09-28T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7002884","2020-07-20T00:00:00.000","2020-08-05T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Claim Settled","Justified","121.92","Closed"
"Cigna Health and Life Insurance Company","7004899","2020-11-04T00:00:00.000","2020-11-23T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7004110","2020-10-13T00:00:00.000","2020-10-28T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7004164","2020-09-17T00:00:00.000","2020-10-20T00:00:00.000","Group","Health Only","Claim Handling","Delays","Claim Settled","Furnished Information","945.00","Closed"
"Cigna Health and Life Insurance Company","7000782","2020-02-26T00:00:00.000","2020-03-30T00:00:00.000","Group","Health Only","Claim Handling","Delays","Claim Settled","Justified","50.00","Closed"
"Cigna Health and Life Insurance Company","7003026","2020-07-28T00:00:00.000","2020-08-12T00:00:00.000","Individual","Dental","Claim Handling","Eligibility of Provider","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7003031","2020-07-28T00:00:00.000","2020-08-26T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer","Claim Settled","Justified","1020.28","Closed"
"Cigna Health and Life Insurance Company","7001236","2020-03-25T00:00:00.000","2020-04-07T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7004459","2020-11-02T00:00:00.000","2020-12-09T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","Underwriting","No Subreason","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7004291","2020-10-21T00:00:00.000","2020-11-05T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7002408","2020-06-10T00:00:00.000","2020-06-10T00:00:00.000","Group","Health Only","Claim Handling","UR Case Management","No Jurisdiction","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7001141","2020-03-19T00:00:00.000","2020-03-23T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7001141","2020-03-19T00:00:00.000","2020-03-23T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider",,"Satisfactory Explanation","0.00","Closed"
"Cigna Health and Life Insurance Company","7002686","2020-07-02T00:00:00.000","2020-07-17T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7002635","2020-06-30T00:00:00.000","2020-07-20T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Claim Settled","Voluntary Reconsideration","305.50","Closed"
"Cigna Health and Life Insurance Company","7003541","2020-08-28T00:00:00.000","2020-09-08T00:00:00.000","Group","Pharmacy Benefits","Claim Handling","Claim Procedure","Insufficient Information","No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7003573","2020-09-02T00:00:00.000","2020-09-08T00:00:00.000","Group","Disability Income","Claim Handling","Delays","Claim Settled","Furnished Information","5546.58","Closed"
"Cigna Health and Life Insurance Company","7003362","2020-08-20T00:00:00.000","2020-09-04T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Delays/No Response","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7003370","2020-08-20T00:00:00.000","2020-09-03T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7003436","2020-07-29T00:00:00.000","2020-08-31T00:00:00.000","Group","Dental","Claim Handling","Unsatisfactory Settlement/Offer",,"Furnished Information","20.00","Closed"
"Cigna Health and Life Insurance Company","7003436","2020-07-29T00:00:00.000","2020-08-31T00:00:00.000","Group","Dental","Claim Handling","Unsatisfactory Settlement/Offer",,"Corrective Action","20.00","Closed"
"Cigna Health and Life Insurance Company","7001645","2020-03-25T00:00:00.000","2020-03-25T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7001645","2020-03-25T00:00:00.000","2020-03-25T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Coverage Granted","0.00","Closed"
"Cigna Health and Life Insurance Company","7004657","2020-11-16T00:00:00.000","2021-01-07T00:00:00.000","Individual","Dental","Claim Handling","Eligibility of Provider","Claim Settled","Voluntary Reconsideration","213.60","Closed"
"Cigna Health and Life Insurance Company","7003518","2020-08-26T00:00:00.000","2020-09-15T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7000002","2020-01-08T00:00:00.000","2020-01-28T00:00:00.000","Individual","Long Term Care","PolicyHolder Service","Delays/No Response","Claim Settled","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7000132","2020-01-16T00:00:00.000","2020-02-13T00:00:00.000","Individual","Dental","Claim Handling","Claim Procedure","Claim Settled","Justified","98.00","Closed"
"Cigna Health and Life Insurance Company","7010668","2021-04-30T00:00:00.000","2021-06-02T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Compromised Settlement/Resolution","Justified","1375.20","Closed"
"Cigna Health and Life Insurance Company","7010574","2021-08-06T00:00:00.000","2021-09-07T00:00:00.000","A & H",,"Claim Handling","Denial of Claim","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010632","2021-04-28T00:00:00.000","2021-06-04T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","893.80","Closed"
"Cigna Health and Life Insurance Company","7010632","2021-04-28T00:00:00.000","2021-06-04T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Corrective Action","893.80","Closed"
"Cigna Health and Life Insurance Company","7010659","2021-04-30T00:00:00.000","2021-05-25T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7000332","2020-01-29T00:00:00.000","2020-02-13T00:00:00.000","Individual","Dental","Claim Handling","Delays","Claim Settled","Furnished Information","7190.63","Closed"
"Cigna Health and Life Insurance Company","7000491","2020-02-07T00:00:00.000","2020-02-21T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7011169","2021-03-08T00:00:00.000","2021-03-22T00:00:00.000","Group","Health Only","Claim Handling","Provider Availability","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010520","2021-06-08T00:00:00.000","2021-06-23T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010483","2021-06-07T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","887.34","Closed"
"Cigna Health and Life Insurance Company","7010483","2021-06-07T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","887.34","Closed"
"Cigna Health and Life Insurance Company","7010483","2021-06-07T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Claim Paid With Interest","887.34","Closed"
"Cigna Health and Life Insurance Company","7012136","2018-12-27T00:00:00.000","2019-01-10T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Insufficient Information","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010880","2021-06-10T00:00:00.000","2021-06-24T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","1564.00","Closed"
"Cigna Health and Life Insurance Company","7010880","2021-06-10T00:00:00.000","2021-06-24T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Corrective Action","1564.00","Closed"
"Cigna Health and Life Insurance Company","7011083","2021-06-15T00:00:00.000","2021-07-01T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010631","2021-04-28T00:00:00.000","2021-06-10T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Claim Settled","Justified","895.23","Closed"
"Cigna Health and Life Insurance Company","7000418","2020-02-04T00:00:00.000","2020-02-06T00:00:00.000","Individual","Dental","Claim Handling","Delays",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7000708","2020-02-24T00:00:00.000","2020-02-25T00:00:00.000","Individual","Medicare Supplement(Policies or Certs)","PolicyHolder Service","Delays/No Response",,"No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7011142","2021-07-13T00:00:00.000","2021-07-29T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Claim Settled","Justified","949.87","Closed"
"Cigna Health and Life Insurance Company","7010530","2021-08-04T00:00:00.000","2021-09-03T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Claim Settled","Furnished Information","1227.00","Closed"
"Cigna Health and Life Insurance Company","7011338","2021-01-22T00:00:00.000","2021-02-17T00:00:00.000","Individual","Dental","Claim Handling","Claim Procedure","Claim Settled","Justified","0.00","Closed"
"Cigna Health and Life Insurance Company","7011340","2021-01-22T00:00:00.000","2021-02-10T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Claim Settled","Justified","4500.00","Closed"
"Cigna Health and Life Insurance Company","7010873","2021-06-10T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","899.18","Closed"
"Cigna Health and Life Insurance Company","7010873","2021-06-10T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Claim Paid With Interest","899.18","Closed"
"Cigna Health and Life Insurance Company","7010874","2021-06-10T00:00:00.000","2021-06-22T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Contract Provision/Legal Issue","Justified","1005.78","Closed"
"Cigna Health and Life Insurance Company","7010875","2021-06-10T00:00:00.000","2021-06-24T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","1376.00","Closed"
"Cigna Health and Life Insurance Company","7010875","2021-06-10T00:00:00.000","2021-06-24T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Corrective Action","1376.00","Closed"
"Cigna Health and Life Insurance Company","7010877","2021-06-10T00:00:00.000","2021-07-01T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Claim Settled","Justified","1074.83","Closed"
"Cigna Health and Life Insurance Company","7011672","2021-06-25T00:00:00.000","2021-07-28T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7010326","2021-06-04T00:00:00.000","2021-07-07T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits","Claim Settled","Justified","1402.26","Closed"
"Cigna Health and Life Insurance Company","7010327","2021-06-04T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","482.13","Closed"
"Cigna Health and Life Insurance Company","7010327","2021-06-04T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Justified","482.13","Closed"
"Cigna Health and Life Insurance Company","7010327","2021-06-04T00:00:00.000","2021-06-30T00:00:00.000","Group","Health Only","Claim Handling","Out-of-Network Benefits",,"Claim Paid With Interest","482.13","Closed"
"Cigna Health and Life Insurance Company","7010331","2021-06-04T00:00:00.000","2021-07-07T00:00:00.000","Individual","Dental","Claim Handling","Delays","Claim Settled","Furnished Information","442.09","Closed"
"Cigna Health and Life Insurance Company","7010268","2021-04-23T00:00:00.000","2021-06-08T00:00:00.000","Individual","Dental","Claim Handling","Delays","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7006185","2021-10-08T00:00:00.000","2021-12-01T00:00:00.000","Group","Disability Income","Claim Handling","Denial of Claim","Company Position Substantiated",,"0.00","Closed"
"Cigna Health and Life Insurance Company","7005493","2021-01-14T00:00:00.000","2021-02-02T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7005497","2021-01-14T00:00:00.000","2021-04-16T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Claim Settled","Furnished Information","3962.00","Closed"
"Cigna Health and Life Insurance Company","7005202","2020-12-07T00:00:00.000","2020-12-14T00:00:00.000","Group","Disability Income","Claim Handling","Claim Procedure","Insufficient Information","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7005252","2020-11-30T00:00:00.000","2020-12-15T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7005334","2021-01-06T00:00:00.000","2021-01-25T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","Claim Settled","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7005093","2020-12-16T00:00:00.000","2021-01-27T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Claim Settled","Furnished Information","554.00","Closed"
"Cigna Health and Life Insurance Company","7005454","2021-01-13T00:00:00.000","2021-03-10T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer",,"Justified","1734.33","Closed"
"Cigna Health and Life Insurance Company","7005454","2021-01-13T00:00:00.000","2021-03-10T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer",,"Claim Paid With Interest","1734.33","Closed"
"Cigna Health and Life Insurance Company","7005487","2021-01-14T00:00:00.000","2021-02-05T00:00:00.000","Group","Health Only","Claim Handling","UR Contract Provision","No Action Requested/Required","Furnished Information","4968.00","Closed"
"Cigna Health and Life Insurance Company","7005529","2021-01-19T00:00:00.000","2021-02-04T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7005051","2020-12-14T00:00:00.000","2021-01-12T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Insufficient Information","No Action Necessary","0.00","Closed"
"Cigna Health and Life Insurance Company","7042660","2022-02-03T00:00:00.000","2022-04-11T00:00:00.000","A & H","A & H","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","320.00","Closed"
"Cigna Health and Life Insurance Company","7042660","2022-02-03T00:00:00.000","2022-04-11T00:00:00.000","Group","A & H","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","320.00","Closed"
"Cigna Health and Life Insurance Company","7042660","2022-02-03T00:00:00.000","2022-04-11T00:00:00.000","A & H","Dental","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","320.00","Closed"
"Cigna Health and Life Insurance Company","7042660","2022-02-03T00:00:00.000","2022-04-11T00:00:00.000","Group","Dental","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","320.00","Closed"
"Cigna Health and Life Insurance Company","7043420","2022-03-01T00:00:00.000","2022-04-04T00:00:00.000","Group","Dental","Claim Handling","Coordination of Benefit","Claim Settled","Claim Paid With Interest","0.00","Closed"
"Cigna Health and Life Insurance Company","7043420","2022-03-01T00:00:00.000","2022-04-04T00:00:00.000","Group","Dental","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid With Interest","0.00","Closed"
"Cigna Health and Life Insurance Company","7041662","2021-12-22T00:00:00.000","2021-12-30T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041344","2021-12-08T00:00:00.000","2022-01-12T00:00:00.000","A & H","Medicare","Underwriting","Cancellation",,"Premium Refund","504.78","Closed"
"Cigna Health and Life Insurance Company","7041344","2021-12-08T00:00:00.000","2022-01-12T00:00:00.000","Individual","Medicare","Underwriting","Cancellation",,"Premium Refund","504.78","Closed"
"Cigna Health and Life Insurance Company","7042563","2022-02-01T00:00:00.000","2022-02-24T00:00:00.000","Group","Dental","Claim Handling","Denial","Contract Provision/Legal Issue","Contract Provision","0.00","Closed"
"Cigna Health and Life Insurance Company","7042563","2022-02-01T00:00:00.000","2022-02-24T00:00:00.000","Group","Dental","Claim Handling","Denial of Claim","Contract Provision/Legal Issue","Contract Provision","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","A & H","A & H","Claim Handling","Provider Contract Issue","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","Group","A & H","Claim Handling","Provider Contract Issue","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","A & H","A & H","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","Group","A & H","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","A & H","Dental","Claim Handling","Provider Contract Issue","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","Group","Dental","Claim Handling","Provider Contract Issue","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","A & H","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042396","2022-01-25T00:00:00.000","2022-03-25T00:00:00.000","Group","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7041679","2021-12-23T00:00:00.000","2022-01-27T00:00:00.000","Group","Health Only","Claim Handling","Network Adequacy",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041679","2021-12-23T00:00:00.000","2022-01-27T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7041679","2021-12-23T00:00:00.000","2022-01-27T00:00:00.000","Group","Health Only","Claim Handling","Network Adequacy",,"Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7041679","2021-12-23T00:00:00.000","2022-01-27T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,"Company Position Upheld","0.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","A & H","A & H","Claim Handling","Claim Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","Group","A & H","Claim Handling","Claim Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","A & H","A & H","Claim Handling","Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","Group","A & H","Claim Handling","Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","A & H","Dental","Claim Handling","Claim Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","Group","Dental","Claim Handling","Claim Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","A & H","Dental","Claim Handling","Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7042560","2022-02-01T00:00:00.000","2022-03-02T00:00:00.000","Group","Dental","Claim Handling","Delays","Claim Settled","Claim Paid","12011.00","Closed"
"Cigna Health and Life Insurance Company","7041241","2021-12-02T00:00:00.000","2022-01-03T00:00:00.000","A & H","A & H","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","303.36","Closed"
"Cigna Health and Life Insurance Company","7041241","2021-12-02T00:00:00.000","2022-01-03T00:00:00.000","Group","A & H","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","303.36","Closed"
"Cigna Health and Life Insurance Company","7041241","2021-12-02T00:00:00.000","2022-01-03T00:00:00.000","A & H","Health Only","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","303.36","Closed"
"Cigna Health and Life Insurance Company","7041241","2021-12-02T00:00:00.000","2022-01-03T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Claim Settled","Claim Paid","303.36","Closed"
"Cigna Health and Life Insurance Company","7035448","2017-03-02T00:00:00.000","2018-08-13T00:00:00.000",,,,,,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","A & H","A & H","Claim Handling","Claim Delays","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","Group","A & H","Claim Handling","Claim Delays","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","A & H","A & H","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","Group","A & H","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","A & H","Dental","Claim Handling","Claim Delays","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","Group","Dental","Claim Handling","Claim Delays","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","A & H","Dental","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7041753","2021-12-29T00:00:00.000","2022-01-18T00:00:00.000","Group","Dental","Claim Handling","Coordination of Benefits","Claim Settled","Claim Paid","1181.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","A & H","A & H","Claim Handling","Medical Necessity",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","Group","A & H","Claim Handling","Medical Necessity",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","A & H","A & H","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","Group","A & H","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","A & H","Health Only","Claim Handling","Medical Necessity",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","Group","Health Only","Claim Handling","Medical Necessity",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","A & H","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7042381","2022-01-25T00:00:00.000","2022-03-17T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL",,,"0.00","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","A & H","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","A & H","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","A & H","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","A & H","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","Health Only","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","Health Only","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","Health Only","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","Self Funded/ERISA","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","Self Funded/ERISA","Claim Handling","Denial","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","A & H","Self Funded/ERISA","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7041310","2021-12-07T00:00:00.000","2022-02-16T00:00:00.000","Group","Self Funded/ERISA","Claim Handling","Denial of Claim","Claim Settled","Claim Paid","1904.84","Closed"
"Cigna Health and Life Insurance Company","7043492","2022-03-03T00:00:00.000","2022-04-12T00:00:00.000","A & H","A & H","Claim Handling","Denial of Claim",,,"0.00","Closed"
