"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"Crisis House
Focus","Transitional Shelter","1034 N. Magnolia Avenue","El Cajon","(619) 444-1194","Families","Homeless","Beds: 12
Max Stay: 6-12 Months ",,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
"Crisis House
Hotel Voucher","Hotel / Motel
Voucher Program","1034 N. Magnolia Avenue","El Cajon","(619) 444-9926","Families ","Homeless ;
Disabled ",,,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
"Crossroads Recovery Home","Transitional Shelter","3594 4th Avenue ","San Diego","(619) 296-1151","Adult Women","Substance Abuse Treatment","Beds: 22
Max Stay: 1 Year",,"3594 4th Avenue
San Diego, CA 92103
(32.743175, -117.161551)"
"C Street Inn","Single Room Occupancy
Hotels","636 C Street","San Diego","(619) 234-4165","Low Income",,,,"636 C Street
San Diego, CA 92101
(32.716756, -117.158728)"
"Cypress Cove Apts.","Affordable Housing","260 N. Midway Drive","Escondido","(760) 746-2000","Low Income",,"Units: 200
Bedrooms: 1-3",,"260 N. Midway Drive
Escondido, CA 92027
(33.135105, -117.050275)"
"Daybreak Grove Apts.","Affordable Housing","1256 E. Washington Avenue","Escondido","(760) 737-7692","Families",,"Units: 21
Bedrooms: 2-3",,"1256 E. Washington Avenue
Escondido, CA 92027
(33.133798, -117.066837)"
"Del Mar Apts.","Affordable Housing","2172 Front Street","San Diego","(619) 702-7481","Low Income",,"Units: 11
Bedrooms: 0-1",,"2172 Front Street
San Diego, CA 92101
(32.728, -117.164794)"
"Del Prado Apts.","Affordable Housing","3878 Beyer Blvd","San Ysidro","(619) 428-6003","Low Income","Section 8","Units: 59
Bedrooms: 1-3",,"3878 Beyer Blvd
San Ysidro, CA 92173
(32.559643, -117.050432)"
"Del Sol Apartments","Affordable Housing","3606 Del Sol Blvd","San Diego","(619) 428-4721","Low Income",,"Units: 118
Bedrooms: ",,"3606 Del Sol Blvd
San Diego, CA 92154
(32.573306, -117.056793)"
"Delta Manor","Affordable Housing","4245 Delta Street","San Diego","(619) 266-8395","Low Income",,"Units: 22
Bedrooms: 1-3",,"4245 Delta Street
San Diego, CA 92113
(32.688782, -117.102909)"
"De Luz Senior Apts.","Affordable Housing","420 N. Pico Avenue , #4","Fallbrook","(760) 723-1077","Elderly","Seniors 55+ ;
Disabled","Units: 2
Bedrooms: 1",,"420 N. Pico Avenue
Fallbrook, CA 92028
(33.385097, -117.252421)"
"Derby Terrace Apts.","Affordable Housing","14103 Old Camino Real, #7","San Diego","(858) 847-0221","Low Income",,"Units: 24
Bedrooms: 2",,"14103 Old Camino Real
San Diego, CA 92130
(32.971835, -117.232)"
"Domestic Violence Hotline","Emergency Shelter",,,"(877)-633-1112",,,,,"
, CA 
(37.640735, -121.002435)"
"Dove Canyon Apartments","Affordable Housing","16507 Dove Canyon Rd.","San Diego","(858) 521-0787","Low Income",,"Units: 118
Bedrooms: ",,"16507 Dove Canyon Rd.
San Diego, CA 92127
(33.011621, -117.111981)"
"Dustin Arms","Single Room Occupancy
Hotels","444 G. Street","San Diego","(619) 235-0255","Low Income",,,,"444 G. Street
San Diego, CA 92101
(32.712559, -117.160442)"
"Eastgate Apts.","Affordable Housing","14 Creekside Drive","San Marcos","(800) 801-8440
ext. 7153","Families",,"Units: 42
Bedrooms: 1-3","www.affirmedhousing.org/projects/eastgate","14 Creekside Drive
San Marcos, CA 92078
(33.134787, -117.179628)"
"Ebony Inn Motel","Single Room Occupancy
Hotels","740 32nd Street","San Diego","(619) 234-1445","Low Income",,,,"740 32nd Street
San Diego, CA 92102
(32.713518, -117.125298)"
"Ecumenical Council of San Diego","Emergency Shelter","3530 Camino Del Rio North, #301","San Diego","(619) 702-5399","Adult Men/ Women","Homeless","Beds: 12
Max Stay: 8 Weeks",,"3530 Camino Del Rio North
San Diego, CA 92108
(32.778709, -117.117991)"
"Ecumenical Council of San Diego
El Nido","Transitional Shelter","Confidential","San Diego","(619) 563-9878","Women with Children","Victims of 
Domestic Violence","Beds: 45
Max Stay: 12 Months",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"Elán Northwoods Apts.","Affordable Housing","420 Smilax Road","San Marcos","(760) 727-3605","Low Income",,"Units: 3
Bedrooms: 2","www.elannorthwoods.com","420 Smilax Road
San Marcos, CA 92078
(33.156331, -117.207855)"
"El Cajon Senior Towers","Affordable Housing","180 Ballantyne Street","El Cajon","(619) 447-3590","Elderly","Seniors 62+ ;
 Disabled","Units: 88
Bedrooms: 1",,"180 Ballantyne Street
El Cajon, CA 92020
(32.796101, -116.957266)"
"El Casa Vista Apts.","Affordable Housing","1212  9th Street","Coronado","(619) 442-3999","Low Income",,"Units: 9
Bedrooms: Studio-1",,"1212 9th Street
Coronado, CA 92118
(32.686561, -117.177209)"
"El Dorado Apts.","Affordable Housing","331 Richmar Avenue","San Marcos","(714) 771-1439","Families",,"Units: 17
Bedrooms: 1-2","www.ohdcorp.com/portfolio-view/el-dorado-apartments","331 Richmar Avenue
San Marcos, CA 92069
(33.144941, -117.167681)"
"El Dorado Church of God","Affordable Housing","115 S. Clementine St.","Oceanside","(760) 722-1164","Elderly","Seniors 62+","Units: 86 
Bedrooms: Studio-1","www.eldoradomarvista.org","115 S. Clementine St.
Oceanside, CA 92054
(33.196386, -117.375398)"
"El Pedregal Apartments","Affordable Housing","104 Averil Road","San Ysidro","(619) 236-6700","Families",,"Units: 44
Bedrooms: ","www.laspalmashousing.com","104 Averil Road
San Ysidro, CA 92173
(32.556428, -117.054322)"
"El Ray Motel","Single Room Occupancy
Hotels","3894 Beyer Blvd","San Diego","(619) 428-3322","Low Income",,,,"3894 Beyer Blvd
San Diego, CA 92173
(32.559348, -117.049852)"
"Emerald Garden Townhomes","Affordable Housing","425 W. 11th Avenue","Escondido","(760) 480-8056","Low Income",,"Units: 16
Bedrooms: 2-4",,"425 W. 11th Avenue
Escondido, CA 92025
(33.110384, -117.079633)"
"Entrada Apts.","Affordable Housing","453 13th Street","San Diego","(619) 235-4404","Low Income",,"Units: 40
Bedrooms: Studio-3",,"453 13th Street
San Diego, CA 92101
(32.710132, -117.152826)"
"Episcopal Community Services
Downtown Safe Haven ","Transitional Shelter","1425 C Street","San Diego","(619) 238-8201","Adult Men/ Women","Severely Mentally Ill","Beds: 28
Max Stay: 18 Months",,"1425 C Street
San Diego, CA 92101
(32.716785, -117.15141)"
"Episcopal Community Services
Julian's Sanctuary","Transitional Shelter","Confidential","San Diego","(619) 523-6060","Women with Children","Victims of 
Domestic Violence","Beds: 33
Max Stay: 18-24 Months",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"Episcopal Community Services
Uptown Safe Haven","Transitional Shelter","2822 5th Avenue","San Diego","(619) 294-7894","Adult Men/ Women","Severely Mentally Ill","Beds: 19
Max Stay: 18 Months",,"2822 5th Avenue
San Diego, CA 92103
(32.73486, -117.160309)"
"Escondido Adult Village Apts.","Affordable Housing","1084 E. Washington Avenue","Escondido","(760) 745-9628","Elderly","Seniors 55+","Units: 130
Bedrooms: Studio-2","www.escondidoadultvillage.com","1084 E. Washington Avenue
Escondido, CA 92025
(33.131834, -117.070102)"
"Escondido Apts.","Affordable Housing","500 N. Midway Drive","Escondido","(760) 747-3670","Elderly","Seniors 62+","Units: 91
Bedrooms: 1",,"500 N. Midway Drive
Escondido, CA 92027
(33.139396, -117.052802)"
"Esperanza Garden Apts.","Affordable Housing","920 Regal Road","Encinitas","(760) 745-1500","Low Income",,"Units: 10
Bedrooms: 2-4",,"920 Regal Road
Encinitas, CA 92024
(33.040566, -117.281514)"
"Eucalyptus Parkview Apts.","Affordable Housing","56 Fourth Avenue","Chula Vista","(619) 425-9844","Low Income",,"Units: 9
Bedrooms: 1-2","www.eucalyptusparkview.com","56 Fourth Avenue
Chula Vista, CA 91910
(32.648635, -117.087265)"
"Eucalyptus View Apts.","Affordable Housing","1821 S. Escondido Blvd","Escondido","(760) 737-7692","Low Income",,"Units: 108
Bedrooms: 1-3",,"1821 S. Escondido Blvd
Escondido, CA 92025
(33.102695, -117.071731)"
"Euclid Avenue Apts.","Affordable Housing","4115 Euclid Avenue","San Diego","(619) 276-6271","Low Income",,"Units: 12
Bedrooms: 1-3",,"4115 Euclid Avenue
San Diego, CA 92105
(32.7517, -117.092273)"
"Euclid Court Apts.","Affordable Housing","4217 Euclid Avenue","San Diego","(619) 584-1535","Low Income",,"Units: 11
Bedrooms: Studio-1",,"4217 Euclid Avenue
San Diego, CA 92105
(32.753574, -117.092255)"
"Fairbanks Ridge at Del Sur Apts.","Affordable Housing","16016 Babcock Street","San Diego","(858) 720-8312","Families",,"Units: 204
Bedrooms: 1-3",,"16016 Babcock Street
San Diego, CA 92127
(33.014502, -117.126361)"
"Fallbrook View Apts.","Affordable Housing","901 Alturas Road","Fallbrook","(760) 728-5742","Farm Laborers",,"Units: 60
Bedrooms: 1-3",,"901 Alturas Road
Fallbrook, CA 92028
(33.375442, -117.257983)"
"Firebird Manor","Affordable Housing","444 Firebird Lane","San Marcos","(760) 471-4908","Farm Laborers",,"Units: 38
Bedrooms: 3-5","www.sandiegocounty.sdhcd.html","444 Firebird Lane
San Marcos, CA 92069
(33.14613, -117.164561)"
"Fraternity House Inc. 
Fraternity House","Permanent Supportive Housing","20702 Elfin Forest Road","Escondido","(760) 736-0292","Adult Men/ Women","HIV/AIDS","Beds: 8
Max Stay: Unlimited",,"20702 Elfin Forest Road
Escondido, CA 92029
(33.08754, -117.187622)"
"Fraternity House Inc. 
Michaelle House","Permanent Supportive Housing","687 Riviera Court","Vista","(760) 758-9165","Adult Men/ Women","HIV/AIDS","Beds: 12
Max Stay: Unlimited",,"687 Riviera Court
Vista, CA 92084
(33.232908, -117.234885)"
"Freedom Ranch 
Residential Alcohol & Drug Recovery","Transitional Shelter","1777 Buckman Springs Road","Campo","(619) 478-5696","Adult Men","Substance Abuse Treatment","Beds: 50
Max Stay: 4 Months",,"1777 Buckman Springs Road
Campo, CA 91906
(32.649892, -116.48738)"
"Friendship Hotel","Single Room Occupancy
Hotels","3942 8th Avenue","San Diego","(619) 298-9898","Low Income",,,,"3942 8th Avenue
San Diego, CA 92103
(32.749177, -117.157457)"
"Frontier Motel","Single Room Occupancy
Hotels","149 W. Calle Primera","San Diego","(619) 428-3322","Low Income",,,,"149 W. Calle Primera
San Diego, CA 92173
(32.550825, -117.046368)"
"Gaslamp Quarter Hotel","Single Room Occupancy
Hotels","417 Market Street","San Diego","(619) 234-2835","Low Income",,,,"417 Market Street
San Diego, CA 92101
(32.711426, -117.160782)"
"Gateway Family Housing I","Affordable Housing","1605 Logan Avenue , #101","San Diego","(619) 238-5223","Families",,"Units: 16
Bedrooms: 2-3","www.laspalmashousing.com","1605 Logan Avenue
San Diego, CA 92113
(32.704699, -117.148915)"
"Glen Ridge Apts.","Affordable Housing","3555 Glen Avenue","Carlsbad","(760) 814-8022","Low Income",,"Units: 73
Bedrooms: 1-3",,"3555 Glen Avenue
Carlsbad, CA 92010
(33.153562, -117.294844)"
"Golden Age Garden Apts.","Affordable Housing","740 S. 36th Street","San Diego","(619) 231-7833","Elderly","Seniors 62+ ;
Disabled","Units: 76
Bedrooms: 1",,"740 S. 36th Street
San Diego, CA 92113
(32.698589, -117.116786)"
"Golden Arming Hill Apartments","Single Room Occupancy
Hotels","2035 Broadway","San Diego","(619) 239-2278","Low Income",,,,"2035 Broadway
San Diego, CA 92102
(32.71579, -117.145229)"
"Golden Villas","Affordable Housing","3355 Elm Street","San Diego","(619) 239-8466","Families",,"Units: 32
Bedrooms: ",,"3355 Elm Street
San Diego, CA 92102
(32.724438, -117.122264)"
"Golden West Hotel","Single Room Occupancy
Hotels","720 4th Avenue","San Diego","(619) 233-7594","Low Income",,,,"720 4th Avenue
San Diego, CA 92101
(32.712898, -117.161058)"
"Grace Tower Apts.","Affordable Housing","3955 Park Blvd","San Diego","(619) 298-5442","Elderly","Seniors 62+","Units: 165
Bedrooms: 1",,"3955 Park Blvd
San Diego, CA 92103
(32.749489, -117.146245)"
"Grandon Village Apts.","Affordable Housing","1607 Grandon Avenue","San Marcos","(760) 752-3282","Elderly","Seniors 55+","Units: 160
Bedrooms: 1-2","www.grandonvillage.com","1607 Grandon Avenue
San Marcos, CA 92078
(33.134979, -117.204354)"
"Granger Apts.","Affordable Housing","2700 E. 8th Street","National City","(619) 267-8116","Low Income",,"Units: 163 
Bedrooms: 1-2",,"2700 E. 8th Street
National City, CA 91950
(32.683608, -117.07926)"
"Grant Heights Park Apts.","Affordable Housing","2663 J Street","San Diego","(619) 239-0251","Low Income",,"Units: 28
Bedrooms: 1-2",,"2663 J Street
San Diego, CA 92102
(32.709525, -117.136561)"
"Grant Square Apts.","Affordable Housing","2675 Market Street","San Diego","(619) 531-1104","Families",,"Units: 14
Bedrooms: ",,"2675 Market Street
San Diego, CA 92102
(32.711604, -117.136682)"
"Green Manor Apts.","Affordable Housing","4041 Ibis Street","San Diego","(619) 297-1601","Elderly","Seniors 62+","Units: 199
Bedrooms: 0-1",,"4041 Ibis Street
San Diego, CA 92103
(32.750552, -117.17322)"
"Green Oak Ranch
Residential Recovery & Emergency Foster Care ","Transitional Shelter","
1237 Green Oak Road ","Vista","(760) 727 –0251","Adult Men/ Women","Substance Abuse Treatment","Beds: 66
Max Stay: 9 Months",,"1237 Green Oak Road
Vista, CA 92081
(33.157319, -117.225994)"
"Guadalupe Plaza Apts.","Affordable Housing","4142 42nd Street","San Diego","(619) 584-2414","Elderly","Seniors 62+","Units: 124
Bedrooms: 1",,"4142 42nd Street
San Diego, CA 92105
(32.752545, -117.104417)"
"Guava Gardens Apts.","Affordable Housing","5041 Guava Avenue","La Mesa","(619) 589-7319","Elderly","Seniors 62+","Units: 81
Bedrooms: Studio-1",,"5041 Guava Avenue
La Mesa, CA 91942
(32.769943, -117.028619)"
"Hacienda Townhomes","Affordable Housing","350 17th Street","San Diego","(619) 236-0955","Families",,"Units: 52
Bedrooms: 2-3",,"350 17th Street
San Diego, CA 92101
(32.708937, -117.148524)"
"Hacienda Vallecitos","Affordable Housing","736 Center Drive","San Marcos","(760) 738-0000","Elderly","Seniors 55+","Units: 10
Bedrooms: Studio-1","www.haciendavallecitos.com","736 Center Drive
San Marcos, CA 92069
(33.136541, -117.122702)"
"Haley Ranch Estates","Affordable Housing","13455 Poway Creek Road","Poway","(858) 486-3951","Low Income",,"Units: 65
Bedrooms: 3",,"13455 Poway Creek Road
Poway, CA 92064
(32.953477, -117.039289)"
"Harbor View Apts.","Affordable Housing","404 47th Street","San Diego","(619) 263-5858","Families","Disabled","Units: 60
Bedrooms: 2-3",,"404 47th Street
San Diego, CA 92102
(32.708843, -117.093668)"
"Harmony Home Apts.","Affordable Housing","4251 44th Street","San Diego","(619) 521-1263","Elderly","Seniors 65+ ;
Disabled","Units: 12
Bedrooms: 1",,"4251 44th Street
San Diego, CA 92105
(32.754173, -117.099759)"
"Harvest Ridge Apts.","Affordable Housing","1388 E. Palomar Street","Chula Vista","(619) 397-2861","Elderly","Seniors 55+","Units: 91
Bedrooms: 1","www.harvestridgesapts.com","1388 E. Palomar Street
Chula Vista, CA 91913
(32.623677, -116.996941)"
"Harvey’s Motel","Single Room Occupancy
Hotels","7166 El Cajon Blvd","San Diego","(619) 463-5700","Low Income",,,,"7166 El Cajon Blvd
San Diego, CA 92115
(32.768799, -117.043427)"
"Hawthorn Historian Inn","Single Room Occupancy
Hotels","2121 1st Avenue","San Diego","(619) 237-7866","Low Income",,,,"2121 1st Avenue
San Diego, CA 92101
(32.727456, -117.163886)"
"Hawthorn I Apts.","Affordable Housing","3051 Hawthorn Street","San Diego","(619) 640-1712","Low Income",,"Units: 14
Bedrooms: Studio-2",,"3051 Hawthorn Street
San Diego, CA 92104
(32.727548, -117.128653)"
"Hawthorn II Apts.","Affordable Housing","3036 Hawthorn Street , #6","San Diego","(619) 640-1712","Low Income",,"Units: 19
Bedrooms: Studio-2",,"3036 Hawthorn Street
San Diego, CA 92104
(32.727552, -117.129094)"
"Heartland House","Transitional Shelter","5855 Streamview Drive","San Diego","(619) 287-5460","Adult Men","Substance Abuse Treatment","Beds: 28
Max Stay: 1 Year",,"5855 Streamview Drive
San Diego, CA 92105
(32.744222, -117.070007)"
"Helix Garden Court Adult Apts.","Affordable Housing","1302 Helix Street","Spring Valley","(619) 589-7485","Elderly","Seniors 55+","Units: 20
Bedrooms: 1",,"1302 Helix Street
Spring Valley, CA 91977
(32.717239, -117.009567)"
"Heritage Apts.","Affordable Housing","1471 8th Avenue","San Diego","(619) 239-0064","Families",,"Units: 230
Bedrooms: Studio-2","www.theheritageapartments.com","1471 8th Avenue
San Diego, CA 92101
(32.720755, -117.157467)"
"Hillcrest Inn","Single Room Occupancy
Hotels","3754 5th Avenue","San Diego","(619) 293-7078","Low Income",,,,"3754 5th Avenue
San Diego, CA 92103
(32.746248, -117.160436)"
"Hillside Community Apts.","Affordable Housing","12979 Community Road","Poway","(858) 614-7283","Families",,"Units: 70
Bedrooms: ",,"12979 Community Road
Poway, CA 92064
(32.954286, -117.040691)"
"Hillside Garden Apts.","Affordable Housing","5802 University Avenue","San Diego","(619) 582-8588","Low Income",,"Units: 95
Bedrooms: 1-2","www.hillsidegardensapts.com","5802 University Avenue
San Diego, CA 92115
(32.749231, -117.072391)"
"Hollywood Palms","Affordable Housing","4372 Home Avenue","San Diego","(619) 269-3008","Low Income",,"Units: 93
Bedrooms: 2-4",,"4372 Home Avenue
San Diego, CA 92105
(32.728083, -117.100814)"
"Home Project Apts.","Affordable Housing","550 W. Washington Avenue","Escondido","(760) 520- 8309","Families",,"Units: 8
Bedrooms: 2",,"550 W. Washington Avenue
Escondido, CA 92025
(33.124585, -117.091562)"
"Horton 4th Apts.","Affordable Housing","808 4th Avenue","San Diego","(619) 238-4500","Low Income",,"Units: 51
Bedrooms: 0-1",,"808 4th Avenue
San Diego, CA 92101
(32.713476, -117.161065)"
"Horton House","Affordable Housing","333 G Street","San Diego","(619) 239-5171","Elderly","Seniors 62+ ;
Disabled","Units: 150
Bedrooms: Studio-1","www.hortonsandiego.com","333 G Street
San Diego, CA 92101
(32.71255, -117.161527)"
"Hotel Heritage","Single Room Occupancy
Hotels","547 9th Avenue","San Diego","(619) 237-8026","Low Income",,,,"547 9th Avenue
San Diego, CA 92101
(32.711056, -117.156494)"
"Hotel Sanford","Single Room Occupancy
Hotels","1301 5th Avenue","San Diego","(619) 235-7900","Elderly","Seniors 55+",,,"1301 5th Avenue
San Diego, CA 92101
(32.719195, -117.160198)"
"House of Metamorphosis","Transitional Shelter","2970 Market Street","San Diego","(619) 287-5460","Adult Men/ Women","Substance Abuse Treatment","Beds: 86
Max Stay: 9 Months",,"2970 Market Street
San Diego, CA 92105
(32.711635, -117.130574)"
"Hunter’s Pointe Apts.","Affordable Housing","7270 Calle Plata","Carlsbad","(760) 434-5766","Low Income","Section 8","Units: 168
Bedrooms: 1-3",,"7270 Calle Plata
Carlsbad, CA 92009
(33.096359, -117.222267)"
"Imperial Motel","Single Room Occupancy
Hotels","6624 El Cajon Blvd","San Diego","(619) 463-9245","Low Income",,,,"6624 El Cajon Blvd
San Diego, CA 92115
(32.768014, -117.055123)"
"Imperial Villa","Affordable Housing","620 67th Street","San Diego","(619) 263-6573","Low Income",,"Units: 38
Bedrooms: 1-3",,"620 67th Street
San Diego, CA 92114
(32.711872, -117.054249)"
"Inter-City Manor","Affordable Housing","2101 L Avenue","National City","(619) 474-3628","Elderly","Seniors 62+","Units: 79
Bedrooms: 1",,"2101 L Avenue
National City, CA 91950
(32.667877, -117.090217)"
"Interfaith Community Services
Casa","Transitional Shelter","550 W. Washington Ave.,
#B","Escondido","(760) 489-6380","Families","Homeless","Beds: 12
Max Stay: 12 Months",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Escondido Cold Weather Voucher","Hotel / Motel
Voucher Program","550 W. Washington Ave.,
#B","Escondido","(760) 489-6380","Families ","Homeless ;
Disabled ","Max Stay: 3 Months",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Genesis","Transitional Shelter","550 W. Washington Ave.,
#B","Escondido","(760) 489-6380","Families","Homeless","Beds: 28
Max Stay: 12 Months",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Harmony Place-C.O.C","Permanent Supportive Housing","550 W. Washington Ave., Suite B","Escondido","(760) 489-6380","Adult Men/ Women","Severely Mentally Ill","Beds: 12
Max Stay: Unlimited",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Mental Health Systems","Permanent Supportive Housing","1100 Sport Fisher Drive","Escondido","(760) 439-6702","Women and Children","Recovery Center","Beds: 90
Max Stay: 6-12 Months",,"1100 Sport Fisher Drive
Escondido, CA 92054
(33.201081, -117.377324)"
"Interfaith Community Services
Merle's Place","Emergency Shelter","550 W. Washington Avenue","Escondido","(760) 489-6380","Adult Men","Veterans","Beds: 44
Max Stay: 2+ years",,"550 W. Washington Avenue
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Merle's Place","Transitional Shelter","550 W. Washington Ave.,
#B","Escondido","(760) 489-6380","Adult Men/ Women","Veterans ;
Seniors ;
Disabled","Beds: 44
Max Stay: 18 Months",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Regional Shelter","Winter Shelter","550 W. Washington Ave., #B","Escondido","(760) 489-6380","Families","Military","Beds: 40-45
Max Stay: 8 Weeks",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Shelter Plus Care","Permanent Supportive Housing","550 W. Washington Ave., Suite B","Escondido","(760) 489-6380","Families","Homeless","Beds: 17
Max Stay: Unlimited",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Interfaith Community Services
Sobering Services - Detox ","Emergency Shelter","401 North Spruce Street","Escondido","(760) 489-6380","Adult Men/ Women","Homeless ; 
Substance Abuse","Beds: 34
Max Stay: 24 Months",,"401 North Spruce Street
Escondido, CA 92027
(33.121004, -117.0934)"
"Interfaith Community Services
Tikkun Home","Emergency Shelter","465 East 4th Avenue","Escondido","(760) 489-6380","Adult Women","Severely Mentally Ill","Beds: 6
Max Stay: 1 Month ",,"465 East 4th Avenue
Escondido, CA 92025
(33.120988, -117.074778)"
"Interfaith Community Services
Veteran Transitional Housing","Transitional Shelter","550 W. Washington Ave.,
#B","Escondido","(760) 489-6380","Veteran","Veterans","Beds: 28
Max Stay: 18 Months",,"550 W. Washington Ave
Escondido, CA 92025
(33.124585, -117.091562)"
"Iris Apartments","Affordable Housing","639 N. Vulcan Avenue","Encinitas","(888) 207-6110","Low Income",,"Units: 
Bedrooms: 2-3",,"639 N. Vulcan Avenue
Encinitas, CA 92024
(33.060807, -117.300314)"
"Island Gardens Apts.","Affordable Housing","3545 Island Avenue","San Diego","(619) 234-9020","Low Income",,"Units: 122
Bedrooms: ",,"3545 Island Avenue
San Diego, CA 92102
(32.710501, -117.117385)"
"Island Hotel","Single Room Occupancy
Hotels","461 5th Avenue","San Diego","(619) 237-1242","Low Income",,,,"461 5th Avenue
San Diego, CA 92101
(32.710197, -117.160131)"
"Island Inn","Single Room Occupancy
Hotels","202 Island Avenue","San Diego","(619) 232-4138","Low Income",,,,"202 Island Avenue
San Diego, CA 92101
(32.710445, -117.162405)"
"Island Village Apts.","Affordable Housing","1245 Market Street","San Diego","(619) 236-1440","Low Income",,"Units: 280
Bedrooms: Studio",,"1245 Market Street
San Diego, CA 92101
(32.711479, -117.153218)"
"Jamacha Glen Apartments","Affordable Housing","8890 Jamacha Road","Spring Valley","(619) 698-6810","Low Income",,"Units: 43
Bedrooms: ",,"8890 Jamacha Road
Spring Valley, CA 91977
(32.714811, -117.007075)"
"Jean C. McKinney Manor","Affordable Housing","5641 Imperial Avenue","San Diego","(619) 266-0285","Elderly","Seniors","Units: 50
Bedrooms: 1",,"5641 Imperial Avenue
San Diego, CA 92114
(32.708152, -117.074452)"
"J Street Inn","Single Room Occupancy
Hotels","222 J Street","San Diego","(619) 696-6922","Low Income",,,,"222 J Street
San Diego, CA 92101
(32.709365, -117.162551)"
"Juniper Gardens Apts.","Affordable Housing","4251 Juniper Street","San Diego","(619) 263-1933","Low Income",,"Units: 40
Bedrooms: 2-3",,"4251 Juniper Street
San Diego, CA 92105
(32.729631, -117.103787)"
"Kalmia Courtyards","Affordable Housing","234 W. Kalmia Street","Fallbrook","(858) 454-3144","Elderly","Seniors 62+","Units: 28
Bedrooms: 1-2",,"234 W. Kalmia Street
Fallbrook, CA 92028
(33.385561, -117.253181)"
"Karibu- Center for Social Support & Ed.
HOPWA","Transitional Shelter","4535 30th Street, #108","San Diego","(619) 325-2773","Adult Men/ Women","HIV/AIDS","Beds: 100
Max Stay: 30 Days",,"4535 30th Street
San Diego, CA 92116
(32.76003, -117.130188)"
"Key Largo Apts.","Affordable Housing","380 N. Mollison Avenue","El Cajon","(619) 444-6654","Low Income",,"Units: 105
Bedrooms: 1-3",,"380 N. Mollison Avenue
El Cajon, CA 92021
(32.799104, -116.950984)"
"Kiku Gardens Senior Apts.","Affordable Housing","1260 Third Avenue","Chula Vista","(619) 422-4951","Elderly","Seniors 62+","Units: 100
Bedrooms: 1",,"1260 Third Avenue
Chula Vista, CA 91911
(32.608064, -117.066908)"
"Kimball Towers","Affordable Housing","1317 D Avenue","National City","(619) 477-4716","Elderly","Seniors 62+","Units: 150
Bedrooms: 1",,"1317 D Avenue
National City, CA 91950
(32.67289, -117.101262)"
"Knox Glen Apts.","Affordable Housing","4754 Logan Avenue","San Diego","(619) 527-7228","Low Income",,"Units: 53
Bedrooms: 2-3",,"4754 Logan Avenue
San Diego, CA 92113
(32.696799, -117.092399)"
"La Costa Paloma Apts.","Affordable Housing","1953 Dove Lane","Carlsbad","(760) 476-9860","Low Income",,"Units: 180
Bedrooms: 1-4",,"1953 Dove Lane
Carlsbad, CA 92009
(33.104207, -117.264796)"
"La Cresta Motel","Single Room Occupancy
Hotels","4980 El Cajon Blvd","San Diego","(619) 287-4310","Low Income",,,,"4980 El Cajon Blvd
San Diego, CA 92115
(32.756675, -117.0873)"
"La Jolla Marine Apts.","Affordable Housing","7410 Cuvier Street","La Jolla","(760) 591-9737","Low Income","Project Based 
Section 8","Units: 8
Bedrooms: 3,4",,"7410 Cuvier Street
La Jolla, CA 92037
(32.838094, -117.276894)"
"Lakeshore Villa","Affordable Housing","6888 Golfcrest Drive","San Diego","(619) 463-9611","Elderly","Seniors 62+ ;
Disabled","Units: 126
Bedrooms: 1",,"6888 Golfcrest Drive
San Diego, CA 92119
(32.802287, -117.039081)"
"Lakeside Gardens","Affordable Housing","12219 Roberts Way","Lakeside","(619) 443-2150","Elderly","Seniors 62+","Units: 85
Bedrooms: Studio-1",,"12219 Roberts Way
Lakeside, CA 92040
(32.85813, -116.927527)"
"La Mesa Springs","Affordable Housing","8070 Orange Avenue","La Mesa","(619) 463-8680","Elderly","Seniors 62+ ;
Disabled","Units: 129
Bedrooms: 1",,"8070 Orange Avenue
La Mesa, CA 91942
(32.764232, -117.023193)"
"La Mision Apts.","Affordable Housing","3220 Mission Ave., Suite 7","Oceanside","(760) 967-7500","Low Income",,"Units: 80
Bedrooms: 1-3","www.liveatlamisionvillage.com","3220 Mission Ave
Oceanside, CA 92058
(33.214114, -117.34732)"
