"subdesc","lic_num","propname","propstreet","propcity","propprovince","proppostal","location_geocode"
"Bingo - Bingo - Charity Religious","107651-21","107651-21","6412 Highway #3","Western Shore","NS","B0J 3M0","6412 Highway #3
Western Shore, NS B0J 3M0
(44.526979, -64.308661)"
"Bingo - Bingo - Exempt","101194-19","101194-19","1442 Janvrins Island RD","Janvrin Island","NS","B0E 3J0","1442 Janvrins Island RD
Janvrin Island, NS B0E 3J0
(45.53394, -61.169913)"
"Bingo - Bingo - Exempt","105910-21","105910-21","53 Charlos Cove Loop","Charlos Cove","NS","B0H 1T0","53 Charlos Cove Loop
Charlos Cove, NS B0H 1T0
(45.246743, -61.335136)"
"Bingo - Bingo - Charity Religious","101167-21","101167-21","21 Lions Club RD","Fox Point","NS","B0J 1T0","21 Lions Club RD
Fox Point, NS B0J 1T0
(44.604777, -64.059213)"
"Bingo - Bingo - Charity Religious","119685-21","119685-21","13 Electric ST","Amherst","NS","B4H 3Z3","13 Electric ST
Amherst, NS B4H 3Z3
(45.832308, -64.212447)"
"Bingo - Bingo - Charity Religious","117095-21","117095-21","39 Lions AV","St. Peter's","NS","B0E 3B0","39 Lions AV
St. Peter's, NS B0E 3B0
(45.659458, -60.873817)"
"Bingo - Bingo - Exempt","225990-21","225990-21","1801 Lake George RD","Lake George","NS","B5A 5L6","1801 Lake George RD
Lake George, NS B5A 5L6
(43.996745, -66.070396)"
"Bingo - Bingo - Charity Religious","102289-19","102289-19","13752 Highway #4","Wentworth","NS","B0M 1Z0","13752 Highway #4
Wentworth, NS B0M 1Z0
(45.647099, -63.550979)"
"Bingo - Bingo - Charity Religious","209452-18","209452-18","39 Lions AV","St. Peter's","NS","B0E 3B0","39 Lions AV
St. Peter's, NS B0E 3B0
(45.659458, -60.873817)"
"Bingo - Bingo - Charity Religious","107406-20","107406-20","4130 Highway 3","Brooklyn","NS","B0J 1H0","4130 Highway 3
Brooklyn, NS B0J 1H0
(44.552192, -64.247135)"
"Bingo - Bingo - Charity Religious","113792-20","113792-20","2104 Highway #325","Whynott's Settlement","NS","B4V 3J5","2104 Highway #325
Whynott's Settlement, NS B4V 3J5
(44.402207, -64.480942)"
"Bingo - Bingo - Charity Religious","100272-21","100272-21","11 Glendale DR","Lower Sackville","NS","B4C 3P2","11 Glendale DR
Lower Sackville, NS B4C 3P2
(44.761012, -63.661155)"
"Bingo - Bingo - Charity Religious","109181-20","109181-20","61 Melody LN","Sydney","NS","B1P 3K3","61 Melody LN
Sydney, NS B1P 3K3
(46.120713, -60.171776)"
"Bingo - Bingo - Exempt","104670-19","104670-19","5350 Brooklyn ST","Kingston","NS","B0P 1V0","5350 Brooklyn ST
Kingston, NS B0P 1V0
(45.094751, -64.693123)"
"Bingo - Bingo - Exempt","004415-12","004415-12","1181 East Margaree RD","Margaree","NS","B0E 1Y0","1181 East Margaree RD
Margaree, NS B0E 1Y0
(46.393149, -61.073667)"
"Bingo - Bingo - Charity Religious","109194-20","109194-20","304 Pitt ST","Port Hawkesbury","NS","B9A 2T9","304 Pitt ST
Port Hawkesbury, NS B9A 2T9
(45.617771, -61.354965)"
"Bingo - Bingo - Charity Religious","006926-16","006926-16","11169 Peggy's Cove RD","Seabright","NS","B3Z 3A6","11169 Peggy's Cove RD
Seabright, NS B3Z 3A6
(44.60735, -63.921661)"
"Bingo - Bingo - Charity Religious","227132-21","227132-21","769 Main ST","Sydney Mines","NS","B1V 2Y4","769 Main ST
Sydney Mines, NS B1V 2Y4
(46.242192, -60.229587)"
"Bingo - Bingo - Exempt","230248-15","230248-15","Main ST","Mabou","NS","B0E 1X0",
"Bingo - Bingo - Charity Religious","113765-20","113765-20","7160 Highway 14","Nine Mile River","NS","B2S 2V4","7160 Highway 14
Nine Mile River, NS B2S 2V4
(45.024705, -63.561155)"
"Bingo - Bingo - Charity Religious","113785-20","113785-20","87 Parade ST","Yarmouth","NS","B5A 3B3","87 Parade ST
Yarmouth, NS B5A 3B3
(43.836495, -66.107674)"
"Bingo - Bingo - Charity Religious","113771-20","113771-20","111 Drysdale RD","Halifax","NS","B3R 1L5","111 Drysdale RD
Halifax, NS B3R 1L5
(44.608819, -63.609154)"
"Bingo - Bingo - Exempt","000024-16","000024-16","2786 Agricola ST","Halifax","NS","B3K 4E1","2786 Agricola ST
Halifax, NS B3K 4E1
(44.657952, -63.597126)"
"Bingo - Bingo - Charity Religious","194017-20","194017-20","81 Pomquet River RD","St. Andrews","NS","B0H 1X0","81 Pomquet River RD
St. Andrews, NS B0H 1X0
(45.559098, -61.885502)"
"Bingo - Bingo - Exempt","118266-16","118266-16","1134 Union ST","Canso","NS","B0H 1H0","1134 Union ST
Canso, NS B0H 1H0
(45.337458, -61.000705)"
"Bingo - Bingo - Charity Religious","105057-19","105057-19","3921 Gabarus HY","Marion Bridge","NS","B0A 1P0","3921 Gabarus HY
Marion Bridge, NS B0A 1P0
(45.984481, -60.212247)"
"Bingo - Bingo - Exempt","107296-18","107296-18","199 Windmill RD","Dartmouth","NS","B3A 1G1","199 Windmill RD
Dartmouth, NS B3A 1G1
(44.671372, -63.585958)"
"Bingo - Bingo - Charity Religious","114429-20","114429-20","112 Forrest ST","Inverness","NS","B0E 1N0","112 Forrest ST
Inverness, NS B0E 1N0
(46.228057, -61.299974)"
"Bingo - Bingo - Exempt","105652-21","105652-21","24 Corporon RD","Wedgeport","NS","B0W 3P0","24 Corporon RD
Wedgeport, NS B0W 3P0
(43.731968, -65.979144)"
"Bingo - Bingo - Exempt","103473-19","103473-19","8539 Grand Narrows Hwy.","Grand Narrows","NS","B1T 1B1","8539 Grand Narrows Hwy.
Grand Narrows, NS B1T 1B1
(45.970132, -60.751379)"
"Bingo - Bingo - Exempt","104252-21","104252-21","3472 Plummer AV","New Waterford","NS","B1H 1Z5","3472 Plummer AV
New Waterford, NS B1H 1Z5
(46.249107, -60.090037)"
"Bingo - Bingo - Charity Religious","104898-18","104898-18","80 Church ST","Amherst","NS","B4H 3B2","80 Church ST
Amherst, NS B4H 3B2
(45.831699, -64.209175)"
"Bingo - Bingo - Exempt","308682-21","308682-21","2623 Agricola ST","Halifax",,"B3K 4C7","2623 Agricola ST
Halifax,  B3K 4C7
(44.655761, -63.5941)"
"Bingo - Bingo - Exempt","204362-21","204362-21","8464 Brooklyn ST","Kentville","NS","B4N 4G8","8464 Brooklyn ST
Kentville, NS B4N 4G8
(45.083381, -64.508787)"
"Bingo - Bingo - Exempt","105287-16","105287-16","979 North Preston RD","North Preston","NS","B2Z 1A2","979 North Preston RD
North Preston, NS B2Z 1A2
(44.742911, -63.464702)"
"Bingo - Bingo - Exempt","102895-20","102895-20","8 Lornvale RD","Great Village","NS","B0M 1L0","8 Lornvale RD
Great Village, NS B0M 1L0
(45.417013, -63.600137)"
"Bingo - Bingo - Charity Religious","100643-21","100643-21","210 King ST","Parrsboro","NS","B0M 1S0","210 King ST
Parrsboro, NS B0M 1S0
(45.405242, -64.332611)"
"Bingo - Bingo - Exempt","229942-17","229942-17","27 Shreve ST","Digby","NS","B0V 1A0","27 Shreve ST
Digby, NS B0V 1A0
(44.618804, -65.768009)"
"Bingo - Bingo - Exempt","107752-19","107752-19","87 Reserve ST","Glace Bay","NS","B1A 4W3","87 Reserve ST
Glace Bay, NS B1A 4W3
(46.192356, -59.970528)"
"Bingo - Bingo - Exempt","104629-20","104629-20","39 School RD","Tancook Island","NS","B0J 3G0","39 School RD
Tancook Island, NS B0J 3G0
(44.460042, -64.170599)"
"Bingo - Bingo - Charity Religious","000071-15","000071-15","24 Main ST","Port Hood","NS","B0E 2W0","24 Main ST
Port Hood, NS B0E 2W0
(46.009128, -61.530163)"
"Bingo - Bingo - Charity Religious","118246-20","118246-20","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Exempt","199503-19","199503-19","1100 Prince ST","Truro","NS","B2N 1J1","1100 Prince ST
Truro, NS B2N 1J1
(45.3646, -63.266126)"
"Bingo - Bingo - Charity Religious","111588-20","111588-20","Central & Cabot","Inverness","NS","B0E 1N0","Central & Cabot
Inverness, NS B0E 1N0
(46.23565, -61.301162)"
"Bingo - Bingo - Exempt","100382-16","100382-16","2441 Agricola ST","Halifax","NS","B3K 4C1","2441 Agricola ST
Halifax, NS B3K 4C1
(44.653441, -63.590812)"
"Bingo - Bingo - Charity Religious","192209-19","192209-19","10628 Route 16","Guysborough","NS","B0H 1N0","10628 Route 16
Guysborough, NS B0H 1N0
(45.406799, -61.509481)"
"Bingo - Bingo - Charity Religious","103113-21","103113-21","42 Brunswick ST","Truro","NS","B2N 5E5","42 Brunswick ST
Truro, NS B2N 5E5
(45.36142, -63.275849)"
"Bingo - Bingo - Charity Religious","119694-21","119694-21","43 Henry Hensey DR","Liverpool","NS","B0T 1K0","43 Henry Hensey DR
Liverpool, NS B0T 1K0
(44.039333, -64.716838)"
"Bingo - Bingo - Exempt","007181-19","007181-19","1583 Beaver Bank RD","Beaver Bank","NS","B4G 1C5","1583 Beaver Bank RD
Beaver Bank, NS B4G 1C5
(44.849646, -63.685231)"
"Bingo - Bingo - Charity Religious","109174-20","109174-20","6 Jones RD","New Minas","NS","B4N 3N1","6 Jones RD
New Minas, NS B4N 3N1
(45.067453, -64.449792)"
"Bingo - Bingo - Charity Religious","113810-20","113810-20","5543 #7 Highway .","Head Chezzetcook","NS","B0J 1N0",
"Bingo - Bingo - Exempt","102708-20","102708-20","20 St. Peters-Forchu RD","Lower L'Ardoise","NS","B0E 1W0","20 St. Peters-Forchu RD
Lower L'Ardoise, NS B0E 1W0
(45.602031, -60.740025)"
"Bingo - Bingo - Charity Religious","102910-20","102910-20","2160 #1 Highway","Auburn","NS","B0P 1A0",
"Bingo - Bingo - Charity Religious","118250-20","118250-20","2121 Route 208","New Germany","NS","B0R 1E0","2121 Route 208
New Germany, NS B0R 1E0
(44.507113, -64.791353)"
"Bingo - Bingo - Exempt","224905-21","224905-21","66 Victoria ST","Annapolis Royal","NS","B0S 1A0","66 Victoria ST
Annapolis Royal, NS B0S 1A0
(44.743054, -65.516529)"
"Bingo - Bingo - Exempt","103365-20","103365-20","466 Foundry ST","Oxford","NS","B0M 1P0","466 Foundry ST
Oxford, NS B0M 1P0
(45.732272, -63.860221)"
"Bingo - Bingo - Charity Religious","108426-20","108426-20","3276 Hwy.   320 .","D'Escousse","NS","B0E 1K0","3276 Hwy.   320 .
D'Escousse, NS B0E 1K0
(45.588113, -60.964311)"
"Bingo - Bingo - Charity Religious","116948-18","116948-18","111 Highway #2","Stewiacke","NS","B0N 2J0","111 Highway #2
Stewiacke, NS B0N 2J0
(45.13983, -63.354245)"
"Bingo - Bingo - Charity Religious","113817-20","113817-20","53 Charlos Cove Loop","Charlos Cove","NS","B0H 1T0","53 Charlos Cove Loop
Charlos Cove, NS B0H 1T0
(45.246743, -61.335136)"
"Bingo - Bingo - Exempt","176324-21","176324-21","8598 West Bay HY","Sampsonville","NS","B0E 3B0","8598 West Bay HY
Sampsonville, NS B0E 3B0
(45.68207, -60.849017)"
"Bingo - Bingo - Charity Religious","109179-20","109179-20","354 Main ST","Kentville","NS","B4N 1K6","354 Main ST
Kentville, NS B4N 1K6
(45.077014, -64.494697)"
"Bingo - Bingo - Exempt","307150-21","307150-21","184 Water ST","Freeport","NS","B0V 1B0","184 Water ST
Freeport, NS B0V 1B0
(44.273226, -66.326038)"
"Bingo - Bingo - Exempt","310309-21","310309-21","89 Queen ST","Canso","NS","B0H 1H0","89 Queen ST
Canso, NS B0H 1H0
(45.333877, -60.992524)"
"Bingo - Bingo - Charity Religious","202125-21","202125-21","135 North ST","Bridgewater","NS","B4V 2V7","135 North ST
Bridgewater, NS B4V 2V7
(44.387584, -64.519676)"
"Bingo - Bingo - Charity Religious","228851-19","228851-19","29 Oakdene AV","Kentville","NS","B4N 1H5","29 Oakdene AV
Kentville, NS B4N 1H5
(45.082922, -64.492166)"
"Bingo - Bingo - Exempt","118249-19","118249-19","20 Hwy 203","Carleton","NS","B0W 1L0","20 Hwy 203
Carleton, NS B0W 1L0
(44.006713, -65.926215)"
"Bingo - Bingo - Charity Religious","106182-20","106182-20","946 Main ST","Dartmouth","NS","B2Z 1A8",
"Bingo - Bingo - Charity Religious","113468-17","113468-17","99 Midgley DR","Westmount","NS","B1R 1Z6","99 Midgley DR
Westmount, NS B1R 1Z6
(46.14295, -60.220346)"
"Bingo - Bingo - Charity Religious","116420-21","116420-21","6834 Highway 4","Grand Anse","NS","B0E 1V0","6834 Highway 4
Grand Anse, NS B0E 1V0
(45.635385, -61.054488)"
"Bingo - Bingo - Charity Religious","100527-21","100527-21","67 Park RD","Musquodoboit  Hrbr.","NS","B0J 2L0","67 Park RD
Musquodoboit  Hrbr., NS B0J 2L0
(44.789397, -63.146629)"
"Bingo - Bingo - Charity Religious","115912-20","115912-20","313 Maxwellton RD","Meteghan Centre","NS","B0W 2K0","313 Maxwellton RD
Meteghan Centre, NS B0W 2K0
(44.198864, -66.136313)"
"Bingo - Bingo - Charity Religious","113766-20","113766-20","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Charity Religious","118757-21","118757-21","2901 Windsor ST","Halifax","NS","B3K 5E5","2901 Windsor ST
Halifax, NS B3K 5E5
(44.655122, -63.6047)"
"Bingo - Bingo - Charity Religious","118258-20","118258-20","1134 Union ST","Canso","NS","B0H 1H0","1134 Union ST
Canso, NS B0H 1H0
(45.337458, -61.000705)"
"Bingo - Bingo - Exempt","307721-20","307721-20","121 Orchard ST","Berwick","NS","B0P 1E0","121 Orchard ST
Berwick, NS B0P 1E0
(45.037059, -64.736701)"
"Bingo - Bingo - Charity Religious","118254-20","118254-20","49 West ST","Sydney","NS","B1N 1R9","49 West ST
Sydney, NS B1N 1R9
(46.158006, -60.180725)"
"Bingo - Bingo - Charity Religious","118264-20","118264-20","168 Tupper ST","Milton","NS","B0T 1P0","168 Tupper ST
Milton, NS B0T 1P0
(44.057807, -64.753584)"
"Bingo - Bingo - Exempt","214502-19","214502-19","971 Highway #312","Englishtown","NS","B0C 1H0","971 Highway #312
Englishtown, NS B0C 1H0
(46.279348, -60.544878)"
"Bingo - Bingo - Charity Religious","115935-20","115935-20","30 MacKenzie ST","Sydney","NS","B1P 1W5","30 MacKenzie ST
Sydney, NS B1P 1W5
(46.134683, -60.186228)"
"Bingo - Bingo - Exempt","113441-20","113441-20","43 St. Peter's Loop","Sheet Harbour","NS","B0J 3B0","43 St. Peter's Loop
Sheet Harbour, NS B0J 3B0
(44.924448, -62.546)"
"Bingo - Bingo - Charity Religious","113802-20","113802-20","60 Old Hwy 354","Kennetcook","NS","B0N 1P0","60 Old Hwy 354
Kennetcook, NS B0N 1P0
(45.241576, -63.748349)"
"Bingo - Bingo - Exempt","101158-21","101158-21","410 West Brooklyn Mt. RD","Wolfville","NS","B4P 2R3","410 West Brooklyn Mt. RD
Wolfville, NS B4P 2R3
(45.076255, -64.26799)"
"Bingo - Bingo - Charity Religious","109786-20","109786-20","4 Main ST","Joggins","NS","B0L 1A0","4 Main ST
Joggins, NS B0L 1A0
(45.696197, -64.450161)"
"Bingo - Bingo - Charity Religious","100413-20","100413-20","45 Connolly RD","Lwr. Sackville","NS","B4E 1R9","45 Connolly RD
Lwr. Sackville, NS B4E 1R9
(44.77736, -63.699502)"
"Bingo - Bingo - Charity Religious","118239-20","118239-20","66 Long Cove RD","Port Medway","NS","B0T 1K0","66 Long Cove RD
Port Medway, NS B0T 1K0
(44.127859, -64.571684)"
"Bingo - Bingo - Exempt","186889-16","186889-16","8539 Grand Narrows Hwy.","Grand Narrows","NS","B1T 1B1","8539 Grand Narrows Hwy.
Grand Narrows, NS B1T 1B1
(45.970132, -60.751379)"
"Bingo - Bingo - Charity Religious","104625-20","104625-20","130 Veterans AV","Pictou","NS","B0K 1H0","130 Veterans AV
Pictou, NS B0K 1H0
(45.679223, -62.726437)"
"Bingo - Bingo - Charity Religious","179745-21","179745-21","378 Main ST","Yarmouth","NS","B5A 1E4","378 Main ST
Yarmouth, NS B5A 1E4
(43.837309, -66.119859)"
"Bingo - Bingo - Charity Religious","104474-17","104474-17","396 Upper Main ST","Parrsboro","NS","B0M 1S0","396 Upper Main ST
Parrsboro, NS B0M 1S0
(45.408553, -64.327293)"
"Bingo - Bingo - Charity Religious","111599-20","111599-20","89 East Chezzetcook RD","Head Chezzetcook","NS","B0J 1N0","89 East Chezzetcook RD
Head Chezzetcook, NS B0J 1N0
(44.749352, -63.236243)"
"Bingo - Bingo - Exempt","146820-14","146820-14","183 Pool RD","Sheet Harbour","NS","B0J 3B0","183 Pool RD
Sheet Harbour, NS B0J 3B0
(44.925893, -62.510462)"
"Bingo - Bingo - Charity Religious","113048-20","113048-20","10778 Durham ST","Pugwash",,"B0K 1L0","10778 Durham ST
Pugwash,  B0K 1L0
(45.845231, -63.648225)"
"Bingo - Bingo - Charity Religious","108788-21","108788-21","12 School ST","Joggins","NS","B0L 1A0","12 School ST
Joggins, NS B0L 1A0
(45.69139, -64.439689)"
"Bingo - Bingo - Exempt","306133-21","306133-21","6943 Highway 215","Bramber","NS","B0N 1G0","6943 Highway 215
Bramber, NS B0N 1G0
(45.175028, -64.151149)"
"Bingo - Bingo - Charity Religious","100646-20","100646-20","6485 Highway #3","Western Shore","NS","B0J 3M0","6485 Highway #3
Western Shore, NS B0J 3M0
(44.523729, -64.309757)"
"Bingo - Bingo - Exempt","226350-16","226350-16","80 Sandy Cove RD","Terence Bay","NS","B3T 1Y2","80 Sandy Cove RD
Terence Bay, NS B3T 1Y2
(44.467416, -63.718109)"
"Bingo - Bingo - Charity Religious","119853-21","119853-21","915 North River RD","New Germany","NS","B0R 1E0","915 North River RD
New Germany, NS B0R 1E0
(44.631102, -64.77652)"
"Bingo - Bingo - Charity Religious","102287-19","102287-19","6 St. Michael's AV","Halifax","NS","B3P 1M5","6 St. Michael's AV
Halifax, NS B3P 1M5
(44.615261, -63.614719)"
"Bingo - Bingo - Exempt","103304-20","103304-20","199 Windmill RD","Dartmouth","NS","B3A 1G1","199 Windmill RD
Dartmouth, NS B3A 1G1
(44.671372, -63.585958)"
"Bingo - Bingo - Charity Religious","113814-20","113814-20","62 Albion ST","Amherst","NS","B4H 4A1","62 Albion ST
Amherst, NS B4H 4A1
(45.82662, -64.208192)"
"Bingo - Bingo - Charity Religious","109180-20","109180-20","72 Park ST","New Glasgow","NS","B2H 5B8","72 Park ST
New Glasgow, NS B2H 5B8
(45.570542, -62.640346)"
"Bingo - Bingo - Exempt","104960-20","104960-20","29325 Cabot Trail","Cape North","NS","B0C 1G0","29325 Cabot Trail
Cape North, NS B0C 1G0
(46.88377, -60.501466)"
"Bingo - Bingo - Exempt","104485-20","104485-20","5327 NS-289","Upper Stewiacke","NS","B0N 2P0","5327 NS-289
Upper Stewiacke, NS B0N 2P0
(45.219582, -62.994956)"
"Bingo - Bingo - Exempt","103361-20","103361-20","15 Caledonia RD","Dartmouth","NS","B2X 1R1","15 Caledonia RD
Dartmouth, NS B2X 1R1
(44.685173, -63.5297)"
"Bingo - Bingo - Exempt","108423-17","108423-17","8 Lornvale RD","Great Village","NS","B0M 1L0","8 Lornvale RD
Great Village, NS B0M 1L0
(45.417013, -63.600137)"
"Bingo - Bingo - Charity Religious","000053-21","000053-21","3435 Hwy 206","Petit de Grat","NS","B0E 2L0","3435 Hwy 206
Petit de Grat, NS B0E 2L0
(45.513242, -60.962102)"
"Bingo - Bingo - Exempt","230868-19","230868-19","1639 Burntcoat RD","Noel","NS","B0N 2C0","1639 Burntcoat RD
Noel, NS B0N 2C0
(45.296067, -63.749611)"
"Bingo - Bingo - Exempt","102909-21","102909-21","27 Shreve ST","Digby","NS","B0V 1A0","27 Shreve ST
Digby, NS B0V 1A0
(44.618804, -65.768009)"
"Bingo - Bingo - Exempt","101058-20","101058-20","3160 Bay St lawrence RD","Bay St. Lawrence","NS","B0C 1G0","3160 Bay St lawrence RD
Bay St. Lawrence, NS B0C 1G0
(46.993324, -60.465595)"
"Bingo - Bingo - Exempt","105220-21","105220-21","1219 Veteran's Memorial DR","Arichat","NS","B0E 1A0","1219 Veteran's Memorial DR
Arichat, NS B0E 1A0
(45.513704, -60.982438)"
"Bingo - Bingo - Charity Religious","119851-21","119851-21","610 Bras D'or Florence RD","Florence","NS","B1Y 1E3","610 Bras D'or Florence RD
Florence, NS B1Y 1E3
(46.256864, -60.265159)"
"Bingo - Bingo - Charity Religious","104336-20","104336-20","2901 Windsor ST","Halifax","NS","B3K 5E5","2901 Windsor ST
Halifax, NS B3K 5E5
(44.655122, -63.6047)"
"Bingo - Bingo - Exempt","007194-21","007194-21","9447 St. Peter-Fourchu RD","Forchu","NS","B2J 1A9","9447 St. Peter-Fourchu RD
Forchu, NS B2J 1A9
(45.718708, -60.260657)"
"Bingo - Bingo - Charity Religious","104992-19","104992-19","140 MacKay ST","Stellarton","NS","B0K 1S0","140 MacKay ST
Stellarton, NS B0K 1S0
(45.558926, -62.658666)"
"Bingo - Bingo - Charity Religious","105563-21","105563-21","10 Collins ST","Yarmouth","NS","B5A 3C4","10 Collins ST
Yarmouth, NS B5A 3C4
(43.836854, -66.118612)"
"Bingo - Bingo - Charity Religious","228615-19","228615-19","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Charity Religious","120035-21","120035-21","7533 Hwy #3","Martins River","NS","B0J 2E0","7533 Hwy #3
Martins River, NS B0J 2E0
(44.483555, -64.33667)"
"Bingo - Bingo - Charity Religious","115918-20","115918-20","133 First Lake DR","Sackville","NS","B4C 3J9","133 First Lake DR
Sackville, NS B4C 3J9
(44.777236, -63.667365)"
"Bingo - Bingo - Exempt","224485-19","224485-19","244 New Haven RD","Neils Harbour","NS","B0C 1N0","244 New Haven RD
Neils Harbour, NS B0C 1N0
(46.814351, -60.318545)"
"Bingo - Bingo - Charity Religious","100774-21","100774-21","22 Power's RD","Mushaboom","NS","B0J 3H0","22 Power's RD
Mushaboom, NS B0J 3H0
(44.851069, -62.537262)"
"Bingo - Bingo - Exempt","100800-19","100800-19","11 Shore RD","Jordan Bay","NS","B0T 1W0","11 Shore RD
Jordan Bay, NS B0T 1W0
(43.739547, -65.388131)"
"Bingo - Bingo - Exempt","113800-19","113800-19","RR #1","St. Peter's","NS","B0E 3B0",
"Bingo - Bingo - Charity Religious","310448-21","310448-21","10 Elgin ST","Springhill","NS","B0M 1X0","10 Elgin ST
Springhill, NS B0M 1X0
(45.650176, -64.059838)"
"Bingo - Bingo - Charity Religious","105996-20","105996-20","56 Boudreauville RD","Petit de Grat","NS","B0E 2L0","56 Boudreauville RD
Petit de Grat, NS B0E 2L0
(45.506548, -60.966047)"
"Bingo - Bingo - Charity Religious","114838-21","114838-21","26 Myra RD","Lakeside","NS","B3T 1B4","26 Myra RD
Lakeside, NS B3T 1B4
(44.639659, -63.707859)"
