"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Navigation of the Upper Trinity River","Houston St. viaduct",,"Unclassified","missing","1985.0","27 x 42","Since the founding of Dallas, many of the city's leaders have dreamed of navigation on the upper Trinity River, but none of their attempts achieved lasting success. Fluctuating water levels and massive snags in the river below Dallas hindered early navigation. In 1866 the Trinity River Slack Water Navigation Co. proposed dams and locks for the waterway. Capt. James H. McGarvey and Confederate hero Dick Dowling piloted ""Job Boat No. 1"" from Galveston to Dallas, but the trip took over a year. In 1868 the Dallas-built ""Sallie Haynes"" began to carry cargo southward.Rising railroad freight charges spurred new interest in river shipping in the 1890s. the Trinity River Navigation Co., formed in 1892, operated ""Snag Puller Dallas"" and the ""H. A. Harvey, Jr.,"" which carried 150 passengers. The ""Harvey"" made daily runs to McCommas Bluff, 13 miles downstream from Dallas, where a dam, dance pavilion, and picnic grounds created a popular recreation spot.In 1900 - 1915 the U. S. Government spent $2 million on river improvements, including a series of dams and locks, before World War I halted work. A critical 1921 Corps of Engineers report ended further federal investment. Despite sporadic interest in later years, the dream of Dallas an an inland port remains unrealized.",
"John Hickman Miller House","3506 Cedar Springs Rd.",,"Government Building",,"1980.0","Medallion & Plate","Dallas businessman John Hickman Miller (d. 1933) had this house built in 1904 as a wedding gift for his wife Katherine ""Kitty"" (Melone) (d. 1969) Miller was the son of pioneer area settler William B. Miller, owner of Millermore (in Old City Park). This house is one of the few examples of shingle-style architecture remaining in Texas. The interior includes a large basement area and the shingled exterior features a gabled roof and a wide veranda.RTHL - 1980","POINT (-96.805953 32.8069)"
"Cox Cemetery",,"4000 block of Dalgreen between Lawther Dr. and Fisher Rd., Dallas","Cemetery",,"2001.0","27 x 42","A reflection of the pioneer heritage in this part of Dallas County, Cox Cemetery contains more than 400 marked graves and an estimated 100 unmarked burials.  The oldest tombstone dates to 1848 and marks the grave of Margaret Frances Dixon, the two-month-old daughter of Solomon and Lydia Dixon.   Located near White Rock Lake on the John H. Hyde headright, the cemetery was set aside permanently for that purpose by Absalom Humbard (1835-1909), who came to Texas with his wife,  Mary (Cook) (1835-1900), and family after he had been wounded and imprisoned during the Civil War. The Humbards settled near other families, some of whom had arrived in this area as early as 1843, including the Glovers, Lavenders, Mccommases, Coxes and Donagheys. They came to Texas from other parts of the United States and from Germany, and their family names appear on tombstones in this cemetery.  Others buried here include Abraham (1822-1913) and Elizabeth (Ray) (d. 1900) Hart, who received one of the earliest marriage licenses in Dallas County in 1848.   The cemetery served several early area communities, including Fisher (later known as Calhoun) and Reinhardt, railroad towns that later were absorbed into the city of Dallas. Members of the Fisher family, for whom that community was named, are buried in this cemetery.   Vandalism and the effects of time have rendered some of the stones illegible, but they continue to be cared for by members of the Cox Cemetery Association, which has served for many years as the primary caretaker for this historic graveyard.  (2001)","POINT (-96.796215 32.777977)"
"Oaklawn United Methodist Church","3014 Oak Lawn Ave.",,"Church",,"1974.0","18 x 28","An Oak Lawn settler, the Rev. Marcus H. Cullum (1822 - 1885), preached in a grove on Turtle Creek until citizens built a school - church house here on site given by the Dickason - Sale family. At opening of that building, Sept. 20, 1874, the Rev. M. H. Cullum founded the Oak Lawn Methodist Episocpal Church, South. A larger building with spires was erected in 1889. The present structure was built 1911-15, and enlarged in 1928 and 1950. Church name has been altered by changes in national organization. Membership has grown from 20 in 1874 to more than 2,000.","POINT (-96.808995 32.808637)"
"Texas' First Airmail and Passenger Service","Dallas Love Field Airport","in main terminal near ticket counters","Airport",,"1965.0","27 x 42","Love Field witnessed two ""firsts"" in Texas aviation history. National Air Transport (later became United Air Lines) on May 12, 1926, inaugurated first airmail service in Texas, and on Sept. 1, 1927, flew the first passengers and express. The flights were to Chicago.The first airmail packets, weighing a total of 1,556 lbs., were dispatched in two single-engine monoplanes, ""Miss Dallas"" and ""Miss Fort Worth,"" for a 12-hour flight. At the same time, ""Miss Chicago"" was on its way to Dallas with 275 lbs. of mail and parcels, including apparel for two clothing stores and a shipment of diamonds; total value $100,000.The first passenger service began at 8 a.m., with departure of a full load of three. About an hour earlier, another plane with two passengers and the first load of express left Chicago for Dallas. These early flights cut rail time by 15 hours, though it took almost 12 hours to fly the 990-mile, 7-stop trip, which cost 10 cents per mile. Each passenger was allowed 25 lbs. in baggage, with overweight charged at a dollar a pound. Air express shipments were limited to 200 lbs. and $5,000 valuation.Early travel, communication and transportation series; erected by Moody Foundation - 1965",
"Winnetka Heights","10th St. Triangle Park","at intersection of Jefferson Blvd., Montclair, 10th and Windomere","Neighborhood","Faded; Refinish","1982.0","27 x 42","Promoted as Dallas' ideal suburb, Winnetka Heights was platted in 1908 on a tract of land that was originally included in the midway addition to the city. The neighborhood's developers, outstanding men who made other significant contributions to the growth of Dallas, were L. A. Stemmons, T. S. Miller, Jr., R. S. Waldron and J. P. Blake.The majority of houses in Winnetka Heights were constructed by 1915. During the early years of the neighborhood's development, the prairie school and bungaloid styles of architecture were predominant. Later homes reflected influences and variations of the bungalow theme.Dallas Mayor J. Waddy Tate is listed among the many prominent civic, business and professional leaders of the city who lived in Winnetka Heights during the 1920s and 1930s. Characterized by a strong neighborhood identity, the area remained virtually intact following World War II, despite increased urban development and changing growth patterns throughout Dallas.Today Winnetka Heights serves as a reminder of the city during the early part of the twentieth century.",
"Browder Springs","Old City Park","in Old City Park at 1717 Gano St., Dallas","Waterway","Good","1968.0","20 x 20","Named for Browder family originally owning this site. Springs played key role in founding of Dallas and were principal source of water before a pumping system with city mains was installed. During drouth of 1909-10, springs were reopened to supply a million gallons of water a day.1968",
"Colonel C. C. Slaughter","Greenwood Cemetery","at corner of Cove Ave. and Glory Ave., 3020 Oak Grove","Unclassified",,"1988.0","18 x 28","Christopher Columbus Slaughter was the first native born cattle king of Texas. While living on the west Texas frontier he was a ranger, Confederate beef supplier, and trail driver. His ranching empire, including the Long S and Lazy S ranches, totaled over one million acres. In the early 1870s he moved to Dallas, where he founded, and was an officer in, three early banks. An initiator of the Texas & Southwestern Cattle Raisers Assn., he was also noted for his philanthropy to Baptist schools, churches, and hospitals, especially Baylor Hospital.",
"Trinity Presbyterian Church, USA","901 N. Zang Blvd.",,"Church",,"1988.0","18 x 28","Beginning as a Sunday School in the late 1880s, this congregation was formally organized in 1890 as Oak Cliff Cumberland Presbyterian Church under the leadership of the Rev. Daniel G. Molloy. Charter members included many pioneer Dallas families. The name was changed in 1904 when the Cumberland Church reunited with the mainstream Presbyterian denomination. The congregation worshiped at several locations within a mile of 901 N. Zang before moving to this site in 1944. This church has been a part of the community's history for over 100 years.","POINT (-96.824132 32.754214)"
"Dallas Symphony","2301 Flora St.","2301 Flora St. (near corner of Pearl and Flora Sts.), Dallas","Music","Good; hasn't been placed yet","1993.0","18 x 28","The Dallas SymphonyEarly efforts to establish a symphony orchestra in Dallas began in 1899 with the formation of the Dallas Symphony Club. It was a short-lived effort, but in 1911 the city's first professional orchestra was established under the Dallas Symphony Orchestra name. Led by a number of prominent conductors over the years, the orchestra has served the community and has become an integral part of the city's cultural life and one of the nation's premiere orchestral ensembles. The Dallas Symphony moved into a new Symphony Center in 1989.1993","POINT (-96.79807 32.789489)"
"W. W. Glover Cemetery","65-6600 blk. of Military Hwy.",,"Cemetery",,"1983.0","18 x 28","W. W. Glover CemeteryEarly Dallas County settler George W. Glover acquired this land in 1844. The property was first used as a cemetery for the interment of five-year-old Sarah Beeman who died on Mar. 22, 1857. In 1872 Glover deeded the property to his son William Wald Glover (1846 - 1928) for whom the cemetery was named. Among those buried here are the younger Glover and early Dallas settler and civic leader Richard Lagow. This community burial ground, which contains over 70 gravesites of pioneer settlers and their families, was last used in 1951.",
"St. Matthew's Cathedral","5100 Ross Ave.",,"Church","Faded;Redo - locally","1976.0","27 x 42","The Rev. George Rottenstein held the first Episcopal service in Dallas in a storehouse on May 25, 1856, and organized this parish on St. Matthew's Day, Sept. 21, 1857. The Rt. Rev. Alexander Gregg, first bishop of Texas, visited Dallas in 1860 and conducted services in the Masonic Hall. In 1870 the Rev. Silas Dean Davenport led the congregation in erecting its first church building, a frame structure at Elm and Lamar. St. Matthew's became a cathedral in 1875 when the Rt. Rev. Alexander Charles Garrett, the first missionary bishop of North Texas, chose it as his see church.The growing parish moved to a new brick edifice at Commerce and Kendall in 1877, but that soon became too small. A stone cathedral at Ervay and Canton was occupied in 1895, the year the Diocese of Dallas was created, and consecrated in 1899, just 25 years after Bishop Garrett's consecration. The Rev. Hudson Stuck, benefactor of children, was then dean of the cathedral. The very Rev. Harry Tunis Moore, dean of St. Matthew's in 1907-1917, became second bishop of Dallas when Bishop Garrett died in 1924. In 1929, the congregation moved to the former St. Mary's College Chapel, at this site. By 1976, the original six-member parish numbered over 1300.","POINT (-96.772578 32.808198)"
"Letot Cemetery","3235 Lombardy Lane","within Calvary Hill Cemetery(nw part)","Cemetery","Faded; Refinish (local)","1984.0","18 x 28","A native of France and a veteran of the Crimean War, Clement LeTot (b. 1836) settled in northwest Dallas County in 1874. He was the founder and leading citizen of the town of Letot, which was established in 1881 along the rail line. As was the custom of early Texas pioneers, Letot set aside a plot of his land for the burial of family members. The first burials here were for his sons Theodore (d. 1884) and Paul (d. 1885). Letot was buried beside his sons in 1907. Now a part of the City of Dallas, the Letot Cemetery represents an important part of Dallas County's ethnic heritage.","POINT (-96.87207300000001 32.866426)"
"California Crossing",,"in California Crossing Parkon California Crossing Road 2.5 miles west of Stemmons, off SH 114, Dallas","Roadway","Faded; refinish","1967.0","14 x 24","CALIFORNIA CROSSING(Some Five Hundred Feet North)Here thousands of 49'ers crossed Trinity River in heroic trek west--following California Gold discovery.Crossing was in shallow part of stream on Southern Transcontinental route to Pacific. Later used by stage lines, railroad; route passed through Dallas and Cedar Springs on to El Paso.","POINT (-96.796215 32.777977)"
"Dallas City Hall","Main & Howard",,"Government Building",,"1978.0","27 x 42","Dallas City Hall, 1914 - 1978In May 1910 Dallas officials determined that the City Hall, then situated on the northwest corner of Commerce and Akard Streets, had become too small to serve adequately the city's population of over 90,000. They sold the property to Adolphus Busch, who built the Adolphus Hotel at that site. A number of locations were considered for the new municipal facility before C. C. Slaughter suggested this site, which the city purchased in the fall of 1911. Voters approved a bond issue in an April 1912 election, and construction began in May 1913. The completed building opened on Oct. 17, 1914, to coincide with the start of the State Fair.C. D. Hill and Co. of Dallas designed the five-story Beaux-arts City Hall, constructed of Texas gray granite. Ornate Corinthian columns line the Classical facade. The interior of the structure, originally finished with marble floors and mahogany woodwork, has been remodeled periodically to provide additional office space. In 1956 the adjacent municipal building was erected to serve the growing city.In the basement of this structure on Nov. 24, 1963, Jack Ruby fatally shot Lee Harvey Oswald, alleged assassin of President John F. Kennedy.RTHL 1978",
"Cockrell, Alexander; Sarah Horton Cockrell","Dealey Plaza","Dealey Plaza, South Houston St. (s. side of Plaza), Dallas","Unclassified","Good","1973.0","27 x 42","Alexander Cockrell (June 8, 1820 - April 3, 1858)Sarah Horton Cockrell (Jan. 13, 1819 - April 26, 1892)Alexander Cockrell came to Dallas area in 1845. After serving in the war with Mexico (1846-47), he filed on 640 acres in the Peters Colony, and married Sarah Horton on Sept. 9, 1847. Cockress operated a freight line to Houston, Jefferson, and Shreveport until 1852, when he purchased remainder of the Dallas townsite from John Neely Bryan (1810 - 1877), the ""Father of Dallas.""Cockrell promoted growth of the village in the mid-1850s by building a brick factory, a sawmill, and a bridge across the Trinity River, replacing a ferry he had bought from Bryan. Cockrell's influence on Dallas' prosperity ended April 3, 1858, when he met an untimely death in an altercation over an unpaid debt.Sarah Horton Cockrell became the first woman in Dallas to exert economic influence outside the home. She completed the unfinished St. Nicholas Hotel, and rebuilt it after the fire of July 8, 1860; operated the ferry after the bridge collapsed in 1858 until a new span was erected in 1872; and, added a flour mill and other businesses to the community. The Cockrells' enterprises played a vital role in the establishment of Dallas as an early regional trade center.1973",
"Belo House","2100 Ross Ave.","corner of Ross and Olive streets","Home","good","1979.0","Medallion and Plate","Belo's wife Nettie (Ennis) (d. 1913) bought a home here in 1888 from A.W. Childeress.  It was replaced in the 1890s by this classical revival residence.  Designed by Herbert M. Greene, it reflects influences of the Belo family home in North Carolina.  After their marriage in 1900, A.H. Belo, Jr. and his bride Helen (Ponder) came to live with his parents.  Members of the Belo family resided here until 1922.  Additions were made to the rear and side of the house during the nearly 50 years it was used as a funeral home.Recorded Texas Historical Landmark -- 1979","POINT (-96.798098 32.787883)"
"Demonstration of the First Working Integrated Circuit","Texas Instruments, Inc., Corporate Headquarters","13500 N. Central Expressway (US 75), E. side of road, Exit 22, Dallas","Unclassified",,"1988.0","27 x 42","The twentieth-century age of electronics can trace its roots to the 1906 invention of the triode vacuum tube, which marked the birth of modern radio. The invention of the transistor after World War II ushered in a new era of solid-state electronics.As engineers designed increasingly complex equipment, the difficulty of interconnecting large numbers of individual transistors and other components to form electronic circuits was a barrier to further progress. The need arose for a reliable, cost-effective way to produce and interconnect the components. Technical research groups in the United States and abroad began work on the problem. In 1958, Jack St. Clair Kilby, an engineer at Texas Instruments (TI) in Dallas, designed and built an integrated circuit with all the components formed in a single piece of semiconductor material. On September 12, 1958, he demonstrated this first working integrated circuit to TI personnel in the semiconductor building on this site.This conceptual breakthrough and work elsewhere led to development of the microchips that are at the core of modern electronic products, including a broad range of consumer electronics, digital computers, defense systems, and global communications networks.",
"Pleasant Mound ""Public"" Cemetery","Buckner Blvd. and Sceyne Rd.",,"Cemetery","Faded; Redo (locally)","1972.0","18 x 28","In 1640-acre survey of James Jackson Beeman (1816-88), uncle by marriage of John Neely Bryan, first settler in Dallas. Beeman came here from Illinois in 1840, helped cut first road in Trinity bottoms; name Turtle Creek, 1841; and plat city of Dallas, 1842.On March 8, 1848, he buried his wife Sarah Crawford Beeman on northeast corner of his land, and later allowed neighbors to bury their dead here. Cemetery's first (1887) trustees were J. W. Miller, James Pruitt, and J. H. Shannon.Pioneers buried here set the course for greatness of Dallas.Marker Donated By: Mildred Boone (Mrs. Joel) Haden, great-granddaughter of Sarah Crawford Beeman, first person buried in this cemetery, and by the Ada Bruton Garden Club of Dallas.",
"Alexander Harwood",,"Pioneer Cemetery, Marilla at Young St.","Grave",,"1996.0","Grave Marker","(1820-1885)   Came to Dallas in 1844 from Tennessee. After the death of his first wife Isabella Daniel Harwood in 1851, he married Sarah Peak in 1855. Harwood was elected county clerk six times between 1850 and 1880. He was senior warden of the Tannehill Masonic Lodge and served the Confederacy as assistant to Postmaster General John H. reagan. Harwood represented Dallas County at the 1866 State Constitutional Convention. (1996)","POINT (-96.796215 32.777977)"
"Hall of State","Grand Ave. at Nimitz Dr., Fair Park",,"Government Building",,"1980.0","Plate and Medallion","Construction of this building, which served as the focal point of the 1936 Texas Centennial Central Exposition, was approved by the State Legislature to be ""Texanic in proportion and centennial in character."" Designed by a team of Dallas architects, it is built of native Texas materials with ornamental representations of commerce and history. Completed during the 1930s Depression, it is one of the best examples of Art Deco architecture in Texas.RTHL - 1980",
"Dallas County","Historical Plaza","Dallas Co. Historical Plaza at Elm, Market and Main, Dallas","County","Good","1936.0","pink Hwy. marker","Dallas CountyThe unincorporated town of Dallas was designated as a post office by the Republic of Texas in 1843. The County of Dallas was created by the first Legislature of Texas on March 30, 1846 from portions of Robertson and Nacogdoches counties. Both city and county were named in honor of George Mifflin Dallas (1792 - 1864) Pennsylvania Democratic statesman who was elected the eleventh vice-president of the United States on a platform favoring Texas annexation.(West limits Dallas, US Hy 80, State Hy 18)",
"Reinhardt Elementary School","10122 Losa Dr.","10122 Losa Dr. in Dallas","School",,"1994.0","27 x 42","Reinhardt Elementary School traces its history to the 1880s, when a small frame schoolhouse was built on the farm of John Chenault to serve children of early settlers in this vicinity. After the Santa Fe Railroad built a line through the area and erected a depot about 1885, a town evolved and was named Reinhardt for Dallas merchant Isadore Reinhardt. Soon the town boasted two stores, a cotton gin, and a bank, and by 1900 a new frame school building was constructed near the rail line. Two teachers taught students in all grades. About 1910 a second frame building was erected on the opposite side of the railroad tracks, and in 1921 it was replaced by a two-story red brick school building.After the Casa Linda neighborhood was developed in the 1930s a larger Reinhardt Elementary School was built at this site in 1941. Reinhardt became a part of the Dallas School System in 1945 when the town of Reinhardt was annexed to the city of Dallas.Enlarged over the years to serve an ever-increasing enrollment, Reinhardt Elementary School continues to play an important role in Dallas education. It is considered the ""Mother School"" of Casa View Elementary and several other schools in the area.","POINT (-96.692045 32.83784)"
"Majestic Theatre","1925 Elm St.",,"Arts Building",,"1983.0","Medallion and Plate","In his determination to provide entertainment for the entire family, theatre pioneer and innovator Karl St. John Hoblitzelle (1879 - 1967) built this structure in 1921 to house Dallas' Majestic Theatre. The five-story, five-bay, Beaux Arts structure was designed by Chicago architect John Eberson. Featuring a 1570-seat auditorium, the Majestic's fine classical exterior detailing is complemented by its opulent Baroque interior.RTHL - 1983","POINT (-96.794958 32.782345)"
"Crockett, John McClannahan","Pioneer Cemetery","Pioneer Cemetery between Marilla St. and Griffin Dr., on the grounds of the Dallas Convention Center, Dallas","Unclassified",,"1995.0","grave marker","John McClannahan Crockett(December 26, 1816 - August 4, 1887)South Carolina native John M. Crockett married Katherine (Kate) Polk in 1837. In 1848 they moved to Dallas where Crockett opened one of the pioneer settlement's first law offices. Crockett served as a State Legislator, Mayor of Dallas, and meteorological observer for the Smithsonian Institution in the 1850s, and as Lt. Governor of Texas during its first two years in the Confederacy. A prominent Mason, Crockett also helped establish The Grange in North Texas.Recorded - 1995",
"Garvin Memorial Cemetery","3800 blk. W. NW Hwy.","south side of road, just past apartments","Cemetery","Faded; refinish (local effort)","1980.0","18 x 28","This burial ground served the pioneer families who settled in the area. Graves here date from the 1870s. The land for the cemetery was donated to the community by James G. Garvin (1830 - 1897), a former Dallas merchant, his wife Eliza, and brothers Col. William L. Crawford (1839 - 1920) and Judge M. L. Crawford (1841 - 1910), prominent attorneys of the county. Several veterans of the Civil War are interred here, including Col. Pleasant G. Swor (1834 - 1878), who led an assault against Union forces at the Battle of Corinth.","POINT (-96.852526 32.861672)"
"Bryan, John Neely (1810-1877) and","Dealey Plaza","Bryan Colonnade, dealey Plaza, Elm & Houston, Dallas","Unclassified",,"1978.0","27 x 42","JOHN NEELY BRYAN, 1810-1877 AND MARGAET BEEMAN BRYAN, 1825-1919In 1839 Tennessee lawyer John Neely Bryan chose this high bluff and shallow ford on the Trinity River as site for a trading post. Finding Indians scarce when he returned in 1844, he platted a town, installed a ferry, and called the place Dallas. In the 1840s, the Republic of Texas opened its Central National Road from here to the U.S. border, and drew settlers to this area with liberal land grants.Margaret Beeman was a daughter of John Beeman, a prosperous man from Illinois, of North Carolina heritage. At 15, she met Bryan at the Cross Roads Camp Ground, Bowie County. Her father staked his claim about eight miles from Bryan's town. She and Bryan married in 1843, and became parents of six children. Margaret, her father, and other relatives strongly supported Bryan's work as ""Father of Dallas.""Bryan went to the California gold rush in 1849, but gained no fortune. After his return, he donated 98 city lots for a courthouse and county seat, then sold his ferry and remaining interest in the townsite. In poor health for many years, he died in Austin at 67. Margaret Beeman Bryan lived to age 94, and saw Dallas attain a population of over 150,000.1978Incise on base: A BICENTENNIAL PROJECT OF THE JUNIOR LEAGUE OF DALLAS, INC., 1976",
"Tyler Street United Methodist Church","927 W. 10th St.","between Tyler and Polk Streets","Church","Faded; Refinish","1987.0","27 x 42","On November 27, 1911, the North Texas Conference of the Methodist Episcopal Church, South, appointed the Rev. J. Leonard Rea (1884 - 1965) to establish a parish in Dallas to be known as Tyler Street Methodist Church. The congregation was organized on January 29, 1912, with 166 charter members. A sanctuary for the new church was built on the corner of Tyler and Sunset streets in July 1912. The Rev. Mr. Rea continued as minister, and the first report of the congregation to the denomination Annual Conference revealed a membership of 304.By 1921 the need for a new building had arisen. A site was acquired at Tenth and Polk streets, and the congregation moved into a partially completed building that year. Construction resumed in 1923 and a large sanctuary was completed in 1925.During the difficult period of the Great Depression the church building was closed by creditors. The congregation met in Sunset High School from March 1932 until they could return to their facilities in the fall of 1933. Since that time, the congregation has continued to grow, and additional buildings have been added to the property. Tyler Street United Methodist Church remains a vital part of the community.","POINT (-96.838654 32.745134)"
"Site of First Ferry and Bridge","Dealey Plaza","Cockrell Colonnade","Roadway","Vandalized; redo","1968.0","20 x 20","Site of First Ferry and Bridge (about 300 feet West)First ferry on the Trinity River at Dallas was started here, 1842, by John Neely Bryan (1810 - 1877), the founder of Dallas. Alexander Cockrell (1820 - 1858), early builder and developer, replaced ferry with wooden toll bridge, 1854.This crossing played an important part in the development of the city.",
"Hord Log Cabin",,"501 shelter Place (Opera & Lancaster Sts.","Unclassified","missing","1962.0","Medallion and Plate","First permanent structure built on the west side of the Trinity River in Dallas, this cabin of hand-hewn logs was erected in 1845 by Judge William H. Hord (d. 1901), Dallas County Judge, 1848-50, who brought his family here by covered wagon from Tennessee. In 1887 Oak Cliff developer T. L. Marsalis bought the Hord property. Mr. and Mrs. Martin Weiss rescued the cabin and gave it in 1942 to American Legion Post No. 275 and Auxiliary. The restored building became a museum in 1976.RTHL - 1962","POINT (-96.796215 32.777977)"
"William B. Lipscomb Elementary School","5801 Worth",,"School","Faded; Redo (locally)","1986.0","27 x 42","This school, built in 1920 to relieve the crowded conditions of area schools, was named for early educator William B. Lipscomb. A Tennessee native (b. 1860), Lipscomb served as principal of Dallas High School from 1894 until his death five years later.The three-story structure, designed by architect Herbert M. Green and originally surrounded by over three acres of recreation grounds, boasts a facade trimmed with stone quoins and a basement wing with castellated stones revealing the date of construction. Two Gothic-style stone tablets adorn the two front entrances to display the school name.Since its official opening in 1921, the school has served as an educatinal and social center for the Swiss Avenue, Munger Place, and Junius Heights neighborhoods. Over the years the school's enrollment reflected its changing environment. Rapid urbanization in the 1920s gave way to economic woes in the Great Depression of the 1930s, followed by a surge of patriotic activity and wartime relief efforts during World War II. The post-war years brought decreased enrollment when many families began moving to suburbs, but subsequent decades have seen a renewed vitalization to the old school and neighborhoods.Texas Sesquicentennial 1836 - 1986","POINT (-96.756615 32.806786)"
"Woodrow Wilson High School","100 S. Glasgow Dr.",,"School",,"1989.0","Medallion & Plate","Built in 1927-28 to serve the growing student population in east Dallas, this was the seventh high school in the city. An important example of the period revivals which characterized architecture of the 1920s, this structure reflects the Jacobethan Revival style. Outstanding features include prominent entry bays and stone detailing. Many of the school's graduates have enjoyed successful careers in business, politics, science, sports, and the arts.RTHL - 1989","POINT (-96.75074 32.80495)"
"Log Cabin Pioneers of Dallas County","Elm and Market Sts.","Dallas County Historical Plaza","Cabin",,"1986.0","27 x 42","Most colonists first settled in this ""Three Forks"" area of the Trinity River as mmebers of the Peters Colony after 1841. Immigrants from such states as Arkansas, Illinois, Kentucky, Missouri, and Tennessee brought with them a tradition of building log shelters.Land title was granted to settlers who worked at least 15 acres and built ""a good and comfortable cabin upon it."" This region was abundant in oak, juniper (popularly called cedar), walnut, ash, bois d'arc, and elm trees, which furnished sturdy building timbers.John Neely Bryan, a colonist from Tennessee, arrived near this site in late 1841 and built a log cabin in 1842. The area's first school and church was built of logs at Farmer's Branch (12 mi. NW) in 1845. J. W. Smith and J. M. Patterson brought goods from Shreveport (184 mi. E) in 1846 for resale at their log store in dallas.Milled lumber appeared in Dallas buildings by 1849, and bricks were available by 1860. That year a fire destroyed most of the town's original log cabins.The nearby cabin was built of cedar logs before 1850, possibly by Kentuckian Gideon Pemberton. It was moved from its original site (7.5 mi. E) in 1926 and rebuilt at several locations, including Bryan's designated courthouse site (1 blk. SW) in 1936, and this block in 1971.Texas Sesquicentennial 1836 - 1986",
"Busch-Kirby Building","1509 Main St.",,"Commmercial Building",,"1988.0","Plate & Medallion","Adolphus Busch had this building constructed in 1913 as a complementary retail and office facility for his nearby Adolphus Hotel. It was acquired by the Kirby Investment Company in 1919. Designed by the St. Louis architectural firm of Barnett, Hayes & Barnett, in association with the Dallas firm of Lang and Witchell, it features a strong vertical emphasis with Gothic pinnacles and spires highlighting the top, and fine terra cotta details.RTHL - 1988","POINT (-96.79924200000002 32.780632)"
"Ursuline Academy","4900 Walnut Hill Lane",,"School",,"1989.0","27 x 42","Bishop Claude Marie Dubuis, wishing to establish a Catholic school in the rapidly-growing area of North Texas, assigned six Galveston-based Ursuline nuns to the task in 1874. In January of that year Bishop Dubuis traveled with the sisters to Dallas and assisted them in opening the school.The first facility available to the new academy was a small four-room frame cottage located near Sacred Heart Church in downtown Dallas. The church's pastor, Father Joseph Martiniere, worked closely with the nuns in establishing the school, which officially opened on February 2, 1874, with seven students.As enrollment grew, plans were made to build a larger facility. In 1884 the school moved out of the downtown area to a new brick building located at Bryan, Haskell, and Live Oak streets. That building served the academy until 1949, when the school relocated to this site.Generations of Dallas girls have attended Ursuline Academy. One of the city's first kindergartens opened as part of the academy's program in 1918. Its grammar school section was discontinued in 1976, and the emphasis after that time was placed on high school education.","POINT (-96.823829 32.880116)"
"Albert Carver Cemetery","Bruton Rd. & Masters St.","SE corner of Bruton Rd. and Masters St.","Cemetery","Good","1985.0","18 x 28","Illinois native Albert Carver (1827-1911) purchased land in this area in 1856 and settled here with his family. A farmer and noted breeder of Durham cattle, Carver set aside this plot of land for a family graveyard. Both he and his wife, Mary (Markham), are buried here, as are four sons, J. B., J. A., George, and F. E., and their families. The oldest marked grave in the cemetery, dated 1885, is that of an infant son of J. B. and Ophelia Carver. The cemetery is a visible reminder of this pioneer family and of the area's heritage.",
"Steel Dust","ML King Dr. & Coliseum Dr.",,"Animals","Faded; Redo - locally","1971.0","27 x 42","19th century Texas frontier champion who became foundation sire for the most popular quarter horse strain of the 20th century. A Virginia type horse foaled by a Kentucky thoroughbred mare, Steel Dust was brought in 1844 as a colt to the Texas Republic by settlers Middleton Perry and Jones Greene. On Ten Mile Creek (near Lancaster, SE of Dallas) at the farm track of Thomas McKee Ellis, father-in-law of his owners, Steel Dust outran all challengers. He was about 16 hands high and so quick that his jockey coated his back with molasses in order to stay on. Steel Dust won a spectacular race in McKinney against local favorite Monmouth in 1855; soon afterward defeated Brown Dick, from Hopkins County. Later in 1855, going against Shiloh, a horse from Tennessee, Steel Dust was hurt at the starting gate. He soon went blind, never raced again, but survived at stud for years.The famed King Ranch in south Texas began to use breeding lines from Steel Dust and Shiloh in 1916, winning many honors at the State Fair of Texas. From this ranch has come stock for circuses, rodeos, and polo teams. The American Quarter Horse Association was formed in 1940. Quarter horses are now as much in demand for racing as for farm and ranch work.",
"Swiss Avenue","5500 block Swiss Ave.",,"Neighborhood",,"1975.0","27 x 42","This wide boulevard was a muddy country lane in 1857, when Swiss immigrant Henri Boll named it in honor of his native land. Swiss Avenue was lengthened and paved as part of Munger Place, an exclusive 140-acre residential area developed in 1905 by cotton gin manufacturer R. S. Munger (1854 - 1923). To assure the unified appearance of the neighborhood, Munger imposed such building requirements as $10,000 minimum cost and two-story height. At the same time, the houses are unique because residents were free to choose from the variety of architectural styles popular during the early 20th century, including Tudor Revival, Georgian Revival, and Frank Lloyd Wright's prairie style.Dr. R. W. Baird's Classical Revival residence at 5303 Swiss Avenue was the first one erected here in 1905. By 1920, about 200 elegant homes had been built in the Munger Place addition. Residents included prominent lawyers, bankers, merchants, industrialists, and doctors.In recent years, the Swiss Avenue area declined, and some of the old homes were demolished or divided into apartments. Efforts of the Historic Preservation League and interested citizens to save the neighborhood resulted in the city of Dallas designating it as the city's first historic district in 1973.","POINT (-96.764258 32.806612)"
"East Dallas Christian Church","629 N. Peak St.",,"Church",,"1982.0","18 x 28","Members of Central Christian Church organized this fellowship in 1903. The earliest services were held in a wooden chapel at the northeast corner of Peak and Victor Streets. The Rev. John Stevens served as the first pastor. In 1907 the tabernacle was moved to this site, donated by J. J. Hart. A new brick building replaced the structure in 1912. A leader in the growth of East Dallas, the church has actively supported neighborhood programs, missions, and the Juliette Fowler Home, started by member Sara Harwood. Many prominent Dallas leaders have been members here.","POINT (-96.773649 32.793943)"
