"treatment_number","animal_id","condition_type","treatment_date","treatment_time","treatment_by","treatment_type","treatment_subtype","number_of_days","weight","temperature","visit_number","visit_type","visit_reason","month","year"
"T19-954713","A1062858","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-01T00:00:00.000","16:58:00","OB",,,,"56.8",,"T19-954713","INTAKE EXAM",,"APR.2019","FY2019"
"T19-335273","A1080725",,"2019-08-29T00:00:00.000","12:41:01.550000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-335270",,,"AUG.2019","FY2019"
"T19-281954","A1075270","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-13T00:00:00.000","18:16:00","NG",,,,"17.4",,"T19-281954","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-209932","A1064923",,"2019-05-23T00:00:00.000","09:44:33.460000",,,,"1",,,"T19-209930",,,"MAY.2019","FY2019"
"T19-958351","A1063176",,"2019-04-05T00:00:00.000","19:25:26.613000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-954799","A1062859","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-01T00:00:00.000","18:33:00","OB",,,,"56.8",,"T19-954799","EXAM - ADOPTION",,"APR.2019","FY2019"
"T19-976965","A1064923",,"2019-04-24T00:00:00.000","19:04:31.107000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-283941","A0938907",,"2019-07-15T00:00:00.000","08:55:23.940000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-283934",,,"JUL.2019","FY2019"
"T19-940168","A1060825",,"2019-03-18T00:00:00.000","08:10:04.053000",,,,"1",,,"T19-940164",,,"MAR.2019","FY2019"
"T19-872340","A1052654",,"2019-01-01T00:00:00.000","10:40:07.340000",,,,"14",,,"T19-871217",,,"JAN.2019","FY2019"
"T19-343623","A1080725","UNKNOWN","2019-09-05T00:00:00.000","10:06:00","OB/PA",,,,,,"T19-343623","M-EVAL REQ",,"SEP.2019","FY2019"
"T19-272361","A1074457",,"2019-07-06T00:00:00.000","18:06:08.653000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T19-883045","A1052654","TREATABLE REHABILITABLE CONTAGIOUS","2019-01-14T00:00:00.000","10:16:00","AG",,,,,,"T19-883045","EXAM-VISUAL",,"JAN.2019","FY2019"
"T19-342719","A1080725",,"2019-09-05T00:00:00.000","10:11:19.213000",,,,"1",,,"T19-342710",,,"SEP.2019","FY2019"
"T19-303277","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-01T00:00:00.000","13:00:00","CP/PA",,,,"1.8",,"T19-303277","SURGERY-FELINE NEUTER",,"AUG.2019","FY2019"
"T19-985554","A1066280",,"2019-05-02T00:00:00.000","13:20:47.080000",,,,"1",,,"T19-985553",,,"MAY.2019","FY2019"
"T19-871984","A1052654",,"2019-01-02T00:00:00.000","16:25:12.420000",,,,"1",,,"T19-871947",,,"JAN.2019","FY2019"
"T19-346059","A1081638","UNKNOWN","2019-09-08T00:00:00.000","16:15:00",,,,,,,"T19-346059","NURSERY",,"SEP.2019","FY2019"
"T19-296308","A1070190","UNKNOWN","2019-07-26T00:00:00.000","15:44:00","DT",,,,"51",,"T19-296308","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-335283","A1080725",,"2019-08-29T00:00:00.000","12:41:42.523000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-304238","A1077173",,"2019-08-02T00:00:00.000","11:49:58.097000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T19-231810","A1067348","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-08T00:00:00.000","07:20:00","NG",,,,,,"T19-231810","EXAM",,"JUN.2019","FY2019"
"T19-283940","A0938907",,"2019-07-15T00:00:00.000","08:55:16.257000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-308437","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","09:45:00","AG",,,,"1.8",,"T19-308437","EXAM",,"AUG.2019","FY2019"
"T18-858027","A1052244",,"2018-12-17T00:00:00.000","10:28:58.630000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-857722","A1052244",,"2018-12-16T00:00:00.000","16:37:52.460000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T18-857719","A1052244",,"2018-12-16T00:00:00.000","16:37:46.163000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-857716",,,"DEC.2018","FY2019"
"T18-857716","A1052244","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-16T00:00:00.000","16:22:00","NG",,,,"53",,"T18-857716","INTAKE EXAM",,"DEC.2018","FY2019"
"T18-858025","A1052244",,"2018-12-17T00:00:00.000","10:28:50.500000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-858034","A1052244",,"2018-12-17T00:00:00.000","10:29:49.883000",,,,"3",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-858031","A1052244",,"2018-12-17T00:00:00.000","10:29:26.093000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-858028","A1052244",,"2018-12-17T00:00:00.000","10:29:04.897000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-858023",,,"DEC.2018","FY2019"
"T18-857718","A1052244",,"2018-12-16T00:00:00.000","16:37:42.747000",,"MICROCHIP (24HR PET WATCH)",,,,,"T18-857716",,,"DEC.2018","FY2019"
"T18-858033","A1052244",,"2018-12-17T00:00:00.000","10:29:41.883000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-858032","A1052244",,"2018-12-17T00:00:00.000","10:29:34.270000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-858029","A1052244",,"2018-12-17T00:00:00.000","10:29:12.510000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T19-966291","A1052244",,"2019-04-14T00:00:00.000","18:48:54.230000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-966288",,,"APR.2019","FY2019"
"T19-966288","A1052244","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-14T00:00:00.000","18:48:00","DT",,,,"80.8",,"T19-966288","EXAM",,"APR.2019","FY2019"
"T18-858030","A1052244",,"2018-12-17T00:00:00.000","10:29:17.830000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-857728","A1052244",,"2018-12-16T00:00:00.000","16:38:07.043000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T18-858023","A1052244","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-17T00:00:00.000","10:28:00","VL",,,,"67",,"T18-858023","SURGERY-",,"DEC.2018","FY2019"
"T18-858026","A1052244",,"2018-12-17T00:00:00.000","10:28:53.377000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T18-857721","A1052244",,"2018-12-16T00:00:00.000","16:37:49.193000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T19-326872","A1079992",,"2019-08-22T00:00:00.000","12:28:09.900000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-326865",,,"AUG.2019","FY2019"
"T18-857725","A1052244",,"2018-12-16T00:00:00.000","16:37:58.380000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T19-966290","A1052244",,"2019-04-14T00:00:00.000","18:48:46.993000",,,,"1",,,"T19-966288",,,"APR.2019","FY2019"
"T19-326869","A1079992",,"2019-08-22T00:00:00.000","12:27:59.830000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T19-326868","A1079992",,"2019-08-22T00:00:00.000","12:27:55.747000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T19-327630","A1079992",,"2019-08-23T00:00:00.000","09:54:46.530000",,,,"1",,,"T19-327622",,,"AUG.2019","FY2019"
"T18-857727","A1052244",,"2018-12-16T00:00:00.000","16:38:02.310000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T19-326870","A1079992",,"2019-08-22T00:00:00.000","12:28:03.517000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T18-857724","A1052244",,"2018-12-16T00:00:00.000","16:37:55.030000",,,,"1",,,"T18-857716",,,"DEC.2018","FY2019"
"T19-326871","A1079992",,"2019-08-22T00:00:00.000","12:28:06.870000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T19-327629","A1079992",,"2019-08-23T00:00:00.000","09:54:39.453000",,,,"3",,,"T19-327622",,,"AUG.2019","FY2019"
"T19-966289","A1052244",,"2019-04-14T00:00:00.000","18:48:39.307000",,,,"1",,,"T19-966288",,,"APR.2019","FY2019"
"T19-341081","A1079992","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-03T00:00:00.000","22:13:00","IT",,,,,,"T19-341081","HISTORY","SURGERY TRAUMA","SEP.2019","FY2019"
"T18-858024","A1052244",,"2018-12-17T00:00:00.000","10:28:48.047000",,,,"1",,,"T18-858023",,,"DEC.2018","FY2019"
"T19-326865","A1079992","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-22T00:00:00.000","12:27:00","SR",,,,"49.8",,"T19-326865","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-327625","A1079992",,"2019-08-23T00:00:00.000","09:54:26.933000",,,,"1",,,"T19-327622",,,"AUG.2019","FY2019"
"T19-326866","A1079992",,"2019-08-22T00:00:00.000","12:27:49.293000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T19-327622","A1079992","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-23T00:00:00.000","09:53:00","AR",,,,"49",,"T19-327622","SURGERY-CANINE NEUTER",,"AUG.2019","FY2019"
"T19-326867","A1079992",,"2019-08-22T00:00:00.000","12:27:52.477000",,,,"1",,,"T19-326865",,,"AUG.2019","FY2019"
"T19-327624","A1079992",,"2019-08-23T00:00:00.000","09:54:20.670000",,,,"1",,,"T19-327622",,,"AUG.2019","FY2019"
"T19-326873","A1079992",,"2019-08-22T00:00:00.000","12:28:14.100000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-326865",,,"AUG.2019","FY2019"
"T19-327627","A1079992",,"2019-08-23T00:00:00.000","09:54:33.557000",,,,"1",,,"T19-327622",,,"AUG.2019","FY2019"
"T19-974859","A1060825","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-23T00:00:00.000","11:35:00","SR",,,,"64.6",,"T19-974859","INTAKE EXAM",,"APR.2019","FY2019"
"T19-321411","A1079079",,"2019-08-17T00:00:00.000","07:47:21.577000",,,,"1",,,"T19-321410",,,"AUG.2019","FY2019"
"T19-293991","A1076329",,"2019-07-24T00:00:00.000","16:49:48.830000",,,,"15",,,"T19-293973",,,"JUL.2019","FY2019"
"T19-290962","A1070190","UNKNOWN","2019-07-22T00:00:00.000","12:27:00",,,,,,,"T19-290962","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-940166","A1060825",,"2019-03-18T00:00:00.000","08:09:48.903000",,,,"1",,,"T19-940164",,,"MAR.2019","FY2019"
"T18-791790","A1043486","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-10-12T00:00:00.000","10:44:00","MO/DL",,,,,,"T18-791790","EXAM-VISUAL",,"OCT.2018","FY2019"
"T19-260695","A1073415",,"2019-06-27T00:00:00.000","20:31:44.510000",,,,"1",,,"T19-260694",,,"JUN.2019","FY2019"
"T19-288120","A1070190",,"2019-07-19T00:00:00.000","12:18:49.150000",,,,"1",,,"T19-288119",,,"JUL.2019","FY2019"
"T19-299775","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-30T00:00:00.000","10:40:00","CBM",,,,"1.9",,"T19-299775","EXAM",,"JUL.2019","FY2019"
"T19-309625","A1046046",,"2019-08-06T00:00:00.000","17:08:22.377000",,,,"1",,,"T19-309623",,,"AUG.2019","FY2019"
"T19-335277","A1080725",,"2019-08-29T00:00:00.000","12:41:21.610000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-267465","A1070190",,"2019-07-03T00:00:00.000","05:49:36.127000",,,,"1",,,"T19-267462",,,"JUL.2019","FY2019"
"T19-274802","A1070190",,"2019-07-09T00:00:00.000","08:29:00.317000",,,,"1",,,"T19-274801",,,"JUL.2019","FY2019"
"T19-305262","A1077088",,"2019-08-03T00:00:00.000","10:30:57.243000",,,,"1",,,"T19-305261",,,"AUG.2019","FY2019"
"T19-247411","A1072193",,"2019-06-19T00:00:00.000","09:57:01.343000",,,,"1",,,"T19-247409",,,"JUN.2019","FY2019"
"T18-795571","A1043486",,"2018-10-16T00:00:00.000","10:17:33.663000",,,,"1",,,"T18-795570",,,"OCT.2018","FY2019"
"T19-931069","A1046046",,"2019-03-06T00:00:00.000","22:59:52.010000",,,,"1",,,"T19-931065",,,"MAR.2019","FY2019"
"T18-799977","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-10-19T00:00:00.000","17:13:00","JS1699",,,,"32",,"T18-799977","INTAKE EXAM",,"OCT.2018","FY2019"
"T19-309623","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","17:07:00","DT",,,,"59",,"T19-309623","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-309577","A1046046",,"2019-08-06T00:00:00.000","16:44:11.323000",,,,"1",,,"T19-309564",,,"AUG.2019","FY2019"
"T18-793070","A1046046",,"2018-10-13T00:00:00.000","10:20:44.793000",,,,"1",,,"T18-793067",,,"OCT.2018","FY2019"
"T19-309628","A1046046",,"2019-08-06T00:00:00.000","17:08:39.380000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-309623",,,"AUG.2019","FY2019"
"T18-791019","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-10-11T00:00:00.000","14:50:00","NG",,,,"30.6",,"T18-791019","INTAKE EXAM",,"OCT.2018","FY2019"
"T19-309567","A1046046",,"2019-08-06T00:00:00.000","16:41:05.997000",,,,"1",,,"T19-309564",,,"AUG.2019","FY2019"
"T19-269075","A1064923",,"2019-07-03T00:00:00.000","18:24:02.940000",,,,"1",,,"T19-269074",,,"JUL.2019","FY2019"
"T19-345586","A1081638","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","18:13:00","CBM",,,,"0.35",,"T19-345586","EXAM - ADOPTION",,"SEP.2019","FY2019"
"T19-303292","A1076323",,"2019-08-01T00:00:00.000","13:06:58.740000",,,,"1",,,"T19-303288",,,"AUG.2019","FY2019"
"T19-988786","A1064923",,"2019-05-05T00:00:00.000","09:54:03.957000",,,,"1",,,"T19-988785",,,"MAY.2019","FY2019"
"T19-342716","A1080725",,"2019-09-05T00:00:00.000","10:08:23.833000",,,,"1",,,"T19-342710",,,"SEP.2019","FY2019"
"T19-285621","A1075270",,"2019-07-17T00:00:00.000","12:45:35.313000",,,,"1",,,"T19-285619",,,"JUL.2019","FY2019"
"T19-954800","A1062859",,"2019-04-01T00:00:00.000","18:34:39.320000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-303288","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-01T00:00:00.000","13:06:00","CP/PA",,,,"1.8",,"T19-303288","SURGERY-FELINE NEUTER",,"AUG.2019","FY2019"
"T19-321412","A1079079",,"2019-08-17T00:00:00.000","07:47:25.950000",,,,"1",,,"T19-321410",,,"AUG.2019","FY2019"
"T19-260697","A1073415",,"2019-06-27T00:00:00.000","20:31:52.563000",,,,"1",,,"T19-260694",,,"JUN.2019","FY2019"
"T19-996169","A1067348",,"2019-05-11T00:00:00.000","11:30:29.327000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T18-862684","A1052654",,"2018-12-21T00:00:00.000","13:44:30.070000",,,,"1",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-281959","A1075270",,"2019-07-13T00:00:00.000","18:17:12.700000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T19-203730","A1067348","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-18T00:00:00.000","08:14:00","VL/PA",,,,"48",,"T19-203730","SURGERY-",,"MAY.2019","FY2019"
"T19-283934","A0938907","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-15T00:00:00.000","08:54:00","DT/CBM",,,,"50.2",,"T19-283934","INTAKE EXAM",,"JUL.2019","FY2019"
"T18-791025","A1046046",,"2018-10-11T00:00:00.000","14:56:03.027000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T19-267646","A1073891",,"2019-07-03T00:00:00.000","09:40:14.313000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-974765","A1064923",,"2019-04-23T00:00:00.000","10:51:58.103000",,,,"3",,,"T19-974757",,,"APR.2019","FY2019"
"T19-269982","A1064923",,"2019-07-03T00:00:00.000","15:24:29.567000",,,,"1",,,"T19-269980",,,"JUL.2019","FY2019"
"T19-342718","A1080725",,"2019-09-05T00:00:00.000","10:08:35.947000",,,,"1",,,"T19-342710",,,"SEP.2019","FY2019"
"T19-936986","A1060825",,"2019-03-13T00:00:00.000","16:32:30.643000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-316782","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-13T00:00:00.000","11:15:00","LV",,,,"1.6",,"T19-316782","EXAM-VET",,"AUG.2019","FY2019"
"T19-304157","A1070190","APP WNL","2019-08-02T00:00:00.000","11:13:00","BP",,,,,,"T19-304157","EXAM",,"AUG.2019","FY2019"
"T19-316455","A1079079",,"2019-08-12T00:00:00.000","18:54:29.817000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-203735","A1067348",,"2019-05-18T00:00:00.000","08:15:44.170000",,,,"3",,,"T19-203730",,,"MAY.2019","FY2019"
"T19-283935","A0938907",,"2019-07-16T00:00:00.000","08:54:44.190000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-984404","A1064923",,"2019-04-30T00:00:00.000","17:15:29.440000",,,,"15",,,"T19-982742",,,"APR.2019","FY2019"
"T19-291717","A1070190","UNKNOWN","2019-07-22T00:00:00.000","17:08:00",,,,,,,"T19-291717","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-303280","A1076329",,"2019-08-01T00:00:00.000","13:03:04.900000",,,,"1",,,"T19-303277",,,"AUG.2019","FY2019"
"T19-955977","A1062859",,"2019-04-03T00:00:00.000","10:11:32.570000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-955971",,,"APR.2019","FY2019"
"T19-212633","A1067348","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-25T00:00:00.000","11:06:00","NG",,,,,,"T19-212633","EXAM",,"MAY.2019","FY2019"
"T19-341152","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-04T00:00:00.000","07:53:00","AG",,,,,,"T19-341152","EXAM",,"SEP.2019","FY2019"
"T19-289288","A1074457","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-20T00:00:00.000","12:21:00","CBM",,,,"33",,"T19-289288","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-278766","A1074457",,"2019-07-11T00:00:00.000","13:22:28.533000",,,,"1",,,"T19-278764",,,"JUL.2019","FY2019"
"T19-931639","A1046046",,"2019-03-07T00:00:00.000","14:17:58.253000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-931638",,,"MAR.2019","FY2019"
"T19-274800","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-07T00:00:00.000","11:03:00","AG",,,,"47.8",,"T19-274800","EXAM",,"JUL.2019","FY2019"
"T19-345587","A1081638",,"2019-09-07T00:00:00.000","18:15:28.533000",,,,"1",,,"T19-345586",,,"SEP.2019","FY2019"
"T19-958355","A1063176",,"2019-04-05T00:00:00.000","19:25:59.790000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-973437","A1064923",,"2019-04-21T00:00:00.000","16:36:09.593000",,,,"1",,,"T19-973428",,,"APR.2019","FY2019"
"T19-209930","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-23T00:00:00.000","09:39:00","OB",,,,,,"T19-209930","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-981929","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-29T00:00:00.000","14:00:00","IVAN T",,,,,,"T19-981929","EXAM-VET",,"APR.2019","FY2019"
"T19-885603","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-01-16T00:00:00.000","10:03:00","OB",,,,,,"T19-885603","EXAM-VISUAL",,"JAN.2019","FY2019"
"T19-309566","A1046046",,"2019-08-06T00:00:00.000","16:40:44.493000",,,,"1",,,"T19-309564",,,"AUG.2019","FY2019"
"T19-309626","A1046046",,"2019-08-06T00:00:00.000","17:08:29.877000",,,,"1",,,"T19-309623",,,"AUG.2019","FY2019"
"T19-245479","A1072193",,"2019-06-17T00:00:00.000","22:46:57.263000",,,,"1",,,"T19-245476",,,"JUN.2019","FY2019"
"T19-304240","A1077173",,"2019-08-02T00:00:00.000","11:50:05.100000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T18-791022","A1046046",,"2018-10-11T00:00:00.000","14:55:54.880000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T19-309624","A1046046",,"2019-08-06T00:00:00.000","17:08:17.517000",,,,"1",,,"T19-309623",,,"AUG.2019","FY2019"
"T19-309627","A1046046",,"2019-08-06T00:00:00.000","17:08:34.893000",,,,"1",,,"T19-309623",,,"AUG.2019","FY2019"
"T18-791032","A1046046",,"2018-10-11T00:00:00.000","14:56:19.940000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T18-791030","A1046046",,"2018-10-11T00:00:00.000","14:56:14.080000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T18-793073","A1046046",,"2018-10-13T00:00:00.000","10:21:07.173000",,,,"3",,,"T18-793067",,,"OCT.2018","FY2019"
"T19-931640","A1046046",,"2019-03-07T00:00:00.000","14:18:06",,,,"1",,,"T19-931638",,,"MAR.2019","FY2019"
"T18-793072","A1046046",,"2018-10-13T00:00:00.000","10:20:59.200000",,,,"1",,,"T18-793067",,,"OCT.2018","FY2019"
"T18-791024","A1046046",,"2018-10-11T00:00:00.000","14:55:58.600000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T18-793067","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-10-13T00:00:00.000","10:19:00","PA",,,,"30.6",,"T18-793067","SURGERY-",,"OCT.2018","FY2019"
"T19-931067","A1046046",,"2019-03-06T00:00:00.000","22:59:41.587000",,,,"1",,,"T19-931065",,,"MAR.2019","FY2019"
"T18-793069","A1046046",,"2018-10-13T00:00:00.000","10:20:38.353000",,,,"1",,,"T18-793067",,,"OCT.2018","FY2019"
"T19-309565","A1046046",,"2019-08-06T00:00:00.000","16:40:40.510000",,,,"1",,,"T19-309564",,,"AUG.2019","FY2019"
"T19-201160","A1064923",,"2019-05-15T00:00:00.000","10:31:04.320000",,,,"7",,,"T19-201148",,,"MAY.2019","FY2019"
"T19-269981","A1064923",,"2019-07-03T00:00:00.000","15:24:14.967000",,,,"1",,,"T19-269980",,,"JUL.2019","FY2019"
"T19-247103","A1060825","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-18T00:00:00.000","18:42:00","DT",,,,"62",,"T19-247103","EXAM",,"JUN.2019","FY2019"
"T19-311056","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:56:00","CBM",,,,"1.5",,"T19-311056","M-EVAL REQ",,"JUL.2019","FY2019"
"T18-791028","A1046046",,"2018-10-11T00:00:00.000","14:56:08.560000",,,,"1",,,"T18-791019",,,"OCT.2018","FY2019"
"T19-345007","A1081638","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","14:43:00",,,,,,,"T19-345007","NURSERY",,"SEP.2019","FY2019"
"T19-293944","A1076323",,"2019-07-24T00:00:00.000","16:45:37.850000",,,,"1",,,"T19-293941",,,"JUL.2019","FY2019"
"T19-335276","A1080725",,"2019-08-29T00:00:00.000","12:41:17.040000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-931068","A1046046",,"2019-03-06T00:00:00.000","22:59:46.460000",,,,"1",,,"T19-931065",,,"MAR.2019","FY2019"
"T19-958349","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-05T00:00:00.000","19:24:00","LV",,,,"41.2",,"T19-958349","INTAKE EXAM","OBESE","APR.2019","FY2019"
"T19-931638","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-03-07T00:00:00.000","14:17:00","NG",,,,"45",,"T19-931638","EXAM - ADOPTION",,"MAR.2019","FY2019"
"T19-303287","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:56:00",,,,,"1.5",,"T19-303287","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-304239","A1077173",,"2019-08-02T00:00:00.000","11:50:01.193000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T19-293941","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:26:00","CBM",,,,"1.9",,"T19-293941","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-936983","A1060825",,"2019-03-13T00:00:00.000","16:32:17.933000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-996167","A1067348",,"2019-05-11T00:00:00.000","11:30:26.610000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T19-872341","A1052654","TREATABLE REHABILITABLE CONTAGIOUS","2019-01-03T00:00:00.000","10:40:00","AG",,,,"56",,"T19-872341","VET CHECK",,"JAN.2019","FY2019"
"T19-981020","A1065048","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-29T00:00:00.000","11:50:00","IT/AG",,,,,,"T19-981020","EXAM",,"APR.2019","FY2019"
"T18-793071","A1046046",,"2018-10-13T00:00:00.000","10:20:52.537000",,,,"1",,,"T18-793067",,,"OCT.2018","FY2019"
"T19-955974","A1062859",,"2019-04-03T00:00:00.000","10:11:08.777000",,,,"1",,,"T19-955971",,,"APR.2019","FY2019"
"T19-267643","A1073891",,"2019-07-03T00:00:00.000","09:40:02.670000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-936990","A1060825",,"2019-03-13T00:00:00.000","16:32:50.293000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-936982",,,"MAR.2019","FY2019"
"T19-262537","A1073415",,"2019-06-29T00:00:00.000","11:31:41.903000",,,,"1",,,"T19-262536",,,"JUN.2019","FY2019"
"T19-293990","A1076323",,"2019-07-24T00:00:00.000","16:49:28.507000",,,,"15",,,"T19-293941",,,"JUL.2019","FY2019"
"T18-862686","A1052654",,"2018-12-21T00:00:00.000","13:44:56.757000",,,,"3",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-931066","A1046046",,"2019-03-06T00:00:00.000","22:59:36.050000",,,,"1",,,"T19-931065",,,"MAR.2019","FY2019"
"T19-872339","A1052654",,"2019-01-01T00:00:00.000","10:39:49.913000",,,,"14",,,"T19-871217",,,"JAN.2019","FY2019"
"T19-329159","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-24T00:00:00.000","11:50:00","AG",,,,,,"T19-329159","EXAM-VET",,"AUG.2019","FY2019"
"T19-973429","A1064923",,"2019-04-21T00:00:00.000","16:35:45.340000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-973428",,,"APR.2019","FY2019"
