"provider","phone","website","locations","address","notes","mental_health","substance_use","opioid","housing","involuntary","detox","sud_residential","mh_residential","adults","youth","older_adults","families","crisis_services","mental_health_and_sud"
"Therapeutic Health Services","206-726-4100","https://ths-wa.org/","Seattle - Capitol Hill","1116 Summit Avenue
Seattle, WA 98101
(47.611073, -122.323706)","Serving pregnant & parenting women, onsite daycare","true","true","true",,,,,,"true",,"true",,,"true"
"Therapeutic Health Services","206-322-7676","https://ths-wa.org/","Seattle - Central District","1901 Martin Luther King Jr Way South
Seattle, WA 98144
(47.585905, -122.29813)",,"true","true",,,,,,,,"true",,"true",,"true"
"Therapeutic Health Services","206-723-1980","https://ths-wa.org/","Seattle - South Seattle","5802 Rainier Ave South
Seattle, WA 98118
(47.550402, -122.277281)",,"true",,,,,,,,"true",,"true",,,
"Transitional Resources","206-883-2051","http://www.transitionalresources.org/","Seattle - West Seattle","2970 SW Avalon Way
Seattle, WA 98126
(47.568417, -122.370797)","Adult MH, Adult MH Residential, Adult MH Inpatient Diversion Bed","true",,,,,,,"true","true",,"true",,,
"Triumph Treatment","509-863-4173","http://triumphtx.org/Casita","Yakima County","605 Superior Lane
Yakima, WA 98902
(46.607688, -120.54611)","Pregnant & Parenting Women, Onsite daycare",,,,,,,"true",,"true",,,,,
"Triumph Treatment","509-248-1800","http://triumphtx.org/james-oldham-treatment-center","Yakima County","201 Highland Drive
Buena, WA 98921
(46.431596, -120.313137)","Men's residential intensive inpatient treatment",,"true",,,,,,,"true",,,,,
"Triumph Treatment","509-571-1455","http://triumphtx.org/intensive-inpatient-womans-programs","Yakima County","3300 Roosevelt Avenue
Yakima, WA 98902
(46.606167, -120.553561)","Women's Inpatient Intensive Inpatient Treatment",,,,,,,"true",,"true",,,,,
"Triumph Treatment","509-856-0758","http://triumphtx.org/Riel-house","Yakima County","613 Superior Lane
Yakima, WA 98902
(46.607231, -120.545738)","Pregnant & Parenting Women, Onsite daycare",,,,,,,"true",,"true",,,,,
"Triumph Treatment","509-856-0756","http://triumphtx.org/beths-place","Yakima County","608 Superior Lane
Yakima, WA 98902
(46.607184, -120.545738)","Pregnant & Parenting Women, Onsite daycare",,,,,,,"true",,"true",,,,,
"Ukrainian Community Center of WA","425-430-8229","http://www.uccwa.org","South King County","11701 108th Avenue SE
Renton, WA 98055
(47.455594, -122.201888)",,"true",,,,,,,,"true",,"true",,,
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","South King County","1336 South 336th Street
Federal Way, WA 98003
(47.300673, -122.31609)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","South King County","1335 Cole Street
Enumclaw, WA 98022
(47.201844, -121.991548)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Renton","221 Wells Avenue South
Renton, WA 98057
(47.480444, -122.205467)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org","Seattle - Downtown","1537 Western Avenue
Seattle, WA 98101
(47.609135, -122.341839)",,"true","true",,,,,,,"true","true",,,,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Seattle - North Seattle","10521 Meridian Avenue North
Seattle, WA 98133
(47.705501, -122.333946)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Des Moines","26401 Pacific Highway South
Des Moines, WA 98198
(47.364738, -122.30593)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Kent","325 West Gowe Street
Kent, WA 98032
(47.380886, -122.235173)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Seattle - North Seattle","929 N 130th St
Seattle, WA 98133
(47.723256, -122.346183)",,"true","true",,,,,,,"true","true",,,,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","South King County","2074 I Street NE
Auburn, WA 98002
(47.325231, -122.21924)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Central King County","1701 18th Avenue South
Seattle, WA 98144
(47.588094, -122.309499)","Facility is for withdrawal management (Detox) and  adult intensive and long-term residential substance-use disorder treatment",,,,,,"true","true",,"true",,"true",,,
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Seattle - South Seattle","8444 Rainier Avenue South
Seattle, WA 98118
(47.526799, -122.269992)",,"true","true",,,,,,,"true","true","true","true",,"true"
"Valley Cities Counseling and Consultation","253-833-7444","http://www.valleycities.org/","Kent -open to all King County residents","505 Washington Avenue
Kent, WA 98032
(47.377441, -122.247374)","E&T and SWM",,,,,,"true","true","true","true",,,,,
"Vashon Youth and Family Services","206-463-5511","https://vyfs.org/","Vashon","20110 Vashon Hwy SW
Vashon, WA 98070
(47.423594, -122.460487)",,"true","true",,,,,,,"true","true","true",,,"true"
"WAPI","206-223-9478","http://WWW.WAPISEATTLE.ORG","Seattle - South Seattle","28815 Pacific Hwy S
Federal Way, WA 98003
(47.557047, -122.285072)","Adult & Children/SUD",,"true",,,,,,,"true","true",,,,
"WAPI","844-987-9274","http://WWW.WAPISEATTLE.ORG","Central and South King County","861 Poplar Place S
Seattle, WA 98144
(47.594435, -122.311837)","Asian, Pacific Islanders; Black, African American; Hispanic, American Indian or Alaska Native; LGBTQ, Domestic Violence, Sexual Assault, Human Trafficking",,"true",,,,,,,"true","true",,,,
"WCHS, Inc. DBA Kent Treatment Solutions","425-947-2462","http://www.acadiahealthcare.com/","Kent","21851 84th Ave S
Kent, WA 98032
(47.405264, -122.228012)",,,"true","true",,,,,,"true",,,,,
"YMCA of Greater Seattle","206-382-5013","https://www.seattleymca.org/","Seattle - Downtown","909 4th Ave
Seattle, WA 98104
(47.605597, -122.332458)",,"true","true",,"true",,,,,"true","true","true","true",,"true"
"YMCA of Greater Seattle","206-382-5340","https://www.seattleymca.org/","Seattle - Central District","2100 24th Ave S
Seattle, WA 98144
(47.58408, -122.301654)",,"true","true",,"true",,,,,"true","true","true","true",,"true"
"YMCA of Greater Seattle","206-749-7558","https://www.seattleymca.org/","Seattle - Central District","3401 Rainier Ave S
we,  98144
(47.572819, -122.293951)","Crisis services for special populations/youth",,,,,,,,,"true","true","true","true",,
"Youth Eastside Services","425-747-4937","http://www.youtheastsideservices.org/","Bellevue - Eastside","999 164th Ave NE
Bellevue, WA 98008
(47.619101, -122.121711)","Also provides prevention services","true","true",,,,,,,"true","true","true","true",,"true"
"Youth Eastside Services","425-869-6036","http://www.youtheastsideservices.org/","Redmond - Eastside","15600 Redmond Way
Redmond, WA 98052
(47.673872, -122.131096)","Also provides prevention services","true","true",,,,,,,"true","true",,"true",,"true"
"Youth Eastside Services","425-827-4937","http://www.youtheastsideservices.org/","Kirkland - Eastside","11829 97th Ave NE
Kirkland, WA 98034
(47.70639, -122.212802)","Also provides prevention services","true","true",,,,,,,"true","true","true","true",,"true"
