Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
"FINCA International, Inc.","1201 15th St NW 8th Fl
Washington, DC 20005
(38.90595, -77.034572)",International Relief & Development,13-3240109,,25078,
Transitional Resources,"2970 SW Avalon Way
Seattle, WA 98126
(47.568417, -122.370797)","Mental Health, Disabilities, & Substance Abuse",91-0967836,101,19581,772
Dementia Society of America,"188 N Main St
Doylestown, PA 18901
(40.314215, -75.130617)","Disease, Disorders, & Medical Research",46-3401769,,5684,
Bonney Lake Food Bank,"24015 State Route 410 E
Buckley, WA 98321
(47.165054, -122.109291)",Food & Hunger,27-0270499,,10807,1410
CHC: Creating Healthier Communities,"1199 N Fairfax St Ste 600
Alexandria, VA 22314
(38.816513, -77.039955)",Health (General),13-6167225,,12448,
Community Network Council (CNC),"1819 Central Ave S Ste 72
Kent, WA 98032
(47.362897, -122.229895)",Education & Literacy,27-3613359,76,17362,479
Full Life Care,"4712 35th Ave S
Seattle, WA 98118
(47.560059, -122.288855)","Mental Health, Disabilities, & Substance Abuse",91-1095588,101,18800,124
American Forests,"734 15th St NW Ste 800
Washington, DC 20005
(38.899578, -77.033646)",Environment,53-0196544,,25078,
"Cystic Fibrosis Foundation, Washington Chapter","520 Pike St Ste 1075
Seattle, WA 98101
(47.611013, -122.334788)",Health (General),13-1930701,101,18081,118
Amnesty International USA,"311 W 43rd St 7th Fl
New York, NY 10036
(40.75827, -73.990148)",Human & Civil Rights,52-0851555,,13094,
The Vera Project,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",31-1816016,101,18390,1450
Church World Service,"28606 Phillips St
Elkhart, IN 46515
(41.694369, -86.015406)",International Relief & Development,13-4080201,,22735,
"World Central Kitchen, Inc.","655 New York Ave NW 6th Fl
Washington, DC 20001
(38.903167, -77.021231)",Food & Hunger,27-3521132,,24704,
Alliance Defending Freedom,"15100 N 90th St
Scottsdale, AZ 85260
(33.623351, -111.887032)",Legal Advocacy,54-1660459,,3349,
Center for Ethical Leadership,"1752 NW Market St #952
Seattle, WA 98107
(47.66866, -122.381145)",Social & Economic Justice,94-3154539,101,18386,344
Great Peninsula Conservancy,"421 Pacific Ave Ste 401
Bremerton, WA 98337
(47.566155, -122.626907)",Environment,91-1110978,,11466,533
Sarvey Wildlife Care Center,"13106 148th St NE
Arlington, WA 98223
(48.130747, -122.053931)",Animals,91-1303534,,18642,1320
Northwest Boxer Rescue,"15718 173rd Ave NE
Woodinville, WA 98072
(47.742114, -122.109956)",Animals,45-3852074,61,18071,881
On the Boards,"100 W Roy St
Seattle, WA 98109
(47.625709, -122.358388)","Arts, Culture, & Humanities",91-1081983,101,19575,236
C895 / KNHC Public Radio Association,"10750 30th Ave NE
Seattle, WA 98125
(47.707545, -122.296174)",Education & Literacy,20-5402402,101,19579,761
King County Law Library Foundation,,Legal Advocacy,83-0969459,,,
Friends of the Issaquah Salmon Hatchery (FISH),"125 W Sunset Way
Issaquah, WA 98027
(47.530166, -122.038592)",Environment,91-1640245,21,17354,872
St. Anne Hospital Foundation,"16259 Sylvester Rd SW #101
Burien, WA 98166
(47.455828, -122.342406)",Health (General),91-1171170,8,18226,29
"Thyroid Association, American","6066 Leesburg Pike Ste 550
Falls Church, VA 22041
(38.857619, -77.142009)","Disease, Disorders, & Medical Research",41-6038600,,18867,
Deaf-Blind Service Center,"1620 18th Ave Ste 200
Seattle, WA 98122
(47.615869, -122.308845)","Disease, Disorders, & Medical Research",91-1357750,101,19578,12
Empower Youth Network,,Health (General),46-4274413,,,
Legal Voice,"907 Pine St Ste 500
Seattle, WA 98101
(47.61389, -122.331229)",Legal Advocacy,91-1047900,101,18081,1113
Cedar River Clinics,"263 Rainier Ave S Ste 200
Renton, WA 98057
(47.480868, -122.217228)",Health (General),91-1083929,100,17811,437
Lutheran Community Services Northwest,"4040 S 188th St Ste 300
SeaTac, WA 98188
(47.434432, -122.282435)",Health (General),93-0386860,92,18231,9
Child's Play Charity,"9660 153rd Ave NE
Redmond, WA 98052
(47.687505, -122.135748)",Health (General),20-3584556,97,17806,514
H.O.P.E. Center Resources,,Human & Civil Rights,83-4693739,,,
United Way of Pierce County,"1501 Pacific Ave 4th Fl
Tacoma, WA 98402
(47.248785, -122.437579)",Food & Hunger,91-0650669,,12600,1138
Perinatal Support Washington,,"Mental Health, Disabilities, & Substance Abuse",91-1448669,,,
Athletes for Kids,"3020 Issaquah Pine Lake Rd SE #254
Sammamish, WA 98075
(47.581974, -122.033793)",Youth Development,81-0552451,81,18076,311
Childhood Leukemia Foundation,"807 Mantoloking Rd Ste 202
Brick, NJ 8723
(40.051402, -74.125794)","Disease, Disorders, & Medical Research",52-1825483,,28388,
Azusa Pacific University,"901 E Alosta Ave
Azusa, CA 91702
(34.128801, -117.889667)",Education & Literacy,95-1744369,,8894,
Homage Senior Services (formerly Senior Services of Snohomish County),"5026 196th St SW
Lynnwood, WA 98036
(47.821064, -122.30143)",Food & Hunger,91-0910680,,17787,449
Valley Cities,"325 W Gowe St
Kent, WA 98032
(47.380886, -122.235173)","Mental Health, Disabilities, & Substance Abuse",91-6063183,76,17370,479
Seattle Adaptive Sports,,"Recreation, Sports, Leisure, & Athletics",91-1427334,,,
Soup Ladies,,Emergency & Disaster Services,26-0183984,,,
"Ducks Unlimited, Inc","1 Waterfowl Way
Memphis, TN 38120
(35.131516, -89.805103)",Environment,13-5643799,,30971,
JustLead Washington,"101 Yesler Way Ste 300
Seattle, WA 98104
(47.601746, -122.334114)",Social & Economic Justice,81-4817081,101,18379,399
Pacific Crest Trail Association,"1331 Garden Highway Ste 230
Sacramento, CA 95833
(38.604063, -121.515338)",Environment,33-0051202,,103,
Antioch University Seattle,"2400 3rd Ave Ste 200
Seattle, WA 98121
(47.61564, -122.346379)",Education & Literacy,31-0536640,101,19576,779
Earthjustice,"50 California St
San Francisco, CA 94111
(37.793608, -122.397274)",Environment,94-1730465,,28860,
Washington Homeownership Resource Center,"17544 Midvale Ave N Ste 202
Shoreline, WA 98133
(47.756951, -122.344579)",Housing & Employment,91-1669492,102,19582,418
Surfrider Foundation,"942 Calle Negocio Ste 350
San Clemente, CA 92673
(33.452583, -117.604608)",Environment,95-3941826,,12858,
Pasado's Safe Haven,,Animals,91-1843707,,,
Renton Technical College (RTC) Foundation,"3000 NE 4th St
Renton, WA 98056
(47.488575, -122.176774)",Education & Literacy,91-1590751,100,17809,149
Groundswell NW,,Environment,91-1593135,,,
Semper Fi Fund,"825 College Blvd Ste 102
Oceanside, CA 92057
(33.239222, -117.291143)",Emergency & Disaster Services,26-0086305,,29952,
Northwest Immigrant Rights Project,"615 Second Ave Ste 400
Seattle, WA 98104
(47.602437, -122.332636)",Legal Advocacy,91-1393082,101,18379,399
Blessings International,"1650 N Indianwood Ave
Broken Arrow, OK 74012
(36.070209, -95.82447)",Health (General),73-1130590,,28344,
Voices of Pacific Island Nations,,Education & Literacy,47-2497194,,,
Mt. Si Senior Center,"411 Main Ave S
North Bend, WA 98045
(47.492484, -121.788202)",Health (General),91-1009419,87,17798,1381
Communities In Schools of Renton-Tukwila,"1055 S Grady Way
Renton, WA 98057
(47.474912, -122.205377)",Social & Economic Justice,91-1689158,100,17811,437
White Center Food Bank,"10829 8th Ave SW
Seattle, WA 98146
(47.506012, -122.344536)",Food & Hunger,91-1167830,40,17920,457
"American Heart Association, Western States Affiliate, Washington, Spokane","140 S Arthur Ste 610
Spokane, WA 99202
(47.654936, -117.395255)","Disease, Disorders, & Medical Research",13-5613797,,31461,1169
Lighthouse NW,,Social & Economic Justice,46-2942522,,,
Puget Soundkeeper Alliance,"5305 Shilshole Ave NW Ste 150
Seattle, WA 98107
(47.666854, -122.38525)",Environment,91-1285783,101,18386,344
Multiple Sclerosis Association of America,"375 Kings Highway N
Cherry Hill, NJ 8034
(39.928751, -74.994157)","Disease, Disorders, & Medical Research",22-1912812,,27936,
New Connections of South King County : Kent WA.,"422 W Titus St
Kent, WA 98032
(47.379689, -122.237013)",Education & Literacy,45-3587397,76,17370,479
Central Asia Institute,,Education & Literacy,51-0376237,,,
Compass Housing Alliance,"220 Dexter Ave N Fifth Fl
Seattle, WA 98109
(47.619953, -122.342406)",Housing & Employment,91-0578229,101,18390,779
Seattle Goodwill Industries,"700 Dearborn Pl S
Seattle, WA 98144
(47.596627, -122.312794)",Social & Economic Justice,91-0568708,101,17919,13
Project Feast,"202 W Gowe St Ste L
Kent, WA 98032
(47.380902, -122.234118)",Social & Economic Justice,46-2005131,76,17370,479
The Bureau of Fearless Ideas,"8414 Greenwood Ave N
Seattle, WA 98103
(47.689962, -122.355308)",Education & Literacy,41-2127333,101,18377,376
Trout Unlimited - Washington Council,"12818 SE 38th St #462
Bellevue, WA 98006
(47.576095, -122.169179)",Environment,51-0225116,6,31852,427
Hunger Intervention Program,"3841 NE 123rd St
Seattle, WA 98125
(47.717343, -122.286133)",Food & Hunger,26-3716527,101,19579,322
Behind the Badge Foundation,"8309 165th Ave NE Ste 205
Redmond, WA 98052
(47.676915, -122.120414)",Emergency & Disaster Services,91-1700108,97,17806,514
Northwest Sarcoma Foundation,"117 E Louisa St #443
Seattle, WA 98102
(47.642035, -122.326281)",Health (General),91-1717600,101,18376,115
Ethiopian Community In Seattle,"8323 Rainier Ave S
Seattle, WA 98118
(47.528651, -122.269997)",Community Development,91-1288919,101,18800,801
Architects Without Borders Seattle,"1101 2nd Ave Ste 400
Seattle, WA 98101
(47.606013, -122.335918)",Community Development,20-3419971,101,18081,399
Bellevue Arts Museum,"510 Bellevue Way NE
Bellevue, WA 98004
(47.615313, -122.201609)","Arts, Culture, & Humanities",91-6028261,6,31848,1443
Mary's Place,,Housing & Employment,27-2087950,,,
SKCAC Industries and Employment Services,"19731 Russell Rd S
Kent, WA 98032
(47.424518, -122.263451)","Mental Health, Disabilities, & Substance Abuse",91-0824953,76,17370,842
Feed the Children,"333 N Meridian Ave
Oklahoma City, OK 73107
(35.470216, -97.601129)",Community Development,73-6108657,,28232,
Shoreline Public Schools Foundation,"18560 1st Ave NE
Shoreline, WA 98155
(47.764997, -122.329669)",Education & Literacy,91-1556631,102,17924,812
Autism Compassion Africa,"3615 Meadow Ave N
Renton, WA 98056
(47.524352, -122.198986)","Mental Health, Disabilities, & Substance Abuse",81-4956767,100,17809,838
Children's Cause for Cancer Advocacy,"1325 G St NW Ste 540
Washington, DC 20005
(38.898317, -77.030898)",Health (General),11-3485631,,25078,
Foundation Fighting Blindness,"6925 Oakland Mills Rd #701
Columbia, MD 21046
(39.178288, -76.827579)","Disease, Disorders, & Medical Research",23-7135845,,24873,
Washington Youth Soccer Foundation,"7100 Fort Dent Way Ste 215
Tukwila, WA 98188
(47.46783, -122.245955)","Recreation, Sports, Leisure, & Athletics",81-2750141,93,18231,453
350 Seattle,"5031 University Way NE
Seattle, WA 98105
(47.665668, -122.313076)",Environment,46-4201865,101,18383,1426
Therapeutic Health Services,"1116 Summit Ave
Seattle, WA 98101
(47.611073, -122.323706)","Mental Health, Disabilities, & Substance Abuse",91-0882971,101,18081,784
Wounded Warriors in Action Foundation,"6516 Dolphin Cove Dr
Apollo Beach, FL 33572
(27.780162, -82.418852)",Emergency & Disaster Services,26-0718304,,17913,
City Year Seattle / King County,"2203 23rd Ave S Ste 101
Seattle, WA 98144
(47.583442, -122.302949)",Education & Literacy,22-2882549,101,17919,1229
PLUMBERS WITHOUT BORDERS,,Community Development,45-0611453,,,
Highline Schools Foundation,"15675 Ambaum Blvd SW
Burien, WA 98166
(47.462765, -122.337299)",Education & Literacy,91-2020506,8,18226,29
Hugo House,"1634 11th Ave
Seattle, WA 98122
(47.616112, -122.318169)","Arts, Culture, & Humanities",91-1718383,101,19578,781
Cultural Funding for the Performing Arts,"310 1st Ave S Ste 331
Seattle, WA 98104
(47.599783, -122.334139)",Community Development,81-3184956,101,18379,786
"Centerstage Theatre Arts Conservatory, Inc.","1600B SW Dash Point Rd #271
Federal Way, WA 98023
(47.323296, -122.355246)","Arts, Culture, & Humanities",91-1116700,19,17349,857
Americares,"88 Hamilton Ave
Stamford, CT 6902
(41.063632, -73.519455)",International Relief & Development,06-1008595,,5883,
Catholic Community Services of Western Washington,"100 23rd Ave S
Seattle, WA 98144
(47.600995, -122.302233)",Housing & Employment,91-1585652,101,17919,1442
Crisis Connections,"2901 3rd Ave Ste 100
Seattle, WA 98121
(47.618568, -122.351331)","Mental Health, Disabilities, & Substance Abuse",91-0773187,101,19576,779
The Conservation Fund,,Environment,52-1388917,,,
Companis,"1111 Harvard Ave
Seattle, WA 98122
(47.611889, -122.321366)",Social & Economic Justice,91-1705491,101,19578,784
Water Mission,,Health (General),57-1116978,,,
Child Care Resources,"1225 S Weller St Ste 300
Seattle, WA 98144
(47.597502, -122.315994)",Education & Literacy,91-1465046,101,17919,13
Galapagos Conservancy,"11150 Fairfax Blvd Ste 408
Fairfax, VA 22030
(38.855083, -77.329481)",Environment,13-3281486,,18488,
Abu-Bakr Islamic Center of Washington,"14101 Tukwila International Blvd
Tukwila, WA 98168
(47.476831, -122.2836)",Community Development,91-2110135,93,18227,1188
Safe Harbor Free Clinic,"7209 265th St NW Ste 203/204
Stanwood, WA 98292
(48.237056, -122.331874)",Health (General),26-3825107,,20728,1024
Children's Hunger Fund,"13931 Balboa Blvd
Sylmar, CA 91342
(34.323762, -118.491444)",Food & Hunger,95-4335462,,18912,
NatureBridge,"28 Geary St Ste 650
San Francisco, CA 94114
(37.787886, -122.404073)",Environment,94-2145930,,28857,
American Heart Association (Puget Sound),"710 Second Ave #900
Seattle, WA 98104
(47.603221, -122.333367)","Disease, Disorders, & Medical Research",13-5613797,101,18379,399
End of Life Washington,"9311 SE 36th St Ste 110
Mercer Island, WA 98040
(47.57761, -122.21323)",Health (General),91-1412987,84,17793,832
Autism Intervention and Treatment Research -- Organization for Autism Research,"2000 N 14th St Ste 240
Arlington, VA 22201
(38.889707, -77.08213)","Disease, Disorders, & Medical Research",54-2062167,,23399,
Holocaust Center for Humanity,"2045 Second Ave
Seattle, WA 98121
(47.61206, -122.342377)",Education & Literacy,91-1464233,101,19576,783
Seattle Arts & Lectures,"340 15th Ave E Ste 301
Seattle, WA 98112
(47.621678, -122.312675)","Arts, Culture, & Humanities",91-1384964,101,18789,781
Friends of Lake Sammamish State Park,"2000 NW Sammamish Rd
Issaquah, WA 98027
(47.553672, -122.073502)",Environment,46-2633224,21,17354,431
Mockingbird Society,"2100 24th Ave S Ste 240
Seattle, WA 98144
(47.58408, -122.301654)",Youth Development,91-2051340,101,17919,771
Climate Solutions,"219 Legion Way SW Ste 201
Olympia, WA 98501
(47.043046, -122.903527)",Environment,91-1123302,,5275,254
Human Rights Watch,"350 Fifth Ave 34th Fl
New York, NY 10118
(40.748082, -73.984819)",International Relief & Development,13-2875808,,12078,
Master Gardener Foundation of King County,,Environment,91-1276424,,,
Economic Opportunity Institute,"603 Stewart St #715
Seattle, WA 98101
(47.613702, -122.336925)",Social & Economic Justice,91-1999302,101,18081,397
International Medical Corps,"12400 Wilshire Blvd Ste 1500
Los Angeles, CA 90025
(34.041973, -118.47014)",International Relief & Development,95-3949646,,23680,
OneWorld Now!,"610 Maynard Ave S
Seattle, WA 98104
(47.59712, -122.325079)",Youth Development,75-2981831,101,18379,15
Save a Forgotten Equine (SAFE),,Animals,20-5825355,,,
API Chaya,,Legal Advocacy,91-1674016,,,
Cares of Washington,"1833 N 105th Ste 202
Seattle, WA 98133
(47.705055, -122.334455)","Mental Health, Disabilities, & Substance Abuse",13-4237286,101,19582,105
Washington Wildlife & Recreation Coalition,"1402 Third Ave Ste 714
Seattle, WA 98101
(47.608936, -122.337059)",Environment,91-1190821,101,18081,399
Vashon Maury Community Food Bank,"10030 SW 210th St
Vashon, WA 98070
(47.416562, -122.463291)",Food & Hunger,94-3165664,48,18068,471
Northwest Education Access,"6920 Roosevelt Way NE #355
Seattle, WA 98115
(47.67925, -122.317426)",Education & Literacy,04-3602577,101,18792,352
Pacific Treatment Alternatives,"1721 Hewitt Ave Ste 200
Everett, WA 98201
(47.979286, -122.206068)","Mental Health, Disabilities, & Substance Abuse",91-0851917,,18238,1395
EndBrainCancer Initiative,"16150 NE 85th St #201
Redmond, WA 98052
(47.678499, -122.124749)","Disease, Disorders, & Medical Research",26-2185614,97,17806,514
TeenTix,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",81-2736337,101,18390,1450
National Foundation for Cancer Research,"5515 Security Ln Ste 1105
Rockville, MD 20852
(39.041845, -77.110892)",Health (General),04-2531031,,32430,
Step by Step Family Support Center,,Health (General),91-1871945,,,
Operation Smile,"3641 Faculty Blvd
Virginia Beach, VA 23453
(36.785562, -76.095226)",International Relief & Development,54-1460147,,3184,
Tacoma Rescue Mission,"425 South Tacoma Way
Tacoma, WA 98402
(47.235474, -122.438675)",Housing & Employment,91-0565014,,12600,1138
Village Theatre,"303 Front St N
Issaquah, WA 98027
(47.533205, -122.036454)","Arts, Culture, & Humanities",91-1077130,21,17354,871
Disability Rights Washington,"315 5th Ave S Ste 850
Seattle, WA 98104
(47.599939, -122.327677)","Mental Health, Disabilities, & Substance Abuse",91-0956784,101,18379,786
Riverton Park United Methodist Church,"3118 S 140th St
Tukwila, WA 98168
(47.477884, -122.292446)",Food & Hunger,75-2974441,93,18227,273
Seattle Humane,"13212 SE Eastgate Way
Bellevue, WA 98005
(47.580543, -122.163591)",Animals,91-0282060,6,31850,827
WithinReach,"155 NE 100th St #500
Seattle, WA 98125
(47.701342, -122.32687)",Youth Development,91-1443685,101,18792,647
"SR3 - SeaLife Response, Rehabilitation and Research","2003 S 216th St #98811
Des Moines, WA 98198
(47.408303, -122.307064)",Animals,45-1491069,25,18234,845
Raphael House of Portland,"4110 SE Hawthorne Blvd #503
Portland, OR 97214
(45.512027, -122.619984)",Social & Economic Justice,93-0710963,,29268,
Northaven Senior Housing,"11045 8th Ave NE
Seattle, WA 98125
(47.709941, -122.320596)",Housing & Employment,91-1264261,101,19579,762
The Salvation Army World Service Office (SAWSO),"615 Slaters Ln
Alexandria, VA 22314
(38.821805, -77.042964)",International Relief & Development,13-2923701,,12448,
Paws4Vets,,Animals,54-1948479,,,
South County Cats,"26828 Maple Valley Black Diamond Rd SE #160
Maple Valley, WA 98038
(47.3609, -122.020882)",Animals,20-5278961,86,17790,165
Nourish Pierce County (formerly FISH Food Banks of Pierce County),"1702 S 72nd St Ste E
Tacoma, WA 98408
(47.191939, -122.458414)",Food & Hunger,91-1198391,,13239,245
St. John School,"120 N 79th St
Seattle, WA 98103
(47.68621, -122.356946)",Education & Literacy,91-0577482,101,18377,376
Seattle Colleges Foundation,"1500 Harvard Ave
Seattle, WA 98122
(47.61587, -122.322145)",Education & Literacy,83-0551671,101,19578,784
YWCA Seattle|King|Snohomish,"1118 Fifth Ave
Seattle, WA 98101
(47.607757, -122.332908)",Housing & Employment,91-0482890,101,18081,399
Cornish College of the Arts,"1000 Lenora St
Seattle, WA 98121
(47.618009, -122.335953)",Education & Literacy,91-0916534,101,19576,397
Church Council of Greater Seattle,"4820 S Morgan St
Seattle, WA 98118
(47.544251, -122.271819)",Social & Economic Justice,91-0460490,101,18800,798
Ukrainian Center,"13470 Martin Luther King Jr Way S
Seattle, WA 98178
(47.48208, -122.24568)","Mental Health, Disabilities, & Substance Abuse",91-1923155,57,18230,1118
Prison Fellowship Ministries,"44180 Riverside Pkwy
Lansdowne, VA 20176
(39.072243, -77.472554)",Community Development,62-0988294,,29432,
Duwamish Longhouse and Cultural Center,"4705 W Marginal Way SW
Seattle, WA 98106
(47.560922, -122.351769)","Arts, Culture, & Humanities",91-1122115,101,18385,772
Washington Alliance for Better Schools,"18560 1st Ave NE
Shoreline, WA 98155
(47.764997, -122.329669)",Education & Literacy,91-1698851,102,17924,812
Alley Cat Project,,Animals,38-3837142,,,
Alzheimer's Association,"225 N Michigan Ave Ste 1700
Chicago, IL 60601
(41.886364, -87.624432)",Health (General),13-3039601,,14309,
Wikimedia Foundation,"1 Montgomery St Ste 1600
San Francisco, CA 94104
(37.789286, -122.402058)",Education & Literacy,20-0049703,,28854,
Kirkland Arts Center,"620 Market St
Kirkland, WA 98033
(47.680218, -122.209555)","Arts, Culture, & Humanities",91-6059395,77,17373,1340
BRAVE- Building Resilience Awareness & Variations of Excellence- Trailblazers,,Education & Literacy,82-4494610,,,
Partnership to End Addiction,"711 Third Ave 5th Fl Ste 500
New York, NY 10017
(40.752387, -73.973271)","Mental Health, Disabilities, & Substance Abuse",52-1736502,,12079,
Jack Straw Cultural Center,"4261 Roosevelt Way NE
Seattle, WA 98105
(47.659301, -122.317759)","Arts, Culture, & Humanities",91-0776606,101,18383,270
Equine Aid: Horse and Donkey Rescue,,Animals,27-0939854,,,
Consejo Counseling and Referral Service,"3808 S Angeline St
Seattle, WA 98118
(47.559456, -122.284521)","Mental Health, Disabilities, & Substance Abuse",91-1021247,101,18800,124
Washington Trails Association,"705 Second Ave Ste 300
Seattle, WA 98104
(47.603171, -122.333318)",Environment,91-0900134,101,18379,399
American Nurses Foundation,"8515 Georgia Ave Ste 400
Silver Spring, MD 20910
(38.994566, -77.02677)",Health (General),13-1893924,,2324,
Food for The Hungry Inc.,"1224 E Washington St
Phoenix, AZ 85034
(33.448327, -112.055389)",International Relief & Development,95-2680390,,2220,
Cancer Research for Children - CureSearch,"4800 Hampden Ln Ste 200
Bethesda, MD 20814
(38.982718, -77.095493)","Disease, Disorders, & Medical Research",95-4132414,,31801,
Family Research Council Inc.,"801 G St NW
Washington, DC 20001
(38.898456, -77.023209)",Legal Advocacy,52-1792772,,24704,
Multi-Service Center (MSC),,Housing & Employment,23-7120815,,,
Life Enrichment Group,"3702 S Hudson St Ste 103
Seattle, WA 98118
(47.557048, -122.285179)",Education & Literacy,65-1278853,101,18800,124
Frankies Friends,"2950 Busch Lake Blvd
Tampa, FL 33614
(28.035149, -82.492054)",Animals,59-3581823,,6759,
Cocoon House,"3530 Colby Ave
Everett, WA 98201
(47.970326, -122.208287)",Housing & Employment,91-1497667,,18238,633
Olympic Mountain Rescue,,Emergency & Disaster Services,91-1000954,,,
Benaroya Research Institute,"1218 Terry Ave (PO Box 1930) D1-MF
Seattle, WA 98101
(47.610809, -122.327978)","Disease, Disorders, & Medical Research",91-0653422,101,18081,1113
Breast Cancer Coalition,,"Disease, Disorders, & Medical Research",52-1782065,,,
Parkinson's Foundation,"200 SE 1st St Ste 800
Miami, FL 33131
(25.773424, -80.189956)","Disease, Disorders, & Medical Research",13-1866796,,24163,
Alpha Supported Living Services,"16030 Juanita-Woodinville Way NE
Bothell, WA 98011
(47.744626, -122.184947)","Mental Health, Disabilities, & Substance Abuse",91-0933802,7,32443,422
World Wildlife Fund,"1250 24th St NW
Washington, DC 20037
(38.906511, -77.051405)",Environment,52-1693387,,4500,
"Arthritis Foundation, Great West Region, Washington, Bellingham","1329 N State St Ste 304
Bellingham, WA 98225
(48.749184, -122.475954)",Health (General),58-1341679,,18644,1095
RVC Seattle,"1225 S Weller Ste 400
Seattle, WA 98144
(47.597502, -122.315994)",Social & Economic Justice,47-4257834,101,17919,13
Global Visionaries,"2524 16th Ave S
Seattle, WA 98144
(47.580229, -122.312129)",Youth Development,71-0872239,101,17919,1412
"Chedalawada English School & Community Support, Tanuku, India","4434 28th Pl
Seattle, WA 98199
(47.660574, -122.393927)",Education & Literacy,47-0924426,101,18235,44
"Planned Parenthood Great Northwest, Hawai'i, Alaska, Indiana, Kentucky","2001 E Madison St
Seattle, WA 98122
(47.617703, -122.305083)",Health (General),91-0686012,101,19578,12
"JDRF International, Oregon/Southwest Washington Chapter","7000 SW Hampton Rd Ste 101
Portland, OR 97223
(45.427515, -122.74883)","Disease, Disorders, & Medical Research",23-1907729,,29645,
Gurlz on the Move & All the Kingz Men,"7100 Fort Dent Way #100
Tukwila, WA 98188
(47.46783, -122.245955)",Education & Literacy,39-2068784,93,18231,453
Space Between,"140 Lakeside Ave Ste A #64
Seattle, WA 98122
(47.602176, -122.285125)","Mental Health, Disabilities, & Substance Abuse",81-4546023,101,19578,1402
Children's Tumor Foundation,"370 Lexington Ave Ste 2100
New York, NY 10017
(40.750536, -73.976733)",Health (General),13-2298956,,12079,
Carbonfund.org Foundation,"853 Main St
East Aurora, NY 14052
(42.767722, -78.603071)",Environment,20-0231609,,6866,
Eastside Audubon,,Environment,91-1123007,,,
American Jewish World Service,"45 W 36th St 11th Fl
New York, NY 10018
(40.750459, -73.985371)",International Relief & Development,22-2584370,,12080,
"Leukemia & Lymphoma Society, Washington/Alaska Chapter","5601 6th Ave S Ste 182
Seattle, WA 98108
(47.551431, -122.326929)","Disease, Disorders, & Medical Research",13-5644916,101,18388,406
Puppies Behind Bars,"263 W 38th St 4th Fl
New York, NY 10018
(40.754446, -73.990991)",Animals,13-3969389,,12080,
Pongo Poetry Project,"153 14th Ave #5
Seattle, WA 98122
(47.60293, -122.314167)",Youth Development,91-2114772,101,19578,400
Fremont Abbey Arts Center,"4272 Fremont Ave N
Seattle, WA 98103
(47.659185, -122.350026)","Arts, Culture, & Humanities",74-3123187,101,18377,1110
ArtsFund,"100 W Harrison St Ste 150
Seattle, WA 98119
(47.622111, -122.358452)","Arts, Culture, & Humanities",91-0839644,101,19575,1450
Des Moines Area Food Bank,"22225 9th Ave S
Des Moines, WA 98198
(47.402293, -122.321974)",Food & Hunger,91-1183154,25,18234,845
Washington Education & Squash Academy,,Education & Literacy,91-1906951,,,
Medical Teams International,"14150 SW Milton Court
Tigard, OR 97224
(45.416933, -122.754787)",International Relief & Development,93-0878944,,29646,
KEXP,"472 1st Ave N
Seattle, WA 98109
(47.623054, -122.355422)","Arts, Culture, & Humanities",91-2061474,101,18390,1450
Campaign for Equal Justice,"1325 Fourth Ave Ste 1335
Seattle, WA 98101
(47.608856, -122.335452)",Human & Civil Rights,91-1263533,101,18081,399
HopeSparks Family Services,"6424 N 9th St
Tacoma, WA 98406
(47.257953, -122.523792)","Mental Health, Disabilities, & Substance Abuse",91-0598103,,12605,358
"Pediatric Interim Care Center, The Newborn Nursery","328 4th Ave S
Kent, WA 98032
(47.378874, -122.237468)",Health (General),91-1485176,76,17370,479
Rainforest Alliance,"233 Broadway 28th Fl
New York, NY 10279
(40.71218, -74.00796)",Environment,13-3377893,,10366,
Velocity Dance Center,"2634 Franklin Ave E #303
Seattle, WA 98102
(47.644252, -122.324631)","Arts, Culture, & Humanities",91-2030037,101,18376,115
Glacier National Park Conservancy,,Environment,56-2579734,,,
Health Volunteers Overseas,"1900 L St NW Ste 310
Washington, DC 20036
(38.903724, -77.043904)",International Relief & Development,52-1485477,,25079,
West Seattle Food Bank,"3419 SW Morgan St
Seattle, WA 98126
(47.544702, -122.375826)",Food & Hunger,91-1464412,101,19581,16
The Goodtimes Project,"7400 Sand Point Way NE #101 S
Seattle, WA 98115
(47.682664, -122.263691)",Health (General),46-2489916,101,18792,276
SouthEast Effective Development (SEED),"5117 Rainier Ave S
Seattle, WA 98118
(47.555964, -122.283568)",Housing & Employment,91-0947619,101,18800,124
Northwest Boychoir & Vocalpoint! Seattle,"5031 University Way NE Ste NB2
Seattle, WA 98105
(47.665668, -122.313076)","Arts, Culture, & Humanities",23-7409990,101,18383,1426
Mothers Against Drunk Driving,"511 E John Carpenter Freeway Ste 700
Irving, TX 75062
(32.860173, -96.935118)",Human & Civil Rights,94-2707273,,4047,
Washington Trust for Historic Preservation,,"Arts, Culture, & Humanities",91-0983680,,,
"International Rescue Committee, Inc.","122 E 42nd St 12th Fl
New York, NY 10168
(40.75157, -73.976348)",International Relief & Development,13-5660870,,10355,
