"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Parent Trust for Washington Children","2200 Rainier Ave S
Seattle, WA 98144
(47.583655, -122.302193)","91-1036940","9223","https://www.parenttrust.org","We are a statewide nonprofit dedicated to preventing child abuse and neglect. We’re creating a world where families are strong – and no child ever needs to enter foster care.","Health (General)","Community Development","Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/ein/911036940","https://www.guidestar.org/profile/91-1036940","https://www.bbb.org/charity-reviews/greatwestpacific/parent-trust-for-washington-children-in-seattle-wa-1000051357",,"New","Yes",,"https://www.charitynavigator.org/ein/911036940","https://www.guidestar.org/profile/91-1036940","https://www.bbb.org/charity-reviews/greatwestpacific/parent-trust-for-washington-children-in-seattle-wa-1000051357",,"Children & Youth","Economically Disadvantaged People",
"Music in Schools Program of the Ladies Musical Club of Seattle",,"91-6029353","9125","https://www.lmcseattle.org","Professional and volunteer musicians bring no-cost multicultural music experiences to more than 10,000 underserved Seattle public K-8 school students annually.","Arts, Culture, & Humanities",,"Education & Literacy",,,,,"Returning","No",,,,,,"Children & Youth","Economically Disadvantaged People",
"Ronald McDonald House Charities®","110 N Carpenter St
Chicago, IL 60607
(41.883338, -87.653255)","36-2934689","5041","https://www.rmhc.org","Provides compassionate care and resources to children & families served by leading hospitals, access to quality family-centered health care worldwide.","Health (General)",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4409#.VxZu0vkrKJA","https://www.guidestar.org/profile/36-2934689","https://www.give.org/charity-reviews/national/children-and-youth/ronald-mcdonald-house-charities-in-oak-brook-il-195",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4409#.VxZu0vkrKJA","https://www.guidestar.org/profile/36-2934689","https://www.give.org/charity-reviews/national/children-and-youth/ronald-mcdonald-house-charities-in-oak-brook-il-195",,"Children & Youth",,
"Tavon Learning Center","24017 SE Black Nugget Rd
Issaquah, WA 98029
(47.550176, -122.019871)","77-0601299","9580","https://www.tavoncenter.org","Providing a post-high school education solution - active learning and community programs - that builds better lives for adults with intellectual and developmental disabilities.","Mental Health, Disabilities, & Substance Abuse","Health (General)","Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=770601299","https://www.guidestar.org/profile/77-0601299",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=770601299","https://www.guidestar.org/profile/77-0601299",,,"People With Disabilities","Economically Disadvantaged People",
"Dogs for Better Lives","10175 Wheeler Rd
Central Point, OR 97502
(42.461977, -122.939364)","93-0681311","9447","https://www.dogsforbetterlives.org","Professionally train dogs to help people and enhance lives, maintaining a life-long commitment to all dogs we rescue or breed and the people we serve. No charge for our service.","Animals",,"Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781","https://www.guidestar.org/profile/93-0681311","https://www.give.org/charity-reviews/national/human-services/dogs-for-better-lives-in-central-point-or-1455",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781","https://www.guidestar.org/profile/93-0681311","https://www.give.org/charity-reviews/national/human-services/dogs-for-better-lives-in-central-point-or-1455",,"People With Disabilities","Children & Youth","Economically Disadvantaged People"
"Wing Luke Museum of the Asian Pacific American Experience","719 S King St
Seattle, WA 98104
(47.598365, -122.323021)","91-6067431","9770","https://www.wingluke.org","We connect everyone to the dynamic history, cultures, and art of Asian Pacific Americans through vivid storytelling and inspiring experiences to advance racial and social equity.","Arts, Culture, & Humanities",,"Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15171","https://www.guidestar.org/profile/91-6067431",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15171","https://www.guidestar.org/profile/91-6067431",,,"Children & Youth",,
"Scarecrow Video","5030 Roosevelt Way NE
Seattle, WA 98105
(47.665921, -122.317397)","47-1050656","9973","https://www.scarecrow.com","Through the world's largest publicly available video archive, we champion the indispensable role of film arts in community, cultural, and civic life with unique outreach programs.","Arts, Culture, & Humanities",,"Community Development",,"https://www.guidestar.org/profile/47-1050656",,,"Returning","No",,,"https://www.guidestar.org/profile/47-1050656",,,"Children & Youth","Seniors",
"Mercy Corps","45 SW Ankeny St
Portland, OR 97204
(45.5225, -122.670797)","91-1148123","3505","https://www.mercycorps.org","Empowers people to survive through crisis, build better lives and transform their communities for good.","International Relief & Development","Youth Development","Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4078","https://www.guidestar.org/profile/91-1148123","https://give.org/charity-reviews/national/Relief-and-Development/Mercy-Corps-in-Portland-or-3571",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4078","https://www.guidestar.org/profile/91-1148123","https://give.org/charity-reviews/national/Relief-and-Development/Mercy-Corps-in-Portland-or-3571",,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"Pediatric Brain Tumor Foundation of the United States, Inc.","302 Ridgefield Ct
Ashville, NC 28806
(35.523723, -82.598834)","58-1966822","2798","https://www.curethekids.org","Funds medical research for childhood brain tumors. Offers free patient family support services, funds scholarships for survivors, provides advocacy for cause.","Disease, Disorders, & Medical Research",,,,,,,"Returning","No",,,,,,,,
"BUILD RESILIENT INSPIRED COMMUNITIES OF COLOR (BRICC)",,"83-2505960","10869","https://www.build206.com/bricc","We will build resilient inspired communities of color by developing authentic accountable relationships with individuals, community organizations and institutions.","Social & Economic Justice","Arts, Culture, & Humanities","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=832505960","https://www.guidestar.org/profile/83-2505960",,,"Number Change","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=832505960","https://www.guidestar.org/profile/83-2505960",,,,,
"The TEARS Foundation","11102 Sunrise Blvd E Ste 112
Puyallup, WA 98374
(47.097595, -122.280269)","45-0500497","9488","https://thetearsfoundation.org","The TEARS Foundation seeks to compassionately assist bereaved parents with emotional support and the financial expenses they face in making final arrangements for their child.","Health (General)",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=450500497","https://www.guidestar.org/profile/45-0500497",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=450500497","https://www.guidestar.org/profile/45-0500497",,,"Children & Youth",,
"Families of Color Seattle (FOCS)","1544 S Snoqualmie St
Seattle, WA 98108
(47.561682, -122.312143)","47-4257834","10875","https://www.focseattle.org/","Connecting parents to build a loving community of families of color through peer-led parent groups, racial equity consulting, and family events that center Black and Brown children.","Community Development",,"Arts, Culture, & Humanities",,,,,"Number Change","Yes",,,,,,"Black, African American, African","Asian, Asian American","Children & Youth"
"WASHINGTON WATER TRAILS ASSOCIATION","4649 Sunnyside Ave N #307
Seattle, WA 98103
(47.663831, -122.330171)","91-1472783","9988","https://www.wwta.org","Washington Water Trails Association protects and promotes public access to Washington waterways, shorelines, and marine trails for human-powered watercraft.","Environment","Environment","Environment",,"https://www.guidestar.org/profile/91-1472783",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1472783",,,,,
"Rebuilding Together Seattle","500 Aurora Ave N #305
Seattle, WA 98109
(47.623557, -122.343794)","91-1606330","5719","https://www.rtseattle.org/","Our mission: together we transform the lives of low-income homeowners by improving the safety and health of their homes and revitalizing our communities.","Housing & Employment",,,,"https://www.guidestar.org/profile/91-1606330",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1606330",,,"Seniors",,
"Smile Train","633 Third Ave 9th Fl
New York, NY 10017
(40.749805, -73.97516)","13-3661416","4121","https://www.smiletrain.org","Building sustainable partnerships with local doctors focused on one solvable problem: cleft. A simple surgery & immediate transformation for the child and their community.","Health (General)","Youth Development","Community Development",,"https://www.guidestar.org/profile/13-3661416",,,"Returning","No",,,"https://www.guidestar.org/profile/13-3661416",,,"Children & Youth","Women & Girls","Seniors"
"WVS","111 SE Everett Mall Way c-100
Everett, WA 98208
(47.907391, -122.231542)","51-0192526","9892","https://www.wvs.org","We are dedicated to providing outstanding services that result in successful community involvement and employment for persons with disabilities.","Mental Health, Disabilities, & Substance Abuse","Community Development","Social & Economic Justice","https://www.charitynavigator.org/ein/510192526","https://www.guidestar.org/profile/51-0192526",,,"Returning","No",,"https://www.charitynavigator.org/ein/510192526","https://www.guidestar.org/profile/51-0192526",,,,,
"UNICEF USA","125 Maiden Ln 10th Fl
New York, NY 10038
(40.706465, -74.006436)","13-1760110","3553","https://www.unicefusa.org","Immediately respond when emergencies strike, invest in innovative solutions to the problems and advocate for children's well being.","International Relief & Development","Community Development","Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4617","https://www.guidestar.org/profile/13-1760110",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4617","https://www.guidestar.org/profile/13-1760110",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Children & Youth"
"Amara","5907 Martin Luther King Jr Way S
Seattle, WA 98118
(47.549437, -122.287312)","91-0577487","9309","https://amarafamily.org","We have a bold vision for our child welfare system. We address trauma, build connections, and ensure that children and families feel safe & supported, with a commitment to equity.","Youth Development",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15161","https://www.guidestar.org/profile/91-0577487","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/amara-in-seattle-wa-22009645",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15161","https://www.guidestar.org/profile/91-0577487","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/amara-in-seattle-wa-22009645",,"Children & Youth","LGBTQIA","Black, African American, African"
"National Black Child Development Institute","8455 Colesville Rd Ste 910
Silver Spring, MD 20910
(38.995315, -77.029498)","52-0908178","5019","https://www.nbcdi.org","Works to improve and advance the quality of life for Black children and families through advocacy, education and other outreach programs.","Youth Development",,"Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9550#.VxZp6PkrKJA","https://www.guidestar.org/profile/52-0908178",,"https://greatnonprofits.org/org/national-black-child-development-institute-inc-2","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9550#.VxZp6PkrKJA","https://www.guidestar.org/profile/52-0908178",,"https://greatnonprofits.org/org/national-black-child-development-institute-inc-2","Children & Youth","Black, African American, African",
"Pickford Film Center",,"91-1891456","10855","https://www.pickfordfilmcenter.org","Pickford Film Center provides a forum and resource for independent cinema, strengthening community through education, dialogue and the celebration of film.","Arts, Culture, & Humanities","Social & Economic Justice","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911891456","https://www.guidestar.org/profile/91-1891456",,,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911891456","https://www.guidestar.org/profile/91-1891456",,,,,
"Fisher House Foundation","111 Rockville Pike Ste 420
Rockville, MD 20850
(39.086292, -77.149231)","11-3158401","2820","https://www.fisherhouse.org","We build and donate Fisher Houses at military/VA medical centers, support existing houses, help military families in need and award Scholarships for Military Children.","Health (General)",,,,,,,"Returning","No",,,,,,,,
"Seattle Symphony Orchestra","200 University St
Seattle, WA 98101
(47.607613, -122.336331)","91-0667412","9756","https://www.seattlesymphony.org","Unleashes the Power of Music, Brings People Together, and Lifts the Human Spirit.","Arts, Culture, & Humanities",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4453","https://www.guidestar.org/profile/91-0667412",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4453","https://www.guidestar.org/profile/91-0667412",,,"Children & Youth",,
"Rails-to-Trails Conservancy","2121 Ward Court NW 5th Fl
Washington, DC 20037
(38.906544, -77.047572)","52-1437006","5079","https://www.railstotrails.org","Converts thousands of miles of unused railroad corridors into public trails for walking, bicycling, hiking, wildlife habitats and nature appreciation.","Environment","Community Development","Recreation, Sports, Leisure, & Athletics","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4381#.VxZt1vkrKJA","https://www.guidestar.org/profile/52-1437006","https://www.give.org/charity-reviews/national/environment/rails-to-trails-conservancy-in-washington-dc-3073","https://greatnonprofits.org/org/rails-to-trails-conservancy-1","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4381#.VxZt1vkrKJA","https://www.guidestar.org/profile/52-1437006","https://www.give.org/charity-reviews/national/environment/rails-to-trails-conservancy-in-washington-dc-3073","https://greatnonprofits.org/org/rails-to-trails-conservancy-1",,,
"St. Vincent de Paul Georgetown Food Bank & Clothing Center","5950 4th Ave S
Seattle, WA 98108
(47.548693, -122.329598)","91-0583891","3002","https://www.svdpseattle.org/our-services/food-bank","Providing nutritious food four days per week, free health assessments, clothing, and specialized kits to homeless individuals.","Food & Hunger","Social & Economic Justice","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8062",,,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8062",,,,"Economically Disadvantaged People",,
"Community Homes, Inc",,"91-1700810","5720","https://community-homes.org/","We create rich, full lives for adults with developmental disabilities by providing and promoting quality, community-based housing and services.","Housing & Employment",,"Mental Health, Disabilities, & Substance Abuse",,"https://www.guidestar.org/profile/91-1700810",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1700810",,,,,
"Copper Canyon Press",,"94-3118374","9405","https://www.CopperCanyonPress.org","Copper Canyon Press is a poetry publisher. For almost 50 years we have published extraordinary poetry from around the world to engage the imaginations and intellects of readers.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=943118374","https://www.guidestar.org/profile/94-3118374",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=943118374","https://www.guidestar.org/profile/94-3118374",,,,,
"JDRF International, Northwest Chapter, Washington","1215 Fourth Ave Ste 1100
Seattle, WA 98161
(47.607847, -122.334539)","23-1907729","4026","https://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","Disease, Disorders, & Medical Research",,"Health (General)",,"https://www.guidestar.org/profile/23-1907729",,,"Returning","No",,,"https://www.guidestar.org/profile/23-1907729",,,"Children & Youth","Economically Disadvantaged People","Women & Girls"
"Friend to Friend America","22030 7th Ave S #200
Des Moines, WA 98198
(47.403667, -122.326037)","91-1145329","9236","https://www.friendtofriendamerica.org","We recruit & train volunteers to serve as friendly visitors for lonely & isolated seniors in need. 1 in 6 Seniors say they are lonely over 40K in KC alone. Can you help?","Community Development",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911145329#.VypjSGfmq70","https://www2.guidestar.org/organizations/91-1145329/friend-friend-america.aspx",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911145329#.VypjSGfmq70","https://www2.guidestar.org/organizations/91-1145329/friend-friend-america.aspx",,,"Seniors","Veterans & Military",
"Alternative Humane Society",,"91-1551706","9395","https://www.alternativehumanesociety.com","All-volunteer nonprofit animal welfare org dedicated to improving the lives of dogs and cats and helping them find and stay in permanent loving homes.","Animals",,,"https://www.charitynavigator.org/index.cfm?keyword_list=Alternative+Humane+Society+of+Whatcom+County%2C+The&bay=search.results","https://www.guidestar.org/profile/911551706",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?keyword_list=Alternative+Humane+Society+of+Whatcom+County%2C+The&bay=search.results","https://www.guidestar.org/profile/911551706",,,,,
"Wonderland Child & Family Services","2402 NW 195th Pl
Shoreline, WA 98177
(47.771475, -122.388958)","91-0890276","9514","https://www.wonderlandkids.org","Wonderland provides life-changing therapies and support services for children with developmental delays, disabilities, and prenatal substance exposure and their families.","Mental Health, Disabilities, & Substance Abuse","Disease, Disorders, & Medical Research","Youth Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910890276","https://www.guidestar.org/profile/91-0890276",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910890276","https://www.guidestar.org/profile/91-0890276",,,"Children & Youth","People With Disabilities","Economically Disadvantaged People"
"Alexander Hamilton Scholars",,"34-2011733","10879","https://www.hamiltonscholars.org/","Empowering high-achieving, underserved young leaders to attend, thrive, & graduate college. Creating a community of ethical leaders who break barriers to build an equitable world.","Education & Literacy","Social & Economic Justice","Youth Development","https://www.charitynavigator.org/ein/342011733","https://www.guidestar.org/profile/34-2011733","https://www.bbb.org/charity-reviews/greatwestpacific/alexander-hamilton-scholars-in-seattle-wa-90010213",,"New","Yes",,"https://www.charitynavigator.org/ein/342011733","https://www.guidestar.org/profile/34-2011733","https://www.bbb.org/charity-reviews/greatwestpacific/alexander-hamilton-scholars-in-seattle-wa-90010213",,"Economically Disadvantaged People","Children & Youth",
"YWCA Pierce County","405 Broadway
Tacoma, WA 98402
(47.260553, -122.443041)","91-0565026","9594","https://www.ywcapiercecounty.org","Transforming lives through safety, healing & empowerment. Services for clients fleeing domestic violence include shelter, legal services, support groups & housing.","Legal Advocacy","Housing & Employment","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15160","https://www.guidestar.org/organizations/91-0565026/ywca-pierce-county.aspx",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15160","https://www.guidestar.org/organizations/91-0565026/ywca-pierce-county.aspx",,,,,
"MAP International","4700 Glynco Parkway
Brunswick, GA 31525
(31.256929, -81.446609)","36-2586390","3581","https://www.map.org","Christian organization providing life-changing medicines and health supplies to people in need.","International Relief & Development","Community Development","Health (General)",,"https://www.guidestar.org/profile/36-2586390","https://www.give.org/charity-reviews/national/religious/map-international-in-brunswick-ga-1681",,"Returning","No",,,"https://www.guidestar.org/profile/36-2586390","https://www.give.org/charity-reviews/national/religious/map-international-in-brunswick-ga-1681",,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","People With Disabilities"
"Christian Military Fellowship",,"84-0780545","4169","https://www.cmfhq.org","Ministering to America's military & their families worldwide empowering them in their Christian faith, advancing Bible studies, linkups, mentoring, fellowship, resources.","Spiritual Development",,"Education & Literacy",,"https://www.guidestar.org/profile/84-0780545",,,"Number change","No",,,"https://www.guidestar.org/profile/84-0780545",,,"Veterans & Military",,
"Epilepsy Foundation","3540 Crain Highway Ste 675
Bowie, MD 20716
(38.936696, -76.717985)","52-0856660","4027","https://www.epilepsy.com","Epilepsy Foundation’s mission: stop seizures, find a cure, and overcome challenges created by epilepsy through education, advocacy and research to accelerate new therapies.","Health (General)","Community Development","Disease, Disorders, & Medical Research",,"https://www.guidestar.org/profile/52-0856660",,,"Returning","No",,,"https://www.guidestar.org/profile/52-0856660",,,"Children & Youth","Economically Disadvantaged People","People With Disabilities"
"American Council of the Blind","1703 N Beauregard St Ste 420
Alexandria, VA 22311
(38.83201, -77.123896)","58-0914436","4161","https://www.acb.org","Our mission is to increase the independence, security, equality of opportunity, and quality of life for all blind and visually impaired people.","Disease, Disorders, & Medical Research","Health (General)","Human & Civil Rights",,"https://www.guidestar.org/profile/58-0914436",,,"New","No",,,"https://www.guidestar.org/profile/58-0914436",,,"People With Disabilities","Seniors","Children & Youth"
"Swedish Medical Center Foundation","747 Broadway
Seattle, WA 98122
(47.60924, -122.320767)","91-0983214","9689","https://www.Swedishfoundation.org","As the largest not-for-profit medical provider in the region, our commitment to improving the health of our region extends beyond patient care.","Health (General)",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910983214","https://www.guidestar.org/profile/91-0983214",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910983214","https://www.guidestar.org/profile/91-0983214",,,,,
"National Trust for Historic Preservation in the United States","2600 Virginia Ave NW Ste 1100
Washington, DC 20037
(38.899804, -77.055357)","53-0210807","5067","https://www.savingplaces.org","We are committed to protecting America's rich cultural legacy and helping build vibrant, sustainable communities that reflect our nation's diversity.","Arts, Culture, & Humanities",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4199#.VxZrKfkrKJA","https://www.guidestar.org/profile/53-0210807",,"https://greatnonprofits.org/org/national-trust-for-historic-preservation-in-the-us","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4199#.VxZrKfkrKJA","https://www.guidestar.org/profile/53-0210807",,"https://greatnonprofits.org/org/national-trust-for-historic-preservation-in-the-us",,,
"Adopt-A-Stream Foundation","600 128th St SE
Everett, WA 98208
(47.881988, -122.224284)","91-1333737","2735","https://www.streamkeeper.org","Help us protect Northwest Salmon and Trout habitat. We train people of all ages to become Streamkeepers who will preserve our watersheds, wetlands, and streams.","Environment",,,,,,,"Returning","No",,,,,,,,
"Jojo's Sanctuary","340 W Wickenburg Way Ste A-67
Wickenburg, AZ 85390
(33.965652, -112.734349)","45-3813499","10807","https://www.jojosthailand.org","Educating, Protecting and Empowering vulnerable communities in Thailand to strengthen families and prevent separation and exploitation.","Community Development","Social & Economic Justice","Recreation, Sports, Leisure, & Athletics","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=453813499","https://www.guidestar.org/profile/45-3813499",,,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=453813499","https://www.guidestar.org/profile/45-3813499",,,"Economically Disadvantaged People","Children & Youth",
"Camp Ten Trees","1122 E Pike St #1488
Seattle, WA 98122
(47.6141, -122.317243)","01-0923793","9157","https://www.camptentrees.org","Affirming, empowering Spring & Summer Camp sessions for lesbian, gay, bisexual, transgender, and queer/questioning (LGBTQ+) youth and youth from LGBTQ+ & nontraditional families.","Youth Development","Social & Economic Justice","Recreation, Sports, Leisure, & Athletics","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=010923793#.VuxMEvkrLIU","https://www.guidestar.org/profile/01-0923793",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=010923793#.VuxMEvkrLIU","https://www.guidestar.org/profile/01-0923793",,,"Children & Youth","LGBTQIA","Economically Disadvantaged People"
"National Multiple Sclerosis Society, Washington, Greater NW, Seattle","192 Nickerson St Ste 100
Seattle, WA 98109
(47.647756, -122.35335)","13-5661935","4028","https://www.nationalmssociety.org","People affected by MS can live their best lives as we stop MS in its tracks, restore what has been lost and end MS forever.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/13-5661935",,,"Returning","No",,,"https://www.guidestar.org/profile/13-5661935",,,"Women & Girls","People With Disabilities","Seniors"
"O'Dea High School Foundation","802 Terry Ave
Seattle, WA 98104
(47.607806, -122.325267)","91-1307532","9259","https://www.odea.org","The O’Dea High School Foundation supports O'Dea, a Catholic high school whose mission is to educate young men and prepare them to be men of character, faith and service.","Education & Literacy",,"Spiritual Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910905301","https://www.guidestar.org/profile/91-0905301",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910905301","https://www.guidestar.org/profile/91-0905301",,,"Children & Youth",,
"Washington State Farmers Market Association","93 Pike St Ste 316
Seattle, WA 98101
(47.608736, -122.340698)","91-1320916","2872","https://www.wafarmersmarkets.org","We ensure over 115 farmers markets have the training, tools, advocacy, and peer support they need to bring healthy food to communities and direct sales to farmers/small businesses.","Food & Hunger","Community Development","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911320916","https://www.guidestar.org/profile/91-1320916",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911320916","https://www.guidestar.org/profile/91-1320916",,,,,
"Elizabeth Gregory Home","1604 NE 50th St
Seattle, WA 98105
(47.664887, -122.310483)","91-2139335","9508","https://www.eghseattle.org","EGH provides a safe, welcoming space and essential services for homeless women that support them in breaking free from the cycle of homelessness.","Housing & Employment",,"Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912139335","https://www.guidestar.org/profile/91-2139335","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/elizabeth-gregory-home-in-seattle-wa-22563745",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912139335","https://www.guidestar.org/profile/91-2139335","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/elizabeth-gregory-home-in-seattle-wa-22563745",,"Economically Disadvantaged People","Women & Girls","Black, African American, African"
"HERO House NW","12838 SE 40th Pl
Bellevue, WA 98006
(47.573283, -122.167731)","01-0925282","9455","https://herohousenw.org","We offer people living with mental illness opportunities for friendship, employment, housing, education and access to needed services in a single caring and safe environment.","Mental Health, Disabilities, & Substance Abuse","Health (General)","Housing & Employment","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=010925282","https://www.guidestar.org/profile/01-0925282",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=010925282","https://www.guidestar.org/profile/01-0925282",,,"People With Disabilities",,
"AtWork!","1935 152nd Pl NE
Bellevue, WA 98007
(47.626667, -122.136841)","91-0996632","9252","https://www.atworkwa.org","We empower people with disabilities to be productive, integrated and contributing members of their communities. We provide employment and community access services.","Social & Economic Justice","Mental Health, Disabilities, & Substance Abuse","Community Development",,"https://www.guidestar.org/profile/91-0996632",,,"Returning","No",,,"https://www.guidestar.org/profile/91-0996632",,,"People With Disabilities","Children & Youth",
"LAZ Foundation","8433 S 122nd St
Seattle, WA 98178
(47.493981, -122.226129)","83-4566480","10063","https://www.no-web","This foundation was organized to award scholarships to area high school students; provide community service and further endeavors of Zeta Phi Beta Sorority, Inc.","Youth Development","Community Development","Education & Literacy",,,,,"New","Yes",,,,,,"Children & Youth","Black, African American, African","Seniors"
"PFLAG Seattle","1122 E Pike St PMB 620
Seattle, WA 98122
(47.6141, -122.317243)","94-3035972","9207","https://www.pflagseattle.org","Promotes the health and well-being of lesbian, gay, bisexual and transgender persons, their families and friends through monthly support meetings, education and advocacy.","Health (General)","Social & Economic Justice","Community Development",,"https://www.guidestar.org/profile/94-3035972",,,"Returning","No",,,"https://www.guidestar.org/profile/94-3035972",,,,,
"Myasthenia Gravis Foundation of America","290 Turnpike Rd Ste 5-315
Westborough, MA 1581
(42.283033, -71.644115)","13-5672224","4127","https://myasthenia.org/","Leading organization dedicated to finding better treatments and a cure for myasthenia gravis by funding impactful research and providing support for the global MG Community.","Disease, Disorders, & Medical Research","Education & Literacy","Community Development",,"https://www.guidestar.org/profile/13-5672224",,,"Returning","No",,,"https://www.guidestar.org/profile/13-5672224",,,"Children & Youth","Economically Disadvantaged People","Women & Girls"
"Northwest Adoption Exchange","701 5th Ave Ste 1230
Seattle, WA 98104
(47.604906, -122.330278)","91-1117250","9159","https://www.nwae.org","Finding adoptive families for the children in foster care; supporting the families who come forward; and advocating for excellence in child welfare.","Youth Development",,"Mental Health, Disabilities, & Substance Abuse",,,,,"Returning","No",,,,,,"Children & Youth",,
"Outdoor Youth Connections",,"26-1522928","9470","https://outdooryouthconnections.org","Connects youth with the opportunities and means to explore, study, and preserve the natural outdoors promoting personal growth and environmental consciousness.","Recreation, Sports, Leisure, & Athletics",,"Environment","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=261522928","https://www.guidestar.org/profile/26-1522928",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=261522928","https://www.guidestar.org/profile/26-1522928",,,"Children & Youth",,
