Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
Centro Cultural Mexicano,"7945 Gilman St
Redmond, WA 98052
(47.674159, -122.121942)",Social & Economic Justice,83-3001688,Social justice organization operating an inclusive community space serving as a regional service provider and cultural connection point focused on the Latino and BIPOC communities.,"Arts, Culture, & Humanities",Human & Civil Rights,97,17806,514
Cerebral Palsy Foundation,"3 Columbus Cir 15th Fl
New York, NY 10019
(40.76771, -73.982175)","Disease, Disorders, & Medical Research",13-6093337,"The Cerebral Palsy Foundation works to transform the lives of people with cerebral palsy (and related disabilities) today through research, innovation and collaboration.",Health (General),Community Development,,12081,
Chad's Legacy Project,,"Mental Health, Disabilities, & Substance Abuse",81-3696910,Dedicated to the advancement of mental health education and innovations in the evaluation and treatment of mental illness.,Health (General),,,,
Changes Parent Support Network,,Community Development,91-1737849,"A structured, peer-led program that provides support to parents struggling with children who are engaging in oppositional and self-destructive behaviors.",Education & Literacy,Health (General),,,
CHC: Creating Healthier Communities,"1199 N Fairfax St Ste 600
Alexandria, VA 22314
(38.816513, -77.039955)",Health (General),13-6167225,"Building stronger communities and empowering people to take action to improve health and wellbeing through giving opportunities, causes, volunteering, and health resources.","Disease, Disorders, & Medical Research",Community Development,,12448,
"Chedalawada English School & Community Support, Tanuku, India","4434 28th Pl
Seattle, WA 98199
(47.660574, -122.393927)",Education & Literacy,47-0924426,"Funding to operate the Chedalawada English School; a K-12, non-discriminatory educational facility in Tanuku, India; & provide food, clothing, & medicine for widows/handicapped.",Community Development,Food & Hunger,101,18235,44
"Chesapeake Bay Foundation, Inc.","6 Herndon Ave
Annapolis, MD 21403
(38.935122, -76.463439)",Environment,52-6065757,"America's waters and marine life face toxic pollution, overfishing, urban sprawl. Help realize our vision: safe drinking water, pristine waterways, thriving ecosystems.",,,,31232,
Chief Seattle Club,"410 2nd Ave Extension S
Seattle, WA 98104
(47.601068, -122.33139)",Health (General),91-0852503,Chief Seattle Club is a 501(c)(3) registered organization dedicated to physically and spiritually supporting urban American Indian and Alaska Native people.,Housing & Employment,"Mental Health, Disabilities, & Substance Abuse",101,18379,786
"Chief Seattle Council, Boy Scouts of America","3120 Rainier Ave S
Seattle, WA 98144
(47.57481, -122.295473)",Youth Development,91-0569878,"The Boy Scouts of America provides educational programs for young people in building character, developing leadership, and training in the responsibilities of active citizenship.",Community Development,,101,17919,771
Child Care Resources,"1225 S Weller St Ste 300
Seattle, WA 98144
(47.597502, -122.315994)",Education & Literacy,91-1465046,"Child Care Resources improves all children's access to high-quality early learning experiences by engaging with families, caregivers, and communities.",Poverty Relief,,101,17919,13
Childcare Worldwide,"315 Lakeway Dr
Bellingham, WA 98225
(48.745042, -122.470999)",Youth Development,95-3619910,"Transforming the lives of children in the developing world by introducing them to the Gospel, providing for their physical needs, and sponsoring their education.",Food & Hunger,International Relief & Development,,18644,1332
Child Foundation,"4475 SW Scholls Ferry Rd #170
Portland, OR 97225
(45.487841, -122.74663)",Youth Development,93-1148608,"Save lives, build hope. Education can move a child beyond poverty. Help children remain in school, giving them the tools to reach their full potential.",,,,29647,
ChildFund International,"2821 Emerywood Pkwy
Richmond, VA 23294
(37.60876, -77.525291)",International Relief & Development,54-0536100,"Helping deprived, excluded and vulnerable children have the capacity to become young adults and leaders to their communities.",Education & Literacy,Youth Development,,10939,
Childhaven,"316 Broadway
Seattle, WA 98122
(47.604959, -122.320756)",Youth Development,91-0402430,"We provide the services and support necessary to ensure that all children and families are safe, healthy and able to reach their full potential.","Mental Health, Disabilities, & Substance Abuse",,101,19578,785
Childhood Leukemia Foundation,"807 Mantoloking Rd Ste 202
Brick, NJ 8723
(40.051402, -74.125794)","Disease, Disorders, & Medical Research",52-1825483,Children suffering and dying from leukemia/cancer receive 'Hugs U Wear' (human hair wigs) to restore self-esteem and Wish Baskets to lift child's spirit.,Health (General),,,28388,
Children International,"2000 E Red Bridge Rd
Kansas City, MO 64131
(38.925134, -94.566252)",International Relief & Development,44-6005794,"Create a world without poverty where everyone is connected, productive and thriving, through health, education, empowerment and employment.",Community Development,Poverty Relief,,30832,
Children of the Night,"14530 Sylvan St
Van Nuys, CA 91411
(34.184649, -118.449906)",Youth Development,95-3130408,"Rescues America's children from the ravages of prostitution. Providing shelter, hope and new beginnings.",,,,19729,
Children's Alliance,"718 6th Ave S
Seattle, WA 98104
(47.596255, -122.326407)",Youth Development,91-0982879,"Championing public policies and practices that deliver the essentials kids need to thrive - confidence, stability, health, safety.",,,101,18379,15
Children's Cancer Assistance Fund,"500 N Broadway Ste 1850
Saint Louis, MO 63102
(38.629601, -90.188331)","Disease, Disorders, & Medical Research",37-1227890,"Childhood cancer can be devastating for any family. With our help, no family has to endure the costs and heartache of pediatric cancer alone.",Health (General),Community Development,,20363,
Children's Cause for Cancer Advocacy,"1325 G St NW Ste 540
Washington, DC 20005
(38.898317, -77.030898)",Health (General),11-3485631,"We are the leading national advocacy organization working to achieve access to better pediatric cancer treatment, research; and addressing needs of childhood cancer survivors.","Disease, Disorders, & Medical Research",Youth Development,,25078,
Children's Food Fund / World Emergency Relief,"425 W Allen Ave Ste 111
San Dimas, CA 91773
(34.117532, -117.814445)",Food & Hunger,95-4014743,"We provide food for hungry children, medical care for the sick, relief supplies for disaster victims and hope to millions living in poverty.",Health (General),Emergency & Disaster Services,,10134,
Children's Heart Foundation,"5 Revere Dr Ste 200
Northbrook, IL 60062
(42.150967, -87.805367)","Disease, Disorders, & Medical Research",36-4077528,"Funds the most promising research to advance the diagnosis, treatment and prevention of Congenital Heart Defects, the world's most prevalent and deadly birth defect.",Health (General),,,18090,
Children's Home Society of Washington,"12360 Lake City Way NE Ste 450
Seattle, WA 98125
(47.719113, -122.295267)",Youth Development,91-0575955,"A voice for children since 1896, we stand as the premier service provider to ensure the safety, security and success of Washington state's children.","Mental Health, Disabilities, & Substance Abuse",Social & Economic Justice,101,19579,104
Children's Hospital Foundation,"801 Roeder Rd Ste 650
Silver Spring, MD 20910
(38.998088, -77.025568)",Health (General),52-1640402,"As the nation's children's hospital, the mission of Children's National is to excel in Care, Advocacy, Research and Education.",Youth Development,"Disease, Disorders, & Medical Research",,2324,
Children's Hunger Fund,"13931 Balboa Blvd
Sylmar, CA 91342
(34.323762, -118.491444)",Food & Hunger,95-4335462,Our mission is to deliver hope to suffering children by equipping local churches for gospel-centered mercy ministry.,Youth Development,,,18912,
Children's Institute for Learning Differences (CHILD),"2640 Benson Rd S
Renton, WA 98055
(47.457028, -122.201681)",Youth Development,91-1055331,"Once-failing students learn to regulate themselves, develop relationships, and be learners with CHILD’s life-changing interventions, so they achieve success at school and in life.",Education & Literacy,"Mental Health, Disabilities, & Substance Abuse",100,17808,150
Children's Leukemia Research Foundation,"926 Valley Oaks Rd
St. Paul, MN 55127
(45.076265, -93.061582)","Disease, Disorders, & Medical Research",20-8365998,Leukemia - the #1 cancer among children. We dream of the day when innocent children won't suffer from this disease by supporting research for a cure.,Youth Development,,,14364,
Children's Therapy Center,"10811 SE Kent-Kangley Rd
Kent, WA 98030
(47.370031, -122.195419)","Mental Health, Disabilities, & Substance Abuse",91-1078809,"Provides physical, occupational, speech & feeding therapy; developmental evaluations; early special education; parent education; & related services to children with special needs.",Health (General),,76,17362,274
Children's Tumor Foundation,"370 Lexington Ave Ste 2100
New York, NY 10017
(40.750536, -73.976733)",Health (General),13-2298956,"Funds research, patient support and public awareness of the neurofibromatosis genetic disorders that cause random tumor growth throughout the body.",Youth Development,"Disease, Disorders, & Medical Research",,12079,
Child's Play Charity,"9660 153rd Ave NE
Redmond, WA 98052
(47.687505, -122.135748)",Health (General),20-3584556,"Focusing on helping change the patient experience, Child's Play works to understand technology needs and provide solutions to support the power of play in children's hospitals.","Mental Health, Disabilities, & Substance Abuse",,97,17806,514
Chimpanzee Sanctuary Northwest,,Animals,68-0552915,Provides lifetime quality care for formerly abused and exploited chimpanzees while advocating for great apes everywhere.,,,,,
Chinese Information & Service Center,"611 S Lane St
Seattle, WA 98104
(47.596686, -122.326167)",Health (General),23-7438529,"CISC helps immigrants throughout King County achieve success in their new community by providing information, referral, advocacy, social, and support services.",,,101,18379,15
CHOOSE 180,"1416 SW 151st St
Burien, WA 98166
(47.4676, -122.354147)",Youth Development,46-4242313,Transform systems of injustice while supporting the young people who are too often impacted by these systems.,Social & Economic Justice,Legal Advocacy,8,18226,29
Christian Military Fellowship,,Spiritual Development,84-0780545,"Ministering to America's military & their families worldwide empowering them in their Christian faith, advancing Bible studies, linkups, mentoring, fellowship, resources.",Education & Literacy,,,,
Christian Relief Services,"8301 Richmond Highway Ste 990
Alexandria, VA 22309
(38.73289, -77.100633)",Food & Hunger,54-1884868,"Helps Indian Reservations, Appalachia and overseas, by providing food, water, medicine, education, shelter to children/families.",,,,12443,
Christmas House,,Youth Development,91-1177244,Christmas House is a 100% volunteer nonprofit organization that provides qualifying low-income Snohomish County parents with free holiday gifts for their children.,,,,,
Church Council of Greater Seattle,"4820 S Morgan St
Seattle, WA 98118
(47.544251, -122.271819)",Social & Economic Justice,91-0460490,"We connect congregations with partners of many sectors to work for justice, especially around housing, immigrant & refugee accompaniment, & grassroots organizing.",Spiritual Development,,101,18800,798
Church World Service,"28606 Phillips St
Elkhart, IN 46515
(41.694369, -86.015406)",International Relief & Development,13-4080201,"Faith-based organization transforming communities around the globe through sustainable responses to hunger, poverty, displacement and disaster.","Arts, Culture, & Humanities",Poverty Relief,,22735,
Cierra Sisters Inc.,"5615 S Langston Rd
Seattle, WA 98178
(47.493478, -122.262436)",Health (General),91-2160317,"Our mission to ""break the cycle of fear"" and increase knowledge concerning breast cancer in the African-American and the underserved communities; together we can make a change.",Education & Literacy,,57,18230,452
CIN,"19550 International Blvd Ste 103
SeaTac, WA 98188
(47.427325, -122.295686)",Community Development,81-3511834,We are a trusted advocate and resource for immigrants from Congo and other African countries in King County.,Education & Literacy,Health (General),92,18231,474
Circle Faith Future,"16544 191st Pl NE
Woodinville, WA 98072
(47.749384, -122.08246)",Education & Literacy,84-3867300,Our vision is to reach out to people and communities to address the systemic nature of our human missed connection. We especially focus on chaplaincy with incarcerated youth.,Community Development,Social & Economic Justice,61,18071,881
City Fruit,"3417 Evanston Ave N Ste 210
Seattle, WA 98103
(47.650515, -122.35132)",Food & Hunger,80-0579830,"We protect & promote Seattle's incredible urban fruit tree canopy. Each year we harvest tens of thousands of pounds of fruit, sharing it with community partners.",Environment,Community Development,101,18377,1110
City Year Seattle / King County,"2203 23rd Ave S Ste 101
Seattle, WA 98144
(47.583442, -122.302949)",Education & Literacy,22-2882549,City Year is an education-focused nonprofit that places AmeriCorps Members in high-need urban public schools to increase the number of students who graduate from high school.,Social & Economic Justice,,101,17919,1229
Clarion West Writers Workshop,,"Arts, Culture, & Humanities",91-1352168,"An award-winning writer’s workshop that fosters some of the world’s most exciting voices in speculative fiction, helping diverse writers at the beginning of their career.",Education & Literacy,Community Development,,,
Classical KING FM 98.1,"363 Mercer St Ste #200
Seattle, WA 98109
(47.624573, -122.349878)","Arts, Culture, & Humanities",27-3067797,"Classical 98.1 will actively grow, diversify, and enrich the love of classical music in our community.",,,101,18390,779
Clean Water Foundation,"8848 Stone Ave N Ste 201
Seattle, WA 98103
(47.693771, -122.341332)",Environment,26-3624116,Improve the health and significantly impact the lives of millions of people worldwide through the implementation and distribution of water purification systems.,International Relief & Development,Emergency & Disaster Services,101,18377,1108
Clean Water Fund,"1010 Vermont Ave NW Ste 400
Washington, DC 20005
(38.902928, -77.033546)",Environment,52-1043444,"Action and education programs bringing people, businesses and government together for sensible solutions that protect water and health and prevent pollution.",,,,25078,
Climate Solutions,"219 Legion Way SW Ste 201
Olympia, WA 98501
(47.043046, -122.903527)",Environment,91-1123302,Climate Solutions accelerates Northwest climate change and clean energy leadership to catalyze national and international solutions at scale.,,,,5275,254
Clinton Foundation,"1200 President Clinton Ave
Little Rock, AR 72201
(34.7471, -92.2624)",International Relief & Development,31-1580204,"Improving lives by working together with worldwide partners to create economic opportunity, improve public health, and inspire civic engagement.",Food & Hunger,Health (General),,16364,
Coalition Ending Gender-Based Violence (formerly King County Coalition Against Domestic Violence),"1419 S Jackson St #103
Seattle, WA 98144
(47.599219, -122.313184)",Social & Economic Justice,91-1504712,We work with and for over 40 member agencies and individuals in King County to increase our community's capacity to prevent and respond to sexual and domestic violence.,Human & Civil Rights,,101,17919,13
Coalition for Refugees from Burma,"1265 S Main St Ste 309
Seattle, WA 98144
(47.600019, -122.314476)",Education & Literacy,27-1458930,"Founded in 2009, our mission is to promote the self-sufficiency of immigrants and refugees by helping them access educational opportunities while preserving traditional customs.",Housing & Employment,Youth Development,101,17919,13
Coast Guard Holiday Stockings for Homeless Children,,Education & Literacy,20-2464993,"Gives basic, educational, fun gifts & toys to 4700 homeless children, ages infant to teens, including 700 street youth living in Puget Sound shelters. 97% goes to the children.","Arts, Culture, & Humanities",,,,
Cocoon House,"3530 Colby Ave
Everett, WA 98201
(47.970326, -122.208287)",Housing & Employment,91-1497667,"Cocoon House's mission is to empower young people, families and the community to break the cycle of homelessness through outreach, housing, and prevention services.",Health (General),,,18238,633
Colectiva Legal del Pueblo,"13838 1st Ave S
Burien, WA 98168
(47.478441, -122.333852)",Legal Advocacy,46-1470709,We are a non-hierarchical collective founded by & for undocumented immigrants working to build a more inclusive movement for migrant justice through legal services & organizing.,Social & Economic Justice,Community Development,8,18227,459
College Possible Washington,"3211 Martin Luther King Jr Way S Ste A
Seattle, WA 98144
(47.57453, -122.296945)",Education & Literacy,41-1968798,Making college graduation possible for low-income students through an intensive curriculum of coaching and support.,Social & Economic Justice,,101,17919,403
College Success Foundation,"15500 SE 30th Pl Ste 200
Bellevue, WA 98007
(47.582298, -122.13444)",Education & Literacy,91-2036088,"College Success Foundation provides supports and services to students who face financial barriers to finish high school college-ready, graduate from college and succeed in life.",,,6,31853,827
Colorectal Cancer Alliance,"1025 Vermont Ave NW Ste 1066
Washington, DC 20005
(38.903398, -77.033271)",Health (General),86-0947831,"Our mission is to knock colon cancer out of the top three cancer killers. We do this by championing prevention, funding research & providing support.","Disease, Disorders, & Medical Research",Community Development,,25078,
Communities In Schools of Renton-Tukwila,"1055 S Grady Way
Renton, WA 98057
(47.474912, -122.205377)",Social & Economic Justice,91-1689158,"Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.",Education & Literacy,,100,17811,437
Communities In Schools of Seattle,"2445 3rd Ave S
Seattle, WA 98134
(47.581585, -122.329998)",Education & Literacy,91-1910330,"We work collaboratively with Seattle Public Schools to surround students with a community of support, empowering them to stay in school and achieve in life.",Social & Economic Justice,,101,19584,401
Communities In Schools of Washington,"1010 S 336th St Ste 205
Federal Way, WA 98003
(47.300694, -122.319593)",Education & Literacy,91-1541026,The Washington state office supports our Communities In Schools affiliate network to serve as many students as possible with the highest quality programs.,,,19,31847,862
Communities Rise,"3642 33rd Ave S Ste C4
Seattle, WA 98144
(47.570583, -122.291051)",Social & Economic Justice,32-0098070,"To create an equitable system, we pursue cross-sector collaboration, and provide capacity building and legal services for community organizations and microenterprises.",Legal Advocacy,Community Development,101,17919,405
Community Action of Skagit County,"330 Pacific Pl
Mount Vernon, WA 98273
(48.44128, -122.336046)",Housing & Employment,91-1140086,Community Action stabilizes lives and equips people to move out of poverty. We also work in collaboration with the community to create ongoing pathways to prosperity.,Food & Hunger,Education & Literacy,,19893,984
Community Alliance for Global Justice,"1322 S Bayview St Ste 300
Seattle, WA 98144
(47.581016, -122.315358)",Social & Economic Justice,20-3770707,"We are grassroots, community-based and dedicated to strengthening the global food sovereignty movement through three programs: Food Justice Project, Trade Justice and AGRA Watch.",Food & Hunger,Environment,101,17919,1412
Community for Youth,"1225 S Weller St Ste 320
Seattle, WA 98144
(47.597502, -122.315994)",Youth Development,52-1494505,"We inspire and support the social, emotional, and academic development of students through mentoring, learning experiences, and a powerful community.",Community Development,Social & Economic Justice,101,17919,13
Community Frameworks,"500 Pacific Ave Ste 360
Bremerton, WA 98337
(47.566889, -122.626905)",Housing & Employment,91-0933023,"Our mission is to support and develop affordable housing as a foundation upon which individuals, families and neighborhoods can build vital communities.",Community Development,Social & Economic Justice,,11466,533
"Community Homes, Inc",,Housing & Employment,91-1700810,"We create rich, full lives for adults with developmental disabilities by providing and promoting quality, community-based housing and services.","Mental Health, Disabilities, & Substance Abuse",,,,
Community Network Council (CNC),"1819 Central Ave S Ste 72
Kent, WA 98032
(47.362897, -122.229895)",Education & Literacy,27-3613359,"We work collaboratively to create, deliver and facilitate programs and events that address youth and family needs in our predominantly Black community focus on education.",Social & Economic Justice,Youth Development,76,17362,479
Community Passageways,,Social & Economic Justice,81-3806946,"We are committed to transforming the juvenile justice system into a community-based, restorative system believing guidance and support are better deterrents than criminalization.",Legal Advocacy,Housing & Employment,,,
Community Roots Housing Foundation (formerly Capitol Hill Housing Foundation),"1620 12th Ave Ste 205
Seattle, WA 98122
(47.61572, -122.316865)",Housing & Employment,27-1682190,"Provides affordable housing with an emphasis on serving families, develops and preserves buildings with “green” features, and leads community development efforts.",Community Development,Environment,101,19578,781
Companis,"1111 Harvard Ave
Seattle, WA 98122
(47.611889, -122.321366)",Social & Economic Justice,91-1705491,Creates healthy communities by fostering skilled volunteer service. Companis connects volunteer professionals with nonprofit agencies that need staffing assistance.,Community Development,Food & Hunger,101,19578,784
Compass Housing Alliance,"220 Dexter Ave N Fifth Fl
Seattle, WA 98109
(47.619953, -122.342406)",Housing & Employment,91-0578229,Provides permanent affordable housing and emergency programs for low-income individuals and families experiencing homelessness at 20 program locations across the Puget Sound.,,,101,18390,779
Compassion International,"12290 Voyager Parkway
Colorado Springs, CO 80921
(39.009725, -104.807351)",International Relief & Development,36-2423707,"A child-advocacy ministry to release children from their spiritual, social, and physical poverty to become responsible, fulfilled Christian adults.",Food & Hunger,Social & Economic Justice,,10481,
Congregations for the Homeless,"515 116th Ave NE #150
Bellevue, WA 98004
(47.614966, -122.185614)",Housing & Employment,45-3932748,"Our mission is to end homelessness on the Eastside by helping men make the transition from life on the street to stable, independent living.",,,6,31848,432
Conquering CHD Washington,,Health (General),46-3576700,"We exist to conquer the most common birth defect. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.","Disease, Disorders, & Medical Research","Mental Health, Disabilities, & Substance Abuse",,,
Consejo Counseling and Referral Service,"3808 S Angeline St
Seattle, WA 98118
(47.559456, -122.284521)","Mental Health, Disabilities, & Substance Abuse",91-1021247,"Providing behavioral health, substance abuse and domestic violence services to the Latino Community who represents the largest growing community in the country.",Housing & Employment,,101,18800,124
Conservation International,"2011 Crystal Dr Ste 500
Arlington, VA 22202
(38.855585, -77.049354)",Environment,52-1497470,"Using a foundation of science, partnership and field demonstration, CI empowers societies to responsibly and sustainably care for nature for humanity's long-term well being.",,,,23403,
Conservation Northwest,"1829 10th Ave W Ste B
Seattle, WA 98119
(47.635581, -122.370387)",Environment,94-3091547,"Conservation Northwest protects, connects and restores wildlife and wildlands from the Washington Coast to the British Columbia Rockies.",Animals,Health (General),101,19575,116
Convoy of Hope,"330 S Patterson Ave
Springfield, MO 65802
(37.207534, -93.248153)",Food & Hunger,68-0051386,"A faith-based, nonprofit organization with a driving passion to feed the world through children’s feeding initiatives, community outreaches, and disaster response.",Emergency & Disaster Services,Community Development,,17118,
Copper Canyon Press,,"Arts, Culture, & Humanities",94-3118374,Copper Canyon Press is a poetry publisher. For almost 50 years we have published extraordinary poetry from around the world to engage the imaginations and intellects of readers.,,,,,
Cornish College of the Arts,"1000 Lenora St
Seattle, WA 98121
(47.618009, -122.335953)",Education & Literacy,91-0916534,Provide students aspiring to become practicing artists with an educational program of the highest possible quality.,"Arts, Culture, & Humanities",Community Development,101,19576,397
Correctional Peace Officers Foundation,,Youth Development,68-0023302,"Nonprofit charity for Correctional Officers and their families, by providing line-of-duty death benefit, and catastrophic assistance in cases of accident or illness.",,,,,
"COTA-CHILDREN'S ORGAN TRANSPLANT ASSOCIATION, INC.","2501 W Cota Dr
Bloomington, IN 47403
(39.135716, -86.568815)",Health (General),35-1674365,COTA helps children and young adults who need a life-saving transplant by providing fundraising assistance and family support.,,,,21815,
Courthouse Dogs Foundation,"317 109th Ave SE
Bellevue, WA 98004
(47.606349, -122.194951)",Social & Economic Justice,46-0577127,Advocates for a more humane court system by including trained assistance dogs to provide comfort to vulnerable witnesses and others during stressful legal proceedings.,Animals,Human & Civil Rights,6,31848,830
Coyote Central,"2300 E Cherry St
Seattle, WA 98122
(47.608012, -122.302785)",Education & Literacy,91-1444797,"Youth ages 10-15 of all backgrounds work with professional artists in a wide range of fields tackling hands-on projects to build critical thinking, creativity, and self-awareness.","Arts, Culture, & Humanities",,101,19578,306
Crisis Connections,"2901 3rd Ave Ste 100
Seattle, WA 98121
(47.618568, -122.351331)","Mental Health, Disabilities, & Substance Abuse",91-0773187,"Telephone & online support services for adults & youth in crisis; offering emotional support, crisis intervention, suicide prevention & connections to community resources.",Health (General),,101,19576,779
Crista Ministries,"19303 Fremont Ave N
Shoreline, WA 98133
(47.769358, -122.351259)",Education & Literacy,91-6012289,"World Concern, a division of Crista Ministries is a global relief and development agency extending opportunity and hope to people facing extreme poverty.",Spiritual Development,Youth Development,102,19582,1194
Crohn's & Colitis Foundation,"733 Third Ave Ste 510
New York, NY 10017
(40.753089, -73.972758)",Health (General),13-6193105,"Our mission is to cure Crohn's disease and ulcerative colitis, and to improve the quality of life of children and adults affected by these diseases.","Disease, Disorders, & Medical Research",Community Development,,12079,
"Crohn's & Colitis Foundation, Northwest Chapter, Washington","9 Lake Bellevue Dr Ste 203
Bellevue, WA 98005
(47.619268, -122.183181)",Health (General),13-6193105,"Our mission is to cure Crohn's disease and ulcerative colitis, and to improve the quality of life of children and adults affected by these diseases.","Disease, Disorders, & Medical Research",Community Development,6,31850,433
Crooked Trails,"2115 E Mercer St
Seattle, WA 98112
(47.624402, -122.303946)",Education & Literacy,73-1669742,Our mission is to inspire travelers to get involved in the places they visit & to empower locals to take charge of tourism in their communities by supporting development projects.,Community Development,International Relief & Development,101,18789,117
Cultural Funding for the Performing Arts,"310 1st Ave S Ste 331
Seattle, WA 98104
(47.599783, -122.334139)",Community Development,81-3184956,Funding performing arts events.,Community Development,Education & Literacy,101,18379,786
Cure Alzheimer's Fund,"34 Washington St Ste 310
Wellesley, MA 2481
(42.324895, -71.260854)","Disease, Disorders, & Medical Research",52-2396428,"Research is the only path to progress. We're funding breakthrough, aggressive research to prevent, slow, reverse and ultimately find a cure for Alzheimer's Disease.",Health (General),,,171,
Cure SMA,"925 Busse Rd
Elk Grove Village, IL 60007
(42.012807, -87.959575)","Disease, Disorders, & Medical Research",36-3320440,"We fund and direct comprehensive research that drives breakthroughs in treatment and care, and we provide families the support they need for today.",,,,4094,
Cystic Fibrosis Foundation,"4550 Montgomery Ave Ste 1100N
Bethesda, MD 20814
(38.983961, -77.091794)",Health (General),13-1930701,"The mission of the Cystic Fibrosis Foundation is to cure cystic fibrosis and provide all people with CF the opportunity to lead full, productive lives.","Disease, Disorders, & Medical Research",Community Development,,31801,
"Cystic Fibrosis Foundation, Washington Chapter","520 Pike St Ste 1075
Seattle, WA 98101
(47.611013, -122.334788)",Health (General),13-1930701,"The mission of the Cystic Fibrosis Foundation is to cure cystic fibrosis and provide all people with CF the opportunity to lead full, productive lives.","Disease, Disorders, & Medical Research",Community Development,101,18081,118
DAHLIA Living,"15111 8th Ave SW Ste 303
Burien, WA 98166
(47.467244, -122.344529)",Housing & Employment,51-0152982,We provide 24/7 long-term homes and care for developmentally disabled adults who need a safe environment and experienced caregivers.,,,8,18226,29
DAWN - Domestic Abuse Women's Network,,Social & Economic Justice,91-1176122,DAWN provides help and hope to end domestic violence and create peaceful communities in south King County and beyond.,Legal Advocacy,,,,
Deaf-Blind Service Center,"1620 18th Ave Ste 200
Seattle, WA 98122
(47.615869, -122.308845)","Disease, Disorders, & Medical Research",91-1357750,Only agency in Washington committed to assist individuals that are both deaf and blind reach personal autonomy and attain highest quality of life possible.,,,101,19578,12
Deaf Children's Literacy Project,"3603 Quentin Rd 2nd Fl
Brooklyn, NY 11234
(40.614765, -73.936616)",Education & Literacy,52-1263121,Most deaf children are behind in English language and literacy. Reading opens the door to their future. Give them the power of English to succeed.,Youth Development,,,13825,
Deaf Spotlight,,"Arts, Culture, & Humanities",27-5059109,Deaf Spotlight inspires and showcases Deaf Culture and Sign Languages through the arts.,,,,,
Defenders of Wildlife,"1130 Seventeenth St NW
Washington, DC 20036
(38.904941, -77.038506)",Environment,53-0183181,"Working to save America's endangered animals and their habitat for future generations through public education, citizen advocacy, legal action and scientific research.",Animals,,,4499,
Delridge Neighborhoods Development Association (DNDA),"4408 Delridge Way SW
Seattle, WA 98106
(47.55348, -122.362975)","Arts, Culture, & Humanities",91-1741016,"Integrating Art, Nature, and Neighborhood to build and sustain a dynamic Delridge.",Environment,Housing & Employment,101,18385,1404
Delta Research and Educational Foundation,"1703 New Hampshire Ave NW
Washington, DC 20009
(38.913103, -77.040213)","Disease, Disorders, & Medical Research",52-1338072,Promotes research affecting African American women and their communities through funding and support of charitable programs of Delta Sigma Theta.,,,,25084,
Dementia Society of America,"188 N Main St
Doylestown, PA 18901
(40.314215, -75.130617)","Disease, Disorders, & Medical Research",46-3401769,"The leading volunteer-driven all-Dementias awareness organization. 1-800-DEMENTIA™ hotline, local resource connections, life-enrichment grants, and research awards.","Mental Health, Disabilities, & Substance Abuse",Health (General),,5684,
Denise Louie Education Center,"5333 15th Ave S Ste 1K
Seattle, WA 98108
(47.553775, -122.313475)",Education & Literacy,91-1016974,"Promotes school and life readiness by providing high-quality, multicultural early learning services to low-income immigrant and refugee children and families in King County.",Community Development,,101,18388,773
Densho,"1416 S Jackson St
Seattle, WA 98144
(47.59922, -122.313104)",Education & Literacy,91-2164150,"We offer stories of Japanese Americans who were unjustly incarcerated during World War II, coupled with historical images & teacher resources, to promote equal justice for all.",Social & Economic Justice,"Arts, Culture, & Humanities",101,17919,13
Depression and Bipolar Support Alliance,"55 E Jackson Blvd Ste 490
Chicago, IL 60604
(41.878258, -87.625585)","Mental Health, Disabilities, & Substance Abuse",36-3379124,"Patient-directed organization focusing on the most prevalent, life-threatening mental illnesses. The Mission – “to improve the lives of people living with mood disorders.”",Health (General),Community Development,,14912,
DESC,"515 3rd Ave
Seattle, WA 98104
(47.602248, -122.330976)",Housing & Employment,91-1275815,"We serve over 3,000 homeless adults daily, offering supportive housing, clinical care, emergency shelter, street outreach, meals, and job placement.","Mental Health, Disabilities, & Substance Abuse",,101,18379,399
Des Moines Area Food Bank,"22225 9th Ave S
Des Moines, WA 98198
(47.402293, -122.321974)",Food & Hunger,91-1183154,"Emergency food assistance in Des Moines, SeaTac, west hill Kent. Serving weekend backpacks and 60,000 summer meals to kids. Garden truck nutrition education. Home delivery.",Emergency & Disaster Services,,25,18234,845
Diabetes Research & Wellness Foundation,"1832 Connecticut Ave NW Ste 420
Washington, DC 20009
(38.915501, -77.046372)","Disease, Disorders, & Medical Research",52-1840230,"Our goal is to fund scientific research into treatments & cure of diabetes. Conducts screenings, education programs to save lives from blindness, kidney failure, amputations.",Health (General),,,25083,
Dignity for Divas,,Housing & Employment,46-0685664,Dignity for Divas supports women across the Puget Sound transition out of homelessness through the use of a self-care platform that creates pathways to success.,Health (General),,,,
Direct Relief,"27 S La Patera Ln
Santa Barbara, CA 93117
(34.437423, -119.842441)",Food & Hunger,95-1831116,"Providing essential medical resources to the most vulnerable communities in the U.S. and worldwide, improving health and transforming lives.",,,,5119,
