Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
Atria New City,260 Main Street,Rockland,New City,10956,8452029651,8452136675,15162,"CSH New City Operator, Inc.",620-F-101,112,,112,83,29,Adult Home,Business Corporation,Metropolitan Area Regional Office - New Rochelle,"260 Main Street
New City, NY 10956
(41.369641, -73.965856)"
Olsen Rest,P.O. Box 256,Suffolk,Nesconset,11767,6315885676,6315885676,15033,"Olsen, George Jr.",700-F-223,40,,,,,Adult Home,Individual,Metropolitan Area Regional Office - Long Island,
Home of the Good Shepherd Wilton,60 Waller Road,Saratoga,Wilton,12831,5185800702,5185800709,14999,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-038,54,,54,25,,Adult Home,Not for Profit Corporation,Capital District Regional Office,"60 Waller Road
Wilton, NY 12831
(43.130396, -73.76827)"
Absolutcare of Orchard Brooke,6060 Armor Road,Erie,Orchard Park,14127,7166626753,7166626752,14693,"Absolut at Orchard Brooke, LLC",240-F-878,80,69,,,,Adult Home,LLC,Western Regional Office - Buffalo,"6060 Armor Road
Orchard Park, NY 14127
(42.751208, -78.762696)"
The Bristal at Garden City,1001 Axinn Avenue,Nassau,Garden City,11530,5165707010,5168335514,14847,"EB Care at Garden City, LLC",400-S-330,170,,170,55,44,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"1001 Axinn Avenue
Garden City, NY 11530
(40.739809, -73.608258)"
Sachem Adult Home,1298 Coates Avenue,Suffolk,Holbrook,11741,6315884554,6315884578,15060,Sachem Adult Home And Alp Llc,700-F-935,46,35,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"1298 Coates Avenue
Holbrook, NY 11741
(40.797614, -73.080149)"
Sunrise of Smithtown,"30 Hauppauge, Route 111",Suffolk,Smithtown,11787,6317242299,6317242922,15056,"SZR New York LH, Inc.",700-F-927,104,,104,104,43,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"30 Hauppauge, Route 111
Smithtown, NY 11787
(40.853835, -73.187626)"
Willing Helpers' Home for Women,"226 West Madison Ave, P.O. Box O",Fulton,Johnstown,12095,5187627719,5187623415,14724,Willing Helpers,280-E-008,20,,,,,Adult Home,Not for Profit Corporation,Capital District Regional Office,
Brothers of Mercy Sacred Heart Home,4526 Ransom Road,Erie,Clarence,14031,7167592644,7167596433,14684,"Brothers Of Mercy Sacred Heart Home, Inc.",240-E-845,96,,96,64,32,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"4526 Ransom Road
Clarence, NY 14031
(42.969382, -78.592621)"
Samaritan Summit Village,22691 Campus Drive,Jefferson,Watertown,13601,3157826800,3157826950,14736,"Samaritan Senior Village, Inc.",330-E-005,120,89,31,31,,Adult Home,Not for Profit Corporation,Central New York Regional Office,
Garnerville Home,216 Ramapo Road Route 202,Rockland,Garnerville,10923,8452415284,7185044296,14990,"Garnerville HFA Operation & Management, LLC",620-F-093,39,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
The Nottingham Memory Care Residence,1307 Nottingham Road,Onondaga,Jamesville,13078,3154133945,3154597548,14889,"Loretto Adult Community, Inc.",520-E-097,24,,24,,24,Adult Home,Not for Profit Corporation,Central New York Regional Office,"1307 Nottingham Road
Jamesville, NY 13078
(43.010775, -76.083746)"
Sunrise of Glen Cove,39 Forest Avenue,Nassau,Glen Cove,11542,5166560575,5166560574,14825,"GWC-Glen Cove, Inc.",400-F-327,111,,111,111,41,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"39 Forest Avenue
Glen Cove, NY 11542
(40.870981, -73.626975)"
Chenango County Home Preston Manor,"1150 County Road 4  RFD #2, Box 203",Chenango,Oxford,13830,6073349428,6073348299,14660,Chenango County D.S.S.,080-N-007,48,,,,,Adult Home,County,Central New York Regional Office,"1150 County Road 4  RFD #2, Box 203
Oxford, NY 13830
(42.524248, -75.61481)"
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,6315310000,6315310003,15050,Brandywine Senior Living at Huntington Terrace LLC,700-F-919,54,,54,54,34,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"70 Pinelawn Road
Melville, NY 11747
(40.779952, -73.404589)"
The Bristal at Lake Grove,2995 Middle Country Road,Suffolk,Lake Grove,11755,6316767580,6316767581,15078,Lake Grove Senior Care LLC,700-S-311,155,,155,75,64,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"2995 Middle Country Road
Lake Grove, NY 11755
(40.862135, -73.131466)"
Brooklyn Boulevard ALP,636 Louisiana Avenue,Kings,Brooklyn,11239,7185570777,7186423510,14758,Brooklyn Boulevard ALP LLC,331-S-014,184,184,,,,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,"636 Louisiana Avenue
Brooklyn, NY 11239
(40.647007, -73.885206)"
Belle Harbor Manor,209 Beach 125th Street,Queens,Belle Harbor,11694,7189456600,7184748540,14941,"Belle Harbor Home of the Sages, Inc.",590-E-293,162,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"209 Beach 125th Street
Belle Harbor, NY 11694
(40.577679, -73.844916)"
Eastern Star Home,8290 State Route 69,Oneida,Oriskany,13424,3157369311,3157363047,15226,Trustees of the Eastern Star Hall and Home of the State of New York,510-E-067,14,,14,7,14,Adult Home,Not for Profit Corporation,Central New York Regional Office,"8290 State Route 69
Oriskany, NY 13424
(43.164908, -75.339511)"
Sunrise of Plainview,1231 Old Country Road,Nassau,Plainview,11803,5169325151,5169321759,14822,"GWC - Plainview, Inc.",400-F-323,65,,65,65,17,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"1231 Old Country Road
Plainview, NY 11803
(40.776548, -73.460395)"
Marjorie Doyle Rockwell Center,18 Pasinella Way,Albany,Cohoes,12047,5182384150,5182384195,14599,"Marjorie Doyle Rockwell Center, Inc.",000-E-283,52,,52,,52,Adult Home,Not for Profit Corporation,Capital District Regional Office,"18 Pasinella Way
Cohoes, NY 12047
(42.775152, -73.724452)"
Brookdale Williamsville,6076 Main Street,Erie,Williamsville,14221,7166327123,7166327512,14688,"Williamsville Clare Bridge Operator, Inc.",240-F-851,52,,,,,Adult Home,Business Corporation,Western Regional Office - Buffalo,
NY Found-Sr Citizens EHP#2 Brown Gardens,225 East 93rd Street,New York,New York,10128,2123695523,2124104462,14854,"New York Foundation for Senior Citizens, Inc.",420-S-272,47,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"225 East 93rd Street
New York, NY 10128
(40.78277, -73.949587)"
Adirondack Manor HFA D.B.A Adirondack Manor HFA ALP,653 Bay Road,Warren,Queensbury,12804,5187610176,5187610338,15099,James E. Kane Sr. James E. Kane Jr.,750-F-046,60,54,,,,Adult Home,Individual,Capital District Regional Office,"653 Bay Road
Queensbury, NY 12804
(43.353709, -73.656664)"
The Manor House,427 East Main Street,Genesee,Batavia,14020,5853442345,5853444482,14728,"Manor House Enriched, LLC",290-S-003,60,,,,,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"427 East Main Street
Batavia, NY 14020
(42.996217, -78.173356)"
Brookdale Fayetteville,5125 Highbridge Street,Onondaga,Fayetteville,13066,3156372000,3156372004,14891,"Manlius Clare Bridge Operator, Inc.",520-F-145,52,,,,,Adult Home,Business Corporation,Central New York Regional Office,"5125 Highbridge Street
Fayetteville, NY 13066
(43.019548, -76.011354)"
The Country House in Westchester,2000 Baldwin Road,Westchester,Yorktown Heights,10598,9149623625,9149624130,15116,Country House Operator LLC,800-F-138,100,,100,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"2000 Baldwin Road
Yorktown Heights, NY 10598
(41.276076, -73.791543)"
Brookdale Bellevue,4330 Onondaga Boulevard,Onondaga,Syracuse,13219,3154685108,3154680663,14896,"Painted Post, LLC",520-F-163,91,,,,,Adult Home,LLC,Central New York Regional Office,"4330 Onondaga Boulevard
Syracuse, NY 13219
(43.026685, -76.215228)"
The Lake Shore Assisted Living Residence,211 Lake Shore Road,Suffolk,Lake Ronkonkoma,11779,6315858800,6315850716,15038,"Lakehaven Equities, Inc.",700-F-893,200,,200,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"211 Lake Shore Road
Lake Ronkonkoma, NY 11779
(40.827155, -73.116657)"
Bridges Cornell Heights - The Tudor,407 Wyckoff Avenue,Tompkins,Ithaca,14850,6072575777,6072573565,15090,"Ambrose, Elizabeth Classen",730-F-003,15,,15,15,,Adult Home,Individual,Central New York Regional Office,"407 Wyckoff Avenue
Ithaca, NY 14850
(42.455695, -76.484425)"
Metro Interfaith EHP,110 Chenango Place,Broome,Binghamton,13901,6077243774,6077249602,14634,Metro Interfaith Housing Management Corporation,030-S-041,37,,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,"110 Chenango Place
Binghamton, NY 13901
(42.10162, -75.90956)"
Grande'ville Senior Living Community,555 Maiden Lane,Monroe,Rochester,14616,5856216160,5856218002,14778,"Grande'ville Senior Living Community, LLC",370-F-230,115,,115,30,35,Adult Home,LLC,Western Regional Office - Buffalo,"555 Maiden Lane
Rochester, NY 14616
(43.22375, -77.656982)"
Danforth Adult Care Center,19 Danforth Street,Rensselaer,Hoosick Falls,12090,5186865167,5186864428,14967,Danforth Assisted Living Program LLC,600-F-254,80,42,,,,Adult Home,LLC,Capital District Regional Office,"19 Danforth Street
Hoosick Falls, NY 12090
(42.909404, -73.347707)"
The New Jewish Home University Avenue Assisted Living,2553 University Avenue,Bronx,Bronx,10468,3474184270,3474184271,14622,"Jewish Home Lifecare, University Avenue Assisted Living",020-S-003,72,72,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"2553 University Avenue
Bronx, NY 10468
(40.867576, -73.901646)"
NY Found-Sr Citizens EHP#5 Clinton Gardens,404-412 W. 54 St.- Clinton Gardens,New York,New York,10019,2124899339,2124899332,14857,"New York Foundation for Senior Citizens, Inc.",420-S-376,47,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
Atria East Northport,10 Cheshire Place,Suffolk,East Northport,11731,6317578000,6317578010,15057,"ATR New York LH, Inc.",700-F-929,200,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"10 Cheshire Place
East Northport, NY 11731
(40.875196, -73.322698)"
Rockaway Manor HFA,145 Beach 8th Street,Queens,Far Rockaway,11691,7183276300,7183273834,14940,Foundation For The Elderly,590-E-292,120,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"145 Beach 8th Street
Far Rockaway, NY 11691
(40.595409, -73.742825)"
Garden House For Adults,91 Walnut Street,Broome,Binghamton,13905,6077245763,6077245763,14629,"Bawas, Imelda",030-F-038,24,,,,,Adult Home,Individual,Central New York Regional Office,"91 Walnut Street
Binghamton, NY 13905
(42.101266, -75.922988)"
The Arbors at Islandia East,1515A Veterans Memorial Highway,Suffolk,Islandia,11749,6312323131,6313421855,15047,"Arcadia Management, Inc.",700-F-914,200,,200,,57,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"1515A Veterans Memorial Highway
Islandia, NY 11749
(40.809947, -73.186175)"
Birchwood Suites,423 Clay Pitts Road,Suffolk,East Northport,11731,6313685252,6313683128,15064,Birchwood Suites Operator LLC,700-F-943,95,,95,78,17,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"423 Clay Pitts Road
East Northport, NY 11731
(40.868385, -73.299583)"
Glenmere at Cloverwood,One Wheatley Terrace,Monroe,Pittsford,14534,5852481200,5852481101,14796,"Cloverwood Senior Living, Inc.",370-S-845,77,,77,19,19,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,
The Sentinel of Rockland,200 Rella Blvd,Rockland,Montebello,10901,8452034500,8452034515,14982,"The Sentinel of Rockland, LLC",620-F-103,200,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
Sunrise of Holbrook,320 Patchogue-Holbrook Road,Suffolk,Holbrook,11741,6312898400,6312898484,15054,"GWC - Holbrook, Inc.",700-F-925,109,,109,109,25,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"320 Patchogue-Holbrook Road
Holbrook, NY 11741
(40.785293, -73.042365)"
New Windsor Country Inn,450 Temple Hill Road P.O. Box 4328,Orange,New Windsor,12553,8455658110,8455657949,14918,William R. Lockwood  William A. Lockwood Scott W. Lockwood Paul M. Lockwood,540-F-026,86,,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"450 Temple Hill Road P.O. Box 4328
New Windsor, NY 12553
(41.478449, -74.06346)"
Brompton Heights,275 Brompton Road,Erie,Williamsville,14221,7166345734,7166341416,14685,"Brompton Heights, Inc.",240-F-133,200,,200,200,20,Adult Home,Business Corporation,Western Regional Office - Buffalo,"275 Brompton Road
Williamsville, NY 14221
(42.972941, -78.708288)"
Culinarians' Home Foundation,71 Old Tschirky Road,Ulster,New Paltz,12561,8452557010,8452552012,15092,Culinarians' Home Foundation,740-E-002,18,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"71 Old Tschirky Road
New Paltz, NY 12561
(41.804379, -74.064048)"
The Springvale Inn,62 Springvale Rd.,Westchester,Croton-on-Hudson,10520,9147394404,9149410115,15136,"Living Independently For The Elderly, Inc.",800-S-129,125,,125,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"62 Springvale Rd.
Croton-on-Hudson, NY 10520
(41.232978, -73.916281)"
Walden Place,839 Bennie Rd.,Cortland,Cortland,13045,6077568101,6077562357,14667,"SL Walden, LLC",210-F-030,86,,86,86,20,Adult Home,LLC,Central New York Regional Office,"839 Bennie Rd.
Cortland, NY 13045
(42.566614, -76.218975)"
Underwood Manor,"4460 Union Hill Road, R.D. #1",Cattaraugus,Hinsdale,14743,7165572322,7165572323,14637,"Johnson, Ronald",040-F-024,32,32,,,,Adult Home,Individual,Western Regional Office - Buffalo,"4460 Union Hill Road, R.D. #1
Hinsdale, NY 14743
(42.187199, -78.353355)"
The Northfield,4560 Nine Mile Point Road,Monroe,Fairport,14450,5853771810,5852323062,14797,"Family Service Of Rochester, Inc.",370-S-847,79,,,,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,
Elderwood Assisted Living at Hamburg,76 Buffalo Street,Erie,Hamburg,14075,7166497676,7166485607,14710,"76 Buffalo Street Operating Company, Llc",240-S-117,103,30,103,10,,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"76 Buffalo Street
Hamburg, NY 14075
(42.718299, -78.829267)"
East Road Adult Home,7731 East Road,Lewis,Lowville,13367,3153767072,8552774713,14760,Homes for Humanity Holdings I LLC,340-F-019,20,,,,,Adult Home,LLC,Central New York Regional Office,"7731 East Road
Lowville, NY 13367
(43.843794, -75.512894)"
Bickford Home,56 Main Street,Wayne,Macedon,14502,3159865552,3159862968,15107,Peter Schumacher Shirley A. Schumacher,770-F-035,24,,,,,Adult Home,Individual,Western Regional Office - Buffalo,
Promenade at Tuxedo Place,40 Hospital Road,Orange,Tuxedo,10987,8457356846,8457356855,14920,Promenade Tuxedo LLC,540-F-030,89,58,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"40 Hospital Road
Tuxedo, NY 10987
(41.190363, -74.186115)"
The Courtyards LLC,5285 South Park Avenue,Erie,Hamburg,14075,7166499111,7166493553,14690,The Courtyards LLC,240-F-872,133,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"5285 South Park Avenue
Hamburg, NY 14075
(42.75344, -78.824661)"
RiverSpring Assisted Living,5901 Palisades Avenue,Bronx,Bronx,10471,7185811780,7186018702,14614,The Hebrew Home for the Aged at Riverdale,020-E-136,35,35,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"5901 Palisades Avenue
Bronx, NY 10471
(40.906763, -73.910634)"
"Madison York Assisted Living Community, LLC",112-14 Corona Avenue,Queens,Flushing,11368,7186994100,7188998126,14952,"Madison York Assisted Living Community, LLC",590-F-320,226,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"112-14 Corona Avenue
Flushing, NY 11368
(40.740102, -73.848324)"
Pineview Commons H.F.A.,201 South Melcher Street,Fulton,Johnstown,12095,5187625488,5187625583,14725,"Pineview Commons, LLC",280-F-034,94,52,,,,Adult Home,LLC,Capital District Regional Office,"201 South Melcher Street
Johnstown, NY 12095
(43.000988, -74.375382)"
New Gloria's Manor Home for Adults,140 Beach 119th Street,Queens,Rockaway Park,11694,7189455700,7189456086,14946,Gloria's Manor LLC,590-F-307,172,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"140 Beach 119th Street
Rockaway Park, NY 11694
(40.577807, -73.839101)"
Canterbury Woods Gates Circle,1 Gates Circle,Erie,Buffalo,14209,7169295150,7169295108,14715,"Episcopal Church Home & Affiliates Life Care Community, Inc.",240-S-127,5,,5,5,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"1 Gates Circle
Buffalo, NY 14209
(42.920226, -78.867303)"
Home Sweet Home of Athens,71 Second Street,Greene,Athens,12015,5189451673,5189452082,14731,"The W Group at Hudson, LLC",300-F-034,24,24,,,,Adult Home,LLC,Capital District Regional Office,"71 Second Street
Athens, NY 12015
(42.262568, -73.813889)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,5162333100,5162333300,14817,"Engel Burman Senior Housing at North Hills, Inc.",400-F-310,60,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"99 South Service Road
North Hills, NY 11040
(40.771138, -73.686626)"
"Millview of Latham, LLC",514 Old Loudon Road,Albany,Cohoes,12047,5187857788,5187852745,14600,"Millview of Latham, LLC",000-F-294,55,,55,,,Adult Home,LLC,Capital District Regional Office,"514 Old Loudon Road
Cohoes, NY 12047
(42.787868, -73.73979)"
Wheatfield Commons,3920 Forest Parkway,Niagara,North Tonawanda,14120,7164757600,7162645624,14865,"DePaul Adult Care Communities, Inc.",500-E-014,114,,114,,34,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"3920 Forest Parkway
North Tonawanda, NY 14120
(43.062389, -78.829022)"
Adirondack Manor Home for Adults-Camden,128 Main Street,Oneida,Camden,13316,3152451520,3152454764,14878,James E. Kane Sr. James E. Kane Jr.,510-F-028,40,,,,,Adult Home,Individual,Central New York Regional Office,"128 Main Street
Camden, NY 13316
(43.338978, -75.748586)"
"Bristol Village, Inc.",8455 Clarence Center Road,Erie,Clarence Center,14032,7163199500,7163199501,14705,"Bristol Village, Inc.",240-S-107,142,,142,30,42,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"8455 Clarence Center Road
Clarence Center, NY 14032
(43.013406, -78.679374)"
Atria Park of Great Neck,51 Great Neck Road,Nassau,Great Neck,11021,5168294100,5168294989,14845,"ATR New York LH, Inc.",400-S-326,162,,162,90,49,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - Long Island,"51 Great Neck Road
Great Neck, NY 11021
(40.785795, -73.728212)"
Kalet's Adult Home,504 Delaware Street,Onondaga,Syracuse,13204,3154797514,3154791058,14895,"Kalet, Diane",520-F-161,45,,,,,Adult Home,Individual,Central New York Regional Office,"504 Delaware Street
Syracuse, NY 13204
(43.037518, -76.169633)"
Atria Guilderland,300 Mill Rose Court,Albany,Slingerlands,12159,5182180506,5182180164,14602,"ATR New York LH, Inc.",000-F-308,120,,120,26,21,Adult Home,Business Corporation,Capital District Regional Office,"300 Mill Rose Court
Slingerlands, NY 12159
(42.685142, -73.904556)"
Crestview Manor ALP,150 Old Saw Mill River Road,Westchester,Hawthorne,10532,9147691762,9147692536,15120,Azzy Reckess Paula Reckess,800-F-129,76,58,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"150 Old Saw Mill River Road
Hawthorne, NY 10532
(41.097907, -73.808034)"
The Sentinel of Mohegan Lake,3441 Lexington Avenue,Westchester,Mohegan Lake,10547,9146001430,9146001435,15212,"The Sentinel Of Mohegan Lake, Llc",800-F-013,188,188,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
The Bristal at Lynbrook,8 Freer Street,Nassau,Lynbrook,11563,5165932424,5165995594,14830,"Lynbrook Senior Care, LLC",400-F-335,200,49,200,44,33,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"8 Freer Street
Lynbrook, NY 11563
(40.656359, -73.683683)"
Orchard Estate of Woodbury,900 Woodbury Road,Nassau,Woodbury,11797,5164078096,5162619024,14832,"BSL Woodbury Operations, Inc.",400-F-339,105,,105,105,32,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"900 Woodbury Road
Woodbury, NY 11797
(40.797807, -73.486478)"
Ingersoll Place,3359 Consaul Road,Schenectady,Schenectady,12304,5183704419,5183939410,15006,"Ingersoll Adult Home, Inc.",650-E-007,78,,78,8,17,Adult Home,Not for Profit Corporation,Capital District Regional Office,"3359 Consaul Road
Schenectady, NY 12304
(42.779945, -73.887993)"
The Pines at Heartwood,2405 Fifteenth Street,Rensselaer,Troy,12180,5182669654,5182660346,14965,"Troy Crossings, Llc",600-F-250,86,86,,,,Adult Home,LLC,Capital District Regional Office,"2405 Fifteenth Street
Troy, NY 12180
(42.739964, -73.674617)"
Atria Briarcliff Manor,1025 Pleasantville Road,Westchester,Briarcliff Manor,10510,9149234400,9149443055,15132,"ATR New York LH, Inc.",800-F-996,200,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"1025 Pleasantville Road
Briarcliff Manor, NY 10510
(41.146464, -73.827179)"
Home of the Good Shepherd at Highpointe,26 Rock Rose Way,Saratoga,Malta,12020,5185812800,5185812888,14997,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-036,86,,86,41,16,Adult Home,Not for Profit Corporation,Capital District Regional Office,"26 Rock Rose Way
Malta, NY 12020
(42.983189, -73.79095)"
All American Assisted Living at Coram,463 Middle Country Road,Suffolk,Coram,11727,6314483768,6313203520,15163,"GK Coram Operating, LLC",700-S-317,112,,112,84,24,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"463 Middle Country Road
Coram, NY 11727
(40.868801, -73.008903)"
Massry Residence at Daughters of Sarah,182 Washington Ave. Extension,Albany,Albany,12203,5186890453,5186890454,14607,"Daughters of Sarah Housing Company, Inc.",000-S-006,70,,70,25,,Enriched Housing Program,Not for Profit Corporation,Capital District Regional Office,"182 Washington Ave. Extension
Albany, NY 12203
(42.700455, -73.851942)"
Cumberland Gardens NY Foundation EHP #6,425 Cumberland Street,Kings,Brooklyn,11201,7186238181,7186232809,14753,"New York Foundation for Senior Citizens, Inc.",331-S-003,47,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
Brightview Lake Tappan,31 Hunt Road,Rockland,Orangeburg,10962,8458672333,8454588271,14992,"BV Lake Tappan Operator, LLC",620-F-097,85,,85,85,28,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"31 Hunt Road
Orangeburg, NY 10962
(41.042771, -73.985744)"
The Clark Manor House,318 Fort Hill Avenue,Ontario,Canandaigua,14424,5853940965,5853943575,14910,The Clark Manor House,530-E-002,17,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"318 Fort Hill Avenue
Canandaigua, NY 14424
(42.899727, -77.273498)"
Garden House,2720 North Forest Road,Erie,Getzville,14068,7166393311,7166393309,14712,"Menorah Campus Adult Home, Inc.",240-S-121,48,,48,33,24,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,
Green Briar Adult Home,26 Old Route 82,Dutchess,Millbrook,12545,8456779997,8456776278,14674,"Green Briar Adult Home, LLC",230-F-072,53,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"26 Old Route 82
Millbrook, NY 12545
(41.772203, -73.700175)"
The Bristal at East Northport,760 Larkfield Road,Suffolk,East Northport,11731,6318580100,6315806421,15075,"Engel Burman Sr. Housing at East Northport, LLC",700-S-303,166,,166,17,32,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"760 Larkfield Road
East Northport, NY 11731
(40.837566, -73.313365)"
Elm York Home for Adults,100-30 Ditmars Boulevard,Queens,East Elmhurst,11369,7184467900,7184467938,14951,Elm York LLC,590-F-319,262,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"100-30 Ditmars Boulevard
East Elmhurst, NY 11369
(40.769673, -73.869857)"
The Bixby Home,8342 North Main Street,Seneca,Interlaken,14847,6075324488,6075324487,15015,"Deborah Bixby, Richard Bixby",680-F-010,24,,,,,Adult Home,Individual,Western Regional Office - Buffalo,"8342 North Main Street
Interlaken, NY 14847
(42.620023, -76.72495)"
The Bristal at Armonk,90 Business Park Drive,Westchester,Armonk,10504,9142692375,9142195873,15144,Armonk Senior Care LLC,800-S-151,171,,171,55,40,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,"90 Business Park Drive
Armonk, NY 10504
(41.12147, -73.708107)"
Wavecrest Home for Adults,242 Beach 20th Street,Queens,Far Rockaway,11691,7184715500,7184710734,14945,"Wavecrest Hfa, Inc.",590-F-301,120,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"242 Beach 20th Street
Far Rockaway, NY 11691
(40.596654, -73.754204)"
Bida Adult Home,4 Washington Park Rd,Chenango,Oxford,13830,6078436769,6078436874,14659,William J. Lyons,080-F-010,28,,,,,Adult Home,Individual,Central New York Regional Office,"4 Washington Park Rd
Oxford, NY 13830
(42.439436, -75.592594)"
Woodbrook,1250 Maple Avenue,Chemung,Elmira,14904,6077347741,6077345636,14657,"Woodbrook Assisted Living, Inc.",070-E-011,80,,80,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"1250 Maple Avenue
Elmira, NY 14904
(42.067973, -76.786311)"
Jeff Senior Living,4804 Route 52- East Main Street,Sullivan,Jeffersonville,12748,8454824375,8456275405,15083,"The W Group at Jeffersonville, LLC",710-F-066,11,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
The Vincent Bove Center at Jefferson Ferry,One Jefferson Ferry Drive,Suffolk,South Setauket,11720,6316502600,6316502620,15072,"Active Retirement Community, Inc.",700-S-291,87,,87,87,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,
North Brook Heights Home for Adults,170 Murray Street Extension,Cayuga,Auburn,13021,3152532755,3152529970,14644,"North Brook Heights Home For Adults, Inc.",050-F-022,178,92,,,,Adult Home,Business Corporation,Central New York Regional Office,"170 Murray Street Extension
Auburn, NY 13021
(42.950298, -76.555111)"
The Inn at Millbrook,560 Flint Road,Dutchess,Millbrook,12545,8456778550,8456778630,14672,"The Fountains Operating Company (NY), Inc.",230-F-066,40,,40,40,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"560 Flint Road
Millbrook, NY 12545
(41.73883, -73.664197)"
The Bristal at North Woodmere,477 Hungry Harbor Road,Nassau,North Woodmere,11581,5163362600,5167925402,14837,Hungry Harbor Care LLC,400-S-304,155,,,,,Enriched Housing Program,LLC,Metropolitan Area Regional Office - Long Island,"477 Hungry Harbor Road
North Woodmere, NY 11581
(40.644421, -73.723608)"
Sunrise at East 56th,139 East 56th Street,New York,New York,10022,2124791200,2123715032,15246,GWC-East 56th Street Inc.,420-S-399,182,,182,182,112,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - New York City,"139 East 56th Street
New York, NY 10022
(40.760137, -73.969373)"
