"county","priority_area_order","priority_area","focus_area_order","focus_area","partner","partner_information","partner_main_address","phone_number","email"
"Warren","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Dutchess","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Schenectady","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Lewis","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Franklin","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Madison","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","Harm Reduction/Syringe Exchange","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Yates","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Broome","1","Promote a Healthy and Safe Environment","3","Built Environment","Broome County","Childhood Lead Poisoning Primary Prevention Program","225 Front Street, Binghamton, NY 13905","(607) 778-2895","ccoddington@co.broome.ny.us"
"Broome","1","Promote a Healthy and Safe Environment","3","Built Environment","Broome County","Lead Poisoning Prevention Program","225 Front Street, Binghamton, NY 13905","(607) 778-2895","ccoddington@co.broome.ny.us"
"Rockland","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","STD Testing and Awareness","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"Broome","1","Promote a Healthy and Safe Environment","4","Injuries, Violence And Occupational Health","Broome County","Fall Prevention for Older Adults","225 Front Street Binghamton, NY 13905","(607) 778-3930","cedwards@co.broome.ny.us"
"Broome","1","Promote a Healthy and Safe Environment","4","Injuries, Violence And Occupational Health","Crime Victims Assistance Center Inc.","Rape Crisis & Sexual Violence Prevention","377 Robinson Street, Binghamton, NY 13904","(607) 723-3200","meghan@cvac.us"
"Erie","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Livingston","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Expanded Syringe Access Program","259 Monroe Ave Rochester , NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"Madison","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Erie","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","HIV/STI/Hep C Prev & Related Svcs for Gay Men/MSM","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Schenectady","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Monroe","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Coalition of Rochester, Inc.","Community-Based Breast Cancer Support and Wellness Services","1048 University Ave.  Rochester, NY 14607","585-473-8177","holly@bccr.org"
"Delaware","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Catholic Charities AIDS Services","Expanded Syringe Access Program","100 Slingerland St Albany , NY 12202","(518) 449-3581","stephaniel@ccalbany.org"
"Chemung","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elers, Inc.","Health & Human Svcs for LGBT Individuals, Families and Communities","305 7th Ave 15th Fl New York, NY 10001","(212) 741-2247","lfaria@sageusa.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Osborne Association, Inc.","Criminal Justice Positive Pathways","809 Westchester Ave Bronx , NY 10455","(718)707-2600","egaynes@osborneny.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hispanic AIDS Forum, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","1767 Park Ave 5th Floor New York, NY  10035","(212) 563-4500","hsanchezsoto@hafnyc.org"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley LGBTQ Community Center","Health and Human Services for LGBT Individuals, Families and Communities","300 Wall St PO Box 3994 Kingston, NY  12402","(845) 331-5300","J.rindler@lgbtqcenter.org"
"Bronx","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","New York Presbyterian Hospital","Comprehensive Care Centers for Eating Disorders","1051 Riverside Dr. Unit 98  New York, NY 10032","646-774-8085","kas9171@nyp.org"
"Cayuga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Greene","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Catholic Charities AIDS Services","Harm Reduction/Syringe Exchange","100 Slingerland St Albany , NY 12202","(518) 449-3581","stephaniel@ccalbany.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Positive Health Project, Inc.","Expanded Syringe Access Program","57 Willoughby St 2nd Fl Brooklyn , NY 11201","(347) 473-7404","smith@housingworks.org"
"Yates","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Richmond","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Community Health Action of Staten Island, Inc.","Harm Reduction/Syringe Exchange","56 Bay St 4th Fl Staten Island , NY 10301","(718) 808-1402","diane.arneth@chasiny.org"
"Otsego","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Catholic Charities AIDS Services","Harm Reduction/Syringe Exchange","100 Slingerland St Albany , NY 12202","(518) 449-3581","stephaniel@ccalbany.org"
"Livingston","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Chemung","1","Promote a Healthy and Safe Environment","3","Built Environment","Chemung County","C026499 / Lead Poisoning Prevention Program","103 Washington Street, PO Box 588, Elmira, NY 14902","(607) 737-2019","tkump@co.chemung.ny.us"
"Broome","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Health Research Incorporated, Roswell Park Division, Elm & Carlton Streets Buffalo, NY 14263","(716) 845-3001","Richard.Hershberger@roswellPark.org"
"Bronx","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Jefferson","4","Promote Healthy Women, Infants, and Children","2","Child Health","Jefferson County Department of Health","Children with Special Health Care Needs Program","Public Health Facility 531 meade street, watertown, NY 13601","(315) 786-3747","faithl@co.jefferson.ny.us"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Heights Hill Mental Health Services South Beach Psychiatric Center CAB, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","25 Flatbush Ave 3rd Fl Brooklyn, NY 11217","(718) 852-5212","christianhuygen@rainbowheights.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","BOOM!Health","HIV/STD/HCV Prevention & Related Services for Young Gay Men/MSM with a focus on COC","540 East Fordham Rd Bronx , NY 10458","(718) 295-5605","jdavila@basnyc.org"
"Nassau","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Yates","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","HIV/STI/Hep C Prev & Related Svcs for Gay Men/MSM","259 Monroe Ave, Suite 100 Rochester, NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"Essex","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Regional Prevention and Support Programs (formerly CSPs)","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"Genesee","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","Regional Prevention and Support Programs (formerly CSPs)","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","St. Ann's Corner of Harm Reduction, Inc.","Harm Reduction/Syringe Exchange","886 Westchester Ave PO Box 1760 Bronx NY 10459","(718) 585-5544","jrivera@sachr.org"
"Broome","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Crouse Hospital - Regional Perinatal Center","Regional Perinatal Centers","736 Irving Ave, Syracuse, NY 13210","(315) 470-8747","barbaramiller@crouse.org"
"Montgomery","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Wyoming","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","Broome County Health Department","Early Intervention Program","225 Front St., Binghamton, New York 13905","(607) 778-2851","tcooney@co.broome.ny.us"
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","Broome County Health Department","School Based Health Centers- Dental Clinics","225 Front Street Binghamton, NY 13905","(607) 778-2862","mbrennan@co.broome.ny.us"
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","Broome County Health Department","Special Supplemental Food Program for Women, Infants, and Children (WIC)","225 Front Street, Binghamton, NY 13905","(607) 778-2886","bhuber@co.broome.ny.us"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem United Community AIDS Center, Inc.","Harm Reduction/Syringe Exchange","306 Lenox Ave 3rd Fl New York , NY 10027","(212) 803-2863","jkilmer@harlemunited.org"
"Cayuga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","Harm Reduction/Syringe Exchange","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","SUNY Research Foundation","Keeping NY Kids Alive","P.O. Box 9 Albany, NY 12201-0009","(518) 434-7065",
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","United Health Services Hospitals, Inc.","School Based Health Centers","601 Riverside Drive Johnson City, NY 13790","(607) 240-2888","kathleen_lange@uhs.org"
"Westchester","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Broome","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Mothers and Babies Perinatal Network","Personal Responsibility Education Program","457 State Street, Binghamton, NY 13901","(607) 772-0517","cfinch@mothersandbabies.org"
"Broome","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Planned Parenthood of South Central New York","Comprehensive Adolescent Pregnancy Prevention","37 Dietz Street , Oneonta, NY 13820","(607) 432-2252","debra.marcus@fpscny.org"
"Broome","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Planned Parenthood South Central NY","Family Planning Program","37 Dietz Street , Oneonta, NY 13820","(607) 432-2252","debra.marcus@fpscny.org"
"Cattaraugus","1","Promote a Healthy and Safe Environment","3","Built Environment","Cattaraugus County","Lead Poisoning Prevention Program","1 Leo Moss Drive, Suite 4010, Olean, NY 14760","(716) 373-8050","ewwohlers@cattco.org"
"Cattaraugus","1","Promote a Healthy and Safe Environment","4","Injuries, Violence And Occupational Health","Cattaraugus Community Action Inc.","Rape Crisis & Sexual Violence Prevention","25 Jefferson St, Salamanca, NY 14779","(716) 945-1041","amaitland@ccaction.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay Men's Health Crisis, Inc.","Regional Prevention and Support Programs (formerly CSPs)","446 West 33rd St 6th Fl New York , NY 10001","(212)367-1524","billb@gmhc.org"
"Orleans","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Essex","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Niagara","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Network of Western New York, Inc.","Community-Based Breast Cancer Support and Wellness Services","3297 Walden Ave.  Depew, NY 14043","716-359-1811","rob@bcnwny.org"
"Chautauqua","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Westchester","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Osborne Association, Inc.","Criminal Justice - Men","809 Westchester Ave Bronx , NY 10455","(718) 707-2600","egaynes@osborneny.org"
"Orange","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Options, Inc.","Community-Based Breast Cancer Support and Wellness Services","678 Ohayo Mountain Rd.  Glenford, NY 12433","845-339-4673","hopenemiroff@yahoo.com"
"Nassau","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Sullivan","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","New York City Gay & Lesbian Anti-Violence Project, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","116 Nassau Street, 3rd  Fl, New York, NY  10038","(212) 714-1184","Btillery@AVP.org"
"Genesee","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Kings","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Moving For Life, Inc.","Community-Based Breast Cancer Support and Wellness Services","515 Canal St.  Unit 1C  New York, NY 10013","212-222-1351","janice@movingforlife.org"
"Allegany","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Network of Western New York, Inc.","Community-Based Breast Cancer Support and Wellness Services","3297 Walden Ave.  Depew, NY 14043","716-359-1811","rob@bcnwny.org"
"Yates","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Schuyler","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Oneida","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","Harm Reduction/Syringe Exchange","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Oneida","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","STD Testing and Awareness","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Richmond","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Monroe","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Health & Human Svcs for LGBT Individuals, Families and Communities","259 Monroe Ave Rochester , NY 14607","(585) 210-4168","ademeo@trillumhealth.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Sylvia Rivera Law Project","Health & Human Svcs for LGBT Individuals, Families and Communities","147 West 24th St 5th Fl New York, NY 10011","(212) 337-8550","juana@srlp.org"
"Westchester","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Sharing Community, Inc.","Prevention Services for Women","1 Hudson St Yonkers, NY 10702","(914) 963-2626","Nadine@thesharingcommunity.org"
"Cattaraugus","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay & Lesbian Youth Services of Western NY, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","371 Delaware Ave Buffalo, NY 14202","(716) 855-0221","Kinsey6XX@aol.com"
"Schoharie","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Niagara","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Pride Center of Western New York, Inc.","HIV/STD/HCV Prevention & Related Services for Young Gay Men/MSM with a focus on COC","206 South Elmwood Ave 3rd Floor Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Cattaraugus","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Health Research Incorporated, Roswell Park Division, Elm & Carlton Streets Buffalo, NY 14263","(716) 845-3001","Richard.Hershberger@roswellPark.org"
"Saratoga","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Chautauqua","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Audre Lorde Project, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","147 W 24th St 3rd Floor, New York, NY 10011","(212) 463-0342","cpage@alp.org "
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Cattaraugus County Health Department","Special Supplemental Food Program for Women, Infants, and Children (WIC)","Suite 4010 1 Leo Moss Drive, Olean, NY 14760","(716) 701-3382","kdwatkins@cattco.org"
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Genesee Valley BOCES","Migrant and Seasonal Farmworker Health Program","3 Mount Morris-Leicester Road Leicester, NY 14481","(585) 658-7960","rlynch@gvboces.org"
"Chenango","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Women and Childrens Hospital of Buffalo - Regional Perinatal Center","Regional Perinatal Centers","219 Bryant Street, Buffalo, NY 14222","(716) 878-7216","Lhubbard@kaleidahealth.org"
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","2","Child Health","Cattaraugus County Health Department","Early Intervention Program","303 Court Street , Little Valley, NY 14755","(716) 373-8050","kdwatkins@cattco.org"
"Ontario","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Dutchess","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Harm Reduction/Syringe Exchange","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Voices of Community Activists & Leaders","Expanded Syringe Access Program","80-A 4th Ave Brooklyn , NY 11217","(917)200-1446","alyssa@vocal-ny.org"
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","2","Child Health","SUNY Research Foundation","Keeping NY Kids Alive","P.O. Box 9 Albany, NY 12201-0009","(518) 434-7065",
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","2","Child Health","The Resource Center","School Based Health Centers","200 Dunham Avenue Jamestown NY 14701","(716) 661-1406","sriczker@hotmail.com"
