County,Type,Name,Phone,Website,Location,New York Zip Codes,Counties,NYS Senate Districts,Local Waterfront Revitalization Program (LWRP) Communities,School Districts 2016.shp
SULLIVAN,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.705166, -74.711705)",1024,2180,32,,283
CAYUGA,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.940095, -76.560755)",343,618,43,,660
YATES,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.723641, -78.204473)",415,2186,59,,622
NIAGARA,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.134634, -78.856419)",1107,2131,62,,835
ALLEGANY,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.226801, -78.020567)",1759,2031,57,,434
ORANGE,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.422459, -74.241929)",1496,2134,32,,76
OTSEGO,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.564852, -75.0603334)",432,2136,44,,529
KINGS,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.65642, -73.950691)",809,2090,31,37,27
WARREN,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.403024, -73.716044)",128,2183,35,,522
MONROE,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(43.161748, -77.620143)",1666,2093,56,50,844
OSWEGO,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.39123, -76.31133)",623,2135,41,,533
DUTCHESS,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.686216, -73.840468)",1022,2040,30,,63
CATTAURAGUS,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.224267, -78.606673)",1719,2034,57,,427
SCHUYLER,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.38593, -76.872032)",,2143,58,,494
WASHINGTON,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.289513, -73.454761)",787,2184,35,,857
HAMILTON,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.618468, -74.395268)",1409,622,42,,888
GENESEE,Tissue Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.000121, -78.172679)",489,2086,61,,752
SUFFOLK,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.820237, -73.119032)",1421,2179,3,,137
MADISON,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.986917, -75.720031)",351,2092,46,,723
ONEIDA,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.149482, -75.361773)",1281,625,40,,794
ONTARIO,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.894571, -77.252045)",178,2133,54,,691
LEWIS,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(43.785537, -75.446296)",571,623,40,,694
NASSAU,Eye Bank,Lions Eye Bank Long Island,516-256-6990,http://www.lebli.org,"(40.715749, -73.601185)",1455,2094,6,,93
