"year","approving_state_agency","training_agency_site_name","operational_status","certificate_type","methodology","language","number_of_classes","enrolled_student_count","approved_student_count","certified_student_count","withdrawn_student_count","street_address","city","state","zip_code","county_name","county_code","region","geocoded_column"
"2018","Department of Health","All Metro Health Care - Mt. Vernon","OPEN","Personal Care Aide","Basic Training","English","14","106","74","66","32","4 West Prospect Avenue","Mount Vernon","NY","10550","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                          ","4 West Prospect Avenue Mount
Vernon, NY 10550
(40.912693, -73.837385)"
"2019","Department of Health","ACCENT HEALTH CARE SERVICE, INC TROY","OPEN","Home Health Aide","Core Training","English","3","17","14","14","3","505 4TH AVE,LANSINGBURGH BOYS & GIRLS CLUB","TROY","NY","12182","Rensselaer","83","Capital District                                                                                                                                                                                                                                                                                                 ","505 4TH AVE
LANSINGBURGH BOYS &amp; GIRLS CLUB TROY, NY 12182
(42.771851, -73.67591)"
"2016","Department of Health","Unlimited Care, Inc. - Newburgh ","OPEN","Personal Care Aide","Basic Training","English","5","24","21","21","3","356 Meadow Avenue","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                            ","356 Meadow Avenue
Newburgh, NY 12550
(41.522088, -74.069131)"
"2014","Department of Health","Stafkings Healthcare Systems - OCPHD Site","OPEN","Personal Care Aide","Basic Training","English","2","13","13","13","0","70 Bunner Street","Oswego","NY","13126","Oswego","75","Central New York                                                                                                                                                                                                                                                                                                                         ","70 Bunner Street
Oswego, NY 13126
(43.450411, -76.490951)"
"2009","Department of Health","PREMIER HOME HEALTH CARE SERVICES BRONX","OPEN","Home Health Aide","Core Training","English","1","19","16","16","0","1800 WHITE PLAINS RD.","BRONX","NY","10462","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          ","1800 WHITE PLAINS RD
BRONX, NY 10462
(40.845407, -73.866186)"
"2015","Department of Health","Y EVERGREEN CARE","OPEN","Home Health Aide","Core Training","English","6","75","92","92","3","42-07 PARSONS BLVD","FLUSHING","NY","11355","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                               ","42 07 PARSONS BLVD
FLUSHING, NY 11355
(40.793662, -73.82544)"
"2013","Department of Health","Park Terrace at Radisson Assisted Living Program","OPEN","Personal Care Aide","Basic Training","English","1","3","3","3","0","2981 Town Center Rd","Baldwinsville","NY","13027","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                         ","2981 Town Center Rd
Baldwinsville, NY 13027
(43.178846, -76.299839)"
"2012","Department of Health","PREMIER HOME HEALTH CARE SERVICES INC BRONX","OPEN","Home Health Aide","Core Training","English","4","69","50","50","24","2510 WESTCHESTER AVE, SUITE 200","BRONX","NY","10462","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                         ","2510 WESTCHESTER AVE
BRONX, NY 10462
(40.839404, -73.843509)"
"2020","Department of Health","Attentive Care Inc","OPEN","Home Health Aide","Nurse Aide Transition","English","5","11","11","11","0","192 Deer Park Ave","Babylon","NY","11702","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                       ","192 Deer Park Ave
Babylon, NY 11702
(40.699273, -73.322624)"
"2020","Department of Health","Venture Forthe, Inc.","OPEN","Personal Care Aide","Basic Training","English","26","238","202","208","1","687 Lee Road, Suite C-185","Rochester ","NY","14606","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                     ","687 Lee Road
Rochester, NY 14606
(43.178313, -77.680671)"
"2014","Department of Health","INTERIM HEALTH CARE OF THE CAPITAL REGION","OPEN","Home Health Aide","Core Training","English","2","18","16","16","2","1735 CENTRAL AVE","ALBANY","NY","12205","Albany","1","Capital District                                                                                                                                                                                                                                                                                                                             ","1735 CENTRAL AVE
ALBANY, NY 12205
(42.725708, -73.842112)"
"2012","Department of Health","UTOPIA HOME CARE INC PATCHOGUE","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","2","17","15","15","2","116 EAST MAIN ST-SUITE D","PATCHOGUE","NY","11772","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                             ","116 EAST MAIN ST
SUITE D PATCHOGUE, NY 11772
(40.765739, -73.012517)"
"2015","Department of Health","Interim Health Care of the Capital Region - Albany","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","17","20","20","20","1","1735 Central Avenue","Albany","NY","12205","Albany","1","Capital District                                                                                                                                                                                                                                                                                       ","1735 Central Avenue
Albany, NY 12205
(42.725708, -73.842112)"
"2015","Department of Health","Chautauqua Opportunities, Inc. - Dunkirk","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","4","4","4","0","17 West Courtney Street","Dunkirk","NY","14048","Chautauqua","13","Western  - Buffalo                                                                                                                                                                                                                                                                                       ","17 West Courtney Street
Dunkirk, NY 14048
(42.48054, -79.321484)"
"2017","Department of Health","People Care Inc.","OPEN","Home Health Aide","Core Training","English","2","26","14","14","14","413 East 120 Street  room 410","New York","NY","10035","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                 ","413 East 120 Street
New York, NY 10035
(40.798155, -73.932553)"
"2018","Department of Health","BETTER HOME HEALTH CARE AGENCY INC - ROCKVILLE CTR","OPEN","Home Health Aide","Core Training","English","11","101","110","111","0","310 MERRICK RD","ROCKVILLE CENTRE","NY","11570","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                       ","310 MERRICK RD ROCKVILLE CENTRE
NY,  11570
(40.67359, -73.556236)"
"2021","Department of Health","PERSONAL TOUCH HOME CARE OF LONG ISLAND","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","300 WHEELER ROAD   SUITE 301","HAUPPAUGE","NY","11788","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                        ","300 WHEELER ROAD
HAUPPAUGE, NY 11788
(40.805866, -73.215273)"
"2016","Department of Health","Allen Health Care Services Bronx","OPEN","Home Health Aide","Core Training","English","7","120","95","95","35","2027 Williamsbridge Road","Bronx","NY","10461","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            ","2027 Williamsbridge Road
Bronx, NY 10461
(40.85503, -73.855055)"
"2019","Department of Health","Caregivers","OPEN","Personal Care Aide","Basic Training","English","2","8","4","4","4","19 Hodskin Street","Canton","NY","13617","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                                                                  ","19 Hodskin Street
Canton, NY 13617
(44.596689, -75.171214)"
"2016","Department of Health","WillCare","OPEN","Home Health Aide","Core Training","English","1","6","3","3","3","2910 William Street","Cheektowaga","NY","14227","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                        ","2910 William Street
Cheektowaga, NY 14227
(42.883882, -78.76279)"
"2013","Department of Health","ALLEN HEALTH CARE SERVICES -Brooklyn","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","2","4","2","0","2","145 EAST 98 STREET,2ND FL","BROOKLYN","NY","11212","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                         ","145 EAST 98 STREET
BROOKLYN, NY 11212
(40.663715, -73.9215)"
"2017","Department of Health","SCHOFIELD HOME HEALTH CARE SERVICES INC","OPEN","Home Health Aide","Core Training","English","1","8","3","3","1","2757 ELMWOOD AVENUE","KENMORE","NY","14217","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                             ","2757 ELMWOOD AVENUE
KENMORE, NY 14217
(42.972445, -78.878717)"
"2018","Department of Health","Cooperative Home Care Associates, Inc.","OPEN","Home Health Aide","Competency Evaluation","English","6","56","53","53","3","400 East Fordham Road, 13th Floor","Bronx","NY","10458","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                               ","400 East Fordham Road
Bronx, NY 10458
(40.861461, -73.891067)"
"2015","Department of Health","MARGARET ULTRA HOME CARE INC","OPEN","Home Health Aide","Core Training","English","2","6","0","0","0","34 BEACH STREET","STATEN ISLAND","NY","10304","Richmond","85","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                  ","34 BEACH STREET STATEN ISLAND
NY,  10304
(40.572495, -74.121853)"
"2016","Department of Health","ISABELLA VISITING CARE, INC","CLOSED","Home Health Aide","Nurse Aide Transition","English","3","3","3","3","0","5073 BROADWAY, LOWER LEVEL","NEW YORK","NY","10034","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                               ","5073 BROADWAY
LOWER LEVEL NEW YORK, NY 10034
(40.870587, -73.914929)"
"2010","Department of Health","UNLIMITED CARE INC PEEKSKILL","OPEN","Home Health Aide","Core Training","English","2","24","24","24","0","ONE PARK PLACE , SUITE 120,Suite 120","PEEKSKILL","NY","10566","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                         ",
"2012","Department of Health","Gold & Silver Aging Home Care, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","12","38","23","23","12","316 Fifth Avenue,Room 504","New York","NY","10001","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                    ","316 Fifth Avenue
New York, NY 10001
(40.746985, -73.985643)"
"2010","Department of Health","MERCY HOME CARE OF WESTERN NY CHEEKTOWAGA","OPEN","Home Health Aide","Competency Evaluation","English","15","25","23","21","0","14 APPLETREE BUSINESS PARK","CHEEKTOWAGA","NY","14227","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                    ","14 APPLETREE BUSINESS PARK
CHEEKTOWAGA, NY 14227
(42.89052, -78.755149)"
"2009","Department of Health","CAREGIVERS CANANDAIGUA","OPEN","Home Health Aide","Competency Evaluation","English","2","2","2","2","0","5297 PARKSIDE DRIVE BUILDING 300","CANANDAIGUA","NY","14424","Ontario","69","Western  - Rochester                                                                                                                                                                                                                                                                                                                ","5297 PARKSIDE DRIVE
CANANDAIGUA, NY 14424
(42.910151, -77.297231)"
"2017","Department of Health","A&T Healthcare, LLC","OPEN","Personal Care Aide","Basic Training","English","2","17","16","16","0","79 North Front Street","Kingston","NY","12401","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                    ","79 North Front Street
Kingston, NY 12401
(41.935054, -74.022255)"
"2015","Department of Health","BESTCARE, INC HEMPSTEAD","OPEN","Home Health Aide","Nurse Aide Transition","English","1","1","1","1","0","50 CLINTON STREET SUITE203","HEMPSTEAD","NY","11550","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                          ","50 CLINTON STREET
HEMPSTEAD, NY 11550
(40.707933, -73.619023)"
"2019","Department of Health","Personal Touch Home Care, Inc.","OPEN","Personal Care Aide","Basic Training","English","1","10","9","9","1","300 Wheeler Road,Suite 301","Hauppauge","NY","11788","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                   ","300 Wheeler Road
Hauppauge, NY 11788
(40.805866, -73.215273)"
"2021","Department of Health","Health Force PCA Training Program","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","5","8","8","8","0","3409 Genesee Street","Cheektowaga","NY","14225","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                  ","3409 Genesee Street
Cheektowaga, NY 14225
(42.926258, -78.758272)"
"2016","Department of Health","JZanus Home Care","CLOSED","Home Health Aide","Nurse Aide Transition","English","3","3","3","3","0","233 Union Street ste LL1","Holbrook","NY","11741","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                ","233 Union Street
Holbrook, NY 11741
(40.81186, -73.084476)"
"2016","Department of Health","Wilcare","OPEN","Home Health Aide","Nurse Aide Transition","English","5","10","10","10","0","2211 West State Street Suite 123","Olean","NY","14760","Cattaraugus","9","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                 ","2211 West State Street
Olean, NY 14760
(42.077213, -78.455687)"
"2016","Department of Health","Prestige Care Inc.","OPEN","Home Health Aide","Core Training","Chinese","8","114","104","103","0","377 Broadway, 2nd Floor","New York","NY","10013","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                 ","377 Broadway
New York, NY 10013
(40.717908, -74.003143)"
"2013","Department of Health","UTOPIA HOME CARE INC WESTBURY","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","6","6","6","0","95 POST AVENUE","WESTBURY","NY","11590","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                              ","95 POST AVENUE
WESTBURY, NY 11590
(40.751526, -73.587752)"
"2019","Department of Health","Best Care, Inc. - Hempstead","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","1","4","50 Clinton Street,Suite 203","Hempstead","NY","11550","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                  ","50 Clinton Street
Hempstead, NY 11550
(40.707933, -73.619023)"
"2009","Department of Health","BARKSDALE HEALTHCARE SERVICES INC","OPEN","Home Health Aide","Core Training","English","1","9","7","1","2","327 5TH AVENUE","PELHAM","NY","10803","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                  ","327 5TH AVENUE
PELHAM, NY 10803
(40.916098, -73.807285)"
"2014","Department of Health","HOME HEALTH CARE PARTNERS CORP","CLOSED","Home Health Aide","Core Training","English","3","7","6","6","1","1830 RIVERFRONT CENTER","AMSTERDAM","NY","12010","Montgomery","57","Capital District                                                                                                                                                                                                                                                                                                                           ","1830 RIVERFRONT CENTER
AMSTERDAM, NY 12010"
"2010","Department of Health","US Care Systems, Inc. - Oneonta","OPEN","Personal Care Aide","Basic Training","English","1","3","3","3","0","396 1/2 Chestnut Street","Oneonta","NY","13820","Otsego","77","Capital District                                                                                                                                                                                                                                                                                                                            ","396 1 2 Chestnut Street
Oneonta, NY 13820
(42.454395, -75.091742)"
"2011","Department of Health","ALLEN HEALTH CARE SERVICES - BROOKLYN","OPEN","Home Health Aide","Core Training","English","8","124","78","78","44","145 EAST 98TH ST, 2ND FLOOR","BROOKLYN","NY","11212","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                              ","145 EAST 98TH ST
BROOKLYN, NY 11212
(40.663715, -73.9215)"
"2019","Department of Health","Unlimited Care, Inc.","OPEN","Home Health Aide","Nurse Aide Transition","English","1","1","1","1","0","356 Meadow Avenue","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                      ","356 Meadow Avenue
Newburgh, NY 12550
(41.522088, -74.069131)"
"2015","Department of Health","WILL CARE MIDDLETOWN","OPEN","Home Health Aide","Nurse Aide Transition","English","21","35","38","38","0","726 EAST MAIN STREET","MIDDLETOWN","NY","10940","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                               ","726 EAST MAIN STREET
MIDDLETOWN, NY 10940
(41.439983, -74.367103)"
"2019","Department of Health","Cooperative Home Care Associates, Inc.","OPEN","Home Health Aide","Competency Evaluation","English","6","68","52","52","0","400 East Fordham Road, 13th Floor","Bronx","NY","10458","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                               ","400 East Fordham Road
Bronx, NY 10458
(40.861461, -73.891067)"
"2012","Department of Health","Bermac Home Aides, Inc.","CLOSED","Personal Care Aide","Basic Training","English","1","6","6","6","0","8 Trinity Court","Saugerties","NY","12477","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                     ","8 Trinity Court
Saugerties, NY 12477
(42.045211, -73.961939)"
"2016","Department of Health","ElderChoice, Inc.","OPEN","Personal Care Aide","Basic Training","English","3","29","24","24","5","344 W. Genesee Street,Suite 201","Syracuse","NY","13202","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                                          ","344 W Genesee Street
Syracuse, NY 13202
(43.052521, -76.156367)"
"2022","Department of Health","CareGivers","OPEN","Personal Care Aide","Basic Training","English","1","3","2","2","1","2509 Browncroft Blvd. Suite 210","Rochester","NY","14625","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                     ","2509 Browncroft Blvd
Rochester, NY 14625
(43.153676, -77.504888)"
"2012","Department of Health","A AND A STAFFING HEALTH CARE SERVICES","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","4","7","8","8","0","175 MAIN STREET","WHITE PLAINS","NY","10601","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                              ","175 MAIN STREET WHITE PLAINS
NY,  10601"
"2013","Department of Health","MERCY HOME CARE OF WESTERN NY KENMORE","OPEN","Home Health Aide","Core Training","English","1","7","5","5","2","2950 ELMWOOD AVE.","KENMORE","NY","14217","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                 ","2950 ELMWOOD AVE
KENMORE, NY 14217
(42.97767, -78.87868)"
"2012","Department of Health","INTERIM HEALTH CARE OF THE CAPITAL REGION GLENS FA","OPEN","Home Health Aide","Competency Evaluation","English","3","4","4","4","1","99 RIDGE STREET","GLENS FALLS","NY","12801","Warren","113","Capital District                                                                                                                                                                                                                                                                                                         ","99 RIDGE STREET GLENS FALLS
NY,  12801"
"2013","Department of Health","Caregivers - Watertown","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","2","2","2","0","Liberty Building,210 Court Street","Watertown","NY","13601","Jefferson","45","Central New York                                                                                                                                                                                                                                                                                                ","210 Court Street
Watertown, NY 13601
(43.97676, -75.912526)"
"2013","Department of Health","St. Francis Home Care Services, Inc.","OPEN","Personal Care Aide","Basic Training","English","9","81","74","74","7","241 North Road","Poughkeepsie","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                     ","241 North Road
Poughkeepsie, NY 12601
(41.717405, -73.929503)"
"2013","Department of Health","WillCare","OPEN","Home Health Aide","Nurse Aide Transition","English","7","7","5","5","1","2910 William Street","Cheektowaga","NY","14227","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                ","2910 William Street
Cheektowaga, NY 14227
(42.883882, -78.76279)"
"2009","Department of Health","ABLE HEALTH CARE SERVICES INC WHITE PLAINS","OPEN","Home Health Aide","Nurse Aide Transition","English","1","2","2","0","0","76 MAMARONECK AVE.","WHITE PLAINS","NY","10601","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                       ","76 MAMARONECK AVE WHITE PLAINS
NY,  10601"
"2016","Department of Health","Bronx","OPEN","Home Health Aide","Core Training","English","7","73","50","50","22","412-424 East 147th Street","New York","NY","10455","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                                    ","412 424 East 147th Street
New York, NY 10455
(40.814291, -73.917649)"
"2020","Department of Health","Northern Lights Home Health Care","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","1","0","91 Main Street","Canton","NY","13617","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                         ","91 Main Street
Canton, NY 13617
(44.595594, -75.169815)"
"2019","Department of Health","Loretto Geriatric Center Licensed Home Care Agency","OPEN","Home Health Aide","Competency Evaluation","English","1","2","2","2","0","177 Lawrence Road East","North Syracuse","NY","13212","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                              ","177 Lawrence Road East
North Syracuse, NY 13212
(43.115088, -76.144595)"
"2011","Department of Health","St. Francis Home Care Services, Inc.","OPEN","Personal Care Aide","Basic Training","English","10","96","83","83","10","241 North Road","Poughkeepsie","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                   ","241 North Road
Poughkeepsie, NY 12601
(41.717405, -73.929503)"
"2014","Department of Health","JEWISH HOME LIFECARE, HOME ASSISTANCE PERSONNEL, INC.","OPEN","Home Health Aide","Core Training","English","15","228","204","204","23","2545 University Avenue","Bronx","NY","10468","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                ","2545 University Avenue
Bronx, NY 10468
(40.866739, -73.902269)"
"2014","Department of Health","ABLE HEALTH CARE SERVICES INC ISLANDIA","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","14","5","5","9","1747-16 VETERANS MEMORIAL HIGHWAY","ISLANDIA","NY","11749","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                               ","1747 16 VETERANS MEMORIAL HIGHWAY
ISLANDIA, NY 11749
(40.805825, -73.180805)"
"2010","Department of Health","BESTCARE, INC YONKERS","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","3","23","22","22","2","35 EAST GRASSYSPRAIN ROAD SUITE 203","YONKERS","NY","10701","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                      ","35 EAST GRASSYSPRAIN ROAD
YONKERS, NY 10701
(40.954117, -73.851201)"
"2014","Department of Health","COMMUNITY HOME CARE REFERRAL SERVICES INC","OPEN","Home Health Aide","Core Training","English","5","36","26","26","1","3920 13TH AVENUE","BROOKLYN","NY","11218","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                         ","3920 13TH AVENUE
BROOKLYN, NY 11218
(40.640233, -73.986695)"
"2009","Department of Health","PREMIER HOME HEALTH CARE SERVICES NEW YORK","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","5","46","8","5","7","42 BROADWAY 21ST FLOOR","NEW YORK","NY","10004","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                    ","42 BROADWAY
NEW YORK, NY 10004
(40.706163, -74.013014)"
"2016","Department of Health","Franciscan Health Support, Inc.","OPEN","Home Health Aide","Core Training","English","6","64","53","53","11","7246 Janus Park Drive","Liverpool","NY","13088","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                                         ","7246 Janus Park Drive
Liverpool, NY 13088
(43.120546, -76.165424)"
"2016","Department of Health","South Shore Home Health services, inc.","OPEN","Home Health Aide","Competency Evaluation","English","9","11","12","12","1","1225 Montauk Hwy","Oakdale","NY","11769","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                  ","1225 Montauk Hwy
Oakdale, NY 11769
(40.74142, -73.129099)"
"2010","Department of Health","Barksdale Health Care Services, Inc.","OPEN","Personal Care Aide","Basic Training","English","1","4","4","4","0","327 Fifth Avenue","Pelham","NY","10803","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                        ","327 Fifth Avenue
Pelham, NY 10803
(40.916098, -73.807285)"
"2014","Department of Health","North Country Home Services - Saranac Lake","OPEN","Personal Care Aide","Basic Training","English","1","9","6","6","3","25 Church Street","Saranac Lake","NY","12983","Franklin","33","Capital District                                                                                                                                                                                                                                                                                                                   ","25 Church Street Saranac Lake
NY,  12983"
"2012","Department of Health","SCHOFIELD HOME HEALTH CARE SERVICES INC","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","2","2","2","0","2757 ELMWOOD AVENUE","KENMORE","NY","14217","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                ","2757 ELMWOOD AVENUE
KENMORE, NY 14217
(42.972445, -78.878717)"
"2011","Department of Health","Stafkings Healthcare Systems, Inc","OPEN","Personal Care Aide","Basic Training","English","1","10","10","10","0","66 Hawley Street,PO Box 1015","Binghamton","NY","13902","Broome","7","Central New York                                                                                                                                                                                                                                                                                                              ","66 Hawley Street
Binghamton, NY 13902
(42.09719, -75.910258)"
"2019","Department of Health","Better Home Health Care Agency, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","12","18","18","18","0","310 Merrick Road","Rockville Centre","NY","11570","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                           ","310 Merrick Road Rockville Centre
NY,  11570
(40.67359, -73.556236)"
"2021","Department of Health","ACD- Alternative Competency Demonstration","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","2","2","2","1","14 Holman Blvd","Hicksville","NY","11801","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                ","14 Holman Blvd
Hicksville, NY 11801
(40.766822, -73.535016)"
"2015","Department of Health","New York Health Care","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","5","12","12","12","0","320 Robinson Avenue,Suite 203","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                      ","320 Robinson Avenue
Newburgh, NY 12550
(41.513619, -74.020181)"
"2018","Department of Health","SUNNYSIDE CITYWIDE HOME CARE SERVICES INC","OPEN","Home Health Aide","Core Training","English","12","161","136","136","42","43-31 39TH ST","SUNNYSIDE","NY","11104","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                     ","43 31 39TH ST
SUNNYSIDE, NY 11104"
"2019","Department of Health","Heart to Heart Home Care","OPEN","Home Health Aide","Core Training","English","1","17","11","11","6","395 Pearl Street   4th Floor","Brooklyn","NY","11201","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                              ","395 Pearl Street
Brooklyn, NY 11201
(40.692041, -73.988198)"
