"year","sex","age_group","race_or_ethnicity","selected_cause_of_death","deaths"
"2019","F","1-9","Hispanic","Total","34"
"2019","F","25-34","Not Stated","All Other Causes","13"
"2019","F","1-9","Black Non Hispanic","Total","31"
"2019","F","1-9","Black Non Hispanic","All Other Causes","17"
"2019","F","10-19","Hispanic","Accidents","2"
"2019","F","25-34","Not Stated","Malignant Neoplasms","3"
"2019","F","1-9","Black Non Hispanic","Malignant Neoplasms","4"
"2019","F","25-34","Hispanic","Total","130"
"2019","F","25-34","Not Stated","Diseases of the Heart","1"
"2019","F","25-34","White Non Hispanic","Total","433"
"2019","F","35-44","Hispanic","Malignant Neoplasms","59"
"2019","M","Unknown","White Non Hispanic","Accidents","1"
"2019","M","Unknown","Not Stated","Total","5"
"2019","F","25-34","White Non Hispanic","Cerebrovascular Disease","5"
"2019","F","25-34","White Non Hispanic","Pneumonia","3"
"2019","F","25-34","White Non Hispanic","Diseases of the Heart","14"
"2019","F","25-34","White Non Hispanic","Malignant Neoplasms","48"
"2019","F","35-44","Black Non Hispanic","CLRD","4"
"2019","F","35-44","Black Non Hispanic","Pneumonia","4"
"2019","F","35-44","Black Non Hispanic","AIDS","11"
"2019","F","35-44","Black Non Hispanic","Accidents","29"
"2019","F","35-44","Black Non Hispanic","All Other Causes","126"
"2019","F","35-44","Black Non Hispanic","Total","291"
"2019","F","35-44","Hispanic","Pneumonia","2"
"2019","F","35-44","Hispanic","Cerebrovascular Disease","4"
"2019","F","35-44","Not Stated","Cerebrovascular Disease","3"
"2019","F","35-44","Not Stated","Diseases of the Heart","5"
"2019","F","35-44","Not Stated","All Other Causes","18"
"2019","F","35-44","Not Stated","Total","38"
"2019","F","35-44","Other Non Hispanic","Accidents","7"
"2019","F","35-44","Other Non Hispanic","All Other Causes","16"
"2019","F","35-44","Other Non Hispanic","Total","56"
"2019","F","35-44","White Non Hispanic","AIDS","3"
"2019","F","35-44","White Non Hispanic","Pneumonia","9"
"2019","F","35-44","White Non Hispanic","Diseases of the Heart","56"
"2019","F","35-44","White Non Hispanic","Malignant Neoplasms","168"
"2019","F","35-44","White Non Hispanic","All Other Causes","247"
"2019","F","45-54","Black Non Hispanic","Pneumonia","14"
"2019","F","45-54","Black Non Hispanic","AIDS","16"
"2019","F","45-54","Black Non Hispanic","Cerebrovascular Disease","36"
"2019","F","45-54","Black Non Hispanic","Accidents","62"
"2019","F","45-54","Hispanic","Diabetes Mellitus","3"
"2019","F","45-54","Hispanic","Pneumonia","9"
"2019","F","45-54","Hispanic","AIDS","13"
"2019","F","45-54","Hispanic","Cerebrovascular Disease","15"
"2019","F","45-54","Hispanic","All Other Causes","110"
"2019","F","45-54","Hispanic","Malignant Neoplasms","151"
"2019","F","45-54","Not Stated","AIDS","2"
"2019","F","45-54","Not Stated","Accidents","3"
"2019","F","45-54","Not Stated","All Other Causes","31"
"2019","F","45-54","Not Stated","Malignant Neoplasms","37"
"2019","F","45-54","Other Non Hispanic","Diabetes Mellitus","1"
"2019","F","45-54","Other Non Hispanic","Cerebrovascular Disease","4"
"2019","F","45-54","Other Non Hispanic","All Other Causes","45"
"2019","F","45-54","Other Non Hispanic","Malignant Neoplasms","83"
"2019","F","45-54","White Non Hispanic","AIDS","4"
"2019","F","45-54","White Non Hispanic","Diabetes Mellitus","16"
"2019","F","45-54","White Non Hispanic","All Other Causes","548"
"2019","F","45-54","White Non Hispanic","Malignant Neoplasms","570"
"2019","F","55-64","Black Non Hispanic","Diabetes Mellitus","14"
"2019","F","55-64","Black Non Hispanic","AIDS","36"
"2019","F","55-64","Black Non Hispanic","Accidents","70"
"2019","F","55-64","Black Non Hispanic","CLRD","81"
"2019","F","55-64","Black Non Hispanic","All Other Causes","496"
"2019","F","55-64","Black Non Hispanic","Malignant Neoplasms","557"
"2019","F","55-64","Hispanic","CLRD","19"
"2019","F","55-64","Hispanic","Pneumonia","21"
"2019","F","55-64","Hispanic","Accidents","35"
"2019","F","55-64","Hispanic","Diseases of the Heart","166"
"2019","F","55-64","Hispanic","Total","779"
"2019","F","55-64","Not Stated","CLRD","1"
"2019","F","55-64","Not Stated","AIDS","3"
"2019","F","55-64","Not Stated","Pneumonia","4"
"2019","F","55-64","Not Stated","Malignant Neoplasms","80"
"2019","F","55-64","Not Stated","Total","192"
"2019","F","55-64","Other Non Hispanic","Diabetes Mellitus","5"
"2019","F","55-64","Other Non Hispanic","Pneumonia","5"
"2019","F","55-64","Other Non Hispanic","Diseases of the Heart","31"
"2019","F","55-64","Other Non Hispanic","All Other Causes","58"
"2019","F","55-64","Other Non Hispanic","Total","243"
"2019","F","55-64","White Non Hispanic","AIDS","5"
"2019","F","55-64","White Non Hispanic","Accidents","192"
"2019","F","55-64","White Non Hispanic","CLRD","249"
"2019","F","55-64","White Non Hispanic","All Other Causes","1191"
"2019","F","55-64","White Non Hispanic","Malignant Neoplasms","1767"
"2019","F","65-74","Black Non Hispanic","Diabetes Mellitus","23"
"2019","F","65-74","Black Non Hispanic","Accidents","44"
"2019","F","65-74","Black Non Hispanic","Cerebrovascular Disease","74"
"2019","F","65-74","Black Non Hispanic","CLRD","83"
"2019","F","65-74","Hispanic","Pneumonia","29"
"2019","F","65-74","Hispanic","Accidents","35"
"2019","F","65-74","Hispanic","Cerebrovascular Disease","47"
"2019","F","65-74","Hispanic","Diseases of the Heart","266"
"2019","F","65-74","Hispanic","Total","1178"
"2019","F","65-74","Not Stated","Diabetes Mellitus","4"
"2019","F","65-74","Not Stated","Accidents","6"
"2019","F","65-74","Not Stated","CLRD","9"
"2019","F","65-74","Not Stated","Malignant Neoplasms","87"
"2019","F","65-74","Not Stated","Total","255"
"2019","F","65-74","Other Non Hispanic","Pneumonia","7"
"2019","F","65-74","Other Non Hispanic","CLRD","8"
"2019","F","65-74","Other Non Hispanic","Diseases of the Heart","91"
"2019","F","65-74","Other Non Hispanic","All Other Causes","114"
"2019","F","65-74","Other Non Hispanic","Total","432"
"2019","F","65-74","White Non Hispanic","AIDS","3"
"2019","F","65-74","White Non Hispanic","CLRD","613"
"2019","F","65-74","White Non Hispanic","Diseases of the Heart","1559"
"2019","F","65-74","White Non Hispanic","Malignant Neoplasms","2984"
"2019","F","65-74","White Non Hispanic","Total","8105"
"2019","F","75-84","Black Non Hispanic","Diabetes Mellitus","26"
"2019","F","75-84","Black Non Hispanic","Pneumonia","73"
"2019","F","75-84","Black Non Hispanic","Cerebrovascular Disease","119"
"2019","F","75-84","Black Non Hispanic","Malignant Neoplasms","555"
"2019","F","75-84","Hispanic","Diabetes Mellitus","13"
"2019","F","75-84","Hispanic","Accidents","31"
"2019","F","75-84","Hispanic","CLRD","64"
"2019","F","75-84","Hispanic","Cerebrovascular Disease","98"
"2019","F","75-84","Hispanic","All Other Causes","602"
"2019","F","75-84","Hispanic","Total","1699"
"2019","F","75-84","Not Stated","Diabetes Mellitus","5"
"2019","F","75-84","Not Stated","Pneumonia","8"
"2019","F","75-84","Not Stated","Total","323"
"2019","F","75-84","Other Non Hispanic","Diabetes Mellitus","4"
"2019","F","75-84","Other Non Hispanic","Accidents","23"
"2019","F","75-84","Other Non Hispanic","Pneumonia","26"
"2019","F","75-84","Other Non Hispanic","Diseases of the Heart","191"
"2019","F","75-84","Other Non Hispanic","All Other Causes","209"
"2019","F","75-84","White Non Hispanic","Diabetes Mellitus","71"
"2019","F","75-84","White Non Hispanic","Accidents","216"
"2019","F","75-84","White Non Hispanic","Diseases of the Heart","3079"
"2019","F","75-84","White Non Hispanic","Malignant Neoplasms","3234"
"2019","F","75-84","White Non Hispanic","Total","13040"
"2019","F","85+","Black Non Hispanic","Diabetes Mellitus","26"
"2019","F","85+","Black Non Hispanic","Pneumonia","88"
"2019","F","85+","Black Non Hispanic","Cerebrovascular Disease","176"
"2019","F","85+","Black Non Hispanic","All Other Causes","1191"
"2019","F","85+","Black Non Hispanic","Diseases of the Heart","1277"
"2019","F","85+","Hispanic","Pneumonia","75"
"2019","F","85+","Hispanic","CLRD","85"
"2019","F","85+","Hispanic","Malignant Neoplasms","263"
"2019","F","85+","Hispanic","Diseases of the Heart","904"
"2019","F","85+","Not Stated","Diabetes Mellitus","1"
"2019","F","85+","Not Stated","Accidents","7"
"2019","F","85+","Not Stated","Cerebrovascular Disease","18"
"2019","F","85+","Not Stated","Pneumonia","20"
"2019","F","85+","Not Stated","Total","395"
"2019","F","85+","Other Non Hispanic","Diabetes Mellitus","11"
"2019","F","85+","Other Non Hispanic","CLRD","24"
"2019","F","85+","Other Non Hispanic","Pneumonia","35"
"2019","F","85+","Other Non Hispanic","All Other Causes","388"
"2019","F","85+","Other Non Hispanic","Diseases of the Heart","417"
"2019","F","85+","White Non Hispanic","Diabetes Mellitus","146"
"2019","F","85+","White Non Hispanic","Accidents","541"
"2019","F","<1","Black Non Hispanic","Cerebrovascular Disease","1"
"2019","F","<1","Black Non Hispanic","Diseases of the Heart","2"
"2019","F","<1","Black Non Hispanic","All Other Causes","111"
"2019","F","<1","Black Non Hispanic","Total","125"
"2019","F","<1","Hispanic","Diseases of the Heart","3"
"2019","F","<1","Hispanic","All Other Causes","72"
"2019","F","<1","Not Stated","Diseases of the Heart","1"
"2019","F","<1","Not Stated","All Other Causes","27"
"2019","F","<1","Other Non Hispanic","All Other Causes","11"
"2019","F","<1","Other Non Hispanic","Total","13"
"2019","F","<1","White Non Hispanic","Diseases of the Heart","4"
"2019","F","<1","White Non Hispanic","Accidents","5"
"2019","F","Unknown","Not Stated","All Other Causes","1"
"2019","F","Unknown","Not Stated","Total","1"
"2019","F","Unknown","Other Non Hispanic","Total","1"
"2019","M","1-9","Black Non Hispanic","Pneumonia","1"
"2019","M","1-9","Black Non Hispanic","Accidents","16"
"2019","M","1-9","Black Non Hispanic","All Other Causes","24"
"2019","M","1-9","Hispanic","Accidents","4"
"2019","M","1-9","Hispanic","Malignant Neoplasms","6"
"2019","M","1-9","Not Stated","Accidents","1"
"2019","M","1-9","Not Stated","Malignant Neoplasms","3"
"2019","M","1-9","Not Stated","Total","8"
"2019","M","1-9","Other Non Hispanic","Cerebrovascular Disease","1"
"2019","M","1-9","Other Non Hispanic","Total","9"
"2019","M","1-9","White Non Hispanic","CLRD","1"
"2019","M","1-9","White Non Hispanic","Diseases of the Heart","2"
"2019","M","1-9","White Non Hispanic","Malignant Neoplasms","5"
"2019","M","1-9","White Non Hispanic","Total","58"
"2019","M","10-19","Black Non Hispanic","CLRD","1"
"2019","M","10-19","Black Non Hispanic","Diseases of the Heart","5"
"2019","M","10-19","Black Non Hispanic","Malignant Neoplasms","7"
"2019","M","10-19","Hispanic","Diseases of the Heart","1"
"2019","M","10-19","Hispanic","CLRD","2"
"2019","M","10-19","Hispanic","Malignant Neoplasms","13"
"2019","M","10-19","Hispanic","Accidents","19"
"2019","M","10-19","Not Stated","Malignant Neoplasms","2"
"2019","M","10-19","Not Stated","Accidents","5"
"2019","M","10-19","Not Stated","Total","15"
"2019","M","10-19","Other Non Hispanic","Pneumonia","1"
"2019","M","10-19","Other Non Hispanic","Total","19"
"2019","M","10-19","White Non Hispanic","CLRD","1"
"2019","M","10-19","White Non Hispanic","Pneumonia","2"
"2019","M","10-19","White Non Hispanic","Diseases of the Heart","5"
"2019","M","10-19","White Non Hispanic","All Other Causes","79"
"2019","M","10-19","White Non Hispanic","Total","139"
"2019","M","20-24","Black Non Hispanic","Diabetes Mellitus","2"
"2019","M","20-24","Black Non Hispanic","AIDS","3"
"2019","M","20-24","Black Non Hispanic","All Other Causes","88"
"2019","M","20-24","Black Non Hispanic","Total","132"
"2019","M","20-24","Hispanic","CLRD","2"
"2019","M","20-24","Hispanic","Cerebrovascular Disease","2"
"2019","M","20-24","Hispanic","Malignant Neoplasms","5"
"2019","M","20-24","Hispanic","Accidents","39"
"2019","M","20-24","Hispanic","Total","110"
"2019","M","20-24","Not Stated","Malignant Neoplasms","1"
"2019","M","20-24","Not Stated","Total","19"
"2019","M","20-24","Other Non Hispanic","Diseases of the Heart","1"
"2019","M","20-24","Other Non Hispanic","Accidents","11"
"2019","M","20-24","Other Non Hispanic","All Other Causes","18"
"2019","M","20-24","White Non Hispanic","Diabetes Mellitus","1"
"2019","M","20-24","White Non Hispanic","Cerebrovascular Disease","3"
"2019","M","20-24","White Non Hispanic","Malignant Neoplasms","18"
"2019","M","20-24","White Non Hispanic","Accidents","136"
"2019","M","25-34","Black Non Hispanic","AIDS","12"
"2019","M","25-34","Black Non Hispanic","Malignant Neoplasms","16"
"2019","M","25-34","Black Non Hispanic","Accidents","83"
"2019","M","25-34","Black Non Hispanic","All Other Causes","230"
"2019","M","25-34","Hispanic","Pneumonia","3"
"2019","M","25-34","Hispanic","CLRD","4"
"2019","M","25-34","Hispanic","AIDS","10"
"2019","M","25-34","Hispanic","Diseases of the Heart","24"
"2019","M","25-34","Hispanic","Total","411"
"2019","M","25-34","Not Stated","AIDS","1"
"2019","M","25-34","Not Stated","Diseases of the Heart","3"
"2019","M","25-34","Not Stated","Malignant Neoplasms","3"
"2019","M","25-34","Not Stated","Total","55"
"2019","M","25-34","Other Non Hispanic","Cerebrovascular Disease","1"
"2019","M","25-34","Other Non Hispanic","AIDS","2"
"2019","M","25-34","Other Non Hispanic","Diseases of the Heart","4"
"2019","M","25-34","White Non Hispanic","Diabetes Mellitus","1"
"2019","M","25-34","White Non Hispanic","AIDS","2"
"2019","M","25-34","White Non Hispanic","Cerebrovascular Disease","4"
"2019","M","25-34","White Non Hispanic","Pneumonia","7"
"2019","M","25-34","White Non Hispanic","All Other Causes","346"
"2019","M","25-34","White Non Hispanic","Accidents","532"
"2019","M","35-44","Black Non Hispanic","Diabetes Mellitus","2"
"2019","M","35-44","Black Non Hispanic","Cerebrovascular Disease","6"
"2019","M","35-44","Black Non Hispanic","Malignant Neoplasms","56"
"2019","M","35-44","Black Non Hispanic","Accidents","93"
"2019","M","35-44","Black Non Hispanic","All Other Causes","239"
"2019","M","35-44","Black Non Hispanic","Total","518"
"2019","M","35-44","Hispanic","Pneumonia","7"
"2019","M","35-44","Hispanic","AIDS","10"
"2019","M","35-44","Hispanic","Malignant Neoplasms","51"
"2019","F","25-34","Hispanic","Pneumonia","2"
"2019","M","35-44","Not Stated","Cerebrovascular Disease","1"
"2019","M","35-44","Not Stated","Diabetes Mellitus","1"
"2019","M","35-44","Not Stated","Accidents","12"
"2019","M","35-44","Not Stated","Diseases of the Heart","12"
"2019","M","35-44","Not Stated","Total","81"
"2019","M","35-44","Other Non Hispanic","Cerebrovascular Disease","3"
"2019","M","35-44","Other Non Hispanic","Diseases of the Heart","17"
"2019","M","35-44","Other Non Hispanic","Malignant Neoplasms","20"
"2019","M","35-44","White Non Hispanic","AIDS","2"
"2019","M","35-44","White Non Hispanic","CLRD","4"
"2019","M","35-44","White Non Hispanic","Pneumonia","14"
"2019","M","35-44","White Non Hispanic","Cerebrovascular Disease","20"
"2019","M","35-44","White Non Hispanic","Accidents","412"
"2019","M","35-44","White Non Hispanic","All Other Causes","486"
"2019","M","45-54","Black Non Hispanic","Diabetes Mellitus","15"
"2019","M","45-54","Black Non Hispanic","Pneumonia","15"
"2019","M","45-54","Black Non Hispanic","Malignant Neoplasms","167"
"2019","M","45-54","Black Non Hispanic","Diseases of the Heart","281"
"2019","M","45-54","Black Non Hispanic","Total","1002"
"2019","M","45-54","Hispanic","Diabetes Mellitus","5"
"2019","M","45-54","Hispanic","Pneumonia","14"
"2019","M","45-54","Hispanic","Cerebrovascular Disease","20"
"2019","M","45-54","Hispanic","Accidents","161"
"2019","M","45-54","Hispanic","Diseases of the Heart","166"
"2019","M","45-54","Not Stated","CLRD","1"
"2019","M","45-54","Not Stated","Diabetes Mellitus","1"
"2019","M","45-54","Not Stated","Cerebrovascular Disease","6"
"2019","M","45-54","Not Stated","Accidents","8"
"2019","M","45-54","Not Stated","All Other Causes","68"
"2019","M","45-54","Not Stated","Total","168"
"2019","M","45-54","Other Non Hispanic","CLRD","1"
"2019","M","45-54","Other Non Hispanic","Diabetes Mellitus","1"
"2019","F","1-9","Black Non Hispanic","Cerebrovascular Disease","1"
"2019","F","35-44","Not Stated","Accidents","2"
"2019","M","45-54","White Non Hispanic","Pneumonia","37"
"2019","M","45-54","White Non Hispanic","CLRD","46"
"2019","M","45-54","White Non Hispanic","Malignant Neoplasms","569"
"2019","M","45-54","White Non Hispanic","Diseases of the Heart","580"
"2019","M","45-54","White Non Hispanic","Total","2698"
"2019","M","55-64","Black Non Hispanic","Diabetes Mellitus","19"
"2019","M","55-64","Black Non Hispanic","Cerebrovascular Disease","75"
"2019","M","55-64","Black Non Hispanic","Accidents","191"
"2019","M","55-64","Black Non Hispanic","All Other Causes","579"
"2019","M","55-64","Black Non Hispanic","Diseases of the Heart","675"
"2019","M","55-64","Hispanic","Pneumonia","24"
"2019","M","55-64","Hispanic","CLRD","27"
"2019","M","55-64","Hispanic","Cerebrovascular Disease","53"
"2019","M","55-64","Hispanic","Accidents","147"
"2019","M","55-64","Not Stated","AIDS","2"
"2019","M","55-64","Not Stated","Diabetes Mellitus","2"
"2019","M","55-64","Not Stated","Accidents","15"
"2019","M","55-64","Not Stated","Malignant Neoplasms","88"
"2019","M","55-64","Not Stated","Total","382"
"2019","M","55-64","Other Non Hispanic","AIDS","1"
"2019","M","55-64","Other Non Hispanic","CLRD","4"
"2019","M","55-64","Other Non Hispanic","Pneumonia","7"
"2019","M","55-64","Other Non Hispanic","All Other Causes","119"
"2019","M","55-64","Other Non Hispanic","Malignant Neoplasms","123"
"2019","M","55-64","White Non Hispanic","AIDS","21"
"2019","M","55-64","White Non Hispanic","Diabetes Mellitus","63"
"2019","M","55-64","White Non Hispanic","CLRD","266"
"2019","M","55-64","White Non Hispanic","Accidents","435"
"2019","M","55-64","White Non Hispanic","Malignant Neoplasms","2059"
"2019","M","55-64","White Non Hispanic","All Other Causes","2151"
"2019","M","65-74","Black Non Hispanic","Accidents","86"
"2019","M","65-74","Black Non Hispanic","Cerebrovascular Disease","90"
"2019","M","65-74","Black Non Hispanic","All Other Causes","615"
"2019","M","65-74","Black Non Hispanic","Diseases of the Heart","775"
"2019","M","65-74","Hispanic","Diabetes Mellitus","22"
"2019","M","65-74","Hispanic","Pneumonia","38"
"2019","M","65-74","Hispanic","Cerebrovascular Disease","57"
"2019","M","65-74","Hispanic","CLRD","64"
"2019","M","65-74","Hispanic","Total","1517"
"2019","M","65-74","Not Stated","AIDS","2"
"2019","M","65-74","Not Stated","Diabetes Mellitus","9"
"2019","M","65-74","Not Stated","Accidents","11"
"2019","M","65-74","Not Stated","Malignant Neoplasms","98"
"2019","M","65-74","Not Stated","All Other Causes","128"
"2019","M","65-74","Not Stated","Total","447"
"2019","M","65-74","Other Non Hispanic","Diabetes Mellitus","1"
"2019","M","65-74","Other Non Hispanic","All Other Causes","152"
"2019","M","65-74","Other Non Hispanic","Diseases of the Heart","172"
"2019","M","65-74","Other Non Hispanic","Total","654"
"2019","M","65-74","White Non Hispanic","AIDS","13"
"2019","M","65-74","White Non Hispanic","Cerebrovascular Disease","319"
"2019","M","65-74","White Non Hispanic","Accidents","321"
"2019","M","65-74","White Non Hispanic","Diseases of the Heart","3114"
"2019","M","65-74","White Non Hispanic","All Other Causes","3145"
"2019","M","75-84","Black Non Hispanic","Diabetes Mellitus","20"
"2019","M","75-84","Black Non Hispanic","Accidents","33"
"2019","M","75-84","Black Non Hispanic","CLRD","67"
"2019","M","75-84","Black Non Hispanic","Cerebrovascular Disease","95"
"2019","M","75-84","Black Non Hispanic","Diseases of the Heart","767"
"2019","M","75-84","Black Non Hispanic","Total","2150"
"2019","M","75-84","Hispanic","Diabetes Mellitus","10"
"2019","M","75-84","Hispanic","Accidents","36"
"2019","M","75-84","Hispanic","Total","1664"
"2019","M","75-84","Not Stated","Diabetes Mellitus","1"
"2019","M","75-84","Not Stated","Cerebrovascular Disease","11"
"2019","M","75-84","Not Stated","Pneumonia","13"
"2019","M","75-84","Not Stated","Diseases of the Heart","127"
"2019","M","75-84","Not Stated","All Other Causes","143"
"2019","M","75-84","Other Non Hispanic","Diabetes Mellitus","8"
"2019","M","75-84","Other Non Hispanic","Accidents","20"
"2019","M","75-84","Other Non Hispanic","Malignant Neoplasms","193"
"2019","M","75-84","Other Non Hispanic","All Other Causes","214"
"2019","M","75-84","Other Non Hispanic","Total","789"
"2019","M","75-84","White Non Hispanic","AIDS","5"
"2019","M","75-84","White Non Hispanic","Pneumonia","394"
"2019","M","75-84","White Non Hispanic","Cerebrovascular Disease","525"
"2019","M","75-84","White Non Hispanic","Malignant Neoplasms","3385"
"2019","M","75-84","White Non Hispanic","Diseases of the Heart","3760"
"2019","M","85+","Black Non Hispanic","Cerebrovascular Disease","41"
"2019","M","85+","Black Non Hispanic","Pneumonia","49"
"2019","M","85+","Black Non Hispanic","Malignant Neoplasms","232"
"2019","M","85+","Black Non Hispanic","All Other Causes","484"
"2019","M","85+","Hispanic","AIDS","2"
"2019","M","85+","Hispanic","Diabetes Mellitus","3"
"2019","M","85+","Hispanic","Pneumonia","40"
"2019","M","85+","Hispanic","CLRD","50"
"2019","M","85+","Hispanic","All Other Causes","486"
"2019","M","85+","Hispanic","Total","1316"
"2019","M","85+","Not Stated","Accidents","6"
"2019","M","85+","Not Stated","CLRD","11"
"2019","M","85+","Not Stated","Malignant Neoplasms","28"
"2019","M","85+","Not Stated","All Other Causes","80"
"2019","M","85+","Not Stated","Total","267"
"2019","M","85+","Other Non Hispanic","Diabetes Mellitus","4"
"2019","M","85+","Other Non Hispanic","All Other Causes","259"
"2019","M","85+","Other Non Hispanic","Diseases of the Heart","282"
"2019","M","85+","White Non Hispanic","AIDS","1"
"2019","M","85+","White Non Hispanic","Diabetes Mellitus","119"
"2019","M","85+","White Non Hispanic","Cerebrovascular Disease","677"
"2019","M","85+","White Non Hispanic","CLRD","797"
"2019","M","85+","White Non Hispanic","All Other Causes","6029"
"2019","M","85+","White Non Hispanic","Diseases of the Heart","6151"
"2019","M","<1","Black Non Hispanic","Diseases of the Heart","3"
"2019","M","<1","Black Non Hispanic","Pneumonia","3"
"2019","M","55-64","Not Stated","CLRD","7"
"2019","M","<1","Black Non Hispanic","All Other Causes","161"
"2019","F","25-34","Hispanic","CLRD","3"
"2019","M","<1","Hispanic","Accidents","5"
"2018","F","35-44","Hispanic","CLRD","2"
"2018","F","35-44","Black Non Hispanic","Malignant Neoplasms","72"
"2018","F","35-44","Black Non Hispanic","All Other Causes","144"
"2018","F","35-44","Black Non Hispanic","Accidents","31"
"2018","F","35-44","Hispanic","Cerebrovascular Disease","7"
"2018","F","35-44","Black Non Hispanic","Total","334"
"2018","F","35-44","Black Non Hispanic","Cerebrovascular Disease","9"
"2018","F","35-44","Hispanic","AIDS","4"
"2018","F","25-34","White Non Hispanic","Total","463"
"2018","F","35-44","Black Non Hispanic","Diabetes Mellitus","3"
"2018","F","25-34","White Non Hispanic","All Other Causes","186"
"2018","F","25-34","White Non Hispanic","Diseases of the Heart","20"
"2018","F","35-44","Black Non Hispanic","CLRD","5"
"2018","F","25-34","White Non Hispanic","Malignant Neoplasms","49"
"2018","F","25-34","White Non Hispanic","Diabetes Mellitus","2"
"2018","F","25-34","White Non Hispanic","Cerebrovascular Disease","3"
"2018","F","25-34","Other Non Hispanic","Total","32"
"2018","F","25-34","Other Non Hispanic","Malignant Neoplasms","7"
"2018","F","25-34","White Non Hispanic","Pneumonia","6"
"2018","F","25-34","Other Non Hispanic","All Other Causes","17"
"2018","F","35-44","Black Non Hispanic","Pneumonia","8"
"2018","F","25-34","Not Stated","All Other Causes","10"
"2018","F","25-34","Not Stated","Total","24"
"2018","F","25-34","Not Stated","Accidents","3"
"2018","F","25-34","Not Stated","Cerebrovascular Disease","1"
"2018","F","25-34","Other Non Hispanic","Cerebrovascular Disease","1"
"2018","F","25-34","Not Stated","Diseases of the Heart","2"
"2018","F","25-34","Hispanic","Malignant Neoplasms","19"
"2018","F","25-34","Hispanic","Accidents","31"
"2018","F","25-34","Hispanic","CLRD","6"
"2018","F","35-44","Hispanic","Pneumonia","8"
"2018","F","25-34","Other Non Hispanic","Accidents","7"
"2018","F","25-34","Hispanic","All Other Causes","43"
"2018","F","35-44","Black Non Hispanic","AIDS","9"
"2018","F","25-34","Black Non Hispanic","Accidents","33"
"2018","F","25-34","Black Non Hispanic","All Other Causes","82"
"2018","F","25-34","Black Non Hispanic","Diseases of the Heart","13"
"2018","F","25-34","Black Non Hispanic","AIDS","5"
"2018","F","25-34","Black Non Hispanic","Total","161"
"2018","F","25-34","Black Non Hispanic","CLRD","6"
"2018","F","20-24","White Non Hispanic","Accidents","62"
"2018","F","20-24","White Non Hispanic","Total","130"
"2018","F","20-24","White Non Hispanic","Malignant Neoplasms","11"
"2018","F","25-34","Black Non Hispanic","Diabetes Mellitus","1"
"2018","F","20-24","White Non Hispanic","Diseases of the Heart","3"
"2018","F","25-34","Hispanic","AIDS","1"
"2018","F","20-24","Other Non Hispanic","All Other Causes","8"
"2018","F","20-24","Other Non Hispanic","Total","13"
"2018","F","20-24","Not Stated","Total","3"
"2018","F","20-24","Not Stated","Pneumonia","1"
"2018","F","20-24","White Non Hispanic","CLRD","1"
"2018","F","20-24","Not Stated","Accidents","2"
"2018","F","20-24","Hispanic","Diseases of the Heart","2"
"2018","F","20-24","Hispanic","Malignant Neoplasms","5"
"2018","F","20-24","Hispanic","Accidents","10"
"2018","F","20-24","Hispanic","CLRD","2"
"2018","F","25-34","Hispanic","Cerebrovascular Disease","1"
"2018","F","20-24","Hispanic","All Other Causes","14"
"2018","F","20-24","Hispanic","Cerebrovascular Disease","1"
"2018","F","20-24","White Non Hispanic","Pneumonia","2"
"2018","F","20-24","Black Non Hispanic","CLRD","2"
"2018","F","20-24","Hispanic","Total","34"
"2018","F","20-24","Black Non Hispanic","Accidents","4"
"2018","F","20-24","Black Non Hispanic","Malignant Neoplasms","4"
"2018","F","20-24","Black Non Hispanic","Cerebrovascular Disease","1"
"2018","F","20-24","Other Non Hispanic","Accidents","5"
"2018","F","10-19","White Non Hispanic","Accidents","24"
"2018","F","10-19","White Non Hispanic","All Other Causes","43"
"2018","F","20-24","Black Non Hispanic","Diseases of the Heart","8"
"2018","F","10-19","White Non Hispanic","Total","87"
"2018","F","10-19","White Non Hispanic","Pneumonia","1"
"2018","F","10-19","White Non Hispanic","CLRD","2"
"2018","F","10-19","White Non Hispanic","Diseases of the Heart","2"
"2018","F","20-24","White Non Hispanic","All Other Causes","51"
"2018","F","10-19","White Non Hispanic","Cerebrovascular Disease","1"
"2018","F","10-19","Other Non Hispanic","All Other Causes","6"
"2018","F","10-19","White Non Hispanic","Malignant Neoplasms","14"
"2018","F","25-34","Black Non Hispanic","Cerebrovascular Disease","3"
"2018","F","10-19","Other Non Hispanic","Total","6"
"2018","F","20-24","Black Non Hispanic","All Other Causes","25"
"2018","F","10-19","Hispanic","All Other Causes","18"
"2018","F","25-34","Black Non Hispanic","Malignant Neoplasms","18"
"2018","F","10-19","Hispanic","Total","32"
"2018","F","10-19","Not Stated","All Other Causes","1"
"2018","F","10-19","Hispanic","Malignant Neoplasms","5"
"2018","F","10-19","Hispanic","Diseases of the Heart","1"
"2018","F","10-19","Hispanic","Pneumonia","2"
"2018","F","10-19","Not Stated","Malignant Neoplasms","2"
"2018","F","10-19","Hispanic","Accidents","3"
"2018","F","25-34","Hispanic","Diseases of the Heart","8"
"2018","F","10-19","Black Non Hispanic","Total","44"
"2018","F","10-19","Hispanic","CLRD","1"
"2018","F","10-19","Hispanic","Cerebrovascular Disease","1"
"2018","F","25-34","Hispanic","Total","110"
"2018","F","35-44","Hispanic","Diseases of the Heart","23"
"2018","F","25-34","Hispanic","Diabetes Mellitus","1"
"2018","F","10-19","Not Stated","Total","3"
