"funding_program","eligible_funding_recipients","eligible_projects","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub_organization","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open","application_closed","additional_application_dates","supplemental_information","last_updated"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Conservation Districts","Water Resource Planning/Implementation","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Irrigation Districts","Water Resource Planning/Implementation","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Private or Public Corporations","Water Resource Planning/Implementation","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Tribes","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Water and Sewer Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Port Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Conservation Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Irrigation Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Private or Public Corporations","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Special Purpose Districts","Technical Studies/Reports","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Tribes","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Water and Sewer Districts","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Port Districts","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Conservation Districts","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Irrigation Districts","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Tribes","Technical Studies/Reports","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Private or Public Corporations","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Tribes","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Water and Sewer Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Port Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Conservation Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Counties, Cities, Towns","Pilot/Demonstration Project","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Irrigation Districts","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Private or Public Corporations","Other","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Tribes","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Water and Sewer Districts","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Port Districts","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Governmental Agencies (Federal and State)","Pilot/Demonstration Project","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
