"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","bondfirmname","bondaccountid","bondamt","receivedbyl_i","bondeffectivedate","bondexpirationdate","bondcanceldate","bondimpaired","bondimpaireddate"
"1-UP CONTRACTING","1UPCOC*800QB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604596018","American Contractors Indem CO","100551163","6000","2021-08-31T00:00:00.000","2021-05-06T00:00:00.000","Until Canceled",,,
"1-UP CONTRACTING","1UPCOC*800QB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604596018","Western Surety Co","65064276","6000","2020-11-09T00:00:00.000","2020-05-06T00:00:00.000",,"2021-08-25T00:00:00.000",,
"1UP FLOORS LLC","1UPFLFL862BU","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603363007","American Contractors Indem CO","10023921","12000","2014-01-31T00:00:00.000","2014-01-24T00:00:00.000",,"2021-03-15T00:00:00.000",,
"1UP FLOORS LLC","1UPFLFL862BU","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603363007","United States Fire Insurance Co","615113960","12000","2021-03-19T00:00:00.000","2021-01-24T00:00:00.000","Until Canceled",,,
"2001-WLD BRAES PARK LLC","2001WBP781CA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604699740","Harco National Insurance Co","0810397","12000","2022-02-01T00:00:00.000","2022-01-25T00:00:00.000","Until Canceled",,,
"2014 FAIRVIEW AVE LLC","2014FFA841JM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602718035","ATLANTIC SPECIALTY INSURANCE COMPANY","800026451","12000","2016-04-14T00:00:00.000","2016-04-05T00:00:00.000","Until Canceled",,,
"20/20 EXTERIORS","2020EE*841DT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603591996","Wesco Insurance Co","46WB074499","12000","2016-03-30T00:00:00.000","2016-03-30T00:00:00.000",,"2020-04-02T00:00:00.000",,
"20/20 EXTERIORS","2020EE*841DT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603591996","Navigators Ins Co","NAV00015815","12000","2020-03-25T00:00:00.000","2020-03-30T00:00:00.000","Until Canceled",,,
"20/20 ELECTRICAL ENTRPRSES L","2020EEE804C6","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","604582520","Western Surety Co","64995097","4000","2020-02-27T00:00:00.000","2020-02-27T00:00:00.000","Until Canceled",,,
"2020 VISION PAINTING LLC","2020VVP802O1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604632067","Western Surety Co","65163105","6000","2020-09-24T00:00:00.000","2020-08-01T00:00:00.000",,"2021-09-14T00:00:00.000",,
"2020 VISION PAINTING LLC","2020VVP802O1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604632067","Western Surety Co","66374600","6000","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Until Canceled",,,
"2029 YALE AVE E LLC","2029YYA794RG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604830464","Lexon Ins Co","9834087","12000","2021-12-07T00:00:00.000","2021-12-03T00:00:00.000","Until Canceled",,,
"206 FENCING LLC","206FEFL792OS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604715496","NGM Insurance Company","S900466","12000","2021-08-17T00:00:00.000","2021-08-13T00:00:00.000","Until Canceled",,,
"206 FIX","206FIF*911R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602876424","Wesco Insurance Co","46WB085668","12000","2017-05-02T00:00:00.000","2017-05-13T00:00:00.000",,"2018-06-16T00:00:00.000",,
"206 FIX","206FIF*911R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602876424","American Contractors Indem CO","100047714","12000","2010-05-21T00:00:00.000","2009-05-13T00:00:00.000",,"2017-07-31T00:00:00.000",,
"206 FIX","206FIF*911R1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602876424","Western Surety Co","63598504","12000","2018-05-14T00:00:00.000","2018-05-13T00:00:00.000","Until Canceled",,,
"206PAINTERS LLC","206PAL*810D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604418929","Western Surety Co","64574708","12000","2019-06-17T00:00:00.000","2019-06-13T00:00:00.000","Until Canceled",,,
"206PAINTERS LLC","206PAL*810D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604418929","Western Surety Co","64574708","6000","2019-03-22T00:00:00.000","2019-03-22T00:00:00.000","06/13/2019",,,
"206SEATTLE GC","206SEG*789L7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604908980","Western Surety Co","66262002","12000","2022-05-31T00:00:00.000","2022-05-18T00:00:00.000","Until Canceled",,,
"207 PAINTING SERVICES LLC","207PAPS786JQ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604893368","NORTH RIVER INSURANCE COMPANY THE","46CF804103","6000","2022-04-18T00:00:00.000","2022-04-15T00:00:00.000","Until Canceled",,,
"20th Century Contracting","20THCCC860B4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603493036","Wesco Insurance Co","46-WB007116","12000","2014-01-24T00:00:00.000","2013-10-12T00:00:00.000","Until Canceled",,,
"210 30TH LLC","210303L820QW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604106416","American Contractors Indem CO","100409998","12000","2018-11-16T00:00:00.000","2018-10-02T00:00:00.000","Until Canceled",,,
"21ST CENTURY CONSTRUCTION LLC","21STCCC841P7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604032853","American Contractors Indem CO","100253696","12000","2016-10-27T00:00:00.000","2016-10-25T00:00:00.000",,"2018-10-08T00:00:00.000",,
"21ST CENTURY CONSTRUCTION LLC","21STCCC841P7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604032853","American Contractors Indem CO","100467180","12000","2019-10-28T00:00:00.000","2019-10-28T00:00:00.000","Until Canceled",,,
"21st CENTURY CONSTRUCTION","21STCCC864NH","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603423990","American Contractors Indem CO","100253696","12000","2014-08-08T00:00:00.000","2014-07-28T00:00:00.000","10/27/2016",,,
"21st Century Electric LLC","21STCCE901QA","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603057815","Western Surety Co","63819674","4000","2018-10-04T00:00:00.000","2018-10-31T00:00:00.000","Until Canceled",,,
"21st Century Electric LLC","21STCCE901QA","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603057815","United States Fire Insurance Co","615981554","4000","2012-10-31T00:00:00.000","2012-10-31T00:00:00.000",,"2019-02-02T00:00:00.000",,
"2 IN 1 TILE","21TIL1T828DB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603468615","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN3814","12000","2022-02-25T00:00:00.000","2022-02-24T00:00:00.000","Until Canceled",,,
"2 IN 1 TILE","21TIL1T828DB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603468615","Western Surety Co","63540380","6000","2018-03-02T00:00:00.000","2018-02-26T00:00:00.000",,"2020-04-10T00:00:00.000",,
"2 IN 1 TILE","21TIL1T828DB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603468615","Navigators Ins Co","NAV00039699","6000","2021-03-26T00:00:00.000","2021-02-24T00:00:00.000",,"2022-02-24T00:00:00.000",,
"222 ELECTRIC CO","222ELEC859RN","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603556873","American Contractors Indem CO","100292703","4000","2015-12-15T00:00:00.000","2015-12-15T00:00:00.000","Until Canceled",,,
"23 CONCRETE LLC","23CONCL792N4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604775420","Western Surety Co","65574617","12000","2021-07-30T00:00:00.000","2021-07-21T00:00:00.000","Until Canceled",,,
"23RD & FAWCETT LLC","23RDFFL822QR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604325784","Liberty Mutual Ins Co","023208974","12000","2018-11-19T00:00:00.000","2018-11-02T00:00:00.000","Until Canceled",,,
"23RD ST GARDENING & DESIGN","23RDSSG789KZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604448283","RLI Ins Co","LSM1538602","6000","2022-05-11T00:00:00.000","2022-05-10T00:00:00.000","Until Canceled",,,
"2440 DEXTER AVE N LLC","2440DDA824Q7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604341030","Merchants Bonding Co (Mutual)","WA100509","12000","2018-11-27T00:00:00.000","2018-11-19T00:00:00.000","Until Canceled",,,
"24/7 CONSTRUCTION LLC","247COCL782JM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604889683","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN5781","12000","2022-04-18T00:00:00.000","2022-04-18T00:00:00.000","Until Canceled",,,
"24/7 ELECTRICAL COMPANY","247ELEC904DH","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","602996963","American States Insurance Co","32s217768","4000","2012-05-08T00:00:00.000","2012-04-20T00:00:00.000","Until Canceled",,,
"24/7 ELECTRIC & PLUMBING LLC","247ELEP808OJ","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","602996963","Ohio Cas Ins Co","999033040","6000","2020-09-11T00:00:00.000","2020-01-17T00:00:00.000","Until Canceled",,,
"24/7 ELECTRICAL SERVICES LLC","247ELES850R2","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","603564535","Western Surety Co","62622947","4000","2015-12-22T00:00:00.000","2015-12-15T00:00:00.000","Until Canceled",,,
"24/7 FLOOD & FIRE","247FLFF850MN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602766121","Ironshore Indemnity Inc","SUR4004918","12000","2015-07-15T00:00:00.000","2015-07-14T00:00:00.000","Until Canceled",,,
"24/7 HANDYMAN","247HAH*852JB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603486451","Wesco Insurance Co","46WB061634","12000","2015-04-02T00:00:00.000","2015-03-30T00:00:00.000",,"2021-03-31T00:00:00.000",,
"24/7 HANDYMAN","247HAH*852JB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603486451","Navigators Ins Co","nav00039017","12000","2021-03-09T00:00:00.000","2021-03-30T00:00:00.000","Until Canceled",,,
"24/7 Painting","247PAP*857KO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603508032","Platte River Ins Co","A270058137","12000","2019-05-16T00:00:00.000","2019-05-19T00:00:00.000",,"2020-06-26T00:00:00.000",,
"24/7 Painting","247PAP*857KO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603508032","Western Surety Co","65076287","12000","2020-05-18T00:00:00.000","2020-05-19T00:00:00.000",,"2021-07-01T00:00:00.000",,
"24/7 Painting","247PAP*857KO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603508032","Wesco Insurance Co","46WB063759","12000","2018-06-12T00:00:00.000","2018-06-07T00:00:00.000",,"2019-05-19T00:00:00.000",,
"24/7 Painting","247PAP*857KO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603508032","Ohio Cas Ins Co","999103050","12000","2021-07-12T00:00:00.000","2021-05-01T00:00:00.000","Until Canceled",,,
"24/7 Painting","247PAP*857KO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603508032","Wesco Insurance Co","46WB063759","6000","2015-05-20T00:00:00.000","2015-05-18T00:00:00.000","06/07/2018",,,
"24-7 PROPERTY MAINTENANCE LLC","247PRPM916QW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602874170","RLI Ins Co","LSM0710493","12000","2015-10-22T00:00:00.000","2015-10-15T00:00:00.000","Until Canceled",,,
"24-7 PROPERTY MAINTENANCE LLC","247PRPM916QW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602874170","American Safety Casualty Insurance Co","10004725","12000","2013-10-07T00:00:00.000","2013-10-15T00:00:00.000","Until Canceled",,,
"24/7 RESTORATION LLC","247RERL860JH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603387437","Wesco Insurance Co","46WB045641","12000","2014-04-08T00:00:00.000","2014-04-02T00:00:00.000",,"2020-04-04T00:00:00.000",,
"24/7 RESTORATION LLC","247RERL860JH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603387437","Navigators Ins Co","NAV00020926","12000","2020-03-27T00:00:00.000","2020-04-02T00:00:00.000","Until Canceled",,,
"24-HOUR HOME CARE SERVICE LLC","24HOUHC782C5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604826885","Hanover Insurance Company, The","1092649","12000","2021-12-10T00:00:00.000","2021-12-03T00:00:00.000","Until Canceled",,,
"24 HOUR ELECTRIC INC","24HOUHE926NE","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","602848849","Wesco Insurance Co","46WB027090","4000","2013-06-03T00:00:00.000","2013-07-27T00:00:00.000",,"2017-08-12T00:00:00.000",,
"24 HOUR ELECTRIC INC","24HOUHE926NE","EC","ELECTRICAL CONTRACTOR","A","ACTIVE","602848849","Travelers Cas and Surety Co of America","106722238","4000","2017-07-20T00:00:00.000","2017-07-30T00:00:00.000","Until Canceled",,,
"24 HOUR FLOOD RESPONSE","24HOUHF898JF","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602243378","American Contractors Indem CO","100172555","12000","2011-09-09T00:00:00.000","2011-08-16T00:00:00.000","Until Canceled",,,
"24 HOUR LOCK AND KEY LLC","24HOUHL822L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604278397","Western Surety Co","63702907","12000","2018-06-28T00:00:00.000","2018-06-27T00:00:00.000","Until Canceled",,,
"24 HR CONTRACTORS LLC","24HRCHC831RQ","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","604193411","Wesco Insurance Co","46wb090906","12000","2017-12-18T00:00:00.000","2017-12-15T00:00:00.000",,"2019-01-18T00:00:00.000",,
"24KT GOLE PAINTING","24KTGGP941D4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602041916","Ohio Cas Ins Co","358317C","6000","2020-10-06T00:00:00.000","2019-08-26T00:00:00.000","Until Canceled",,,
"24KT GOLE PAINTING","24KTGGP941D4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602041916","Developers Surety & Indem Co","358317C","6000","2009-02-26T00:00:00.000","2009-02-09T00:00:00.000","08/26/2019",,,
"24RESTECH LLC","24RESL*839OA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604149332","Western Surety Co","63310880","12000","2017-09-01T00:00:00.000","2017-09-01T00:00:00.000","Until Canceled",,,
"24 WEST CONSTRUCTION LLC","24WESWC840QM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604047715","Navigators Ins Co","NAV00011288","12000","2019-10-24T00:00:00.000","2019-10-24T00:00:00.000",,"2021-10-24T00:00:00.000",,
"24 WEST CONSTRUCTION LLC","24WESWC840QM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604047715","Wesco Insurance Co","46WB080861","12000","2016-11-14T00:00:00.000","2016-10-24T00:00:00.000",,"2019-11-28T00:00:00.000",,
"24 WEST CONSTRUCTION LLC","24WESWC840QM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604047715","NORTH RIVER INSURANCE COMPANY THE","46CF801746","12000","2021-10-22T00:00:00.000","2021-10-24T00:00:00.000","Until Canceled",,,
"253 BUILDERS LLC","253BUBL796DN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604708442","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN3166","12000","2022-03-23T00:00:00.000","2022-03-02T00:00:00.000","Until Canceled",,,
"253 BUILDERS LLC","253BUBL796DN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604708442","Navigators Ins Co","NAV00038817","12000","2021-03-15T00:00:00.000","2021-03-02T00:00:00.000",,"2022-03-03T00:00:00.000",,
"253 HOMES LLC","253HOHL862MJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603327755","United States Fire Insurance Co","61524513","12000","2018-11-19T00:00:00.000","2018-11-16T00:00:00.000","Until Canceled",,,
"253 HOMES LLC","253HOHL862MJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603327755","Great American Ins Co","2208145","12000","2014-07-11T00:00:00.000","2013-08-22T00:00:00.000",,"2018-11-07T00:00:00.000",,
"253 PAINTERS LLC","253PAPL789N5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604789323","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN6367","6000","2022-08-29T00:00:00.000","2022-08-26T00:00:00.000","Until Canceled",,,
"29 ELEVEN METAL LLC","29ELEEM781L2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604927743","Western Surety Co","66293027","12000","2022-06-22T00:00:00.000","2022-07-01T00:00:00.000","Until Canceled",,,
"2A CONTRACTORS LLC","2ACONCL797MO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604744157","Ohio Cas Ins Co","999120480","12000","2021-07-20T00:00:00.000","2021-07-12T00:00:00.000","Until Canceled",,,
"2ATARA DESIGN.BUILD LLC","2ATARDL876OS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603330880","Contractors Bonding & Insurance Co","SJ9875","12000","2013-09-10T00:00:00.000","2013-09-10T00:00:00.000","Until Canceled",,,
"2BELLAS LANDSCAPING SERVICES","2BELLLS821LM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604145456","Wesco Insurance Co","46WB095325","6000","2018-06-14T00:00:00.000","2018-06-14T00:00:00.000",,"2020-06-18T00:00:00.000",,
"2BELLAS LANDSCAPING SERVICES","2BELLLS821LM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604145456","HARTFORD INSURANCE CO THE MIDWEST","57BSBIK4647","6000","2021-05-17T00:00:00.000","2021-06-14T00:00:00.000","Until Canceled",,,
"2BELLAS LANDSCAPING SERVICES","2BELLLS821LM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604145456","Navigators Ins Co","NAV00024301","6000","2020-05-29T00:00:00.000","2020-06-14T00:00:00.000",,"2021-06-16T00:00:00.000",,
"2B PAINTING","2BPAIP*785JG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604646926","Western Surety Co","66207929","6000","2022-04-07T00:00:00.000","2022-04-07T00:00:00.000","Until Canceled",,,
"2 BPS LLC","2BPSLBL802DJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604586018","Navigators Ins Co","NAV00017556","12000","2020-03-11T00:00:00.000","2020-02-14T00:00:00.000",,"2021-03-05T00:00:00.000",,
"2 BPS LLC","2BPSLBL802DJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604586018","Western Surety Co","65385498","12000","2021-02-08T00:00:00.000","2021-02-21T00:00:00.000","Until Canceled",,,
"2 BROS FLOORING LLC","2BROSBF853OT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603544493","Western Surety Co","62483222","6000","2015-09-30T00:00:00.000","2015-09-23T00:00:00.000","06/25/2019",,,
"2 BROS FLOORING LLC","2BROSBF853OT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603544493","Western Surety Co","62483222","12000","2019-06-26T00:00:00.000","2019-06-25T00:00:00.000",,"2020-09-18T00:00:00.000",,
"2 BROS FLOORING LLC","2BROSBF853OT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603544493","Western Surety Co","72276934","12000","2020-07-21T00:00:00.000","2020-08-02T00:00:00.000","Until Canceled",,,
"THE 2 BROTHERS PAINTING","2BROT2B781MH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604935813","Western Surety Co","66312905","6000","2022-07-08T00:00:00.000","2022-07-06T00:00:00.000","Until Canceled",,,
"2 BROTHERS CONCRETE LLC","2BROTBC780DW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604782759","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN2030","12000","2022-01-25T00:00:00.000","2022-01-18T00:00:00.000","Until Canceled",,,
"2 BROTHERS CONSTRUCTION LLC","2BROTBC812LE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604458011","Navigators Ins Co","NAV00023741","12000","2020-05-20T00:00:00.000","2020-06-05T00:00:00.000",,"2021-06-05T00:00:00.000",,
"2 BROTHERS CONSTRUCTION LLC","2BROTBC812LE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604458011","HARTFORD INSURANCE CO THE MIDWEST","57BSBIK5714","12000","2021-06-10T00:00:00.000","2021-06-05T00:00:00.000","Until Canceled",,,
"2 BROTHERS CONSTRUCTION LLC","2BROTBC812LE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604458011","Wesco Insurance Co","46WB103227","12000","2019-06-05T00:00:00.000","2019-06-05T00:00:00.000",,"2020-06-06T00:00:00.000",,
"2 BROTHERS CONTRACTING LLC","2BROTBC853M3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603406996","Navigators Ins Co","NAV00028863","12000","2020-07-27T00:00:00.000","2020-07-21T00:00:00.000",,"2022-07-21T00:00:00.000",,
"2 BROTHERS CONTRACTING LLC","2BROTBC853M3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603406996","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN7663","12000","2022-07-11T00:00:00.000","2022-07-11T00:00:00.000","Until Canceled",,,
"2 BROTHERS CONTRACTING LLC","2BROTBC853M3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603406996","Wesco Insurance Co","46WB066141","12000","2015-07-23T00:00:00.000","2015-07-23T00:00:00.000",,"2020-07-24T00:00:00.000",,
"2 BROTHERS INC","2BROTBI945DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602580120","GREAT AMER INS CO OF NY","7902865510830","6000","2006-03-01T00:00:00.000","2006-02-22T00:00:00.000","Until Canceled",,,
"2BUILD LLC","2BUILL*846KE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603583275","Wesco Insurance Co","46WB075655","12000","2016-05-05T00:00:00.000","2016-05-02T00:00:00.000",,"2019-06-06T00:00:00.000",,
"2BUILD LLC","2BUILL*846KE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603583275","American Contractors Indem CO","100443383","12000","2019-05-01T00:00:00.000","2019-05-01T00:00:00.000","Until Canceled",,,
"2 Can Do Construction Crew","2CANDCD905M8","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603029284","American Contractors Indem CO","100201705","12000","2014-01-31T00:00:00.000","2014-01-24T00:00:00.000","09/15/2016",,,
"2 CANNON RIVER CONST LLC","2CANNCR782OA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604957260","RLI Ins Co","LSM1540488","12000","2022-09-01T00:00:00.000","2022-08-25T00:00:00.000","Until Canceled",,,
"2 COATS PAINTING LLC","2COATCP857LS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603512396","Western Surety Co","62417807","6000","2015-06-10T00:00:00.000","2015-06-03T00:00:00.000","Until Canceled",,,
"2 DIRTY CONSTRUCTION","2DIRTDC792L3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604528068","HARTFORD INSURANCE CO THE MIDWEST","57BSBIK3825","12000","2021-06-23T00:00:00.000","2021-04-29T00:00:00.000","Until Canceled",,,
"2 DOG CONSTRUCTION INC","2DOGCDC862C4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603361516","Wesco Insurance Co","46WB043136","12000","2014-02-24T00:00:00.000","2014-02-24T00:00:00.000",,"2020-02-27T00:00:00.000",,
"2 DOG CONSTRUCTION INC","2DOGCDC862C4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603361516","Western Surety Co","64885961","12000","2020-01-27T00:00:00.000","2020-02-24T00:00:00.000","Until Canceled",,,
"2DOWN SERVICES LLC","2DOWNSL812L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604396202","Western Surety Co","65151079","6000","2020-07-20T00:00:00.000","2020-07-20T00:00:00.000","Until Canceled",,,
"2DOWN SERVICES LLC","2DOWNSL812L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604396202","Western Surety Co","64687344","6000","2019-06-28T00:00:00.000","2019-06-27T00:00:00.000",,"2020-09-25T00:00:00.000",,
"2DRS CONSTRUCTION LLC","2DRSCCL786KR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604872583","HARTFORD INSURANCE CO THE MIDWEST","57BSBIN6410","12000","2022-05-19T00:00:00.000","2022-05-05T00:00:00.000","Until Canceled",,,
"2F ENTERPRISES","2FENTE*908MA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601239004","WESTERN NATIONAL MUTUAL INS","20485","12000","2014-06-30T00:00:00.000","2014-07-01T00:00:00.000","Until Canceled",,,
"2 G CONSTRUCTION","2GCONGC858OH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603539117","Western Surety Co","62521819","12000","2015-09-09T00:00:00.000","2015-09-10T00:00:00.000",,"2017-01-17T00:00:00.000",,
"2 G CONSTRUCTION","2GCONGC858OH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603539117","American Contractors Indem CO","100424345","12000","2019-01-10T00:00:00.000","2019-01-26T00:00:00.000","Until Canceled",,,
"2 G CONSTRUCTION","2GCONGC858OH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603539117","Ironshore Indemnity Inc","SUR40012748","12000","2017-01-26T00:00:00.000","2017-01-26T00:00:00.000",,"2019-01-28T00:00:00.000",,
"2 GENERATIONS CONSTRUCTION LLC","2GENEGC797QT","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604822182","NORTH RIVER INSURANCE COMPANY THE","46CF801991","12000","2021-11-19T00:00:00.000","2021-11-12T00:00:00.000","Until Canceled",,,
"2 GRADE LLC","2GRADGL923JH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602812715","CBIC","SH7953","6000","2008-04-08T00:00:00.000","2008-04-08T00:00:00.000","Until Canceled",,,
"2 GRADE LLC","2GRADGL923JH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602812715","Travelers Cas and Surety Co of America","103491049","12000","2014-03-20T00:00:00.000","2014-04-08T00:00:00.000","Until Canceled",,,
"2G'S PAINTING","2GSPAP*799MR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604777435","HARTFORD INSURANCE CO THE MIDWEST","57BSBIK7877","6000","2021-07-19T00:00:00.000","2021-07-07T00:00:00.000","Until Canceled",,,
"2 Guys For Hire","2GUYSGF879LC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603253662","Navigators Ins Co","NAV00020673","12000","2020-04-13T00:00:00.000","2020-04-22T00:00:00.000","Until Canceled",,,
"2 Guys For Hire","2GUYSGF879LC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603253662","Wesco Insurance Co","46-WB023483","12000","2013-06-03T00:00:00.000","2013-04-22T00:00:00.000",,"2020-04-23T00:00:00.000",,
"2 GUYS PLUMBING LLC","2GUYSGP786KB","PC","PLUMBING CONTRACTOR","A","ACTIVE","604265404","State Farm Fire & Cas Co","98CSD9087","6000","2022-05-26T00:00:00.000","2022-04-26T00:00:00.000","Until Canceled",,,
"2H CONSTRUCTION COMPANY","2HCONCC830LB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603171925","Wesco Insurance Co","46WB086532","6000","2017-06-02T00:00:00.000","2017-06-02T00:00:00.000",,"2020-06-04T00:00:00.000",,
"2H CONSTRUCTION COMPANY","2HCONCC830LB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603171925","Western Surety Co","65496281","6000","2021-05-21T00:00:00.000","2021-05-13T00:00:00.000",,"2022-05-13T00:00:00.000",,
