"community_served_billing_entity","districts","treatment_facility_discharge_permit","median_household_income_est_2014","population_2015","population_range","county","permit","permit_type","base_rate_mo","cf_included_in_base","rate_per_100cf","rate_1000cf","low_income_rate_1000cf","outside_city_rate","rate_per_100cf_outside","low_fixed_income_senior_discount","discount_off","discount_rate","sw_fee","user_classes","year_rates_updated","_2017_base_rate_mo","_2017_outside","_2017_low_income_rate","_2018_base_rate_mo","_2018_low_income_rate","_2019_base_rate_mo","_2019_low_income_rate","_2006_rate_1000cf","website"
"Hamilton Town",,,"38750.00","299","Up to 1000","Skagit","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Harrah Town",,,"48000.00","627","Up to 1000","Yakima","Y","EPA",,"Flat",,,,,,,,,,,,,,,,,,,"35.00",
"Harrington City",,"Harrignton WWTP","48456.00","400","Up to 1000","Lincoln","Y","NPDES","70.00","Flat",,"70.00",,"$72.50","Flat","No",,,"None","Few","2015",,,,,,,,"42.00",
"Hartline Town",,,"36875.00","156","Up to 1000","Grant","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Hartstene Pointe",,"Harstene Pointe STP",,,,"Mason","Y","NPDES","49.00","Flat",,"49.00",,,,"No",,,,,"Annually",,,,,,,,"34.50",
"Hatton Town",,,"4542.00","74","Up to 1000",,,,,,,,,,,,,,,,,,,,,,,,,
"Hoquiam City",,"Hoquiam STP","33194.00","8389","5,001- 10,000","Grays Harbor","Y","NPDES","39.54","Flat",,"39.54",,"$59.31","Flat",,,,"$10.83","Many","2016",,,,,,,,"23.46","http://cityofhoquiam.com/our-departments/finance-department/"
"Hunts Point Town (City of Bellevue)",,"(City of Bellevue)","161250.00","434","Up to 1000","King","N",,"55.53","0","5.06","106.13",,,,,,,,,,,,,,,,,,"http://www.codepublishing.com/WA/HuntsPoint/#!/HuntsPoint13/HuntsPoint1310.html#13.10"
"Ilwaco City",,"Ilwaco STP","37750.00","905","Up to 1000","Pacific","Y","NPDES","39.50","100","8.65","117.35",,"$59.25","Flat","No",,,"$7.28","Many","Annually","40.50",,,,,,,"45.27","http://www.ilwaco-wa.gov/services/utilityrates.shtml"
"Index Town",,,"55313.00","190","Up to 1000","Snohomish","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Ione Town",,"Ione STP","48462.00","448","Up to 1000","Pend Oreille","Y","NPDES","27.00","Flat",,"27.00",,"No sewer","Flat","No",,,"None","Many","2011",,,,,,,,"22.10",
"Issaquah City",,,"88770.00","34056","25000+","King","N",,"53.74","400","2.17","66.76","50.07",,,"Yes","0.25","40.31","$14.78","Many","2016",,,,,,,,"49.33","https://issaquah.civicweb.net/filepro/documents/33433?preview=41993"
"Kahlotus City",,"none","36667.00","191","Up to 1000","Franklin","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,"http://www.kahlotuswa.org/contact.html"
"Kalama City",,"Kalama STP","47563.00","2347","1,001- 2,500","Cowlitz","Y","NPDES","44.65","0","6.00","104.65","73.26","$44.65","$6.00","Yes","0.3","31.65","None","Many","2016",,,,,,,,"67.50","http://cityofkalama.com/residents/water-sewer-garbage/utility-rates"
"Kelso City",,"Woodbrook STP?","33492.00","11788","10,000- 25,000","Cowlitz","N","NPDES","57.24","Flat",,"57.24","55.52","$85.85",,"Yes","0.03","55.24","9.18","Many","2016",,,,,,,,,"http://www.kelso.gov/document/master-fee-schedule"
"Kenmore City ( Northshore Utility District)",,,"88472.00","21575","10,000- 25,000","King","N",,"56.70","750","0.00","56.70",,,,,,,,"Many","2016",,,,,,,,"40.63","http://www.nud.net/about-us/departments/finance/service-rates"
"Kennewick City",,"Kennewick POTW","51739.00","77421","25000+","Benton","Y","NPDES","42.43","Flat",,"42.43",,"$63.65","Flat","No",,,"None","Many","Annually",,,,,,,,"18.56","http://www.go2kennewick.com/go2kennewick/default.aspx?option=com_flexicontent&view=items&cid=306&id=682&Itemid=695"
"Kent City",,,"57490.00","125560","25000+","King","N",,"61.46","Flat",,"61.46",,,,,,,"$12.22","Many","2016",,,,,,,,"31.27","http://kentwa.gov/UtilityRates/"
"Kettle Falls City",,"Kettle Falls STP","42031.00","1592","1,001- 2,500","Stevens","Y","SWDP","65.50","Flat",,"65.50",,"No sewer",,"No",,,"None","Few","2015",,,,,,,,"22.00","http://www.kettle-falls.com/government/city-hall/utility-rates"
"Kirkland City (Northshore Utility District)",,,"90611.00","85763","25000+","King","N",,"56.70","1000","3.75","56.70","42.53",,,"Yes","0.25","42.53","$14.15","Many","2015",,,,,,,,"62.26","http://www.nud.net/home/showdocument?id=4554"
"Kittitas City ? ",,"Kittitas POTW","44500.00","1417","1,001- 2,500","Kittitas","Y","NPDES","45.39","Flat",,"45.39","39.84","$45.39","Flat","Yes","0.12227362855254453","39.84","None","Few","Annually",,,,,,,,"39.50","http://www.codepublishing.com/WA/Kittitas/?Kittitas13/Kittitas1304.html&?f"
"Klickitat",,"Klickitat","31250.00","448","Up to 1000","Klickitat","Y","NPDES","54.89","Flat",,"54.89",,"N/A",,"Yes",,,"None","Few","2014",,,,,,,,"49.38","http://www.klickitatpud.com/ratesAndPolicies/waterWasteWaterRates.aspx"
"Klickitat Co. PUD #1","District","Lyle POTW",,,,"Klickitat","Y","NPDES","48.95","Flat",,"48.95",,"N/A",,"Yes",,,"None",,"2004",,,,,,,,"54.59","http://www.klickitatpud.com/ratesAndPolicies/waterWasteWaterRates.aspx"
"Krupp Town (a.k.a. Marlin)",,,"31250.00","50","Up to 1000","Grant","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"La Center City",,"La Center STP ?","71948.00","3099","2,501- 5,000","Clark","Y","NPDES","66.00","Flat",,"66.00","33.00",,,"Yes","0.5","33.00",,"Many","2015",,,,,,,,"35.00","http://www.ci.lacenter.wa.us/city_departments/wastewater_billing.php"
"Lacey City",,"LOTT Budd Inlet Water Reclamation Facility, MWRWP","59885.00","45446","25000+","Thurston","Y","NPDES","55.95","Flat",,"55.95","27.98",,,"Yes","0.5","27.98","$10.11",,"Annually","40.24",,,"20.44+LOTT",,"21.31+LOTT",,"39.75","http://lottcleanwater.org/wp-content/uploads/2016/06/rates.pdf"
"La Conner Town",,"La Conner STP","33977.00","917","Up to 1000","Skagit","Y","NPDES","16.81","0","4.58","62.61",,"$16.81","$4.58","Yes",,"0.00","$17.15","Many","2016",,,,,,,,"13.69","http://www.townoflaconner.org/utility-rates.cfm"
"La Crosse Town",,"La Crosse STP","35833.00","312","Up to 1000","Whitman","Y","SWDP","34.00","Flat",,"34.00",,"No sewer",,"No",,,"None","Few","2016","35.00",,,,,,,,"http://www.lacrossewa.us/information.html"
"Lake Chelan Reclamation District","District",,,,,"Chelan","N",,"50.00","Flat",,"50.00",,,,,,,"None",,"2016",,,,,,,,,"http://lcrd.org/wastewater_298.html"
"Lake Forest Park City",,"King County Sewage Treatment","90495.00","13184","10,000- 25,000","King","N",,"59.12","Flat",,"59.12","29.56",,,"Yes","0.5","29.56","Yes","Many","2016",,,,,,,,"35.58","http://www.cityoflfp.com/index.aspx?NID=276"
"Lakehaven Utility District (inside Federal Way)","District",,,,,"Lakehaven Utility District (inside Federal Way)","Lakehaven Utility District (inside Federal Way)",,"14.86","0","2.70","41.86",,,,,,,"None","Many","2016",,,,,,,,"26.48","http://www.lakehaven.org/215/Sewer-Rates"
"Lakehaven Utility District (outside Federal Way)","District",,,,,,,,"12.41","0","2.60","38.41",,,,,,,,,,,,,,,,,,
"Lake Stevens City (Lake Stevens Sewer District)",,"Lake Stevens Sewer District WWTP","70345.00","30284","25000+","Snohomish","Y","NPDES","83.00","Flat",,"83.00",,,,,,,"$5.00","Many",,,,,,,,,"45.00","http://www.lkstevenssewer.org/fees_rates.asp#rates"
"Lake Stevens Sewer District","District","Lake Stevens Sewer District WWTP",,,,"Snohomish","Y","NPDES","83.00","Flat",,"83.00",,,,,,,"None","Many","2016","85.00",,,,,,,"45.00","http://www.lkstevenssewer.org/fees_rates.asp#rates"
"Lakewood City ( Pierce County Sewer District)",,,"44667.00","59610","25000+","Pierce","N",,"53.13","Flat",,"53.13","42.50",,"Flat","Yes","0.2","42.50","$7.00",,,,,,,,,,"21.35",
"Lamont Town",,,"38036.00","71","Up to 1000","Whitman","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Langley City",,"Langley STP","46250.00","1052","1,001- 2,500","Island","Y","NPDES","36.00","251","0.24","37.78",,"$36.00","$0.24","No",,,"$25.71","Many","2016",,,,,,,,"52.30","http://www.langleywa.org/City%20of%20Langley%202016%20Utility%20Rates.pdf"
"Latah Town",,"Latah Creek WWTP","42917.00","184","Up to 1000","Spokane","Y","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,"http://www.latahwa.com/contact.html"
"Leavenworth City",,"Leavenworth POTW","37348.00","1979","1,001- 2,500","Chelan","Y","NPDES","55.64","Flat",,"55.64","31.16","$69.55","Flat","Yes","0.44","31.25","$2.50","Many","2016",,,,,,,,,"http://cityofleavenworth.com/city-government/rate-fee-schedule/"
"Lewis County Water & Sewer Dist 6","District",,,,,"Lewis","Y","NPDES","77.00","Flat",,"77.00",,,,,,,,,"2015",,,,,,,,,"http://lcwsd6.org/billing/"
"Liberty Lake Sewer & Water District","District","Liberty Lake Sewer & Water District","71898.00","8637","5,001- 10,000","Spokane","Y","NPDES","45.37","Flat",,"45.37",,"24.09 + Spokane County Sewer Fee","Flat",,,,"None","Many","2016",,,,,,,,"23.00","http://libertylake.org/rates/"
"Lind Town",,"Lind WWTP","48636.00","569","Up to 1000","Adams","Y",,"55.75","Flat",,"55.75",,"No sewer",,"No",,,"None",,"2016","66.90","None","None",,,,,,"http://www.lindwa.com/Town%20of%20Lind.html"
"Long Beach City",,"Long Beach STP","24813.00","1346","1,001- 2,500","Pacific","Y","NPDES","52.72","Flat",,"52.72",,"$79.08","Flat","No",,,"$10.97","Many","Annually",,,,,,,,"35.91","http://www.longbeachwa.gov/wp-content/uploads/2015/12/ORD925-2016-Water-Sewer-Storm-rate-ordinance.pdf"
"Longview City",,"Stella STP? Three Rivers Regional Wastewater?","37827.00","36483","25000+","Cowlitz","Y","NPDES","32.17","0","5.34","85.57","42.79","$53.08","$8.81","Yes","0.5","16.09","$10.09","Many","2016",,,,,,,,"34.69","http://www.ci.longview.wa.us/index.aspx?page=488"
"Loon Lake Sewer District","District","Loon Lake Sewer District 4",,,,"Stevens","Y","SWDP","43.17","Flat",,"43.17",,"$48.87",,"No",,,"None","Few","2013",,,,,,,,,
"Lyman Town",,,"62222.00","447","Up to 1000","Skagit","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Lynden City",,"Lynden STP","59021.00","13165","10,000- 25,000","Whatcom","Y","NPDES","46.97","Flat",,"46.97",,"$70.46",,,,,"$7.00",,"2016",,,,,,,,"30.29","http://www.lyndenwa.org/public-works/fees/"
"Lynnwood City",,"Lynnwood STP","50562.00","36687","25000+","Snohomish","Y","NPDES","41.87","2000","3.42","41.87","20.94","$62.81","$5.13","Yes","0.5","20.94","$10.91","Many","2016","43.85",,,"$44.80",,"$46.17",,"21.00","http://www.lynnwoodwa.gov/City-Services/Sewer-and-Water/Water--Sewer-and-Storm-Utility-Rates.htm#ResidentialSewer"
"Mabton City",,"Mabton POTW","35129.00","2303","1,001- 2,500","Yakima","Y","NPDES","57.56","Flat",,"57.56","52.56","$57.56","Flat","Yes","0.08686587908269627","52.56","None","Many","2015",,,,,,,,"31.06","http://www.cityofmabton.com/livinginmabton.html#Utilities"
"Malden Town",,,"33864.00","199","Up to 1000","Whitman","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Mansfield Town",,"Mansfield POTW","44844.00","327","Up to 1000","Douglas","Y","SWDP","49.50","Flat",,"49.50",,"No","Flat","No",,,"None","None","2007",,,,,,,,"34.50",
"Maple Falls?",,"Whatcom County Water Dist 13 WWTP",,,,"Whatcom","Y","SWDP",,,,,,,,,,,,,,,,,,,,,,
"Maple Valley City (Soos Creek Water & Sewer District)",,,"97809.00","25125","25000+","King","N",,"59.88","Flat",,"59.88",,,,,,,"$7.00","Many",,,,,,,,,"40.40","http://www.sooscreek.com/utility-rates"
"Marcus Town",,,"34167.00","184","Up to 1000","Stevens","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Marysville City",,"Marysville STP","64328.00","65087","25000+","Snohomish","Y","NPDES","79.61","Flat",,"79.61","55.73","$46.90","Flat","Yes","0.3","55.73","$10.82","Many","2006",,,,,,,,"31.25",
"Mattawa Town",,"Mattawa WWTP","42212.00","4579","2,501- 5,000","Grant","Y","SWDP","28.45","Flat",,"28.45","21.34","$42.68","Flat","Yes","0.25","21.34","None","Many","2013",,,,,,,,"25.00","http://www.cityofmattawa.com/departments/departments.htm"
"McCleary City",,"McCleary STP","49148.00","1609","1,001- 2,500","Grays Harbor","Y","NPDES","82.30","Flat",,"82.30","57.61",,,"Yes","0.3","58.50","$7.60","Many","Annually",,,,,,,,"47.00","http://cityofmccleary.com/index.asp?Type=B_BASIC&SEC={8A45F904-308A-4DDC-9D6E-95F2185ACC09}&DE={FD7F8A5F-3F0B-4AD0-880C-EBBB34AE3CE9}"
"Medical Lake City",,"Medical Lake Water Reclamation Facility","46250.00","4952","2,501- 5,000","Spokane","Y","NPDES","30.00",,,"30.00",,,,,,,,,,,,,,,,,,
"Medina City (City of Bellevue)",,"(City of Bellevue)","182308.00","3188","2,501- 5,000","King","N",,"55.53","500","3.92","75.13",,,,,,,,,,,,,,,,,,"https://utilities.bellevuewa.gov/UserFiles/Servers/Server_4779004/File/pdf/Utilities/Utility_Rates_2016.pdf"
"Mercer Island City",,,"125651.00","24326","10,000- 25,000","King","N",,"21.91","600","6.11","46.35","11.59","No sewer",,"Yes","0.75",,"$15.94",,"2016","23.16","$6.46",,"$24.48",,,,"33.85","http://www.mercergov.org/FormPage.asp?FormID=58"
"Mesa City",,"Mesa STP","49688.00","491","Up to 1000","Franklin","Y","SWDP","42.05","Flat",,"42.05","36.04","No sewer",,"Yes","0.14292508917954816","36.04","None","Many","Annually ","42.05",,,,,,,"26.25",
"Metaline Falls Town",,,"28125.00","238","Up to 1000","Pend Oreille","Y",,"31.57","Flat",,"31.57",,"$29.36","Flat","No",,,"None","Few","2016",,,,,,,,"20.00",
"Metaline Town",,"Metaline STP","54861.00","171","Up to 1000","Pend Oreille","Y","NPDES","45.00","Flat",,"45.00",,"$45.00",,"No",,,"None","None","2016","50.00",,,,,,,"40.00",
"Midway Sewer District","District","Base fees for district",,,,"King","Y","NPDES","26.00","Flat",,"26.00",,,"Flat",,,,"None",,"2016",,,,,,,,"17.00","http://www.midwaysewer.org/?s=rate"
"Mill Creek City (Alderwood Water and Sewer District)",,,"88770.00","19200","10,000- 25,000","Snohomish","N",,"54.00",,,"54.00","35.64",,,,,,,,,,,,,,,,,
"Millwood Town",,"City of Spokane STP?","50337.00","1776","1,001- 2,500","Spokane","N",,,"Flat",,,,,,,,,,,,,,,,,,,"30.00",
"Milton City (Pierce County Sewer District) ",,,"67069.00","7360","5,001- 10,000","King/Pierce","N",,"45.64","Flat",,"45.64","36.51","$45.64","$0.00","Yes","0.2","36.51","$4.00","Many","2016",,,,,,,,"28.75",
"Monroe City",,"Monroe STP","66649.00","17899","10,000- 25,000","Snohomish","Y","NPDES","94.51","Flat",,"94.51","66.16","$141.77",,"Yes","0.3","66.16","$10.50",,"Annually","94.51",,,,,,,"42.38","http://www.monroewa.gov/index.aspx?NID=96"
"Montesano City",,"Montesano STP","60316.00","3861","2,501- 5,000","Grays Harbor","Y","NPDES","32.06","Flat",,"32.06",,,"$1.68",,,,"$4.85","Many","2016",,,,,,,,"22.69","http://www.montesano.city/all-city-rates.html"
"Morton City",,"Morton STP","35721.00","1116","1,001- 2,500","Lewis","Y","NPDES","62.00","Flat",,"62.00",,"$62.00","Flat","No",,,"None","Many",,,,,,,,,"30.44","http://www.visitmorton.com/cityofmorton/publicworksdepartment.html"
"Moses Lake City",,"Moses Lake Larson STP, Mosese Lake WWTP Dunes","47914.00","21713","10,000- 25,000","Grant","Y","SWDP","33.75","Flat",,"33.75",,"$33.75","Flat",,,,"$5.50","Many",,,,,,,,,"27.50","http://www.cityofml.com/index.aspx?NID=212"
"Mossyrock City",,"Mossyrock STP","38043.00","745","Up to 1000","Lewis","Y","NPDES","47.52","300","2.16","62.64","2.50","$67.40","$2.16","Yes","0.9600893997445722","2.50","None","None","Annually",,,,,,,,"46.93","https://www.cityofmossyrock.com/?page_id=51"
"Mountlake Terrace City",,,"44404.00","33132","25000+","Snohomish","N",,"20.00","0","2.80","48.00",,,,,,,"$22.90","Many","2016","20.00",,,,,,,"35.40","http://www.cityofmlt.com/162/Utilities"
"Mount Vernon City",,"Mt Vernon WWTP","61477.00","20817","10,000- 25,000","Skagit","Y","NPDES","47.75","Flat",,"47.75","38.20","$47.75","Flat","Yes","0.2","38.88","$6.05","Many","2016",,,,,,,,"39.30","http://www.mountvernonwa.gov/index.aspx?NID=345"
"Moxee City",,"?Yakima POTW","56354.00","3784","2,501- 5,000","Yakima","Y",,"32.00","Flat",,"32.00",,"$48.00","Flat","No",,,"None","Many","2005",,,,,,,,"25.00",
"Mukilteo City (eastside, Mukilteo Water and Wastewater District)",,,,,,"Snohomish","N",,"49.53","Flat",,"49.53",,,,,,,"$15.73","Many","2016",,,,,,,,"31.50",
"Mukilteo City (westside, Mukilteo Water and Wastewater District)",,"Mukilteo Water and Wastewater District WWTP","89942.00","20993","10,000- 25,000","Snohomish",,,"64.12","Flat",,"64.12",,,"Flat","Yes",,,"$15.73","Many","2016",,,,,,,,"31.50",
"Naches Town",,"Naches POTW","49231.00","801","Up to 1000","Yakima","Y","NPDES","49.74","Flat",,"49.74","44.27",,"Flat","Yes","0.11","44.26","None","Many","Annually","50.73",,,,,,,"38.60","http://www.townofnaches.com/services.html#WaterSewer"
"Napavine City",,,"49286.00","1778","1,001- 2,500","Lewis","N",,"58.00","0","4.50","103.00","85.49",,,,"0.17","48.00",,,"2016",,,,,,,,"52.00","http://cityofnapavine.com/images/FeeSchedule2016.pdf"
"Nespelem Town (Colville Reservation)",,,"36250.00","243","Up to 1000","Okanogan","Y","EPA",,"Flat",,,,,,,,,,,,,,,,,,,"6.50",
"Newcastle City (Coal Creek Utility District)",,,"110456.00","11201","10,000- 25,000","King","N",,"63.10","Flat",,"63.10",,,,"Yes",,,,"Many","2014",,,,,,,,"38.51","http://www.ccud.org/rates-and-charges.html"
"Newport City",,"Newport WWTP","32275.00","2123","1,001- 2,500","Pend Oreille","Y","NPDES","42.24","Flat",,"42.24",,"$52.80",,"No",,,"None","Many","Annually","43.34",,,,,,,"30.50",
"Nooksack City (Everson City)",,,"65368.00","1443","1,001- 2,500","Whatcom","N",,"65.00","Flat",,"65.00","58.50","No sewer",,"Yes","0.1",,"None","None","Annually","72.00",,"$64.80","$79.00","71.10",,,,"http://www.cityofnooksack.com/services.htm"
"Normandy Park City (SW Suburban Sewer District)",,,"90446.00","6615","5,001- 10,000","King","N",,"31.50","Flat",,"31.50","16.38",,,"Yes","0.48","15.00","$10.00","Many","2016",,,,,,,,"19.50","http://www.swssd.com/fees--charges.html"
"North Bend City",,,"73571.00","6578","5,001- 10,000","King","Y",,"55.45","353","15.69","156.93","25.43","$83.17","$24.10","Yes","0.46","25.43","$9.86","Many","2016","62.49",,,,,,,"57.67","http://northbendwa.gov/FAQ.aspx?QID=63"
"North Bonneville City",,"North Bonneville STP","55179.00","971","Up to 1000","Skamania","Y","NPDES","26.75","Flat",,"26.75",,"No sewer",,"No",,,"None","Many","2004",,,,,,,,"30.00",
"Northeast Sammamish Sewer & Water District","District",,,,,"King","N",,"65.95","Flat",,"65.95",,"N/A",,,,,"None","Many","2016",,,,,,,,"45.05","http://www.nesswd.org/rates.htm"
"Northport Town",,,"26250.00","289","Up to 1000","Stevens","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Northshore Utility District","District","Base fees for district",,,,"King","N",,"56.70","750","3.75","66.08",,,,,,,,"Many","2016",,,,,,,,"40.63","http://www.nud.net/about-us/departments/finance/service-rates"
"Oakesdale Town",,"Oakesdale STP","46429.00","424","Up to 1000","Whitman","Y","NPDES","25.00","Flat",,"25.00",,"$25.00","Flat","No",,,"None","Few","1990",,,,,,,,"25.00","http://www.oakesdale.org/"
"Oak Harbor City",,"Oak Harbor STP NPDES, Penn Cove WWTP NPDES?","48362.00","22306","10,000- 25,000","Island","Y","NPDES","77.70","Flat",,"77.70","67.60","$116.55","Flat","Yes","0.13","64.49","$14.22","Many","2016","89.36",,,"$102.76",,,,"32.42","https://www.oakharbor.org/documents.cfm?pageId=213"
"Oakville City",,,"45234.00","663","Up to 1000","Grays Harbor","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,"https://www.municode.com/library/wa/oakville/codes/code_of_ordinances?nodeId=CD_ORD_TIT13WASE_CH13.08SEDISY"
"Ocean Shores City",,"Ocean Shores STP","43496.00","5628","5,001- 10,000","Grays Harbor","Y","NPDES","21.90","Flat",,"21.90",,"$32.85","Flat",,,,,"Many","2015",,,,,,,,"24.33","http://www.codepublishing.com/wa/oceanshores.html"
"Odessa Town",,"Odessa STP","35759.00","868","Up to 1000","Lincoln","Y","NPDES","61.35","Flat",,"61.35",,,,"No",,,"None",,,,,,,,,,"38.63","http://www.odessawa.com/index.html"
"Okanogan City",,"Okanogan POTW","35165.00","2571","2,501- 5,000","Okanogan","Y","NPDES","45.61","Flat",,"45.61",,"$85.00","Flat","No",,,"None","Many","Annually",,,,,,,,"35.93","http://www.okanogancity.com/files/2014/5772/3356/2016_Fee_Schedule.pdf"
"Olympia City",,"LOTT","52834.00","49218","25000+","Thurston","Y","NPDES","57.79","Flat",,"57.79","28.90",,,"Yes","0.5","28.90","$12.58",,"Annually",,,,,,,,"37.63","http://lottcleanwater.org/wp-content/uploads/2016/06/rates.pdf"
"Olympic View",,,,,,"Thurston","Y",,"91.15","Flat",,"91.15",,,,,,,,,,"91.15",,,"95.71",,,,"18.18","http://www.co.thurston.wa.us/publicworks/Docs/WSU/RateIncreaseNoticeWeb2017.pdf"
"Olympic View Water & Sewer","District",,,,,"King","Y",,"56.42","Flat",,"56.42",,,"Flat",,,,"None",,"2016",,,,,,,,"18.18","https://olympicviewwater.com/about-your-service/rates-and-billing/"
"Omak City",,"Omak POTW","30410.00","4848","2,501- 5,000","Okanogan","Y","NPDES","74.34","Flat",,"74.34","66.91",,"Flat","Yes","0.1","66.91","$3.47","Many","2016",,,,,,,,"26.00","http://www.omakcity.com/city_utilities.html"
"Oroville City",,"Oroville POTW","30455.00","1679","1,001- 2,500","Okanogan","Y","NPDES","36.70","Flat",,"36.70",,"No sewer",,"No",,,"None","Many","2016","37.70",,,,,,,"20.00","http://www.oroville-wa.com/index.php/departments/public-works/"
"Orting City",,"Orting STP","72810.00","7266","5,001- 10,000","Pierce","Y","NPDES","42.59","Flat",,"42.59","34.50","$54.09","Flat","Yes","0.19","34.29","$22.00","Many","2016",,,,,,,,"35.00",
"Othello City",,"Othello WWTP","42414.00","7703","5,001- 10,000","Adams","Y","NPDES","37.60","Flat",,"37.60",,"$56.40","Flat","No",,,"None","Few","2016",,,,,,,,"13.68","http://www.othellowa.gov/apply-check-status/request/utilities-services.html"
"Pacific City",,,"55907.00","7079","5,001- 10,000","King/Pierce","N",,"62.03","Flat",,"62.03","52.73",,,"Yes","0.15","52.73","$13.00",,"2013",,,,,,,,"34.34","http://www.pacificwa.gov/departments/public_works/sewer.htm"
"Palouse City",,"Palouse STP","55125.00","1012","1,001- 2,500","Whitman","Y","NPDES","34.00","Flat",,"34.00",,,,"No",,,"None","None","2016",,,,,,,,"24.00","http://visitpalouse.com/contact/"
"Pasco City",,"Pasco WWTP","54700.00","68648","25000+","Franklin","Y","NPDES","26.00","Flat",,"26.00",,"$39.00","Flat","Yes",,,"$1.80","Many",,,,,,,,,"30.59","http://www.pasco-wa.gov/417/Water-Sewer-Connection-Information"
"Pateros City",,"Pateros POTW","38125.00","656","Up to 1000","Okanogan","Y","NPDES","43.87","Flat",,"43.87","39.48","No sewer","Flat","Yes","0.1","39.47","None","Many","Annually","44.79",,"$40.30",,,,,"28.89",
"Pe Ell Town",,"Pe Ell STP","45000.00","628","Up to 1000","Lewis","Y","NPDES","69.25","Flat",,"69.25","48.48","$69.25","Flat","Yes","0.3",,"None","None","2016",,,,,,,,"49.00",
"Pierce County Utility District","District","Chambers Creek WWTP",,,,"Pierce","Y","NPDES","45.64","Flat",,"45.64",,,,"Yes",,,,,,"47.14",,,"48.44",,,,,"http://www.piercecountywa.org/1643/Sewer"
"Pomeroy City",,"Pomeroy STP","48879.00","1386","1,001- 2,500","Garfield","Y","NPDES","93.00","Flat",,"93.00",,"$93.00","Flat","No",,,"None","Many","2015",,,,,,,,"24.33",
"Port Angeles City",,"Port Angeles STP","39524.00","19256","10,000- 25,000","Clallam","N","NPDES","70.86","429",,"70.86","46.06","$76.33",,"Yes","0.35","46.06","?","Few","2016",,,,,,,,"42.00","http://wa-portangeles.civicplus.com/278/Utility-Information-Center"
"Port Ludlow (Olympic Water and Sewer District)",,"~1500 customers",,,,"Jefferson",,"NPDES","49.00","Flat",,"49.00",,,,"No",,,"None",,,"50.00",,,,,,,,
"Port Orchard City",,"Port Orchard WWTP","55521.00","13266","10,000- 25,000","Kitsap","Y","NPDES","49.00","Flat",,"49.00",,"$54.00","Flat",,,,"$7.00","Many","2005",,,,,,,,"36.00","https://www.cityofportorchard.us/local-utilities/"
"Port Townsend City",,"Port Townsend STP, Port Townsend Biosolids Facility","43050.00","9255","5,001- 10,000","Jefferson","Y","NPDES/SWDP","36.85","402",,"36.85","25.82","No sewer",,"Yes","0.2993215739484396","25.82","$7.25","Many","2016","33.85",,"$25.82","$37.87","26.53",,,"48.19","http://weblink.cityofpt.us/weblink/Browse.aspx?&StartID=67989&dbid=0&cr=1"
"Poulsbo City",,"Kitsap County Central Kitsap WWT NPDESP?","57296.00","9702","5,001- 10,000","Kitsap","N",,"48.35","400","6.35","86.45",,"$72.13","$9.45","Yes",,,"$16.69",,"2016",,,,,,,,"51.01","http://www.cityofpoulsbo.com/finance/finance_utility.htm"
"Prescott Town",,,"31875.00","309","Up to 1000","Walla Walla","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Prosser City",,"Prosser POTW","53736.00","5802","5,001- 10,000","Benton","Y","NPDES","33.45","400","2.44","48.09","24.05","No sewer",,"Yes","0.5","16.73","None","Many","2011",,,,,,,,"41.45","http://www.codepublishing.com/WA/Prosser/"
"Pullman City",,"Pullman WWTP","24487.00","31682","25000+","Whitman","Y","NPDES","38.15","Flat",,"38.15",,"No sewer",,"No",,,"$7.00","Many","Annually",,,,,,,,"17.77",
"Puyallup City",,"Puyallup WWTP","63009.00","39105","25000+","Pierce","Y",,"34.78","0","5.27","87.48","49.86","$52.17","$7.91","Yes","0.43","19.75","$9.85",,"2006",,,,,,,,"55.69",
"Quincy City",,"Quincy Water Reclamation Facility","38322.00","7355","5,001- 10,000","Grant","Y","SWDP","36.54","Flat",,"36.54",,"No sewer",,"No",,,"None","Many","2016",,,,,,,,"29.00","http://www.codepublishing.com/WA/Quincy/#!/Quincy13/Quincy1312.html#13.12"
"Rainier Town",,"Planning in progress","66713.00","1948","1,001- 2,500","Thurston","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Raymond City",,"Willapa Regional STP?","34844.00","2787","2,501- 5,000","Pacific","Y","NPDES","85.00","Flat",,"85.00","42.50","No sewer",,"Yes","0.5",,"None","Many","Annually",,,,,,,,"24.85","http://www.cityofraymond.com/utilities.htm"
