"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","businesstypecode","businesstypecodedesc","ubi","authorizedsigner","signerrole"
"ACTION ELECTRIC NORTHWEST LLC","ACTIOEN814J6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604438852","Shattuck, Katherine","Permits"
"ACTION HEATING & AIR COND","ACTIOHA008DB","EC","ELECTRICAL CONTRACTOR","I","Individual","600492358",,
"ACTION PLUMBING","ACTIOP*784BO","PC","PLUMBING CONTRACTOR","I","Individual","601751475",,
"ACTION PLUMBING & HTG INC","ACTIOPH005C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601941691",,
"ACTION PLUS ELECTRIC INC","ACTIOPE952QM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601262311",,
"ACTION ROOTER & PLUMBING SVC","ACTIORP783L9","PC","PLUMBING CONTRACTOR","C","Corporation","602883851",,
"ACTION TECHNOLOGY SYSTEMS LLC","ACTIOTS971QS","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602337057","Kirkland, Rena A","Permits"
"ACTIVE ELECTRIC CORP","ACTIVEC784J9","EC","ELECTRICAL CONTRACTOR","C","Corporation","600109613","Merrill, Angela","Permits"
"ACTIVE ENGINEERING","ACTIVE*088MS","EC","ELECTRICAL CONTRACTOR","C","Corporation","601080293","Bill, Harris","Permits"
"ACTIVE ENGINEERING","ACTIVE*088MS","EC","ELECTRICAL CONTRACTOR","C","Corporation","601080293","Coberly, Ami","Permits"
"ADAMOSKY TECHNICAL SLTNS INC","ADAMOTS813BP","EC","ELECTRICAL CONTRACTOR","C","Corporation","604214773",,
"ADAMS ELECTRIC","ADAMSE*959D8","EC","ELECTRICAL CONTRACTOR","I","Individual","600418476",,
"ADAM'S ELECTRICAL","ADAMSE*890DB","EC","ELECTRICAL CONTRACTOR","I","Individual","602699495",,
"ADAMS ELECTRICAL SERVICES LLC","ADAMSES832J1","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604110012",,
"Adam's Plumbing & Fire Systems","ADAMSPF796OC","PC","PLUMBING CONTRACTOR","C","Corporation","603475204",,
"ADAPT ELECTRIC LLC","ADAPTEL783N9","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604955863",,
"ADAPTIVE SOLUTIONS LLC","ADAPTSL796OT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604771841","Parsons, Jessica","Permits"
"ADB Companies Inc","ADBCOCI806BH","EC","ELECTRICAL CONTRACTOR","C","Corporation","603301330",,
"ADB PLUMBING, LLC","ADBPLPL799RG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604777959",,
"A&D ELECTRICAL SERVICES LLC","ADELEES818D2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603616607",,
"ADENBECKS LLC","ADENBL*938BD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602676388",,
"Adept Mechanical Services INC","ADEPTMS794O4","PC","PLUMBING CONTRACTOR","C","Corporation","601443349",,
"A DESIGN STUDIO SEATTLE","DESIGDS782CP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604560654",,
"ADESTA LLC","ADESTL*841CH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602234967",,
"A&D Fire","DFIREF*809N7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604643802","Harris, Leslie","Permits"
"A D K ELECTRIC INC","ADKELI*992K2","EC","ELECTRICAL CONTRACTOR","C","Corporation","602104409","EK, KATRINA","Permits"
"A D K ELECTRIC INC","ADKELI*992K2","EC","ELECTRICAL CONTRACTOR","C","Corporation","602104409","REYNOLDS, COURTNEY","Permits"
"ADMIRALTY HEATING & AIR","ADMIRHA8193P","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604453680",,
"AD ONE CORP","ADONEOC931DR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602298178",,
"A D P CONST SERVICES INC","ADPCOSI066CJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601429361",,
"ADRIAN'S PRO PLUMBING LLC","ADRIAPP781CN","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604313259",,
"ADRIATIC PLUMBING INC","ADRIAPI793RM","PC","PLUMBING CONTRACTOR","C","Corporation","602254070",,
"ADS ELECTRIC LLC","ADSELEL845R3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604070714",,
"ADT COMMERCIAL LLC","ADTCOCL801UQ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602805295",,
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Hillebrant, Glennie","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Davis, Bryan","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Joyal, Derek","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Nickols, Tim","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Gilmore, Sharon","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Cook, Jennifer","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Reyes, Julie","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Dougherty, Gerrett","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Tucker, Debra","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Stobie, Chris","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Berlier, Nathan","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Wheeler, Brad","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Paton, Avril","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Roy, Dean","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Perez, Kristy","Affidavits and Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Foster, Steve","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Bartholomew, Diane","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Blackburn, Randy","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Hollonquest, Nicole","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Box, Robert","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Shawl, April","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Simmons, Otis","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Terry, Jim","Permits"
"ADT LLC","ADTLLL*881DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603190246","Treumer, Jennifer","Permits"
"ADT SOLAR LLC","ADTSOSL782LZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604834283",,
"ADVANCE BLDRS/TECHNOLOGIES LLC","ADVAN**951PO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548493",,
"ADVANCED AIR SYSTEMS INC","ADVANAS002CN","EC","ELECTRICAL CONTRACTOR","C","Corporation","601755348","Scott, Amanda","Permits"
"ADVANCED AIR SYSTEMS INC","ADVANAS002CN","EC","ELECTRICAL CONTRACTOR","C","Corporation","601755348","RUTHERFORD, CATHY","Permits"
"ADVANCED AIR SYSTEMS INC","ADVANAS867KM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601755348",,
"Advanced Alarm Systems Inc","ADVANAS912LB","EC","ELECTRICAL CONTRACTOR","C","Corporation","602922055",,
"ADVANCED CLASSROOM TCHNLGIES","ADVANCT891BF","EC","ELECTRICAL CONTRACTOR","C","Corporation","602696672",,
"ADVANCED COMMERCIAL ELCTRC INC","ADVANCE781DW","EC","ELECTRICAL CONTRACTOR","C","Corporation","604811623",,
"Advanced Construction Services","ADVANCS901MR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601968036","Michaliszyn, Chris","Permits"
"Advanced Construction Services","ADVANCS901MR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601968036","Fietek, Ray","Permits"
"ADVANCED DRILLING LLC","ADVANDL893JQ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603058128",,
"ADVANCED DRILLING LLC","ADVANDL8718E","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603058128",,
"ADVANCED ELEC & ALARM SYS INC","ADVANEA085Q3","EC","ELECTRICAL CONTRACTOR","C","Corporation","601123790",,
"ADVANCED ELEC & SECURITY INC","ADVANES092N7","EC","ELECTRICAL CONTRACTOR","C","Corporation","601271795","Binnie, Brett","Permits"
"Advanced Electrical Design LLC","ADVANED902BH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602975380","Grigsby, Jaimie","Permits"
"Advanced Electrical Design LLC","ADVANED902BH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602975380","Donley, Don","Permits"
"ADVANCED ELECTRICAL SRVCS LLC","ADVANES78916","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604878023",,
"ADVANCED ELECTRICAL TECHNLGIES","ADVANET824LA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601217845","LARSEN, STEFANIE","Permits"
"ADVANCED ELECTRICAL TECHNLGIES","ADVANET824LA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601217845","THOMAS, TARINA","Permits"
"ADVANCED ELECTRICAL TECHNLGIES","ADVANET895R9","EC","ELECTRICAL CONTRACTOR","C","Corporation","601217845",,
"ADVANCED ELECTRIC INC","ADVANEI000DU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601983371","KOSKINIEMI, SUSAN","Permits"
"ADVANCED ELECTRIC INC","ADVANEI000DU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601983371","STEWART, DENNIS","Affidavits and Permits"
"ADVANCED ELECTRIC SIGNS INC","ADVANES071C6","EC","ELECTRICAL CONTRACTOR","C","Corporation","601466326","Sams, Dave","Permits"
"ADVANCED ELECTRIC SOLUTINS LLC","ADVANES876NR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603312408",,
"ADVANCED ENERGY SOLUTIONS LLC","ADVANES831LF","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604098452",,
"ADVANCED ENERGY SYSTEMS INC","ADVANES003C3","EC","ELECTRICAL CONTRACTOR","C","Corporation","601722770",,
"ADVANCED ENTRY SYSTEMS LLC","ADVANES814LL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604467890","Watlington, Kayla","Permits"
"ADVANCED FIRE SYSTEMS INC","ADVANFS8187U","EC","ELECTRICAL CONTRACTOR","C","Corporation","602956650",,
"ADVANCED HEATING & AIR INC","ADVANHA9556F","EC","ELECTRICAL CONTRACTOR","C","Corporation","602526840","Albrecht-Kugan, Kristen","Permits"
"ADVANCED HEATING & AIR INC","ADVANHA9556F","EC","ELECTRICAL CONTRACTOR","C","Corporation","602526840","Gage, Heather","Permits"
"ADVANCED HEATING & COOLING INC","ADVANHC926MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601835414","McCarthy, Robert","Permits"
"ADVANCED HEATING & COOLING INC","ADVANHC926MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601835414","Huff, Elva","Permits"
"ADVANCED HEATING & COOLING INC","ADVANHC926MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601835414","Adams, Nathan","Permits"
"ADVANCED HEATING & COOLING INC","ADVANHC926MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601835414","Davis, Charles","Permits"
"ADVANCED HEATING & COOLING INC","ADVANHC926MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","601835414","Huff, Elizabeth","Permits"
"ADVANCED HOME TECHNOLOGIES LLC","ADVANHT945BJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602571568",,
"ADVANCED HTNG/ELEC SLTNS LLC","ADVANHS8401N","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603607266",,
"ADVANCED IRRIGATION INC","ADVANII934BO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602002682",,
"Advanced Lighting Services LLC","ADVANLS905B1","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602981762",,
"ADVANCED LOCKING SOLUTIONS INC","ADVANLS786DD","EC","ELECTRICAL CONTRACTOR","C","Corporation","603118757","Bakkum, Dannah","Permits"
"ADVANCED LOCKING SOLUTIONS INC","ADVANLS786DD","EC","ELECTRICAL CONTRACTOR","C","Corporation","603118757","O'Brien, John","Permits"
"ADVANCED LOCKING SOLUTIONS INC","ADVANLS786DD","EC","ELECTRICAL CONTRACTOR","C","Corporation","603118757","Newton, Bob","Permits"
"ADVANCED MECHANICAL & PLUMBING","ADVANMP795R3","PC","PLUMBING CONTRACTOR","I","Individual","601597806",,
"ADVANCE DOOR SYSTEMS INC","ADVANDS990MC","EC","ELECTRICAL CONTRACTOR","C","Corporation","601349994",,
"ADVANCED PIPE LINING TECH LLC","ADVANPL785BU","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603451053",,
"ADVANCED PLUMBING & CONST LLC","ADVANPC791RD","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602770021",,
"ADVANCED PLUMBING II LLC","ADVANPI790OW","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604088338",,
"ADVANCED PLUMBING & RMDL LLC","ADVANPR791OP","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602978149",,
"ADVANCED POWER LLC","ADVANPL901OB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602633757",,
"ADVANCED PROTECTION SRVCS INC","ADVANPS9616Z","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411948","ADAMS, TAMMY","Permits"
"ADVANCED PROTECTION SRVCS INC","ADVANPS9616Z","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411948","HUGHES, KAYLEE","Permits"
"ADVANCED PROTECTION SRVCS INC","ADVANPS9616Z","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411948","TAYLOR, CARMELLA","Permits"
"ADVANCED PROT & TECH LLC","ADVANPT910RN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602968297",,
"ADVANCED SEWER SOLUTIONS INC.","ADVANSS786BJ","PC","PLUMBING CONTRACTOR","C","Corporation","603517237",,
"ADVANCED SIGNS LLC","ADVANSL923DP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602635597",,
"ADVANCED SYSTEMS DESIGN","ADVANSD960MZ","EC","ELECTRICAL CONTRACTOR","I","Individual","601502065",,
"Advanced Technlgy Htg/Clg LLC","ADVANTH804CM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603262870",,
"ADVANCED VERTICAL SOLTNS LLC","ADVANVS783ND","LC","ELEVATOR CONTRACTOR","A","Association","604830850",,
"ADVANCE LIGHTING LLC","ADVANLL815PT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601998351",,
"ADVANCE LIGHTING LLC","ADVANLL000BG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601998351","Young, George","Permits"
"ADVANTAGE ALARMS","ADVANA*851DC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603234619",,
"ADVANTAGE AUDIO VISUAL SYS LLC","ADVANAV821DA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603304757",,
"ADVANTAGE DOORS USA","ADVANDU833PC","EC","ELECTRICAL CONTRACTOR","C","Corporation","603587470",,
"Advantage Electric LLC","ADVANEL853C5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603480127",,
"ADVANTAGE ELV/ACCSS SYS CORP","ADVANES929WJ","LC","ELEVATOR CONTRACTOR","C","Corporation","601726807",,
"ADVANTAGE HEAT COOL PLUMB INC","ADVANHC004DA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601918242","Smith, Trish","Permits"
"Advocate Telecom Inc","ADVOCTI864M5","EC","ELECTRICAL CONTRACTOR","C","Corporation","603411166",,
"AEC BAKER ELECTRIC LLC","AECBABE802P2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604543627",,
"A & E ELECTRIC INC","EELECEE935LL","EC","ELECTRICAL CONTRACTOR","C","Corporation","602600656",,
"A & E ENTERPRISES","AEENT**983KC","EC","ELECTRICAL CONTRACTOR","I","Individual","601082926",,
"A&E FACTORY SERVICE","EFACTFS812MT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604425294",,
"A & E FACTORY SERVICE LLC","EFACTEF930PB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602177498",,
"A & E HEATING AND AIR INC","EHEATEH851BZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","603400240","Adkins, Freddie","Affidavits"
"AEI Electric LLC","AEIELEL804NQ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604643673",,
"A+ ELECTRICAL SERVICES INC","ELECTES917QE","EC","ELECTRICAL CONTRACTOR","C","Corporation","602780394",,
"A+ ELECTRIC CONNECTION INC","ELECTEC886DN","EC","ELECTRICAL CONTRACTOR","C","Corporation","603166296",,
"A+ ELECTRIC LLC","AELECEL973L7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602304289",,
"A+ ELECTRIC SERVICE","AELECS*994NO","EC","ELECTRICAL CONTRACTOR","C","Corporation","601512272","Grimsley, Teresa","Affidavits and Permits"
"A+ ELECTRIC SERVICE","AELECS*994NO","EC","ELECTRICAL CONTRACTOR","C","Corporation","601512272","Palmen, Aaron","Affidavits"
"A+ ELECTRIC SERVICE","AELECS*994NO","EC","ELECTRICAL CONTRACTOR","C","Corporation","601512272","Fink, Chris","Affidavits"
"AERO ELECTRIC","AEROE**055OA","EC","ELECTRICAL CONTRACTOR","I","Individual","601654758",,
"AES Electrical Contractors LLC","AESELEC875DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603285697",,
"AFFINITY ELECTRIC LLC","AFFINEL864OZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603431128",,
"AFFORDABLE ELECTRICAL LLC","AFFOREL842B2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603573094",,
"AFFORDABLE ELECTRICIAN","AFFORE*782D2","EC","ELECTRICAL CONTRACTOR","I","Individual","603211702",,
"AFFORDABLE ELECTRIC INC","AFFOREI028DL","EC","ELECTRICAL CONTRACTOR","C","Corporation","601859807","Dyachkin, Alexander","Permits"
"Affordable Land Care LLC","AFFORLC797O7","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604217444",,
"AFFORDABLE PLUMBING NORTHWEST","AFFORPN792RG","PC","PLUMBING CONTRACTOR","I","Individual","602976096",,
"AFFORDABLE PLUMBING SVCS INC","AFFORPS792OT","PC","PLUMBING CONTRACTOR","C","Corporation","603036459",,
"AFFORDABLE WASHINGTN BKFLW LLC","AFFORWB789JR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603562601",,
"AF HONEST HOME SERVICES LLC","AFHONHH7852D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604909432",,
"A-Fix Service Inc","FIXSESI786D5","EC","ELECTRICAL CONTRACTOR","C","Corporation","604859835",,
"AFTER HOURS ELECTRIC LLC","AFTERHE853BZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603465828",,
"AFTER HOURS PLUMBING & HTG INC","AFTERHP795MO","PC","PLUMBING CONTRACTOR","C","Corporation","601703367",,
"AFTER HOURS PLUMBING LLC","AFTERHP790QN","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603570133",,
"AFTERMATH ELECTRIC SRVCS LLC","AFTERES791P7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604799755",,
"Aftershock Electric LLC","AFTEREL846OM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603204735",,
"A-GAME PLUMBING & HEATING LLC","GAMEPPH781DA","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604731161",,
"AGATE PASS ELEC SERVICES LLC","AGATEPE864Q1","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603451436",,
"A G C ELECTRIC INC","AGCELI*150JF","EC","ELECTRICAL CONTRACTOR","C","Corporation","600569276",,
"AGEE ELECTRIC INC","AGEEEI*228RG","EC","ELECTRICAL CONTRACTOR","C","Corporation","600439150","Yaden, Keith","Permits"
"A & G ELECTRICAL INC","GELECGE861BS","EC","ELECTRICAL CONTRACTOR","C","Corporation","603346352","Golubovich, Yuliva","Permits"
"A & G ELECTRICAL INC","GELECGE861BS","EC","ELECTRICAL CONTRACTOR","C","Corporation","603346352","Boyarchuk, Roman","Permits"
"A & G ELECTRIC LLC","GELECGE841KO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603618792",,
"AGK'S ELECTRIC LLC","AGKSEEL929L4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602819123","Boyd, Gregory","Permits"
"AGK'S ELECTRIC LLC","AGKSEEL929L4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602819123","Boyd, Janice","Permits"
"A G Mechanical","GMECHGM785L7","PC","PLUMBING CONTRACTOR","I","Individual","604077142",,
"A GRADE PLUMBING LLC","GRADEPL791NQ","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604745080",,
"A GREAT BREAK ELECTRIC & ALARM","GREATBE925C7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602094981",,
"AGRI-STOR COMPANY NW INC","AGRISCN827KT","EC","ELECTRICAL CONTRACTOR","C","Corporation","603139802","Fuhrman, Jerry","Permits"
"AGRI-STOR COMPANY NW INC","AGRISCN884NC","EC","ELECTRICAL CONTRACTOR","C","Corporation","603139802",,
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","WILLIAMS, BRUCE","Permits"
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","GILBERT, PATRICK T","Affidavits and Permits"
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","DAVIS, BRENNA A","Permits"
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","STEELE, SARAH L","Permits"
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","EVERHEART, TROY G","Permits"
"AHEARN ELECTRIC INC","AHEAREI008PA","EC","ELECTRICAL CONTRACTOR","C","Corporation","602034000","HAMILTON, GLORIA E","Permits"
"A & H HEATING & AC LLC","HHEATHH864OE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603424774",,
"AHTANUM ELECTRIC","AHTANE*886OE","EC","ELECTRICAL CONTRACTOR","C","Corporation","603205315",,
"A & I ELECTRICAL REPAIR INC","IELECRI954BR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602277245",,
"AI ELECTRIC LLC","AIELEEL835MG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604143257",,
"AIM ELECTRIC LLC","AIMELEL918RG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602971337",,
"AIRCO MECHANICAL LLC","AIRCOML894DD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602391892",,
"AIRCON ELECTRIC LLC","AIRCOEL860O6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603431746","Tapani, Leah","Permits"
"AIR CONTROL HEATING & A/C INC","AIRCOHA054Q1","EC","ELECTRICAL CONTRACTOR","C","Corporation","600629144","Whitley, Angela Marcy","Permits"
"AIR CONTROL HEATING & A/C INC","AIRCOHA054Q1","EC","ELECTRICAL CONTRACTOR","C","Corporation","600629144","CHATEAUBRIAND, REBECCA","Permits"
"AIR CONTROL HEATING & A/C INC","AIRCOHA054Q1","EC","ELECTRICAL CONTRACTOR","C","Corporation","600629144","Gillette, Hailie Shawn","Permits"
"AIR DESIGN HTNG & AIRCNDTNG","AIRDEDH8529D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543507","IRWIN, JAMI","Permits"
"AIR DESIGN HTNG & AIRCNDTNG","AIRDEDH8529D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543507","ARMITAGE, NANCY","Permits"
"AIR DESIGN HTNG & AIRCNDTNG","AIRDEDH8529D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543507","LINDEMAN, AARON","Permits"
"AIR DESIGN HTNG & AIRCNDTNG","AIRDEDH8529D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543507","LINDEMAN, LESLIE","Permits"
"AIR DESIGN HTNG & AIRCNDTNG","AIRDEDH8529D","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543507","SCHULZ, JOHN","Permits"
"AIRE PRO INC","AIREPI*000DA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601771753",,
"AIRE SERV OF GIG HARBOR","AIRESSG852QW","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603543539",,
"AIRE SERV OF SPOKANE","AIRESSS881BC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603164427","Johnson, John","Permits"
"AIRE SERV OF SPOKANE","AIRESSS798JZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603164427","Dirk, Darrel","Permits"
"AIR EXCHANGE INC","AIREXEI9445P","EC","ELECTRICAL CONTRACTOR","C","Corporation","602640110",,
"AIR FLO HEATING CO INC","AIRFLHC009C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600347761","Hubbard, Ellie","Permits"
"AIR FLO HEATING CO INC","AIRFLHC009C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600347761","BERSON, JOEL R","Affidavits and Permits"
"AIR FLO HEATING CO INC","AIRFLHC009C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600347761","WILSON, TOM","Permits"
"AIR FLO HEATING CO INC","AIRFLHC009C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600347761","EVELAND, MARK D","Permits"
"AIR FLO HEATING CO INC","AIRFLHC009C8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600347761","VanDusen, Katy","Permits"
"AIR HANDLERS INC","AIRHAI*005C5","EC","ELECTRICAL CONTRACTOR","C","Corporation","342010973","MARGULLIS, STEVE","Permits"
"AIR HANDLERS INC","AIRHAI*005C5","EC","ELECTRICAL CONTRACTOR","C","Corporation","342010973","Lepke, Ruth","Permits"
