"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","insurancecompany","insurancepolicyno","insuranceamt","effectivedate","expirationdate","canceldate","createdate","createdby_waoic_id","lastupdatedate","updatedby_waoic_id","insuranceagencyname"
"323DESIGNS","323DE**802CQ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604579715","Liberty Mutual Ins Co","BLS60985181","1000000","2021-02-18T00:00:00.000","2023-02-18T00:00:00.000",,"2021-03-01T00:00:00.000","208437","2021-03-01T00:00:00.000","208437","DURNEY AGENCY INC"
"345 CONCRETE LLC","345COCL926B8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602766620","Ohio Security Ins Co","BKS (23) 58786571","1000000","2022-05-02T00:00:00.000","2023-05-02T00:00:00.000",,"2022-04-25T00:00:00.000","716766","2022-04-25T00:00:00.000","716766","Business Ins Management Inc"
"345 CONSTRUCTION & FLOORING CO","345COCF826CE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604207327","Developers Surety & Indem Co","BIS00034328-01","1000000","2020-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2020-01-30T00:00:00.000","109618","2022-01-04T00:00:00.000","109618","Insurance Resources & Services"
"3-4-5 Construction Inc","345COCI854BO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603459960","Houston Specialty Ins Co","TEN-25133","1000000","2020-06-01T00:00:00.000","2023-06-01T00:00:00.000",,"2020-06-02T00:00:00.000","64486","2022-05-31T00:00:00.000","64486","JAMES E DICKINSON INS INC"
"3-4-5 Construction Inc","345COCI854BO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603459960","Obsidian Specialty Insurance C","PTC-GL-000001445-00","1000000","2022-06-07T00:00:00.000","2023-06-07T00:00:00.000",,"2022-06-10T00:00:00.000","64486","2022-06-10T00:00:00.000","64486","JAMES E DICKINSON INS INC"
"360 CARPENTRY LLC","360CACL878M2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603316331","Continental Cas Co","C6980865601","1000000","2022-07-19T00:00:00.000","2023-07-19T00:00:00.000",,"2022-07-19T00:00:00.000","221692","2022-07-19T00:00:00.000","221692","ZHELESNOV INS AGENCY"
"360 CONCRETE DESIGN LLC","360COCD823RJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604351003","Ohio Security Ins Co","BKS59345778","1000000","2018-11-29T00:00:00.000","2022-11-29T00:00:00.000",,"2018-12-11T00:00:00.000","L&I Staff","2021-10-29T00:00:00.000","877837","LIBERTY MUTUAL AGENCY CORP"
"360 CONSTRUCTION","360COC*857K1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603433401","Continental Cas Co","C6982584730","1000000","2022-05-21T00:00:00.000","2023-05-21T00:00:00.000",,"2022-05-16T00:00:00.000","721799","2022-05-16T00:00:00.000","721799","PAT PROVENZANO INSURANCE"
"360 Dirt Works LLC","360DIDW835NJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604002904","Hallmark Insurance Company","44CL647138","1000000","2020-12-30T00:00:00.000","2022-12-30T00:00:00.000",,"2021-08-09T00:00:00.000","0","2021-10-29T00:00:00.000","0","BROWN & BROWN NW PORTLAND"
"360 EXCAVATING LLC","360EXEL864JS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603386072","Federated Mutual Ins Co","9329906","1000000","2021-02-07T00:00:00.000","2023-02-07T00:00:00.000",,"2021-10-04T00:00:00.000","L&I Staff","2022-01-10T00:00:00.000","0","FEDERATED MUTUAL INS-Kirkland"
"360 FLOORS & DESIGN LLC","360FLFD818D1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604410759","Ohio Security Ins Co","BZS55646048","1000000","2018-07-10T00:00:00.000","2023-07-10T00:00:00.000",,"2019-03-21T00:00:00.000","L&I Staff","2022-05-26T00:00:00.000","0","BROWN & BROWN NW PORTLAND"
"360 FRAMING + LLC","360FRFL856RZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603555746","Kinsale Insurance Company","01102022GL","1000000","2022-01-10T00:00:00.000","2023-01-10T00:00:00.000",,"2022-01-06T00:00:00.000","41317","2022-01-06T00:00:00.000","41317","Waller Insurance Inc"
"360 HANDY LLC","360HAHL780CP","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604730779","Atlantic Cas Ins Co","L1250056160","1000000","2022-02-11T00:00:00.000","2023-02-11T00:00:00.000",,"2022-02-17T00:00:00.000","L&I Staff","2022-02-17T00:00:00.000","L&I Staff",
"360 HOME SOLUTIONS LLC","360HOHS789KC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604001590","Contractors Bonding & Insuranc","C11SN5871","1000000","2022-02-15T00:00:00.000","2023-02-15T00:00:00.000",,"2022-05-03T00:00:00.000","L&I Staff","2022-05-03T00:00:00.000","L&I Staff",
"360 INDUSTRIES LLC","360INIL819CM","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604347516","MESA UNDERWRITERS SPECIALTY IN","MP0046006012299","1000000","2021-11-26T00:00:00.000","2022-11-26T00:00:00.000",,"2021-12-03T00:00:00.000","820820","2021-12-03T00:00:00.000","820820","WASHINGTON FIRST INSURANCE"
"360 LANDSCAPE & CONSTRUCTION","360LALC845D8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603598985","Ohio Security Ins Co","BKS57212465","1000000","2019-03-15T00:00:00.000","2023-03-15T00:00:00.000",,"2019-01-31T00:00:00.000","91393","2022-02-15T00:00:00.000","106197","SMILEY INSURANCE SERVICES CORP"
"360 Marble and Granite LLC","360MAMG866LB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603405242","Farmers Ins Exchange","607185475","1000000","2022-01-25T00:00:00.000","2023-01-25T00:00:00.000",,"2022-02-01T00:00:00.000","957875","2022-02-01T00:00:00.000","957875","MONICA BALDOCEDA INSURANCE AGY"
"360 NORTHWEST CONSTRUCTION","360NONC792C3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604576973","Ohio Security Ins Co","BKS59481620","1000000","2021-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2021-02-23T00:00:00.000","L&I Staff","2021-12-15T00:00:00.000","14179","M M Fryer & Sons Ins Inc"
"360 PAINTING LLC","360PAPL835K5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604112713","Security National Insurance","NA154614200","1000000","2018-04-19T00:00:00.000","2023-04-19T00:00:00.000",,"2018-04-20T00:00:00.000","L&I Staff","2022-04-15T00:00:00.000","740872","Gilday Insurance Agency"
"360 PAINTING OF BELLEVUE","360PAPB791DN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603033423","Homesite Insurance Company","GLP1104401","1000000","2022-03-11T00:00:00.000","2023-03-11T00:00:00.000",,"2022-03-28T00:00:00.000","735758","2022-03-28T00:00:00.000","735758","MICHOL PHILLIPS AGENCY, THE"
"360 PAINTING OF NORTHWEST WA","360PAPN810R7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604496138","Ohio Security Ins Co","BKS60659703","1000000","2020-12-26T00:00:00.000","2022-12-26T00:00:00.000",,"2020-12-08T00:00:00.000","224596","2021-12-08T00:00:00.000","704037","WHITFIELD UNITED INSURANCE"
"360 PAVER SYSTEM LLC","360PAPS781CN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604732339","Developers Surety & Indem Co","BIS0003809901","1000000","2022-02-10T00:00:00.000","2023-02-02T00:00:00.000",,"2022-02-16T00:00:00.000","L&I Staff","2022-02-16T00:00:00.000","L&I Staff",
"360 PAVING OF WASHINGTON CORP","360PAPW798OW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604712958","Austin Mutual Ins Co","MPJ0578E","2000000","2021-07-28T00:00:00.000","2023-07-28T00:00:00.000",,"2021-09-16T00:00:00.000","L&I Staff","2022-06-16T00:00:00.000","208400","AAA Washington Ins Agency"
"360 PEST SOLUTIONS LLC","360PEPS797OG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604779008","Gemini Ins Co","LGL0007927-01","350000","2022-07-15T00:00:00.000","2023-07-15T00:00:00.000",,"2022-06-13T00:00:00.000","0","2022-06-13T00:00:00.000","0","LIPCA INS AGENCY"
"360 PLUMBING AND SERVICE LLC","360PLPS787MH","PC","PLUMBING CONTRACTOR","A","ACTIVE","603041094","OHIC Insurance Company","BLS58926284","1000000","2022-06-13T00:00:00.000","2023-06-13T00:00:00.000",,"2022-07-08T00:00:00.000","L&I Staff","2022-07-08T00:00:00.000","L&I Staff",
"360 PLUMBING + LLC","360PLPL887PJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603193818","Truck Ins Exchange","605140646","1000000","2017-10-10T00:00:00.000","2022-10-10T00:00:00.000",,"2017-10-17T00:00:00.000","L&I Staff","2021-10-04T00:00:00.000","748650","Girolami Insurance Services"
"360 Remodel","360RER*919KG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602871090","Tokio Marine GRV/RE/FA/HCC Spe","H21AC86083-01","1000000","2022-05-07T00:00:00.000","2023-05-07T00:00:00.000",,"2022-05-09T00:00:00.000","943794","2022-05-09T00:00:00.000","943794","Vern Fonk Ins Services Inc"
"360 Remodel","360RER*919KG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602871090","Houston Casualty Co","H22AC88744-00","1000000","2022-06-17T00:00:00.000","2023-06-17T00:00:00.000",,"2022-06-17T00:00:00.000","943794","2022-06-17T00:00:00.000","943794","Vern Fonk Ins Services Inc"
"360 ROOFING & CONSTRUCTION LLC","360RORC793NB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604650035","Western World Ins Co","CPS3413813","1000000","2022-08-14T00:00:00.000","2023-08-14T00:00:00.000",,"2022-08-12T00:00:00.000","250940","2022-08-12T00:00:00.000","250940","JIM CARL INSURANCE"
"360 ROOFING & CONSTRUCTION LLC","360RORC793NB","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604650035","Western World Ins Co","NPP8931833","1000000","2022-08-14T00:00:00.000","2023-08-14T00:00:00.000",,"2022-08-23T00:00:00.000","250940","2022-08-23T00:00:00.000","250940","JIM CARL INSURANCE"
"360 SIDING & REMODELING LLC","360SISR804KL","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604604556","Security National Insurance","NXTIN5GDX9-01-GL","1000000","2022-02-01T00:00:00.000","2023-02-01T00:00:00.000",,"2022-02-17T00:00:00.000","808791","2022-02-17T00:00:00.000","808791","Perla's Insurance Service"
"360 TREE SERVICE LLC","360TRTS785C5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604824375","Berkley Specialty Insurance Co","CGL0160097","1000000","2022-02-23T00:00:00.000","2023-02-23T00:00:00.000",,"2022-02-25T00:00:00.000","L&I Staff","2022-02-25T00:00:00.000","L&I Staff",
"365 CONSTRUCTION LLC","365COCL822MC","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604298176","United Specialty Insurance Com","CSTMGL0000311-00","1000000","2022-07-14T00:00:00.000","2023-07-14T00:00:00.000",,"2022-07-26T00:00:00.000","889489","2022-07-26T00:00:00.000","889489","JOE PETERSON INS AGENCY"
"365 FLOORING STORIES LLC","365FLFS783M5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604949803","Palomar Excess & Surplus Insur","OGLSAC100008","1000000","2021-12-23T00:00:00.000","2022-12-23T00:00:00.000",,"2022-07-25T00:00:00.000","L&I Staff","2022-07-25T00:00:00.000","L&I Staff",
"365 PAINTING SOLUTIONS","365PAPS829JP","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602952331","Houston Casualty Co","H21AC80175-04","2000000","2021-11-17T00:00:00.000","2022-11-17T00:00:00.000",,"2021-11-03T00:00:00.000","717196","2021-11-03T00:00:00.000","717196","WCFL INSURANCE SERVICES"
"365ROOFING","365RO**794LW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604634253","Atlantic Cas Ins Co","L2210026701","1000000","2022-06-29T00:00:00.000","2023-06-29T00:00:00.000",,"2022-07-06T00:00:00.000","L&I Staff","2022-07-06T00:00:00.000","L&I Staff",
"36 CONSTRUCTION LLC","36CONCL814QK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604508786","Atlantic Cas Ins Co","L125003763-1","2000000","2020-11-12T00:00:00.000","2022-11-12T00:00:00.000",,"2020-11-06T00:00:00.000","970680","2021-10-26T00:00:00.000","970680","Jason Robinson Agency LLC"
"37 REMODELING LLC","37REMRL828B2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603566247","Ohio Security Ins Co","BKS57098755","1000000","2018-01-12T00:00:00.000","2023-01-12T00:00:00.000",,"2018-01-22T00:00:00.000","L&I Staff","2021-11-22T00:00:00.000","54523","HUMBLE&DAVNPORT INS BROKRS INC"
"38 VENTURES LLC","38VENVL790B2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604690991","Country Mutual Ins Co","AB9324691","1000000","2021-11-19T00:00:00.000","2023-02-25T00:00:00.000",,"2021-11-19T00:00:00.000","261693","2021-11-19T00:00:00.000","261693","JOSHUA C KUCHENMEISTER F/S/INC"
"3 AMIGOS CARPET & FLOORING LLC","3AMIGAC820QH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604349196","HISCOX INSURANCE COMPANY INC","UDC-4968522-CGL-21","1000000","2021-09-24T00:00:00.000","2022-09-24T00:00:00.000",,"2021-09-24T00:00:00.000","247137","2021-09-24T00:00:00.000","247137","Accurate Insurance Inc"
"3A REMODELING","3AREMR*826Q7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604354435","CLEAR SPRING PROPERTY AND CASU","CB002058400","1000000","2021-12-01T00:00:00.000","2022-12-01T00:00:00.000",,"2021-11-03T00:00:00.000","833713","2021-11-03T00:00:00.000","833713","TP INSURANCE GROUP INC"
"3 BROTHERS CONSTRUCTION LLC","3BROTBC825CW","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604214498","Developers Surety & Indem Co","BIS00036157-02","1000000","2022-02-14T00:00:00.000","2023-02-14T00:00:00.000",,"2022-01-25T00:00:00.000","889489","2022-01-25T00:00:00.000","889489","JOE PETERSON INS AGENCY"
"3 BROTHERS DECKING LLC","3BROTBD817J6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604445241","Kinsale Insurance Company","09033535","1000000","2021-08-17T00:00:00.000","2023-08-17T00:00:00.000",,"2021-08-18T00:00:00.000","247137","2022-08-17T00:00:00.000","247137","Accurate Insurance Inc"
"3 CITIES PAINTING & RESURF","3CITICP795QS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604763058","Liberty Mutual Ins Co","BLS63938363","1000000","2021-10-06T00:00:00.000","2023-10-06T00:00:00.000",,"2021-11-10T00:00:00.000","L&I Staff","2022-06-02T00:00:00.000","792907","HARVEY-MONTEITH INSURANCE"
"3 CITIES REFRIGERATION LLC","3CITICR816DO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604407693","Country Mutual Ins Co","AM9279420","1000000","2019-03-20T00:00:00.000","2023-03-20T00:00:00.000",,"2019-03-20T00:00:00.000","L&I Staff","2022-02-15T00:00:00.000","182881","CC Services Inc"
"3 C M STONE INC","3CMSTCM950LA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602508084","Midwest Family Mutual Ins Co","CPOR0560128676","1000000","2021-05-11T00:00:00.000","2023-05-11T00:00:00.000",,"2021-05-10T00:00:00.000","0","2022-04-19T00:00:00.000","0","ELLIOTT POWELL BADEN/BAKER INC"
"3 CORNER CONSTRUCTION LLC","3CORNCC781OK","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604954047","CLEAR SPRING PROPERTY AND CASU","CB002816900","1000000","2022-08-10T00:00:00.000","2023-08-10T00:00:00.000",,"2022-09-12T00:00:00.000","L&I Staff","2022-09-12T00:00:00.000","L&I Staff",
"3-C'S","3CS****943P7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602663656","Houston Specialty Ins Co","TEN27357","2000000","2021-09-21T00:00:00.000","2022-09-21T00:00:00.000",,"2021-09-17T00:00:00.000","758937","2021-09-17T00:00:00.000","758937","BUSINESS & CNTRS INS SVS INC"
"3 DAY BLINDS LLC","3DAYBDB842KS","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602911562","Ace American Insurance Company","G46674480","2000000","2022-05-01T00:00:00.000","2023-05-01T00:00:00.000",,"2022-05-19T00:00:00.000","500333","2022-05-19T00:00:00.000","500333","Aon Risk - Chicago"
"3-D CONSTRUCTION & DESIGN LLC","3DCONCD824JJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604239586","Developers Surety & Indem Co","BIS00028014","1000000","2021-05-01T00:00:00.000","2023-05-01T00:00:00.000",,"2021-04-13T00:00:00.000","234860","2022-04-14T00:00:00.000","234860","MITCHELL REED & ASSOCIATES INC"
"3-D CONSTRUCTION INC","3DCONI*013O1","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601978709","Contractors Bonding & Insuranc","INSSC3854","1000000","2016-09-21T00:00:00.000","2023-09-21T00:00:00.000",,"2016-08-05T00:00:00.000","155583","2022-07-29T00:00:00.000","239500","CALROSE INSURANCE"
"3D CONTRACTING SERVICES LLC","3DCONCS787B8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604839898","Preferred Contractors Ins Co R","PCA5026PC422819","1000000","2022-01-24T00:00:00.000","2023-01-24T00:00:00.000",,"2022-01-28T00:00:00.000","L&I Staff","2022-01-28T00:00:00.000","L&I Staff",
"3D DRYWALL INC","3DDRYDI912KN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602905627","Obsidian Specialty Insurance C","PTC-GL-000001342-00","1000000","2022-05-29T00:00:00.000","2023-05-29T00:00:00.000",,"2022-05-20T00:00:00.000","158751","2022-05-20T00:00:00.000","158751","DUANE WEBER INSURANCE INC"
"3-D EXCAVATION","3DEXC**025OJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601878465","Ohio Cas Ins Co","BKO56687996","300000","2021-09-11T00:00:00.000","2023-09-11T00:00:00.000",,"2021-09-13T00:00:00.000","124519","2022-07-29T00:00:00.000","194445","NORM WALLACE AGENCY INC"
"3D FLOORING","3DFLOF*815JA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604387569","Ohio Security Ins Co","BKS64341046","1000000","2022-01-27T00:00:00.000","2023-01-27T00:00:00.000",,"2022-01-28T00:00:00.000","869736","2022-01-28T00:00:00.000","869736","LIBERTY MUTUAL AGENCY CORP"
"3D FLOORS LLC","3DFLOFL787DN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604865962","Third Coast Insurance Company","GLSISTC001685222","1000000","2022-03-11T00:00:00.000","2023-03-11T00:00:00.000",,"2022-03-16T00:00:00.000","L&I Staff","2022-03-16T00:00:00.000","L&I Staff",
"3D GUTTERS LLC","3DGUTGL805NP","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604631230","Ohio Security Ins Co","BWG61092012","1000000","2020-03-10T00:00:00.000","2023-03-10T00:00:00.000",,"2020-08-17T00:00:00.000","L&I Staff","2022-03-02T00:00:00.000","0","AMERICAN INS & LOAN CO INC"
"3D HANDYMANPRO","3DHANH*780LZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604914507","Contractors Bonding & Insuranc","C11SN6844","1000000","2022-05-24T00:00:00.000","2023-05-25T00:00:00.000",,"2022-06-09T00:00:00.000","L&I Staff","2022-06-09T00:00:00.000","L&I Staff",
"3 D INSTALLATIONS","3DINS**993OG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602020926","Western National Assur Co","BOP 1001765","1000000","2018-08-17T00:00:00.000","2023-08-17T00:00:00.000",,"2018-07-27T00:00:00.000","763348","2022-06-23T00:00:00.000","763348","MULVHILL INSURANCE SERVICES"
"3D ROOFING","3DROOR*871CO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603277230","Preferred Contractors Ins Co R","PCCM428442","1000000","2022-03-19T00:00:00.000","2023-03-19T00:00:00.000",,"2022-03-21T00:00:00.000","105798","2022-03-21T00:00:00.000","105798","SHIRREFF INS AGENCY"
"3-D ROOF SYSTEMS LLC","3DROOSL982CJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602180627","Gemini Ins Co","VCGP026970","1000000","2022-08-31T00:00:00.000","2023-08-31T00:00:00.000",,"2022-08-31T00:00:00.000","144353","2022-08-31T00:00:00.000","144353","GUNNING & ASSOCIATES INC"
"3-D Sheet Metal LLC","3DSHESM883DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603155186","Nautilus Ins Co","NN1285388","1000000","2021-06-29T00:00:00.000","2023-06-29T00:00:00.000","2022-07-07T00:00:00.000","2021-06-30T00:00:00.000","0","2022-07-07T00:00:00.000","0","KIBBLE & PRENTICE HOLDING CO"
"3-D Sheet Metal LLC","3DSHESM883DA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603155186","Nautilus Ins Co","NPP1430830","1000000","2022-06-29T00:00:00.000","2023-06-29T00:00:00.000",,"2022-07-07T00:00:00.000","0","2022-07-07T00:00:00.000","0","GRIFFIN MACLEAN INSURANCE"
"3-D's HELPFUL HANDYMEN LLC","3DSHEHH796PA","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604791692","MESA UNDERWRITERS SPECIALTY IN","MP0043001008065","1000000","2021-09-24T00:00:00.000","2022-09-24T00:00:00.000",,"2021-10-01T00:00:00.000","L&I Staff","2021-10-01T00:00:00.000","L&I Staff",
"3D WATERPROOFING LLC","3DWATWL811CE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604375898","Associated Industries Ins Co I","AES1212194 01","1000000","2022-07-24T00:00:00.000","2023-07-24T00:00:00.000",,"2022-07-14T00:00:00.000","851110","2022-07-14T00:00:00.000","851110","DJM INSURANCE SERVICES"
"3E COUNTERTOPS LLC","3ECOUCL783MJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604918647","State National Ins Co Inc","NXT3W4LWXQ00GL","1000000","2022-07-01T00:00:00.000","2023-07-01T00:00:00.000",,"2022-07-11T00:00:00.000","L&I Staff","2022-07-11T00:00:00.000","L&I Staff",
"3 FAVORITES DRYWALL LLC","3FAVOFD828Q9","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604280765","Ohio Security Ins Co","BKS59181588","1000000","2018-09-21T00:00:00.000","2023-09-21T00:00:00.000",,"2018-11-29T00:00:00.000","L&I Staff","2022-09-12T00:00:00.000","1007890","W Ins Group"
"3 FOLD PAINTING","3FOLDFP799LN","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604758608","State Farm Fire & Cas Co","97CMP8575","1000000","2022-06-15T00:00:00.000","2023-06-15T00:00:00.000",,"2022-06-21T00:00:00.000","909822","2022-06-21T00:00:00.000","909822","Jared Langford"
"3GC HOMES INC","3GCHOHI783JE","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604861070","United Fire and Casualty Co","60532787","1000000","2022-01-19T00:00:00.000","2023-01-19T00:00:00.000",,"2022-04-05T00:00:00.000","L&I Staff","2022-04-05T00:00:00.000","L&I Staff",
"3G CONSTRUCTION","3GCONC*859ON","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603372742","Houston Casualty Co","H21AC82274-02","1000000","2021-09-15T00:00:00.000","2022-09-15T00:00:00.000",,"2021-09-15T00:00:00.000","751982","2021-09-15T00:00:00.000","751982","MCCONKEY TURNER INS AGENCY"
"3G CONTRACTORS LLC","3GCONCL907BO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602974778","Kinsale Insurance Company","0100161783-1","1000000","2022-09-11T00:00:00.000","2023-09-11T00:00:00.000",,"2022-09-09T00:00:00.000","1061863","2022-09-09T00:00:00.000","1061863","Business Ins Management Inc"
"3 GENS DRYWALL LLC","3GENSGD802L4","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604586692","Contractors Bonding & Insuranc","C11SM8308","1000000","2021-05-04T00:00:00.000","2023-05-04T00:00:00.000",,"2021-05-10T00:00:00.000","799307","2022-05-02T00:00:00.000","799307","Custer Insurance Agency Inc"
"3G PLUMBING SOLUTIONS LLC","3GPLUPS888QA","CC","CONSTRUCTION CONTRACTOR","R","RE-LICENSED","603248046","American Hallmark Ins Co of Te","44CL9004648","1000000","2020-11-01T00:00:00.000","2022-11-01T00:00:00.000",,"2020-10-23T00:00:00.000","962974","2021-09-30T00:00:00.000","835189","RICE INSURANCE LLC"
"3G PLUMBING SOLUTIONS LLC","3GPLUPS794QT","PC","PLUMBING CONTRACTOR","A","ACTIVE","603248046","American Hallmark Ins Co of Te","44CL9004648","1000000","2021-11-01T00:00:00.000","2023-11-01T00:00:00.000",,"2021-12-02T00:00:00.000","L&I Staff","2022-09-08T00:00:00.000","835189","RICE INSURANCE LLC"
"3-G'S CONSTRUCTION","3GSCOC*979OJ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602325236","State Farm Fire & Cas Co","98C0J0319F","300000","2022-02-04T00:00:00.000","2023-02-04T00:00:00.000",,"2022-02-25T00:00:00.000","L&I Staff","2022-02-25T00:00:00.000","L&I Staff",
"3H CONSTRUCTION LLC","3HCONCL780MO","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604909446","CLEAR SPRING PROPERTY AND CASU","CB002737000","1000000","2022-07-15T00:00:00.000","2023-07-15T00:00:00.000",,"2022-07-20T00:00:00.000","L&I Staff","2022-07-20T00:00:00.000","L&I Staff",
"3H EXCAVATION","3HEXCE*811RD","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602904499","Ohio Security Ins Co","BLS63447313","1000000","2021-11-26T00:00:00.000","2022-11-26T00:00:00.000",,"2021-12-06T00:00:00.000","0","2021-12-06T00:00:00.000","0","AMERICAN INS & LOAN CO INC"
"3 IN 1 CONSTRUCTION LLC","31CON1C796D2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604713173","Preferred Contractors Ins Co R","pca5026pccm424140","1000000","2022-03-08T00:00:00.000","2023-03-08T00:00:00.000",,"2022-03-08T00:00:00.000","L&I Staff","2022-03-08T00:00:00.000","L&I Staff",
"3 KINGS ENVIRONMENTAL INC","3KINGEI036K3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","601705284","Nautilus Ins Co","ECP2027739-13","2000000","2021-11-30T00:00:00.000","2022-11-30T00:00:00.000",,"2021-11-29T00:00:00.000","851266","2021-11-29T00:00:00.000","851266","ANCHOR INSURANCE & SURETY INC"
"3 LINES ROOFING LLC","3LINELR792L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604756012","Developers Surety & Indem Co","BNA00000235-01","1000000","2022-05-23T00:00:00.000","2023-05-23T00:00:00.000",,"2022-05-23T00:00:00.000","751982","2022-05-23T00:00:00.000","751982","MCCONKEY TURNER INS AGENCY"
"3 Little Pigs Masonry LLC","3LITTLP906J3","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603009738","Ohio Security Ins Co","55592352","1000000","2015-05-21T00:00:00.000","2023-05-21T00:00:00.000",,"2015-04-13T00:00:00.000","14179","2022-04-01T00:00:00.000","14179","M M Fryer & Sons Ins Inc"
"3MB CONSTRUCTION","3MBCOC*902O2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","602722740","MESA UNDERWRITERS SPECIALTY IN","MP0004023000756","1000000","2021-09-22T00:00:00.000","2022-09-22T00:00:00.000",,"2021-09-21T00:00:00.000","851110","2021-09-21T00:00:00.000","851110","DJM INSURANCE SERVICES"
