"funding_program","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open_yr_1","application_closed_yr_1","application_open_yr_2","application_closed_yr_2","funding_award_duration","additional_application","supplemental_information","last_updated"
"Washington Wildlife and Recreation Program - Forestland Preservation Category","http://www.rco.wa.gov/grants/ForestPreservationGrantsProgram.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and restoration of forestlands.","Acquisition of property rights through a conservation easement,
Combination of acquisition and habitat enhancement or restoration.","n/a","50%","Cities, Counties, and Nonprofit Conservancies
By statute, cities, counties, and nonprofit nature conservancies must contribute matching resources at least equal to the amount of the grant requested. Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source.                                   The State Conservation Commission is not required to provide a matching share.","$   350,000","The maximum grant request can be $350,000. There is no minimum grant amount. Habitat enhancement or restoration activities must be less than 50 percent of the acquisition cost of the project including any in-kind contribution by any party","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Local Parks Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of recreation lands.","Land acquisition, Development or renovation, combination (acquisition and development/renovation)","n/a","50%","Exceptions: Match may be reduced for communities in need, underserved populations, counties in need, or communities providing facilities in federal disaster areas.","$500,000 (Development); $1,000,000 (Acquisition)","Acquisition: $1 million
Development: $500,000
Combination: $1 million","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Natural Areas Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of conservation lands.","Acquisition,
Development,
Combination (acquisition and development)","n/a","Nonprofit nature conservancies: 50 percent
State agencies: No match required","By statute, local agencies, Native American tribes, and eligible nonprofit organizations, must contribute matching resources at least equal to the amount of the grant requested. Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source.","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Riparian Protection Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and restoration of riparian lands.","Acquisition,
Development, Restoration,
Combination (acquisition and development and/or restoration)","n/a","50%","By statute, local agencies, Native American tribes, and eligible nonprofit organizations, must contribute matching resources at least equal to the amount of the grant requested. Applicants must provide a minimum of 10 percent of the total cost of a project in the form of a local contribution, not from a state or federal source.","NULL","$25,000 minimum grant request","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - State Lands Development Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports the development and restoration of state lands.","Development or renovation","n/a","0%","n/a","$   325,000","$25,000-$325,000","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - State Lands Restoration Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports the restoration and enhancement of state lands","Restoration, Enhancement","n/a","0%","n/a","$   1,000,000","Single site project: $25,000-$1 million;
Multi-site project: $25,000-$500,000","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - State Parks Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of recreation lands.","Acquisition,
Development,
Combination (acquisition and development)","n/a","0%","n/a","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Trails Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of recreation lands.","Acquisition,
Development or Renovation,
Combination (acquisition and development)","n/a","50%","Exceptions: Match may be reduced for communities in need, underserved populations, counties in need, or communities providing facilities in federal disaster areas.","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Urban Wildlife Category","http://www.rco.wa.gov/grants/wwrp.shtml","Washington State Recreation and Conservation Office","Active","Marguerite Austin; (360) 902-3016; Marguerite.Austin@rco.wa.gov","Karl Jacobs; (360) 902-3084; Karl.Jacobs@rco.wa.gov","Grant","Funding supports acquisition and development of conservation lands.","Acquisition,
Development,
Combination (acquisition and development)","n/a","50%","n/a","NULL","n/a","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-05-01T00:00:00.000","2-3 years with potential extension","n/a","n/a","2018-10-15T00:00:00.000"
"National Coastal Wetlands Conservation Grant Program (USFWS)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Wetlands-conservation-grants","U.S. Fish and Wildlife Service","Active","Rich Carlson; (360) 753-5829; rich_carlson@fws.gov","Chris Swenson; (503) 231-6758; chris_swenson@fws.gov","Grant","The National Coastal Wetlands Conservation Grant Program annually provides grants of up to $1 million to coastal and Grant Lakes states, as well as U.S. Territories to protect, restore and enhance coastal wetland ecosystems and associated uplands.  The grants are funded through the Sport Fish Restoration and Boating Trust Fund, which is supported by excise taxes on fishing equipment an motorboat fuel.","The USFWS  awards habitat restoration and/or acquisition grants of up to $1 million to states based on a national competition.  While awards are made to state agencies, NGOs, Tribes, and Local entities can be sub-recipients of a grant.","USFWS Wildlife Sport Fish and Restoration, Region 1, Portland Oregon.","25%","Minimum 25% non-federal match with additional points awarded for increased match.","$   1,000,000","$1M maximum federal award.","2018-02-01T00:00:00.000","2018-06-29T00:00:00.000","2019-02-01T00:00:00.000","2019-06-29T00:00:00.000","2 years with potential extension.","Non-state entities should contact Heather Kapust at hkap461@ecy.wa.gov.  State agencies should contact rich_carlson@fws.gov",,"2019-03-22T00:00:00.000"
