"project_name","preserve","vicinity","latitude","longitude","approx_size_in_acres","species_common_name","objectives","status","year","season","ipm_method_type","methods","crew","notes","upload_date","geo_location"
"Maintenance: Indian Valley Prune","Indian Valley","Indian Valley Fire Road","38.080266","-122.591606","6.42","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.591606 38.080266)"
"Maintenance: Cascade Canyon Mow","Cascade Canyon","Toyon Tanks Fire Road","37.979627","-122.606469","1.39","Mixed vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Mow","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.606469 37.979627)"
"Maintenance: Verissimo Hills Mow","Verissimo Hills","Stafford Lake Trail","38.104666","-122.633247","1.33","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.633247 38.104666)"
"Ring Mountain Broom Control","Ring Mountain","Phyllis Ellman Trail, Loop Trail, Taylor Fire Road, Ring Mountain Fire Road, Reed Ranch Fire Road, Shepherd Way Fire Road","37.91252","-122.49155","6.6","Broom","Invasive species control, Fire fuel reduction","Completed","2018","Spring","Non-chemical","Hand pull","Parks Resources Team, Contracted Services, Conservation Corps North Bay, Volunteers",,"2022-01-04T00:00:00.000","POINT (-122.49155 37.91252)"
"Districtwide Thoroughwort Control","All preserves","All preserves","38.06","-122.45","2.8","Thoroughwort","Invasive species control","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.06)"
"Maintenance: Point Reyes Playground Mow","Point Reyes Playground","Side of Hwy 1 and trails","38.065487","-122.807372","1.41","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks","As Needed","2022-01-04T00:00:00.000","POINT (-122.807372 38.065487)"
"King Mountain Fuelbreak","King Mountain","Above and below Citron Fire Road","37.939359","-122.542514","20","Acacia, Broom, Eucalyptus","Fire fuel reduction, Invasive species control","Completed","2021","Winter","Chemical","Triclopyr (Vastlan)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Maintenance: Pacheco Valle Mow","Pacheco Valle","Sign at Curlew Way/ Ponti Fire Road","38.046817","-122.545562","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.545562 38.046817)"
"Maintenance: McNear's Beach Park Mow","McNear's Beach Park","Overflow lot","37.989879","-122.449765","0.41","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.449765 37.989879)"
"Corte Madera Ridge Access and Fuelbreak","Blithedale Summit","East end Corte Madera Ridge Fire Road","37.923088","-122.541672","13","Broom","Fire fuel reduction","Completed","2019","Winter","Non-chemical","Weed whip, Hand pull","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.541672 37.923088)"
"Maintenance: Roy's Redwoods Mow","Roy's Redwoods","Roy's Meadow Gate Area","38.020547","-122.661498","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.661498 38.020547)"
"Maintenance: McNear's Beach Park Mow","McNear's Beach Park","Defensible space behind Marin Bay community","37.994066","-122.455003","1.97","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.455003 37.994066)"
"Maintenance: Agate Beach Mow","Agate Beach","Agate Beach parking lot","37.897103","-122.708817","0.02","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.708817 37.897103)"
"Maintenance: Blithedale Summit Mow","Blithedale Summit","Greenwood Way","37.913614","-122.54416","0.49","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.54416 37.913614)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2013","Summer","Chemical","Glyphosate (Aquamaster)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road","38.135996","-122.593221","1270","Mixed vegetation","Fire fuel reduction","Completed","2014","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Maintenance: Loma Alta Prune","Loma Alta","Gunshot Fire Road","38.012249","-122.615818","5.73","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.615818 38.012249)"
"Roy’s Redwoods Broom Control","Roy's Redwoods","Roy's Redwoods Loop Trail, Dickson Ridge Fire Road","38.01813","-122.66095","0.1","Broom","Invasive species control, Fire fuel reduction","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.66095 38.01813)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Vendola East","38.014642","-122.512632","5.64","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.512632 38.014642)"
"Ring Mountain Invasive Annual Grass Control","Ring Mountain","Ring Mountain Fire Road, Taylor Fire Road","37.91057","-122.49633",,"Invasive annual grasses (e.g. wild oat, Italian wild rye)","Invasive species control","Upcoming","2022","Spring","Non-chemical","Weed whip","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49633 37.91057)"
"Maintenance: Camino Alto Mow","Camino Alto","Corte Madera Ave","37.920259","-122.530099","0.06","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.530099 37.920259)"
"Lucas Valley Vernal Pool Restoration & Stewardship","Terra Linda Sleepy Hollow","Lucas Valley Road","38.02601","-122.54771","0.25","Pennyroyal","Invasive species control","Upcoming","2022","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.54771 38.02601)"
"French Ranch Broom Control","French Ranch","Moon Hill Trail, Barnabe Mountain Fire Road, Top Flight Trail, School Trail","38.02417","-122.672","3","Broom","Invasive species control, Fire fuel reduction","Completed","2021","Spring, Fall","Non-chemical","Hand pull, Cut","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.672 38.02417)"
"Corte Madera Ridge Access and Fuelbreak","Blithedale Summit","East end Corte Madera Ridge Fire Road","37.923088","-122.541672","13","Broom","Fire fuel reduction","Upcoming","2022","Winter","Non-chemical","Weed whip, Hand pull","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.541672 37.923088)"
"Maintenance: McNear's Beach Park Mow","McNear's Beach Park","Overflow lot","37.989654","-122.450414","1.34","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.450414 37.989654)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.898286","-122.546985","0.29","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.546985 37.898286)"
"Maintenance: Tam Valley Mow","Tam Valley","Durant Way","37.870285","-122.531118","5.44","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.531118 37.870285)"
"Camino Alto Fuelbreak: Phase II","Camino Alto","Around Del Casa Fire Road as well as near Val Vista Trail","37.90959083","-122.5320033","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2012","Spring","Non-chemical","Burn piles","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5320033 37.90959083)"
"Mount Burdell Yellow Star Thistle Control","Mount Burdell","Eagle Rim Trail, Cobblestone Fire Road, Middle Burdell Fire Road, San Andreas Fire Road, San Marin Fire Road, Dwarf Oak Trail","38.13588","-122.59513","52","Yellow star thistle","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.59513 38.13588)"
"King Mountain Fuelbreak","King Mountain","Above and below Citron Fire Road","37.939359","-122.542514","20","Acacia, Broom, Eucalyptus","Fire fuel reduction, Invasive species control","Completed","2020","Winter","Chemical","Triclopyr (Vastlan)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2013","Spring","Chemical","Glyphosate (Aquamaster)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Conifer Way","Gary Giacomini","Conifer Way","38.00852767","-122.6485642","0.8","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.6485642 38.00852767)"
"Maintenance: Ring Mountain Mow","Ring Mountain","Paseo Mirasol","37.908122","-122.497094","0.32","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.497094 37.908122)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control","Completed","2021","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Maintenance: Homestead Valley Mow","Homestead Valley","Pixie Trail","37.899831","-122.549602","0.33","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.549602 37.899831)"
"Maintenance: Old St. Hilary's Mow","Old St. Hilary's","End of Heathcliff","37.887665","-122.455545","0.01","Mixed vegetation","Ignition Prevention",,"2022",,"Non-chemical","Mow","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.455545 37.887665)"
"Maintenance: Baltimore Canyon Prune","Baltimore Canyon","Southern Marin Line Fire Road","37.932577","-122.559173","6.23","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.559173 37.932577)"
"King Mountain Fuelbreak","King Mountain","Above and below Citron Fire Road","37.939359","-122.542514","20","Mixed vegetation","Fire fuel reduction, Invasive species control","Completed","2021","Summer","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Maintenance: Lucas Valley Prune","Lucas Valley","Big Rock Trial","38.052475","-122.617501","2.79","Mixed woody vegetation","Other",,"2022","Fall","Non-chemical","Prune",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.617501 38.052475)"
"Camino Alto Fuelbreak: Phase II","Camino Alto","Around Del Casa Fire Road as well as near Val Vista Trail","37.90959083","-122.5320033","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2017","Spring","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5320033 37.90959083)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Crestwood Drive to California","37.985091","-122.547281","0.96","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.547281 37.985091)"
"Maintenance: Black Point Mow","Black Point",,"38.114562","-122.50657","0.1","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.50657 38.114562)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control","Completed","2019","Winter","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Maintenance: Bolinas Park Mow","Bolinas Park",,"37.906119","-122.686434","0.3","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.686434 37.906119)"
"Maintenance: Mt Burdell Prune","Mt Burdell","(upper) Cobblestone Fire Road","38.141019","-122.593576","1.99","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.593576 38.141019)"
"Maintenance: Rush Creek Mow","Rush Creek","Bahia Trail","38.128141","-122.535278","4.23","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.535278 38.128141)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.896521","-122.555931","0.13","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.555931 37.896521)"
"Ring Mountain Harding Grass Control","Ring Mountain","Phyllis Ellman Trail","37.92028","-122.49415",,"Harding grass","Invasive species control","Upcoming","2022","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49415 37.92028)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Sleepy Hollow Drive Gate","38.009628","-122.576862","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.576862 38.009628)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Rosal Way","38.016659","-122.512454","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.512454 38.016659)"
"Maintenance: Loma Verde Mow","Loma Verde","Via Escondida","38.061603","-122.542849","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.542849 38.061603)"
"Maintenance: Gary Giacomini Mow","Gary Giacomini","Chaparral Trail","38.010819","-122.649891","0.57","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.649891 38.010819)"
"Old Saint Hilary's Broom Control","Old St. Hilary's","Heathcliff Fire Road, Vistazo Fire Road","37.88367","-122.45436","4.7","Broom","Invasive species control, Fire fuel reduction","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team, Volunteers",,"2022-01-04T00:00:00.000","POINT (-122.45436 37.88367)"
"Gary Giacomini Broom Control","Gary Giacomini","White Hill Fire Road, Conifer Fire Road, East Sylvestris Fire Road, Caterpillar Trail","38.00465","-122.67159","3.5","Broom","Invasive species control, Fire fuel reduction","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team, Volunteers",,"2022-01-04T00:00:00.000","POINT (-122.67159 38.00465)"
"Maintenance: French Ranch Prune","French Ranch","French Ranch Fire Road","38.027102","-122.678171","1.77","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.678171 38.027102)"
"Maintenance: Black Point Mow","Black Point",,"38.114768","-122.507207","0.02","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.507207 38.114768)"
"Maintenance: Bayside Park Mow","Bayside Park",,"37.978769","-122.475017","0.01","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.475017 37.978769)"
"Ring Mountain Tocalote Thistle Control","Ring Mountain","Ring Mountain Fire Road","37.91177","-122.49128","4","Tocalote","Invasive species control","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49128 37.91177)"
"Ring Mountain Fennel Control","Ring Mountain","Ring Mountain Fire Road, Reed Ranch Fire Road","37.91099","-122.49699",,"Fennel","Invasive species control","Upcoming","2022","Summer, Fall","Non-chemical, Chemical","Triclopyr (Vastlan), Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49699 37.91099)"
"Maintenance: Ring Mountain Mow","Ring Mountain","Taylor @ Bond","37.914763","-122.486909","0.13","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.486909 37.914763)"
"Hillside Fuelbreak","Blithedale Summit","South end of Blithedale Ridge Fire Road above Hillside Ave.","37.91252962","-122.542517","14","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2011","Spring","Chemical","Glyphosate (Aquamaster)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542517 37.91252962)"
"Ring Mountain Monterey Pine Control","Ring Mountain","Endeavor Fire Road, Phyllis Ellman Trail, Loop Trail, Taylor Road, Reed Ranch Fire Road","37.91472","-122.49691","3","Monterey pine","Invasive species control, Fire fuel reduction","Completed","2020","Spring, Summer, Fall, Winter","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49691 37.91472)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Palmera Way","38.014445","-122.512548","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.512548 38.014445)"
"680 Trail Mitigation","Loma Alta","680 Trail","38.023484","-122.589233","1","Purple starthistle","Invasive species control","Completed","2017","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.589233 38.023484)"
"Maintenance: Tam Valley Mow","Tam Valley","Countyview Dr","37.87187","-122.5335","4.21","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.5335 37.87187)"
"Mount Burdell Goatgrass Control","Mount Burdell","Middle Burdell Fire Road, Cobblestone Fire Road, San Andreas Fire Road, Serpentine Fire Road,","38.13715","-122.59703","10","Goatgrass","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.59703 38.13715)"
"Maintenance: Camino Alto Mow","Camino Alto","Adjacent to 16 & 18 Escalon Drive","37.907675","-122.532449","0.13","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.532449 37.907675)"
"Blithedale Ridge Access and Fuelbreak","Blithedale Summit","Blithedale Ridge Fire Road from Corte Madera Ridge intersection to Two Tanks intersection","37.925509","-122.552242","11","Broom","Fire fuel reduction","Completed","2020","Winter","Non-chemical","Hand pull","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.552242 37.925509)"
"Maintenance: Agate Beach Mow","Agate Beach","Agate Beach trails","37.89665","-122.709459","0.11","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.709459 37.89665)"
"Maintenance: Verissimo Hills Mow","Verissimo Hills","Oak Valley trail","38.106709","-122.622966","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.622966 38.106709)"
"Maintenance: Tam Valley Mow","Tam Valley","Carrera Drive","37.871786","-122.529184","2.2","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.529184 37.871786)"
"Ridgewood Fuelbreak","Terra Linda Sleepy Hollow","Ridgewood Fire Road","37.9925","-122.5564579","0.04","Blue gum eucalyptus","Fire fuel reduction, Invasive species control, Emergency access","Completed","2019","Winter","Non-chemical","Cover (fabric or plastic)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.5564579 37.9925)"
"Maintenance: Cal Park Tunnel Mow","Cal Park Tunnel","Cal Park Tunnel North","37.956662","-122.507794","1.06","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.507794 37.956662)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Ridgewood Drive End","37.991458","-122.550427","0.17","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.550427 37.991458)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.899727","-122.547374","0.36","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.547374 37.899727)"
"Mount Burdell Goatgrass Control","Mount Burdell","Middle Burdell Fire Road, Cobblestone Fire Road, San Andreas Fire Road, Serpentine Fire Road,","38.13715","-122.59703",,"Goatgrass","Invasive species control","Upcoming","2022","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.59703 38.13715)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2019","Spring","Non-chemical","Hand pull","Parks Resources Team, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.901982","-122.556141","0.32","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.556141 37.901982)"
"Camino Alto Fuelbreak: Phase III","Camino Alto","East of Camino Alto Fire Road in the north, plus areas east of Escalon Fire Road in the region north of the intersection with Del Casa Fire Road","37.9155003","-122.5273579","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2018","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5273579 37.9155003)"
"Maintenance: Paradise Beach Park Mow","Paradise Beach Park","Lawns (turf mow), landscape areas, perimeter fence lines, trails, beach access, and slopes","37.8932","-122.457126","12.82","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.457126 37.8932)"
"Cedar Hill Drive","Terra Linda Sleepy Hollow","Cedar Hill","38.02637973","-122.5496484","2.1","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2021","Spring","Non-chemical","Burn piles","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5496484 38.02637973)"
"Maintenance: Ring Mountain Mow","Ring Mountain","Reed Ranch Fire Road entrance gate","37.907934","-122.49494","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.49494 37.907934)"
"Maintenance: Deer Island Mow","Deer Island","Deer Island Ln.","38.098956","-122.53432","1.24","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.53432 38.098956)"
"Maintenance: Stafford Lake Mow","Stafford Lake","16 feet wide from the center of the road with a fire department turn around at terminus.","38.109488","-122.654048","2.41","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.654048 38.109488)"
"Maintenance: Blithedale Summit Mow","Blithedale Summit","Hillside Ave","37.911514","-122.542747","0.5","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.542747 37.911514)"
"Maintenance: Cascade Canyon Prune","Cascade Canyon","Blue Ridge Fire Road","37.982898","-122.6151","2.26","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.6151 37.982898)"
"Maintenance: Cascade Canyon Mow","Cascade Canyon","Toyon Fire Road entry","37.979841","-122.604016","0.04","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.604016 37.979841)"
"Maintenance: Blithedale Summit Mow","Blithedale Summit","Blithedale Ridge Fire Road","37.919289","-122.547601","8.07","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.547601 37.919289)"
"Maintenance: Terra Linda/Sleepy Hollow Prune","Terra Linda Sleepy Hollow","Terra Linda Ridge Fire Road","38.013969","-122.575151","4.38","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Other","As Needed","2022-01-04T00:00:00.000","POINT (-122.575151 38.013969)"
"Hidden Lake Restoration & Stewardship","Mount Burdell","Hidden Lake","38.13668","-122.595433","1","Pennyroyal","Invasive species control","Completed","2021","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.595433 38.13668)"
"Terra Linda/Sleepy Hollow Grazing","Terra Linda Sleepy Hollow","Ridgetop fuel break/defensible space behind homes","38.01649232","-122.5716472","130","Mixed vegetation","Fire fuel reduction, defensible space","Completed","2019","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.5716472 38.01649232)"
"Maintenance: Cascade Canyon Prune","Cascade Canyon","Blue Ridge Fire Road","37.991126","-122.622623","4.96","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.622623 37.991126)"
"Maintenance: Pacheco Valle Mow","Pacheco Valle","Alameda Del Prado at Timothy Court","38.047307","-122.542428","0.87","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.542428 38.047307)"
"Maintenance: Mount Burdell Mow","Mount Burdell","San Marin Drive","38.120865","-122.577346","0.21","Mixed vegetation","Ignition Prevention",,"2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.577346 38.120865)"
"Maintenance: Pacheco Valle Mow","Pacheco Valle","Alameda Del Prado","38.045254","-122.536496","0.29","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.536496 38.045254)"
"Maintenance: Terra Linda/Sleepy Hollow Prune","Terra Linda Sleepy Hollow","Water Tank and Spring Hill (Park Ridge) Fire Roads","38.023381","-122.56286","0.97","Mixed woody vegetation","MMWD Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.56286 38.023381)"
"Rush Creek Broom Control","Rush Creek","Bahia Trail, Bahia Road","38.12559","-122.53131","2.3","Broom","Invasive species control, Fire fuel reduction","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.53131 38.12559)"
