"organization_name","type","website","headquarters_country","regional_focus_primary","regional_focus_secondary","impact_orientation_tiered","year_began_investing_in","notes_on_investment_thesis","fund_size_us_mm_unless_other","sector_focus","stage_of_investments","average_investment_size","type_of_investment","number_of_health_investments","sample_investments"
"New Island Capital","Fund","http://newislandcap.com/","USA","Global",,"Yes, explicit",,"New Island Capital Management, Inc. is a San Francisco-based investment advisor. New Islands mandate and resources place it among a handful of institutional-scale, 100% mission-focused investment advisors. We target risk-adjusted returns while striving to achieve positive impact within four thematic areas: Sustainable Agriculture, Communities, Alternative Energy and Environment. New Island Capital has a long-term horizon and recommends investments globally, across multiple asset classes. New Island is 100% for-profit and 100% mission-driven; we do not recommend investments that are purely commercial or purely philanthropic.",,"General","Growth",,"Equity",,
"Nexus India Capital I, LP","Fund","http://www.nexusvp.com/about.asp","India","India",,"No",,,,"General","Early",,"Equity",,"http://www.nexusvp.com/companies.asp"
"Omidyar Network Fund","Foundation","http://www.omidyar.com/",,"Global","Frontier / Emerging","Yes, explicit",,"Established in 2004 by eBay founder Pierre Omidyar and his wife Pam, Omidyar Network is a philanthropic investment firm dedicated to harnessing the power of markets to create opportunity for people to improve their lives. Omidyar Network is structured to support the notion that philanthropy is not a type of funding, but rather about improving the lives of others through all available tools. Consequently, the organization works across social and business sectors, operating both a Limited Liability Company (LLC) and a 501(c)(3) foundation. Investments in for-profit companies are made through the LLC, while grants and program-related investments are made through the 501(c)(3) entity. To date, Omidyar Network has committed more than USD 330 million in grants and for-profit investments.

Omidyar Network's activities are organized around two initiatives: Access to Capital and Media, Markets, and Transparency. Through its Access to Capital initiative, Omidyar Network aims to foster entrepreneurial behavior, economic activity, and job creation by investing in organizations that improve access to financial services, business opportunities, and property rights. Omidyar Network's Media, Markets, and Transparency initiative supports individual participation in media, markets, and government. Through this initiative, Omidyar Network invests in technology that connects individuals with shared interests, helps people engage in critical issues, and increases access to credible information.","100","General","Multiple",,"Equity",,"HealthKart, Indias first e-health store, provides customers with convenient access to a broad selection of affordable, high-quality consumer health products and services."
"SONG Fund","Fund","www.songadvisors.com",,,"India",,,"Education and training, agriculture/food, healthcare, basic utilities, business services",,,"Multiple","Varies widely","Equity",,
"Soros Economic Development Fund","Fund","http://www.sedfny.org/","South Africa","Frontier / Emerging","Global","Yes, explicit",,,"200","General","Multiple",,"Multiple",,"Medical Credit Fund  (Full portfolio here http://sedfny.org/portfolio.html)"
"SpringHill Equity Partners","Fund","http://www.springhillequity.com/",,"East Africa",,"Yes, explicit",,"SpringHill Equity Partners is an impact investment manager providing venture capital and support to early-stage, fast-growing businesses serving base-of-the-pyramid consumer markets in East Africa.",,"General","Early",,"Equity",,"http://springhillequity.com/investments/"
"Overseas Private Investment Corporation (OPIC)","DFI","www.opic.gov","USA","Frontier / Emerging",,"Yes, explicit",,"The Overseas Private Investment Corporation (OPIC) is the U.S. Government's development finance institution. Founded in 1971, OPIC mobilizes private capital to help solve critical world challenges and in doing so, advances U.S. foreign policy. Because OPIC works with the U.S. private sector, it helps U.S. businesses gain footholds in emerging markets by catalyzing revenues, jobs, and growth opportunities both at home and abroad. OPIC achieves its mission by providing investors with financing, guarantees, political risk insurance, and support for private equity investment funds. OPIC services are available for new and expanding business enterprises in more than 150 countries worldwide.

As a development finance institution, OPIC makes investments that other private investors would not make, paving the way for other private sector capital to successfully enter emerging markets. OPIC's instruments are also more flexible than those of traditional investors, with loan tenors of up to 20 years and transaction sizes ranging from USD 100,000 to 250 million. Since 1971, OPIC has supported USD 188 billion of investment across nearly 4,000 projects in developing countries and emerging markets. OPIC projects have also generated USD 74 billion in U.S. exports and supported more than 275,000 American jobs to date. OPIC operates on a self-sustaining basis at no net cost to American taxpayers and has returned money to the federal government for 33 consecutive years. From 2006 to 2010, OPIC contributed over USD 2 billion to the federal budget. OPIC's impact objectives focus first on doing no harm: projects are required to adhere to stringent international standards on environmental, labor, and human rights. Second, OPIC aims to maximize positive social and environmental impact through investment, with a current focus on renewable environmental resources.",,"General","Growth","$500K - $1M","Debt",,"Medical Credit Fund (Beth has full list of OPIC's portfolio)"
"Pan-African Investment Co.","Fund","http://picinvest.com/","USA","Pan-Africa",,"No",,"PIC was founded by Dick Parsons and Ronald Lauder. Parsons and Lauder formed PIC to identify, invest in and provide solutions that effect growth and development in Africa.",,"General","Early",,"Equity",,
"PharmAccess Foundation",,"www.pharmaccess.org/RunScript.asp?p=ASP\Pg0.asp",,"SS Africa",,"Yes, explicit","2001.0",,,"Health-only",,,,,
"Phatisa","Fund","http://www.phatisa.com/Home/","Across Africa","SS Africa",,"No",,"Phatisa is an indigenous private equity fund management company that invests throughout sub-Saharan Africa. The firm currently has two sector-specific funds under management.","350","General","Growth",,"Equity",,"Right now has a housing fund and an Ag fund"
"Potencia Ventures
(formerly Artemisia International)","Fund","http://potenciaventures.net/",,"Global",,"Yes, explicit",,"Potencia Ventures backs system-changing new business models, businesses, and institutions to help create the entrepreneurial ecosystem that improves opportunity for the base of the pyramid. We support the emergence of businesses that overcome structural difficulties faced by low-income people. Education, health and housing are priority sectors. Likewise, finance, technology and distribution mechanisms are important tools that enable new models to be constructed within these sectors.",,"Health as a vertical",,,"Multiple",,
"Progression Capital Africa Limited","Fund","http://www.progressioncapitalafrica.com/","Kenya","East Africa",,"Yes, explicit",,"PEAMEF is a US$40m private equity fund organized under the laws of Mauritius as a ten-year close-ended fund, with Progression Capital Africa as the Investment Manager thereof. The Fund is the initiative of three Partners - Lydia Koros (Kenyan), Mathias Katamba (Ugandan) and Andrej Machacek (British) with over three decades of combined experience in Microfinance, Commercial Banking, Capital Markets and Investment Banking.","40","General","Multiple","Varies widely","Equity",,"http://www.progressioncapitalafrica.com/about.html"
"responsAbility Social Investments","Fund","http://www.responsability.com","Switzerland","Frontier / Emerging",,"Yes, explicit",,"With assets under management of USD 1 billion, responsAbility is one of the world's leading social investment companies. Its areas of focus include microfinance, SME financing, fair trade, and independent media. responsAbility's investment solutions give people in developing and emerging economies access to markets, information, and other services crucial to their development; they enable private and institutional investors to earn a financial return while at the same time making a positive social impact. Founded in 2003, responsAbility operates as an independent asset manager. Its shareholders are renowned Swiss financial institutions, a social venture capital company, and responsAbility's own employees. The assets managed by responsAbility are currently invested in 372 companies and 70 countries.","1000","General",,,"Multiple",,
"ResponseAbility","Fund","http://responsability.com","Switzerland","Global",,"Yes, explicit",,"Microfinance, fair trade, social venture capital; Energy, ICT, agriculture, health, education.  SMEs offering innovative and scalable business solutions to low income populations and emerging middle class.","1000","Health as a vertical","Multiple","Varies widely","Multiple",,
"Rwanda Works",,"http://www.rwandaworks.com/",,"SS Africa",,,,"RW builds new health centers and ensures that existing facilities in Rwanda have the fundamental components they need to function, including fully stocked pharmacies and consistent supplies of electricity and running water.  Health Infrastructure",,,"Early",,,,
"Sarona Asset Management","Fund","http://saronafund.com/","Canada","Global",,"Yes, explicit",,"Housing, Agriculture, Clean Tech, Health, Microfinance/Low-Income Financial Services","180","Health as a vertical","Multiple",,"Multiple",,
"SEAF","Fund","http://www.seaf.ge/",,,,"Yes, explicit",,"Agribuisness, Clean Tech and Renewable Energies, Construction, Distribution, Health Care, Informations and Communications Technologies, Manufacturing, Retail Trade, Services, Tourism","350","SMEs","Multiple",,"Multiple",,
"Segal Family Foundation","Foundation","http://www.segalfamilyfoundation.org",,"SS Africa","East Africa",,,"""Reproductive health Food security Building the capacity of youth Rural distribution networks Capacity building organizations for African-led non-profits""",,,,,"Grant",,
"Seven Seas Capital","Fund","www.sevenseascm.com/",,,,,,,,"Health-only",,,"Multiple",,
"Shell Foundation","Foundation","http://www.shellfoundation.org/impact.php?p=home","UK","Global","Pan-Africa","Yes, explicit",,"Shell Foundation was established by the Shell Group in 2000 as an independent, UK registered charity operating with a global mandate.",,"Health as a vertical","Multiple",,"Multiple",,"http://www.shellfoundation.org/pages/corelines_index.php?p=corelines_content"
"Standard Chartered","Local/regional bank","https://www.sc.com/en/about-us/who-we-are/index.html","Global offices","East Africa","India","No",,"Were a leading international banking group committed to building a sustainable business over the long-term.",,"General","Mature","Varies widely","Debt",,"http://business.sc.com/en/clients/sme/Pages/default.aspx"
"Stichting Medical Credit Fund","Fund","http://www.medicalcreditfund.org","The Netherlands","SS Africa",,"Yes, explicit","2009.0","The Medical Credit Fund is a hybrid investment fund. It attracts public and private grants and capital. Grants are applied to finance the technical assistance programs. Capital is used to finance loans and guarantees and to maintain modest default and currency risk facilities.","15","Health-only",,"$250 - $500K","Multiple",,
"TLG Capital","Fund","www.tlgcapital.com",,"Global",,,,"Healthcare, Real Estate, Food Processing, Retail, Consumer Goods","50",,"Multiple","Varies widely","Multiple",,
"Triodos Investment Management","Fund","www.triodos.com","Netherlands","Global",,"Yes, explicit",,"Ventures serving low incom BoP clients, Livelihoods, education, agriculture, healthcare, ecosystem, innovative technologies, mobile, rural distribution","1924","General","Multiple","Varies widely","Multiple",,
"Unitus","Fund","http://unitusseedfund.com/
http://unitus.com/other/unitus-equity-fund/
http://www.unitusimpact.com/",,,,"Yes, explicit",,"Livihoods for base of pyramid, invests in scalable companies building supply chains and distribution systems that increase income levels and improve the livelihoods of the working poor in Asia's fastest growing economies,  supply chain optimization, building agribusiness verticals, and providing small-business financing and microfranchise opportunities",,,"Multiple","$250 - $500K","Multiple",,
"Unitus Impact Partners","Fund","http://www.unitusimpact.com","United States","Global",,"Yes, explicit",,"Unitus Impact is an early-stage impact investing firm with the mission of improving livelihoods of low-income populations by supporting the growth of scalable, financially attractive businesses that engage the working poor as suppliers or distributors. We focus on innovative ventures across South and Southeast Asia.","50","Health as a vertical","Multiple","Varies widely","Multiple",,
"Unitus Seed Fund","Fund","http://usf.vc/",,"India",,"Yes, explicit",,"At the lower levels of Indias economic pyramid are about a billion people who dont have access to good livelihoods opportunities, quality sanitation, healthcare, education, and other basic necessities. Unitus Seed Fund makes seed-stage venture equity investments in startups that primarily serve the base of the economic pyramid (BoP) population.",,"Health as a vertical","Seed",,"Equity","Numerous","http://usf.vc/sectors/healthcare/"
"Unliazer Ventures","Fund","http://www.unilazer.com/about-us.html","India","India",,"No",,"Unilazer Ventures is a uniquely positioned Investor with deep experience in the fast growing Indian Consumer, Services and High Impact Sectors. Our interest is in any business that is part of the India Consumption Story which can build Brand and Scale, as well as high Impact Sectors like Agriculture, Health Care, Micro Finance and Education.  Unilazer is promoted by First Generation Entrepreneur - Ronnie Screwvala. As a team, we have immense experience in building and scaling consumer and media businesses over the last three decades.  Unilazer also supports The SWADES Foundation focused on empowering Rural India through Health & Nutrition, Water & Sanitation, Education, Agriculture & Livelihood and Community Mobilization and has identified One Million people in Rural Maharashtra in its first phase.",,"Health as a vertical","Early",,"Equity",,"http://www.unilazer.com/our-portfolio.html"
"USAID Grand Challenges for Development",,"http://www.usaid.gov/grandchallenges

http://www.savinglivesatbirth.net/

http://poweringag.org/

http://www.allchildrenreading.org/",,"Global",,,,"Saving lives at birth, maternal and child health around births, powering agriculture, all children reading (education),",,,"Multiple","Varies widely","Grant",,
"Vital Capital","Fund","www.vital-capital.com","Switzerland","Frontier / Emerging","Pan-Africa","Yes, explicit",,"Vital Capital Fund is a private equity fund that invests in opportunities which enhance the quality of life of communities in rapidly developing nations, primarily in Sub-Saharan Africa, while also delivering financial returns for investors.  Vitals primary investment interest is the development of infrastructure. Vital broadens its investment prospects by focusing on urban, large-scale, community-integrated housing concepts and initiating fully integrated agro-industrial solutions, as well as giving particular emphasis to education and healthcare. In addition to these important sectors, the fund also seeks to invest in other large-scale infrastructure projects of national importance.","350","General",,,"Equity",,"The Luanda Medical Center  ($US 30 million) is a World Class Medical Clinic designed specifically to provide high quality healthcare and diagnostic services for the population of Luanda, Angolas capital."
"Voxtra","Fund","http://voxtra.org/about-us/","Norway","East Africa","SS Africa",,,"We invest for profit, but only in companies whose success is tightly linked to improving the livelihoods of smallholder farmers. Our investments enable such companies to grow and create both financial returns and social impact.  Our investments range in size from USD 500,000 to USD 2,000,000. We will invest equity wherever a credible exit strategy exists. In other cases, mezzanine or quasi-equity instruments will be used. We hold our investments for periods of 3-7 years, and work to provide our portfolio companies with access to later-stage growth capital.",,"General","Growth","$500K - $1M","Equity",,"Focused on Ag http://voxtra.org/portfolio/"
"WHEB Ventures","Fund","http://www.whebgroup.com/","UK","Global",,"No",,"Venture Fund investing in high-growth clean tech as well as social and health care companies.",,"SMEs","Growth",,"Equity",,"http://www.whebgroup.com/investment-strategies/private-equity/portfolio-listing/"
"Willow Impact","Fund","www.willowimpact.com","United States","Frontier / Emerging","East Africa","Yes, explicit",,"WillowTree Funds invest growth capital in for-profit, early-stage companies and SMEs that are committed to generating sustainable and demonstrable social and environmental impact in Africa and the Middle East.",,,"Multiple","Varies widely",,,
"XSML Management B.V.","Fund","http://xsmlcapital.com/about-us/","Netherlands","SS Africa",,"Yes, explicit",,"XSML is an investment fund manager with a focus on frontier markets, particularly those in Central Africa. While building and managing funds, XSML, eXtra Small Medium Large, aims to grow small businesses into medium and large enterprises. We seek to partner with investors who share our passion for investing with impact and to help SME companies with growth capital and know-how. Our understanding of private equity coupled with an appreciation of risks and rewards through our local presence, puts us in a position to generate attractive risk adjusted returns for our investors and entrepreneurs alike.",,"Health as a vertical","Growth",,"Equity",,"http://xsmlcapital.com/industries/healthcare/"
