"clientnumber","gender","location","translatednameoftraining","quarteroftraining"
"308","Male","Mopti/Alatona","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications",
"309","Female","Koulikoro/Kayes","(Translation)  Analyze SFD",
"310","Female","Koulikoro/Kayes","(Translation)  Analyze SFD",
"311","N/A","Koulikoro/Kayes","(Translation) Training of BOA staff on financing the agricultural value chain",
"312","Male","Koulikoro/Kayes","(Translation)  Analyze SFD",
"313","Male","Sikasso","(Translation) Banks / SFD capacity building governance and value chain",
"314","Male","Koulikoro/Kayes","(Translation)  Analyze SFD",
"315","Female","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products",
"316","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications",
"317","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
"318","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
"319","Male","Mopti/Alatona","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications",
"320","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products",
"321","Male","Bamako","(Translation) Banks / SFD capacity building governance and value chain",
"322","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
"323","N/A","Koulikoro/Kayes","(Translation) Training of BOA staff on financing the agricultural value chain",
"324","Female","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"325","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products",
