"uuid","region","country","proj_nm","st_date","end_date","awd_amount","awd_value","implementer","sector","intervention","intervention_type","proj_desc","proj_res","rfp_rftop","final_res","mind_eval","final_eval","audit","interim_rep","addl_docs","addl_info","corruption","stability"
"184","Middle East and North Africa (MENA)","Lebanon","Support to Electoral Processes in Lebanon","2008","2010","c) $5 M-$10 M","6579564","National Democratic Institute (NDI)","Civil Society, Independent Agencies","Public Awareness, Watchdog, Political Party/Election Oversight","Participation","The Support to the Political Process in Lebanon program was launched during a critical period in the development of Lebanon's electoral system. The two elections that occurred following the introduction of a 2008 law were better than expected but fell short of international standards. This program was launched with the aim of addressing some of these shortcomings, many of which were highly contentious and politically charged, before the next 2013 Parliamentary election. Main areas of assistance were to support the Ministry of Interior and Municipalities (MOIM) -led electoral reform initiatives, facilitate the establishment of an independent electoral commission (IEC), develop training capacity for electoral officials, engage in national, regional, and international training opportunities; and review key electoral procedures.","The program provided support to the electoral process in Lebanon through a strengthened civil society, elections oversight, and improved effectiveness of municipal councilors.  It also supported its government partner on key reforms and improved the knowledge of government officials on key electoral issues. Throughout the program's implementation, the government partner was subject to the oscillations of Lebanese politics. The government coalition fell within the weeks that the program began, leaving the program with a ministry partner that lacked a clear mandate. The program continued to provide support amid this uncertainty.",,,,"http://pdf.usaid.gov/pdf_docs/PDACU390.pdf",,,"http://map.usaid.gov/ProjectDetail?id=a0cd00000011DjSAAU",,"High Corruption","Very Unstable"
"185","Middle East and North Africa (MENA)","Lebanon","Strengthening the Independence of the Judiciary and Citizen Access to Justice (SIJCAJ)","2007","2010","c) $5 M-$10 M","8202845","National Center for State Courts (NCSC)","Rule of Law, Civil Society","Court Administration, Case Management, Court Ethics, Professional Legal Education/Training, Public Information","Transparency, Accountability","The Strengthening the Independence of the Judiciary and Citizen Access to Justice (SIJCAJ) project was a rule of law initiative that provided support to Lebanon's judicial system. The project aimed to strengthen Lebanon's judicial institutions, increase judicial independence, improve court administration and increase citizen access to justice.","SIJCAJ ultimately increased the capacity of the Judicial Training Institute through improved recruitment and screening procedures.  It also supported efforts by the High Judicial Council and the Ministry of Justice to strengthen judicial independence and accountability through judicial conferences, ethics assessments, and drafted judicial code of ethics.",,"http://pdf.usaid.gov/pdf_docs/PDACU039.pdf",,,,,"http://consultants.ncsc.org/Projects/Lebanon_overview.asp",,"High Corruption","Very Unstable"
"186","Middle East and North Africa (MENA)","Lebanon","Assistance to Sustain Local Democratic Practices","2004","2011","e) $25 M-$50 M","26457295","State University of New York's Center for International Development (SUNY)","Local Government","Service Delivery, Fiscal Management","Transparency","The Assistance to Sustain Local Democratic Practices in Lebanon Project focused on institutionalizing standards and procedures, increasing transparency, expanding the municipal revenue base, and strengthening the role of local government in economic development.","The project worked with 750 of Lebanon's 944 municipalities to build their financial and managerial capacity.",,,,,"http://oig.usaid.gov/sites/default/files/audit-reports/6-268-11-003-p.pdf",,"http://map.usaid.gov/ProjectDetail?id=a0cd00000011DjTAAU",,"High Corruption","Unstable"
"187","Middle East and North Africa (MENA)","Lebanon","Lebanon Transparency and Accountability Grants","2001","2011","c) $5 M-$10 M","9350901","AMIDEAST","Civil Society","Public Awareness, Advocacy","Transparency, Participation","The main goals of the Transparency and Accountability Grants (TAG) program were to foster good governance in Lebanon in all sectors, empower local civic associations to conduct activities that promote good governance while enhancing their role in advocating for reform in Lebanon, and encourage constructive public-private partnerships between local civic organizations and government agencies in the effort to increase transparency. The program was set to provide grants of up to $50,000 to local organizations for projects that promoted transparency, accountability, and good governance in both the public and private spheres.","Over a period of ten years, nearly $6.4 million were disbursed in grants to 183 civic organizations engaged in short-term, high-impact activities that promoted transparency, accountability, and good governance. Grants funded by this program also contributed to strengthening the capacity of Lebanon's civil society sector to address important issues in areas including environmental protection, citizen and women's rights, government transactions, democratic practice, rule of law, citizen participation, lobbying, and capacity building of nongovernmental organizations.",,,,"http://pdf.usaid.gov/pdf_docs/PDACR860.pdf",,,"http://map.usaid.gov/ProjectDetail?id=a0cd00000011DjVAAU","http://www.amideast.org/lebanon/institutional-strengthening/transparency-and-accountability-grants-tag-project","High Corruption","Unstable"
"188","Sub-Saharan Africa (SSA)","Liberia","Building Recovery and Reform through Democratic Governance- BRDG Liberia","2005","2007","c) $5 M-$10 M","6401761","Development Alternatives Incorporated","Local Government, Civil Society","Legal/Institutional Strengthening/Reform, Service Delivery, Citizen Participation, Advocacy","Awareness, Participation","The purpose of the Building Recovery and Reform through Democratic Governance (BRDG Liberia) program was to put into place, and manage, a quick-response mechanism supporting activities that contributed to Liberia's democratic transition. On a larger scale, BRDG-Liberia was designed to contribute to Liberia's successful transformation to a state and society that manages national stability, recovery, and democratic reform.","Approximately 100 grants were administered to Liberian NGOs. Liberian, West African, European, and North American expertise was mobilized in an effort to assist the government and civil society to build sustainable institutions, inside and outside of government, to consolidate Liberia's embrace of democratic governance, social reconciliation, and economic opportunities for its citizens. Public debates were facilitated all over the country.",,,,,,"http://pdf.usaid.gov/pdf_docs/PDACL341.pdf",,,"High Corruption","Very Unstable"
"189","Sub-Saharan Africa (SSA)","Liberia","Governance and Economic Management Assistance Program (GEMAP)","2005","2010","c) $5 M-$10 M","5131000","IBI International","Economic Growth, Public Finance","Legal/Institutional Strengthening/Reform, Fiscal Management, Business Environment, Public Information","Transparency, Accountability","The Governance and Economic Management Assistance Program (GEMAP) aimed to improve governance, enhance transparency and accountability, and lay a solid foundation for a sustainable peace. The agreement was conceived in direct response to the concerns of the government and international partners about the mismanagement of public resources during Liberia's post-conflict transition and the threat it represented to the peace process. Key elements of the GEMAP model included: Embedding senior advisors in government ministries and state-owned corporations to institute modern financial management systems; ensuring top level commitment and support, both political and among international partners; assessing organizational efficiency, policies, procedures, laws, and regulations; identifying and instituting internal controls and improvements in operations; using information technology to streamline processes and to ensure maximum transparency; and building skills and professionalism through intensive, on-the-job training and tailored courses.","GEMAP developed and institutionalized effective and transparent methods for granting concessions and contracts for extraction of tropical timber and iron ore and for securing the public revenue that should be obtained.  A large-scale training initiative trained nearly 500 people across the public, private, and non-profit sectors in a wide range of subjects including public financial management, public sector management, and information technology. In response to a request from the Ministry of Planning and Economic Affairs, the program employed regional planning methodologies to identify development corridors in Liberia. The program also facilitated coordination among a wide range of stakeholders in drafting the National ICT Policy for Liberia, establishing an ICT for Development (ICT4D) Steering Committee, and creating the Cable Consortium of Liberia (CCL), a Public Private Partnership established to leverage the investment needed for Liberia's participation in the Africa Coast to Europe (ACE) consortium to bring broadband connectivity to Liberia.",,,,"http://pdf.usaid.gov/pdf_docs/PDACR798.pdf",,"http://pdf.usaid.gov/pdf_docs/PDACQ463.pdf","http://www.ibi-usa.com/projects/LiberiaBudget_AssetsMgmt.html","http://www.gemap-liberia.org/","High Corruption","Very Unstable"
"190","Sub-Saharan Africa (SSA)","Liberia","Liberia Land Rights and Community Forestry Program (LRCFP)","2007","2011","d) $10 M-$25 M","10454136","TetraTech ARD","Economic Growth","Land and Forest Resource Management, Fiscal Management, Service Delivery, Citizen Participation","Awareness, Participation","The Land Rights and Community Forestry Program in Liberia had the overall goal of advancing the policy and practice of land and forest resource management through the introduction of adaptive management, rights-based, and learning-based approaches.  The program had the objective of developing a legal and policy framework and strengthening it to support community management and sustainable use of natural resources, particularly forests.  Systems were to be developed and strengthened to assure property rights for all natural resource users/owners, and management of community forests and economic opportunities for communities were to be improved.","With the support of the program, there was an improved legal and policy environment for secure and equitable community rights to forest lands, through the Community Rights Law with Respect to Forest Lands (CRL), the Land Commission, and locally developed guidelines and rules.  There were emerging models and improved capacity of communities and their governmental and nongovernmental partners for incorporating LTPR approaches into sustainable community-based natural resource management (NRM).  And finally, there were improved, environmentally sustainable, and socially equitable options for greater economic security and increased incomes in pilot communities.",,,,"http://pdf.usaid.gov/pdf_docs/PDACT242.pdf",,,"http://www.tetratechintdev.com/intdev/index.php?option=com_k2&view=item&id=207%3Aliberia-land-rights-and-community-forestry-program&Itemid=61&lang=us","http://usaidlandtenure.net/sites/default/files/USAID_Land_Tenure_Liberia_Project_Brief_0.pdf","High Corruption","Very Unstable"
"191","Middle East and North Africa (MENA)","Libya","Libya Rule of Law Program","2012","2012","-",,"American Bar Association Rule of Law Initiative (ABA ROLI)","Rule of Law, Civil Society","Professional Legal Education/Training, Legal/Institutional Strengthening/Reform, Legal Assistance","Enforcement, Awareness","The Libya Rule of Law Program sought to reform election law and transition related rule of law, and equip bar associations to be sustainable providers of rule-of-law focused civic education. Trainings were taught nationwide, reaching hundreds of Libyan lawyers and civil society members.","Lawyers and civil society members were trained in the fundamentals of Libyan elections law, such as elections procedure, complaint mechanisms, dispute resolution, campaigning procedures and violations, and the role of lawyers in elections.",,,,,,,"http://www.americanbar.org/advocacy/rule_of_law/where_we_work/middle_east/libya/news/news_libya_preliminary_rule_of_law_assessment_0312.html","http://mepi.state.gov/mh72712e.html","Very High Corruption","Very Unstable"
"192","Europe and Eurasia (E&E)","Macedonia","Judicial Strengthening Project (JSP)","2011","2014","b) $1 M-$5 M","4486125","TetraTech DPK","Rule of Law","Legal/Institutional Strengthening/Reform, Court Administration, Advocacy, Public Awareness","Enforcement, Accountability","The objective of the Judicial Strengthening Project (JSP) is to help the Macedonian judiciary to evolve as an independent, self-governing, effective, and accountable branch of government that is capable of meeting the needs of citizens, businesses, and organizations for prompt and impartial protection of their rights and adjudication of their legal disputes. JSP promotes advocacy and citizen participation in judicial sector reforms; independent, efficient and consistent application of judicial sector policies and practices; and effective legal personnel and efficient processes. Project activities take into account the need to fight corruption and political interference in the affairs of the judiciary.","As of February 2013, the project supported the Macedonian Judges Association to organize public discussions that led to legal reform that decriminalized slander and defamation and assisted the Court Administration Association in drafting regulations on the selection and employment procedures for non-judicial court staff. Over 220 participants, including chief judges, court administrators, court accountants, the Court Budget Council and its Administrative Office, were trained on developing needs-based budgets and court financial management. As a result, six courts developed budget requests based on their actual needs and workload. Special committees were established in eight courts to improve case management systems and reduce case backlogs.  As a result, seven of the eight courts resolved newly filed cases in a timely manner and managed to clear some of their backlogged cases.","https://www.fbo.gov/?s=opportunity&mode=form&tab=core&id=c4803147c41e366baee8ce045e77b43b&_cview=0",,,,,,,,"High Corruption","Unstable"
"193","Europe and Eurasia (E&E)","Macedonia","Project for Transparent Governance","2009","2013","a) <$1 M","350000","NGO Info-center","Civil Society, Local Government","Service Delivery, Citizen Participation","Awareness, Transparency","Project aimed to develop and share good practices for more transparent, accountable, and responsible operation of local governments in Macedonia and the region, and encourage citizens' involvement in decision-making at the local level.","In the pilot municipalities, the project identified main weaknesses of public management, and assessed citizens' involvement and satisfaction among citizens and businesses with the services provided by the local government. Based on the initial research and public debates, recommendations were developed for every participating municipality. With project support, four Civic Centers for Improvement of Local Governance were established in pilot municipalities to monitor implementation of recommendations and to collect citizen's complaints. Trainings and workshops for local government representatives about the principles and practices for responsible and transparent governance were organized in all targeted municipalities.",,,,,,,,,"High Corruption","Unstable"
"194","Europe and Eurasia (E&E)","Macedonia","Macedonia Local Government Activity (MLGA)","2007","2011","c) $5 M-$10 M","5986978","TetraTech ARD","Local Government, Public Finance","Fiscal Management, Management Systems, Financial Management Systems, Public Information","Transparency, Accountability","The Macedonia Local Government Activity (MLGA) aimed at assisting Macedonian municipalities through supporting the development of the intergovernmental finance system; improving municipal financial management capacities; strengthening the creditworthiness of municipalities; improving tax and fees collection at the local level; helping municipalities stimulate local economic development; and increasing local government transparency and accountability.","With project support, approximately 35 percent of all municipalities made substantial improvements in accountability systems such as e-procurement, citizen feedback mechanisms, and transparency of municipal finances and operations. As of project close, nine municipalities received new websites aimed at improving citizen access to municipal information, and 27 municipalities regularly used the e-Procurement system. In addition, MLGA developed and successfully piloted a citizen ""Report a Problem"" web-application. This system and the operational materials were transferred to Association of Municipalities at the close of MLGA to provide a proven foundation for continued replication to additional municipalities in the future. Finally, policy and procedures on local government internal and external transparency were established and one-third of all Macedonia municipalities adopted them.",,,,,,,"http://www.tetratechintdev.com/index.php?option=com_k2&view=item&id=167:macedonia-local-government-activity-mlga&Itemid=222&lang=us",,"High Corruption","Unstable"
"195","Europe and Eurasia (E&E)","Macedonia","Judicial Reform Implementation Project (JRIP)","2007","2011","c) $5 M-$10 M","6200000","TetraTech DPK","Rule of Law, Governance","Legal/Institutional Strengthening/Reform, Court Administration, Case Management, Public Information","Transparency","JRIP objective was to strengthen the capacity of both judicial sector professionals and institutions to formulate and implement changes, thereby ensuring the judicial system continues to evolve as an effective institution able to meet the needs of citizens, protect their rights and provide prompt and fair adjudication of their disagreements.","The project contributed to improved judiciary-related laws, developed with the participation of judges and court administration personnel. The project strengthened judicial training capacity and case management in the courts and promoted improved court management, including establishment of professional court administrators. In addition, it promoted the financial independence of the judiciary and contributed to improving its financial and budget planning and management. The project introduced an automated court case management and information system in all courts, automating case processing from filing to disposition. JRIP helped Macedonian judiciary become more open and transparent to the public by helping establish public information officers in all courts.",,"http://pdf.usaid.gov/pdf_docs/PDACX118.pdf",,,,,,,"High Corruption","Unstable"
"196","Europe and Eurasia (E&E)","Macedonia","Human and Institutional Development Program (HIDP)","2005","2011","b) $1 M-$5 M","2766902","World Learning (WL)","Local Government, Civil Society","Legal/Institutional Strengthening/Reform, Public Awareness,","Accountability, Awareness","The Human and Institutional Development Program (HIDP) had the objective of improving the performance of institutions considered key to the future of Macedonia within the context of the USAID strategy. HIDP developed capacities at established and start-up institutions by conducting performance assessments and implementing a series of performance improvement solutions.  HIDP also provided training to USAID's local partners, conducted academic programs to strengthen emerging leaders, created interventions addressing specific technical areas at local partner organizations, and gave small grants to ensure that project alumni succeed in carrying out action plans developed during their training. The program also provided direct technical assistance to the State Commission for Prevention of Corruption (SCPC).","The leadership and strategic planning skills of the Ministry of Justice's (MOJ) top management team were enhanced, enabling them to align MOJ strategic objectives with those of the Government of Macedonia. In order to monitor and measure the execution of the MOJ strategy, Balanced Scorecards were introduced as a performance management system.  A State Program for Prevention and Repression of Corruption and an Action Plan were developed. Assets Declaration software was developed and installed at the State Commission for Prevention of Corruption (SCPC), resulting in a more efficient exchange of information between the SCPC and the Public Revenue Office. In addition, a State Program for Prevention and Reduction of Conflict of Interest was developed, and members of the judiciary and the prosecution were trained in recognizing and solving such cases. In line with the Association of Local Self-Government Units (ZELS) efforts to achieve greater self-sustainability, HIDP supported ZELS in designing the structure and improving the management of training delivery.  In order to sustain ZELS knowledge management, a system for HR management and staff development of ZELS executive office was developed.",,,,,,"http://pdf.usaid.gov/pdf_docs/PDACW575.pdf",,,"High Corruption","Unstable"
"197","Europe and Eurasia (E&E)","Macedonia","Decentralization Project in Macedonia","2004","2007","c) $5 M-$10 M","9478829","Development Alternatives Incorporated","Local Government","Legal/Institutional Strengthening/Reform, Service Delivery, Internal Controls, Fiscal Management","Enforcement, Transparency, Accountability","The Macedonia Decentralization Project assisted in the development of a more effective, responsive, and accountable local government. It was a continuation of the Local Government Reform Project, which provided technical assistance in the area of decentralization to the Government of the Republic of Macedonia, to the Association of Units of Local Government (ZELS) and to the Local Governments.  The areas of activity included policy assistance to the Central Government on fiscal and education decentralization, policy and institutional support to the association of municipalities [ZELS] and the association of communal enterprises [ADKOM], capacity-building of municipalities in the areas of finance/budget, tax administration, urban planning/permitting, local economic development and citizen participation, and the implementation of a small projects sub-contract fund, the Municipal Good Governance Fund (MGGF).","Over the course of the project, 50 Macedonian municipalities established the financial management and tax administration capacity to assume new competencies under decentralization. Moreover, an improved regulatory environment for public communal enterprises was established, demonstrated by higher collection rates, improved financial management, and improved customer satisfaction. 25 Macedonian municipalities also implemented modern urban planning systems, resulting in a demonstrable improvement in the key indicator areas (zoning, customer service and permitting, and city planning).",,"http://pdf.usaid.gov/pdf_docs/PDACM288.pdf",,,,,,,"High Corruption","Unstable"
"198","Europe and Eurasia (E&E)","Macedonia","Court System Strengthening and Modernization Project","2002","2007","-",,"TetraTech DPK","Rule of Law, Legislature","Court Administration, Professional Legal Education/Training, Internal Controls","Enforcement, Awareness","The Court System Strengthening and Modernization Project worked with the Macedonian judiciary and the NGO community to increase the judiciary's overall capacity by focusing on court practices and performance, transparency, and accountability. The project formulated and implemented changes in the current framework of laws to better enable an independent judiciary. It worked to develop and implement proactive case management practices, including backlog reduction. The capacity for court administration and management within the judiciary was increased, as well as for court presidents, judges, and court administrators through training. The project increased the capacity of the existing legal training institution, and, on a pilot basis, introduced and improved existing levels of automation and computerization.","The Court System Strengthening and Modernization Project in Macedonia contributed to the drafting of a law establishing an independent court budget and a court administrative office, which was adopted effective January 1, 2004. The law strengthened the judicial branch's role in budget preparation and made its administrative functions more concrete. The project worked at the national and local levels to help modernize court administration in Macedonia. At the national level, the team supported the establishment of an Administrative Office of the Courts (AOC) under the Court Budget Council. At the local level, the project  secured an agreement from presiding judges to establish seven pilot courts as the nucleus of a modern court administration system. This was achieved by introducing new and more effective administrative and managerial methodologies to improve the efficiency of the courts. The project  completed a review of the automation environment and a facilities and equipment assessment of the seven pilot courts. Additionally, a closed-case survey identified the baseline characteristics of closed and pending backlogged cases in the pilot courts.  The project  improved the training of judges and court administrators by strengthening the Center for Continuing Education (CCE) and developing a curriculum to meet the needs of the judiciary. The project  co-sponsored training events and seminars for legal professionals with the CCE and  worked to strengthen the CCE through institutional development workshops. The project managed an ongoing grant to the CCE to support its activities, and it developed a training plan covering extensive judicial training under the umbrella of the CCE, as well as training in support of project activities such as the pilot courts and the administrative functions under the new court budget law.",,,"http://pdf.usaid.gov/pdf_docs/Pdacg190.pdf",,,,"http://www.tetratechdpk.com/component/content/article/74-macedonia/130-court-system-strengthening-and-modernization-project.html",,"High Corruption","Unstable"
"199","Sub-Saharan Africa (SSA)","Madagascar","Madagascar Anti-Corruption Initiative Program","2006","2008","a) <$1 M","699423","Casals & Associates","Independent Agencies, Civil Society","Corruption Investigation, Citizen Awareness","Enforcement, Transparency, Participation, Awareness, Accountability","The  purpose  of  the  project was   to   reduce corruption  in  Madagascar  by  strengthening  the capacity  of  Malagasy  government  (GOM)  anticorruption institutions and mobilizing civil society to improve public awareness and engagement in the overall fight against corruption. The project also characterized by  a  comprehensive  focus  on  strengthening  two  complementary  forces  in  the  fight  against corruption: civil society and government.","The project provided technical assistance, training and equipment to the GOM corruption investigative body Bureau Ind_pendant  Anti-Corruption (BIANCO) to better process and investigate corruption complaints, monitor and report on corruption cases transferred to courts. With the support of the project, the  percentage  of  valid  corruption cases   received   that   were   investigated increased from 52.11% to 73.47%. From   the   end   of   2006   until   November 2008,  the  average  number  of  corruption cases  investigated  by  each  investigator  in a month increased from 1.30 to 2. The project also promoted increased public awareness of corruption and anticorruption mechanisms by supporting national civil society organizations to increase public understanding of corruption and anticorruption mechanisms, and facilitate civic and private sector participation in Madagascar's anticorruption measures.",,,"http://pdf.usaid.gov/pdf_docs/PDACO409.pdf",,,,"http://www.casals.com/2010/03/building-anticorruption-institutions-in-madagascar/",,"High Corruption","Unstable"
"200","Sub-Saharan Africa (SSA)","Malawi","Strengthening
Government Integrity in Malawi Project","2006","2008","c) $5 M-$10 M","8443060","Casals & Associates","Governance, Civil Society","Procurement, Financial Management, Public Awareness","Transparency, Accountability, Participation","The project focused on tackling corruption in the country and improving accountability and transparency in government institutions. While strengthening the government institutions,  activities also focused on empowering media and civil society to demand corruption-free services from the government.","The project provided training of 200 procurement officers within ministries and other government agencies that now have the competence to make procurement a far more accountable and transparent transaction than in the past. It built capacity in project management, information technology (IT), and budgeting at the central government level and local assembly level. A cadre of trainers in anticorruption has emerged as a result of Chancellor University training of trainers program. Over 300 persons have been trained under this C&A-supported program, ranging from non-lawyers to Supreme Court Judges. There was re-establishment of the Media Council after an absence of this body for six years, 100 journalists trained in investigative reporting and support for CSOs has resulted in the capacity of people at the grassroots level to be more open in discussing and reporting corruption, including of their own leaders.",,,,,,,"http://www.mcc.gov/pages/countries/program/malawi-threshold-program; http:/www.casals.com/2006/04/casals-associates-awarded-usaid-strengthening-government-integrity-program-in-malawi/",,"High Corruption","Unstable"
"201","Sub-Saharan Africa (SSA)","Mali","Mali PGP2 - Support to Local Governance and Decentralization","2009","2014","c) $5 M-$10 M","8699776","Management Systems International (MSI)","Local Government, Civil Society","Management Systems, Fiscal Management, Citizen Participation","Accountability","The project sought to improve efficiency, accountability, and transparency in local governments, engage civil society organizations in local governance and development, and expand media coverage of decentralization and local governance. The project was to help implement improved financial management systems and procedures, fiscal planning, budgeting frameworks, expenditure controls, procurement procedures, accounting and auditing practices, and sustainable development policies. It was also tasked to help promote social cohesion and sustainable development at the local level by integrating information technology into commune life.","PGP2 supported commune leaders in the creation of five-year development plans and assisted with budgeting and planning. Working commissions in charge of health care, education, and food availability benefited from the training of government officials.  PGP2 also offered leadership training to civil society organizations, particularly women's groups, helping them to collaborate with local leaders on community development decisions.  In all partner communes, PGP2 reviewed information technology and worked with communications professionals to develop strategies that promoted project goals through the local media. Some of these strategies included organizing public debates, listening clubs, and radio discussions on local issues and commune activities.",,,,,,,"http://us.coffey.com/Projects/BusinessProject.aspx?aProjId=163",,"High Corruption","Unstable"
"206","Europe and Eurasia (E&E)","Moldova","Moldova Rapid Governance Support Program (MRGSP)","2010","2011","b) $1 M-$5 M","2262001","Millennium Partners Consulting","Governance, Rule of Law","Service Delivery, Management Systems, Court Administration, Case Management","Accountability","The purpose of the Moldova Rapid Governance Support Program (MRGSP) was to support a wide range of government reforms in Moldova including the design and implementation of the eTransformation strategy of the Government of Moldova, support for the design and reform of judicial administration, support for the Agency for Payments and Interventions in Agriculture, support for the design of new IT systems for the Customs Service, strengthening government institutions, and fiscal decentralization.","The project enhanced the functionality of the Integrated Case Management Software (ICMS) and trained judges and court staff in the use of the new ICMS versions. Court presidents, court administrators and accountants were also trained in modern practices of budget management. With the project support, Procurement Guide for the Judiciary was developed. MRGSP  also supported the development of administrative procedures and IT systems for the Agency for Payments and Interventions in Agriculture, and prepared a multi-year implementation plan for the development of new IT systems for the Customs Service.",,,,,,,,,"High Corruption","Unstable"
"202","Latin America and Caribbean (LAC)","Mexico","Mexico Greater Transparency and Accountability of Governments Program","2003","2008","c) $5 M-$10 M","9000000","Casals & Associates","Local Government, Civil Society, Independent Agencies","Legal/Institutional Strengthening/Reform, Freedom of Information, Citizen Participation, Fiscal Management, Public Awareness","Transparency, Accountability, Awareness","The Mexico Greater Transparency and Accountability of Governments Program focused on two central aspects of good government: 1) the transparency and accessibility of public information, and 2) the sound management of public finances.","The program had helped in the design and adoption of state-level freedom of information acts that later was adopted in 25 of Mexico's 32 states.  The program also helped with the design and implementation of state-level Citizen Charters, through which government agencies formally committed to serve citizens efficiently and honestly.  The project supported the design and implementation of a federal Plain Language (Language Ciudanano) strategy, under which 93 federal agencies re-wrote public documents in language understandable and accessible to everyday users.  It also contributed to the creation of the Inter-Sectorial Commission on e-Government.  A Model Law on state government budgetary and fiscal oversight was advanced and adopted in legislation in 4 Mexican states. And software was produced that established the methodology for fiscal auditors' self-assessment.",,,,,,"http://pdf.usaid.gov/pdf_docs/PDACL691.pdf",,,"High Corruption","Unstable"
"203","Latin America and Caribbean (LAC)","Mexico","Mexico Justice and Security Program","2009","2014","e) $25 M-$50 M","44100000","Management Systems International (MSI)","Rule of Law, Civil Society","Legal/Institutional Strengthening/Reform, Public Awareness","Transparency, Accountability","The Mexico Justice and Security Program worked towards three primary objectives: 1) to promote a legislative framework for criminal justice reform; 2) to strengthen institutional and human capacity to implement criminal justice reforms; and 3) to empower civil society organizations to foster criminal justice reform.","The project worked with academic scholars and government officials to draft a new federal criminal procedures code. The program helped to create 32 alternative justice centers to alleviate long standing backlogs and delays, and 20 new trainers were certified. The project also trained 450 staff members at Victim Assistance Centers covering a broad range of victims' services.",,,,,"http://oig.usaid.gov/sites/default/files/audit-reports/1-523-12-007-p.pdf","http://pdf.usaid.gov/pdf_docs/PA00HPWF.pdf","http://oig.usaid.gov/sites/default/files/audit-reports/1-523-11-001-p.pdf",,"High Corruption","Unstable"
"210","Europe and Eurasia (E&E)","Moldova","Business Regulatory, Investment, and Trade Environment Program (BRITE)","2012","2017","c) $5 M-$10 M","6132612","Chemonics","Economic Growth, Public Finance","Business Environment, Trade Reforms, Procurement, Customs, Public Information","Accountability","The Business Regulatory, Investment, and Trade Environment Program (BRITE)  aims to engage, enable, and empower the government, private sector, and civil society to design and implement a set of reforms to reduce the costs and risks of doing business in Moldova. The project aims to improve tax administration to reduce the administrative burden of paying taxes, in terms of time and costs to file, while increasing revenue collection.  It will also try to streamline key business processes to reduce the administrative burden of compliance with government regulations and to increase transparency.  It will  aim to reduce the time and cost of moving goods across borders, and it will identify and support the implementation of high-impact regulatory reforms to improve the business environment overall.","BRITE's first major initiative during the first six months of the program was an assessment of Moldova's business enabling environment using a proven methodology called the Business Climate, Institutional, and Legal Reform (BizCLIR) assessment tool. Similar to, but more thorough than, the World Bank's Doing Business methodology, the BizCLIR tool allowed BRITE to undertake a deep analysis of the business environment to identify high-impact reforms with wide support, and a high probability of success.  Based on results of the assessment, the project will engage, enable, and empower the government, private sector, and civil society to design and implement a program of reforms to reduce the costs and risks of doing business in Moldova. The assessment's focus areas include trading across borders, protecting investors, starting a business, paying taxes, and dealing with construction permits.  The project seeks to realize a 20% improvement in Doing Business indicators, and to achieve reforms that will result in $100 million in cost savings to the public and private sectors.","https://www.fbo.gov/index?s=opportunity&mode=form&id=21199ef678931a435f28f0ca9e574deb&tab=core&_cview=1",,,,,"http://pdf.usaid.gov/pdf_docs/PA00HZCG.pdf",,,"High Corruption","Unstable"
"204","Europe and Eurasia (E&E)","Moldova","The Rule of Law Institutional Strengthening Program (ROLISP)","2012","2016","c) $5 M-$10 M","8168542","Checchi and Company Consulting, Inc.","Rule of Law, Civil Society","Institutional Strengthening, Professional Education, Management Systems, Public Awareness","Transparency, Accountability, Awareness","The USAID Rule of Law Institutional Strengthening Program (ROLISP)  aims to strengthen the institutional capacity, transparency and accountability of key justice sector institutions in order to bolster the independence and effectiveness and professionalism of the judiciary, thereby reducing opportunities for corruption. In particular, activities conducted under ROLISP will lead to a more effective, transparent and accountable Moldovan judiciary through a strengthened capacity of the Superior Council of Magistracy (SCM) and the Department of Judicial Administration (DJA); an improved professional judicial and prosecutorial cadre through an enhanced institutional and operational capacity of the National Institute of Justice; and improved public legal awareness and increased capacity of civil society organizations to monitor and advocate for judicial sector reform.","As of May 2013, the project completed an assessment of 50 courts, assessed court houses needs in equipment, and began working on programs to develop improved budget and financial management procedures for the courts.  ROLISP has been working with the National Institute of Justice to develop distance learning and improve its databases. It trained more than 150 court secretaries on Integrated Court Management System (ICMS) Version 2.  ROLISP also initiated a grants program to support CSOs conducting legal advocacy, judicial monitoring, promoting public awareness, and preventing trafficking in persons.","https://www.fbo.gov/index?s=opportunity&mode=form&id=41499d5b6c41d5b226c12072f2c165d6&tab=core&_cview=1",,,,,"http://pdf.usaid.gov/pdf_docs/PA00HXKQ.pdf",,,"High Corruption","Unstable"
