"woreda","age","sex","head_hh","sex_hh","main_livelihood","number_in_hh","disabilities","camels_gc","camels_mc","camels_pc","total_camel","cattle_gc","cattle_mc","cattle_pc","total_cattle","sheep_gc","sheep_mc","sheep_pc","total_sheep","goats_gc","goats_pc","goats_mc","total_goats","camels_dry_2004ec","camels_die_2004ec","camel_sold_2004ec","camels_dry_2005ec","camels_sold_2005ec","camel_dry_2006ec","camels_die_2006ec","camel_sold_2006ec","cattle_dry_2004ec","cattle_die_2004ec","cattle_sold_2004ec","cattle_dry_2005ec","cattle_die_2005ec","cattle_sold_2005ec","cattle_dry_2006ec","cattle_die_2006ec","sheep_dry_2004ec","sheep_die_2004ec","sheep_sold_2004ec","sheep_dry_2005ec","sheep_die_2005ec","sheep_sold_2005ec","sheep_dry_2006ec","sheep_die_2006ec","sheep_sold_2006ec","goats_dry_2004ec","goats_die_2004ec","goats_sold_2004ec","goats_dry_2005ec","goats_die_2005ec","goats_sold_2005ec","goats_dry_2006ec","goats_die_2006ec","goats_sold_2006ec","lost_pasture","lost_disease","lost_water","lost_theft","migrate_jan","migrate_feb","migrate_mar","migrate_apr","migrate_may","migrate_jun","migrate_jul","migrate_aug","migrate_sept","migrate_oct","migrate_nov","migrate_dec","move_pasture","times_migrated","number_days_migrated","migrate_experience","migrate_scout","migrate_dagu","migration_govt","migration_other","migration_other_text","best_info_source","reliable_scouting","reliable_dagu","reliable_government","reliable_experience","reliable_other","coping_strategy_csa","coping_strategy_csb","coping_strategy_csc","coping_strategy_csd","coping_strategy_csi_score","coping_strategy_cse","coping_strategy_cs2","coping_strategy_drought_threat","coping_strategy_flood_threat","coping_strategy_too_much","coping_strategy_early_rain","coping_strategy_late_rain","coping_strategy_hail_threat","coping_strategy_wind_threat","coping_strategy_landslide","coping_strategy_cold_threat","coping_strategy_heat_threat","coping_strategy_livestock","coping_strategy_crop_disease","coping_strategy_other_threat","coping_strategy_other_threat_1","coping_strategy_risk_actions","coping_strategy_other_risk","coping_strategy_food_jan","coping_strategy_food_feb","coping_strategy_food_mar","coping_strategy_food_apr","coping_strategy_food_may","coping_strategy_food_june","coping_strategy_food_july","coping_strategy_food_aug","coping_strategy_food_sep","coping_strategy_food_oct","coping_strategy_food_nov","coping_strategy_food_dec","coping_strategy_food_stock","coping_strategy_water_and","coping_strategy_water_and_1","coping_strategy_water_and_2","coping_strategy_water_and_3","coping_strategy_water_and_4","coping_strategy_water_and_5","coping_strategy_water_and_6","coping_strategy_water_and_7","coping_strategy_water_and_8","coping_strategy_water_and_9","coping_strategy_water_and_10","coping_strategy_water_and_11","coping_strategy_water_and_12","coping_strategy_water_and_13","coping_strategy_water_and_14","coping_strategy_water_and_15","coping_strategy_water_and_16","coping_strategy_water_and_17","coping_strategy_water_and_18","coping_strategy_water_and_19","coping_strategy_water_and_20","coping_strategy_water_and_21","coping_strategy_water_and_22","coping_strategy_water_and_23","coping_strategy_water_and_24","coping_strategy_water_and_25","cattle_sold_2006ec","camels_die_2005ec"
"Lege_Hida","21-30","Male","true","---","Farming","7","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","No","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","3","2","1","2","69.655","3","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving new_crop conserve_soil water_source","---","false","false","false","true","false","true","false","false","true","true","true","false","3","Unprotected_well","1","40","2","false","Unprotected_well","false","---","Crop","Crop Livestock Food_aid","Dec","climate","---","Dec","climate","---","---","---","---","true","new_crop","---","true","Ethiopian_gov","---","false","---","---"
"Dolo_Mena","31-40","Male","true","---","Farming","9","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","2","1","85.72","2","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","false","5","River","4","90","3","false","River","false","---","Crop","Crop Agr_wage_labor","Inc","price inputs","---","Inc","price inputs","---","---","---","---","false","---","---","false","---","---","true","---","---"
"Dolo_Mena","21-30","Male","true","---","Farming","5","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","2","0","1","85.72","0","true","true","false","false","false","true","false","false","false","false","false","true","false","false","---","conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","false","4","Pond","1","120","3","false","Pond","false","---","Crop","Crop Livestock Agr_wage_labor","Dec","climate","---","Dec","climate","---","---","---","---","true","water_harvest management_plan","---","true","Ethiopian_gov","---","true","---","---"
"Meda_Welabu","51-60","Male","true","---","Livestock_and_Farming","9","false","0","0","0","0","0","8","0","8","0","0","0","0","0","1","11","12","0","0","0","0","0","0","0","0","12","20 or more","0","17","19","0","11","12","0","0","0","0","0","0","0","0","0","20 or more","20 or more","0","20 or more","5","0","19","20 or more","0","Yes","Yes","Yes","No","yes","yes","No","No","No","No","No","No","No","No","No","No","Yes","2","1","No","yes","yes","No","No","---","Scouting","more","Less","Same","Less","Same","2","2","3","2","69.655","2","true","true","false","false","false","false","false","false","false","false","true","true","true","false","---","spend_saving new_livestock conserve_soil water_source","---","false","true","true","true","true","true","false","false","false","false","false","false","2","Pond","1","20","1","false","Pond","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","false","0","0"
"Dolo_Mena","21-30","Female_","true","---","Livestock_and_Farming","6","false","0","0","0","0","20 or more","6","1","10","0","0","0","0","20 or more","2","3","11","0","0","0","0","0","0","0","0","20 or more","20 or more","1","20 or more","20 or more","0","20 or more","20 or more","0","0","0","0","0","0","0","0","0","20 or more","1","0","12","3","0","10","0","0","Yes","No","No","No","yes","yes","yes","No","No","No","No","No","No","No","No","yes","Yes","2","4","No","yes","yes","No","No","---","Scouting","more","more","Less","Less","Same","1","2","1","3","69.655","2","false","true","false","false","false","true","false","false","false","false","false","true","false","false","---","spend_saving conserve_soil","---","true","true","true","true","true","true","false","false","false","true","true","true","4","River","2","30","2","false","River","false","---","Livestock","Crop Livestock","Dec","climate","---","Dec","inputs climate","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","true","0","0"
"Dolo_Mena","21-30","Female_","true","---","Farming","5","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","96.43","2","false","true","false","false","false","true","false","false","false","false","true","false","true","false","---","spend_saving conserve_soil","---","false","false","false","true","true","true","false","false","true","true","true","false","6","distribution_pt","4","60","2","false","River","false","---","Crop","Crop","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","false","---","---","false","---","---"
"Dolo_Mena",">60","Male","true","---","Livestock_and_Farming","7","false","1","0","1","2","20 or more","5","1","8","0","0","0","0","20 or more","2","0","5","10","4","2","8","0","5","2","1","20 or more","20 or more","2","20 or more","20 or more","2","10","11","0","0","0","0","0","0","0","0","0","20 or more","20 or more","20 or more","20 or more","6","5","20 or more","1","1","Yes","Yes","No","No","No","No","No","yes","yes","yes","No","No","No","yes","yes","No","Yes","3","4","No","yes","yes","No","No","---","Scouting","Less","Less","Same","Less","Same","2","2","1","1","80.365","1","false","true","false","false","false","true","false","false","false","false","true","true","false","false","---","new_livestock conserve_soil","---","false","false","true","true","true","true","false","false","true","true","true","false","3","River","4","120","3","false","River","false","---","Livestock","Crop Livestock","Dec","climate","---","Dec","climate","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","false","4","0"
"Dolo_Mena","31-40","Male","true","---","Livestock_and_Farming","6","false","20 or more","3","0","6","20 or more","2","0","5","0","0","0","0","20 or more","0","5","20 or more","1","0","0","3","0","6","0","0","20 or more","0","0","20 or more","20 or more","0","20 or more","20 or more","20 or more","0","0","0","0","0","0","0","0","18","20 or more","20 or more","20 or more","0","0","20 or more","20 or more","0","Yes","Yes","No","No","yes","yes","yes","No","No","No","No","No","No","No","No","yes","Yes","2","2","No","yes","yes","No","No","---","Scouting","more","Less","Less","Less","Same","1","1","2","1","83.935","1","false","true","false","false","false","true","false","false","false","false","false","true","false","false","---","conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","false","3","River","5","60","2","true","River","false","---","Livestock","Crop Livestock Petty_trade","Inc","price inputs","---","Inc","price inputs","---","Inc","price","---","false","---","---","true","Ethiopian_gov","---","true","4","0"
"Lege_Hida","21-30","Male","true","---","Livestock","6","false","0","0","0","0","1","5","3","9","1","0","3","4","20 or more","1","2","6","0","0","0","0","0","0","0","0","20 or more","20 or more","0","20 or more","20 or more","3","20 or more","20 or more","20 or more","1","0","0","0","0","0","0","0","0","0","0","0","0","0","20 or more","0","0","Yes","Yes","Yes","No","yes","yes","yes","yes","No","yes","No","yes","No","No","No","No","Yes","3","9","yes","yes","No","No","No","---","Scouting","more","Same","Less","more","Same","1","2","3","0","82.15","2","true","true","false","false","false","true","false","false","false","false","true","false","false","false","---","spend_saving seed_stock new_livestock conserve_soil","---","true","true","false","false","false","false","true","true","false","false","false","false","2","Unprotected_well","1","300","3","false","Unprotected_well","false","---","Livestock","Crop Livestock Food_aid","Dec","climate","---","---","---","---","Inc","govt","---","true","livestock_new","---","true","Ethiopian_gov","---","true","0","0"
"Lege_Hida","21-30","Male","true","---","Livestock_and_Farming","6","false","0","0","0","0","1","3","0","4","20 or more","2","1","6","0","0","0","0","0","0","0","0","0","0","0","0","20 or more","1","1","20 or more","20 or more","0","20 or more","20 or more","0","0","0","3","0","0","5","0","2","0","0","0","20 or more","0","0","20 or more","1","0","Yes","Yes","Yes","No","yes","yes","yes","yes","No","No","yes","No","No","No","yes","yes","Yes","6","2","yes","yes","No","No","No","---","Previous_experience","more","Less","Less","more","Same","0","0","0","0","100","0","true","true","false","false","true","true","false","false","false","false","true","true","true","false","---","spend_saving reduce_livestock new_crop","---","true","true","false","false","false","false","true","true","false","false","false","true","4","River","1","240","3","true","River","false","---","Livestock","Crop","Dec","climate","---","Dec","climate","---","Dec","climate","---","true","livestock_new water_harvest","---","true","Ethiopian_gov","---","false","1","0"
"Dolo_Mena","21-30","Male","true","---","Farming","5","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving conserve_soil water_source","---","true","true","true","true","true","true","false","false","false","false","true","true","3","River","2","90","3","false","River","false","---","Crop","Crop Livestock Remittance","Dec","climate","---","Dec","climate","---","---","---","---","true","water_harvest management_plan","---","true","USG","---","true","---","---"
"Dolo_Mena","21-30","Male","true","---","Farming","3","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","1","0","94.645","1","false","true","false","false","false","true","false","false","false","false","false","true","false","false","---","spend_saving conserve_soil water_source","---","false","false","false","false","false","false","true","true","true","true","false","true","3","River","2","60","2","false","River","false","---","Crop","Crop","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","false","---","---"
"Meda_Welabu","21-30","Male","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","1","3","2","71.44","3","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving new_crop water_source","---","false","false","true","true","true","true","false","false","false","true","true","true","3","Unprotected_well","1","380","3","false","Unprotected_well","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"Lege_Hida","21-30","Male","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","No","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","2","1","87.505","1","false","true","false","false","false","true","false","false","false","false","true","false","false","false","---","spend_saving reduce_livestock new_crop conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","false","5","Unprotected_well","1","30","2","false","Unprotected_well","false","---","Crop","Crop Livestock","Inc","govt inputs","---","Inc","govt inputs","---","---","---","---","true","new_crop water_harvest","---","true","Ethiopian_gov","---","false","---","---"
"Meda_Welabu","41-50","Male","true","---","Livestock_and_Farming","10","true","0","0","0","0","20 or more","6","0","8","0","0","0","0","20 or more","7","1","10","9","5","3","1","0","1","0","0","20 or more","20 or more","0","20 or more","10","1","20 or more","20 or more","0","0","0","0","0","0","0","0","0","20 or more","20 or more","20 or more","15","12","0","20 or more","0","0","Yes","No","Yes","No","No","No","No","yes","yes","No","No","No","No","No","No","No","No","0","0","No","yes","No","No","No","---","Scouting","more","Less","Same","Less","Same","3","1","3","2","69.655","3","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","conserve_soil water_source","---","true","true","true","true","true","true","false","false","true","true","true","true","5","Protected_spring","2","420","3","false","Protected_spring","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","true","0","0"
"Meda_Welabu","21-30","Male","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","1","1","2","78.58","1","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","reduce_livestock new_crop conserve_soil","---","true","true","true","true","true","true","false","false","false","true","true","true","5","Protected_spring","2","560","3","false","Protected_spring","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","false","---","---","true","---","---"
"NA","31-40","Male","true","---","Livestock_and_Farming","12","false","0","0","0","0","0","8","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","20 or more","0","20 or more","20 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","Yes","No","No","yes","yes","yes","No","No","yes","yes","yes","No","No","No","yes","No","2","1","yes","yes","yes","No","No","---","Scouting","more","Less","Less","Less","Less","1","2","1","0","87.505","1","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving new_crop conserve_soil water_source","---","false","false","false","true","true","true","false","false","false","true","true","false","8","distribution_pt","1","120","2","false","distribution_pt","false","---","Crop","Crop Livestock","Dec","inputs","---","Dec","inputs","---","Inc","price","---","true","new_crop water_harvest","---","true","Ethiopian_gov","---","true","0","0"
"Dolo_Mena","41-50","Male","true","---","Livestock_and_Farming","9","false","0","0","7","7","0","0","7","7","0","0","0","0","0","0","0","0","1","0","0","1","0","4","0","0","10","20 or more","0","20 or more","10","0","20 or more","20 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","Yes","No","No","yes","yes","No","No","No","yes","yes","yes","No","No","No","yes","Yes","2","3","No","yes","No","No","No","---","Scouting","more","Same","Same","Same","Same","2","2","2","1","78.58","1","true","true","false","false","true","true","false","false","false","false","false","true","true","false","---","spend_saving","---","true","false","false","true","true","true","false","false","true","true","true","true","2","River","1","180","1","false","River","false","---","Crop","Crop","Dec","inputs","---","Dec","price","---","Dec","price","---","true","new_crop","---","true","Ethiopian_gov","---","true","0","0"
"Dolo_Mena","41-50","Male","true","---","Farming","10","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","0","0","98.215","0","false","true","false","false","false","true","false","false","false","false","true","false","false","false","---","spend_saving new_livestock conserve_soil water_source","---","true","true","true","false","false","true","true","true","true","true","true","false","9","Unprotected_well","1","60","2","false","Unprotected_well","false","---","Crop","Crop Agr_wage_labor","Inc","price inputs","---","Inc","price inputs","---","---","---","---","true","new_crop water_harvest","---","false","---","---","true","---","---"
"Meda_Welabu","41-50","Male","true","---","Farming","9","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","1","2","3","69.655","2","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","new_crop conserve_soil water_source","---","true","true","true","true","true","true","false","false","false","true","true","true","6","Unprotected_well","1","390","3","false","Unprotected_well","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"Lege_Hida","31-40","Male","true","---","Farming","10","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","yes","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","3","2","3","2","67.87","2","true","true","false","false","false","true","false","false","false","false","false","true","false","false","---","spend_saving conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","true","3","Unprotected_well","1","50","2","false","Unprotected_well","false","---","Crop","Crop Livestock Food_aid","same","---","---","Dec","climate","---","---","---","---","true","new_crop","---","true","Ethiopian_gov","---","false","---","---"
"Lege_Hida","21-30","Male","true","---","Livestock_and_Farming","8","false","0","0","0","0","0","5","0","5","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","20 or more","1","1","20 or more","20 or more","0","20 or more","20 or more","0","0","0","0","0","0","0","0","0","12","0","1","11","0","0","11","20 or more","0","Yes","Yes","Yes","No","No","yes","yes","No","yes","No","yes","yes","No","No","No","No","Yes","2","7","No","yes","yes","No","No","---","Scouting","Less","Less","Less","Less","Less","2","1","3","2","71.44","3","true","true","false","false","false","true","false","false","false","false","false","true","false","false","---","spend_saving new_livestock conserve_soil water_source","---","false","false","false","true","true","true","false","false","true","true","false","true","2","Unprotected_well","1","35","2","false","Unprotected_well","false","---","Livestock","Crop Livestock Agr_wage_labor Non_ag_wage","same","---","---","same","---","---","same","---","---","true","management_plan","---","true","Ethiopian_gov","---","true","0","0"
"Dolo_Mena","41-50","Female_","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","0","1","91.075","1","false","true","false","false","false","true","false","false","false","false","true","true","false","false","---","conserve_soil water_source","---","true","true","true","true","true","true","false","false","false","false","true","true","2","River","2","30","1","true","River","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","false","---","---"
"Dolo_Mena","51-60","Male","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","new_crop conserve_soil water_source","---","false","false","false","true","true","true","false","false","true","true","true","false","6","River","1","30","2","false","River","false","---","Crop","Crop Livestock Food_aid","Inc","price inputs","---","Inc","price inputs","---","---","---","---","false","---","---","false","---","---","false","---","---"
"Dolo_Mena","21-30","Male","true","---","Farming","5","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","conserve_soil water_source","---","false","false","false","true","true","true","false","false","false","true","true","false","5","River","1","40","2","false","River","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","false","---","---","false","---","---"
"Dolo_Mena","31-40","Male","true","---","Livestock","7","false","0","0","0","0","0","15","0","15","0","0","0","0","0","15","5","20 or more","0","0","0","0","0","0","0","0","20 or more","1","2","18","19","1","15","16","0","0","0","0","0","0","0","0","0","20 or more","20 or more","20 or more","15","0","2","20 or more","0","0","Yes","Yes","Yes","No","yes","yes","yes","No","No","No","No","No","No","No","No","yes","No","0","0","No","yes","yes","No","No","---","Scouting","more","Less","Same","Less","Same","1","2","1","2","76.795","1","true","true","false","false","false","true","false","false","false","false","true","true","true","false","---","spend_saving conserve_soil water_source","---","true","true","true","true","true","true","false","false","false","false","true","true","3","River","2","180","3","false","River","false","---","Livestock","Livestock","Dec","climate","---","---","---","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","true","0","0"
"Lege_Hida","21-30","Male","true","---","Farming","3","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","No","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","false","true","false","false","true","false","false","false","false","false","false","false","true","false","---","spend_saving new_crop conserve_soil water_source","---","false","false","false","false","false","true","false","false","true","true","false","false","7","Unprotected_well","1","30","2","false","River","false","---","Crop","Crop","Inc","govt inputs","---","Inc","inputs climate","---","---","---","---","true","new_crop","---","true","Ethiopian_gov","---","false","---","---"
"Meda_Welabu","21-30","Female_","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","0","1","0","96.43","0","false","true","false","false","false","true","false","false","false","false","false","false","true","false","---","new_crop conserve_soil water_source","---","false","false","false","true","true","true","false","false","false","true","true","true","6","Protected_spring","2","360","3","false","Protected_spring","false","---","Crop","Crop Livestock","Dec","inputs climate","---","Dec","inputs climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"Meda_Welabu",">60","Male","true","---","Farming","10","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","3","2","1","73.225","2","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","spend_saving new_crop conserve_soil","---","true","true","true","true","true","true","false","false","false","false","false","false","2","Pond","1","60","2","false","Pond","false","---","Crop","Crop Livestock","Dec","inputs climate","---","Dec","inputs climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","false","---","---"
"Dolo_Mena","31-40","Male","true","---","Farming","6","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","2","2","1","78.58","2","true","true","false","false","false","true","false","false","false","false","false","false","true","false","---","conserve_soil water_source","---","false","false","true","true","true","true","false","false","true","true","true","false","3","River","2","15","1","true","River","false","---","Crop","Crop Livestock","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"NA",">60","Male","true","---","Livestock","10","false","1","1","0","2","10","6","0","16","0","0","0","0","10","6","2","18","16","7","5","10","2","8","2","3","20 or more","20 or more","5","20 or more","20 or more","1","16","17","0","0","0","0","0","0","0","0","0","20 or more","18","15","20 or more","5","10","20 or more","20 or more","20 or more","Yes","Yes","Yes","No","No","No","yes","yes","yes","yes","No","No","yes","yes","yes","No","Yes","3","4","No","yes","yes","No","No","---","Scouting","more","Less","Same","Less","Same","1","0","1","1","89.29","1","true","true","false","false","false","true","false","false","false","false","true","true","false","false","---","conserve_soil water_source","---","false","false","true","true","true","true","false","false","false","true","true","false","2","River","2","360","3","false","River","false","---","Livestock","Crop Livestock","Dec","climate","---","---","---","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","false","0","7"
"Lege_Hida","21-30","Male","true","---","Livestock","2","false","0","0","0","0","20 or more","4","1","7","0","0","0","0","20 or more","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","No","Yes","No","yes","yes","yes","No","No","No","No","yes","No","No","No","No","Yes","3","1","No","yes","No","No","No","---","Scouting","more","Less","Same","more","Less","2","1","1","0","87.505","2","true","true","false","false","false","true","false","false","false","false","false","false","false","false","---","wild_food spend_saving conserve_soil water_source","---","false","false","false","true","true","true","false","false","true","true","true","false","3","Unprotected_well","1","480","3","false","Unprotected_well","false","---","Livestock","Crop Livestock","same","---","---","---","---","---","same","---","---","true","water_harvest management_plan Other_tech","NA","true","Ethiopian_gov","---","false","0","0"
