"location_account","business_name","dba_name","street_address","city","zip_code","location_description","mailing_address","mailing_city","mailing_zip_code","naics","primary_naics_description","council_district","location_start_date","location_end_date","location_1"
"0000000943-0003-7","ABILITYFIRST",,"6530 WINNETKA AVENUE","WOODLAND HILLS","91367-2732","6530 WINNETKA 91367-2732","1300 E GREEN STREET","PASADENA","91106-2606","624100","Individual & family services","3","1943-08-09T00:00:00.000",,"(34.1892, -118.5709)"
"0000000943-0004-5","ABILITYFIRST",,"7860 10TH AVENUE","LOS ANGELES","90043-5234","7860 10TH 90043-5234","1300 E GREEN STREET","PASADENA","91106-2606","541990","All other professional, scientific, & technical services","8","2013-03-04T00:00:00.000",,"(33.9676, -118.3286)"
"0000000945-0001-0","SALVADORAN AMERICAN LEADERSHIP AND EDUCATIONAL FUND",,"421 S BIXEL STREET   SUITE #A","LOS ANGELES","90017-1428","421 BIXEL 90017-1428",,,,"611000","Educational services (including schools, colleges, & universities)","1","2000-05-01T00:00:00.000",,"
,  
(34.0562, -118.261)"
"0000000952-0001-0","THE STOREHOUSE OF JESUS, THE LIVING CHRIST",,"16115 JERSEY STREET","GRANADA HILLS","91344-5328","16115 JERSEY 90344",,,,"561500","Travel arrangement & reservation services","12","1997-12-23T00:00:00.000",,"(34.2673, -118.483)"
"0000000963-0001-8","LACO ELEC INC",,"400 CHATSWORTH DRIVE","SAN FERNANDO","91340-3706","400 CHATSWORTH 91340-3706","297 N MARENGO AVENUE","PASADENA","91101-1567","561500","Travel arrangement & reservation services","0","1991-01-01T00:00:00.000",,"(34.2797, -118.4406)"
"0000000971-0001-2","STORM MANUFACTURING GROUP INC","FC KINGSTON/BUCKNER/SUPERIOR BY STORM INC.","23223 NORMANDIE AVENUE","TORRANCE","90501-5050","23223 NORMANDIE 90501-5050","23201 NORMANDIE AVENUE","TORRANCE","90501-5050","423300","Lumber & other construction materials","0","2003-08-01T00:00:00.000",,"(33.8149, -118.2981)"
"0000000974-0001-6","PACIFIC UNICOMM CORPORATION",,"203 BERTH #9","WILMINGTON","90744-6726","203 BERTH 90744-6726",,,,"561500","Travel arrangement & reservation services","15","2000-05-01T00:00:00.000",,"(33.7591, -118.262)"
"0000000975-0001-1","INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL",,"6303 CRENSHAW BLVD","LOS ANGELES","90043-3905","6303 CRENSHAW 90043-3905","1111 S REDONDO BLVD","LOS ANGELES","90019-6706","561500","Travel arrangement & reservation services","8","2001-01-01T00:00:00.000",,"(33.9828, -118.3308)"
"0000000980-0001-1","SAMUEL E BROWN","80/20 GROUP","4723 DON RICARDO DRIVE","LOS ANGELES","90008-2812","4723 DON RICARDO 90008-2812",,,,"561500","Travel arrangement & reservation services","8","1999-08-20T00:00:00.000",,"(34.0112, -118.3528)"
"0000000988-0001-8","JUSTGIVE",,"1625 CLAY STREET #7 FL","OAKLAND","94612-1566","1625 CLAY 94612-1566",,,,"561500","Travel arrangement & reservation services","0","1999-07-15T00:00:00.000",,"(37.8067, -122.2726)"
"0000000990-0001-5","LONE STAR FOUNDATION INC",,"6430 INDEPENDENCE AVENUE","WOODLAND HILLS","91367-2607","6430 INDEPENDENCE 91367-2607",,,,"561300","Employment services","3","1999-10-29T00:00:00.000",,"(34.1873, -118.5906)"
"0000000999-0001-6","STRIVE FOUNDATION",,"9124 S MAIN STREET","LOS ANGELES","90003-3723","9124 MAIN 90003-3723",,,,"611000","Educational services (including schools, colleges, & universities)","8","1991-12-31T00:00:00.000",,"(33.9535, -118.2738)"
"0000001017-0001-1","MATTHEW PAUL KAPUCHINSKI","PALESTRA MUSIC","4130   BERRYMAN AVENUE","LOS ANGELES","90066-5426","4130 BERRYMAN 90066-5426","3866 ALSACE AVENUE","LOS ANGELES","90008-1106","561500","Travel arrangement & reservation services","0","2000-09-01T00:00:00.000",,"
,  
(34.0028, -118.4174)"
"0000001019-0001-1","LOS ANGELES COUNTY OFFICE OF EDUCATION",,"8222 S SAN PEDRO STREET","LOS ANGELES","90003-3030","8222 SAN PEDRO 90003-3030",,,,"611000","Educational services (including schools, colleges, & universities)","9","1999-01-01T00:00:00.000",,"(33.9643, -118.2695)"
"0000001028-0001-0","SPECIAL SERVICE FOR GROUPS","BENEFITS ASSISTANCE CLIENTS' URBAN PROJECT (BAC)","515   COLUMBIA AVENUE   SUITE #200","LOS ANGELES","90017-1209","515 COLUMBIA 90017-1209","905 E 8TH STREET","LOS ANGELES","90021-1848","561300","Employment services","1","1993-09-29T00:00:00.000",,"(34.0567, -118.2662)"
"0000001036-0001-4","SPECIAL SERVICE FOR GROUPS INC","ASIAN PACIFIC AIDS INTERVENTION TEAM","3055   WILSHIRE BLVD   #300","LOS ANGELES","90010-1108","3055 WILSHIRE 90010-1108","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","10","1993-09-29T00:00:00.000",,"(34.0624, -118.288)"
"0000001036-0003-1","SPECIAL SERVICE FOR GROUPS INC","OCCUPATIONAL THERAPY TRAINING PROGRAM (OTTP)","19401 S VERMONT AVENUE UNIT #A204","TORRANCE","90502-4407","19401 VERMONT 90502-4407","905 E 8TH STREET","LOS ANGELES","90021-1848","812990","All other personal services","0","2000-01-01T00:00:00.000",,"(33.8553, -118.2905)"
"0000001036-0004-9","SPECIAL SERVICE FOR GROUPS INC",,"5849   CROCKER STREET   UNIT #L","LOS ANGELES","90003-1311","5849 CROCKER 90003-1311","905 E 8TH STREET","LOS ANGELES","90021-1848","812990","All other personal services","9","2012-05-05T00:00:00.000",,"(33.9884, -118.2688)"
"0000001036-0005-7","SPECIAL SERVICE FOR GROUPS INC",,"5849   CROCKER STREET   UNIT #X","LOS ANGELES","90003-1311","5849 CROCKER 90003-1311","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","9","2013-10-15T00:00:00.000",,"(33.9886, -118.2688)"
"0000001036-0006-5","SPECIAL SERVICE FOR GROUPS INC",,"1968 W ADAMS BLVD","LOS ANGELES","90018-3515","1968 ADAMS 90018-3515","905 E 8TH STREET","LOS ANGELES","90021-1848","624200","Community food & housing, & emergency & other relief services","8","2017-03-15T00:00:00.000",,"(34.0324, -118.3082)"
"0000001036-0007-3","SPECIAL SERVICE FOR GROUPS INC",,"905 E 8TH STREET","LOS ANGELES","90021-1848","905 8TH 90021-1848","4601 S BROADWAY","LOS ANGELES","90037-2729","621330","Offices of mental health practitioners (except physicians)","14","2017-04-04T00:00:00.000",,"(34.0366, -118.2461)"
"0000001036-0008-1","SPECIAL SERVICE FOR GROUPS INC",,"905 E 8TH STREET","LOS ANGELES","90021-1848","905 8TH 90021-1848","727 N BROADWAY     SUITE #211","LOS ANGELES","90012-2864","621399","Offices of all other miscellaneous health practitioners","14","2017-01-01T00:00:00.000",,"(34.0366, -118.2461)"
"0000001036-0009-0","SPECIAL SERVICE FOR GROUPS INC",,"4601 S BROADWAY","LOS ANGELES","90037-2729","4601 BROADWAY 90037-2729","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","9","2017-04-04T00:00:00.000",,"(34.0018, -118.2787)"
"0000001036-0010-3","SPECIAL SERVICE FOR GROUPS INC",,"727 N BROADWAY     SUITE #211","LOS ANGELES","90012-2864","727 BROADWAY 90012-2864","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","1","2017-01-01T00:00:00.000",,"(34.0614, -118.2395)"
"0000001041-0001-5","PAULINE JOAN MENGEL",,"16654 DONMETZ STREET","GRANADA HILLS","91344-4227","16654 DONMETZ 91344-4227",,,,"561500","Travel arrangement & reservation services","12","1999-01-01T00:00:00.000",,"(34.2738, -118.4956)"
"0000001051-0001-9","SPECIAL SERVICE FOR GROUPS","ASIAN PACIFIC COUNSELING & TREATMENT CENTERS","15250   SHERMAN WAY     UNIT #200","VAN NUYS","-","15250 SHERMAN WAY      -","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","6","1993-09-29T00:00:00.000",,"(0.0, 0.0)"
"0000001059-0001-5","SPECIAL SERVICE FOR GROUPS","ASIAN PACIFIC COUNSELING & TREATMENT CENTERS","520 S LA FAYETTE PARK PLACE #300","LOS ANGELES","90057-5400","520 LA FAYETTE PARK 90057-5400","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","1","1993-09-29T00:00:00.000",,"(34.0642, -118.2823)"
"0000001068-0001-4","SPECIAL SERVICE FOR GROUPS","ASIAN PACIFIC RESIDENTIAL TREATMENT PROGRAM","1665 W ADAMS BLVD","LOS ANGELES","90007-1533","1665 ADAMS 90007-1533","905 E 8TH STREET","LOS ANGELES","90021-1848","621399","Offices of all other miscellaneous health practitioners","8","1993-09-29T00:00:00.000",,"(34.0327, -118.2992)"
"0000001069-0001-9","HOP/ICS-CAS/C","HOMELESS OUTREACH PROJECT","8836 S VERMONT AVENUE","LOS ANGELES","90044-4832","8836 VERMONT 90044-4832","605 W OLYMPIC BLVD #600","LOS ANGELES","90015-1475","624100","Individual & family services","8","1952-05-01T00:00:00.000",,"(33.9571, -118.2914)"
"0000001076-0001-9","SPECIAL SERVICE FOR GROUPS","HURTING & HUNGRY PROJECT","1369 E VERNON AVENUE","LOS ANGELES","90011-3712","1369 VERNON 90011-3712","905 E 8TH STREET","LOS ANGELES","90021-1848","624100","Individual & family services","9","1993-09-29T00:00:00.000",,"(34.0038, -118.2506)"
"0000001082-0001-4","INSTITUTE FOE RESEARCH AND TECHNICAL ASSISTANCE",,"2800 OLYMPIC BLVD #101","SANTA MONICA","90404-4101","2800 OLYMPIC 90404-4101",,,,"561110","Office administrative services","0","1999-07-01T00:00:00.000",,
"0000001086-0001-2","ROBERT L MERIN DDS MS INC",,"6342 FALLBROOK AVENUE #101","WOODLAND HILLS","91367-1613","6342 FALLBROOK 91367-1613",,,,"621111","Offices of physicians (except mental health specialists)","3","1974-08-01T00:00:00.000",,"(34.1853, -118.6233)"
"0000001087-0001-7","ANDREW & MICHELLE MESELSON AND DANIEL & BARBARA HAINES","1741 APTS","1741   CAMDEN AVENUE   APT #4","LOS ANGELES","90025-4498","1741 CAMDEN  90025","1741 CAMDEN AVENUE APT #4","LOS ANGELES","90025-4498","531100","Lessors of real estate (including mini warehouses & self-storage units)","5","1974-05-01T00:00:00.000",,"
,  
(34.0469, -118.4415)"
"0000001093-0001-2","HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES",,"840 N AVENUE 66","LOS ANGELES","90042-1508","840 AVENUE 66 90042-1508","100 W WALNUT STREET SUITE #375","PASADENA","91124-0001","621400","Outpatient  care centers","14","1991-06-01T00:00:00.000",,"
,  
(34.1209, -118.1728)"
"0000001093-0002-1","HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES",,"3741 STOCKER STREET SUITE #100","VIEW PARK","90008-5109","3741 STOCKER 90008-5109","100 W WALNUT STREET SUITE #375","PASADENA","91124-0001","621400","Outpatient  care centers","0","1991-06-01T00:00:00.000",,
"0000001093-0003-9","HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES",,"12450 VAN NUYS BLVD #100","PACOIMA","91331-1392","12450 VAN NUYS 91331-1392","100 W WALNUT STREET SUITE #375","PASADENA","91124-0001","621400","Outpatient  care centers","7","1991-06-01T00:00:00.000",,"
,  
(34.2794, -118.4037)"
"0000001093-0004-7","HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES",,"12510 VAN NUYS BLVD #201","PACOIMA","91331-6732","12510 VAN NUYS 91331-6732","100 W WALNUT STREET SUITE #375","PASADENA","91124-0001","621400","Outpatient  care centers","7","1991-06-01T00:00:00.000",,"
,  
(34.2782, -118.4054)"
"0000001116-0001-5","BYDESIGN FINANCIAL SOLUTIONS","CONSUMER CREDIT COUNSELING SERVICE OF LOS ANGELES","6001 E WASHINGTON BLVD SUITE #200","COMMERCE","90040-2455","6001 WASHINGTON 90040-2455",,,,"611000","Educational services (including schools, colleges, & universities)","0","1994-10-14T00:00:00.000",,"(33.997, -118.1501)"
"0000001116-0002-3","BYDESIGN FINANCIAL SOLUTIONS",,"6735 FOREST LAWN DRIVE","HOLLYWOOD","90068-1047","6735 FOREST LAWN 90068-1047",,,,,,"4","2007-03-01T00:00:00.000",,"(34.144, -118.3398)"
"0000001118-0001-4","OHR HATORAH","KINDER CIRCLE PRESCHOOL","11827 VENICE BLVD","LOS ANGELES","90066-3903","11827 VENICE 90066-3903",,,,"561500","Travel arrangement & reservation services","11","1999-07-01T00:00:00.000",,"(34.0079, -118.426)"
"0000001120-0001-1","SHIELDS FOR FAMILIES",,"11603 S WESTERN AVENUE","LOS ANGELES","90047-5006","11603 WESTERN 90047-5006","POST OFFICE BOX #59129","LOS ANGELES","90059-0129","621400","Outpatient  care centers","0","2000-06-01T00:00:00.000",,"(33.9288, -118.3091)"
"0000001120-0002-0","SHIELDS FOR FAMILIES",,"9307 S CENTRAL AVENUE","LOS ANGELES","90002-2017","9307 CENTRAL 90002-2017",,,,"624100","Individual & family services","9","2008-10-01T00:00:00.000",,"(33.9515, -118.2551)"
"0000001127-0001-3","HOY LEM AND PAULINE LEM REVOCABLE TRUST",,"123 E 3RD STREET","LOS ANGELES","90013-1301","123 3RD 90013-1301","17241 BULLOCK STREET","ENCINO","91316-1437","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1972-06-01T00:00:00.000",,"(34.0488, -118.2453)"
"0000001133-0001-9","LA GARDENS COMMUNITY ASSOCIATION",,"3774 S BUDLONG AVENUE","LOS ANGELES","90007-4238","3774 BUDLONG 90007-4238",,,,"531100","Lessors of real estate (including mini warehouses & self-storage units)","8","1995-01-01T00:00:00.000",,"(34.0176, -118.2958)"
"0000001142-0001-8","WESTERN JUSTICE CENTER FOUNDATION",,"85 S GRAND AVENUE","PASADENA","91105-1602","85 GRAND 91105-1602",,,,"561300","Employment services","0","1991-06-14T00:00:00.000",,"(34.1443, -118.1618)"
"0000001143-0001-2","KIDSTALK FOUNDATION INC",,"2630 LACY STREET","LOS ANGELES","90031-1836","2630 LACY 90031",,,,"561300","Employment services","1","1997-06-19T00:00:00.000",,"(34.0825, -118.2195)"
"0000001147-0002-9","MISSION CITY COMMUNITY NETWORK INC",,"8771 VAN NUYS BLVD","PANORAMA CITY","91402-2401","8771 VAN NUYS 91402-2401",,,,"621400","Outpatient  care centers","6","2015-10-15T00:00:00.000",,"(34.2292, -118.4502)"
"0000001147-0003-7","MISSION CITY COMMUNITY NETWORK INC","MISSION CITY COMMUNITY NETWORK, INC.","359 N FAIRFAX AVENUE","LOS ANGELES","90036-2179","359 FAIRFAX 90036-2179","15206   PARTHENIA STREET","NORTH HILLS","91343-5305","621900","Other ambulatory health care services (including ambulance services, blood, & organ banks)","5","2016-04-01T00:00:00.000",,"(34.0776, -118.3616)"
"0000001147-0004-5","MISSION CITY COMMUNITY NETWORK INC","MISSION CITY COMMUNITY NETWORK INC","3660 WILSHIRE BLVD SUITE #102","LOS ANGELES","90010-2716","3660 WILSHIRE 90010-2716","8527   SEPULVEDA BLVD","NORTH HILLS","91343-5824","621400","Outpatient  care centers","10","2017-02-15T00:00:00.000",,"
,  
(34.0609, -118.305)"
"0000001147-0006-1","MISSION CITY COMMUNITY NETWORK INC","MISSION CITY COMMUNITY NETWORK, INC.","5300   SANTA MONICA BLVD   SUITE #202","LOS ANGELES","90029-1258","5300 SANTA MONICA 90029-1258","8527   SEPULVEDA BLVD","NORTH HILLS","91343-5824","621399","Offices of all other miscellaneous health practitioners","13","2018-09-15T00:00:00.000",,"(34.0903, -118.3054)"
"0000001148-0002-3","SHELL USA INC",,"150 N DAIRY ASHFORD ROAD","HOUSTON","77079-1115","150 DAIRY ASHFORD 77079-1115","PLAZA #4525","HOUSTON","77210-4525","541600","Management, scientific, & technical consulting services","0","2017-11-01T00:00:00.000",,"
,  
(29.7874, -95.6043)"
"0000001154-0001-1","ROBERT F METH MD INC",,"2080 CENTURY PARKS  E #810","LOS ANGELES","90067-2011","2080 CENTURY 90067-2011",,,,"621111","Offices of physicians (except mental health specialists)","5","1974-07-01T00:00:00.000",,"(34.0587, -118.4122)"
"0000001156-0001-0","IZUNOME ASSOCIATION USA",,"9602 VENICE BLVD","CULVER CITY","90232-2626","9602 VENICE 90232-2626",,,,"611000","Educational services (including schools, colleges, & universities)","10","2000-06-15T00:00:00.000",,"(34.0, -118.0)"
"0000001159-0001-3","THE SKID ROW HOUSING TRUST",,"619 E 5TH STREET","LOS ANGELES","90013-2109","619 5TH 90013-2109","1317 E 7TH STREET","LOS ANGELES","90021-1101","561300","Employment services","14","1999-01-01T00:00:00.000",,"(34.0434, -118.2425)"
"0000001159-0002-1","THE SKID ROW HOUSING TRUST",,"1201 E 7TH STREET","LOS ANGELES","90021-1505","1201 7TH 90021-1505","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-18T00:00:00.000",,"(34.0375, -118.2422)"
"0000001159-0003-0","THE SKID ROW HOUSING TRUST",,"676 S CENTRAL AVENUE","LOS ANGELES","90021-1039","676 CENTRAL 90021-1039","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-18T00:00:00.000",,"(34.0373, -118.2406)"
"0000001159-0004-8","THE SKID ROW HOUSING TRUST",,"617 E 5TH STREET","LOS ANGELES","90013-2109","617 5TH 90013-2109","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-18T00:00:00.000",,"(34.0434, -118.2426)"
"0000001159-0005-6","THE SKID ROW HOUSING TRUST",,"1205 E 6TH STREET","LOS ANGELES","90021-1209","1205 6TH 90021-1209",,,,"624200","Community food & housing, & emergency & other relief services","14","2015-03-18T00:00:00.000",,"(34.0381, -118.2369)"
"0000001159-0006-4","THE SKID ROW HOUSING TRUST",,"905 E 6TH STREET","LOS ANGELES","90021-1017","905 6TH 90021-1017","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-18T00:00:00.000",,"(34.0397, -118.2411)"
"0000001159-0007-2","THE SKID ROW HOUSING TRUST",,"508 E 4TH STREET","LOS ANGELES","90013-2104","508 4TH 90013-2104","1317 E 7TH STREET","LOS ANGELES","90021-1101","532290","Other consumer goods rental","14","2015-03-20T00:00:00.000",,"(34.0448, -118.2414)"
"0000001159-0008-1","THE SKID ROW HOUSING TRUST",,"526 S MAIN STREET","LOS ANGELES","90013-1422","526 MAIN 90013-1422","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0463, -118.2489)"
"0000001159-0009-9","THE SKID ROW HOUSING TRUST",,"115 E 3RD STREET","LOS ANGELES","90013-1301","115 3RD 90013-1301","1317 E 7TH STREET","LOS ANGELES","90021-1101","711510","Independent artists, writers, & performers","14","2015-03-20T00:00:00.000",,"(34.0489, -118.2454)"
"0000001159-0010-2","THE SKID ROW HOUSING TRUST",,"520 SAN JULIAN STREET","LOS ANGELES","90013-1513","520 SAN JULIAN 90013-1513","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.044, -118.2453)"
"0000001159-0011-1","THE SKID ROW HOUSING TRUST",,"224 BOYD STREET","LOS ANGELES","90013-1406","224 BOYD 90013-1406","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0475, -118.2448)"
"0000001159-0012-9","THE SKID ROW HOUSING TRUST",,"611 E 5TH STREET","LOS ANGELES","90013-2109","611 5TH 90013-2109","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0434, -118.2426)"
"0000001159-0013-7","THE SKID ROW HOUSING TRUST",,"713 E 5TH STREET","LOS ANGELES","90013-2110","713 5TH 90013-2110","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0429, -118.2419)"
"0000001159-0014-5","THE SKID ROW HOUSING TRUST",,"549 CERES AVENUE","LOS ANGELES","90013-1716","549 CERES 90013-1716","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0406, -118.2405)"
"0000001159-0015-3","THE SKID ROW HOUSING TRUST",,"521 S SAN PEDRO STREET","LOS ANGELES","90013-2148","521 SAN PEDRO 90013-2148","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0437, -118.2441)"
"0000001159-0016-1","THE SKID ROW HOUSING TRUST",,"726 S MAIN STREET","LOS ANGELES","90014-2013","726 MAIN 90014-2013","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0435, -118.2519)"
"0000001159-0017-0","THE SKID ROW HOUSING TRUST",,"721 S MAIN STREET","LOS ANGELES","90014-2363","721 MAIN 90014-2363","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0436, -118.2518)"
"0000001159-0018-8","THE SKID ROW HOUSING TRUST",,"625 S SAN PEDRO STREET","LOS ANGELES","90014-2424","625 SAN PEDRO 90014-2424","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-20T00:00:00.000",,"(34.0417, -118.2456)"
"0000001159-0019-6","THE SKID ROW HOUSING TRUST",,"643 S SAN PEDRO STREET","LOS ANGELES","90014-2464","643 SAN PEDRO 90014-2464","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","14","2015-03-24T00:00:00.000",,"(34.0417, -118.2456)"
"0000001159-0020-0","THE SKID ROW HOUSING TRUST",,"811 S CARONDELET STREET","LOS ANGELES","90057-3915","811 CARONDELET 90057-3915","1317 E 7TH STREET","LOS ANGELES","90021-1101","624200","Community food & housing, & emergency & other relief services","1","2014-01-01T00:00:00.000",,"(34.0565, -118.2821)"
"0000001159-0021-8","THE SKID ROW HOUSING TRUST",,"507   MAPLE AVENUE","LOS ANGELES","90013-1511","507 MAPLE 90013-1511","1317 E 7TH STREET","LOS ANGELES","90021-1101","812990","All other personal services","14","2016-07-25T00:00:00.000",,"(34.0453, -118.247)"
"0000001159-0022-6","THE SKID ROW HOUSING TRUST",,"1317 E 7TH STREET","LOS ANGELES","90021-1101","1317 7TH 90021-1101",,,,"812990","All other personal services","14","2017-02-15T00:00:00.000",,"(34.0364, -118.2405)"
"0000001168-0001-2","THE SKID ROW HOUSING TRUST",,"114 E 5TH STREET","LOS ANGELES","90013-1416","114 5TH 90013-1416","1317 E 7TH STREET","LOS ANGELES","90021-1101","561300","Employment services","9","1996-10-01T00:00:00.000",,
"0000001169-0001-7","THE SKID ROW HOUSING TRUST",,"108 E 5TH STREET","LOS ANGELES","90013-1416","108 5TH 90013-1416","1317 E 7TH STREET","LOS ANGELES","90021-1101","561300","Employment services","14","1996-10-01T00:00:00.000",,"(34.0465, -118.2481)"
"0000001176-0001-7","KOREAN GARDENS RESTAURANT INC","YONGSUSAN RESTAURANT","950 S VERMONT AVENUE","LOS ANGELES","90006-1611","950 VERMONT 90006-1611",,,,"722110","Full-service restaurants","10","1975-07-15T00:00:00.000",,"(34.054, -118.2916)"
"0000001178-0001-6","THE SKID ROW HOUSING TRUST",,"680 S CENTRAL AVENUE","LOS ANGELES","90021-1039","680 CENTRAL 90021-1039","1317 E 7TH STREET","LOS ANGELES","90021-1101","561300","Employment services","14","2000-02-01T00:00:00.000",,"(34.0373, -118.2406)"
"0000001179-0001-1","CENTRO ESPIRITA EURIPEDES BARSANULFO",,"12206 W PICO BLVD #B","LOS ANGELES","90064-1135","12206 PICO 90064-1135","20620 ENTRADERO AVENUE","TORRANCE","90503-2700","611000","Educational services (including schools, colleges, & universities)","11","2000-07-05T00:00:00.000",,"(34.0289, -118.4511)"
"0000001180-0001-3","CALIFORNIA FASHION ASSOCIATION",,"578 WASHINGTON BLVD UNIT #827","MARINA DEL REY","90292-5421","578 WASHINGTON 90292-5421",,,,"611000","Educational services (including schools, colleges, & universities)","11","1995-10-10T00:00:00.000",,"
,  
(33.9839, -118.4588)"
"0000001183-0001-7","OPTIONS FOR YOUTH-BURBANK INC",,"6628 VAN NUYS BLVD","VAN NUYS","91405-4617","6628 VAN NUYS 91405-4617","320 N HALSTEAD STREET SUITE #150","PASADENA","91107-3179","541600","Management, scientific, & technical consulting services","6","2000-09-01T00:00:00.000",,"(34.1911, -118.4487)"
"0000001183-0002-5","OPTIONS FOR YOUTH-BURBANK INC",,"8421 RESEDA BLVD","NORTHRIDGE","91324-4625","8421 RESEDA 91324-4625","320 N HALSTEAD STREET SUITE #150","PASADENA","91107-3179","561110","Office administrative services","12","2011-05-01T00:00:00.000",,"(34.223, -118.536)"
"0000001192-0001-6","THE PUBLIC HEALTH FOUNDATION OF LOS ANGELES COUNTY INC","PUBLIC HEALTH FOUNDATION WIC PROGRAM","1836 W IMPERIAL HIGHWAY","LOS ANGELES","90047-5020","1836 IMPERIAL 90047-5020","12781 SCHABARUM AVENUE","IRWINDALE","91706-6807","621510","Medical & diagnostic laboratories","0","2000-07-17T00:00:00.000",,
"0000001201-0001-7","JAPANESE COMMUNITY PIONEER CENTER",,"401 E 3RD STREET","LOS ANGELES","90013-1601","401 3RD 90013-1601","244 S SAN PEDRO STREET #B5","LOS ANGELES","90012-3856","561500","Travel arrangement & reservation services","14","1999-07-01T00:00:00.000",,"(34.0473, -118.2424)"
"0000001208-0001-9","KOREAN AMERICAN FEDERATION OF LOS ANGELES",,"981 S WESTERN AVENUE SUITE #100","LOS ANGELES","90006-1080","981 WESTERN 90006-1080",,,,"624100","Individual & family services","10","1999-07-01T00:00:00.000",,"(34.0532, -118.309)"
"0000001214-0001-4","SOUTHERN CALIFORNIA CENTER FOR NONPROFIT MANAGEMENT",,"1000 N ALAMEDA STREET SUITE #250","LOS ANGELES","90012-1804","1000 ALAMEDA 90012-1804",,,,"541600","Management, scientific, & technical consulting services","1","1991-07-01T00:00:00.000",,"(34.0602, -118.2365)"
"0000001217-0001-8","HARRIS NESBITT GERARD",,"11150 SANTA MONICA BLVD #800","LOS ANGELES","90025-0417","11150 SANTA MONICA 90025-0417",,,,"561300","Employment services","5",,,
"0000001221-0001-4","THELONIOUS MONK INSTITUTE OF JAZZ",,"1801 AVENUE OF THE STARS SUITE #302","LOS ANGELES","90067-5905","1801 AVENUE OF THE STARS 90067-5905","5225 WISCONSIN AVENUE NW #605","WASHINGTON","20015-2024","611000","Educational services (including schools, colleges, & universities)","5","1996-07-01T00:00:00.000",,"(34.061, -118.4184)"
"0000001222-0001-9","SEI IL KIM","SI DISTRIBUTION CO","515 STANFORD AVENUE","LOS ANGELES","90013-2122","515 STANFORD 90013-2122",,,,"424400","Grocery & related products","14","1992-03-01T00:00:00.000",,"(34.0423, -118.2414)"
"0000001224-0001-8","EMMA SALAZAR","EMMA'S BEAUTY SALON","1640 W WASHINGTON BLVD #5","LOS ANGELES","90007-1115","1640 WASHINGTON 90007-1115",,,,"812113","Nail salons","1","1992-03-01T00:00:00.000",,"(34.0399, -118.2928)"
