Event Name,Event Description,Fee Required,Type of Event,Subject Matter,Age Groupings,Event by Service Area,Event Sponsor,Event Date & Time Start,Event Date & Time Ends,Location Common Name,Location Address,Contact Name,Contact Number,Contact Email,Information Website,Elected Official Office Name,Elected Officials Name,Neighborhood Council,City Reference ID,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
Office of Community Beautification - LAPD Olympic Division - CD 10,Community Clean-Up,,Volunteerism,,,,BPW OCB,09/26/2015 09:00:00 AM,09/26/2015 12:00:00 PM,LAPD Olympic Station,"1130 S. Vermont Ave.
Los Angeles, CA 90006
(34.050245, -118.291609)",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,22723,620,1356,,11,8
Office of Community Beautification - Ballona Creek - UCLA,Creek Clean-Up,,Volunteerism,,,,BPW OCB,09/26/2015 09:00:00 AM,09/26/2015 11:00:00 AM,Ballona Creek,"Centinela & Ballona Creek
Los Angeles, CA 90293",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Ramona Gardens Rec Center,Cummunity Clean-Up,No,Volunteerism,,,,BPW OCB,09/26/2015 10:00:00 AM,09/26/2015 02:00:00 PM,Ramona Gardens Rec Center,"2830 Lancaster Avenue
Los Angeles
(34.057076, -118.194867)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,508,335,,9,
Office of Community Beautification ~ North Area Neighborhood Council ~ Office of Councilmember Marqueece Harris-Dawson,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/03/2015 09:00:00 AM,10/03/2015 01:00:00 PM,Martin Luther King Jr. Park,"3916 South Western Ave
Los Angeles, California 90062
(34.013897, -118.308909)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24027,731,1016,7,14,32
Office of Community Beautification ~ TRUST South LA,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/06/2015 04:00:00 PM,10/06/2015 07:00:00 PM,,"43rd Street & Main Street
Los Angeles, California 90037",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,,,,,,,,,,,
Office of Community Beautification ~ 186th Area Homeowners Associatoion and Neighborhood Watch,Community Garden,No,Volunteerism,,,,BPW OCB,10/10/2015 08:00:00 AM,10/10/2015 01:00:00 PM,186th Street Elementary School,"1581 West 186th Street
Los Angeles",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ St. Genevieve High School,Panorama City Community Clean-Up,No, Volunteerism,,,,BPW OCB,10/10/2015 08:00:00 AM,10/10/2015 12:00:00 PM,St. Genevieve High School,"13967 Roscoe Blvd
Panorama City, California 91402
(34.221669, -118.437596)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,19730,140,1040,,3,59
Offiice of Community Beautification ~ Mar Vista Gardens ~ LAPD Pacific Division,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/17/2015 08:00:00 AM,10/17/2015 12:00:00 PM,Mar Vista Gardens,"11965 Allin Street
Culver City, California 90230
(33.991623, -118.412942)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24678,922,442,10,10,85
Office of Community Beautification ~ Manual Arts High School,Gardening Clean-Up,No,Volunteerism,,,,BPW OCB,10/17/2015 08:00:00 AM,10/17/2015 01:00:00 PM,Manual Arts High School,"4131 South Vermont Avenue
Los Angeles, California 90037
(34.008774, -118.291548)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.lacity.org,,,,,23668,733,1152,7,13,2
Office of Community Beautification ~ Dolores Mission Church,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/17/2015 09:00:00 AM,10/17/2015 12:00:00 PM,Dolores Mission Church,"170 South Gless Street
Los Angeles, California 90033
(34.045422, -118.223054)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,534,953,,9,38
Office of Community Beautification ~ 49th Street Elementary School,Community Clean-up,No,Volunteerism,,,,BPW OCB,10/17/2015 09:00:00 AM,10/17/2015 11:00:00 AM,49th Street Elementary School,"750 East 49th Street
Los Angeles, California 90011
(33.998646, -118.263024)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,723,893,7,13,
"Office of Community Beautification ~ Council President Herb J. Wesson, Jr. ~ Los Angeles Elementary School",Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/17/2015 09:00:00 AM,10/17/2015 12:00:00 PM,Los Angeles Elementary School,"1211 South Hobart Boulevard
Los Angeles, California 90006
(34.04862, -118.305229)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22723,618,1357,,12,52
Office of Community Beautification ~ Office of Councilmember Curren D. Price Jr. ~ Esperanza Community Housing ~ Trust South LA,Clean and Healthy Neighborhood Clean Up Day,No,Volunteerism,,,,BPW OCB,10/17/2015 10:00:00 AM,10/17/2015 12:00:00 PM,,"5857 Inskeep Avenue
Los Angeles, California 90003
(33.988151, -118.276125)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22352,785,993,7,13,46
Office of Community Beautification ~ Office of Councilmember Jose Huizar ~ Eagle Rock NC ~ Glassel Park NC ~ Highland Park NC,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/24/2015 09:00:00 AM,10/24/2015 01:00:00 PM,CVS Parking lot,"4414 York Blvd
Los Angeles, California 30041
(34.124088, -118.220473)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23672,383,1433,,9,60
Office of Community Beautification ~ Councilmember Mike Bonin,3rd Annual La Tijera Communiyt Clean-Up,No,Volunteerism,,,,BPW OCB,10/24/2015 10:00:00 AM,10/24/2015 12:00:00 PM,DWP Substation Lawn,"7867 La Tijera Boulevard
Los Angelea, California
(33.965506, -118.385168)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23676,925,1066,10,10,16
Office of Community Beautification ~ Freedrom Church ~ The Highland Park Chamber of Commerce,Community Clean-Up,No,Volunteerism,,,,BPW OCB,10/25/2015 04:00:00 PM,10/25/2015 06:00:00 PM,Freedom Church,"5609 York Boulevard
Los Angeles, California 90041
(34.119343, -118.196328)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,362,1224,,9,93
Office of Community Beautification ~ West Adams High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/07/2015 08:00:00 AM,11/07/2015 01:00:00 AM,West Adams High School,"1500 West Washington Boulevard
Los Angeles, California
(34.04001, -118.289685)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
Office of Community Beautification ~ Broadway Elementary School,Community Clean-Up,No, Volunteerism,,,,BPW OCB,11/07/2015 09:00:00 AM,11/07/2015 01:00:00 PM,Broadway Elementary School,"1015 Lincoln Boulevard
Venice, California
(33.998265, -118.461511)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,25073,906,850,10,10,30
Office of Community Beautification ~ Hollywood Heights Association,Hollywood Heights Association Clean-Up,No,Volunteerism,,,,BPW OCB,11/07/2015 09:00:00 AM,11/07/2015 01:00:00 PM,Yamashiro Restaurant,"1999 North Sycamore Avenue
Los Angeles, California 90068
(34.106308, -118.341765)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24033,408,717,,7,82
Office of Community Beautification - Arleta Community Clean Up,Community Clean Up,,Volunteerism,,,,BPW OCB,11/07/2015 09:00:00 AM,11/07/2015 12:00:00 PM,Sharp Elementary School,"13800 Pierce Street
Arleta, CA 91331
(34.252819, -118.433056)",Anna Ruiz,(213) 978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,18907,129,403,,3,41
Office of Community Beautification ~ Sharp Elementary School ~ Office of Councilwoman Nury Martinez,Arleta Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/07/2015 09:00:00 AM,11/07/2015 12:00:00 PM,Sharp Elementary School,"138000 Pierce Street
Arleta, California 91331",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification - Castle Heights Elementary,School Clean Up,,Volunteerism,,,,BPW OCB,11/07/2015 09:00:00 AM,11/07/2015 12:00:00 PM,Castle Heights Elementary,"9755 Cattaraugus Avenue
Los Angeles, CA 90034
(34.037407, -118.398599)",Anna Ruiz,(213) 978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,23451,872,1100,9,6,95
Office of Community Beautification ~ Salvation Army Red Shield ~ The Office of Councilmember Gil Cedillo,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/14/2015 08:00:00 AM,11/14/2015 12:00:00 PM,Salvation Army Red Shield,"1532 West 11th Street
Los Angeles, California 90015
(34.047301, -118.274186)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23076,576,661,,11,8
Office of Community Beautification - Greater SFV Chamber of Commerce,Community Clean Up,,Volunteerism,,,,BPW OCB,11/14/2015 08:00:00 AM,11/14/2015 12:00:00 PM,Encino Franklin Fields,"17301 Oxnard St.
Encino, CA 91316
(34.180136, -118.510498)",Anna Ruiz,(213) 978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,4286,315,340,,6,62
Office of Community Beautification ~ Pico Union Pocket Vest Park ~ The Office of Councilmember Gil Cedillo,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/14/2015 08:00:00 AM,11/14/2015 12:00:00 PM,Pico Union Pocket Vest Park,"1827 South Hoover Street
Los Angeles, California 90006
(34.041318, -118.284121)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22723,671,1521,,11,8
Office of Community Beautification ~ St. Thomas Church ~ The Office of Councilmember Gil Cedillo,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/14/2015 08:00:00 AM,11/14/2015 12:00:00 PM,St. Thomas Church,"2727 Pico Boulevard
Los Angeles, California 90006
(34.047215, -118.298343)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22723,673,923,,11,8
Office of Community Beautification ~ Heart of Los Angeles ~ The Office of Councilmember Gil Cedillo,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/14/2015 09:00:00 AM,11/14/2015 12:00:00 PM,H.O.L.A,"2701 Wilshire Boulevard
Los Angeles, California 90057
(34.061045, -118.282628)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24352,558,884,,11,63
Office of Community Beautification ~ USC Public Safety,Community Clean-Up,No,Volunteerism,,,,BPW OCB,11/15/2015 10:00:00 AM,11/15/2015 02:00:00 PM,,"801 West 28th Street
Los Angeles
(34.027772, -118.281163)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,701,967,7,13,32
Office of Community Beautification ~ Esperanza Elementary ` Camino Nuevo Church,Westlake Advocacy Clean-Up,No,Volunteerism,,,,BPW OCB,11/21/2015 09:00:00 AM,11/21/2015 01:00:00 PM,Camino Nuevo ,"1433 James M. Wood
Los Angeles, California 90015
(34.050052, -118.271398)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23078,568,1378,,11,68
Office of Community Beautification - LAPD Wilshire Division Clean Up,Community Clean Up,,Volunteerism,,,,BPW OCB,11/21/2015 10:00:00 AM,11/21/2015 12:00:00 PM,,"Apple & Hauser
Los Angeles, CA 90016",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Offcie of Community Beautification ~ Office of Councilman Curren Price ~ 93rd Street Elementary School,Community Clean Up,No,Volunteerism,,,,BPW OCB,12/05/2015 08:00:00 AM,12/05/2015 01:00:00 PM,93rd Street Elementary School,"350 East 93rd Street
Los Angeles, California 90003
(33.951992, -118.268241)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22352,799,1173,7,13,45
Office of Community Beautification ~ Mar Vista Family Center,Community Clean-Up,No,Volunteerism,,,,BPW OCB,12/05/2015 08:00:00 AM,12/05/2015 01:00:00 PM,Mar Vista Family Center,"5070 South Slauson Avenue
Culver City, California 90230
(33.993533, -118.406834)",Virginia Valencia,213-978-0226,virginia.valencia@lacity.org,http://www.laocb.org,,,,,24678,917,873,10,10,85
Office Of Community Beautification ~ West Adams High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,12/05/2015 08:00:00 AM,12/05/2015 12:00:00 PM,West Adams High School,"1500 West Washington Boulevard
Los Angeles, California
(34.04001, -118.289685)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
Office of Community Beautification - Pico/Normandie Clean Up,Community Clean Up,,Volunteerism,,,,BPW OCB,12/05/2015 09:00:00 AM,12/05/2015 12:00:00 PM,Pico/Normandie Clean Up,"Community Plaza @ Pico/Normandie
Los Angeles, CA 90006",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Office of Coucilmember Paul Krekorian,Community Clean Up,No,Volunteerism,,,,BPW OCB,12/12/2015 07:00:00 AM,12/12/2015 12:00:00 PM,North Hollywood Park,"11430 Chandler Boulevard
North Hollywood, California 91601
(34.168114, -118.38063)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,8488,207,813,,5,13
Office of Community Beautification ~ Office of Councilmember Jose Huizar ~ LAPD ~ University Hills Neighborhood Watch,Community Clean-Up,No,Volunteerism,,,,BPW OCB,12/12/2015 09:00:00 AM,12/12/2015 11:00:00 AM,,"Lansdowne and Eastern Avenue
Los Angeles, California",Thomas Corrales,213-978-0320,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification - MLK Day of Service Community Clean Up,Community Clean Up,,Volunteerism,,,,BPW OCB,01/18/2016 09:00:00 AM,01/18/2016 12:00:00 PM,Fire Station #89,"7063 Laurel Canyon Bl.
North Hollywood, 91605",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification - North Hollywood Clean Up,Community Clean Up,,Volunteerism,,,,BPW OCB,01/30/2016 08:00:00 AM,01/30/2016 12:00:00 PM,Church of LDS,"11830 Saticoy St.
North Hollywood, 91605
(34.208466, -118.39138)",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,8888,160,1273,,3,14
Office of Community Beautification ~ Panorama City Community Clean-Up,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/06/2016 12:00:00 AM,02/06/2016 12:00:00 AM,Leggett Street Elementary School,"9373 Moonbean Avenue
Panorama City, Califonia 91402",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ West Adams High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/06/2016 08:00:00 AM,02/06/2016 12:00:00 PM,West Adams High School,"1500 West Washington Boulevard
Los Angeles, CA
(34.04001, -118.289685)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
Office of Community Beautification ~ Panorama City Community Clean-Up,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/07/2016 09:00:00 AM,02/07/2016 01:00:00 PM,Sepulveda Recreation Center,"8825 Kester Avenue
Panorama City, CA 91402
(34.230562, -118.457467)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,19730,149,667,,3,59
Office of Community Beautification ~ Councilmember Jose Huizar ~ LA-32 Neighborhood Council,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/20/2016 08:00:00 AM,02/20/2016 12:00:00 PM,Dollar Tree Parking Lot,"4617 Huntington Drive North
Los Angeles, California 90032
(34.086285, -118.186719)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23449,498,374,,9,91
Office of Community Beautification ~ Manual Arts High School,Community Garden,No,Volunteerism,,,,BPW OCB,02/20/2016 08:00:00 AM,02/20/2016 01:00:00 PM,Manual Arts High School,"4131 South Vermont
Los Angeles, California
(34.008232, -118.291544)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23668,733,1152,7,13,2
Office of Community Beautification ~ Dolores Huerta Elementary School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/20/2016 09:00:00 AM,02/20/2016 12:00:00 PM,Dolores Huerta Elementary School,"260 East 31st Street
Los Angeles, California
(34.019999, -118.268833)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,700,975,7,13,6
Office of Community Beautification ~ 49th Street Elementary School,Community Clean-Up,No, Volunteerism,,,,BPW OCB,02/20/2016 09:00:00 AM,02/20/2016 01:00:00 PM,49th Street Elementary School,"750 East 49th Street
Los Angeles, California
(33.998646, -118.263024)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,723,893,7,13,
Office of Community Beautification - Ballona Creek Cleanup,Creek Cleanup,,Volunteerism,,,,BPW OCB,02/20/2016 09:00:00 AM,02/20/2016 12:00:00 PM,,"Centinela & Milton bet. Culver & 1-90 fwy.
Los Angeles, CA 90066",Anna Ruiz,213-978-0231,anna.ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Nightingale Middle School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,02/27/2016 08:00:00 AM,02/27/2016 12:00:00 PM,Nightingale Middle School,"3311 North Figueroa
Los Angeles, California",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ First AME Church,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/03/2016 08:00:00 AM,03/03/2016 12:00:00 PM,First AME Church,"2270 South Harvard
Los Angeles, California
(34.034753, -118.306527)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23079,679,643,7,14,32
Office of Community Beautification ~ Julian Nava Learning Academy,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/05/2016 08:30:00 AM,03/05/2016 01:00:00 PM,Julian Nava Learning Academy,"1420 East Adams Boulevard
Los Angeles, California
(34.015543, -118.248115)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,708,971,7,13,6
Office of Community Beautification - LAPD/Wilshire Division & Sunburst Academy,Community Clean Up,,,,,,BPW OCB,03/12/2016 07:30:00 AM,03/12/2016 12:30:00 PM,,"Apple St. & Hauser Bl.
Los Angeles, CA 90016",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Office of Councilmember Jose Huizar,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/12/2016 08:00:00 AM,03/12/2016 12:00:00 PM,Yosemite Rec Center,"1840 Yosemite Drive
Los Angeles, California 90041
(34.133734, -118.207921)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23672,358,401,,9,60
Office of Community Beautification - CD 6/LAPD Foothill Division Cleanup,Community Clean Up,,,,,,BPW OCB,03/12/2016 08:30:00 AM,03/12/2016 12:00:00 PM,,"9081 Tujunga Ave.
Sun Valley, CA 91352",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Valor High School ~ Councilwoman Nury Martinez,3rd Annual Valor Academy High School Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/18/2016 08:30:00 AM,03/18/2016 10:30:00 AM,Valor High School,"8015 Van Nuys Boulevard
Los Angeles, California 91402
(34.216532, -118.448769)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,19730,143,418,,3,59
Office of Community Beautification ~ Proyecto Pastoral At Dolores Mission,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/19/2016 08:00:00 AM,03/19/2016 11:00:00 AM,Dolores Mission Church,"170 South Gless Street
Los Angeles, California 90033
(34.045422, -118.223054)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23450,534,953,,9,38
Office of Community Beautification ~ Office of Councilman Curren Price,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/19/2016 08:00:00 AM,03/19/2016 12:00:00 PM,,"7600 South Avalon
Los Angeles, California 90003",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Commuity Beautification ~ Office of Councilman Curren Price,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/19/2016 08:00:00 AM,03/19/2016 12:00:00 PM,Estelle Van Meter Center,"7600 South Avalon Boulevard
Los Angeles, California 90003
(33.971155, -118.265153)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22350,791,998,7,13,46
Office of Community Beautification - CD11/WLANC Community Clean Up,Community Clean Up,,,,,,BPW OCB,03/19/2016 09:00:00 AM,03/19/2016 11:00:00 AM,WLA Municipal Building,"1645 Corinth Avenue
Los Angeles, CA 90025
(34.04544, -118.448968)",Anna Ruiz,213-978-0231,Anna.Ruiz@lacity.org,http://www.laocb.org,,,,,23443,861,746,9,10,50
Office of Community Beautification ~ Freemont High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/23/2016 10:00:00 AM,03/23/2016 02:00:00 PM,Freemont High School,"7676 South San Pedro
Los Angeles, California
(33.969394, -118.269523)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22352,791,998,7,13,46
Farmers Cares Week Community Clean Up,,,Volunteerism,,,,BPW OCB,03/25/2016 10:00:00 AM,03/25/2016 12:00:00 AM,Shoup / 101 Fwy Underpass,"Shoup Ave.
CA, 91364",Farmers Insurance - Raymond Cole,,jason.valencia@lacity.org,,Council District 3,Councilmember Blumenfield ,Woodland Hills Warner Center NC,,,,,,,
Offcie of Community Beautification ~ LAPD Central Division,Community Clean-Up,No,Volunteerism,,,,BPW OCB,03/26/2016 07:00:00 AM,03/26/2016 12:00:00 PM,,"1100 South Flower Street
Los Angeles, California 90015
(34.042778, -118.264299)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23076,547,773,31,9,76
Office of Community Beautification ~ Malabar Elementary School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/02/2016 09:00:00 AM,04/02/2016 12:00:00 PM,Malabar Elementary School,"3200 Malabar Street
Los Angeles, California 90063
(34.045251, -118.195154)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,24028,515,946,,9,38
Office of Community Beautification ~ Seeds of Hope ~ St. Philip's the Evangelist Church,Prep Day,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,St. Philip's the Evangelist Church,"2800 Stanford Avenue
Los Angeles, California 90011
(34.019487, -118.260323)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,706,965,7,13,6
Office of Community Beautification ~ Seeds of Hope ~ Pico Union Project,Prep Day,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,Pico Union Project,"1153 Valencia Street
Los Angeles, California 90015
(34.045794, -118.274006)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23076,576,661,,11,8
Office of Community Beautification ~ West Adams High School,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 12:00:00 PM,West Adams High School,"1500 West Washington Boulevard
Los Angeles, California
(34.04001, -118.289685)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
Office of Community Beautification ~ Office of Councilmember Gilbert A. Cedillo ~ Hoover Elementary School,Community Clean-Up,No,Volunteerism ,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 12:00:00 PM,Hoover Elementary School ,"2726 Francis Ave
Los Angeles, CA 90005
(34.056826, -118.284968)",Ana Huizar,213-978-0224,ana.huizar@lacity.org,http://www.laocb.org,,,,,22722,599,1292,,11,63
Office of Community Beautification ~ Seeds of Hope,Community Project,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,All Saints Highland Park,"5619 Monte Vista
Los Angeles, California 90042
(34.111412, -118.19519)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23673,370,477,28,11,93
Office of Community Beautification ~ Seeds of Hope ~ Cathedral Center of St. Paul,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,Cathedral Center of St. Paul,"840 Echo Park Avenue
Los Angeles, California 90026
(34.073732, -118.259249)",Thomas Corrales,213-978-0230,thoma.corrales@lacity.org,http://www.laocb.org,,,,,23444,482,579,,8,31
Office of Community Beautification ~ Seeds of Hope ~ Friendly Friendship Babtist Church,Pep Day,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,Friendly Friendship Babtist Church,"10101 South Avalon Blvd.
Los Angeles, California 90044
(33.944513, -118.265147)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22351,805,360,7,14,45
Office of Community Beautification ~ Seeds of Hope ~ Consolidated Realtist,Prep Day,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,Consolidated Realtist,"3725 Don Felipe Drive
Los Angeles, California 90008
(34.006835, -118.340287)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22725,765,1025,7,14,54
Office of Community Beautification ~ Seeds of Hope ~ St.  Stephen's Episcopal Church,Prep Day,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,St. Stephen's Episcopal Church,"6125 Carlos Avenue
Los Angeles, California 90028
(34.10283, -118.323213)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23446,427,573,,8,64
Office of Community Beautification ~ L.A. Host Lions & Central City Action Committee ~ Tree Maintenance Project ,Service Event ,No,Volunteerism ,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 11:00:00 AM,Sunset Blvd - Douglas St. to Alvarado St. ,,Ana Huizar,2139780224,ana.huizar@lacity.org,http://www.laocb.org,,,,,,,,,,
Office of Community Beautification ~ Seeds of Hope,Community Garden,No,Volunteerism,,,,BPW OCB,04/09/2016 08:00:00 AM,04/09/2016 01:00:00 PM,La Iglesia De La Epifania,"2808 Altura Street
Los Angeles, California 90031
(34.075468, -118.212798)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23448,488,516,,11,1
