"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-23T10:00:00.000","2016-09-23T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09232016_bpwcal.htm",,,,
"Los Angeles Convention Center - Naturalization","Paid parking available","No","Business",,,,"Convention Center","2016-09-22T07:00:00.000","2016-09-22T15:00:00.000","Los Angeles Convention Center, West Hall AB","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Board of Public Works Meeting ","Special Town Hall Meeting",,"Meeting - Board",,,,"BPW","2016-09-21T17:30:00.000","2016-09-21T20:30:00.000","Marlborough School","250 South Rossmore Avenue
Los Angeles, CA 90004
(34.070066, -118.327348)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09212016_bpwcal.htm",,,,
"Los Angeles Convention Center - Apartment Owners Assoc. Tradeshow & Landlording Conference",,"Yes","Trade Show, Conference",,,,"Convention Center","2016-09-20T08:30:00.000","2016-09-20T18:30:00.000","Los Angeles Convention Center, West Hall B","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.aoausa.com/",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-19T10:00:00.000","2016-09-19T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09192016_bpwcal.htm",,,,
"Los Angeles Convention Center - 2016 Green Festival",,"Yes","Convention / Expo",,,,"Convention Center","2016-09-18T10:00:00.000","2016-09-18T05:00:00.000","Los Angeles Convention Center, South Hall K","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.greenfestivals.org/",,,,
"Office of Community Beautification: Sunland/Tujunga Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-18T09:00:00.000","2016-09-18T13:00:00.000",,"11021 Odell Ave.
Sunland, CA 91040
(34.269311, -118.312405)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Los Angeles Convention Center - 2016 Green Festival",,"Yes","Convention / Expo",,,,"Convention Center","2016-09-17T10:00:00.000","2016-09-17T18:00:00.000","Los Angeles Convention Center, South Hall K","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.greenfestivals.org/",,,,
"Office of Community Beautification ~  Councilmember Maqueece Harris-Dawson ","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T09:00:00.000","2016-09-17T12:00:00.000",,"8730 South Vermont Avenue
Los Angeles, California 90044
(33.958381, -118.291497)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Councilman Curren Price ~ Heal the Bay","Coastal Clean-Up Day","No","Volunteerism",,,,"BPW OCB","2016-09-17T09:00:00.000","2016-09-17T13:00:00.000","Ways Park","87th Street & McKinley Avenue
Los Angeles, California 90002","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Councilman Curren Price ~ Gilbert Lindsay Rec Park","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T09:00:00.000","2016-09-17T12:00:00.000","Gilbert Lindsay Rec Park","429 East 42nd Place
Los Angeles, California 90011
(34.006587, -118.267457)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Ultimate Restoration Unlimited","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T09:00:00.000","2016-09-17T12:00:00.000",,"Arlington Avenue and 48th Street
Los Angeles, California 
(34.000053, -118.318141)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Heal the Bay Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-09-17T08:30:00.000","2016-09-17T12:00:00.000","6100 Balboa Blvd ","Los Angeles
,  ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://www.laocb.org","Office of Councilwoman Nury Martinez","Councilwoman Nury Martinez","Sixth District ",
"Office of Community Beautification: Mission Hills NC Beautification Committee","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-17T08:30:00.000","2016-09-17T12:00:00.000",,"Lemona Ave. / Devonshire St.
Mission Hills, CA 91345","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification: West Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-17T08:30:00.000","2016-09-17T11:30:00.000",,"Platt Ave. & Candlewood Way
West Hills,  ","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification ~ North Are Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T08:00:00.000","2016-09-17T12:00:00.000",,"Adams Boulevard & Normandie Avenue
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Councilman Curren Price ~ Green Meadow Community","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T08:00:00.000","2016-09-17T12:00:00.000",,"88th Street between San Pedro & Main Streets
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Proyecto Pastoral at Dolores Mission","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-17T08:00:00.000","2016-09-17T01:00:00.000","Dolores Mission Plaza","135 North Mission Road
Los Angeles, California 90033
(34.048908, -118.227627)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Playa Del Rey Jungle Clean Up","Beach / Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-09-17T08:00:00.000","2016-09-17T12:00:00.000","The Jungle","7001-7011 Trolleyway
Playa Del Rey, CA 90293
(33.956061, -118.449224)","Anna Ruiz","213.978.0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Best Start Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-17T08:00:00.000","2016-09-17T11:00:00.000",,"Orion Ave. & Rayen St.
,  ","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Los Angeles Convention Center - 2016 Green Festival",,"Yes","Convention / Expo",,,,"Convention Center","2016-09-16T12:00:00.000","2016-09-16T18:00:00.000","Los Angeles Convention Center, South Hall K","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.greenfestivals.org/",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-16T10:00:00.000","2016-09-16T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09162016_bpwcal.htm",,,,
"Office of Community Beautification: Pacoima Beautiful Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-14T16:00:00.000","2016-09-14T18:30:00.000",,"13520 Van Nuys Blvd. Ste. 200
Pacoima, CA 91331
(34.261951, -118.427667)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-14T10:00:00.000","2016-09-14T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09142016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-12T10:00:00.000","2016-09-12T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09122016_bpwcal.htm",,,,
"Office of Community Beautification ~  USC ~ St. Marks Church","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-11T12:00:00.000","2016-09-11T16:00:00.000","St. Marks Church","3651 S. Vermont
Los Angeles, California 
(34.02172, -118.291597)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Mayor's Office/Civic Youth Leadership Academy","Clean Up",,"Volunteerism",,,,"BPW OCB","2016-09-10T09:30:00.000","2016-09-10T12:30:00.000",,"alleyway w/o Crenshaw bet. Stocker & Homeland
Los Angeles, CA 90008","Anna Ruiz","213.978.0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~  Ultimate Restoration Unlimited","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-10T09:00:00.000","2016-09-10T12:00:00.000",,"Arlington Avenue and 48th Street
Los Angeles, California 
(34.000053, -118.318141)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-10T09:00:00.000","2016-09-10T12:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center - Sergio Bruna: Imparable",,"Yes","Seminar / Workshop",,,,"Convention Center","2016-09-10T09:00:00.000","2016-09-10T13:00:00.000","Los Angeles Convention Center, Meeting Room 411","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","https://www.eventbrite.com/e/sergio-bruna-imparable-tickets-26959896777",,,,
"Office of Community Beautification ~ Mayor's Office/North East's Civic Youth ","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-10T09:00:00.000","2016-09-10T12:00:00.000","York Park","4956 York Boulevard
Los Angeles, Californina 90042
(34.121535, -118.207224)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Osborne Pl. Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-09-10T08:00:00.000","2016-09-10T10:30:00.000",,"12230 Osborne Pl.
Pacoima, CA 91331
(34.261461, -118.39952)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Office of Community Beautification ~ Mayor's Office/Civic Youth Leadership Academy ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-09-10T07:30:00.000","2016-09-10T13:30:00.000","San Fernando Rd. and Sayre St. ","Los Angeles
,  ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://www.laocb.org","Mayor's Office ",,,
"Office of Community Beautification ~ Mayor's Office/Civic Youth Leadership Academy ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-09-10T07:30:00.000","2016-09-10T13:30:00.000","Van Nuys Blvd. & Sherman Way ","Los Angeles
,  ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://www.laocb.org","Mayor's Office ",,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-09T10:00:00.000","2016-09-09T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09092016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-07T10:00:00.000","2016-09-07T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09072016_bpwcal.htm",,,,
"L.A. Convention Ctr. - Abu Dhabi Grand Slam Jiu Jitsu World Tour",,"Yes","International Event",,,,"Convention Center","2016-09-04T10:00:00.000","2016-09-04T17:00:00.000","Los Angeles Convention Center, South Hall HJ","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","https://uaejjf.com/",,,,
"L.A. Convention Ctr. - Abu Dhabi Grand Slam Jiu Jitsu World Tour",,"Yes","International Event",,,,"Convention Center","2016-09-03T10:00:00.000","2016-09-03T17:00:00.000","Los Angeles Convention Center, South Hall HJ","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","https://uaejjf.com/",,,,
"Office of Community Beautification ~ Ultimate Restoration Unlimited","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-09-03T09:00:00.000","2016-09-03T12:00:00.000",,"Arlington Avenue and 48th Street
Los Angeles, California 
(34.000053, -118.318141)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-09-02T10:00:00.000","2016-09-02T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/09022016_bpwcal.htm",,,,
"Office of Community Beautification - Pilgrim School","School/Neighborhood Clean Up",,"Volunteerism",,,,"BPW OCB","2016-09-02T08:00:00.000","2016-09-02T11:00:00.000","Pilgrim School","6th & Commonwealth
Los Angeles, CA 90020","Anna Ruuiz","(213) 978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Sun Valley NC Joint Meeting September 1, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-09-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797105516_09012016.pdf",,,,"105516"
"NWNC PLUZ Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-31T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgewest/ensncnorthridgewest2414105531_08312016.pdf",,,,"105531"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-31T10:00:00.000","2016-08-31T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08312016_bpwcal.htm",,,,
"Police Permit Review Panel Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-30T14:30:00.000",,,,,,,"http://ens.lacity.org/lapd/permitagenda/lapdpermitagenda263105055_08302016.pdf",,,,"105055"
"Venice NC Ocean Front Walk Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-29T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141105460_08292016.pdf",,,,"105460"
"STNC Committee Meeting August 29, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-29T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105494_08292016.pdf",,,,"105494"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-29T10:00:00.000","2016-08-29T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08292016_bpwcal.htm",,,,
"Los Angeles Convention Center - Bride World Expo",,"Yes","Convention / Expo",,,,"Convention Center","2016-08-28T10:00:00.000","2016-08-28T16:00:00.000","Los Angeles Convention Center, Concourse Hall EF","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"1-800-600-7080","info@lacclink.com","https://www.brideworld.com/expo/?eventno=131#.V6OcZPkrJph",,,,
"Los Angeles Convention Center - Bride World Expo",,"Yes","Convention / Expo",,,,"Convention Center","2016-08-27T10:00:00.000","2016-08-27T16:00:00.000","Los Angeles Convention Center, Concourse Hall EF","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"1-800-600-7080","info@lacclink.com","https://www.brideworld.com/expo/?eventno=131#.V6OcZPkrJph",,,,
"Office of Community Beautification - Cienega Elementary","School Clean Up",,"Volunteerism",,,,"BPW OCB","2016-08-27T09:00:00.000","2016-08-27T12:00:00.000","Cienega Elementary","2611 S. Orange Drive
Los Angeles, CA 90016
(34.032201, -118.353439)","Anna Ruiz","213.978.0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-08-27T09:00:00.000","2016-08-27T12:00:00.000","Sepulveda b/w Chatsworth St & Brand Blvd",,"Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Office of Community Beautification ~ Office of Councilmember Paul Krekorian ~ De Garmo Community Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-08-27T08:30:00.000","2016-08-27T12:00:00.000","De Garmo Park ","Arminta St., Sun Valley
California, 91352 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Council District 2","Councilmember Paul Krekorian ",,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Marson Park Clean Up","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-08-27T07:30:00.000","2016-08-27T11:00:00.000","Marson Park ","15256 W. Marson St. Los Angeles
California, 91402 
(34.215864, -118.465454)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Councilwoman Nury Martinez ","Council District 6",,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-26T10:00:00.000","2016-08-26T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08262016_bpwcal.htm",,,,
"GHSNC Beautification Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/granadahillssou/ensncgranadahillssou2763105577_08252016.pdf",,,,"105577"
"South Valley Area Planning Commission Agenda-Canceled",,"No ","Meeting - Board","Government",,,"ITA","2016-08-25T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/southvagenda/plnsouthvagenda300105528_08252016.pdf",,,,"105528"
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-08-25T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159105580_08252016.pdf",,,,"105580"
"City Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-25T08:30:00.000",,,,,,,"http://ens.lacity.org/pln/cityplnagenda/plncityplnagenda285105566_08252016.pdf",,,,"105566"
"Palms NC Ad Hoc on Homelessness Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-24T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410105570_08242016.pdf",,,,"105570"
"WLASNC General Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-24T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westlosangeles/ensncwestlosangeles847105553_08242016.pdf",,,,"105553"
"Homelessness and Poverty Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-24T15:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3405105582_08242016.html",,,,"105582"
" West Hills NC Joint Board, Education and Public Health Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-24T15:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105525_08242016.pdf",,,,"105525"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-24T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105539_08242016.html",,,,"105539"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-24T10:00:00.000","2016-08-24T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08242016_bpwcal.htm",,,,
"Echo Park NC Board of Governors Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791105578_08232016.pdf",,,,"105578"
"Palms NC Bylaws Committee Agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410105551_08232016.pdf",,,,"105551"
"Arroyo Seco NC Special Joint Board and Outreach Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/arroyoseconc/ensncarroyoseconc817105523_08232016.pdf",,,,"105523"
"WHNC Joint Board and Beautification Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105549_08232016.pdf",,,,"105549"
"Greater Wilshire NC Land Use Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/gwilshire/ensncgwilshire1024105550_08232016.pdf",,,,"105550"
"SONC-Green and Beautification Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/shermanoaksnc/ensncshermanoaksnc825105546_08232016.pdf",,,,"105546"
"MidTownNoHo NC Budget Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/midtownnholly/ensncmidtownnholly816105556_08232016.pdf",,,,"105556"
"PMHNC Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-23T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/parkmesaheights/ensncparkmesaheights787105559_08232016.pdf",,,,"105559"
"Central Area Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/centralagenda/plncentralagenda282105522_08232016.pdf",,,,"105522"
"Economic Development Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-08-23T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend2811105565_08232016.html",,,,"105565"
"LACERS Benefits Administration Committee/Special Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T10:30:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166105576_08232016.pdf",,,,"105576"
"LACERS Board of Administration Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T10:00:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166105574_08232016.pdf",,,,"105574"
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-23T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105579_08232016.html",,,,"105579"
"Board of Police Commissioners Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T09:30:00.000",,,,,,,"http://ens.lacity.org/lapd/agendas/lapdagendas261105581_08232016.pdf",,,,"105581"
"BBSC Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T09:30:00.000",,,,,,,"http://ens.lacity.org/ladbs/commagendas/ladbscommagendas253105562_08232016.pdf",,,,"105562"
"LACERS Audit Committee/Special Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T09:15:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166105575_08232016.pdf",,,,"105575"
"Health, Mental Health and Education Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-08-23T09:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3403105538_08232016.html",,,,"105538"
"Executive Employee Relations Committee 2016-08-23",,"No ","Meeting - Board","Government",,,"ITA","2016-08-23T08:30:00.000",,,,,,,"http://ens.lacity.org/eerc/eercagendas/eerceercagendas3076105560_08232016.pdf",,,,"105560"
"MPNC Agenda de Reunión Especial. Special Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T20:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105561_08222016.pdf",,,,"105561"
"MPNC Agenda de Reunión Regular. Regular Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105558_08222016.pdf",,,,"105558"
"WNC_Public Works and Transportation Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/winnetkanc/ensncwinnetkanc845105571_08222016.pdf",,,,"105571"
"HUNC Edu, Non Profit & Arts Ctte",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822105552_08222016.pdf",,,,"105552"
"	Central San Pedro Homelessness Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105543_08222016.pdf",,,,"105543"
"ECWANDC Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congresswest/ensnccongresswest786105557_08222016.pdf",,,,"105557"
"MCW Education and Social Services Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805105515_08222016.pdf",,,,"105515"
"Los Feliz NC Environmental Affairs Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/griffithparknc/ensncgriffithparknc803105554_08222016.pdf",,,,"105554"
"Chatsworth NC Joint Board and Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838105567_08222016.pdf",,,,"105567"
"Central San Pedro NC AD HOC Business Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-22T15:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105548_08222016.pdf",,,,"105548"
"Budget & Finance Committee - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-22T14:15:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend18105573_08222016.html",,,,"105573"
