"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type","amended"
"2021","Youth and Family Development","Youth & Family","Youth Development","Services","1000","1000","General Fund","Tax Supported Fund","Office Machine Rental","Rental Services","1000"
"2021","Public Safety","Police","Police Facilities - East 11th St Station","Services","500","500","General Fund","Tax Supported Fund","Natural Gas","Utilities","500"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Services","1900","1900","General Fund","Tax Supported Fund","Exterminating Service","Trades","1900"
"2021","General Government","Information Technology","Information Technology","Vehicle Operating Expense","11848","11848","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","11848"
"2021","Public Safety","Fire","Fire Operations Division","Services","2000","2000","General Fund","Tax Supported Fund","On-the-Job Injury Settlement Claims","Medical Services","2000"
"2021","Public Safety","Fire","Fire Station # 13","Services","9500","9500","General Fund","Tax Supported Fund","Electricity","Utilities","9500"
"2021","General Government","311 - Call Center","311 Call Center","Materials & Supplies","600","600","General Fund","Tax Supported Fund","Flags Banners and Signage","Other Materials & Supplies","600"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Salaries","355510","355510","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","355510"
"2021","Public Safety","Police","Special Victims Unit at Family Justice Center","Other Expenses","43076","43076","General Fund","Tax Supported Fund","Space Costs","Allocated Costs","43076"
"2021","Transportation","Transportation","Traffic Operations","Fringe Benefits","12992","12992","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","12992"
"2021","Public Safety","Police","Police Community Services","Services","1400","1400","General Fund","Tax Supported Fund","Dues","Other Services","1400"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Shepherd","Services","11000","11000","General Fund","Tax Supported Fund","Water","Utilities","11000"
"2021","Public Works","Public Works","CWS Central Business District","Materials & Supplies","1200","1200","General Fund","Tax Supported Fund","Safety Equipment","Other Materials & Supplies","1200"
"2021","Transportation","Transportation","Smart Cities Operations","Services","224000","224000","General Fund","Tax Supported Fund","Street Light Maintenance","Repair & Maintenance Services","224000"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown","Services","500","500","General Fund","Tax Supported Fund","Equipment Rental","Rental Services","500"
"2021","Public Works","Public Works","CWS Admin","Materials & Supplies","4000","4000","General Fund","Tax Supported Fund","Event Planning, Services and Catering","Other Materials & Supplies","4000"
"2021","Public Safety","Police","Police Admin Support & Tech Svcs","Salaries","4000","4000","General Fund","Tax Supported Fund","State Training Wages","Salaries & Wages","4000"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Fringe Benefits","13444","13444","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","13444"
"2021","General Government","Finance & Admin","Capital Planning","Travel Expense","300","300","General Fund","Tax Supported Fund","Registration Fees","Other Travel Expenses","300"
"2021","General Government","Human Resources","Employee Training","Fringe Benefits","241","241","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","241"
"2021","Transportation","Transportation","Traffic Operations","Materials & Supplies","4200","4200","General Fund","Tax Supported Fund","Hardware, Nails, Small Tools","Other Materials & Supplies","4200"
"2021","Public Works","Public Works","Trash Flash Pick-up","Vehicle Operating Expense","96965","96965","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","96965"
"2021","Public Safety","Police","Investigative Services Command","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","500"
"2021","General Government","Human Resources","Human Resources Admin","Services","50","50","General Fund","Tax Supported Fund","Freight, Express & Drayage","Delivery Services","50"
"2021","Public Works","Public Works","City Engineer","Vehicle Operating Expense","500","500","General Fund","Tax Supported Fund","Diesel Fuel","Fuel","500"
"2021","Public Safety","Police","Chief of Police","Salaries","6500","6500","General Fund","Tax Supported Fund","Overtime","Overtime","6500"
"2021","Economic and Community Development","Economic & Community Development","Outdoor Chattanooga","Travel Expense","800","800","General Fund","Tax Supported Fund","Meals","Meals & Lodging","800"
"2021","General Government","General Government","TAP - General Government","Services","25000","25000","General Fund","Tax Supported Fund","Tuition & Books","Staff Training","25000"
"2021","Public Safety","Fire","Fire Marshall Staff","Salaries","799912","799912","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","799912"
"2021","Public Safety","Fire","Fire Station # 4","Services","395","395","General Fund","Tax Supported Fund","Maintenance Services","Repair & Maintenance Services","395"
"2021","Public Safety","Fire","Fire Training Division","Services","6900","6900","General Fund","Tax Supported Fund","Sewer","Utilities","6900"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Vehicle Operating Expense","200","200","General Fund","Tax Supported Fund","Car Wash","Other Vehicle Costs","200"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Vehicle Operating Expense","2000","2000","General Fund","Tax Supported Fund","Gasoline","Fuel","2000"
"2021","Public Works","Public Works","CWS Street Sweeping","Services","200","200","General Fund","Tax Supported Fund","Wireless Data Communication","Unallocated Costs","200"
"2021","Economic and Community Development","Economic & Community Development","ECD - Homeless Outreach Program","Fringe Benefits","6164","6164","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","6164"
"2021","Public Safety","Fire","Fire Operations Division","Vehicle Operating Expense","127000","127000","General Fund","Tax Supported Fund","Diesel Fuel","Fuel","127000"
"2021","General Government","Purchasing","Purchasing","Fringe Benefits","129019.8","129019.8028","General Fund","Tax Supported Fund","Hospitalization","Insurance","129019.8028"
"2021","Public Safety","Police","Police Training Recruiting","Materials & Supplies","750","750","General Fund","Tax Supported Fund","Printer Toner Cartridges","Office Supplies","750"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Fringe Benefits","1344","1344","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","1344"
"2021","Economic and Community Development","Economic & Community Development","ECD - Neighborhood Serv - Admin","Services","50","50","General Fund","Tax Supported Fund","Freight, Express & Drayage","Delivery Services","50"
"2021","Public Safety","Police","Police Special Operations","Vehicle Operating Expense","1500","1500","General Fund","Tax Supported Fund","Diesel Fuel","Fuel","1500"
"2021","General Government","Judges","City Judges Division 1","Travel Expense","800","800","General Fund","Tax Supported Fund","Transportation","Transportation","800"
"2021","Public Works","Public Works","GIS","Vehicle Operating Expense","200","200","General Fund","Tax Supported Fund","Gasoline","Fuel","200"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Park Maintenance","Salaries","7425","7425","General Fund","Tax Supported Fund","Longevity","Other Supplements","7425"
"2021","Transportation","Transportation","Transportation Administration","Vehicle Operating Expense","6273","6273","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","6273"
"2021","General Government","Judges","City Judges Division 2","Materials & Supplies","600","600","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","600"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Brainerd","Fringe Benefits","29126.41","29126.40613","General Fund","Tax Supported Fund","Hospitalization","Insurance","29126.40613"
"2021","Economic and Community Development","Economic & Community Development","ECD - Neighborhood Serv - Admin","Services","150","150","General Fund","Tax Supported Fund","Shredding and Recycling Services","Other Services","150"
"2021","Agencies","Agencies","Approp - LAUNCH","Other Expenses","27500","27500","General Fund","Tax Supported Fund","Appropriations","Appropriations","27500"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Materials & Supplies","50000","50000","General Fund","Tax Supported Fund","Building Maintenance Supplies","Other Materials & Supplies","50000"
"2021","Public Works","Public Works","Park Mgmt - Admin","Vehicle Operating Expense","331","331","General Fund","Tax Supported Fund","Vehicle Labor","Vehicle Repairs & Maintenance","331"
"2021","Public Works","Public Works","Building Maintenance","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","300"
"2021","Public Works","Public Works","Storage on Main Street","Services","500","500","General Fund","Tax Supported Fund","Plumbing","Trades","500"
"2021","Public Safety","Fire","Fire Station # 8","Services","1100","1100","General Fund","Tax Supported Fund","Water","Utilities","1100"
"2021","Public Works","Public Works","Building Maintenance","Salaries","10853","10853","General Fund","Tax Supported Fund","Longevity","Other Supplements","10853"
"2021","Public Safety","Fire","Fire Station # 11 Hixson","Services","880","880","General Fund","Tax Supported Fund","Waste Disposal","Other Services","880"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Security","Vehicle Operating Expense","1000","1000","General Fund","Tax Supported Fund","Gasoline","Fuel","1000"
"2021","Economic and Community Development","Economic & Community Development","ECD - Homeless Outreach Program","Services","500","500","General Fund","Tax Supported Fund","Advertising","Special Services","500"
"2021","Public Safety","Fire","Fire Station # 21","Services","1050","1050","General Fund","Tax Supported Fund","Water","Utilities","1050"
"2021","Public Safety","Police","Real Time Intelligence Center (RTIC)","Services","370000","370000","General Fund","Tax Supported Fund","Data Processing Service","Special Services","370000"
"2021","Public Safety","Police","Major Crimes","Fringe Benefits","870032.33","870032.3279","General Fund","Tax Supported Fund","Hospitalization","Insurance","870032.3279"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Travel Expense","2500","2500","General Fund","Tax Supported Fund","Hotels","Meals & Lodging","2500"
"2021","General Government","Judges","City Judges Division 2","Fringe Benefits","4927","4927","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","4927"
"2021","Youth and Family Development","Youth & Family","North River Center Programs","Services","2100","2100","General Fund","Tax Supported Fund","Sewer","Utilities","2100"
"2021","Public Works","Public Works","GIS","Salaries","2610","2610","General Fund","Tax Supported Fund","Longevity","Other Supplements","2610"
"2021","Economic and Community Development","Economic & Community Development","Neighborhood Service Development","Fringe Benefits","46148.13","46148.13335","General Fund","Tax Supported Fund","Hospitalization","Insurance","46148.13335"
"2021","General Government","City Council","City Council","Travel Expense","700","700","General Fund","Tax Supported Fund","Meals","Meals & Lodging","700"
"2021","Public Safety","Police","Police Special Operations","Fringe Benefits","536480.4","536480.399","General Fund","Tax Supported Fund","Hospitalization","Insurance","536480.399"
"2021","General Government","Executive Branch","Executive Office Admin","Salaries","2175","1725","General Fund","Tax Supported Fund","Longevity","Other Supplements","1725"
"2021","Youth and Family Development","Youth & Family","Rec Facility - Champion's Club","Fringe Benefits","4032","4032","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","4032"
"2021","Public Safety","Police","Internal Affairs","Salaries","4080","4080","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","4080"
"2021","General Government","Judges","City Judges Division 1","Fringe Benefits","15382","15382","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","15382"
"2021","Transportation","Transportation","Transportation Administration","Salaries","1440","1440","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","1440"
"2021","Public Works","Public Works","CWS Mowing Tractors/Leaf Collection","Fringe Benefits","576","576","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","576"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Hixson","Services","300","300","General Fund","Tax Supported Fund","Water","Utilities","300"
"2021","Public Safety","Police","Police Uniform Services Command","Travel Expense","1300","1300","General Fund","Tax Supported Fund","Transportation","Transportation","1300"
"2021","Transportation","Transportation","Traffic Operations","Services","500","500","General Fund","Tax Supported Fund","Plumbing","Trades","500"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Materials & Supplies","1800","1800","General Fund","Tax Supported Fund","Safety Equipment","Other Materials & Supplies","1800"
"2021","General Government","Purchasing","Purchasing","Services","300","300","General Fund","Tax Supported Fund","Printing","Special Services","300"
"2021","Public Works","Public Works","City Engineer","Fringe Benefits","14784","14784","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","14784"
"2021","Public Safety","Police","Chief of Police","Travel Expense","1000","1000","General Fund","Tax Supported Fund","Hotels","Meals & Lodging","1000"
"2021","General Government","Internal Audit","Internal Audit","Materials & Supplies","1800","1800","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","1800"
"2021","Public Safety","Fire","Fire Logistics & Technology","Materials & Supplies","12500","12500","General Fund","Tax Supported Fund","Hardware, Nails, Small Tools","Other Materials & Supplies","12500"
"2021","Public Safety","Fire","Fire Station # 22","Services","400","400","General Fund","Tax Supported Fund","Water","Utilities","400"
"2021","Public Safety","Fire","Fire Administration","Services","400","400","General Fund","Tax Supported Fund","Air Cards","Telecommunications","400"
"2021","Public Works","Public Works","Office of Sustainability","Fringe Benefits","5876.62","5876.621445","General Fund","Tax Supported Fund","Hospitalization","Insurance","5876.621445"
"2021","General Government","Human Resources","Employee Training","Materials & Supplies","230","230","General Fund","Tax Supported Fund","Safety Equipment","Other Materials & Supplies","230"
"2021","Transportation","Transportation","Complete Streets","Salaries","4320","4320","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","4320"
"2021","Transportation","Transportation","Smart Cities Operations","Services","7613","7613","General Fund","Tax Supported Fund","Electricity","Utilities","7613"
"2021","Public Safety","Police","Police Bike Patrol","Fringe Benefits","4032","4032","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","4032"
"2021","Public Works","Public Works","Public Works Admin","Fringe Benefits","99059.12","99059.11812","General Fund","Tax Supported Fund","Hospitalization","Insurance","99059.11812"
"2021","Youth and Family Development","Youth & Family","Recreation Public Information","Fringe Benefits","68","68","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","68"
"2021","General Government","Judges","City Judges Division 2","Other Expenses","200","200","General Fund","Tax Supported Fund","Fees, Licenses, & Permits","Fees & Licenses","200"
"2021","General Government","Executive Branch","Executive Office Admin","Services","11000","11000","General Fund","Tax Supported Fund","Parking","Other Services","11000"
"2021","Youth and Family Development","Youth & Family","Rec Facility - Summit of Softball","Services","1000","1000","General Fund","Tax Supported Fund","Office Machine Rental","Rental Services","1000"
"2021","Public Safety","Police","Police Special Operations","Fringe Benefits","31883.91","31883.90557","General Fund","Tax Supported Fund","Health Savings Accounts","Insurance","31883.90557"
"2021","Public Safety","Police","Real Time Intelligence Center (RTIC)","Fringe Benefits","611","611","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","611"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Eastdale","Services","3500","3500","General Fund","Tax Supported Fund","Sewer","Utilities","3500"
"2021","Public Works","Public Works","Public Works Admin","Materials & Supplies","149","149","General Fund","Tax Supported Fund","Newspapers","Office Supplies","149"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Avondale","Services","1300","1300","General Fund","Tax Supported Fund","Water","Utilities","1300"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Park Maintenance","Services","7500","7500","General Fund","Tax Supported Fund","Contracted Repair Service","Repair & Maintenance Services","7500"
"2021","Public Safety","Fire","Fire Station # 14","Services","1100","1100","General Fund","Tax Supported Fund","Water","Utilities","1100"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - North Chattanooga","Services","930","930","General Fund","Tax Supported Fund","Waste Disposal","Other Services","930"
"2021","General Government","City Council","City Council","Fringe Benefits","4764","4764","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","4764"
"2021","Youth and Family Development","Youth & Family","Therapeutic Programs","Travel Expense","800","800","General Fund","Tax Supported Fund","Registration Fees","Other Travel Expenses","800"
"2021","Public Works","Public Works","Refuse Collection Centers","Fringe Benefits","17538.19","17538.18537","General Fund","Tax Supported Fund","Hospitalization","Insurance","17538.18537"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Fringe Benefits","371","371","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","371"
"2021","Economic and Community Development","Economic & Community Development","Land Development Office","Services","2000","2000","General Fund","Tax Supported Fund","Local Registration Fees","Staff Training","2000"
"2021","Public Works","Public Works","Municipal Forestry","Materials & Supplies","2000","2000","General Fund","Tax Supported Fund","Hardware, Nails, Small Tools","Other Materials & Supplies","2000"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Services","247","247","General Fund","Tax Supported Fund","Exterminating Service","Trades","247"
"2021","Public Safety","Fire","Fire Marshall Staff","Materials & Supplies","2000","2000","General Fund","Tax Supported Fund","Other Materials & Supplies","Other Materials & Supplies","2000"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown Riverwalk","Vehicle Operating Expense","9398","9398","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","9398"
"2021","Public Safety","Police","Police Special Operations","Other Expenses","11271","11271","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","11271"
"2021","Public Safety","Fire","Fire Station # 7","Services","7400","7400","General Fund","Tax Supported Fund","Sewer","Utilities","7400"
"2021","Public Safety","Fire","Fire Logistics & Technology","Materials & Supplies","250000","250000","General Fund","Tax Supported Fund","Fire Code Equipment","Other Materials & Supplies","250000"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Vehicle Operating Expense","3600","3600","General Fund","Tax Supported Fund","Vehicle Parts & Supplies","Vehicle Repairs & Maintenance","3600"
"2021","Public Safety","Police","Records Management & Services","Materials & Supplies","750","750","General Fund","Tax Supported Fund","Repair Parts","Repair & Maintenance Supplies","750"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown","Services","500","500","General Fund","Tax Supported Fund","Maintenance Services","Repair & Maintenance Services","500"
"2021","Youth and Family Development","Youth & Family","Sports Programs","Other Expenses","8000","8000","General Fund","Tax Supported Fund","Awards","Miscellaneous Expenses","8000"
"2021","General Government","Finance & Admin","City Court Clerk's Office","Services","150","150","General Fund","Tax Supported Fund","Local Registration Fees","Staff Training","150"
"2021","Economic and Community Development","Economic & Community Development","ECD - Neighborhood Serv - Admin","Services","2500","2500","General Fund","Tax Supported Fund","Consultant Fees","Professional Services","2500"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - North Chattanooga","Services","650","650","General Fund","Tax Supported Fund","Water","Utilities","650"
"2021","Public Safety","Police","Police Facilities & Security","Services","21300","21300","General Fund","Tax Supported Fund","IT Maintenance","Repair & Maintenance Services","21300"
"2021","Economic and Community Development","Economic & Community Development","Neighborhood Service Development","Salaries","1200","1200","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","1200"
"2021","Public Works","Public Works","Park Mgmt - Admin","Vehicle Operating Expense","9173","9173","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","9173"
"2021","Public Safety","Fire","Fire Station # 3 Tiftonia","Services","670","670","General Fund","Tax Supported Fund","Clothing & Linen Service","Rental Services","670"
"2021","Public Safety","Police","Chief of Police","Materials & Supplies","3000","3000","General Fund","Tax Supported Fund","Food & Ice","Other Materials & Supplies","3000"
"2021","Public Works","Public Works","CWS Emergency","Fringe Benefits","71270.35","71270.35351","General Fund","Tax Supported Fund","General Pension","Pension","71270.35351"
"2021","Agencies","Agencies","Approp - LaPaz Chattanooga","Other Expenses","49000","49000","General Fund","Tax Supported Fund","Appropriations","Appropriations","49000"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Park Maintenance","Materials & Supplies","3000","3000","General Fund","Tax Supported Fund","Asphalt and Asphalt Filler","Construction Supplies","3000"
"2021","Youth and Family Development","Youth & Family","Youth Dev - CAPS","Fringe Benefits","4786","4786","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","4786"
"2021","Economic and Community Development","Economic & Community Development","Neighborhood Service Development","Salaries","1575","1575","General Fund","Tax Supported Fund","Longevity","Other Supplements","1575"
"2021","Public Safety","Police","Police Admin Support & Tech Svcs","Fringe Benefits","1932","1932","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","1932"
"2021","Public Safety","Fire","Fire Marshall Staff","Fringe Benefits","2337","2337","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","2337"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Fringe Benefits","10414","10414","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","10414"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - First Centenary","Fringe Benefits","86","86","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","86"
"2021","Public Safety","Police","Police Community Services","Materials & Supplies","100","100","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","100"
"2021","Public Safety","Police","Police Patrol Charlie","Salaries","1751457","1751457","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","1751457"
"2021","Public Safety","Police","Police Special Operations","Salaries","10800","10800","General Fund","Tax Supported Fund","Call Back Pay","Other Supplements","10800"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - John A. Patten","Fringe Benefits","2000","2000","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","2000"
"2021","Economic and Community Development","Economic & Community Development","Land Development Office","Vehicle Operating Expense","1000","1000","General Fund","Tax Supported Fund","Vehicle Labor","Vehicle Repairs & Maintenance","1000"
"2021","General Government","City Attorney","City Attorney Operations","Insurance, Claims, Damages","50","50","General Fund","Tax Supported Fund","Fidelity & Surety Bonds","Other Insurance","50"
"2021","Economic and Community Development","Economic & Community Development","Outdoor Chattanooga","Services","1800","1800","General Fund","Tax Supported Fund","Training Costs","Staff Training","1800"
"2021","General Government","Finance & Admin","Office of City Treasurer","Services","6285","6285","General Fund","Tax Supported Fund","Security Services","Special Services","6285"
"2021","General Government","Internal Audit","Internal Audit","Services","8490","8490","General Fund","Tax Supported Fund","IT Maintenance","Repair & Maintenance Services","8490"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - North Chattanooga","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","500"
"2021","Public Safety","Police","Major Crimes","Fringe Benefits","18971","18971","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","18971"
"2021","Public Safety","Police","Police Admin Support & Tech Svcs","Materials & Supplies","100","100","General Fund","Tax Supported Fund","Printer Toner Cartridges","Office Supplies","100"
"2021","Public Works","Public Works","Garbage Pick-up","Services","200","200","General Fund","Tax Supported Fund","Exterminating Service","Trades","200"
"2021","Public Safety","Fire","Fire Logistics & Technology","Services","1100","1100","General Fund","Tax Supported Fund","Water","Utilities","1100"
"2021","General Government","Finance & Admin","Finance Office","Other Expenses","9248","9248","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","9248"
"2021","General Government","Executive Branch","Executive Office Admin","Materials & Supplies","8000","8000","General Fund","Tax Supported Fund","Food & Ice","Other Materials & Supplies","8000"
"2021","General Government","City Council","City Council","Materials & Supplies","700","700","General Fund","Tax Supported Fund","Newspapers","Office Supplies","700"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Frances B. Wyatt","Services","550","550","General Fund","Tax Supported Fund","Exterminating Service","Trades","550"
"2021","Public Works","Public Works","Shared Maint - Carousel Operations","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","300"
"2021","Public Works","Public Works","Brush Pick-up","Vehicle Operating Expense","286064","286064","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","286064"
"2021","Public Safety","Police","Major Crimes","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","300"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Fringe Benefits","2688","2688","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","2688"
"2021","General Government","Human Resources","Employees Safety Program","Travel Expense","100","100","General Fund","Tax Supported Fund","Transportation","Transportation","100"
"2021","General Government","Executive Branch","Executive Office Admin","Materials & Supplies","100","100","General Fund","Tax Supported Fund","Printer Toner Cartridges","Office Supplies","100"
"2021","Public Safety","Police","Police Facilities & Security","Services","50","50","General Fund","Tax Supported Fund","Locksmith","Trades","50"
"2021","Public Safety","Police","Family Justice Center","Salaries","0",,"General Fund","Tax Supported Fund","Overtime","Overtime",
"2021","Public Works","Public Works","CWS Admin","Fringe Benefits","130112.82","130112.8198","General Fund","Tax Supported Fund","Hospitalization","Insurance","130112.8198"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Safety Equipment","Other Materials & Supplies","500"
"2021","Public Safety","Police","Police Special Operations","Fringe Benefits","992636","992636.001","General Fund","Tax Supported Fund","Fire & Police Pension","Pension","992636.001"
"2021","Public Safety","Police","Police Budget & Finance","Materials & Supplies","1000","1000","General Fund","Tax Supported Fund","Technology Accessories & Supplies","Office Supplies","1000"
"2021","Youth and Family Development","Youth & Family","Fitness Center","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","500"
"2021","Youth and Family Development","Youth & Family","Office of Early Learning","Other Expenses","578","578","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","578"
"2021","Public Safety","Police","Police Special Operations","Travel Expense","1000","1000","General Fund","Tax Supported Fund","Hotels","Meals & Lodging","1000"
"2021","Public Safety","Police","Special Investigations","Services","150","150","General Fund","Tax Supported Fund","Freight, Express & Drayage","Delivery Services","150"
"2021","Public Works","Public Works","Public Works Admin","Travel Expense","3000","3000","General Fund","Tax Supported Fund","Registration Fees","Other Travel Expenses","3000"
"2021","Public Works","Public Works","Trash Flash Pick-up","Materials & Supplies","500","500","General Fund","Tax Supported Fund","Building Maintenance Supplies","Other Materials & Supplies","500"
"2021","Public Safety","Police","Chief of Police","Salaries","8550","8550","General Fund","Tax Supported Fund","Longevity","Other Supplements","8550"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - First Centenary","Fringe Benefits","2107","2107","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","2107"
"2021","General Government","Finance & Admin","Capital Planning","Fringe Benefits","282","282","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","282"
"2021","Public Safety","Police","Police Special Operations","Services","10000","10000","General Fund","Tax Supported Fund","Equipment Inspection and Calibration","Repair & Maintenance Services","10000"
"2021","Public Works","Public Works","Field Surveyors","Salaries","720","720","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","720"
"2021","General Government","Internal Audit","Internal Audit","Services","3435","3435","General Fund","Tax Supported Fund","Dues","Other Services","3435"
"2021","General Government","Finance & Admin","Office of City Treasurer","Services","160","160","General Fund","Tax Supported Fund","Local Mileage","Other Services","160"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Glenwood","Fringe Benefits","26976.01","26976.01229","General Fund","Tax Supported Fund","General Pension","Pension","26976.01229"
"2021","Public Safety","Fire","Fire Station # 8","Services","2500","2500","General Fund","Tax Supported Fund","Natural Gas","Utilities","2500"
"2021","General Government","Judges","City Judges Division 1","Fringe Benefits","27979.44","27979.4365","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","27979.4365"
"2021","Youth and Family Development","Youth & Family","Youth Dev - CAPS","Fringe Benefits","9278.97","9278.971603","General Fund","Tax Supported Fund","General Pension","Pension","9278.971603"
"2021","Public Works","Public Works","CWS Admin","Materials & Supplies","1250","1250","General Fund","Tax Supported Fund","Printer Toner Cartridges","Office Supplies","1250"
"2021","Transportation","Transportation","Traffic Operations","Vehicle Operating Expense","29785","29785","General Fund","Tax Supported Fund","Diesel Fuel","Fuel","29785"
"2021","Public Works","Public Works","Park Mgmt - Admin","Fringe Benefits","3293","3293","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","3293"
"2021","Youth and Family Development","Youth & Family","Youth & Family Development","Fringe Benefits","71010.06","71010.05585","General Fund","Tax Supported Fund","General Pension","Pension","71010.05585"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Services","26400","26400","General Fund","Tax Supported Fund","IT Maintenance - Hosting","Repair & Maintenance Services","26400"
"2021","Youth and Family Development","Youth & Family","Recreation Support Services","Materials & Supplies","450","450","General Fund","Tax Supported Fund","Oil & Lubricants","Other Materials & Supplies","450"
"2021","Public Works","Public Works","CWS Emergency","Vehicle Operating Expense","4400","4400","General Fund","Tax Supported Fund","Vehicle Labor","Vehicle Repairs & Maintenance","4400"
