"fiscal_year","service","department","project","project_id","fund_type","fund","thru_fy_actuals","fy_approved"
"2016","Transportation","Transportation","CDBG Sidewalks","FY16-047","External","Federal",,"200000"
"2016","Transportation","Transportation","Street Resurfacing & Improvements (Paving)","FY16-061","External","Federal",,"288000"
"2016","Transportation","Transportation","Main Street Protected Bike Lanes","FY16-052","Local","Pay-As-You Go",,"25100"
"2016","Transportation","Transportation","Hwy 58 Pedestrian & Bike Improvements","FY16-051","Local","Tax Supported Debt",,"420000"
"2017","Public Works - Enterprise Fund","Solid Waste","Landfill Expansion","FY17-214","User Fees","Pay-As-You-Go",,"300000"
"2016","Youth & Family","Youth & Family Development","YFD Tennis Court Rehab","FY16-072","Local","Tax Supported Debt",,"75000"
"2016","Public Works","Public Works","Riverbank Stabilization Study","FY16-042","Local","Pay-As-You Go",,"100000"
"2016","Transportation","Transportation","Sidewalks","FY16-055","Local","Tax Supported Debt",,"250000"
"2016","General Government","Information Technology","Microsoft License True-up","FY16-021","Local","Pay-As-You Go",,"200000"
"2017","Public Safety","Police Department","Real Time Intelligence Center","FY17-3","Local","Pay-As-You-Go",,"477614"
"2017","General Government","General Government","ESIP Supplier Park Development","FY16-008","Local","Pay-As-You-Go",,"100000"
"2017","Economic & Community Development","Economic & Community Development","Hawkins Ridge Preservation","FY17-1","Local","Pay-As-You-Go",,"60000"
"2017","Transportation","Transportation","Traffic Engineering Capital Equipment","FY16-046","Local","Pay-As-You-Go",,"100000"
"2016","General Government","General Services","Tivoli Foundation Annual Capital Appropriation","FY16-016","Local","Pay-As-You Go",,"175000"
"2017","General Government","General Services","Zoo Entrance Improvements - Capital Repayment","FY16-018","Local","Pay-As-You-Go",,"250000"
"2017","Transportation","Transportation","One-way to Two-way Conversion","FY17-191","Local","Pay-As-You-Go",,"70500"
"2016","Public Works","Public Works","Branding & Signage for Parks, Greenways, Trails","FY16-039","Local","Pay-As-You Go",,"45000"
"2017","Public Works - Enterprise Fund","Water Quality","Heavy Equipment","FY17-45","User Fees","Pay-As-You-Go",,"460000"
"2017","Public Works - Enterprise Fund","Water Quality","East Lake Water Quality Restoration","FY17-27","User Fees","Pay-As-You-Go",,"200000"
"2016","Transportation","Transportation","Riverwalk Extension (US27 - Moccasin Bend IC) - TIP","FY16-059","External","Federal",,"259692"
"2016","General Government","Information Technology","Data Center Relocation","FY16-020","Local","Pay-As-You-Go",,"1000000"
"2016","General Government","CARTA","CARTA Capital Match","FY16-004","Local","Tax Supported Debt",,"150000"
"2017","General Government","General Services","City Wide Radio Equipment Lease Program","FY17-153","Local","Tax Supported Debt",,"5977735"
"2017","Public Works","Public Works","Chattanooga Green Lawn Renovation","FY17-70","Local","Pay-As-You-Go",,"350000"
"2017","Public Works - Enterprise Fund","Water Quality","Automated Flood Warning System","FY17-55","User Fees","Pay-As-You-Go",,"250000"
"2017","Public Works","Public Works","Park Asphalt Management","FY17-68","Local","Pay-As-You-Go",,"75000"
"2017","General Government","CARTA","CARTA Capital Match","FY16-004","Local","Tax Supported Debt",,"754000"
"2016","Economic & Community Development","Economic & Community Development","Public Art","FY16-002","Local","Pay-As-You Go",,"50000"
"2016","General Government","General Government","Enterprise Center FF&E","FY16-006","Local","Pay-As-You Go",,"250000"
"2017","Public Works - Enterprise Fund","Interceptor Sewer System","Citico PS Reliability Improvements","FY17-996","User Fees","Pay-As-You-Go",,"7800000"
"2016","Youth & Family","Youth & Family Development","YFD Center HVAC Replacement","FY16-069","Local","Tax Supported Debt",,"200000"
"2016","Transportation","Transportation","Riverwalk Extension (Middle Street - the Incline) - TIP","FY16-058","Local","Pay-As-You Go",,"55000"
"2016","General Government","General Government","ESIP Capital Amendment","FY16-007","Local","Pay-As-You Go",,"800000"
"2018","Transportation","Transportation","CDBG Sidewalks","FY16-047","External","Federal",,"187940"
"2019","Youth & Family","Youth & Family Development","YFD/Orange Grove Fitness Collaboration","FY19-126","Local","Pay-As-You-Go",,"50000"
"2019","Transportation","Transportation","Bridge Repair / Replace","FY19-10","Local","Pay-As-You-Go",,"100000"
"2019","General Government","CARTA","CARTA Vehicles/Equipment Projects","FY19-16","Local","Pay-As-You-Go",,"391914"
"2019","Transportation","Transportation","CDBG Sidewalk","FY19-17","Local","Pay-As-You-Go",,"100000"
"2019","Transportation","Transportation","South Chickamauga Greenway Connector Youngstown","FY19-109","Local","Pay-As-You-Go",,"350000"
"2019","Public Works-Enterprise Fund","Water Quality","Central Avenue Ext Separation Project (K80131)","FY19-20","User Fees","Pay-As-You-Go",,"325000"
"2019","Transportation","Transportation","Caine Lane Greenway Connector, South","FY19-14","Local","Tax supported debt",,"875000"
"2019","Transportation","Transportation","3rd / 4th Street Infrastructure","FY19-2","Local","Tax supported debt",,"1400000"
"2019","Transportation","Transportation","Complete Streets on 26th (Market to Wheland)","FY19-29","Local","Tax supported debt",,"1000000"
"2019","Transportation","Transportation","Riverwalk","FY19-95","External","Federal",,"108800"
"2019","Transportation","Transportation","Alley Program","FY19-8","Local","Pay-As-You-Go",,"250000"
"2019","Public Works-Enterprise Fund","Water Quality","Green Alley Program","FY19-47","User Fees","Pay-As-You-Go",,"150000"
"2019","General Government","Information Technology","Operations & Compliance Tools","FY19-78","Local","Pay-As-You-Go",,"425000"
"2019","Public Works-Enterprise Fund","Water Quality","On-Call Landscape Design","FY19-77","User Fees","Pay-As-You-Go",,"100000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Citico Force Main Replacement","FY19-25","SRF","User fee supported debt",,"5000000"
"2019","Transportation","Transportation","TIP Paving (P20214)","FY19-116","Local","Pay-As-You-Go",,"240000"
"2019","General Government","Information Technology","Security Cameras & Storage","FY19-100","Local","Pay-As-You-Go",,"250000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","South Chick 2 and 3 Interceptor Rehab","FY19-108","User Fees","Pay-As-You-Go",,"15000000"
"2019","Public Works","Public Works","Fleet Program Purchases for FY19","FY19-39","Local","Pay-As-You-Go",,"5000000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Wet Weather Sewer Storage - Phase 3","FY19-124","SRF","User fee supported debt",,"20000000"
"2019","Youth & Family","Youth & Family Development","YFD Technology Upgrades","FY19-125","Local","Pay-As-You-Go",,"500000"
"2019","General Government","General Government","Erlanger Children's Hospital","FY19-36","Local","Pay-As-You-Go",,"250000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Sewer Settlement Repair","FY19-102","User Fees","Pay-As-You-Go",,"500000"
"2019","Public Works-Enterprise Fund","Water Quality","Dartmouth/Five Points Watershed SIP- Phase I","FY19-31","User Fees","Pay-As-You-Go",,"350000"
"2019","Public Works","Public Works","Greenway Farm Conference Center Replacement","FY19-50","Local","Tax supported debt",,"550000"
"2019","Public Safety","Fire Department","Hazardous Materials Monitoring and Detection Equipment Replacement","FY19-52","Local","Pay-As-You-Go",,"150000"
"2019","Public Safety","Fire Department","Station 15 Replacement","FY19-111","Local","Pay-As-You-Go",,"150000"
"2019","Transportation","Transportation","Transit Network Redesign","FY19-119","Local","Pay-As-You-Go",,"30000"
"2019","Public Works-Enterprise Fund","Water Quality","East Lake WQ Restoration Project (K80143)","FY19-33","User Fees","Pay-As-You-Go",,"400000"
"2019","Youth & Family","Youth & Family Development","Washington Hills YFD Building Renovation","FY19-123","Local","Pay-As-You-Go",,"2000000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","MUSIC/Solar Pump Stations","FY19-74","User Fees","Pay-As-You-Go",,"487500"
"2019","Public Works","Public Works","Garbage Truck Replacement","FY19-40","Local","Pay-As-You-Go",,"750000"
"2019","Public Safety","Police Department","Police Laptops","FY19-85","Local","Pay-As-You-Go",,"300000"
"2019","Public Works-Enterprise Fund","Water Quality","Lynnbrook WPA Ditch Improvements","FY19-67","User Fees","Pay-As-You-Go",,"200000"
"2019","Public Safety","Fire Department","Hydraulic Equipment Replacement (""Jaws of Life"")","FY19-56","Local","Pay-As-You-Go",,"605000"
"2019","Public Works","Public Works","Garbage Truck Turn Around","FY19-41","Local","Pay-As-You-Go",,"50000"
"2019","General Government","Information Technology","Grants Management Technology","FY19-46","Local","Pay-As-You-Go",,"65000"
"2019","Public Works","Public Works","Walnut Street Bridge Rehabilitation (light system separate)","FY19-122","Local","Pay-As-You-Go",,"5000000"
"2019","Economic & Community Development","Economic & Community Development","ECD Public Arts - 1% Art Boost","FY19-34","Local","Pay-As-You-Go",,"150000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","MUSIC/Solar Pump Stations","FY19-73","External","Federal",,"1462500"
"2019","General Government","General Government","Chattanooga Zoo: Africa Expansion","FY19-23","Local","Pay-As-You-Go",,"257500"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Sewer Maintenance Equipment","FY19-101","User Fees","Pay-As-You-Go",,"450000"
"2019","Public Safety","Police Department","In-Car Cameras","FY19-86","Local","Pay-As-You-Go",,"138000"
"2019","Transportation","Transportation","Goodwin Road Segment 4","FY19-45","External","Federal",,"945600"
"2019","Transportation","Transportation","Roadway Base Failure (P20216)","FY19-96","Local","Pay-As-You-Go",,"200000"
"2019","Transportation","Transportation","8th Street Shared Space","FY19-4","External","DeFoor",,"140000"
"2019","Public Works-Enterprise Fund","Water Quality","Green Infrastructure SOV Bank","FY19-48","User Fees","Pay-As-You-Go",,"250000"
"2019","Public Works-Enterprise Fund","Water Quality","Stream Buffer Conservation","FY19-113","User Fees","Pay-As-You-Go",,"50000"
"2019","General Government","General Government","Tivoli Foundation Annual Capital Appropriation","FY19-118","Local","Pay-As-You-Go",,"350000"
"2019","Transportation","Transportation","Complete Streets on 26th (Market to Wheland)","FY19-28","Local","Pay-As-You-Go",,"250000"
"2019","Public Safety","Police Department","RTIC - Public Safety Cameras","FY19-98","Local","Pay-As-You-Go",,"213225"
"2019","Public Safety","Police Department","Interview Rooms","FY19-59","Local","Pay-As-You-Go",,"150000"
"2019","Economic & Community Development","Economic & Community Development","Harris Johnson Park Redesign & Renovation","FY19-51","Local","Pay-As-You-Go",,"100000"
"2019","Public Works-Enterprise Fund","Water Quality","Riverfront Parkway/MLK CSS Project Phase II","FY19-93","User Fees","Pay-As-You-Go",,"250000"
"2019","Transportation","Transportation","TIP Paving (P20214)","FY19-117","External","Federal",,"960000"
"2019","Economic & Community Development","Economic & Community Development","Chattown Skate Park","FY19-24","Local","Pay-As-You-Go",,"75000"
"2019","Public Works-Enterprise Fund","Water Quality","Patten Parkway Separation Project (K80147)","FY19-83","User Fees","Pay-As-You-Go",,"1000000"
"2019","Economic & Community Development","Economic & Community Development","Affordable Housing Trust Fund","FY19-6","Local","Pay-As-You-Go",,"1000000"
"2019","General Government","General Government","Stadium Corporation Digital Videoboard","FY19-110","Local","Pay-As-You-Go",,"150000"
"2019","Finance","Finance","Accela cloud upgrade for Treasury office","FY19-5","Local","Pay-As-You-Go",,"150000"
"2019","Public Works-Enterprise Fund","Water Quality","GI Prioritization Tool","FY19-42","User Fees","Pay-As-You-Go",,"50000"
"2019","General Government","Montague Park","Sculpture Fields Restrooms for City Park","FY19-99","Local","Pay-As-You-Go",,"75000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Implementation of Vulnerability Recommendations","FY19-58","User Fees","Pay-As-You-Go",,"500000"
"2019","Transportation","Transportation","Midtown Pathway","FY19-71","Local","Pay-As-You-Go",,"150000"
"2019","Public Works-Enterprise Fund","Solid Waste","New Solid Waste and Recycle Facility","FY19-76","User Fees","Pay-As-You-Go",,"500000"
"2019","General Government","CARTA","CARTA Technology Projects","FY19-15","Local","Pay-As-You-Go",,"156250"
"2019","Public Works-Enterprise Fund","Water Quality","Avondale YFD GI Project","FY19-9","User Fees","Pay-As-You-Go",,"800000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","MBWWTP Warehouse Improvements","FY19-69","User Fees","Pay-As-You-Go",,"500000"
"2019","Finance","Finance","Cloud Software as a Service (SaaS)","FY19-27","Local","Pay-As-You-Go",,"1450111"
"2019","Transportation","Transportation","Roadway Slope Failure (P20205)","FY19-97","Local","Pay-As-You-Go",,"150000"
"2019","Public Works-Enterprise Fund","Solid Waste","Landfill Equipment Maintenance","FY19-62","User Fees","Pay-As-You-Go",,"500000"
"2019","Public Safety","Fire Department","Regional Training Facility","FY19-92","Local","Pay-As-You-Go",,"75000"
"2019","Transportation","Transportation","3rd / 4th Street Infrastructure","FY19-1","External","Federal",,"5600000"
"2019","Economic & Community Development","Economic & Community Development","Sterchi Farm Redevelopment Phase I Remainder","FY19-112","Local","Pay-As-You-Go",,"297000"
"2019","Public Safety","Fire Department","CFD Apparatus Replacement Plan","FY19-21","Local","Pay-As-You-Go",,"1000000"
"2019","Transportation","Transportation","Shepherd Road Enhancement (HWY 153 - Airport)","FY19-104","Local","Tax supported debt",,"673000"
"2019","Transportation","Transportation","Bridge Repair / Replace","FY19-11","External","Federal",,"800000"
"2019","Economic & Community Development","Economic & Community Development","Neighborhood Reinvestment Fund","FY19-75","Local","Pay-As-You-Go",,"1000000"
"2019","Public Works","Public Works","Building Energy Efficiency Upgrades","FY19-12","Local","Pay-As-You-Go",,"500000"
"2019","Public Works","Public Works","Parks ADA Repairs","FY19-79","Local","Pay-As-You-Go",,"100000"
"2019","Transportation","Transportation","Shepherd Road Enhancement (HWY 153 - Airport)","FY19-103","External","Airport Authority",,"100000"
"2019","Public Works","Public Works","South Chattanooga Creek Greenway","FY19-107","Local","Pay-As-You-Go",,"100000"
"2019","Public Works-Enterprise Fund","Water Quality","Heavy Equipment","FY19-53","User Fees","Pay-As-You-Go",,"700000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","VAAP Pump Station Upgrade","FY19-120","User Fees","Pay-As-You-Go",,"4650000"
"2019","Public Works","Public Works","Parks, Playgrounds, Field Maintenance","FY19-81","Local","Pay-As-You-Go",,"100000"
"2019","Mayor's Office","Mayor's Office","Fallen Five Memorial","FY19-37","External","Fundraising",,"500000"
"2019","Transportation","Transportation","Riverwalk","FY19-94","Local","Pay-As-You-Go",,"27200"
"2019","Public Works","Public Works","Knuckleboom","FY19-60","Local","Pay-As-You-Go",,"600000"
"2019","General Government","Johnson Mental Health","Pre-Arrest Diversion Building Modifications","FY19-87","Local","Pay-As-You-Go",,"208600"
"2019","Transportation","Transportation","Streetscape - Transportation Enhancement Initiative","FY19-115","Local","Pay-As-You-Go",,"100000"
"2019","Economic & Community Development","Economic & Community Development","Parks and Greenways Master Plan","FY19-80","Local","Pay-As-You-Go",,"200000"
"2019","Public Works","Public Works","Landscape/Hardscape Improvements","FY19-63","Local","Pay-As-You-Go",,"250000"
"2019","General Government","Chattanooga Public Library","Electrical System Improvement Completion","FY19-35","Local","Pay-As-You-Go",,"200000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","MBWWTP- Renewable Solar","FY19-70","User Fees","Pay-As-You-Go",,"2250000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Pretreatment Boat Replacement","FY19-88","User Fees","Pay-As-You-Go",,"100000"
"2019","Public Works","Public Works","Walnut Street Bridge Lighting","FY19-127","Local","Pay-As-You-Go",,"1300000"
"2019","Transportation","Transportation","CDBG Sidewalk","FY19-18","External","Federal",,"200000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Laboratory Equipment","FY19-61","User Fees","Pay-As-You-Go",,"100000"
"2019","Transportation","Transportation","CDOT Fleet","FY19-19","Local","Pay-As-You-Go",,"480000"
"2019","Public Works","Public Works","Phase 1 First Street Steps","FY19-84","Local","Pay-As-You-Go",,"800000"
"2019","Economic & Community Development","Economic & Community Development","Lynnbrook Park","FY19-66","Local","Pay-As-You-Go",,"100000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Contingency - Plans and Studies","FY19-30","User Fees","Pay-As-You-Go",,"200000"
"2019","Public Works","Public Works","Holmberg Bridge Lighting and Access Improvements","FY19-55","Local","Pay-As-You-Go",,"500000"
"2019","General Government","Chattanooga Public Library","Library Roof Replacement","FY19-64","Local","Pay-As-You-Go",,"450000"
"2019","Economic & Community Development","Economic & Community Development","East Lake Park Enhancements","FY19-32","Local","Pay-As-You-Go",,"100000"
"2019","Economic & Community Development","Economic & Community Development","3rd / 4th Street Master Plan","FY19-3","Local","Pay-As-You-Go",,"60000"
"2019","General Government","General Government","Chattanooga State TCAT (Tenn Center of Applied Tech)","FY19-22","Local","Pay-As-You-Go",,"100000"
"2019","Transportation","Transportation","Caine Lane Greenway Connector, North","FY19-13","Local","Tax supported debt",,"411247"
"2019","General Government","Johnson Mental Health","Recovery Housing Project Implementation","FY19-91","Local","Pay-As-You-Go",,"50000"
"2019","Public Works","Public Works","City Buildings & YFD Centers Major Maintenance","FY19-26","Local","Pay-As-You-Go",,"2000000"
"2019","Public Safety","Police Department","Firing Range","FY19-38","Local","Pay-As-You-Go",,"150000"
"2019","Economic & Community Development","Economic & Community Development","Miller Park","FY19-72","External","RiverCity & Miller Park donors",,"6300000"
"2019","Public Works","Public Works","Golf Course Maintenance Equipment Replacement","FY19-43","Local","Pay-As-You-Go",,"200000"
"2019","Public Works","Public Works","Heritage Park Playground","FY19-54","Local","Pay-As-You-Go",,"400000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","MBWWTP Unox Piping Replacement","FY19-68","SRF","User fee supported debt",,"4000000"
"2019","Transportation","Transportation","Street Improvements (paving) (P20201)","FY19-114","Local","Pay-As-You-Go",,"3500000"
"2019","Public Works","Public Works","Greenway Farm Conference Center Replacement","FY19-49","Local","Pay-As-You-Go",,"200000"
"2019","Transportation","Transportation","Sign Reflectivity","FY19-106","External","Federal",,"181318"
"2019","Economic & Community Development","Economic & Community Development","Lupton City Cleanup","FY19-65","Local","Pay-As-You-Go",,"250000"
"2019","Transportation","Transportation","Goodwin Road Segment 4","FY19-44","Local","Tax supported debt",,"236400"
"2019","Transportation","Transportation","Patten Parkway","FY19-82","Local","Tax supported debt",,"1150000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Implementation of CD Green Infra Projects in the CSS","FY19-57","User Fees","Pay-As-You-Go",,"500000"
"2019","Transportation","Transportation","Sidewalks (P20306)","FY19-105","Local","Tax supported debt",,"820000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Pump Station Improvements (FY19)","FY19-90","User Fees","Pay-As-You-Go",,"3700000"
"2019","Economic & Community Development","Airport","Airport District Master Plan","FY19-7","Local","Pay-As-You-Go",,"150000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Program Management For Consent Decree Implementation","FY19-89","User Fees","Pay-As-You-Go",,"2100000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Wet Weather Sewer Storage - Phase 4","FY19-128","SRF","User fee supported debt",,"20000000"
"2019","Public Works-Enterprise Fund","Interceptor Sewer System","Long-Range Control Plan Upgrades","FY19-129","SRF","User fee supported debt",,"2262500"
"2019","Public Safety","Police Department","Body Worn Camera","FY19-130","External","Federal",,"299992"
"2020","Transportation","Transportation","CDBG Sidewalks","FY20-12","External","Other External",,"200000"
"2020","Transportation","Transportation","Central Avenue (REQ)","FY20-13","External","Other External",,"1096000"
"2020","Transportation","Transportation","Patten Parkway","FY20-16","External","Other External",,"447772"
"2020","Transportation","Transportation","Signal Upgrade for Hickory Valley Rd at Discovery Dr (to accept donation agreement) P20118","FY20-21","External","Other External",,"47806"
"2020","Transportation","Transportation","Somerville Connector","FY20-22","External","Other External",,"250000"
"2020","Transportation","Transportation","TIP - Traffic Sign Retro-reflectivity","FY20-24","External","Other External",,"477818"
"2020","Transportation","Transportation","Transit Signal Prioritization","FY20-26","External","Other External",,"1000000"
"2020","Transportation","Transportation","Woodmore SRTS - Construction Phase & CEI (P20312)","FY20-28","External","Other External",,"150000"
"2020","Transportation","Transportation","3rd / 4th Street (REQ)","FY20-3","External","Other External",,"6800000"
"2020","Public Works","Public Works","Chattanooga African American Museum Repairs","FY20-42","External","Other External",,"315000"
"2020","Public Works","Public Works","ESIP - Ferdinand Piech Way modifications","FY20-47","External","Other External",,"550000"
"2020","Public Works","Public Works","Increased Curbside Recycling","FY20-53","External","Other External",,"1600000"
"2020","Public Works","Public Works","Walnut Plaza/Holmberg Bridge/Ed Johnson Site Prep","FY20-66","External","Other External",,"1286000"
"2020","Economic and Community Development","Economic and Community Development","East Lake Park Improvements","FY20-73","External","Other External",,"450000"
"2020","Economic and Community Development","Economic and Community Development","Environmental Protection Agency (EPA) Brownfield Cleanup Grant Cost Share","FY20-74","External","Other External",,"500000"
"2020","Public Works - Enterprise Funds","Water Quality","327 Cross Creek Rd (FEMA)","FY20-136","External","TEMA",,"25000"
"2020","Public Works - Enterprise Funds","Water Quality","435 Oliver Street Chattanooga, TN 37405 (FEMA)","FY20-137","External","TEMA",,"1875"
"2020","Transportation","Transportation","Elder Mountain Road Slope Stabilization and Roadway Improvements (FEMA)","FY20-15","External","TEMA",,"875000"
"2020","Transportation","Transportation","Wilcox Boulevard Tunnel, East Entrance (FEMA)","FY20-27","External","TEMA",,"275000"
"2020","Public Works","Public Works","54 Manufacturer's Road (FEMA)","FY20-38","External","TEMA",,"187500"
"2020","Public Works","Public Works","235 Aster Ave (FEMA)","FY20-39","External","TEMA",,"1000"
"2020","Public Works","Public Works","495 Riverfront Parkway (FEMA)","FY20-40","External","TEMA",,"37500"
"2020","Public Works","Public Works","Greenway Farm, 3008 Hamill Road, Chattanooga, TN (FEMA)","FY20-51","External","TEMA",,"6250"
"2020","Public Works","Public Works","Heritage Park (FEMA)","FY20-52","External","TEMA",,"1250"
"2020","Public Works","Public Works","Marina Floating Dock, 201 Riverfront Parkway, Chattanooga, TN (FEMA)","FY20-54","External","TEMA",,"1250"
"2020","Public Works","Public Works","Old Hixson Pk @ Chickamauga Crk (FEMA)","FY20-55","External","TEMA",,"3750"
"2020","Transportation","Transportation","2850 Hamill Road (FEMA)","FY20-6","External","TEMA",,"625000"
"2020","Public Works","Public Works","Rivermont Park (FEMA)","FY20-60","External","TEMA",,"3125"
"2020","Public Works","Public Works","Ross's Landing, 201 Riverfront Pkwy (FEMA)","FY20-61","External","TEMA",,"31250"
"2020","Public Works","Public Works","TN Riverwalk at Cameron Harbor, 634 Mariner Way (FEMA)","FY20-65","External","TEMA",,"3125"
"2020","Transportation","Transportation","5500 Lake Resort Drive (FEMA)","FY20-7","External","TEMA",,"1125000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Creek Sub Basin Combined Sewer Separation Project, 950 Riverside Dr, Chattanooga, TN 37403 (FEMA)","FY20-92","External","TEMA",,"28125"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico CSO 929 Riverside Drive (FEMA)","FY20-93","External","TEMA",,"13269.875"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Pump Reliability Improvements (FEMA)","FY20-95","External","TEMA",,"31250"
"2020","Public Works - Enterprise Funds","Water Quality","327 Cross Creek Rd (FEMA)","FY20-136","External","FEMA",,"150000"
"2020","Public Works - Enterprise Funds","Water Quality","435 Oliver Street Chattanooga, TN 37405 (FEMA)","FY20-137","External","FEMA",,"11250"
"2020","Transportation","Transportation","Elder Mountain Road Slope Stabilization and Roadway Improvements (FEMA)","FY20-15","External","FEMA",,"5250000"
"2020","Transportation","Transportation","Wilcox Boulevard Tunnel, East Entrance (FEMA)","FY20-27","External","FEMA",,"1650000"
"2020","Public Works","Public Works","54 Manufacturer's Road (FEMA)","FY20-38","External","FEMA",,"1125000"
"2020","Public Works","Public Works","235 Aster Ave (FEMA)","FY20-39","External","FEMA",,"6000"
"2020","Public Works","Public Works","495 Riverfront Parkway (FEMA)","FY20-40","External","FEMA",,"225000"
"2020","Public Works","Public Works","Greenway Farm, 3008 Hamill Road, Chattanooga, TN (FEMA)","FY20-51","External","FEMA",,"37500"
"2020","Public Works","Public Works","Heritage Park (FEMA)","FY20-52","External","FEMA",,"7500"
"2020","Public Works","Public Works","Marina Floating Dock, 201 Riverfront Parkway, Chattanooga, TN (FEMA)","FY20-54","External","FEMA",,"7500"
"2020","Public Works","Public Works","Old Hixson Pk @ Chickamauga Crk (FEMA)","FY20-55","External","FEMA",,"22500"
"2020","Transportation","Transportation","2850 Hamill Road (FEMA)","FY20-6","External","FEMA",,"3750000"
"2020","Public Works","Public Works","Rivermont Park (FEMA)","FY20-60","External","FEMA",,"18750"
"2020","Public Works","Public Works","Ross's Landing, 201 Riverfront Pkwy (FEMA)","FY20-61","External","FEMA",,"187500"
"2020","Public Works","Public Works","TN Riverwalk at Cameron Harbor, 634 Mariner Way (FEMA)","FY20-65","External","FEMA",,"18750"
"2020","Transportation","Transportation","5500 Lake Resort Drive (FEMA)","FY20-7","External","FEMA",,"6750000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Creek Sub Basin Combined Sewer Separation Project, 950 Riverside Dr, Chattanooga, TN 37403 (FEMA)","FY20-92","External","FEMA",,"168750"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico CSO 929 Riverside Drive (FEMA)","FY20-93","External","FEMA",,"79619.25"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Pump Reliability Improvements (FEMA)","FY20-95","External","FEMA",,"187500"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Implementation of CD Green Infra Projects in the CSS","FY20-101","City Funds","Reserves",,"500000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Implementation of Vulnerability Recommendations","FY20-102","City Funds","Reserves",,"500000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","ISS Capacity Improvements","FY20-103","City Funds","Reserves",,"2000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Long Term Control Plan Upgrades","FY20-105","City Funds","Reserves",,"2737500"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Lupton City Sewer Rehabilitation","FY20-106","City Funds","Reserves",,"3000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Mountain Creek PS Improvements","FY20-114","City Funds","Reserves",,"300000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Secondary Clarifier Flow Meter & Gate Replacement","FY20-122","City Funds","Reserves",,"1500000"
"2020","Public Works - Enterprise Funds","Water Quality","327 Cross Creek Rd (FEMA)","FY20-136","City Funds","Reserves",,"25000"
"2020","Public Works - Enterprise Funds","Water Quality","435 Oliver Street Chattanooga, TN 37405 (FEMA)","FY20-137","City Funds","Reserves",,"1875"
"2020","Transportation","Transportation","Elder Mountain Road Slope Stabilization and Roadway Improvements (FEMA)","FY20-15","City Funds","Reserves",,"466124"
"2020","Public Works - Enterprise Funds","Water Quality","Riverfront Parkway/MLK CSS Separation Project","FY20-159","City Funds","Reserves",,"307651"
"2020","Transportation","Transportation","Pavement Preventative Maintenance","FY20-17","City Funds","Reserves",,"250000"
"2020","Transportation","Transportation","Pelican Drive at Jersey Pike","FY20-19","City Funds","Reserves",,"50000"
"2020","Transportation","Transportation","TIP - Traffic Sign Retro-reflectivity","FY20-24","City Funds","Reserves",,"86145"
"2020","Transportation","Transportation","Transit Signal Prioritization","FY20-26","City Funds","Reserves",,"250000"
"2020","Police Department","Police Department","Police Laptops","FY20-30","City Funds","Reserves",,"98274"
"2020","Police Department","Police Department","Police Vehicle Equipment Package","FY20-31","City Funds","Reserves",,"195000"
"2020","Police Department","Police Department","RECOVER System","FY20-32","City Funds","Reserves",,"66600"
"2020","Police Department","Police Department","RTIC","FY20-33","City Funds","Reserves",,"156725"
"2020","Youth & Family","Youth & Family Development","OEL Curriculum","FY20-36","City Funds","Reserves",,"150000"
"2020","Public Works","Public Works","235 Aster Ave (FEMA)","FY20-39","City Funds","Reserves",,"1000"
"2020","Public Works","Public Works","495 Riverfront Parkway (FEMA)","FY20-40","City Funds","Reserves",,"37500"
