"zta_no","title","zta_file","ordinance_no","ordinance_file","analyst","sponsor_s","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"08-09","To allow health clubs as a permitted use in the Industrial Zones without any limitations","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-09.pdf","16-21","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080708_16-21.pdf","Jeff Zyontz","Knapp",,"04/29/2008","06/17/2008","1:30 p.m.","PHED","06/23/2008",,,,,,,,"Adopted","07/08/2008",,"07/28/2008",,
"08-10","Fenton Village Overlay Zone - Hotel Height","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-10.pdf",,,"Jeff Zyontz","Ervin, Elrich",,"03/06/2008","06/17/2008","1:30 p.m.","PHED","06/26/2008","07/28/2008",,,,,,,"Superseded",,,,,"Superseded by action on ZTA 08-08"
"08-11","Standards - Residential Zones (Mansionization)",,"16-31","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/20081209_16-31.pdf","Jeff Zyontz","Berliner, Andrews, Elrich, Trachtenberg",,"05/06/2008","06/17/2008","7:30 p.m.","PHED","07/21/2008","10/13/2008",,,,,,,"Adopted as amended","12/09/2008",,"04/28/2008",,
"08-12","Landscape Contractors - General Commercial (C-2) Zone","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-12.pdf",,,"Jeff Zyontz","Floreen",,"06/10/2008","07/15/2008","1:30 p.m.","PHED","07/21/2008",,,,,,,,"Deferred","07/29/2008",,,,
"08-13","Transit Oriented Mixed-Use - General Commercial (C-2) Zone","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-13.pdf","16-23","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080729_16-23.pdf","Jeff Zyontz","Berliner",,"06/10/2008","07/15/2008","1:30 p.m.","PHED","07/21/2008",,,,,,,,"Adopted as amended","07/29/2008",,"08/18/2008",,
"08-14","Transit Mixed-Use (TMX) Zone - Establishment","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-14.pdf","16-29","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081215_16-29.pdf","Jeff Zyontz","District Council at request of Planning Board",,"06/24/2008","07/29/2008","1:30 pm","PHED","09/08/2008","09/22/2008",,,,,,,"Adopted as amended","11/25/2008",,"12/15/2008",,
"08-15","Arts or Entertainment Use - CBD Zones","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-15.pdf","16-25","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081007_16-25.pdf","Jeff Zyontz","District Council at request of Executive",,"06/24/2008","07/29/2008","1:30 pm","PHED","09/29/2008","10/06/2008",,,,,,,"Adopted as amended","10/07/2008",,"10/07/2008",,
"08-16","Workforce Housing - Findings","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-16.pdf","16-32","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/20090113_16-32.pdf","Jeff Zyontz","Floreen",,"07/29/2008","09/16/2008","1:30 pm","PHED","12/01/2008",,,,,,,,"Adopted with amendments","01/13/2009",,"02/02/2009",,
"08-17","Wheaton Central Business District - Boundaries","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-17.pdf","16-34","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/20090210_16-34.pdf","Jeff Zyontz","District Council at request of Planning Board",,"12/09/2008","01/13/2009","1:30 p.m.","PHED","02/02/2009",,,,,,,,"Adopted","02/10/2009",,"03/02/2009",,
"08-18","Land Use - Christmas Tree Sales","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2008/08-18.pdf",,,"Jeff Zyontz","District Council at request of County Executive",,"12/09/2008","02/03/2009","1:30 p.m.",,,,,,,,,,"Expired",,,,,
"09-01","Sandy Spring/Ashton Overlay Zone - Prohibited Uses","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-01.pdf","16-40","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20091027_16-40.pdf","Jeff Zyontz","Elrich",,"03/17/2009","04/21/2009","1:30 pm","PHED","10/08/2009",,,,,,,,"Adopted","10/27/2009",,"10/27/2009",,
"09-02","Special Provision - Parcel Consolidation","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-02.pdf","16-37","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20090630_16-37.pdf","Jeff Zyontz","Berliner",,"04/21/2009","06/09/2009","1:30 pm","PHED","06/22/2009",,,,,,,,"Adopted as amended","06/30/2009",,"07/20/2009",,
"09-03","Home Occupation & Off-Street Parking","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-03.pdf","16-59","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20101026_16-59.pdf","Jeff Zyontz","District Council at request of Executive",,"05/05/2009","06/09/2009","7:30 p.m.","PHED","07/13/2009",,,,,,,,"Adopted as amended","10/26/2010",,"04/24/2011",,
"09-04","RNC Zones - Equestrian Facility","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-04.pdf","16-38","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/20090616_16-38.pdf","Jeff Zyontz","Knapp",,"06/16/2009","07/21/2009","1:30 p.m.",,"07/27/2009",,,,,,,,"Adopted","09/15/2009",,"09/15/2009",,
"09-05","Burtonsville Overlay Zone - Allowed Uses","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-05.pdf","16-41","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20091027_16-41.pdf","Jeff Zyontz","Navarro",,"06/23/2009","07/28/2009","1:30 p.m.","PHED","10/08/2009",,,,,,,,"Adopted","10/27/2009",,"10/27/2009",,
"09-06","Town Sector (TS) Zone - Minimum Area","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-06.pdf","16-39","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20091006_16-39.pdf","Jeff Zyontz","Knapp, Elrich, Floreen",,"07/28/2009","09/15/2009","1:30 pm","PHED","09/21/2009",,,,,,,,"Adopted","10/06/2009",,"10/06/2009","None",
"09-07","Life Sciences Center (LSC) Zone - Revisions (2nd PH 9/17/09)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-07.pdf","16-49","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20100427_16-49.pdf","Jeff Zyontz","District Council at Request of Planning Board",,"07/28/2009","09/15/2009","7:30 pm","PHED","09/29/2007","10/12/2009","10/26/0009","11/09/0009","01/27/0010","02/23/0010","04/05/0010",,"Adopted as amended","04/27/2010",,"05/17/2010",,
"09-08","Commercial/Residential Zones - Establishment","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-08.pdf","16-44","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2010/20100302_16-44a.pdf","Jeff Zyontz","District Council at Request of Planning Board",,"09/22/2009","10/27/2009","7:30 pm","PHED","11/02/2009","11/09/2009","11/17/0009","11/23/0009","01/11/0010","01/25/0010",,,"Adopted as amended","03/02/2010",,"03/22/2010",,
"09-09","Planning Board Enforcement","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-09.pdf","16-48","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/200920100406_16-48.pdf","Jeff Zyontz","District Council at request of Planning Board",,"10/06/2009","11/17/2009","7:30 pm","PHED","03/17/2010",,,,,,,,"Adopted as amended","04/06/2010",,"04/26/2010",,
"09-10","I-3 Zone - Hospitals","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/zta09-10.pdf",,,"Jeff Zyontz","District Council at request of PHED Committee",,"10/06/2009","11/10/2009","1:30 pm",,,,,,,,,,"Expired",,,,,
"09-11","Residential Zones - Agricultural Vending","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-11.pdf","16-50","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20100504_16-50.pdf","Jeff Zyontz","Berliner, Leventhal, Trachtenberg, Navarro, and Elrich",,"11/17/2009","01/12/2010","1:30 pm","PHED","01/21/2010","04/22/2010",,,,,,,"Adopted as amended","05/04/2010",,"05/04/2010",,
"09-12","Rural Services - Development Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-12.pdf","16-42","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20100202_16-42.pdf","Jeff Zyontz","Knapp",,"11/17/2009","01/12/2010","1:30 pm","PHED","01/21/2010",,,,,,,,"Adopted","02/02/2010",,"02/22/2010",,
"09-13","Transit Mixed-Use (TMX) Zone � Prior Approvals","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-13.pdf","16-45","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2010/20100316_16-45.pdf","Jeff Zyontz","PHED Committee",,"12/01/2009","01/19/2010","1:30 pm","PHED","01/21/2010",,,,,,,,"Adopted as amended","03/16/2010",,"04/05/2010",,
"09-14","Hearing Examiner - Report Dissemination","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/zta09-14.pdf","16-43","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20100202_16-43.pdf","Jeff Zyontz","Knapp, Trachtenberg, Leventhal",,"12/08/2009","01/19/2010","1:30 pm","PHED","01/21/2010",,,,,,,,"Adopted","02/02/2010",,"02/22/2010",,
"10-01","Workforce Housing - Voluntary","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-01.pdf","16-46","https://www.montgomerycountymd.gov/content/council/pdf/bill/2010/20100406_16-46.pdf","Jeff Zyontz","PHED Committee",,"01/26/2010","03/02/2010","1:30 pm","PHED","03/04/2010",,,,,,,,"Adopted as amended","04/06/2010",,"04/26/2010",,
"10-02","Residential Townhouse (RT) Zones - Existing Dwellings","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-02.pdf","16-52","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20100518_16-52.pdf","Jeff Zyontz","Ervin, Elrich",,"02/09/2010","03/16/2010","1:30 pm","PHED","06/14/2010",,,,,,,,"Adopted","05/18/2010",,"06/07/2010",,
"10-03","Exemptions - Legal Dwellings","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-03.pdf","16-51","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20100504_16-51.pdf","Jeff Zyontz","Knapp, Elrich",,"03/16/2010","04/20/2010","1:30 pm","PHED","04/22/2010",,,,,,,,"Adopted as amended","05/04/2010",,"05/24/2010",,
"10-04","C-2 Zone - Automobile Filling Stations","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-04.pdf",,,"Jeff Zyontz","District Council at request of Executive",,"03/16/2010","05/20/2010","7:30 pm",,,,,,,,,,"Expired",,,,,
"10-05","Special Exceptions Procedures - Telecommunications Facilities","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-05.pdf","16-53","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20100622_16-53.pdf","Jeff Zyontz","Trachtenberg",,"04/06/2010","05/11/2010","1:30","PHED","05/06/2010","06/14/2010",,,,,,,"Adopted as amended","06/22/2010",,"06/22/2010",,
"10-06","Sloping Lots - Conditions","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-06.pdf",,,"Jeff Zyontz","Elrich",,"05/18/2010","06/22/2010","1:30 pm","PHED","06/28/2010",,,,,,,,"Expired",,,,,
"10-07","RNC Zones - Off-Street Parking","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-07.pdf",,,"Jeff Zyontz","Navarro, Elrich",,"05/27/2010","07/13/2010","1:30 pm",,,,,,,,,,"Expired",,,,,
"10-08","Agricultural Zones - Pet Daycare","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-08.pdf",,,"Jeff Zyontz","Knapp",,"06/22/2010","09/21/2010","1:30 pm","PHED",,,,,,,,,"Disapproved",,"10/05/2010",,,
"10-09","CBD Standards - Transient Lodging To allow transient lodging in CBD zones the same maximum FAR under the optional method of development as a residential project under certain circumstances","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-09.pdf","16-58","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20101026_16-58.pdf","Jeff Zyontz","District Council at request of County Executive",,"06/22/2010","07/27/2010","1:30 pm","PHED","10/04/2010",,,,,,,,"Adopted as amended","10/26/2010",,"11/15/2010","Div 59-C-6.2 Provisions of CBD zones; 59-C-6.23 Development standards",
"10-10","TMX Zone - Parking Standards To amend the TMX-2 zone parking provisions for leased office space used by the government","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-10.pdf","16-56","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20101005_10-10.pdf","Jeff Zyontz","Floreen",,"07/20/2010","09/21/2010","1:30 pm","PHED","09/27/2010",,,,,,,,"Adopted","10/05/2010",,"10/25/2010","Div 59-C-14.2 Transit Mixed-Use (TMX) Zone; 59-C-14.21 Description, purpose, and general requirements; 59-C-14.214 Off-Street parking",
"10-11","Administrative & Technical Amendments","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-11.pdf","16-55","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20101005_10-11.pdf","Jeff Zyontz","Floreen",,"07/20/2010","09/21/2010","1:30 pm","PHED","09/27/2010",,,,,,,,"Adopted","10/05/2010",,"10/25/2010","Div 59-D-1 Development Plan; 59-D-1.7 Amendment of a development plan; 59-G-2 Special Exceptions-Standards & Requirements; 59-G-2.06 Automobile filling stations; 59-G-2.31 Hospitals; Div 59-H-2 Map Amendments-Applications;",
"10-12","RDT Zone - Child Lot Standards To: amend the density calculations in the RDT zone to exclude a child lot under specified conditions; amend the standards to approve a child lot in the RDT zone; generally amend the child lot provisions in the RDT zone","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-12.pdf","16-57","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20101026_16-57.pdf","Jeff Zyontz","Knapp",,"07/27/2010","09/21/2010","1:30 pm","PHED","10/11/2010",,,,,,,,"Adopted as amended","10/26/2010",,"11/15/2010","Div 59-A-2 Definitions and Interpretations; 59-A-2.1 Definitions; Div 59-C-9 Agricultural Zones; 59-C-9.41 Density in RDT zone; 59-C-9.74 Exempted lots and parcels-Rural Density Transfer zone",
"10-13","Hearing Examiner Waivers - Parking and Public Facilities","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-13.pdf","17-01","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110208_17-01.pdf","Jeff Zyontz","Floreen",,"12/14/2010","01/18/2011","1:30 pm","PHED","01/31/2011",,,,,,,,"Adopted as amended","02/08/2011",,"02/28/2011",,
"10-14","RNC/TDR Zone - Land Uses","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-14.pdf","17-02","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110208_17-02.pdf","Jeff Zyontz","Floreen",,"12/14/2010","01/18/2011","1:30 pm","PHED","01/24/2011",,,,,,,,"Adopted","02/08/2011",,"02/28/2011",,
"10-15","Agricultural Zones - Airstrips","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/zta_10-15.pdf","17-03","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110308_17-03.pdf","Jeff Zyontz","Elrich, Rice",,"12/14/2010","01/18/2011","1:30 pm","PHED","02/28/2011",,,,,,,,"Adopted as amended","03/08/2011",,"03/08/2011",,
"11-01","Commercial/Residential zones - Neighborhood and Town zones","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-01.pdf","17-09","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20111011_17-09.pdf","Jeff Zyontz","Council President at Request of the Planning Board",,"04/12/2011","05/17/2011","7:30 pm","PHED","06/13/0011","06/22/2011","06/23/0011","06/27/0011","06/30/0011","07/11/0011","07/14/0011","07/18/0011","Adopted as amended","10/11/2011",,"10/31/2011",,
"11-02","Non-Conforming uses - Historic Resources","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-02.pdf","17-06","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110719_17-06.pdf","Jeff Zyontz","Navarro",,"04/12/2011","06/14/2011","1:30 pm","PHED","07/11/2011",,,,,,,,"Adopted","07/19/2011",,"08/08/2011",,
"11-03","Special Exception Standards - Professional Offices","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-03.pdf","17-07","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110719_17-07.pdf","Jeff Zyontz","Rice",,"04/12/2011","06/14/2011","1:30 pm","PHED","07/11/2011",,,,,,,,"Adopted as amended","07/19/2011",,"08/08/2011",,
"11-04","CBD Zones - Public Facilities","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-04.pdf","17-05","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110628_17-05.pdf","Jeff Zyontz","Council President at Request of the County Executive",,"05/10/2011","06/14/2011","1:30 p.m.","PHED","06/23/2011",,,,,,,,"Adopted as amended","06/28/2011",,"06/28/2011",,
"11-05","U.S. 29/Cherry Hill Road Employment Area Overlay Zone - Automobile Sales and Service","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-05.pdf","17-08","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110719_17-08.pdf","Jeff Zyontz","Ervin, Leventhal, Floreen",,"05/10/2011","06/14/2011","1:30 p.m.","PHED","07/11/2011",,,,,,,,"Adopted as amended","07/19/2011",,"08/08/2011",,
"11-06","Fenton Village Overlay Zone - Building Height","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-06.pdf","17-11","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20120207_17-11.pdf","Jeff Zyontz","Floreen, Ervin",,"11/08/2011","01/17/2012","1:30 pm","PHED","01/30/2012",,,,,,,,"Adopted as amended","02/07/2012",,"02/27/2012",,
"11-07","Telecommunications Facilities - Antenna Height","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-07.pdf","17-12","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20120207_17-12.pdf","Jeff Zyontz","Floreen",,"11/08/2011","01/17/2012","1:30 pm","PHED","01/30/2012",,,,,,,,"Adopted","02/07/2012",,"02/08/2012",,
"11-08","Residential Zones - Accessory Commercial Kitchen","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/zta_11-08.pdf","17-15","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120626_17-15.pdf","Jeff Zyontz","Leventhal",,"12/13/2011","01/24/2012","1:30 p.m.","PHED","02/29/2012","06/11/2012",,,,,,,"Adopted as amended","06/26/2012",,"07/16/2012",,
"12-01","Commercial Zones - Large Retail Uses","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-01.pdf","17-13","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120410_17-13.pdf","Jeff Zyontz","Berliner, Ervin",,"01/31/2012","03/20/2012","1:30 p.m.","PHED","03/26/2012",,,,,,,,"Adopted as amended","04/10/2012",,"04/30/2012",,
"12-02","Commercial Zones - Combined Retail Stores","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-02.pdf",,,"Jeff Zyontz","Ervin, Navarro, Elrich",,"01/31/2012","03/20/2012","1:30 p.m.","PHED","03/26/2012",,,,,,,,"Expired",,,,,
"12-03","Agricultural Zones - Wineries","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-03.pdf","17-16","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120710_17-16.pdf","Jeff Zyontz","Rice, Floreen, Elrich",,"02/14/2012","03/27/2012","1:30 pm","PHED","06/25/2012",,,,,,,,"Adopted as amended","07/10/2012",,"07/30/2012",,
"12-04","Site Plan - Surety Requirements","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-04.pdf","17-14","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120410_17-14.pdf","Jeff Zyontz","District Council at request of Planning Board",,"02/14/2012","03/27/2012","1:30 pm",,,,,,,,,,"Adopted as amended","04/10/2012",,"04/30/2012",,
"12-05","Commercial/Residential Zones - Grandfathering","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-05.pdf","17-18","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120710_17-18.pdf","Jeff Zyontz","PHED Committee",,"02/28/2012","04/10/2012","1:30 pm","PHED","06/18/2012",,,,,,,,"Adopted as amended","07/10/2012",,"07/30/2012",,
"12-06","Commercial/Residential Zones - Transit Proximity Definition","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-06.pdf","17-21","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121009_17-21.pdf","Jeff Zyontz","Leventhal, Elrich, Andrews, Berliner",,"03/06/2012","04/10/2012","1:30 pm","PHED","06/18/2012","09/24/2012",,,,,,,"Adopted as amended","10/09/2012",,"10/29/2012",,
"12-07","Special Exceptions - Automobile Filling Station","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-07.pdf","17-19","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120724_17-19.pdf","Jeff Zyontz","Elrich, Ervin, Navarro, Rice, Riemer",,"04/17/2012","06/19/2012","7:30 pm","PHED","07/09/2012",,,,,,,,"Adopted as amended","07/24/2012",,"08/13/2012",,
"12-08","Transit Station Zones - Minimum Area","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-08.pdf","17-17","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120710_17-17.pdf","Jeff Zyontz","Floreen",,"05/24/2012","06/12/2012","1:30 pm","PHED","06/25/2012",,,,,,,,"Adopted as amended","07/10/2012",,"07/30/2012",,
"12-09","PD Zones - Hotels","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-09.pdf",,,"Jeff Zyontz","Riemer",,"06/12/2012","07/17/2012","1:30 pm","PHED","07/30/2012",,,,,,,,"Deferred",,,,,
"12-10","Established Building Line - Clarification","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-10.pdf","17-22","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121023_17-22.pdf","Jeff Zyontz","Berliner",,"07/17/2012","09/11/2012","1:30 pm","PHED","10/11/2012",,,,,,,,"Adopted as amended","10/23/2012",,"11/12/2012",,
"12-11","Accessory Apartments - Amendments","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-11.pdf","17-28","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130205_17-28.pdf","Jeff Zyontz","District Council at request of Planning Board",,"07/24/2012","09/11/2012","7:30 pm","PHED","10/08/2012","10/22/2012","11/05/0012",,,,,,"Adopted as amended","02/05/2013",,"05/20/2013",,
"12-12","Density Transfer - C-2 to CBD Zones","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-12.pdf","17-23","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121023_17-23.pdf","Jeff Zyontz","Berliner, Floreen",,"07/31/2012","09/11/2012","1:30 pm","PHED","10/11/2012",,,,,,,,"Adopted","10/23/2012",,"11/12/2012",,
"12-13","Rural Cluster Zone - Impervious Surface Limits","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-13.pdf","17-26","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121204_17-26.pdf","Jeff Zyontz","Council President at request of Planning Board",,"09/11/2012","10/23/2012","1:30 pm","PHED","11/29/2012",,,,,,,,"Adopted as amended","12/04/2012",,"12/24/2012",,
"12-14","Bikeshare Facility - Incentive","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-14.pdf","17-24","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121113_17-24.pdf","Jeff Zyontz","Berliner, Ervin, Riemer, Navarro",,"09/11/2012","10/23/2012","1:30 pm","PHED","11/05/2012",,,,,,,,"Adopted","11/13/2012",,"12/03/2012",,
"12-15","Guest House - Conditions","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-15.pdf","17-25","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121204_17-25.pdf","Jeff Zyontz","Floreen",,"09/25/2012","11/13/2012","1:30 pm","PHED","11/26/2012",,,,,,,,"Adopted as amended","12/04/2012",,"12/24/2012",,
"12-16","One-Family Dwelling - Pre-1928 Lots","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-16.pdf","17-33","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130409_17-33.pdf","Jeff Zyontz","Floreen",,"09/25/2012","11/13/2012","1:30 pm","PHED","04/01/2013",,,,,,,,"Adopted as amended","04/09/2013",,"04/29/2013",,
"12-17","Country Inn Zone - Standards","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-17.pdf","17-27","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20121211_17-27.pdf","Jeff Zyontz","Floreen",,"10/23/2012","11/27/2012","1:30 pm","PHED","12/03/2012",,,,,,,,"Adopted","12/11/2012",,"12/31/2012",,
"12-18","Exemptions - Pre-1928 Resubdivisions","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/zta_12-18.pdf","17-34","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130409_17-34.pdf","Jeff Zyontz","Floreen",,"12/11/2012","01/22/2013","1:30 pm","PHED","04/01/2013",,,,,,,,"Adopted as amended","04/09/2013",,"04/29/2013",,
"13-01","Planned Development Zones - Procedures","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/zta_13-01.pdf","17-35","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130430_17-35.pdf","Jeff Zyontz","Berliner",,"03/12/2013","04/16/2013","1:30 pm","PHED","04/23/2013",,,,,,,,"Adopted","04/30/2013",,"05/01/2013",,
"13-02","CBD Zones - Self Storage","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/zta_13-02.pdf","17-37","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130924_17-37.pdf","Jeff Zyontz","Berliner",,"04/30/2013","06/18/2013","1:30 pm","PHED","09/09/2013",,,,,,,,"Adopted","09/24/2013",,"10/14/2013",,
"13-03","Impervious Area - Calculation","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/zta_13-03.pdf",,,"Jeff Zyontz","Rice",,"05/07/2013","06/18/2013","1:30 pm","PHED","09/09/2013",,,,,,,,"Expired",,,,,
"13-05","US 29 Overlay Zone - Standards","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/zta_13-05.pdf","17-38","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130924_17-38.pdf","Jeff Zyontz","Ervin, Floreen",,"05/14/2013","06/18/2013","1:30 pm","PHED","09/09/2013",,,,,,,,"Adopted as amended","09/24/2013",,"09/25/2013",,
"13-06","Fenton Village Overlay - Building Height","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/zta_13-06.pdf","17-39","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130924_17-39.pdf","Jeff Zyontz","Elrich",,"06/11/2013","07/16/2013","1:30 pm","PHED","09/09/2013",,,,,,,,"Adopted as amended","09/24/2013",,"10/14/2013",,
