"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","32.82"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","0.46"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.05"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","6.11"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","32.54"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","1.98"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.06"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","4.18"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.16"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.72"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","62.78"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502030:Benefits - Fica",,,"2021-01-01T00:00:00.000","FY2021","-17.86"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.73"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.93"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","29.71"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","84.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","6.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","292.90"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","112.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.48"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502030:Benefits - Fica",,,"2021-01-01T00:00:00.000","FY2021","-4.18"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.60"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","5.77"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.56"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","244.05"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","84.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","162.70"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","52.31"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","24.67"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-08T00:00:00.000","FY2020","51853.16"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502010:Benefits - Workers Compensation",,,"2021-01-01T00:00:00.000","FY2021","-7.78"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","501100:Salaries & Wages",,,"2021-01-01T00:00:00.000","FY2021","-288.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-08T00:00:00.000","FY2020","-51853.16"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-08T00:00:00.000","FY2020","-49994.35"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502180:Benefits - State Family Medical Leave",,,"2021-01-01T00:00:00.000","FY2021","-0.42"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","506400:Capital Equipment","Capital Equipment [64.000000]",,"2020-06-08T00:00:00.000","FY2020","49994.35"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502010:Benefits - Workers Compensation",,,"2020-12-31T00:00:00.000","FY2020","0.45"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-17T00:00:00.000","FY2020","750.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Veterans Relief Programs [49.069600]",,"2020-06-01T00:00:00.000","FY2020","500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-12T00:00:00.000","FY2020","1950.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-12T00:00:00.000","FY2020","1950.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-12T00:00:00.000","FY2020","1950.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-15T00:00:00.000","FY2020","1000.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-19T00:00:00.000","FY2020","2500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-18T00:00:00.000","FY2020","1560.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-11T00:00:00.000","FY2020","2400.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-10T00:00:00.000","FY2020","1000.00"
"Finance and Performance Management","001-00 Current Expense Fund","Public Health Emergency Response",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","344000:Transportation",,,"2020-06-24T00:00:00.000","FY2020","-318.97"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","1.50"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","0.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.05"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","25.09"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.14"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","8.29"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","3.23"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502030:Benefits - Fica",,,"2020-12-31T00:00:00.000","FY2020","3.92"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.93"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.41"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.73"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","169.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","112.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","52.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","36.32"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","4.01"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","17.17"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","52.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502090:Benefits - Other",,,"2020-06-28T00:00:00.000","FY2020","0.58"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","501100:Salaries & Wages",,,"2020-12-31T00:00:00.000","FY2020","270.00"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.93"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.46"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.73"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","40.37"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","4.41"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","18.84"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","125.55"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","188.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","30.65"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","112.92"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","5.62"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","109.09"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","3.29"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.52"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","14.07"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","125.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","24.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","158.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.58"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","51.11"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.79"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.68"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","238.45"
