"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.501081237503 47.14286704433)","206","327","Springbrook Park","Park","Local","12601 ADDISON ST SW","Lakewood","98499","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","3.52","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Springbrook Park","3.271341",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.439552676484 47.116956572057)","37","94","Lake Spanaway Golf Course","Golf","Regional","15602 Pacific Avenue South","Tacoma","98444","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (unless otherwise posted)","145.29","0","http://www.lakespanawaygc.com/",,"1","Lake Spanaway Golf Course","145.29274222","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","128.8","Lake Spanaway Golf Course is part of the Spanaway Regional Recreational Complex that also contains Bresemann Forest, Sprinkler Recreation Center and Spanaway Park. The course includes 18 holes, a clubhouse, and driving range.","Yes",
"POINT (-122.268836266978 47.255388642192)","118","209","Interurban Trail - Edgewood","Trail","Linear Park","11409 Jovita Blvd E","Edgewood","98372","City of Edgewood","City of Edgewood","Dawn to Dusk (unless otherwise posted)","0","1.4472",,,"1","Interurban Trail - Edgewood","22.10668951",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.60608986871 47.33525264937)","74","144","Peninsula Recreation Area","Rec Area","TBD","Skansie Ave","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District",,"14.92","0",,,"1","Peninsula Recreation Area","14.92073847",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.152457597166 47.163930328233)","306","2770","Bonney Lake Midtown Park","Park","Undeveloped Sites","South Prairie Rd E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Dawn to Dusk","0","50",,,"1","Bonney Lake Midtown Park","45.47284929",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.298750491833 47.060821768331)","27","80","Frontier Park","Park","County","21800 Meridian Ave E","Graham","98338","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk / During special events and the Pierce County Fair new times for gate closures at Frontier Park go into effect.","54.35","10","https://www.co.pierce.wa.us/1321/Frontier-Park",,"1","Frontier Park","68.27458911","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","71.4","Frontier Park is a 71 acre complex on Meridian between Puyallup and Graham. The park is home to many uses, including the Pierce County Fair, Highland Games, equestrian shows, scouting events, car shows, quarter midget track racing, and other community events.","Yes",
"POINT (-122.7031586684 47.158530893595)","301","2764","Tom White Park & Old Schoolhouse","Park","Local","10804 Eckenstam Johnson Rd AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","0","http://www.andersonislandparks.org/Tom_White_Park.html",,"1","Tom White Park & Old Schoolhouse","7.29511613",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.519361851625 47.280861861953)","221","349","Vassault Park","Park","Local","6100 N 37th","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","16.79","0","http://www.metroparkstacoma.org/vassault-park",,"1","Vassault Park","16.95998059",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.324757571852 47.255379741035)","117","208","Interurban Trail - Hylebos Overlook","Trail","Linear Park","508 7th Ave","Milton","98354","City of Milton","City of Milton","Dawn to Dusk (unless otherwise posted)","0","6.84","http://www.cityofmilton.net/page.php?id=96",,"1","Interurban Trail - Hylebos Overlook","6.83617918",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.46150826327 47.263502085234)","164","272","North Slope Historic District Park","Park","Local","1015 N 8th St","Tacoma","98403","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.1607","0","http://www.metroparkstacoma.org/north-slope-historic-d",,"1","North Slope Historic District Park","0.14232033",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.039818914943 46.762119274552)","39","96","Ashford County Park","Park","County","29801 SR706","Ashford","98304","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","53","31","https://www.co.pierce.wa.us/1313/Ashford-County-Park","http://www.co.pierce.wa.us/xml/abtus/ourorg/parks/ashford/Ashford_Conceptual17-mod_1-2w.pdf","1","Ashford County Park","85.29522402","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","83.98","This 80-acre park in along SR-706 in the community of Ashford includes trails, playground, great lawn, restrooms, and an outdoor amphitheater.","Yes",
"POINT (-122.27743525039 47.171615536941)","235","367","Wildwood Park","Park","Local","1101 23rd Ave. SE","Puyallup","98372","City of Puyallup","City of Puyallup","8 am to Dusk","80","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/wildwood-park/",,"1","Wildwood Park","84.10717727",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.622541127062 47.254049807306)","162","270","Nichols Community Center","Community Center","Special Use","690 9th Ave","Fox Island","98333","Fox Island Comunity and Recreation Association","Fox Island Comunity and Recreation Association","Call JJ Bland at 253-228-8161.","4.93","0","http://www.ficra.org/nichols-community-center.htm",,"1","Nichols Community Center","5.0156528",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.468447664251 47.274356360122)","172","281","Old Town Park","Park","Local","2350 N 30th ST","Tacoma","98403","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","1.21","0","http://www.metroparkstacoma.org/old-town-park",,"1","Old Town Park","1.21356434",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.654569728498 47.096527184574)","265","1858","Garry Oaks Park","Park","Local","McNeil St","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","15.11","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Garry Oaks Park","15.11049242",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.448852681115 47.134975630373)","38","95","Gonyea Playfield","Park","Local","13422 10th Ave S","Tacoma","98444","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","12.45","0","https://www.co.pierce.wa.us/1323/Gonyea-Play-Field",,"1","Gonyea Playfield","12.45160987","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","12.42","This neighborhood playfield serves the Parkland community and includes multi-purpose baseball, softball and soccer fields with a playground, basketball courts, and restrooms.","Yes",
"POINT (-122.414643815374 47.23320355665)","183","298","Rogers Park","Park","Local","1301 E 34TH ST","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.3416","0","http://www.metroparkstacoma.org/rogers-park","http://www.metroparkstacoma.org/files/library/bf990d213f8806ec.pdf","1","Rogers Park","2.34668696",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.592488881246 47.336804970503)","274","1873","Austin Estuary Park","Park","Resource Conservancy","4009 harborview Drive","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","0.82","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Austin Estuary Park","0.81241948",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.446912654462 47.240591583884)","137","232","McCarver Park","Playground","Local","S 23rd St At S J St","Tacoma","98405","Tacoma School District","Metro Parks Tacoma","Dawn to Dusk","2.07","0","http://www.metroparkstacoma.org/mccarver-park",,"1","McCarver Park","5.85042662",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.237508336558 47.199147680378)","150","254","Loyalty Park","Park","Local","1300 Park Street","Sumner","98390","City of Sumner","City of Sumner","8 am to 10 pm","2.64","0","http://www.ci.sumner.wa.us/Living/Loyalty_Park.htm",,"1","Loyalty Park","2.6595059",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.356598506166 47.238634387453)","101","188","Fountain Memorial Park","Park","Local","2001 54th Avenue","Fife","98424","City of Fife","City of Fife","Dawn to Dusk","0.7713","0",,,"1","Fountain Memorial Park","0.81348867",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.452834857998 47.253510878662)","133","226","Peoples Park","Park","Local","900 S K ST","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2","0","http://www.metroparkstacoma.org/peoples-park",,"1","Peoples Park","1.68717792",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.712157061715 47.152023009302)","236","368","Andy's Wildlife Park","Wildlife Habitat","Resource Conservancy","Sandberg Rd AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","50","http://www.andersonislandparks.org/Andy_s_Wildlife_Park_3ZQR.html",,"1","Andy's Wildlife Park","157.71481259",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.19971657912 47.09719869682)","322","2678","Triangle Park (Orting)","Park","Local","River Ave SE and Bridge St SE","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","0","0",,,"1","Triangle Park- Orting","0.1939635",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.356433934088 47.23788700148)","94","176","Fife Community Center","Community Center","Special Use","2111 54th Avenue E","Fife","98424","City of Fife","City of Fife","M-F, 8:30am-5:00pm","0.6543","0","http://cityoffife.org/?p=city_departments&a=parks_and_recreation",,"1","Fife Community Center","0.65371032",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.485065386552 47.28506223512)","154","259","Marine Park / Les Davis Pier","Park","Local","3427 Ruston Way","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk (Pier is open 24 hours)","7.02","0","http://www.metroparkstacoma.org/marine-park",,"1","Marine Park / Les Davis Pier","4.98510117",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.449994666971 47.255512978278)","159","267","Neighbors Park","Park","Local","S 8th & I St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.606","0","http://www.metroparkstacoma.org/neighbors-park",,"1","Neighbors Park","0.60643949",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.217143809867 47.110864685096)","296","2677","Carbon River Landing","Park","Local","Rocky Road NE","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","0","0",,,"1","Carbon River Landing","27.76822882",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.350368484763 47.231989124937)","229","361","Wedge Park","Park","Local","5811 28TH ST E","Fife","98424","City of Fife","City of Fife","Dawn to Dusk","1.994","0","http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks&c=wedge_park",,"1","Wedge Park","2.07352598",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.589976365464 47.166353379659)","282","1893","Cherrydale Park","Park","Local","Military Rd and B St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.826","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#cherrydale",,"1","Cherrydale Park","1.16510705",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.805765781537 47.225125177453)","124","216","Joemma Beach State Park","Park","Regional","30TH ST KS","Lakebay","98349","State of Washington","Washington State Parks","Summer: 8 a.m. to 9:30 p.m. | Winter: 8 a.m. to 6:30 p.m.","0","122","http://www.parks.wa.gov/parks/?selectedpark=Joemma%20Beach&subject=all",,"1","Joemma Beach State Park","119.81843816","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","160","Set on Key Peninsula in the middle of South Puget Sound, Joemma Beach is a quick boat ride or a beautiful drive from Olympia, Tacoma and the shoreline communities in between.","no","Yes"
"POINT (-122.154216960515 47.17279950755)","252","1841","Cedarview Park","Park","Local","9301 208th Av E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Dawn to Dusk","2.9","0","http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml",,"1","Cedarview Park","2.91418018",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.214457041081 47.185287224746)","46","105","Riverside Park","Park","Unclassified","7800 Riverside Drive E","Sumner","98390","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","0","35","https://www.co.pierce.wa.us/1331/Riverside-Park-BMX","http://www.rivervalleybmxracing.com/","1","Riverside Park","36.67326994","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","36.11","Located at Riverside Road and 78th Street Court in Sumner, Riverside Park is an undeveloped 36-acre park along the Puyallup River with four disc golf courses, seasonal BMX concession, and a permit-use only boat slide.","Yes",
"POINT (-122.625218152708 47.100406603348)","328","3113","Bell Hill Neighborhood Park","Park","Local","1280 Bell Hill Pl","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.43","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Bell Hill Neighborhood Park","0.42764234",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.03199816611 47.160522858253)","278","1879","Buckley Skate Park","Skate Park","Local","251 S River Av","Buckley","98321","City of Buckley","City of Buckley","Dawn to Dusk","1.48","0","http://www.cityofbuckley.com/documents/skate_park_camera.html",,"1","Buckley Skate Park","1.36162941",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.584583031724 47.170868641652)","286","1899","Weber Court","Park","Local","Roe St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.46","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#weber",,"1","Weber Court","0.50201605",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.481766271241 47.211317752805)","204","325","South Park","Park","Local","4851 S Tacoma Way","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","14.5","0","http://www.metroparkstacoma.org/south-park",,"1","South Park","15.35343554",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.599923569601 47.17261360545)","319","1868","Charlie's Park","Park","Special Use","Pacific and Lafayette St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.275","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#charlies",,"1","Charlie's Park","0.35576284",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.458032570345 47.271031704587)","103","190","Garfield Park","Park","Local","400 North Borough Road","Tacoma","98403","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","12.6","0","http://www.metroparkstacoma.org/garfield-park",,"1","Garfield Park","11.46342626",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.47690364641 47.186271436426)","167","276","Oak Tree Park","Park","Undeveloped Sites","7633 S Montgomery St.","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","24.55","0","http://www.metroparkstacoma.org/oak-tree-park",,"1","Oak Tree Park","25.23161816",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.296726082563 47.202763800009)","317","291","Puyallup Riverwalk Trail","Trail","Linear Park","Runs along Puyallup River-Milwaukee Bridge to 7th St","Puyallup","98371","City of Puyallup","City of Puyallup","8 am to Dusk","1.2372","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-riverwalk-trail/",,"1","Puyallup Riverwalk Trail","14.1900091",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.373944358031 47.102645655008)","158","266","Naches Trail Preserve","Wildlife Habitat","Resource Conservancy","17301 38th Ave Ct E","Frederickson","98446","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","17","20","https://www.piercecountywa.gov/1399/Naches-Trail-Preserve",,"1","Naches Trail Preserve","37.55","n","y","y","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","37.55",,"Yes","no"
"POINT (-122.499496021315 47.247195064525)","73","141","DeLong Park","Park","Local","4700 S 12th St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","10.48","0","http://www.metroparkstacoma.org/delong-park",,"1","DeLong Park","21.44999669",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.321187349102 47.184590982037)","56","115","Clarks Creek Park North","Park","Local","1700 12th Ave Sw","Puyallup","98371","City of Puyallup","City of Puyallup","8 am to Dusk","16.82","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/clarks-creek-park/",,"1","Clarks Creek Park North","16.81902615",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.27343016872 47.237857559739)","160","268","Nelson Nature Park","Wildlife Habitat","Local","2228 118th Ave E","Edgewood","98372","City of Edgewood","City of Edgewood","Dawn to Dusk","0","12.51","http://www.cityofedgewood.org/depts/parks/parks.htm",,"1","Nelson Nature Park","11.52039899",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.527234112896 47.19801429554)","127","219","Kobayashi Park","Park","Resource Conservancy","6420 Chambers Creek Rd W","University Place","98467","City of University Place","City of University Place","Dawn to Dusk (unless otherwise posted)","5.53","0","http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf",,"1","Kobayashi Park","5.64226355",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.095930628588 47.13913429797)","346","2775","Foothills Trail- South Prairie Trailhead","Trail Head","Linear","1st St","South Prairie","98385","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (Unless otherwise posted)","1.8","0","https://www.piercecountywa.org/2342/South-Prairie-to-Buckley",,"1","Foothills Trail- South Prairie Trailhead","2.02933167","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","The South Prairie Trail trailhead will have parking for 20 vehicles, plus an information kiosk and a sani-can enclosure. This section of the Foothills Trail will link the towns of Buckley to the east and Orting to the west.","Yes",
"POINT (-122.406332934448 47.17661821554)","29","83","Dawson Playfield","Park","Local","1605 90th St E","Tacoma","98445","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","5","0","https://www.co.pierce.wa.us/1319/Dawson-Playfield",,"1","Dawson Playfield","4.7773993","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","5.05","Dawson Playfield is a neighborhood park in the Midland community that includes a picnic shelter, playground, basketball and tennis courts, playfield, and walking path.","Yes",
"POINT (-122.404823908085 47.299510950851)","30","84","Norpoint Park","Rec Center","Local","4818 Nassau Ave NE","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","18.72","0","http://www.metroparkstacoma.org/norpoint-park",,"1","Norpoint Park","17.50577324",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.242176017321 47.202636192901)","186","302","Rueben Knoblauch Heritage Park","Park","Local","[900-999] Main St","Sumner","98390","City of Sumner","City of Sumner","8 am to 10 pm","2.3312","0","http://www.ci.sumner.wa.us/Living/Heritage_Park.htm",,"1","Rueben Knoblauch Heritage Park","0.44826239",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.312085072821 47.127531453531)","203","324","South Hill Community Park","Park","Local","86th Ave E & 144th St E","Puyallup","98373","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","39.51","0","https://www.co.pierce.wa.us/1334/South-Hill-Community-Park",,"1","South Hill Community Park","39.5123984","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","39.56","The South Hill Community Park is a 40-acre site which includes, bathrooms, playground, picnic tables, multipurpose sports fields and a network of paved meandering trails, South Hill Loop Trail and Nathan Chapman Memorial Trail.","Yes",
"POINT (-122.265543525698 46.862278787011)","271","1869","Millpond Park","Park","Local","150 Alder St E","Eatonville","98328","Town of Eatonville","Town of Eatonville","Dawn to Dusk","5.23","0","http://www.eatonville-wa.gov/node/18",,"1","Millpond Park","4.96224778",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.630877085942 47.093492691176)","261","1854","Sellers Park","Park","Local","Barksdale Av & Hopewell St","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","16","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Sellers Park","33.39233244",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.181984980084 46.764559499819)","141","242","Mount Rainier Scenic Railroad","Railroad","Linear Park","349 Mineral Creek Rd","Mineral","98355","Mount Rainier Scenic Railroad","Mount Rainier Scenic Railroad","Check our Website for hours of operation and special events.WWW.MRSR.COM","66","0","http://www.mrsr.com/index.html",,"1","Mount Rainier Scenic Railroad","66.66151393",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.438171106444 47.256857664183)","98","182","Fireman's Park ( Metro )","Park","Local","803 A Street","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","1.79","0","http://www.metroparkstacoma.org/firemans-park",,"1","Fireman's Park- Metro","1.53174846",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.270094732604 47.240128204628)","161","269","Nelson Farm Park","Wildlife Habitat","Local","11912 18th St E","Edgewood","98372","City of Edgewood","City of Edgewood","Dawn to Dusk (unless otherwise posted)","10","0","http://www.cityofedgewood.org/depts/parks/parks.htm",,"1","Nelson Farm Park","9.0479174",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.397841592453 47.226742314903)","184","299","Roosevelt Park","Park","Local","3601 E Roosevelt Ave","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","13.47","0","http://www.metroparkstacoma.org/roosevelt-park",,"1","Roosevelt Park","13.86107247",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.272373154144 46.869989031446)","107","194","Glacier View Park","Park","Local","209 Fir Avenue North","Eatonville","98328","Town of Eatonville","Town of Eatonville","Dawn to Dusk","1.56","0","http://www.eatonville-wa.gov/glacier",,"1","Glacier View Park","1.6076852",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.483166637198 47.276533045245)","176","285","Puget Creek Natural Area","Park","Trail","N ALDER WAY & N LAWRENCE ST","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","3.98","http://www.metroparkstacoma.org/page.php?id=606",,"1","Puget Creek Natural Area","1480.82919912",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.511559921493 47.297462077575)","187","303","Rust Park","Park","Local","5309 N Commercial St","Ruston","98407","City of Ruston","City of Ruston","Dawn to Dusk","1.8739","0","http://www.rustonwa.org/services/parks/rust-park",,"1","Rust Park","6.172282",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.771749994608 47.190086181832)","242","378","Taylor Bay Park","Park","Regional","17803 76th St KS","Longbranch","98351","Key Pen Parks","Key Pen Parks","8 am to Dusk","0","40.2","http://www.keypenparks.com/taylor-bay-park.htm",,"1","Taylor Bay Park","40.2",,,,,,,,,,,,,,,,,,,,,,,,,,"40.2",,"No",
"POINT (-122.225200614422 47.206387353076)","69","135","Daffodil Valley Sports Complex","Park","Local","5604 Graham Street","Sumner","98390","City of Sumner","City of Sumner","8 am to 10 pm","6.96","0","http://www.ci.sumner.wa.us/Living/Daffodil_Valley.htm",,"1","Daffodil Valley Sports Complex","6.69923382",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.574403312154 47.205397891401)","31","85","Chambers Bay Golf Course","Golf","Regional","6320 Grandview Drive West","University Place","98467","Pierce County","Kemper Sports","Check website for tee times","340.45","0","https://www.chambersbaygolf.com/",,"1","Chambers Bay Golf Course","349.36131292","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","370.45","Located near Tacoma in Pierce County, Washington, Chambers Bay is one of the top public courses in the nation and the first course in the Northwest to welcome the U.S. Open Championship.","Yes",
"POINT (-122.48740000986 47.286723062549)","62","122","Cummings Park","Park","Local","3939 Ruston Way","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","3.8424","0","http://www.metroparkstacoma.org/cummings-park",,"1","Cummings Park","3.84072402",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.439437986747 47.261409975128)","215","339","Thea's Park","Park","Local","405 Dock St","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.9782","0","http://www.metroparkstacoma.org/theas-park",,"1","Thea's Park","2.92871615",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.468096908102 47.277072057757)","109","197","Hamilton Park","Park","Local","2321 Ruston Way","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","3.14","0","http://www.metroparkstacoma.org/hamilton-park",,"1","Hamilton Park","2.38476833",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.638873730234 47.094366799974)","263","1856","Clocktower Park","Park","Local","Palisade Blvd & Thompson Cir","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","2.309","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Clocktower Park","2.31086716",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.216010328423 47.256779101221)","289","1964","Dorothy Bothell Park","Park","Local","5701 Lakeland Hills Way SE","Auburn","98092","City of Auburn","City of Auburn","Dawn to Dusk","4","0","http://www.auburnwa.gov/community/parks/dorothy_bothell.asp",,"1","Dorothy Bothell Park","4.33377385",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.264188366678 46.859757254475)","104","191","George Smallwood Park","Park","Local","525 SR 161 South","Eatonville","98328","Town of Eatonville","Town of Eatonville","Dawn to Dusk","39.98","0","http://www.eatonville-wa.gov/smallwood",,"1","George Smallwood Park","15.51620599",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.628040943967 47.347429568271)","360","804","Rotary Bark Park","Park","Special Use","10100 Bujajich Rd NW","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park Distric","Dawn to dusk","15","60","https://penmetparks.org/parks/rotary-bark-park/",,"1","Rotary Bark Park","74.9","yes",,,,"yes",,,"yes",,"yes",,,,,,,,,,,,,,,,"75",,"no",
