"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","FIBER/NETWORK MGMT PROG","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER/NETWORK MGMT PROG","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10450","STREET CONSTRUCTION",
"2020","ADA COMPLIANCE","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","OPERATING","ADA COMPLIANCE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","26784","SALES TAX CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","17066.46","SANITARY SEWER CONSTRUCTI",
"2020","WORKFORCE DEVELOPMENT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","WORKFORCE DEVELOPMENT","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","310000","GENERAL CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DEBT SERVICE","2562323","SALES TAX INCREMENT",
"2020","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","944","STORM WATER CONSTRUCTION",
"2021","FORCE MAIN STABILIZATION","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","FORCE MAIN STABILIZATION","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","100000","SANITARY SEWER CONSTRUCTI",
"2020","SECURITY CAMERAS","CULTURE AND REC - CAP","PARK DIVISION","NONE","SECURITY CAMERAS","CAPITAL-GOV FUNDS","CONTRACTOR SERVICES","7239","SALES TAX CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","50000","SALES TAX INCREMENT",
"2020","TRAFFIC SIGNAL MASTARM RE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL MASTARM RE","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","ST LIGHT/SIGNAL KNOCKDOWN","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ST LIGHT/SIGNAL KNOCKDOWN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","30000","STREET CONSTRUCTION",
"2012","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","9112.27","STORM WATER CONSTRUCTION",
"2020","CARRIAGE HOUSE ROOF REPLC","GEN GOVERNMENT - CAP","BUILDING SAFETY","MAINTENANCE","CARRIAGE HOUSE ROOF REPLC","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","22475","SALES TAX CONSTRUCTION",
"2020","RPR/MAINT WATER LINE ISLA","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","RPR/MAINT WATER LINE ISLA","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","4250","WATER CONSTRUCTION",
"2021","SIDEWALK PROGRAM CITY OWN","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK PROGRAM CITY OWN","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","25000","STREET CONSTRUCTION",
"2020","JULIEN DBQ DR SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","JULIEN DBQ DR SANITARY","SEWER UTILITY","CONST.CONTR-NOT BLDG","175000","SANITARY SEWER CONSTRUCTI",
"2020","WAYFINDING SIGN REPLACE","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","WAYFINDING SIGN REPLACE","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","2500","STREET CONSTRUCTION",
"2020","CITY-WIDE SECURITY CAMERA","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","CITY-WIDE SECURITY CAMERA","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","3139.5","STREET CONSTRUCTION",
"2020","CITY-WIDE SECURITY CAMERA","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","CITY-WIDE SECURITY CAMERA","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","1835.4","ROAD USE TAX",
"2020","PAVEMENT PRESERVATION","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT PRESERVATION","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","854","STREET CONSTRUCTION",
"2014","GIS ENHANCEMENTS","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","OPERATING","GIS ENHANCEMENTS","CAPITAL-GOV FUNDS","PERIPHERALS, COMPUTER","3082","DRA DISTRIBUTION",
"2020","ELECT FUEL TANK GUAGE SYS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","ELECT FUEL TANK GUAGE SYS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","22406.7","AIRPORT CONSTRUCTION",
"2020","DT SECURITY CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","DT SECURITY CAMERAS","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","41699.26","GENERAL CONSTRUCTION",
"2020","FIRE TRUCK REPLACEMENT","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","FIRE TRUCK REPLACEMENT","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","185901","SALES TAX CONSTRUCTION",
"2020","AIRPORT CAR WASH","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT CAR WASH","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","72750","AIRPORT CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","3070","CABLE TV",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO AIRPORT CONSTRUCTION","199464","SALES TAX CONSTRUCTION",
"2020","DICW","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DICW","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","302522.59","GENERAL CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","14103","TRANSIT",
"2020","SIGNALIZATION PROGRAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNALIZATION PROGRAM","CAPITAL-GOV FUNDS","MILEAGE/LOCAL TRANSP","64.97","STREET CONSTRUCTION",
"2020","SINK LIGHT FIXTURES","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","SINK LIGHT FIXTURES","CAPITAL-GOV FUNDS","LIGHTING EQUIPMENT","8231","DRA DISTRIBUTION",
"2020","SEWER EXTENSIONS NEW DEV.","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER EXTENSIONS NEW DEV.","CAPITAL-ENTERPRISE","LAND/ACQ-W/IMPROV","4510","SANITARY SEWER CONSTRUCTI",
"2020","RAILROAD CROSS IMPROV","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","RAILROAD CROSS IMPROV","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","ROAD USE TAX",
"2020","LED RE-LAMP SCHEDULE","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","LED RE-LAMP SCHEDULE","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","28418","STREET CONSTRUCTION",
"2020","REHAB RR TRACK","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","REHAB RR TRACK","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","6590","SALES TAX CONSTRUCTION",
"2020","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","129753.32","SALES TAX INCREMENT",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","4834","REFUSE COLLECTION",
"2020","16TH ST DET BASIN TRAIL","CULTURE AND REC - CAP","ENGINEERING","OTHER","16TH ST DET BASIN TRAIL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","537000","DRA DISTRIBUTION",
"2020","CEDAR/TERM ASSESSMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CEDAR/TERM ASSESSMENTS","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","28000","SANITARY SEWER CONSTRUCTI",
"2020","FIVE FLAGS ELEVATOR","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","FIVE FLAGS ELEVATOR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","12000","DRA DISTRIBUTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","PERIPHERALS, COMPUTER","4500","STREET CONSTRUCTION",
"2020","SAN SEWER INTERNAL MAIN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER INTERNAL MAIN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","15000","SANITARY SEWER CONSTRUCTI",
"2020","GOLF TEE IMPROVEMENTS","CULTURE AND REC - CAP","RECREATION DIVISION","GOLF","GOLF TEE IMPROVEMENTS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","10000","GOLF CONSTRUCTION",
"2020","WHEEL CHAIR RAMPS","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","WHEEL CHAIR RAMPS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","10600","COMMUNITY DEVELOPMENT",
"2020","US 52/CENTRAL TRAFFIC IMP","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","US 52/CENTRAL TRAFFIC IMP","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","24908.71","ROAD USE TAX",
"2020","SEWER EXTENSIONS NEW DEV.","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER EXTENSIONS NEW DEV.","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","2600","SANITARY SEWER CONSTRUCTI",
"2020","WEST LOCUST COMM/CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","WEST LOCUST COMM/CAMERAS","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","2600","STREET CONSTRUCTION",
"2020","HANGER REPAIRS/REPLACE","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","HANGER REPAIRS/REPLACE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","2.38","AIRPORT CONSTRUCTION",
"2022","DT ADA NON-PROFIT ASSIST","PUBLIC SAFETY-CAPITAL","HOUSING & COMMUNITY DEV","NONE","DT ADA NON-PROFIT ASSIST","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","200000","GENERAL CONSTRUCTION",
"2020","GREEN HOUSE GAS INVENTORY","GEN GOVERNMENT - CAP","CITY MANAGER'S OFFICE","NONE","GREEN HOUSE GAS INVENTORY","CAPITAL-GOV FUNDS","CONTRACTOR SERVICES","100000","DRA GAMING",
"2020","FLORA PLAYGROUND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","FLORA PLAYGROUND REPLC","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","7325","SALES TAX CONSTRUCTION",
"2020","LEVEL 4 AGREEMENT","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","LEVEL 4 AGREEMENT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","-0.45","SANITARY SEWER CONSTRUCTI",
"2016","11TH ST STAIRS RECON","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","11TH ST STAIRS RECON","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","21219","GENERAL CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DEBT SERVICE","289148","STREET CONSTRUCTION",
"2020","GOLF COURSE IRRIGATION","CULTURE AND REC - CAP","RECREATION DIVISION","GOLF","GOLF COURSE IRRIGATION","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","20000","DRA DISTRIBUTION",
"2020","COMISKEY PK AMENITY REPL","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PK AMENITY REPL","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","118000","DRA DISTRIBUTION",
"2020","RPR/MAINT WATER LINE ISLA","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","RPR/MAINT WATER LINE ISLA","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","2676.5","WATER CONSTRUCTION",
"2020","NEW TERM ENTRANCE SIGN","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","NEW TERM ENTRANCE SIGN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","0.74","AIRPORT CONSTRUCTION",
"2020","RIVERFRONT LEASEHOLD IMPR","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","RIVERFRONT LEASEHOLD IMPR","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","7413","SALES TAX CONSTRUCTION",
"2020","METHANE GAS SYSTEM WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","METHANE GAS SYSTEM WRRC","CAPITAL-ENTERPRISE","ELECTRICAL EQUIPMENT","-0.45","SANITARY SEWER CONSTRUCTI",
"2020","UNDISTRIBUTED","PUBLIC WORKS-CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL","30000","SPECIAL ASSESSMENT",
"2020","MFC ADDITION REMODEL","CULTURE AND REC - CAP","MULTICULTURAL FAMILY CTR","NONE","MFC ADDITION REMODEL","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","1549674","GENERAL CONSTRUCTION",
"2020","WRR PLANT RENOVATION","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","NONE","WRR PLANT RENOVATION","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","0.4","SANITARY SEWER CONSTRUCTI",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","UTILITY EXP-ELECTRICITY","1712.58","HUD DISASTER RELIEF",
"2021","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","MILEAGE/LOCAL TRANSP","71.3","STREET CONSTRUCTION",
"2020","GRANDVIEW AVE.LIGHT POLES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRANDVIEW AVE.LIGHT POLES","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","50843","STREET CONSTRUCTION",
"2021","I&I REDUCTION PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","I&I REDUCTION PROGRAM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","1936.21","SANITARY SEWER CONSTRUCTI",
"2019","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","2500","GENERAL CONSTRUCTION",
"2020","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","1344","STREET CONSTRUCTION",
"2020","RUNWAY SENSOR UPDATE","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","RUNWAY SENSOR UPDATE","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","1329000","AIRPORT CONSTRUCTION",
"2020","SW ART/MENARD UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","SW ART/MENARD UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","563180","STORM WATER CONSTRUCTION",
"2020","CCTV INSPECT/CLEAN/ASSESS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CCTV INSPECT/CLEAN/ASSESS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","70000","SANITARY SEWER CONSTRUCTI",
"2020","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","9666.41","SALES TAX INCREMENT",
"2020","AERIAL BUCKET TRUCK","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","AERIAL BUCKET TRUCK","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","125876","STREET CONSTRUCTION",
"2020","SCADA SYSTEM UPGRADE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SCADA SYSTEM UPGRADE","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","-411254","WATER CONSTRUCTION",
"2020","EPP BRIDGE COMPLEX","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP BRIDGE COMPLEX","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","100000","DRA DISTRIBUTION",
"2020","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","45908","STREET CONSTRUCTION",
"2020","DT NON-PROFIT WEATHERIZAT","GEN GOVERNMENT - CAP","CITY MANAGER'S OFFICE","NONE","DT NON-PROFIT WEATHERIZAT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","100000","GENERAL CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PRINTER","350","DMASWA-GENERAL",
"2021","BUS STOP IMPROVEMENTS","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STOP IMPROVEMENTS","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","17140","TRANSIT",
"2020","DT SIGN POST REPLAC PROJ","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","DT SIGN POST REPLAC PROJ","CAPITAL-GOV FUNDS","SIGNAGE","46195.29","STREET CONSTRUCTION",
"2020","GRAND RIVER CTR PAINT ENT","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRAND RIVER CTR PAINT ENT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","2210","SALES TAX CONSTRUCTION",
"2020","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","944","REFUSE COLLECTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TRANSFER TO STORMWATER","299600","DRA DISTRIBUTION",
"2020","FIBR REEL TRAILER/TOOLS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBR REEL TRAILER/TOOLS","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","15000","STREET CONSTRUCTION",
"2020","SIGNALIZATION PROGRAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNALIZATION PROGRAM","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","15000","STREET CONSTRUCTION",
"2020","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","FIELD OPERATIONS SUPPLIES","20","SALES TAX INCREMENT",
"2021","UNDISTRIBUTED","PUBLIC WORKS-CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL CONSTRUCTION","330000","SPECIAL ASSESSMENT",
"2020","WATER MAIN REPLACEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER MAIN REPLACEMENTS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","20900","WATER CONSTRUCTION",
"2021","PAVE PRES JOINT SEALING","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVE PRES JOINT SEALING","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2021","GRAND RIVER CTR CHAIRS","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRAND RIVER CTR CHAIRS","CAPITAL-GOV FUNDS","SIDE CHAIRS","0.12","SALES TAX CONSTRUCTION",
"2021","CELL 9 PHASE 4","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","CELL 9 PHASE 4","NOT REPORTED","CONSULTING ENGINEERS","130632.81","DMASWA-GENERAL",
"2020","LIBRARY HVAC MAINT","CULTURE AND REC - CAP","LIBRARY","NONE","LIBRARY HVAC MAINT","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","37408","SALES TAX CONSTRUCTION",
"2020","WOOD ST SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","WOOD ST SANITARY","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","15000","SANITARY SEWER CONSTRUCTI",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","SERVERS","138774","DRA DISTRIBUTION",
"2020","ASBURY RD SIGNALIZATION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ASBURY RD SIGNALIZATION","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","50000","STREET CONSTRUCTION",
"2020","FIBER OPTIC CONDUIT-MISC","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER OPTIC CONDUIT-MISC","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","52146.95","STREET CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","43822.65","DRA DISTRIBUTION",
"2020","HEALTHY HOMES GRANT","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HEALTHY HOMES GRANT","CAPITAL-GOV FUNDS","MACH/EQUIP MAINTENANCE","249.96","LEAD PAINT GRANT",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","2400","STREET CONSTRUCTION",
"2021","SIGNAL INTERSEC RECONSTRU","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNAL INTERSEC RECONSTRU","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","615","STREET CONSTRUCTION",
"2020","GRNDVW/UNVRSTY ROUNDABOUT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRNDVW/UNVSTY ROUNDABOUT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","2051.83","STREET CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TRANSFER TO STORMWATER","118906","SALES TAX CONSTRUCTION",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO TRANSIT","372420","BOND ISSUES",
"2020","DRAIN TILE PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","DRAIN TILE PROGRAM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","2000","STORM WATER CONSTRUCTION",
"2021","AVON PARK IMPROVEMENTS","CULTURE AND REC - CAP","PARK DIVISION","NONE","AVON PARK IMPROVEMENTS","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","94069","COMMUNITY DEVELOPMENT",
"2020","SW ARTERIAL MAIN EXT","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SW ARTERIAL MAIN EXT","CAPITAL-ENTERPRISE","RIGHT-OF-WAY ACQUISITION","35000","WATER CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","2950","SANITARY SEWER CONSTRUCTI",
"2020","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","UTILITY EXP-ELECTRICITY","574.82","STATE RENTAL REHAB",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","114124","SALES TAX CONSTRUCTION",
"2021","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","2848156.32","SALES TAX INCREMENT",
"2021","AIRPORT CAP OLD WELLS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT CAP OLD WELLS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","15000","AIRPORT CONSTRUCTION",
"2020","DECORATIVE CONCRETE MAINT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","DECORATIVE CONCRETE MAINT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","64245.08","SALES TAX CONSTRUCTION",
"2020","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","LOANS","30000","STATE RENTAL REHAB",
"2020","LANDFILL ACCESS ROAD","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","LANDFILL ACCESS ROAD","CAPITAL-ENTERPRISE","PAY TO OTHER AGENCY","222000","STORM WATER CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","STORM WATER","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","19634","STORM WATER CONSTRUCTION",
"2020","ASSET MANAGEMENT","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","ASSET MANAGEMENT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","150000","SANITARY SEWER CONSTRUCTI",
