"fiscal_year","fiscal_period","service","department","program","expense_category","fund","vendor_name","vendor_id","vendor_zip","payment_number","payment_issue_date","invoice_number","invoice_line_number","invoice_date","amount","description","purchase_order_number"
"2013","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1160","2228","50266-8290","389839","2012-09-14T00:00:00.000",,"0",,"74.54",,"0"
"2013","4","LEAD PAINT PROGRAM","HEALTH SERVICES","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","UNIVERSITY OF IOWA","3785","52240","391071","2012-10-10T00:00:00.000",,"0",,"100",,"0"
"2013","4","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","GENERAL","GAS STATIONS/TOWING","1031",,"391071","2012-10-10T00:00:00.000",,"0",,"19.53",,"0"
"2019","2","1157 CENTRAL AVE MAINT.","BUILDING SAFETY","GEN GOVERNMENT - OPER","UTILITY EXP-GAS","GENERAL","BLACK HILLS/IOWA GAS UTILITY CO","1154","57709-6001","468922","2018-08-15T00:00:00.000",,"1","2018-07-16T00:00:00.000","33.97",,"19001048"
"2022","8","MAINTENANCE SERVICES","LIBRARY","CULTURE AND REC - OPER","UTILITY EXP-ELECTRICITY","GENERAL","ALLIANT ENERGY","1085","52406-3060","501285","2022-02-09T00:00:00.000",,"1","2022-01-21T00:00:00.000","5223.16",,"22000120"
"2019","5","ADULT SERVICES","LIBRARY","CULTURE AND REC - OPER","LIBRARY VIDEO MATERIALS","GENERAL","MIDWEST TAPE LLC","6301","43528-0820","V471874","2018-11-14T00:00:00.000",,"1","2018-10-20T00:00:00.000","34.44",,"19004520"
"2014","10","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140405","2014-04-01T00:00:00.000",,"0","2014-04-01T00:00:00.000","78236.65",,"0"
"2019","2","CITY CLERK","CITY CLERK'S OFFICE","GEN GOVERNMENT - OPER","RADIO/PAGER FEE","GENERAL","RACOM CORPORATION","3201","50158-5841","V468963","2018-08-15T00:00:00.000",,"1","2018-07-19T00:00:00.000","25.72",,"19001211"
"2015","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","420841","2014-10-31T00:00:00.000",,"0",,"7.98",,"0"
"2015","3","CDBG ADMIN/MONITORING","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","COMMUNITY DEVELOPMENT","AMERICAN AIRLINES GROUP INC","5289","76155","419799","2014-09-30T00:00:00.000",,"0",,"23.93",,"0"
"2016","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","GAS STATIONS/TOWING","1031",,"433069","2015-09-30T00:00:00.000",,"0",,"18.92",,"0"
"2015","10","MAINT OF VACANT/ABANDONED","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","PROPERTY MAINTENANCE","GENERAL","CENTRAL TRUE VALUE","9041","52001-3566","427256","2015-04-29T00:00:00.000",,"0",,"5.97",,"0"
"2014","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","416421","2014-06-30T00:00:00.000",,"0",,"-3.85",,"0"
"2014","12","ADMINISTRATION","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","GENERAL","AHA! PROCESS INC","7719","77562-4215","416421","2014-06-30T00:00:00.000",,"0",,"12.5",,"0"
"2014","5","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","ELECTRICAL SUPPLIES","WATER UTILITY OPERATION","MILLER ELECTRIC SUPPLY INC","2801","52404-3913","407288","2013-11-07T00:00:00.000",,"0",,"11.34",,"0"
"2014","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","406102","2013-10-14T00:00:00.000",,"0",,"79",,"0"
"2015","2","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","MOTOR VEHICLE MAINT.","COMMUNITY DEVELOPMENT","MIRACLE CAR WASH CORP","2824","52001-6932","418560","2014-08-29T00:00:00.000",,"0",,"11.92",,"0"
"2019","2","UNDISTRIBUTED","WATER","BUSINESS TYPE - OPERATING","REFUNDS","WATER UTILITY OPERATION","CANFIELD, TINA L & CHRIS R","15120","52001-9457","468941","2018-08-15T00:00:00.000",,"0","2018-08-08T00:00:00.000","5.3",,"0"
"2019","2","LEGISLATION & POLICY","CITY COUNCIL","GEN GOVERNMENT - OPER","TRAVEL-CONFERENCES","GENERAL","MISCELLANEOUS","90000001",,"468977","2018-08-15T00:00:00.000",,"0","2016-05-16T00:00:00.000","40",,"0"
"2019","2","INTERMODAL FACILITY","PARKING DIVISION","BUSINESS TYPE - OPERATING","REFUNDS","PARKING OPERATION","ULRICH, ANNMARIE","13127","52001-7038","468925","2018-08-15T00:00:00.000",,"0","2016-03-23T00:00:00.000","21.5",,"0"
"2019","2","LEAD PAINT ABATEMENT 2011","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","RELOCATIONS","LEAD PAINT GRANT","HOUSING","90000004",,"468978","2018-08-15T00:00:00.000",,"1","2018-08-06T00:00:00.000","400",,"19000516"
"2013","8","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","MISCELLANEOUS","90000001",,"395659","2013-02-08T00:00:00.000",,"0",,"23.34",,"0"
"2013","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","389839","2012-09-14T00:00:00.000",,"0",,"59.97",,"0"
"2013","11","GETTING AHEAD GETTING BY","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","GENERAL","JENNIFER M KENNEDY","10106","52001","V399131","2013-05-08T00:00:00.000",,"0","2013-04-30T00:00:00.000","20",,"0"
"2014","9","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","411819","2014-03-07T00:00:00.000",,"0",,"17.66",,"0"
"2014","2","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CITY BUSINESS","GENERAL","UNIVERSITY OF WISCONSIN PLATTEVILLE","1961","53818-3099","403357","2013-08-08T00:00:00.000",,"0",,"125",,"0"
"2015","7","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","HYVEE #1160","2228","50266-8290","423113","2015-01-06T00:00:00.000",,"0",,"7",,"0"
"2013","4","HEALTH SERVICES ADMINISTR","HEALTH SERVICES","HEALTH & SOC SERV - OPER","SUBSCRIPTIONS-BOOKS-MAPS","GENERAL","NACCHO","2897","21279-0197","391071","2012-10-10T00:00:00.000",,"0",,"28.75",,"0"
"2014","7","HUMAN RESOURCES","PERSONNEL","GEN GOVERNMENT - OPER","EDUCATION & TRAINING","GENERAL","SOCIETY FOR HUMAN RESOURCES MGMT","9056","21279-1139","409644","2014-01-08T00:00:00.000",,"0",,"-225",,"0"
"2015","9","CDBG ADMIN/MONITORING","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","COMMUNITY DEVELOPMENT","THE JAMES CHICAGO","12119","60611-2727","424988","2015-03-02T00:00:00.000",,"0",,"307.3",,"0"
"2015","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","MARRIOTT INTERNATIONAL","9693","30384-2642","428371","2015-05-29T00:00:00.000",,"0",,"362.76",,"0"
"2014","11","ADMINISTRATION","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","SHERATON DENVER","11395","80202-5107","415052","2014-05-30T00:00:00.000",,"0",,"619.35",,"0"
"2014","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SUBSCRIPTIONS-BOOKS-MAPS","GENERAL","PAYPAL P-CARD PAYMENTS","1909",,"408378","2013-12-11T00:00:00.000",,"0",,"35",,"0"
"2015","11","RESIDENTIAL REHAB PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","CONST CONTRACT-BLDG","STATE RENTAL REHAB","CENTRAL TRUE VALUE","9041","52001-3566","428371","2015-05-29T00:00:00.000",,"0",,"40.1",,"0"
"2014","11","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","POSTAGE AND SHIPPING","WATER UTILITY OPERATION","UPS SUPPLY CHAIN SOLUTIONS INC","6287","60673-1280","415052","2014-05-30T00:00:00.000",,"0",,"9.32",,"0"
"2014","8","LEAD PAINT ABATEMENT 2011","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","LEAD PAINT GRANT","STAPLES ADVANTAGE","3543","60696-3689","410968","2014-02-14T00:00:00.000",,"0",,"22.26",,"0"
"2013","5","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","392203","2012-11-09T00:00:00.000",,"0",,"297",,"0"
"2014","7","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MACH/EQUIP MAINTENANCE","WATER UTILITY OPERATION","NAPA AUTO PARTS & SUPPLY","2902","61125-0666","409644","2014-01-08T00:00:00.000",,"0",,"17.5",,"0"
"2013","10","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","BROWN PAPER TICKETS LLC","10185","98109","397857","2013-04-05T00:00:00.000",,"0",,"104.49",,"0"
"2019","2","ST. PARKING METERS","PARKING DIVISION","BUSINESS TYPE - OPERATING","CREDIT CARD CHARGE","PARKING OPERATION","TRANSFIRST","5857","80021","ET190842","2018-08-10T00:00:00.000",,"1","2018-07-31T00:00:00.000","2100.87",,"19000357"
"2016","2","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","PAYPAL P-CARD PAYMENTS","1909",,"431866","2015-08-31T00:00:00.000",,"0",,"100",,"0"
"2016","3","HUMAN RIGHTS GRANT FUNDS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","433069","2015-09-30T00:00:00.000",,"0",,"27.18",,"0"
"2015","10","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","LEGAL NOTICES & ADS","GENERAL","AMERICAN PLANNING ASSOCIATION","1119","60603-6107","427256","2015-04-29T00:00:00.000",,"0",,"200",,"0"
"2016","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1160","2228","50266-8290","434100","2015-10-30T00:00:00.000",,"0",,"-22.75",,"0"
"2013","12","METERS","WATER","BUSINESS TYPE - OPERATING","METER MAINTENANCE","WATER UTILITY OPERATION","STEVES ACE HARDWARE","3575","52002-1053","400813","2013-06-13T00:00:00.000",,"0",,"90.46",,"0"
"2014","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","415052","2014-05-30T00:00:00.000",,"0",,"3.77",,"0"
"2019","2","UNDISTRIBUTED","WATER","BUSINESS TYPE - OPERATING","REFUNDS","WATER UTILITY OPERATION","DONATH, FRED A","15118","52003-9424","468939","2018-08-15T00:00:00.000",,"0","2018-08-08T00:00:00.000","12.1",,"0"
"2020","5","UNDISTRIBUTED","PARKING DIVISION","BUSINESS TYPE - OPERATING","JANITORIAL SUPPLIES","PARKING OPERATION","CAPITAL SANITARY","13162","50321-4703","V482061","2019-11-06T00:00:00.000",,"1","2019-10-02T00:00:00.000","33.99",,"20004112"
"2015","10","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","427256","2015-04-29T00:00:00.000",,"0",,"25",,"0"
"2014","6","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","PLUMBING MATERIALS","WATER UTILITY OPERATION","FASTENAL COMPANY","1835","55987","408378","2013-12-11T00:00:00.000",,"0",,"35.35",,"0"
"2022","8","MULTICULTURAL CTR MAINT","ENGINEERING","GEN GOVERNMENT - OPER","UTILITY EXP-GAS","GENERAL","BLACK HILLS/IOWA GAS UTILITY CO","1154","57709-6001","V501300","2022-02-09T00:00:00.000",,"1","2022-01-13T00:00:00.000","525.9",,"22001264"
"2013","11","ADMINISTRATION","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","DELTA AIR LINES INC","2457","30320-6001","399254","2013-05-10T00:00:00.000",,"0",,"31",,"0"
"2013","5","METERS","WATER","BUSINESS TYPE - OPERATING","METER MAINTENANCE","WATER UTILITY OPERATION","KUNNERTS SPORTING GOODS","2536","52001-6933","392203","2012-11-09T00:00:00.000",,"0",,"75",,"0"
"2015","7","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","CITY OF DUBUQUE","4332","52001-4648","423113","2015-01-06T00:00:00.000",,"0",,"45",,"0"
"2014","11","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140555","2014-05-27T00:00:00.000",,"0","2014-05-27T00:00:00.000","263.85",,"0"
"2016","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1160","2228","50266-8290","434100","2015-10-30T00:00:00.000",,"0",,"38.09",,"0"
"2019","2","LEGAL SERVICES","LEGAL SERVICES","GEN GOVERNMENT - OPER","CUSTODIAL SERVICES","GENERAL","KIM A HERRIG","2153","52001","468953","2018-08-15T00:00:00.000",,"1","2018-08-08T00:00:00.000","78.5",,"19000046"
"2015","1","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","UNITED AIRLINES","2583","60018","417389","2014-07-31T00:00:00.000",,"0",,"50",,"0"
"2015","4","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","AMERICAN PLANNING ASSOCIATION","1119","60603-6107","420841","2014-10-31T00:00:00.000",,"0",,"195",,"0"
"2014","1","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140752","2013-07-31T00:00:00.000",,"0","2013-07-31T00:00:00.000","159734.54",,"0"
"2015","7","SECTION 8 VOUCHER","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","SECTION 8 HOUSING","STAPLES ADVANTAGE","3543","60696-3689","423113","2015-01-06T00:00:00.000",,"0",,"135.69",,"0"
"2013","4","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","391071","2012-10-10T00:00:00.000",,"0",,"36.7",,"0"
"2013","5","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131130","2012-11-20T00:00:00.000",,"0","2012-11-20T00:00:00.000","139978.28",,"0"
"2013","2","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130842","2012-08-21T00:00:00.000",,"0","2012-08-21T00:00:00.000","97673.62",,"0"
"2013","6","HEALTH SERVICES ADMINISTR","HEALTH SERVICES","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYATT CORPORATION","8339","60616-9985","393340","2012-12-07T00:00:00.000",,"0",,"1012.32",,"0"
"2013","3","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130918","2012-09-11T00:00:00.000",,"0","2012-09-11T00:00:00.000","158060.2",,"0"
"2014","5","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","MICHAELS ARTS & CRAFTS","5779","52002-0492","407288","2013-11-07T00:00:00.000",,"0",,"19.94",,"0"
"2013","11","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","399254","2013-05-10T00:00:00.000",,"0",,"14.3",,"0"
"2013","8","LEAD PAINT ABATEMENT 2011","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","LEAD PAINT GRANT","AMERICAN AIRLINES GROUP INC","5289","76155","395659","2013-02-08T00:00:00.000",,"0",,"343.1",,"0"
"2014","5","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET141137","2013-11-26T00:00:00.000",,"0","2013-11-26T00:00:00.000","250",,"0"
"2013","11","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","STOP LOSS RCV. SEPCIFIC","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130531","2013-05-14T00:00:00.000",,"0","2013-05-14T00:00:00.000","-2351.65",,"0"
"2013","8","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","LOWES COMPANIES INC","2644","30353-0954","395659","2013-02-08T00:00:00.000",,"0",,"10.88",,"0"
"2014","2","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","UNIVERSITY OF WISCONSIN PLATTEVILLE","1961","53818-3099","403357","2013-08-08T00:00:00.000",,"0",,"125",,"0"
"2019","3","CITY HALL MAINT.","BUILDING SAFETY","GEN GOVERNMENT - OPER","PROPERTY MAINTENANCE","GENERAL","DIVISION OF LABOR","1638","50309","469678","2018-09-05T00:00:00.000",,"1","2018-08-14T00:00:00.000","160",,"19002103"
"2015","9","FEDERAL BUILDING MAINT.","HOUSING & COMMUNITY DEV","GEN GOVERNMENT - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","424988","2015-03-02T00:00:00.000",,"0",,"21.98",,"0"
"2014","10","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1160","2228","50266-8290","413932","2014-04-30T00:00:00.000",,"0",,"10",,"0"
"2014","9","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","LEGAL NOTICES & ADS","GENERAL","FEDEX","1838","60094-4515","411819","2014-03-07T00:00:00.000",,"0",,"34.93",,"0"
"2013","7","WATER METER EXCHANGE","WATER","BUSINESS TYPE - CAPITAL","EQUIP ACQUISITION","WATER CONSTRUCTION","FIRST SUPPLY LLC","1861","54602-1028","394603","2013-01-11T00:00:00.000",,"0",,"2560",,"0"
"2016","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","OFFICE SUPPLIES","GENERAL","O'TOOLE OFFICE SUPPLY COMPANY","3033","52001-4724","434100","2015-10-30T00:00:00.000",,"0",,"12.96",,"0"
"2014","2","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140829","2013-08-13T00:00:00.000",,"0","2013-08-13T00:00:00.000","127468.02",,"0"
"2022","8","ICE ARENA","RECREATION DIVISION","CULTURE AND REC - OPER","LIQUOR PRODUCTS","GENERAL","CHAD REMAKEL","17214","52045","V501246","2022-02-02T00:00:00.000",,"1","2022-01-15T00:00:00.000","68.78",,"22006281"
"2015","3","HUMAN RIGHTS GRANT FUNDS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","419799","2014-09-30T00:00:00.000",,"0",,"103.06",,"0"
"2014","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","404566","2013-09-06T00:00:00.000",,"0",,"-2.8",,"0"
"2015","10","MANAGEMENT","CITY MANAGER'S OFFICE","GEN GOVERNMENT - OPER","REFUNDS","GENERAL","COMMUNITY FOUNDATION OF GREATER DBQ","1485","52001-6835","427256","2015-04-29T00:00:00.000",,"0",,"-10",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","400813","2013-06-13T00:00:00.000",,"0",,"-6.37",,"0"
"2014","10","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","413932","2014-04-30T00:00:00.000",,"0",,"-0.97",,"0"
"2014","10","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","413932","2014-04-30T00:00:00.000",,"0",,"25",,"0"
"2014","6","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","PLUMBING MATERIALS","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","408378","2013-12-11T00:00:00.000",,"0",,"8.37",,"0"
"2013","12","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","401865","2013-06-28T00:00:00.000",,"0",,"32.74",,"0"
"2015","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","CRUST ITALIAN KITCHEN & BAR","4595","52001","419799","2014-09-30T00:00:00.000",,"0",,"56.4",,"0"
"2015","9","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","424988","2015-03-02T00:00:00.000",,"0",,"6.87",,"0"
"2013","4","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131046","2012-10-30T00:00:00.000",,"0","2012-10-30T00:00:00.000","76957.13",,"0"
"2013","5","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131135","2012-11-27T00:00:00.000",,"0","2012-11-27T00:00:00.000","63020.39",,"0"
"2014","9","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","TAXI SERVICE-SHUTTLE SERVICES","1026",,"411819","2014-03-07T00:00:00.000",,"0",,"23.12",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","400813","2013-06-13T00:00:00.000",,"0",,"20.33",,"0"
"2015","6","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","422145","2014-12-04T00:00:00.000",,"0",,"179.97",,"0"
"2015","4","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","TAXI SERVICE-SHUTTLE SERVICES","1026",,"420841","2014-10-31T00:00:00.000",,"0",,"31.2",,"0"
"2014","2","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140829","2013-08-13T00:00:00.000",,"0","2013-08-13T00:00:00.000","230.87",,"0"
"2013","2","ANIMAL CONTROL","HEALTH SERVICES","PUBLIC SAFETY-OPERATING","ANIMAL CONTROL SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","388392","2012-08-09T00:00:00.000",,"0",,"52.39",,"0"
"2014","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","415052","2014-05-30T00:00:00.000",,"0",,"29.11",,"0"
"2014","6","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","COUNTRY INN AND SUITES AMES","10834","55811","408378","2013-12-11T00:00:00.000",,"0",,"-86.24",,"0"
"2013","12","VOLUNTEER GENERATION","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","400813","2013-06-13T00:00:00.000",,"0",,"5.49",,"0"
"2016","3","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","APPLE INC","7184","75284-6095","433069","2015-09-30T00:00:00.000",,"0",,"83.89",,"0"
"2014","9","VOLUNTEER GENERATION","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","BAUDVILLE INC","5003","49512-9765","411819","2014-03-07T00:00:00.000",,"0",,"1826.06",,"0"
