"loan_number","country","borrower","currency_of_commitment","project_name","original_principal_amount","disbursed_amount","repaid_to_ibrd","closed_date_most_recent_"
"IBRD3436A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"POWER UTIL EFFIC IMP","19625275.13","12821679.82","12821679.82","1998-06-30T00:00:00.000"
"IBRD34700","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NAT. HIGHWAYS II","0.00","0.00","0.00","2002-12-31T00:00:00.000"
"IBRD3470A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NAT. HIGHWAYS II","153000000.00","130775872.16","130775872.16","2002-12-31T00:00:00.000"
"IBRD34980","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MAHARASHTRA POWER II","350000000.00","112253262.58","112253262.58","1998-06-30T00:00:00.000"
"IBRD35440","India","TAMIL NADU NEWSPRINT AND PAPERS LIMITED",,"RENEWABLE RESOURCES","75000000.00","75000000.00","75000000.00","1995-12-31T00:00:00.000"
"IBRD35770","India","POWER GRID CORPORATION OF INDIA LIMITED",,"POWERGRID SYSTEM DEVELOPMENT PROJECT","350000000.00","227443272.52","227443272.52","2000-12-31T00:00:00.000"
"IBRD36270","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"EXTERNAL SECTOR ADJU","300000000.00","300000000.00","300000000.00","1993-12-31T00:00:00.000"
"IBRD36300","India","POWER FINANCE CORPORATION LIMITED",,"PRIVATE POWER DEVT T","20000000.00","1207711.11","1207711.11","1996-12-31T00:00:00.000"
"IBRD36320","India","NATIONAL THERMAL POWER CORPORATION LTD",,"NTPC POWER GENERATION","296715786.26","296715786.26","296715786.26","1999-03-31T00:00:00.000"
"IBRD3632A","India","NATIONAL THERMAL POWER CORPORATION LTD",,"NTPC POWER GENERATION","51642106.87","51642106.87","51642106.87","1999-03-31T00:00:00.000"
"IBRD3632B","India","NATIONAL THERMAL POWER CORPORATION LTD",,"NTPC POWER GENERATION","51642106.87","55275825.65","58465380.82","1999-03-31T00:00:00.000"
"IBRD37530","India","CONCOR",,"CONTAINER TRANSPORT","11578992.21","11578992.21","11578992.21","2001-12-31T00:00:00.000"
"IBRD3753A","India","CONCOR",,"CONTAINER TRANSPORT","82421007.79","33493272.98","33493272.98","2001-12-31T00:00:00.000"
"IBRD37790","India","IDBI BANK LTD",,"INDUS POLLUTION PREVENTION","93000000.00","26326949.92","26326949.92","2001-03-31T00:00:00.000"
"IBRD37800","India","ICICI BANK LIMITED",,"INDUS POLLUTION PREVENTION","0.00","0.00","0.00","2001-03-31T00:00:00.000"
"IBRD37806","India","ICICI BANK LIMITED",,"INDUS POLLUTION PREVENTION","50000000.00","39467201.73","39467201.73","2002-11-30T00:00:00.000"
"IBRD38560","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","150000000.00","150000000.00","150000000.00","2000-10-31T00:00:00.000"
"IBRD3856A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","200000000.00","150000000.00","150000000.00","2000-10-31T00:00:00.000"
"IBRD38570","India","IDBI BANK LTD",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","0.00","0.00","0.00","2000-10-31T00:00:00.000"
"IBRD38576","India","IDBI BANK LTD",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","144000000.00","77700000.00","77700000.00","2001-10-31T00:00:00.000"
"IBRD3857S","India","IDBI BANK LTD",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","6000000.00","6000000.00","6000000.00","2000-10-31T00:00:00.000"
"IBRD38580","India","IDBI BANK LTD",,"FINANCIAL SECTOR DEV PROJ. (FSDP)","200000000.00","0.00","0.00","2002-10-31T00:00:00.000"
"IBRD39070","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MADRAS WAT SUP II","6000000.00","6000000.00","6000000.00","2002-06-30T00:00:00.000"
"IBRD39076","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MADRAS WAT SUP II","269800000.00","75632818.00","75632818.00","2004-03-31T00:00:00.000"
"IBRD39230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOMBAY SEW DISPOSAL","32216756.94","32216756.94","32216756.94","2003-12-31T00:00:00.000"
"IBRD3923A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOMBAY SEW DISPOSAL","134783243.06","100538119.02","100538119.02","2003-12-31T00:00:00.000"
"IBRD39920","India","INFRASTRUCTURE LEASING & FINANCIAL SERV.",,"ILFS-Private Infrastructure Finance","200000000.00","31134303.11","31134303.11","2001-09-30T00:00:00.000"
"IBRD40140","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ORISSA POWER SECTOR","350000000.00","17329628.57","17329628.57","2004-06-30T00:00:00.000"
"IBRD4014A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ORISSA POWER SECTOR","332670371.43","208078209.95","208078209.95","2004-06-30T00:00:00.000"
"IBRD40560","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Uttar Pradesh & Uttaranchal Rural Water","59600000.00","5092404.12","5092404.12","2003-05-31T00:00:00.000"
"IBRD4056A","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Uttar Pradesh & Uttaranchal Rural Water","54507595.88","33412313.31","33412313.31","2003-05-31T00:00:00.000"
"IBRD41140","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TA ST'S RD INFRA DEV","51500000.00","43394538.95","43394538.95","2001-12-31T00:00:00.000"
"IBRD41560","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"A.P. EMERG. CYCLONE","50000000.00","25890741.89","25890741.89","2003-07-31T00:00:00.000"
"IBRD41660","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Third Andhra Pradesh Irrigation Project","175000000.00","106215326.34","106215326.34","2004-07-31T00:00:00.000"
"IBRD41920","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ANDHRA PRADESH STATE HIGHWAY PROJECT","350000000.00","332540846.64","332540846.64","2004-06-30T00:00:00.000"
"IBRD42260","India","COAL INDIA LTD.",,"COAL SECTOR REHAB","530000000.00","245729481.63","245729481.63","2003-06-30T00:00:00.000"
"IBRD42710","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HARYANA POWER APL-I","60000000.00","52346072.08","52346072.08","2000-12-31T00:00:00.000"
"IBRD42960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Natl Agr Technology","96800000.00","78043740.65","78043740.65","2005-06-30T00:00:00.000"
"IBRD43600","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AP Econ Restructuring","301300000.00","287039638.08","287039638.08","2006-03-31T00:00:00.000"
"IBRD43650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Div Agri Support","79900000.00","79020890.05","79020890.05","2004-03-31T00:00:00.000"
"IBRD44410","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AP POWER APL I","210000000.00","169843941.33","169843941.33","2003-08-31T00:00:00.000"
"IBRD44780","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TN URBAN DEV II","105000000.00","82440154.79","82440154.79","2004-11-30T00:00:00.000"
"IBRD44920","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Wtrshd Mgmt Hills II","85000000.00","85000000.00","85000000.00","2005-09-30T00:00:00.000"
"IBRD45450","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UP POWER SECTOR RESTRUCTURING PROJECT","150000000.00","140303235.84","140303235.84","2004-12-31T00:00:00.000"
"IBRD45460","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UP FISCAL REFORM & PUBLIC SECTOR RESTRCT","126270000.00","126270000.00","126270000.00","2000-10-30T00:00:00.000"
"IBRD45550","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Telecoms Sector Reform TA","62000000.00","28616505.04","28616505.04","2006-03-31T00:00:00.000"
"IBRD45590","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Natl Highways III","516000000.00","403934931.28","403934931.28","2007-12-31T00:00:00.000"
"IBRD45710","India","INDIAN RENEWABLE ENERGY DEVLOPMNT AGENCY",,"REN EGY II","80000000.00","54000000.00","54000000.00","2008-03-31T00:00:00.000"
"IBRD45770","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Gujarat Highways","381000000.00","280000000.00","280000000.00","2007-12-31T00:00:00.000"
"IBRD45940","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Rajasthan Power I","180000000.00","166187502.96","166187502.96","2006-06-30T00:00:00.000"
"IBRD46030","India","POWER GRID CORPORATION OF INDIA LIMITED",,"POWERGRID II","450000000.00","441153749.35","441153749.35","2006-06-30T00:00:00.000"
"IBRD46060","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Karnataka Highways","360000000.00","360000000.00","360000000.00","2007-10-31T00:00:00.000"
"IBRD46200","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KARN SAL I","75000000.00","75000000.00","75000000.00","2001-12-31T00:00:00.000"
"IBRD46220","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Grand Trunk Road Improvement Project","589000000.00","487122250.63","487122250.63","2008-06-30T00:00:00.000"
"IBRD46510","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Andhra Pradesh Economic Reform Ln/Cr","125000000.00","125000000.00","125000000.00","2002-09-30T00:00:00.000"
"IBRD46520","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KARN SAL II","50000000.00","50000000.00","50000000.00","2002-09-30T00:00:00.000"
"IBRD46530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Kerala State Transport","255000000.00","232009873.26","232009873.26","2010-12-31T00:00:00.000"
"IBRD46650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: MUMBAI URBAN TRANSPORT PROJECT","463000000.00","369268364.18","355741683.59","2011-06-15T00:00:00.000"
"IBRD46840","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: UP Roads","488000000.00","445560304.87","411363783.10","2010-12-31T00:00:00.000"
"IBRD47060","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: TN ROADS","348000000.00","346202925.17","307324293.33","2012-03-31T00:00:00.000"
"IBRD47190","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ALLAHABAD BYPASS","240000000.00","229928148.10","204414567.14","2009-06-30T00:00:00.000"
"IBRD47250","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AP SAL II","110000000.00","110000000.00","93750000.00","2004-08-15T00:00:00.000"
"IBRD47300","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Karnataka UWS Improvement Project","39500000.00","36486641.75","31143488.96","2011-03-31T00:00:00.000"
"IBRD47490","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Hydrology II","104980000.00","91554964.94","75401357.32","2014-05-31T00:00:00.000"
"IBRD47500","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Madhya Pradesh Water Sector Restruct","394020000.00","387402287.00","314419007.57","2015-06-30T00:00:00.000"
"IBRD47530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Rural Roads Project","99500000.00","99500000.00","80755000.00","2012-03-31T00:00:00.000"
"IBRD47560","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Orissa SAL I","85000000.00","85000000.00","68995000.00","2005-07-31T00:00:00.000"
"IBRD47640","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Lucknow-Muzaffarpur National Highway","620000000.00","620000000.00","476945000.00","2012-06-30T00:00:00.000"
"IBRD47960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: MAHAR WSIP","325000000.00","298278127.40","215991322.69","2014-03-28T00:00:00.000"
"IBRD47980","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: TN Urban III","300000000.00","290696541.83","210035566.49","2014-03-31T00:00:00.000"
"IBRD48130","India","POWER GRID CORPORATION OF INDIA LIMITED",,"IN: Power System Development Project III","400000000.00","400000000.00","267300000.00","2011-07-31T00:00:00.000"
"IBRD48180","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Karn Municipal Reform","216000000.00","204614368.84","138431248.05","2015-03-31T00:00:00.000"
"IBRD48370","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Orissa Socio-Econ Dev Loan/Credit II","150000000.00","150000000.00","91790000.00","2008-06-30T00:00:00.000"
"IBRD48430","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Punjab State Road Sector Project","250000000.00","248110727.51","150651336.47","2017-06-05T00:00:00.000"
"IBRD48450","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: AP DPL III","150000000.00","150000000.00","85160000.00","2010-06-30T00:00:00.000"
"IBRD48460","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: TN IAM WARM","335000000.00","289565044.77","168203174.42","2015-06-30T00:00:00.000"
"IBRD48570","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Andhra Pradesh and Telangana State C","189000000.00","71584068.07","42850626.31","2016-07-31T00:00:00.000"
"IBRD48600","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: HP State Roads Project","440000000.00","219998008.44","125154104.44","2016-06-30T00:00:00.000"
"IBRD48620","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Stren India's Rural Credit Coops","300000000.00","136228109.24","74191013.11","2013-06-30T00:00:00.000"
"IBRD48700","India","SATLUJ JAL VIDYUT NIGAM LIMITED",,"IN: Rampur Hydropower Project","400000000.00","400000000.00","212845000.00","2014-12-31T00:00:00.000"
"IBRD48710","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: HP DPL I","135000000.00","135000000.00","71840000.00","2009-12-31T00:00:00.000"
"IBRD48720","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: KARN Tank Mgmt","32000000.00","22292178.01","11856652.17","2012-01-31T00:00:00.000"
"IBRD48790","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Bihar DPL","150000000.00","150000000.00","74705000.00","2009-12-31T00:00:00.000"
"IBRD48900","India","POWER GRID CORPORATION OF INDIA LIMITED",,"IN: Power System Development  Project IV","600000000.00","576864011.10","291301259.60","2014-07-31T00:00:00.000"
"IBRD72630","India","SMALL INDUSTRIES DEVELOPMENT BK OF INDIA",,"IN: SME Financing & Development","120000000.00","120000000.00","120000000.00","2009-06-30T00:00:00.000"
"IBRD75760","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN:Orissa Community Tank Management Proj","56000000.00","31784961.56","9144454.16","2016-06-30T00:00:00.000"
"IBRD75770","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Orissa State Roads","250000000.00","79283120.31","26552398.45","2016-06-30T00:00:00.000"
"IBRD75930","India","POWER GRID CORPORATION OF INDIA LIMITED",,"IN: Power System Development  Project IV","400000000.00","400000000.00","130843148.12","2014-07-31T00:00:00.000"
"IBRD76130","India","India Infrastructure Finance Company Ltd",,"IN:  IIFCL - India Infras Finance Co Ltd","1195000000.00","195000000.00","52338000.00","2015-09-30T00:00:00.000"
"IBRD76870","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Coal-Fired Generation Rehabilitation","180000000.00","104137505.07","29189697.68","2018-03-29T00:00:00.000"
"IBRD76940","India","SMALL INDUSTRIES DEVELOPMENT BK OF INDIA",,"IN: SME Financing & Development","400000000.00","400000000.00","287000000.02","2013-06-30T00:00:00.000"
"IBRD77480","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Haryana Power System Improv Project","330000000.00","260212149.53","73573443.44","2017-12-31T00:00:00.000"
"IBRD77870","India","POWER GRID CORPORATION OF INDIA LIMITED",,"IN: POWERGRID V","1000000000.00","1000000000.00","272746159.00","2019-05-31T00:00:00.000"
"IBRD77880","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Banking Sector Support Loan","2000000000.00","2000000000.00","600000000.00","2010-06-30T00:00:00.000"
"IBRD77920","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: AP and Telangana Road Sector Project","320000000.00","191534537.66","53740920.22","2019-03-31T00:00:00.000"
"IBRD77960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Statistical Strenghening Loan","107000000.00","107000000.00","32100000.00","2011-07-30T00:00:00.000"
"IBRD78160","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN:AP and Telangana Municipal Devlpmnt","300000000.00","206357598.07","50814173.37","2018-12-31T00:00:00.000"
"IBRD78180","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Sustainable Urban Transport Project","105230000.00","88821782.08","23787561.57","2018-03-31T00:00:00.000"
"IBRD78650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: TN ROADS","50700000.00","38058797.59","13320578.88","2012-03-31T00:00:00.000"
"IBRD78970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Water Sector Improvement Project","450600000.00","396167317.78","97786798.67","2018-07-28T00:00:00.000"
"IBRD79230","India","SMALL INDUSTRIES DEVELOPMENT BK OF INDIA",,"IN: Microf-Scaling Up Sustnble & Resp","200000000.00","200000000.00","38945000.00","2015-09-30T00:00:00.000"
"IBRD79240","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Industrial Pollution Management","25210000.00","363859.63","92735.32","2018-03-31T00:00:00.000"
"IBRD79410","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Mumbai Urban Transport Project-2A","430000000.00","280104815.39","75424319.76","2016-12-31T00:00:00.000"
"IBRD79430","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Dam Rehabilitation & Improvement","175000000.00","139650000.00","21999729.18","2020-06-29T00:00:00.000"
"IBRD79800","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: NHAI Technical Assistance Project","45000000.00","24014004.51","10529233.03","2018-06-30T00:00:00.000"
"IBRD79950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: PMGSY Rural Roads Project","500000000.00","500000000.00","250240801.31","2018-06-30T00:00:00.000"
"IBRD80220","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN:Karnataka State Highway Improv Pro II","350000000.00","295213354.20","123042077.09","2018-12-28T00:00:00.000"
"IBRD80290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: E-Delivery of Public Services","150000000.00","150000000.00","69300000.00","2012-06-30T00:00:00.000"
"IBRD80650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: National Ganga River Basin Project","801000000.00","334825259.18","77736644.31","2021-12-30T00:00:00.000"
"IBRD80660","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Eastern Dedicated Freight Corridor-I","975000000.00","530809460.47","134564062.52","2019-05-31T00:00:00.000"
"IBRD80780","India","THDC India Limited",,"IN: Vishnugad Pipalkoti HEP","648000000.00","172676234.02","28108952.27","2023-06-30T00:00:00.000"
"IBRD80900","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: WB Minor Irrigation Project","125000000.00","20193004.28","5218286.77","2019-12-20T00:00:00.000"
"IBRD81360","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Assam State Roads Project","320000000.00","282699526.29","88751145.41","2019-09-30T00:00:00.000"
"IBRD81960","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: HP DPL Green Growth","100000000.00","100000000.00","34650000.00","2013-09-30T00:00:00.000"
"IBRD81990","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: HP State Roads Project","61700000.00","46700000.00","16181550.00","2017-06-30T00:00:00.000"
"IBRD82540","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Kerala State Transport Project II","216000000.00","196000000.00","43399728.21","2021-04-30T00:00:00.000"
"IBRD83010","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Natl Highways Inter-Conn","500000000.00","307735919.46","75815465.15","2020-09-30T00:00:00.000"
"IBRD83130","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Second Gujarat State Highway Project","175000000.00","175000000.00","35690699.12","2020-12-31T00:00:00.000"
"IBRD83180","India","Dedicated Freight Corridor Corporation",,"IN: Eastern Ded Freight Corridor II","1100000000.00","653633548.90","64222512.91","2020-12-31T00:00:00.000"
"IBRD83300","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Technology Center Systems Project","200000000.00","122961598.43","23158823.54","2020-12-31T00:00:00.000"
"IBRD84710","India","SMALL INDUSTRIES DEVELOPMENT BK OF INDIA",,"MSME Innovation and Inclusion Project","500000000.00","265375414.54","192687707.30","2019-03-31T00:00:00.000"
"IBRD84870","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Punjab Rural Water Sector Imp Project","248000000.00","171719990.15","5971286.99","2022-09-30T00:00:00.000"
"IBRD84880","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TN Sustainable Urban Development Program","400000000.00","308292969.05","0.00","2023-03-31T00:00:00.000"
"IBRD84990","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN:  TN Roads II","300000000.00","300000000.00","0.00","2021-06-30T00:00:00.000"
"IBRD85130","India","Dedicated Freight Corridor Corporation",,"EDFC-3","650000000.00","522216339.82","0.00","2022-03-31T00:00:00.000"
"IBRD85590","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Swachh Bharat Mission Support Operation","1500000000.00","1259050833.61","105004839.51","2021-09-30T00:00:00.000"
"IBRD86010","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"hN: Karn Urb Wtr Modernization","100000000.00","30187207.37","1127850.73","2024-11-22T00:00:00.000"
"IBRD86050","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"First Programmatic Electricity Distribut","250000000.00","250000000.00","0.00","2017-03-31T00:00:00.000"
"IBRD86110","India","State Bank of India",,"Grid-Connected Rooftop Solar Program","500000000.00","499999750.00","0.00","2022-11-30T00:00:00.000"
"IBRD86310","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: NER Power System Improvement Proj","470000000.00","388613175.83","17546713.41","2023-03-31T00:00:00.000"
"IBRD87230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"West Bengal ISGPP-II","210000000.00","178493013.09","0.00","2022-12-31T00:00:00.000"
"IBRD87250","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"National Hydrology Project","175000000.00","62220637.07","0.00","2025-03-31T00:00:00.000"
"IBRD87370","India","INDIAN RENEWABLE ENERGY DEVLOPMNT AGENCY",,"Shared Infrastructure for Solar Parks","75000000.00","15588464.19","556508.17","2023-07-31T00:00:00.000"
"IBRD87460","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Madhya Pradesh Urban Development Project","116200000.00","45906100.98","0.00","2022-12-31T00:00:00.000"
"IBRD87510","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Innovate in India (I3)","125000000.00","47922948.52","0.00","2023-06-30T00:00:00.000"
"IBRD87520","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"National Waterway-1 (CANW1)","375000000.00","126228710.24","0.00","2023-12-31T00:00:00.000"
"IBRD87530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Himachal PFM Capacity Building Program","36000000.00","30790000.00","0.00","2022-09-30T00:00:00.000"
"IBRD87540","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Assam Citizen-Centric Service Delivery","39200000.00","20550165.33","0.00","2023-06-30T00:00:00.000"
"IBRD87550","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Andhra Pradesh 24X7 Power for All","240000000.00","124808393.93","0.00","2022-06-30T00:00:00.000"
"IBRD87570","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"JOHAR","100000000.00","60469114.56","0.00","2023-06-30T00:00:00.000"
"IBRD87650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ASPIRe Project","35000000.00","20778014.29","0.00","2022-09-30T00:00:00.000"
"IBRD87690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Skill India Mission Operation","250000000.00","198774261.94","0.00","2023-03-31T00:00:00.000"
"IBRD87760","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"National Agricultural Higher Edu","82500000.00","56563189.59","0.00","2024-03-31T00:00:00.000"
"IBRD87800","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Assam Agbusiness & Rural Transformation","200000000.00","72976799.03","0.00","2024-09-30T00:00:00.000"
"IBRD87820","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Odisha Higher Education Program","119000000.00","62727703.26","0.00","2022-11-30T00:00:00.000"
"IBRD87950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Tamil Nadu Rural Transformation Project","100000000.00","43084372.96","0.00","2023-11-30T00:00:00.000"
"IBRD87970","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TN IAMP","318000000.00","158651729.11","0.00","2025-06-02T00:00:00.000"
"IBRD88050","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN Uttarakhand WSP PforR","120000000.00","43562375.00","0.00","2023-12-31T00:00:00.000"
"IBRD88110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UP Pro-Poor Tourism Development Project","40000000.00","12727186.16","0.00","2022-12-30T00:00:00.000"
"IBRD88280","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Meghalaya Community- Led Landscapes Mgmt","48000000.00","23598664.97","0.00","2023-06-30T00:00:00.000"
"IBRD88290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Maharashtra PoCRA","420000000.00","211542080.39","0.00","2024-06-30T00:00:00.000"
"IBRD88330","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MP Rural Connectivity Project","210000000.00","156444292.37","0.00","2023-03-15T00:00:00.000"
"IBRD88390","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: ICDS Syst Strength & Nut Imp Prog","200000000.00","154741500.00","0.00","2022-08-30T00:00:00.000"
"IBRD88540","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: National Rural Livelihoods Project","250000000.00","100743212.42","0.00","2023-06-30T00:00:00.000"
"IBRD88550","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Strengthening PFM in Rajasthan","21700000.00","11564930.87","0.00","2024-03-31T00:00:00.000"
"IBRD88570","India","Energy Efficiency Services Limited",,"India Energy Efficiency Scale-up Program","220000000.00","155078977.00","0.00","2022-09-30T00:00:00.000"
"IBRD88640","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: PMGSY Rural Roads Project","500000000.00","270000000.00","40500000.03","2020-12-15T00:00:00.000"
"IBRD88690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Rajasthan Electric Distribution Reform 2","250000000.00","250000000.00","20850000.00","2019-10-31T00:00:00.000"
"IBRD88740","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"National Groundwater Management Improvem","450000000.00","56159375.00","0.00","2025-09-28T00:00:00.000"
"IBRD88770","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Uttarakhand Workforce Development Projec","74000000.00","32457077.41","0.00","2023-06-30T00:00:00.000"
"IBRD89080","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Jharkhand Power System Improv. Project","310000000.00","69189619.97","0.00","2024-05-31T00:00:00.000"
"IBRD89090","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IN: Dam Rehabilitation & Improvement","137000000.00","28577714.98","2200484.06","2021-03-31T00:00:00.000"
