"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","supplier_contract_amount_usd"
"2017","Uzbekistan","SOUTH KARAKALPAKSTAN WATER RESOURCES MGMT IMPROVEMENT","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","1140351.0"
"2017","Bolivia","National Roads and Airport Infrastructure Project","Civil Works","Request for Bids","Transportation","4871173.0"
"2017","Bolivia","National Roads and Airport Infrastructure Project","Goods","Request for Bids","Transportation","920519.0"
"2017","India","Assam Citizen-Centric Service Delivery Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","56758.0"
"2017","Benin","Agricultural Productivity and Diversification","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","13478.0"
"2017","Niger","Niger - Competitiveness & Growth Support","Civil Works","Request for Bids","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","763564.0"
"2017","Dominican Republic","Dominican Republic.  FCPF REDD+ Readiness Preparation Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","3648.0"
"2017","Brazil","BR DGM for Indigenous People and Traditional Communities","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry","21660.0"
"2017","Brazil","BR DGM for Indigenous People and Traditional Communities","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry","16404.0"
"2017","Burundi","BI-Jiji and Mulembwe Hydropower","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","7764066.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Civil Works","Request for Bids","Agriculture, Fishing and Forestry;Industry, Trade and Services","118258.0"
"2017","Brazil","BR DGM for Indigenous People and Traditional Communities","Goods","Request for Quotations","Agriculture, Fishing and Forestry","1467.0"
"2017","Ethiopia","Second Agricultural Growth Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry","7121.0"
"2017","Burkina Faso","Local Forest Communities Support Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","5372.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","36259.0"
"2017","Afghanistan","Afghanistan Access to Finance","Consultant Services","Direct Selection","Financial Sector","188010.0"
"2017","Nepal","NP Rural Water Supply and Sanitation Improvement Project","Goods","Direct Selection","Water, Sanitation and Waste Management","158748.0"
"2017","Vietnam","Sustainable Agriculture Transformation Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","82464.0"
"2017","Central African Republic","CAR Rural Connectivity Project","Non-consulting Services","UN Agencies (Direct)","Transportation;Social Protection","120947.0"
"2017","Serbia","Serbia - Real Estate Management Project","Consultant Services","Quality And Cost-Based Selection","Information and Communications Technologies;Public Administration","150991.0"
"2017","Serbia","Serbia - Real Estate Management Project","Consultant Services","Least Cost Selection","Information and Communications Technologies;Public Administration","60600.0"
"2017","Dominican Republic","Dominican Republic.  FCPF REDD+ Readiness Preparation Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","49936.0"
"2017","Mauritania","Mauritania Sustainable Landscape Management Project under the SAWAP","Goods","Request for Quotations","Agriculture, Fishing and Forestry","3549.0"
"2017","Mexico","MEXICO Sustainable Energy Technologies Development for Climate Change","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives;Public Administration","181201.0"
"2017","Jamaica","Jamaica Integrated Community Development Project","Goods","Request for Quotations","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","76322.0"
"2017","Jamaica","Jamaica Integrated Community Development Project","Goods","Request for Quotations","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","28120.0"
"2017","Western and Central Africa","Sahel Malaria and Neglected Tropical Diseases","Consultant Services","Individual Consultant Selection","Health","220000.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","23910.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","103942.0"
"2017","Jamaica","Jamaica Integrated Community Development Project","Consultant Services","Consultant Qualification  Selection","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","42021.0"
"2017","Jamaica","Jamaica Strategic Public Sector Transformation","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","19732.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5094.0"
"2017","Pakistan","Dasu Hydropower Stage I Project","Civil Works","Request for Bids","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","812960108.0"
"2017","Jamaica","Jamaica Integrated Community Development Project","Consultant Services","Consultant Qualification  Selection","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","42694.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","34920.0"
"2017","Mauritania","Mauritania Sustainable Landscape Management Project under the SAWAP","Goods","Request for Quotations","Agriculture, Fishing and Forestry","13807.0"
"2017","Tunisia","Third Export Development Project (EDP III)","Goods","Request for Bids","Financial Sector;Transportation;Industry, Trade and Services","613738.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","23139.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","38187.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","29204.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","7354.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6800.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6401.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","229441.0"
"2017","India","India: Bihar Integrated Social Protection Strengthening Project","Civil Works","Request for Quotations","Social Protection","6079.0"
"2017","India","India: Bihar Integrated Social Protection Strengthening Project","Civil Works","Request for Quotations","Social Protection","6825.0"
"2017","India","India: Bihar Integrated Social Protection Strengthening Project","Civil Works","Request for Quotations","Social Protection","4603.0"
"2017","India","India: Bihar Integrated Social Protection Strengthening Project","Civil Works","Request for Quotations","Social Protection","7416.0"
"2017","Afghanistan","Afghanistan Access to Finance","Consultant Services","Consultant Qualification  Selection","Financial Sector","1800.0"
"2017","Burundi","Burundi Coffee Sector Competitiveness Project","Goods","Direct Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","50604.0"
"2017","India","India: Bihar Integrated Social Protection Strengthening Project","Civil Works","Request for Quotations","Social Protection","6594.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","412341.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3772.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","7181.0"
"2017","Tanzania","Tanzania: Resilient Natural Resource Management for Tourism and Growth","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","28331.0"
"2017","Tanzania","Tanzania: Resilient Natural Resource Management for Tourism and Growth","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","31500.0"
"2017","Nigeria","Transforming Irrigation Management in Nigeria","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","177676.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","109676.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","87425.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","7824.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","10886.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5417.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1356.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","87424809.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","113664.0"
"2017","Mali","Urban Water Supply Project","Consultant Services","Direct Selection","Water, Sanitation and Waste Management","70800.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1047.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3973.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3901.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","116589.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","71788.0"
"2017","Europe and Central Asia","Improvement of CIS Statistical Infrastructure and Development of CIS-Stat&#8217;s Web-portal","Consultant Services","Individual Consultant Selection","Information and Communications Technologies","20428.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6647.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","11443.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","21694.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","12610.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","91729.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6651.0"
"2017","Lebanon","LB- GREATER BEIRUT WATER SUPPLY","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","207600.0"
"2017","Lebanon","LB- GREATER BEIRUT WATER SUPPLY","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","304200.0"
"2017","India","Efficient & Sustainable City Bus Services","Goods","Request for Bids","Transportation","49702.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","12567.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","42145.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","9133.0"
"2017","Bangladesh","BD Private Sector Development","Civil Works","Request for Bids","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","71995.0"
"2017","Bangladesh","BD Private Sector Development","Civil Works","Request for Bids","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","2864674.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1303.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2375.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2832.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1948.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2396.0"
"2017","Bangladesh","BD Private Sector Development","Civil Works","Request for Bids","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","3081505.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2428.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2308.0"
"2017","Nigeria","Transforming Irrigation Management in Nigeria","Consultant Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","75000.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","3185.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2215.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2769.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2215.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","19340.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","49908.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","56247.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","53185.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry","251990.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","3046.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","944.0"
"2017","Chile","Sustainable Land Management Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","2135.0"
"2017","India","Efficient & Sustainable City Bus Services","Goods","Request for Bids","Transportation","48214.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","9344.0"
"2017","Afghanistan","Higher Education Development Project","Goods","Request for Quotations","Education","3291.0"
"2017","Afghanistan","Higher Education Development Project","Goods","Request for Quotations","Education","5988.0"
"2017","Maldives","Maldives: PFM Systems Strengthening Project","Consultant Services","Individual Consultant Selection","Public Administration","12647.0"
"2017","Russian Federation","RUSSIA HYDROMETEOROLOGICAL SERVICES MODERNIZATION","Consultant Services","Quality And Cost-Based Selection","Information and Communications Technologies;Water, Sanitation and Waste Management","238089.0"
"2017","Eastern and Southern Africa","Development Response to Displacement Impacts Project in the HoA","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","142080.0"
"2017","Afghanistan","Higher Education Development Project","Goods","Request for Quotations","Education","4142.0"
"2017","Pakistan","Governance and Policy Project for Balochistan","Consultant Services","Individual Consultant Selection","Education;Agriculture, Fishing and Forestry;Public Administration","20588.0"
"2017","Afghanistan","Higher Education Development Project","Goods","Request for Quotations","Education","3894.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","51995.0"
"2017","Tunisia","Third Export Development Project (EDP III)","Consultant Services","Direct Selection","Financial Sector;Transportation;Industry, Trade and Services","45532.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","52740.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","35394.0"
"2017","India","National Hydrology Project","Goods","Request for Quotations","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","5148.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Non-consulting Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","14233.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","30779.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","12489.0"
"2017","Russian Federation","RUSSIA CULTURAL HERITAGE 2","Consultant Services","Individual Consultant Selection","Social Protection","39237.0"
"2017","China","Fujian Fishing Ports Project","Consultant Services","Individual Consultant Selection","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1852.0"
"2017","China","Fujian Fishing Ports Project","Consultant Services","Consultant Qualification  Selection","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","262380.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5537.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","4140.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5211.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","27866.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management","17000.0"
"2017","Eastern and Southern Africa","RI-Regional Pastoral Livelihoods Resilience Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","10157.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management","50000.0"
"2017","Philippines","Cebu Bus Rapid Transit (BRT) Project","Consultant Services","Individual Consultant Selection","Transportation","29449.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management","195258.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Direct Selection","Transportation;Water, Sanitation and Waste Management","44643.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Direct Selection","Transportation;Water, Sanitation and Waste Management","29144.0"
"2017","Panama","Enhanced Public Sector Efficiency Technical Assistance Loan","Consultant Services","Individual Consultant Selection","Public Administration","52730.0"
"2017","Ecuador","EC Manta Public Services Improvement Project","Consultant Services","Direct Selection","Transportation;Water, Sanitation and Waste Management","23744.0"
"2017","Nigeria","Nigeria Erosion  and Watershed Management Project","Consultant Services","Consultant Qualification  Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","186189.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","6402.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","4815.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2744.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","7855.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","8759.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3948.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","4787.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5354.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","21815.0"
"2017","Guinea-Bissau","Guinea-Bissau Public Sector Strengthening Project","Non-consulting Services","Request for Quotations","Public Administration","5810.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2510.0"
"2017","Eastern and Southern Africa","AFCC2/RI-South West Indian Ocean Fisheries Governance and Shared Growth Project 1","Goods","Request for Quotations","Agriculture, Fishing and Forestry","27850.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1920.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3518.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5126.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","7997.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","3908.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","63643.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","71297.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Direct Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","51794.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","11822.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5299.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1386.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5601.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","5571.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2730.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2221.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","9310.0"
"2017","Bolivia","BO PICAR Community Investment in Rural Areas","Consultant Services","Individual Consultant Selection","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19424.0"
"2017","Bolivia","BO PICAR Community Investment in Rural Areas","Consultant Services","Individual Consultant Selection","Social Protection;Agriculture, Fishing and Forestry;Public Administration","23733.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","10947.0"
"2017","India","Punjab Rural Water and Sanitation Sector Improvement Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","2772.0"
"2017","Madagascar","Madagascar Agriculture Rural Growth and Land Management Project","Consultant Services","Individual Consultant Selection","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","47317.0"
"2017","India","Tejaswini: Socioeconomic Empowerment of Adolescent Girls & Young Women","Consultant Services","Quality And Cost-Based Selection","Education;Social Protection","40109.0"
"2017","Jamaica","Jamaica Strategic Public Sector Transformation","Goods","Request for Bids","Information and Communications Technologies;Public Administration","113061.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13285.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15894.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","4022.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","56730.0"
"2017","India","IN National Ganga River Basin Project","Consultant Services","Direct Selection","Water, Sanitation and Waste Management","3472.0"
"2017","India","IN National Ganga River Basin Project","Consultant Services","Direct Selection","Water, Sanitation and Waste Management","713.0"
"2017","Bolivia","Bolivia Climate Resilience - Integrated Basin Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","40548.0"
"2017","Uzbekistan","Alat and Karakul Water Supply Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management","9815927.0"
"2017","Armenia","Electricity Supply Reliability Project","Civil Works","Request for Bids","Energy and Extractives","7365827.0"
"2017","Western and Central Africa","Regional Sahel Pastoralism Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","90295.0"
"2017","Liberia","Liberia Urban Water Supply Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","75750.0"
"2017","Burkina Faso","Local Forest Communities Support Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry","20392.0"
"2017","Burundi","BI-Jiji and Mulembwe Hydropower","Consultant Services","Direct Selection","Energy and Extractives","88811.0"
"2017","Ethiopia","Second Agricultural Growth Project","Goods","Request for Bids","Agriculture, Fishing and Forestry","70541.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","139215.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","119678.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","156507.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","156507.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","172265.0"
"2017","Uruguay","Improving the Quality of Initial and Primary Education in Uruguay","Consultant Services","Individual Consultant Selection","Education","139215.0"
