"fiscal_year","major_sector","supplier_contract_amount_usd"
"2018","Financial Sector;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","292049.0"
"2018","Information and Communications Technologies;Water, Sanitation and Waste Management","269754.0"
"2018","Education;Health;Agriculture, Fishing and Forestry","266744.0"
"2018","Health;Transportation;Water, Sanitation and Waste Management;Public Administration","265372.0"
"2018","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","224895.0"
"2018","Health;Education;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","204991.0"
"2018","Information and Communications Technologies;Education;Social Protection","163154.0"
"2018","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","155725.0"
"2018","Information and Communications Technologies;Energy and Extractives;Public Administration","133152.0"
"2018","Information and Communications Technologies;Social Protection;Public Administration","97608.0"
"2018","Financial Sector;Information and Communications Technologies;Education;Public Administration","96394.0"
"2018","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","85947.0"
"2018","Transportation;Energy and Extractives;Water, Sanitation and Waste Management","73798.0"
"2018","Education;Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","68618.0"
"2018","Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","57219.0"
"2018","Financial Sector;Education;Industry, Trade and Services","55970.0"
"2018","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","53656.0"
"2018","Financial Sector;Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","52366.0"
"2018","Financial Sector;Social Protection;Agriculture, Fishing and Forestry;Public Administration","43698.0"
"2018","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry","31957.0"
"2018","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","15174.0"
"2019","Energy and Extractives","3238406084.0"
"2019","Transportation","1704420985.0"
"2019","Health","1184927724.0"
"2019","Water, Sanitation and Waste Management","921579383.0"
"2019","Transportation;Water, Sanitation and Waste Management;Public Administration","842892686.0"
"2019","Information and Communications Technologies;Health","708166377.0"
"2019","Education","447830580.0"
"2019","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","435399970.0"
"2019","Agriculture, Fishing and Forestry","316783478.0"
"2019","Water, Sanitation and Waste Management;Public Administration","301748500.0"
"2019","Agriculture, Fishing and Forestry;Industry, Trade and Services","286163382.0"
"2019","Public Administration","178950609.0"
"2019","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","177897110.0"
"2019","Social Protection","170362600.0"
"2019","Information and Communications Technologies;Public Administration","147912540.0"
"2019","Agriculture, Fishing and Forestry;Public Administration","138738364.0"
"2019","Industry, Trade and Services","120887289.0"
"2019","Energy and Extractives;Public Administration","95173375.0"
"2019","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","85831149.0"
"2019","Transportation;Public Administration","80324669.0"
"2019","Health;Education;Transportation;Water, Sanitation and Waste Management;Public Administration","76431023.0"
"2019","Transportation;Industry, Trade and Services","72407256.0"
"2019","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","70260990.0"
"2019","Information and Communications Technologies;Transportation","66771901.0"
"2019","Education;Transportation;Public Administration","63405072.0"
"2019","Education;Public Administration","61153376.0"
"2019","Transportation;Agriculture, Fishing and Forestry;Public Administration","58348154.0"
"2019","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","54322735.0"
"2019","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","52308068.0"
"2019","Education;Social Protection","47875273.0"
"2019","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","46719479.0"
"2019","Health;Transportation;Water, Sanitation and Waste Management","44323804.0"
"2019","Health;Water, Sanitation and Waste Management;Public Administration","44093558.0"
"2019","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","44091253.0"
"2019","Transportation;Agriculture, Fishing and Forestry","42024194.0"
"2019","Information and Communications Technologies;Education","39595175.0"
"2019","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","36789054.0"
"2019","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","36506228.0"
"2019","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","36187128.0"
"2019","Energy and Extractives;Social Protection;Public Administration","35075842.0"
"2019","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","34520044.0"
"2019","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","34364759.0"
"2019","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","34112362.0"
"2019","Education;Health;Public Administration","33467439.0"
"2019","Health;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","31746116.0"
"2019","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","30282234.0"
"2019","Health;Social Protection","28885894.0"
"2019","Transportation;Public Administration;Industry, Trade and Services","28845571.0"
"2019","Health;Water, Sanitation and Waste Management","27327973.0"
"2019","Financial Sector;Industry, Trade and Services","27231064.0"
"2019","Financial Sector;Education","26351130.0"
"2019","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","24183638.0"
"2019","Information and Communications Technologies","24177073.0"
"2019","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","23270746.0"
"2019","Energy and Extractives;Agriculture, Fishing and Forestry","22251252.0"
"2019","Health;Transportation","21111312.0"
"2019","Information and Communications Technologies;Agriculture, Fishing and Forestry","20539460.0"
"2019","Financial Sector","19075003.0"
"2019","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","18681080.0"
"2019","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","18493359.0"
"2019","Financial Sector;Public Administration","18040364.0"
"2019","Financial Sector;Social Protection;Public Administration;Industry, Trade and Services","17476351.0"
"2019","Transportation;Water, Sanitation and Waste Management","17369348.0"
"2019","Information and Communications Technologies;Water, Sanitation and Waste Management","17092993.0"
"2019","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","16823362.0"
"2019","Information and Communications Technologies;Transportation;Industry, Trade and Services","16342345.0"
"2019","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","16146407.0"
"2019","Health;Social Protection;Agriculture, Fishing and Forestry","15714377.0"
"2019","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","15477476.0"
"2019","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","15165569.0"
"2019","Information and Communications Technologies;Education;Industry, Trade and Services","15068559.0"
"2019","Social Protection;Agriculture, Fishing and Forestry","14778517.0"
"2019","Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","14750840.0"
"2019","Information and Communications Technologies;Education;Health;Public Administration","14663437.0"
"2019","Information and Communications Technologies;Agriculture, Fishing and Forestry;Industry, Trade and Services","13588541.0"
"2019","Social Protection;Public Administration","13045778.0"
"2019","Education;Health;Agriculture, Fishing and Forestry;Public Administration","11997383.0"
"2019","Health;Transportation;Water, Sanitation and Waste Management;Public Administration","11703837.0"
"2019","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","11605478.0"
"2019","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","11370590.0"
"2019","Energy and Extractives;Water, Sanitation and Waste Management","11201096.0"
"2019","Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","10484628.0"
"2019","Education;Health;Transportation;Public Administration","10457450.0"
"2019","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration","9958839.0"
"2019","Water, Sanitation and Waste Management;Social Protection;Industry, Trade and Services","9932105.0"
"2019","Education;Transportation;Water, Sanitation and Waste Management;Public Administration","9655623.0"
"2019","Information and Communications Technologies;Energy and Extractives","9350135.0"
"2019","Education;Public Administration;Industry, Trade and Services","9334202.0"
"2019","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","9202764.0"
"2019","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","9077466.0"
"2019","Financial Sector;Energy and Extractives","8945473.0"
"2019","Transportation;Social Protection;Public Administration","8672786.0"
"2019","Education;Industry, Trade and Services","8587523.0"
"2019","Water, Sanitation and Waste Management;Social Protection","8156212.0"
"2019","Education;Transportation;Energy and Extractives;Public Administration","7720115.0"
"2019","Transportation;Social Protection;Water, Sanitation and Waste Management","7453466.0"
"2019","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","7345115.0"
"2019","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","7194664.0"
"2019","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","6892046.0"
"2019","Financial Sector;Transportation;Industry, Trade and Services","6840566.0"
"2019","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","6466544.0"
"2019","Transportation;Social Protection","6245372.0"
"2019","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","6174244.0"
"2019","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","5814813.0"
"2019","Health;Agriculture, Fishing and Forestry","5790815.0"
"2019","Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","5786635.0"
"2019","Health;Agriculture, Fishing and Forestry;Industry, Trade and Services","5660130.0"
"2019","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","5627851.0"
"2019","Health;Transportation;Industry, Trade and Services","5626436.0"
"2019","Financial Sector;Public Administration;Industry, Trade and Services","5383684.0"
"2019","Health;Energy and Extractives","5304421.0"
"2019","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration","5284632.0"
"2019","Information and Communications Technologies;Education;Energy and Extractives","5280655.0"
"2019","Public Administration;Industry, Trade and Services","5160397.0"
"2019","Information and Communications Technologies;Public Administration;Industry, Trade and Services","5120833.0"
"2019","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5025663.0"
"2019","Financial Sector;Information and Communications Technologies;Public Administration","4950257.0"
"2019","Health;Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","4537507.0"
"2019","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management","4164834.0"
"2019","Financial Sector;Social Protection;Public Administration","4149187.0"
"2019","Health;Energy and Extractives;Water, Sanitation and Waste Management","4004699.0"
"2019","Energy and Extractives;Agriculture, Fishing and Forestry;Public Administration","3988808.0"
"2019","Education;Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","3956301.0"
"2019","Financial Sector;Health;Public Administration","3904398.0"
"2019","Information and Communications Technologies;Social Protection;Agriculture, Fishing and Forestry","3890003.0"
"2019","Financial Sector;Information and Communications Technologies","3882320.0"
"2019","Health;Education;Public Administration","3822672.0"
"2019","Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","3542233.0"
"2019","Information and Communications Technologies;Health;Agriculture, Fishing and Forestry","3470017.0"
"2019","Education;Health","3173672.0"
"2019","Information and Communications Technologies;Social Protection;Public Administration","3075455.0"
"2019","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry","2878685.0"
"2019","Energy and Extractives;Social Protection","2804980.0"
"2019","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","2760627.0"
"2019","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","2609633.0"
"2019","Education;Agriculture, Fishing and Forestry;Public Administration","2577949.0"
"2019","Health;Transportation;Energy and Extractives;Social Protection","2472192.0"
"2019","Education;Energy and Extractives","2427800.0"
"2019","Information and Communications Technologies;Industry, Trade and Services","2377841.0"
"2019","Financial Sector;Information and Communications Technologies;Education;Public Administration","2350105.0"
"2019","Education;Health;Water, Sanitation and Waste Management;Social Protection;Public Administration","2068877.0"
"2019","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","2058679.0"
"2019","Financial Sector;Water, Sanitation and Waste Management","1957301.0"
"2019","Transportation;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","1802023.0"
"2019","Education;Transportation;Social Protection;Water, Sanitation and Waste Management","1795917.0"
"2019","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1742821.0"
"2019","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","1678790.0"
"2019","Energy and Extractives;Agriculture, Fishing and Forestry;Industry, Trade and Services","1648260.0"
"2019","Education;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1543120.0"
"2019","Financial Sector;Transportation;Energy and Extractives;Water, Sanitation and Waste Management","1528824.0"
"2019","Information and Communications Technologies;Water, Sanitation and Waste Management;Public Administration","1526553.0"
"2019","Education;Social Protection;Public Administration","1451936.0"
"2019","Health;Education","1423980.0"
"2019","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1400937.0"
"2019","","1376741.0"
"2019","Financial Sector;Agriculture, Fishing and Forestry;Industry, Trade and Services","1358320.0"
"2019","Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","1354461.0"
"2019","Energy and Extractives;Public Administration;Industry, Trade and Services","1336744.0"
"2019","Education;Health;Social Protection","1302727.0"
"2019","Financial Sector;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","1200726.0"
"2019","Health;Public Administration","1195934.0"
"2019","Health;Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1169288.0"
"2019","Information and Communications Technologies;Social Protection;Public Administration;Industry, Trade and Services","1050978.0"
"2019","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry","994167.0"
"2019","Water, Sanitation and Waste Management;Industry, Trade and Services","985504.0"
"2019","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","894906.0"
"2019","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","861746.0"
"2019","Social Protection;Industry, Trade and Services","851296.0"
"2019","Information and Communications Technologies;Health;Education;Public Administration","820268.0"
"2019","Health;Education;Social Protection","819773.0"
"2019","Education;Health;Transportation;Agriculture, Fishing and Forestry;Public Administration","788446.0"
"2019","Education;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","784269.0"
"2019","Education;Agriculture, Fishing and Forestry","747447.0"
"2019","Information and Communications Technologies;Education;Social Protection","741533.0"
"2019","Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","737591.0"
"2019","Financial Sector;Information and Communications Technologies;Public Administration;Industry, Trade and Services","678202.0"
"2019","Education;Energy and Extractives;Public Administration","557768.0"
"2019","Financial Sector;Education;Industry, Trade and Services","491018.0"
"2019","Transportation;Energy and Extractives","483410.0"
"2019","Health;Education;Social Protection;Water, Sanitation and Waste Management","482016.0"
"2019","Transportation;Energy and Extractives;Water, Sanitation and Waste Management","460952.0"
"2019","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","440328.0"
"2019","Energy and Extractives;Industry, Trade and Services","388379.0"
"2019","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","381037.0"
"2019","Education;Social Protection;Agriculture, Fishing and Forestry","336810.0"
"2019","Information and Communications Technologies;Education;Public Administration","318185.0"
"2019","Transportation;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","288531.0"
"2019","Education;Social Protection;Industry, Trade and Services","277548.0"
"2019","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","258572.0"
"2019","Education;Health;Agriculture, Fishing and Forestry","236262.0"
"2019","Education;Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","211783.0"
"2019","Social Protection;Public Administration;Industry, Trade and Services","180694.0"
"2019","Information and Communications Technologies;Energy and Extractives;Public Administration","164004.0"
"2019","Financial Sector;Social Protection;Agriculture, Fishing and Forestry;Public Administration","157581.0"
"2019","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","153763.0"
"2019","Health;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","139083.0"
"2019","Information and Communications Technologies;Social Protection;Industry, Trade and Services","133416.0"
"2019","Information and Communications Technologies;Education;Public Administration;Industry, Trade and Services","105404.0"
"2019","Health;Social Protection;Public Administration","96720.0"
"2019","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","91123.0"
"2019","Information and Communications Technologies;Social Protection","87193.0"
"2019","Information and Communications Technologies;Energy and Extractives;Industry, Trade and Services","84592.0"
"2019","Health;Education;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","71174.0"
"2019","Transportation;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","66818.0"
"2019","Education;Health;Social Protection;Agriculture, Fishing and Forestry","59916.0"
"2019","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection;Public Administration","44000.0"
"2019","Information and Communications Technologies;Transportation;Public Administration","42000.0"
"2019","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","28018.0"
"2020","Transportation","1972493551.0"
"2020","Health","1438332909.0"
"2020","Water, Sanitation and Waste Management","1352335336.0"
"2020","Energy and Extractives","1306433613.0"
"2020","Transportation;Water, Sanitation and Waste Management;Public Administration","719717672.0"
"2020","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","595626574.0"
"2020","Agriculture, Fishing and Forestry","522211532.0"
"2020","Agriculture, Fishing and Forestry;Industry, Trade and Services","464764595.0"
"2020","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","406847317.0"
"2020","Education","388996740.0"
"2020","Social Protection","388097325.0"
"2020","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","268030484.0"
"2020","Education;Transportation;Water, Sanitation and Waste Management;Public Administration","207389694.0"
"2020","Health;Social Protection","178049278.0"
"2020","Public Administration","142949745.0"
"2020","Transportation;Public Administration","128276779.0"
"2020","Information and Communications Technologies;Transportation","124395746.0"
"2020","Information and Communications Technologies;Public Administration","122335473.0"
"2020","Industry, Trade and Services","121634123.0"
"2020","Agriculture, Fishing and Forestry;Public Administration","118290095.0"
"2020","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","115119274.0"
"2020","Health;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","113563569.0"
"2020","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection;Public Administration","109621790.0"
"2020","Information and Communications Technologies;Transportation;Industry, Trade and Services","104147729.0"
"2020","Transportation;Agriculture, Fishing and Forestry","94948589.0"
"2020","Water, Sanitation and Waste Management;Public Administration","89124910.0"
"2020","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","86278453.0"
"2020","Transportation;Industry, Trade and Services","85845592.0"
"2020","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","85795830.0"
"2020","Education;Social Protection","83236224.0"
"2020","Transportation;Social Protection;Water, Sanitation and Waste Management","82852575.0"
"2020","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","76196430.0"
"2020","Transportation;Agriculture, Fishing and Forestry;Public Administration","73038315.0"
"2020","Financial Sector;Social Protection;Public Administration","68537201.0"
"2020","Energy and Extractives;Public Administration","67787419.0"
"2020","Information and Communications Technologies;Education;Health;Public Administration","63421397.0"
"2020","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","55124863.0"
"2020","Information and Communications Technologies;Health;Agriculture, Fishing and Forestry","54449963.0"
"2020","Information and Communications Technologies;Agriculture, Fishing and Forestry","52578921.0"
"2020","Transportation;Energy and Extractives","52061889.0"
"2020","Transportation;Social Protection","47482261.0"
"2020","Health;Education;Transportation;Water, Sanitation and Waste Management;Public Administration","44469050.0"
"2020","Information and Communications Technologies;Transportation;Public Administration","40409757.0"
"2020","Social Protection;Public Administration","38810690.0"
"2020","Health;Transportation;Water, Sanitation and Waste Management","38120513.0"
"2020","Financial Sector","37978012.0"
"2020","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","37455367.0"
"2020","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","37221157.0"
"2020","Transportation;Public Administration;Industry, Trade and Services","36897028.0"
"2020","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","33633452.0"
"2020","Water, Sanitation and Waste Management;Social Protection;Public Administration","33169830.0"
"2020","Information and Communications Technologies;Social Protection","32864778.0"
"2020","Information and Communications Technologies","31099256.0"
"2020","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","30892459.0"
"2020","Transportation;Water, Sanitation and Waste Management","29627171.0"
"2020","Information and Communications Technologies;Public Administration;Industry, Trade and Services","29319442.0"
"2020","Financial Sector;Transportation;Industry, Trade and Services","28826535.0"
"2020","Information and Communications Technologies;Water, Sanitation and Waste Management","27396265.0"
"2020","Education;Health;Public Administration","26288687.0"
"2020","Education;Health","26252406.0"
"2020","Health;Social Protection;Agriculture, Fishing and Forestry","25775403.0"
"2020","Information and Communications Technologies;Education","25097678.0"
"2020","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","23452689.0"
"2020","Health;Transportation;Water, Sanitation and Waste Management;Public Administration","22547298.0"
"2020","Financial Sector;Industry, Trade and Services","22390213.0"
"2020","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","21096140.0"
"2020","Energy and Extractives;Water, Sanitation and Waste Management","20894264.0"
"2020","Social Protection;Agriculture, Fishing and Forestry","20235413.0"
"2020","Information and Communications Technologies;Agriculture, Fishing and Forestry;Industry, Trade and Services","19849216.0"
"2020","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","19604969.0"
"2020","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","18982889.0"
"2020","Energy and Extractives;Agriculture, Fishing and Forestry;Industry, Trade and Services","18418498.0"
"2020","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","18077040.0"
"2020","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration","17563825.0"
"2020","Health;Agriculture, Fishing and Forestry","16830640.0"
"2020","Health;Agriculture, Fishing and Forestry;Industry, Trade and Services","16252459.0"
"2020","Health;Education","16245179.0"
"2020","Financial Sector;Energy and Extractives","16189564.0"
"2020","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","16073686.0"
"2020","Health;Education;Social Protection","15160990.0"
"2020","Financial Sector;Information and Communications Technologies","15003298.0"
"2020","Information and Communications Technologies;Health","14847352.0"
"2020","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","14211067.0"
"2020","Education;Health;Transportation;Public Administration","14027267.0"
"2020","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","13918702.0"
"2020","Social Protection;Public Administration;Industry, Trade and Services","13398570.0"
"2020","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","12964548.0"
"2020","Energy and Extractives;Agriculture, Fishing and Forestry","12835626.0"
"2020","Health;Social Protection;Public Administration","12796270.0"
"2020","Education;Transportation;Social Protection;Water, Sanitation and Waste Management","12675546.0"
"2020","Public Administration;Industry, Trade and Services","11779000.0"
"2020","Education;Public Administration;Industry, Trade and Services","11254038.0"
"2020","Education;Transportation;Energy and Extractives;Public Administration","11041783.0"
"2020","Health;Energy and Extractives","10628939.0"
"2020","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","10524788.0"
"2020","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","9044979.0"
"2020","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","8735274.0"
"2020","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","8567843.0"
"2020","Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","8530070.0"
"2020","Health;Energy and Extractives;Water, Sanitation and Waste Management","8528690.0"
"2020","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","8351640.0"
"2020","Health;Transportation","8162407.0"
"2020","Transportation;Social Protection;Public Administration","7943421.0"
"2020","Education;Transportation;Public Administration","7920277.0"
"2020","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","7718815.0"
"2020","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","7676943.0"
"2020","Financial Sector;Social Protection","7481716.0"
"2020","Health;Water, Sanitation and Waste Management","7286050.0"
"2020","Information and Communications Technologies;Education;Energy and Extractives","7074439.0"
"2020","Education;Health;Transportation;Agriculture, Fishing and Forestry;Public Administration","6992982.0"
"2020","Transportation;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","6940732.0"
"2020","Health;Public Administration","6902398.0"
"2020","Financial Sector;Information and Communications Technologies;Education;Public Administration","6730742.0"
"2020","Education;Health;Social Protection","6616136.0"
"2020","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","6238148.0"
"2020","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","6126050.0"
"2020","Information and Communications Technologies;Social Protection;Public Administration","5963542.0"
"2020","Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","5914508.0"
"2020","Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","5904316.0"
"2020","Information and Communications Technologies;Energy and Extractives","5541915.0"
"2020","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","5395021.0"
"2020","Education;Health;Water, Sanitation and Waste Management;Social Protection;Public Administration","5333693.0"
"2020","Financial Sector;Education","5222975.0"
"2020","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry","5206083.0"
"2020","Energy and Extractives;Agriculture, Fishing and Forestry;Public Administration","4255324.0"
"2020","Information and Communications Technologies;Industry, Trade and Services","4243430.0"
"2020","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","4190556.0"
"2020","Energy and Extractives;Social Protection","4179661.0"
"2020","Education;Agriculture, Fishing and Forestry;Public Administration","4031485.0"
"2020","Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","3980867.0"
"2020","Information and Communications Technologies;Water, Sanitation and Waste Management;Public Administration","3783249.0"
"2020","Education;Industry, Trade and Services","3700215.0"
"2020","Health;Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","3655263.0"
"2020","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3614428.0"
"2020","Social Protection;Industry, Trade and Services","3386066.0"
"2020","Financial Sector;Public Administration","3369128.0"
"2020","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","3313634.0"
"2020","Financial Sector;Information and Communications Technologies;Energy and Extractives","3286745.0"
"2020","Financial Sector;Information and Communications Technologies;Public Administration;Industry, Trade and Services","2922491.0"
"2020","Education;Social Protection;Industry, Trade and Services","2909933.0"
"2020","Financial Sector;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","2889470.0"
