"classification","units","businessname","address","city","state","zipcode","withincity","telephone","opened","controlnum","taxcertnum","expires","owner","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzip","ownershiptype","location"
"EMPLOYMENT AGENCY",,"ULTIMATE STAFFING SERVICES","500 E ESPLANADE DR","OXNARD","CA","93036","Yes","805 988-3623","2000-06-26T00:00:00.000","63357","23-057411","2023-05-31T00:00:00.000","ROTH STAFFING COMPANIES, LP","450 N STATE COLLEGE BLVD",,"ORANGE","CA","92868","LP","500 E ESPLANADE DR
OXNARD, CA 93036
(34.229571, -119.172163)"
"MISC SERVICES",,"GO GREEN DETAILING","1511 AUTO CENTER DR","OXNARD","CA","93036","Yes","805 538-6057","2022-06-14T00:00:00.000","117033","23-130496","2023-05-31T00:00:00.000","GUERRERO, RICARDO","9008 SUMMER DREAM CT",,"BAKERSFIELD","CA","93311","LL","1511 AUTO CENTER DR
OXNARD, CA 93036
(34.228553, -119.154974)"
"WASTEWATER PERMIT",,"PANADERIA LUPITA'S Y LA PALAPA","2631 N VINEYARD AVE","OXNARD","CA","93036","Yes","805 988-9212","2006-01-01T00:00:00.000","90463","23-029149","2023-06-30T00:00:00.000","PANADERIA LUPITA'S Y LA PALAPA","1141 CADIZ CT",,"OXNARD","CA","93035","C","2631 N VINEYARD AVE
OXNARD, CA 93036
(34.235318, -119.170776)"
"MISC SERVICES",,"PETS & POODLES CHATEAU","1225 SAVIERS RD","OXNARD","CA","93033","Yes","805 486-9124","1992-03-17T00:00:00.000","23754","23-013689","2023-02-28T00:00:00.000","KITZROW, TERRY KAY","1225 SAVIERS RD #D",,"OXNARD","CA","93033-1731","S","1225 SAVIERS RD
OXNARD, CA 93033
(34.18765, -119.177558)"
"CATERING TRUCK/VEHICLE (T-4)",,"WE BEE POPPIN","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 302-8056","2015-11-12T00:00:00.000","106159","23-113633","2022-10-31T00:00:00.000","MAYE-RAMOS, NATALIE W","1640 LICHO WAY",,"OXNARD","CA","93030","S",
"CONTRACTOR LOC OUTSIDE CITY",,"INSIDE EDGE COMMERCIAL INTERIO","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","651 389-3900","2019-11-01T00:00:00.000","113371","23-124575","2022-10-31T00:00:00.000","INSIDE EDGE CMMRC INTRR SRVCS","2700 BLUE WATER RD #400",,"SAINT PAUL","MN","55121","LL",
"GARDENING/LANDSCAPING",,"JAVIER LANDSCAPE","1331 JUNEBERRY PL","OXNARD","CA","93036","Yes","805 338-6923","1997-10-13T00:00:00.000","51656","23-043561","2022-09-30T00:00:00.000","VAZQUEZ-CERVANTES, JAVIER","1331 JUNEBERRY PL",,"OXNARD","CA","93036","S","1331 JUNEBERRY PL
OXNARD, CA 93036
(34.228104, -119.192437)"
"CONTRACTOR LOC OUTSIDE CITY",,"FRANK'S UNDERGROUND UTILITIES","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 646-4057","2007-11-28T00:00:00.000","91152","23-124912","2022-10-31T00:00:00.000","FRANK'S UNDERGROUND UTILITIES","PO BOX 941",,"OAK VIEW","CA","93022","C",
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","4","FLORES APARTMENTS","201 CAMPBELL WAY","OXNARD","CA","93033","Yes","805 816-9045","2001-07-30T00:00:00.000","67561","23-062455","2023-06-30T00:00:00.000","FLORES, ELIAS, ET AL","PO BOX 1559",,"PORT HUENEME","CA","93044","S","201 CAMPBELL WAY
OXNARD, CA 93033
(34.152783, -119.178981)"
"CONTRACTOR LOC OUTSIDE CITY",,"BERG ELECTRIC CORP","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","310 337-1377","2011-10-25T00:00:00.000","98717","23-102592","2022-09-30T00:00:00.000","BERG ELECTRIC,INC","3182 LIONSHEAD AVE",,"CARLSBAD","CA","92010","C",
"CONTRACTOR LOC INSIDE CITY",,"ROBLES ROOFING","512 E SECOND ST","OXNARD","CA","93030","Yes","805 248-0739","2019-05-17T00:00:00.000","113358","23-124554","2022-09-30T00:00:00.000","ROBLES, MARIO","420 HAZELWOOD DR",,"OXNARD","CA","93030","S","512 E SECOND ST
OXNARD, CA 93030
(34.201626, -119.173384)"
"DRUG STORE/PHARMACEUTICAL HOUSE",,"STAN'S DRUGS","3001 SAVIERS RD","OXNARD","CA","93033","Yes","805 486-2678","1989-10-10T00:00:00.000","19977","23-008607","2022-09-30T00:00:00.000","STAN'S DRUGS,INC","3001 SAVIERS RD",,"OXNARD","CA","93033-5312","C","3001 SAVIERS RD
OXNARD, CA 93033
(34.172306, -119.177654)"
"COSMETOLOGIST,MANICURIST,ELECTROLOGIST",,"CENTRAL NAILS SPA","210 W FIFTH ST","OXNARD","CA","93030","Yes","805 388-3900","2020-11-01T00:00:00.000","114810","23-126805","2022-10-31T00:00:00.000","HUYNH, HOLVAN, ET AL","210 W FIFTH ST",,"OXNARD","CA","93030","S","210 W FIFTH ST
OXNARD, CA 93030
(34.197671, -119.178659)"
"RESTAURANT/CAFE",,"KANALOA SEAFOOD","251 N LOMBARD ST","OXNARD","CA","93030","Yes","805 966-5159","2014-11-01T00:00:00.000","104361","23-116622","2022-10-31T00:00:00.000","KANALOA IMPORTS INC","251 LOMBARD ST",,"OXNARD","CA","93030","C","251 N LOMBARD ST
OXNARD, CA 93030
(34.204785, -119.148903)"
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"FIRST STUDENT INC","2889 W FIFTH ST","OXNARD","CA","93030","Yes","513 419-8506","2018-07-30T00:00:00.000","111108","23-121219","2023-06-30T00:00:00.000","FIRST STUDENT INC","600 VINE ST STE 1400",,"CINCINNATI","OH","45202","C","2889 W FIFTH ST
OXNARD, CA 93030
(34.197545, -119.206172)"
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"CHANGE HEALTHCARE PRACTICE MAN","1901 SOLAR DR","OXNARD","CA","93036","Yes","805 988-2280","2009-06-09T00:00:00.000","94163","23-095939","2023-05-31T00:00:00.000","CHANGE HEALTHCARE PRACTICE","INC","3055 LEBANON PIKE STE 1000","NASHVILLE","TN","37214","C","1901 SOLAR DR
OXNARD, CA 93036
(34.219435, -119.14491)"
"MISC OCCUPATION",,"APPRAISALS BY ASHBY","1921 PAMELA ST","OXNARD","CA","93036","Yes","310 828-3107","2008-10-01T00:00:00.000","93390","23-094864","2022-09-30T00:00:00.000","GALESKI ENTERPRISES INC","PMB #404","716 N VENTURA RD","OXNARD","CA","93030","C","1921 PAMELA ST
OXNARD, CA 93036
(34.219977, -119.197399)"
"INSURANCE AGENT OR BROKER (EXEMPT)",,"CHARLES E ALLISON INSURANCE AN","705 N OXNARD BLVD","OXNARD","CA","93030","Yes","805 604-0900","2004-01-01T00:00:00.000","83160","23-118948","2022-12-31T00:00:00.000","CHARLES E ALLISON INSURANCE","705 N OXNARD BL STE 101",,"OXNARD","CA","93030","C","705 N OXNARD BLVD
OXNARD, CA 93030"
"CONSULTANT (BRANCH)",,"WOOD ENVIRONMENT & INFRASTRUCT","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","770 360-0600","2014-04-21T00:00:00.000","103414","23-109476","2023-03-31T00:00:00.000","WOOD ENVIRONMENT &","1075 BIG SHANTY RD NW STE 100",,"KENNESAW","GA","30144","C",
"CERTIFIED MASSAGE ESTABLISHMENT",,"ARJUNA AYURVEDA & VIBRATIONAL","721 S A ST","OXNARD","CA","93030","Yes","805 515-6788","2021-09-01T00:00:00.000","115866","23-128757","2022-09-30T00:00:00.000","GOLDEN, RANDILEE ROSEMARIE","23310 RAYMOND ST",,"CHATSWORTH","CA","91311","S","721 S A ST
OXNARD, CA 93030
(34.194527, -119.178608)"
"COMMERCIAL PROPERTY OWNER/SUB LEASING-BR",,"ZDI 1251 RICE LLC","1201 N RICE AVE","OXNARD","CA","93030","Yes","310 392-7899","2017-12-22T00:00:00.000","111388","23-121847","2022-09-30T00:00:00.000","ZDI 1251 RICE LLC","16509 SATICOY E",,"VAN NUYS","CA","91406","LL","1201 N RICE AVE
OXNARD, CA 93030
(34.212776, -119.142184)"
"MISC SERVICES",,"ASPEN AG HELICOPTERS, INC.","2899 W FIFTH ST","OXNARD","CA","93030","Yes","805 985-5416","1989-11-07T00:00:00.000","20125","23-008766","2022-10-31T00:00:00.000","ASPEN AG HELICOPTERS, INC.","2899 W FIFTH ST",,"OXNARD","CA","93030-6503","C","2899 W FIFTH ST
OXNARD, CA 93030
(34.197564, -119.208007)"
"DENTIST",,"RONALD A SHOEMAKER, DDS","510 W FIFTH ST","OXNARD","CA","93030","Yes","805 487-8879","1990-11-21T00:00:00.000","21799","23-010750","2022-10-31T00:00:00.000","SHOEMAKER, RONALD A","510 W FIFTH ST",,"OXNARD","CA","93030-7048","S","510 W FIFTH ST
OXNARD, CA 93030
(34.197701, -119.182615)"
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","4","BOYLE APARTMENTS","4831 TERRACE AVE","OXNARD","CA","93033","Yes","805 485-4040","1987-10-15T00:00:00.000","16921","23-002779","2022-09-30T00:00:00.000","BOYLE TRUST","C/O CROSSROADS INVESTMENTS","300 E ESPLANADE DR #580","OXNARD","CA","93036","T","4831 TERRACE AVE
OXNARD, CA 93033
(34.156971, -119.165551)"
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","24","LAGUNA GARDENS APTS., LLC","1250 N H ST","OXNARD","CA","93030","Yes","805 483-3109","2000-10-31T00:00:00.000","64843","23-059222","2022-09-30T00:00:00.000","LAGUNA GARDENS APTS., LLC","567 W CHANNEL ISLANDS BL #678",,"PORT HUENEME","CA","93041","LL","1250 N H ST
OXNARD, CA 93030
(34.21415, -119.18794)"
"CONTRACTOR LOC OUTSIDE CITY",,"GRANITE TRANSFORMATION VENTURA","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 275-1082","2010-10-11T00:00:00.000","96691","23-099669","2022-09-30T00:00:00.000","GRANITE TRANSFORMATNS VTA,INC","3837 MARKET ST",,"VENTURA","CA","93003","C",
"MASSAGE ESTABLISHMENT",,"MISSION SPA","2228 SAVIERS RD","OXNARD","CA","93033","Yes","805 486-2520","2020-10-13T00:00:00.000","114747","23-126672","2022-09-30T00:00:00.000","MONAREZ, ERIKA ROSARIO DIAZ","628 LAZARO LN",,"OXNARD","CA","93035","S","2228 SAVIERS RD
OXNARD, CA 93033
(34.178423, -119.177424)"
"CATERING/ICE CREAM MOBILE VEHICLE (T-2)",,"ROSITA'S ICE CREAM","1664 S OXNARD BLVD","OXNARD","CA","93030","Yes","805 612-3855","2014-07-30T00:00:00.000","103972","23-110331","2023-06-30T00:00:00.000","GARCIA, ARTURO E","3770 FLAX PL APT 306",,"OXNARD","CA","93036","S","1664 S OXNARD BLVD
OXNARD, CA 93030
(34.183373, -119.169295)"
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"ZDI LATIGO LLC","401 N RICE AVE","OXNARD","CA","93030","Yes","310 392-7899","2017-12-22T00:00:00.000","111364","23-121841","2022-09-30T00:00:00.000","ZDI LATIGO LLC","16509 SATICOY ST",,"VAN NUYS","CA","91406","LL","401 N RICE AVE
OXNARD, CA 93030
(34.205793, -119.142272)"
"WASTEWATER PERMIT",,"EBENEZER AUTO REPAIR","820 E FIFTH ST","OXNARD","CA","93030","Yes","805 487-7559","2004-07-06T00:00:00.000","81747","23-029576","2023-06-30T00:00:00.000","TISCARENO, EFRAIN M","820 E FIFTH ST #A",,"OXNARD","CA","93030","S","820 E FIFTH ST
OXNARD, CA 93030
(34.196572, -119.17031)"
"CONTRACTOR LOC OUTSIDE CITY",,"CALIFORNIA PROTECTION IND, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","661 775-2511","2003-02-05T00:00:00.000","74421","23-070495","2023-01-31T00:00:00.000","CALIFORNIA PROTECTION IND, INC","28338 CONSTELLATION RD STE 930",,"VALENCIA","CA","91355-5800","C",
"POOL SERVICES",,"VINTAGE POOL SERVICE","1411 ONTARIO ST","OXNARD","CA","93035","Yes","805 236-3139","2020-11-01T00:00:00.000","116020","23-128791","2022-09-30T00:00:00.000","MEDEL, LEONEL H","C/O MEDEL, LEONEL","1411 ONTARIO ST","OXNARD","CA","93035","S","1411 ONTARIO ST
OXNARD, CA 93035
(34.184923, -119.196084)"
"MISC PROFESSION (BRANCH)",,"ARJUNA AYURVEDA & VIBRATIONAL","721 S A ST","OXNARD","CA","93030","Yes","805 515-6788","2021-09-01T00:00:00.000","115866","23-128758","2022-09-30T00:00:00.000","GOLDEN, RANDILEE ROSEMARIE","23310 RAYMOND ST",,"CHATSWORTH","CA","91311","S","721 S A ST
OXNARD, CA 93030
(34.194527, -119.178608)"
"FITNESS STUDIO OR INSTRUCTOR",,"COLOSSEUM BOOTCAMP","2000 OUTLET CENTER DR","OXNARD","CA","93036","Yes","805 906-0043","2019-12-01T00:00:00.000","114234","23-126039","2023-05-31T00:00:00.000","OXNARD BOOTCAMP LLC","2000 OUTLET CENTER DR STE 300",,"OXNARD","CA","93036","LL","2000 OUTLET CENTER DR
OXNARD, CA 93036
(34.220586, -119.148334)"
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"2500 E VINEYARD AVENUE LLC","2500 N VINEYARD AVE","OXNARD","CA","93036","Yes","818 990-5999","2017-06-01T00:00:00.000","110391","23-120073","2023-02-28T00:00:00.000","2500 E VINEYARD AVENUE LLC","C/O ESSEX REALTY MNGMNT","5740 RALSTON ST #101","VENTURA","CA","93003","LL","2500 N VINEYARD AVE
OXNARD, CA 93036"
"REGISTERED NON-PROFIT",,"FIRST PRESBYTERIAN CHURCH-USA","850 IVYWOOD DR","OXNARD","CA","93030","Yes","805 983-0204","1968-10-23T00:00:00.000","3545","23-053052","2022-09-30T00:00:00.000","FIRST PRESBYTERIAN CHURCH-USA","850 IVYWOOD DR",,"OXNARD","CA","93030-3401","C","850 IVYWOOD DR
OXNARD, CA 93030
(34.215846, -119.186948)"
"CONTRACTOR LOC OUTSIDE CITY",,"GENERAL UNDERGROUND FIRE PROTE","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","714 632-8646","2011-01-28T00:00:00.000","97164","23-118832","2022-09-30T00:00:00.000","GENERAL UNDERGROUND FIRE","PO BOX 29830",,"ANAHEIM","CA","92809-8194","C",
"HANDYMAN - NO STATE LICENSE (BRANCH)",,"EXPERT FOUNTAIN","4250 MERIDIAN AVE","OXNARD","CA","93035","Yes","805 832-2453","2017-02-02T00:00:00.000","109896","23-119288","2022-09-30T00:00:00.000","MOAT, RICHARD SEAN","4250 MERIDIAN AVE",,"OXNARD","CA","93035","S","4250 MERIDIAN AVE
OXNARD, CA 93035
(34.177889, -119.228657)"
"CONTRACTOR LOC INSIDE CITY",,"BAEZ PLASTERING EXPRESSIONS IN","3501 LAS TUNAS PL","OXNARD","CA","93033","Yes","805 487-6432","2007-10-01T00:00:00.000","93662","23-095229","2022-09-30T00:00:00.000","BAEZ PLASTERING EXPRESSIONS IN","3501 LAS TUNAS PL",,"OXNARD","CA","93033","C","3501 LAS TUNAS PL
OXNARD, CA 93033
(34.167472, -119.169487)"
"MOBILE WASH/DETAIL",,"ALEJO CARWASH","1301 EDGEWOOD WAY","OXNARD","CA","93030","Yes","805 940-8560","2019-10-12T00:00:00.000","113374","23-124579","2022-09-30T00:00:00.000","RAMOS, SANTIAGO ALEJO","1301 EDGEWOOD WAY APT 201",,"OXNARD","CA","93030","S","1301 EDGEWOOD WAY
OXNARD, CA 93030
(34.212503, -119.192461)"
"CONTRACTOR LOC OUTSIDE CITY",,"UNISTRUT INTERNATIONAL CORPORA","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","800 468-9510","2021-10-19T00:00:00.000","116036","23-128810","2022-09-30T00:00:00.000","UNISTRUT INTERNATIONAL CORP","2171 EXECUTIVE DR SUITE 100",,"ADDISON","IL","60101","C",
"CONTRACTOR LOC OUTSIDE CITY",,"GREENCAT INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","862 281-5038","2021-10-01T00:00:00.000","116047","23-128833","2022-09-30T00:00:00.000","GREENCAT INC","14101 PONTLAVOY AVE",,"SANTA FE SPRINGS","CA","90670","C",
"CONTRACTOR LOC OUTSIDE CITY",,"MY WINDOW SOLUTIONS, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 499-9111","2011-07-15T00:00:00.000","98137","23-111615","2023-01-31T00:00:00.000","MY WINDOW SOLUTIONS, INC","3537 OLD CONEJO RD SUITE 117",,"NEWBURY PARK","CA","91320","C",
"APARTMENT COMPLEX/RESIDENTAIL RENTAL-EX","4","JOSEPH WANG","2022 N VENTURA RD","OXNARD","CA","93036","Yes","818 522-2333","2012-10-17T00:00:00.000","100846","23-105763","2022-10-31T00:00:00.000","WANG, JOSEPH","867 CORTE LA CIENAGA",,"CAMARILLO","CA","93010","S","2022 N VENTURA RD
OXNARD, CA 93036
(34.221671, -119.19451)"
"INTERNET BUSINESS (PROF OR RETAIL)",,"BLOOMING CANVAS","550 FOREST PARK BLVD","OXNARD","CA","93036","Yes","619 707-9826","2022-03-21T00:00:00.000","116630","23-129728","2023-02-28T00:00:00.000","HOLLEN, JOSEPH MICHAEL ET AL","550 FOREST PARK BLVD APT 212B",,"OXNARD","CA","93036","P","550 FOREST PARK BLVD
OXNARD, CA 93036
(34.243226, -119.17544)"
"APARTMENT COMPLEX/RESIDENTAIL RENTAL-EX","4","MARIA M JOHNSON","5325 DRIFTWOOD ST","OXNARD","CA","93035","Yes","805 522-5850","2014-10-22T00:00:00.000","106047","23-113460","2022-09-30T00:00:00.000","JOHNSON, MARIA M","PO BOX 1963",,"SIMI VALLEY","CA","93062","S","5325 DRIFTWOOD ST
OXNARD, CA 93035
(34.195589, -119.243539)"
"CONTRACTOR LOC OUTSIDE CITY",,"RAYCO SEC LOSS PREV SYSTMS,INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","818 779-0900","1999-10-19T00:00:00.000","59851","23-053227","2022-09-30T00:00:00.000","RAYCO SEC LOSS PREV SYSTMS,INC","7748 GLORIA AV",,"VAN NUYS","CA","91406-1819","C",
"MARTIAL ARTS",,"CMA ACADEMY","3000 PASEO MERCADO","OXNARD","CA","93036","Yes","805 340-4084","2015-01-03T00:00:00.000","104637","23-120731","2022-11-30T00:00:00.000","CASILLAS, GRACIELA","639 PASEO MARGARITA",,"OXNARD","CA","93030","S","3000 PASEO
MERCADO OXNARD, CA 93036"
"CONTRACTOR LOC OUTSIDE CITY",,"MJ HELLMUTH PLUMBING, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","661 252-7771","2013-02-19T00:00:00.000","101266","23-128228","2023-06-30T00:00:00.000","MJ HELLMUTH PLUMBING, INC","16835 SIERRA HWY",,"CANYON COUNTRY","CA","91351","C",
"MOBILE LOCKSMITH",,"VENTURA LOCKSMITHS","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 643-3133","2007-11-15T00:00:00.000","91095","23-091521","2022-10-31T00:00:00.000","MELENDEZ, DANIEL","901 E MAIN ST",,"VENTURA","CA","93001","S",
"WHOLESALE SALES",,"BAR-S FOODS CO","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","323 589-3600","2018-09-01T00:00:00.000","111580","23-121906","2022-09-30T00:00:00.000","BAR-S FOODS CO","5090 N 40TH ST STE 300",,"PHOENIX","AZ","85018","C",
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","16","MCKINNON APARTMENTS","710 CUESTA DEL MAR DR","OXNARD","CA","93033","Yes","805 385-5600","2000-12-01T00:00:00.000","4058","23-002398","2022-11-30T00:00:00.000","MCKINNON, WILLIAM,ET AL","C/O LUNDE & LOPEZ","4111 SAVIERS RD","OXNARD","CA","93033","S","710 CUESTA DEL MAR DR
OXNARD, CA 93033
(34.148863, -119.185323)"
"DENTIST",,"ISLAND VISTA DENTAL","451 W GONZALES RD","OXNARD","CA","93036","Yes","805 988-4050","1990-01-26T00:00:00.000","20428","23-023636","2022-12-31T00:00:00.000","VAN BLARGEN DDS, TRACY C","451 W GONZALES RD #360",,"OXNARD","CA","93030","C","451 W GONZALES RD
OXNARD, CA 93036
(34.219179, -119.181712)"
"REGISTERED NON-PROFIT",,"COMMUNITY BIBLE MISSION CHURCH","1500 MARINER DR","OXNARD","CA","93033","Yes","805 486-9489","2004-01-21T00:00:00.000","79168","23-076042","2022-11-30T00:00:00.000","COMMUNITY BIBLE MISSION CHURCH","1500 MARINER DR #L",,"OXNARD","CA","93033","C","1500 MARINER DR
OXNARD, CA 93033
(34.186283, -119.167042)"
"COMMERCIAL PROPERTY OWNER/SUB LEASING-BR",,"MOUNTAIN VIEW INDUSTRIAL CTR","911 MOUNTAIN VIEW AVE","OXNARD","CA","93030","Yes","805 487-0632","2018-10-30T00:00:00.000","111502","23-121798","2022-09-30T00:00:00.000","KUBISKE, DOUGLAS ET AL","750 S B ST",,"OXNARD","CA","93030","S","911 MOUNTAIN VIEW AVE
OXNARD, CA 93030
(34.193504, -119.169189)"
"MFG,PROCESS,PACK,ASSEMBLE OR FABRICATION",,"AMORETTI","451 S LOMBARD ST","OXNARD","CA","93030","Yes","805 983-2903","2006-11-27T00:00:00.000","89022","23-088536","2022-10-31T00:00:00.000","NOUSHIG INC","451 S LOMBARD ST",,"OXNARD","CA","93030","C","451 S LOMBARD ST
OXNARD, CA 93030
(34.197742, -119.149111)"
"RETAIL SALES",,"ZUMAR INDUSTRIES INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","562 941-4633","2016-07-01T00:00:00.000","107402","23-115479","2023-06-30T00:00:00.000","ZUMAR INDUSTRIES INC","12015 STEELE ST SO",,"TACOMA","WA","98444","C",
"CONTRACTOR LOC OUTSIDE CITY",,"MARZOLA CONSTRUCTION CO, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","714 522-8909","2011-04-20T00:00:00.000","97557","23-126696","2022-09-30T00:00:00.000","MARZOLA CONSTRUCTION CO INC","17025 INDUSTRY PL",,"LA MIRADA","CA","90638","C",
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"HENRY VELASQUEZ TAX SERVICE","3645 SAVIERS RD","OXNARD","CA","93033","Yes","805 486-5560","2006-02-09T00:00:00.000","86989","23-120871","2023-01-31T00:00:00.000","HDV FINANCIAL INC","3645 SAVIERS RD #16",,"OXNARD","CA","93033","C","3645 SAVIERS RD
OXNARD, CA 93033
(34.16618, -119.177725)"
"OTHER SPECIALTIES",,"OCTAVIO'S HOUSE DECOR","1649 PACIFIC AVE","OXNARD","CA","93033","Yes","805 890-0582","2005-07-22T00:00:00.000","85719","23-096572","2023-06-30T00:00:00.000","PINEDA DAVILA, OCTAVIO","1301 COMMERCIAL AV #16",,"OXNARD","CA","93030","S","1649 PACIFIC AVE
OXNARD, CA 93033
(34.183216, -119.165174)"
"CONTRACTOR LOC OUTSIDE CITY",,"KENNCO PLUMBING INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","661 251-5366","2012-06-04T00:00:00.000","99848","23-126110","2023-05-31T00:00:00.000","KENNCO PLUMBING INC","26575 RUETHER AVE",,"SANTA CLARITA","CA","91350","C",
"CONTRACTOR LOC OUTSIDE CITY",,"CLOSETS BY DESIGN, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","562 699-9945","2020-01-01T00:00:00.000","114370","24-126421","2023-08-31T00:00:00.000","CLOSETS BY DESIGN, INC","3860 CAPITOL AVE",,"WHITTIER","CA","90601","C",
"GARDENING/LANDSCAPING",,"JM LANDSCAPE","235 E GUAVA ST","OXNARD","CA","93033","Yes","805 947-7494","2008-10-20T00:00:00.000","92909","23-094172","2022-09-30T00:00:00.000","ARIAS JR, MANUEL","235 E GUAVA ST",,"OXNARD","CA","93033","S","235 E GUAVA ST
OXNARD, CA 93033
(34.181061, -119.175417)"
"CONTRACTOR LOC OUTSIDE CITY",,"ANAHEIM REFRIGERATION,INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","714 328-8085","2011-11-21T00:00:00.000","98998","23-130517","2023-06-30T00:00:00.000","ANAHEIM REFRIGERATION,INC","3309 E MIRALOMA AVE #101",,"ANAHEIM","CA","92806","C",
"CONTRACTOR LOC OUTSIDE CITY",,"CONSTRUCTION DOORS & HARDWARE","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 499-3239","2020-12-01T00:00:00.000","114910","23-126866","2022-10-31T00:00:00.000","CDH, INC","2393 TELLER RD #105",,"NEWBURY PARK","CA","91320","C",
"CONTRACTOR LOC OUTSIDE CITY",,"SAFE & SOUND SYSTEMS INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 889-5569","2003-11-06T00:00:00.000","78319","23-075055","2022-10-31T00:00:00.000","SAFE & SOUND SYSTEMS INC","18545 TOPHAM ST STE G",,"RESEDA","CA","91335-6880","C",
"INTERNET BUSINESS (PROFESSIONAL)",,"ZUVIAM LLC","1920 LINDBERGH DR","OXNARD","CA","93033","Yes","775 223-6046","2017-07-25T00:00:00.000","109408","23-118540","2023-06-30T00:00:00.000","ZUVIAM LLC","1920 LINDBERGH DR",,"OXNARD","CA","93033","C","1920 LINDBERGH DR
OXNARD, CA 93033
(34.180902, -119.149839)"
"CONTRACTOR LOC OUTSIDE CITY",,"YOUR WATER HEATER COMPANY, LLC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","661 255-9493","2022-06-10T00:00:00.000","117218","23-130649","2023-05-31T00:00:00.000","YOUR WATER HEATER COMPANY,LLC","27866 WAKEFIELD RD",,"CASTAIC","CA","91384","LL",
"HANDYMAN - NO STATE LICENSE",,"MANUEL HANDYMAN","240 BALSAM ST","OXNARD","CA","93030","Yes","805 718-3092","2022-08-09T00:00:00.000","117322","24-130796","2023-07-31T00:00:00.000","MENDOZA, MANUEL V","240 BALSAM ST",,"OXNARD","CA","93030","S","240 BALSAM ST
OXNARD, CA 93030
(34.203964, -119.158012)"
"COMMERCIAL PROPERTY OWNER/SUB-LEASING",,"CONTINENTAL PROPERTY","2608 S VENTURA RD","OXNARD","CA","93033","Yes","818 705-4040","2003-10-06T00:00:00.000","77916","23-074587","2022-09-30T00:00:00.000","SHAMOLIAN, HOMAYOON JOHN","PMB #423","17328 VENTURA BL","ENCINO","CA","91316-3904","S","2608 S VENTURA RD
OXNARD, CA 93033
(34.175416, -119.194909)"
"CATERING TRUCK/VEHICLE (T-4)",,"TACOS MICHOACAN","921 RICHMOND AVE","OXNARD","CA","93030","Yes","805 754-1854","2012-11-04T00:00:00.000","100752","23-105618","2022-10-31T00:00:00.000","CARMONA LEYVA, EVELIA","1300 E PLEASANT VALLEY RD #7",,"OXNARD","CA","93033","S","921 RICHMOND AVE
OXNARD, CA 93030
(34.192071, -119.169592)"
"MOBILE WASH/DETAIL",,"JOSE MATEO ROSALES","301 CAMPBELL WAY","OXNARD","CA","93033","Yes","805 366-9171","2022-07-05T00:00:00.000","117136","23-130518","2023-06-30T00:00:00.000","ROSALES,JOSE M.","301 CAMPBELL WAY APT 1",,"OXNARD","CA","93033","S","301 CAMPBELL WAY
OXNARD, CA 93033
(34.152803, -119.180179)"
"REGISTERED NON-PROFIT",,"BOYS & GIRLS CLUB OF OXNARD","126 E SEVENTH ST","OXNARD","CA","93030","Yes","805 488-5717","1990-01-24T00:00:00.000","20409","23-009078","2022-12-31T00:00:00.000","BOYS & GIRLS CLUB OF OXNARD","1900 W FIFTH ST",,"OXNARD","CA","93030-6596","C","126 E SEVENTH ST
OXNARD, CA 93030
(34.195013, -119.17655)"
