"title","artist","medium","suburb","date","commissioned_details","aquisition_details","description","longitude"
"Narrabundah: A Site Marker","Andrew Townsend and Suzie Bleach","Wood and steel","North Canberra","1998","artsACT",,"The artists have created an ambient seating area with mosaic like tile inserts and a metal weather vane of a hawk, the sun and the moon. The work refers to the suburb's name of 'Narrabundah' a local aboriginal name for 'small hawk'.","(-35.332792, 149.15406)"
"Patria es Humanidad (Our Country is Humanity)","Nelson Dominguez Cedeño (with the support of local artist Geoff FarquharStill)","Steel, gravel, stone","Civic","2013",,"Donated by the Republic of Cuba","Rising from its base of gravel and stone, the peg symbolises the connections, unity and solidarity of the human family. Supported by the peg is a planet where ethnicities, cultures and religions, despite their differences, merge together in the essence of our human existence.","(-35.276946, 149.126025)"
"Here and Now","Anna Eggert","Stainless steel mesh","Civic","2011","artsACT",,"Comprising eight figures made of an architectural steel mesh, installed in a group of three and a group of five. Dynamic moire patterns are created through the layering of mesh and light.","(-35.283037, 149.125694)"
"Ebb and Flow","Matthew Harding","Stainless Steel","Civic","2010","artsACT",,"The tall mirrored forms of Ebb and Flow draw in and reflect back the movement and colour of one of Canberra's busiest urban streets. The sculpture appears to be made of liquid and light. It floats stationary, offering a moment of reflection amidst the busy stream of the day.","(-35.277577, 149.131733)"
"Dancers on a Lakefront","Konstantin Dimopoulos","Composite rods, steel","Belconnen","2010","artsACT",,"Dancers on a Lakefront draws inspiration from the native reeds and rushes that stretch along the perimeter of Lake Ginninderra.","(-35.236072, 149.06794)"
"Untitled (Keiko AmenomoriSchmeisser, 1999)","Keiko AmenomoriSchmeisser","Etched ink on screen","Civic","1999","artsACT",,"Keiko AmenomoriSchmeisser's etched ink design adds texture to the outdoor projection screen in Garema Place.","(-35.278464, 149.131641)"
"Sky Shard Above the In Between","Jon Tarry","Steel and paint","Civic","2011","artsACT",,"A folded form balanced on a point, painted blue. The artwork amplifies and gives form to the architectural forms of the building on one side and of the sculpture and the natural forms of the trees on the other.","(-35.27698, 149.128049)"
"Harmonies","Jennifer Jones and Phillip Nizette","Stainless steel","Belconnen","2008","artsACT",,"Harmonies is a sculptural site marker that pays homage to Australia’s musical heritage by celebrating Dame Nellie Melba.","(-35.2083, 149.048759)"
"bush pack (nil tenure)","Amanda Stuart","Bronze","Civic","2011","artsACT",,"A series of seven lifesize dogs in City Walk running the three groups towards the Civic Carousel. The dogs symbolise the intersection and tensions between the wild and domestic, the rural and the urban space and animals and humans.","(-35.279272, 149.131883)"
"Untitled (Frank Hinder, 1963)","Frank Hinder","Glass mosaic ceiling.","Civic","1963","artsACT",,"This work by the renowned modernist artist Frank Hinder is one of the most subtle artworks in the city centre. Created as part of the building, the vaulted tiled ceiling is a remarkable blend of form, tone and colour. Monaro Mall established this precinct as a hub of retail activity in Civic from the early 1960s.","(-35.279976, 149.132464)"
"Culture Fragment","David Jensz","100mm copper elbows and pipe, filled with cement grout","Woden","2012","artsACT",,"By weaving the elements of his work together, David explores individual threads that collectively produce a “social fabric”. As a community we are all connected, our sense of separateness is only a question of degree.","(-35.343638, 149.08525)"
"Sculptured Form","Margel Hinder","Aluminium","Woden","1970","artsACT",,"This work was the winner of a competition that invited artists to represent the ‘metamorphosis of a typical natural Australian environment into complex development for urban use’. Hinder has created a commanding, beautifully fluid, plump work that belies its materials. By polishing the aluminum surface to a soft patina, and allowing it to bulge around the middle, the sculpture resembles a large soft heart, appearing to be made of several chambers but actually one connected and vital whole.","(-35.344617, 149.085837)"
"Alfred Deakin, A Life in Three Phases","Martin Moore","Bronze","South Canberra","2010","artsACT",,"The artwork is a single bust, created from three separate heads that have been ‘cut’ into pieces and reassembled, creating a work which is stable, robust and visually engaging from all angles. The three heads are representative of three distinct periods of Alfred Deakin’s life:","(-35.314558, 149.108014)"
"The View From Here","David Watt","Wood and acrylic paint","Tuggeranong","1998","artsACT",,"The artist is renowned for a series of relief artworks redepicting illustrations from the ‘World Book of Knowledge'.","(-35.410039, 149.067307)"
"Mal Meninga","Cathy Weiszmann","Bronze","Belconnen","2009","artsACT",,"This sculpture signifies the outstanding contribution Mal Meninga AM has made to Rugby League.","(-35.249365, 149.101715)"
"Ethos","Tom Bass","Copper","Civic","1961","artsACT",,"Ethos was the first work of art commissioned by the National Capital Development Commission (NCDC) for a public place in Canberra and was cosponsored by the Canberra Chamber of Commerce. The work is listed on the ACT Heritage Objects Register.","(-35.281273, 149.131162)"
"Untitled (Andrew Townsend and Suzie Bleach, 2000)","Andrew Townsend and Suzie Bleach",,"North Canberra","2000","Education and Training Directorate",,"Four large silhouettes are suspended above Koomari indoor pool: a person, a comet, a ring and a flower. The sculpture and its reflections create a unique experience for those that use the pool. The sculpture also works as a sound dampener in the pool area.","(-35.264797, 149.112242)"
"Life Cycle","David Jensz","Stainless steel, stone","Civic","2010","artsACT",,"Life Cycle employs the basic materials of stone and steel to create a form that is both supple and organic. The double spiral of tightly packed stones is a visual metaphor for a life crammed full of experience. Through his work the sculptor uses elemental materials and abstract geometry to explore spiritual and cosmic concepts.","(-35.279112, 149.133149)"
"Illumicube","Kerry Simpson","Glass and movement activated lighting","Civic","1988","artsACT",,"This work was presented to the people of Canberra to commemorate 25 years of electricity supply. The colour of the light originally changed in response to sound. With more people now living in the city centre, the sound feature has been deactivated to stop the cacophony of car horns late at night.","(-35.27951, 149.135306)"
"Canberra Centenary Column","Geoff FarquharStill","Stainless steel, granite, glass tiles","Civic","2014","artsACT",,"The $200,000 obelisk, which features a time capsule, was a centenary gift to the city from Canberra CBD Limited.","(-35.281435, 149.129207)"
"Relic","Rick Amor","Bronze","Civic","2007","artsACT",,"Relic is a bronze sentinal, an ancient figure borne from distant memory, standing at a nexus of both time and place. Located at the edge of the city and watching over a seat of learning, the sculpture evokes both power and purpose. Relic was the winner of the prestigious McClelland Sculpture Prize in 2007.","(-35.27903, 149.123661)"
"Red and Blue","Inge King","Polychrome steel","Civic","2008",,"artsACT","This sculpture uses an abstract language of colour, form, volume and plane to create a sense of tension and quiet strength. The artist has made a significant contribution to the development of Australian modern sculpture and has been exhibiting for close to 60 years.","(-35.279112, 149.127419)"
"Longitude","Matthew Harding","Australian Granite","Civic","2012","artsACT",,"Longitude is a figurative artwork in keeping with the established themes and uses of Veterans Park. The artist takes up the concept of emotional separation that service personnel and their families experience during periods of active duty, a theme suggested during the community consultation.","(-35.277025, 149.130253)"
"New Blood (Gateway Artwork)","Paloma Ramos","Painted steel","Belconnen","1996","artsACT",,"New Blood is a welcoming and dynamic gateway to Kippax Library, it celebrates energy, movement and colour.","(-35.222105, 149.01924)"
"Soccer Players","Bev Hogg, Elizabeth Patterson and Mike McGregor","Stainless steel armature with a coloured concrete shell","Belconnen","2011","artsACT",,"Commissioned by the Village Building Company, this artwork consists of three lifesize children playing a game of soccer.","(-35.21747, 149.00236)"
"On the Staircase","Keld Moseholm","Bronze, copper","Civic","2009",,,"This bronze and copper sculpture contrasts a series of small human forms with the architectural weight of an oversized staircase. The artwork has a philosophical aspect by reflecting on the effect of reading on the spirit  'the more I read the smaller I feel'.","(-35.27944, 149.13227)"
"Casuarina Pods","Matthew Harding","Bronze","Civic","2001","artsACT",,"In a gully where a creek used to run, three overgrown Casuarina seed pods appear to have dropped out of a grove of Casuarina trees and to be rolling down the grassy slope. At night the seed pods are lit from within by a gentle fibre optic light.","(-35.282289, 149.133792)"
"Cushion","Matthew Harding","Stainless steel, polished granite wedge plinth  steel inlayed poetry pages","Civic","2001","artsACT",,"People can often be seen lounging in this large stainless steel cushion which is one of the most popular artworks in the city centre. A poem by Marion Halligan lies on on scattered pages on the granite plinth below the cushion to form a tribute to Garema Place.","(-35.27866, 149.131819)"
"Thespis","Robert Cook","Bronze","Civic","1965","Cultural Facilities Corporation",,"This work has recently been relocated to the refurbished foyer of the Canberra Theatre Centre. Thespis was the legendary originator of Greek tragedy.","(-35.281521, 149.130096)"
"Tree of Knowledge","Peter Latona","Bronze, stone","South Canberra","2010","artsACT",,"This sculpture honours Australian writers and the part played by landscape in our literature. The streets of Garran are named after Australian writers and members of the Garran family. Local stone forms the base of this cast bronze sculpture which reflects playfully on relationships between human knowledge and our native landscape.","(-35.342358, 149.10874)"
"Moth Ascending the Capital","Alexander Knox","Painted steel plates","Tuggeranong","2012","artsACT",,"Moth Ascending the Capital is a sculptural work by Alexander Knox designed to evoke the image of a bogong moth bursting into flight.","(-35.391987, 149.069471)"
"Two Legged Marsupial","Geoffrey Bartlett","Nickelplated brass, copper, Ironbark (Euc sp.","Civic","2003","artsACT",,"Two Legged Marsupial is one of two indoor public art sculptures by Geoffrey Bartlett located within the ACT Magistrates Court.","(-35.280349, 149.127908)"
"Vessel of (Horti)cultural Plenty","Warren Langley","Galvanised steel, polycarbonate, LED lights","Civic","2009","artsACT",,"The Vessel holds abstracted flowers that are illuminated at night and move with the breeze.","(-35.276918, 149.126398)"
"Crossing","Wendy Mills","Stainless steel, paint and acrylic","Civic","2001","artsACT",,"The Coranderrk Street bridge forms a gateway from the Canberra Institute of Technology to the city. Crossing, which is located on the bridge pillars, symbolises the flow of energy generated by traffic, both pedestrian and vehicular. This artwork is best viewed at night.","(-35.285792, 149.134619)"
"Poet's Corner","Cathy Weiszmann","Bronze and Granite","Civic","2012","artsACT",,"Poet's Corner is a collection of three bronze busts by Cathy Weiszmann of Canberra focussed Australian poets Judith Wright, A.D. Hope and David Campbell.","(-35.27866, 149.131819)"
"Wind Sculpture","Ernst Fries","Stainless steel and painted steel","Civic","1981","artsACT",,"This work is a fine example of a style of kinetic sculpture popular through the late 1970’s. It marks the entry to 'the Boulevard' development which was anticipated to be an international retail precinct for Canberra. Whilst the Boulevard never fulfilled this promise, the first floor open air plaza is a fascinating example of 1970’s planning for public space.","(-35.281632, 149.133423)"
"Laserwrap","Geoffrey DrakeBrockman and Richie Kuhaupt","20 x 120 meter 532nm (green) lasers with 30degree spreader lenses in motorised projector boxes","Civic","2004","artsACT",,"Laserwrap projects a dynamic matrix of light onto the ACT Health Building. Transformed by the shifting laser light the concrete building appears to gently shift in its moorings. The work is activated approximately one hour after sunset.","(-35.27794, 149.127324)"
"Fused Glass","Klaus Moje","Fused glass","Civic","1998","artsACT",,"This work was designed for the ACT Legislative Assembly foyer. The artist states that Colour is used as a universal language to convey a sense of energy and force associated with this place of decision making.... (Klaus Moje","(-35.28045, 149.131465)"
