"year","region","category","topic","indicator","age","sex","result","unit","_95_ci_l","_95_ci_u","se","rse_25","notes","sex_indicator","year_sex","sex_year"
"2019","ACT","Health","Disability","Disability, health condition or injury","18+","Female","22.7","Per cent","19.7","25.9","1.6",,,"Female _ Disability, health condition or injury","2019 Female","Female 2019"
"2020","ACT","Health","Disability","Disability, health condition or injury","18+","Female","23.1","Per cent","19","27.8","2.3",,,"Female _ Disability, health condition or injury","2020 Female","Female 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Person","7.8","Number","7.7","7.9","0.1",,,"Person _ Average scale score","2019 Person","Person 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Person","7.8","Number","7.7","7.9","0.1",,,"Person _ Average scale score","2020 Person","Person 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Male","7.9","Number","7.7","8","0.1",,,"Male _ Average scale score","2019 Male","Male 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Male","7.8","Number","7.6","7.9","0.1",,,"Male _ Average scale score","2020 Male","Male 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Female","7.7","Number","7.6","7.9","0.1",,,"Female _ Average scale score","2019 Female","Female 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","18+","Female","7.8","Number","7.6","8","0.1",,,"Female _ Average scale score","2020 Female","Female 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","18 to 24","Person","7.3","Number","7","7.7","0.2",,,"18 to 24 _ Average scale score","2019 Person","Person 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","18 to 24","Person","7.2","Number","6.8","7.6","0.2",,,"18 to 24 _ Average scale score","2020 Person","Person 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","25 to 44","Person","7.8","Number","7.6","8","0.1",,,"25 to 44 _ Average scale score","2019 Person","Person 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","25 to 44","Person","7.8","Number","7.6","8","0.1",,,"25 to 44 _ Average scale score","2020 Person","Person 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","45 to 64","Person","7.8","Number","7.7","8","0.1",,,"45 to 64 _ Average scale score","2019 Person","Person 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","45 to 64","Person","7.9","Number","7.7","8","0.1",,,"45 to 64 _ Average scale score","2020 Person","Person 2020"
"2019","ACT","Wellbeing","Life satisfaction","Average scale score","65+","Person","8.1","Number","7.9","8.2","0.2",,,"65+ _ Average scale score","2019 Person","Person 2019"
"2020","ACT","Wellbeing","Life satisfaction","Average scale score","65+","Person","7.9","Number","7.6","8.3","0.2",,,"65+ _ Average scale score","2020 Person","Person 2020"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","18+","Persons","76","Number","75.2","76.8","0.4",,,"Persons _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","18+","Males","76.8","Number","75.8","77.9","0.5",,,"Males _ Average scale score","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","18+","Females","75.3","Number","74.2","76.5","0.6",,,"Females _ Average scale score","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","18 to 24","Persons","75.4","Number","73.1","77.7","1.2",,,"18 to 24 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","25 to 44","Persons","74.9","Number","73.5","76.3","0.7",,,"25 to 44 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","45 to 64","Persons","76","Number","74.7","77.3","0.7",,,"45 to 64 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Personal wellbeing index","Average scale score","65+","Persons","79.4","Number","78.1","80.6","0.6",,,"65+ _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","18+","Persons","6.5","Number","6.4","6.6","0",,,"Persons _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","18+","Males","6.6","Number","6.5","6.7","0.1",,,"Males _ Average scale score","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","18+","Females","6.4","Number","6.3","6.5","0.1",,,"Females _ Average scale score","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","18 to 24","Persons","6.6","Number","6.3","6.9","0.1",,,"18 to 24 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","25 to 44","Persons","6.4","Number","6.2","6.5","0.1",,,"25 to 44 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","45 to 64","Persons","6.7","Number","6.5","6.8","0.1",,,"45 to 64 _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Resilience","Average scale score","65+","Persons","6.5","Number","6.4","6.7","0.1",,,"65+ _ Average scale score","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","18+","Persons","93.7","Per cent","92.1","95","0.7",,,"Persons _ 1. Could ask for advice","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","18+","Persons","91.4","Per cent","89.7","92.9","0.8",,,"Persons _ 2. Could ask for emotional support","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","18+","Persons","93.5","Per cent","91.8","94.9","0.8",,,"Persons _ 3. Could ask for help when ill/injured","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","18+","Persons","88.8","Per cent","86.7","90.5","1",,,"Persons _ 4. Could ask for help with family or work","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","18+","Persons","86.3","Per cent","84.2","88.2","1",,,"Persons _ 5. Could ask for money, accommodation/food","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","18+","Males","92.8","Per cent","90","94.9","1.2",,,"Males _ 1. Could ask for advice","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","18+","Males","91.7","Per cent","89.1","93.7","1.2",,,"Males _ 2. Could ask for emotional support","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","18+","Males","94.4","Per cent","91.7","96.2","1.1",,,"Males _ 3. Could ask for help when ill/injured","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","18+","Males","89.1","Per cent","85.9","91.6","1.4",,,"Males _ 4. Could ask for help with family or work","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","18+","Males","83.9","Per cent","80.3","86.9","1.7",,,"Males _ 5. Could ask for money, accommodation/food","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","18+","Females","94.5","Per cent","92.5","95.9","0.9",,,"Females _ 1. Could ask for advice","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","18+","Females","91.1","Per cent","88.6","93.1","1.1",,,"Females _ 2. Could ask for emotional support","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","18+","Females","92.8","Per cent","90.5","94.6","1.1",,,"Females _ 3. Could ask for help when ill/injured","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","18+","Females","88.4","Per cent","85.6","90.7","1.3",,,"Females _ 4. Could ask for help with family or work","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","18+","Females","88.6","Per cent","86","90.8","1.2",,,"Females _ 5. Could ask for money, accommodation/food","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","18 to 24","Persons","94.2","Per cent","83.2","98.2","3.3",,,"18 to 24 _ 1. Could ask for advice","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","18 to 24","Persons","95.8","Per cent","87.5","98.7","2.4",,,"18 to 24 _ 2. Could ask for emotional support","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","18 to 24","Persons","93.2","Per cent","82.7","97.6","3.4",,,"18 to 24 _ 3. Could ask for help when ill/injured","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","18 to 24","Persons","91.1","Per cent","80.1","96.3","3.9",,,"18 to 24 _ 4. Could ask for help with family or work","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","18 to 24","Persons","91","Per cent","80.5","96.1","3.7",,,"18 to 24 _ 5. Could ask for money, accommodation/food","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","25 to 44","Persons","96","Per cent","93.5","97.6","1",,,"25 to 44 _ 1. Could ask for advice","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","25 to 44","Persons","92.8","Per cent","89.8","95","1.3",,,"25 to 44 _ 2. Could ask for emotional support","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","25 to 44","Persons","94.3","Per cent","91.5","96.2","1.2",,,"25 to 44 _ 3. Could ask for help when ill/injured","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","25 to 44","Persons","89.4","Per cent","85.8","92.2","1.6",,,"25 to 44 _ 4. Could ask for help with family or work","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","25 to 44","Persons","88.5","Per cent","84.8","91.4","1.7",,,"25 to 44 _ 5. Could ask for money, accommodation/food","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","45 to 64","Persons","92.3","Per cent","89.6","94.4","1.2",,,"45 to 64 _ 1. Could ask for advice","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","45 to 64","Persons","91.1","Per cent","88.3","93.3","1.3",,,"45 to 64 _ 2. Could ask for emotional support","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","45 to 64","Persons","93.6","Per cent","91","95.5","1.1",,,"45 to 64 _ 3. Could ask for help when ill/injured","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","45 to 64","Persons","87","Per cent","83.9","89.6","1.5",,,"45 to 64 _ 4. Could ask for help with family or work","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","45 to 64","Persons","86.2","Per cent","83","88.8","1.5",,,"45 to 64 _ 5. Could ask for money, accommodation/food","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","1. Could ask for advice","65+","Persons","89.6","Per cent","85.7","92.5","1.7",,,"65+ _ 1. Could ask for advice","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","2. Could ask for emotional support","65+","Persons","85.4","Per cent","81","88.9","2",,,"65+ _ 2. Could ask for emotional support","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","3. Could ask for help when ill/injured","65+","Persons","91.5","Per cent","87.6","94.3","1.7",,,"65+ _ 3. Could ask for help when ill/injured","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","4. Could ask for help with family or work","65+","Persons","88.4","Per cent","84.8","91.2","1.6",,,"65+ _ 4. Could ask for help with family or work","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Support in a time of crisis","5. Could ask for money, accommodation/food","65+","Persons","77.1","Per cent","72.3","81.3","2.3",,,"65+ _ 5. Could ask for money, accommodation/food","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","18+","Persons","69.9","Per cent","67.1","72.6","1.4",,,"Persons _ 1. Very safe/safe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","18+","Persons","17.5","Per cent","15.3","19.9","1.2",,,"Persons _ 2. Neither safe or unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","18+","Persons","12.6","Per cent","10.9","14.6","1",,,"Persons _ 3. Unsafe/very unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","18+","Males","86.8","Per cent","83.4","89.7","1.6",,,"Males _ 1. Very safe/safe","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","18+","Males","8.5","Per cent","6.3","11.5","1.3",,,"Males _ 2. Neither safe or unsafe","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","18+","Males","4.6","Per cent","3","7.1","1",,,"Males _ 3. Unsafe/very unsafe","2019 Males","Males 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","18+","Females","52.4","Per cent","48.3","56.5","2.1",,,"Females _ 1. Very safe/safe","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","18+","Females","26.6","Per cent","23","30.5","1.9",,,"Females _ 2. Neither safe or unsafe","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","18+","Females","21","Per cent","18","24.3","1.6",,,"Females _ 3. Unsafe/very unsafe","2019 Females","Females 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","18 to 24","Persons","70.5","Per cent","58.3","80.4","5.7",,,"18 to 24 _ 1. Very safe/safe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","18 to 24","Persons",,"Per cent",,,,,"Not published","18 to 24 _ 2. Neither safe or unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","18 to 24","Persons",,"Per cent",,,,,"Not published","18 to 24 _ 3. Unsafe/very unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","25 to 44","Persons","69.9","Per cent","65.2","74.3","2.3",,,"25 to 44 _ 1. Very safe/safe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","25 to 44","Persons","18.5","Per cent","14.8","22.9","2",,,"25 to 44 _ 2. Neither safe or unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","25 to 44","Persons","11.5","Per cent","8.9","14.9","1.5",,,"25 to 44 _ 3. Unsafe/very unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","45 to 64","Persons","71.6","Per cent","67.8","75.2","1.9",,,"45 to 64 _ 1. Very safe/safe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","45 to 64","Persons","17.8","Per cent","14.9","21.3","1.6",,,"45 to 64 _ 2. Neither safe or unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","45 to 64","Persons","10.6","Per cent","8.4","13.2","1.2",,,"45 to 64 _ 3. Unsafe/very unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","1. Very safe/safe","65+","Persons","65.7","Per cent","60.8","70.3","2.4",,,"65+ _ 1. Very safe/safe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","2. Neither safe or unsafe","65+","Persons","13.1","Per cent","10.2","16.8","1.7",,,"65+ _ 2. Neither safe or unsafe","2019 Persons","Persons 2019"
"2019","ACT","Wellbeing","Feels safe after dark","3. Unsafe/very unsafe","65+","Persons","21.2","Per cent","17.3","25.6","2.1",,,"65+ _ 3. Unsafe/very unsafe","2019 Persons","Persons 2019"
"2018","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Person","10.5","Per cent","6.5","16.5","2.5",,,"Person _ Teeth affect the type of food they eat","2018 Person","Person 2018"
"2020","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Person","8","Per cent","6.1","10.5","1.1",,,"Person _ Teeth affect the type of food they eat","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Person","83.6","Per cent","78","88","2.6",,,"Person _ 1. < 12 months","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Person","74.8","Per cent","70.6","78.5","2",,,"Person _ 1. < 12 months","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Person","10.1","Per cent","6.8","14.8","2",,,"Person _ 2. 1yr to <2 yrs","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Person","16.7","Per cent","14","19.8","1.5",,,"Person _ 2. 1yr to <2 yrs","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 3. 2 yrs to <10 yrs","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Person","5.7","Per cent","3.2","9.8","1.6","28.7",,"Person _ 3. 2 yrs to <10 yrs","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 4. 10 yrs or more or never","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Person","2.9","Per cent","1.9","4.4","0.6",,,"Person _ 4. 10 yrs or more or never","2020 Person","Person 2020"
"2018","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Male","11.7","Per cent","5.8","22.2","4","34.6",,"Male _ Teeth affect the type of food they eat","2018 Male","Male 2018"
"2020","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Male","6.5","Per cent","4.3","9.8","1.4",,,"Male _ Teeth affect the type of food they eat","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Male","86.2","Per cent","79.3","91.1","3",,,"Male _ 1. < 12 months","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Male","72.2","Per cent","65.6","78","3.2",,,"Male _ 1. < 12 months","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Male","10.2","Per cent","5.9","16.9","2.7","26.8",,"Male _ 2. 1yr to <2 yrs","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Male","17.1","Per cent","13.4","21.5","2.1",,,"Male _ 2. 1yr to <2 yrs","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 3. 2 yrs to <10 yrs","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Male","8.2","Per cent","3.8","16.6","3.1","37.5",,"Male _ 3. 2 yrs to <10 yrs","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 4. 10 yrs or more or never","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Male","2.5","Per cent","1.5","4.2","0.7","26.4",,"Male _ 4. 10 yrs or more or never","2020 Male","Male 2020"
"2018","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Female","9.4","Per cent","5","17","2.9","31.2",,"Female _ Teeth affect the type of food they eat","2018 Female","Female 2018"
"2020","ACT","Oral health","Teeth","Teeth affect the type of food they eat","05 to 17","Female","9.5","Per cent","6.7","13.4","1.7",,,"Female _ Teeth affect the type of food they eat","2020 Female","Female 2020"
"2018","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Female","81","Per cent","71.7","87.8","4.1",,,"Female _ 1. < 12 months","2018 Female","Female 2018"
"2020","ACT","Oral health","Last visit to a dental professional","1. < 12 months","05 to 17","Female","77.1","Per cent","72","81.5","2.4",,,"Female _ 1. < 12 months","2020 Female","Female 2020"
"2018","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Female","10.1","Per cent","5.6","17.4","2.9","29",,"Female _ 2. 1yr to <2 yrs","2018 Female","Female 2018"
"2020","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","05 to 17","Female","16.5","Per cent","12.7","21.1","2.1",,,"Female _ 2. 1yr to <2 yrs","2020 Female","Female 2020"
"2018","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Female",,"Per cent",,,,,"Not published","Female _ 3. 2 yrs to <10 yrs","2018 Female","Female 2018"
"2020","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","05 to 17","Female","3.2","Per cent","1.7","6","1","32",,"Female _ 3. 2 yrs to <10 yrs","2020 Female","Female 2020"
"2018","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Female",,"Per cent",,,,,"Not published","Female _ 4. 10 yrs or more or never","2018 Female","Female 2018"
"2020","ACT","Oral health","Last visit to a dental professional","4. 10 yrs or more or never","05 to 17","Female","3.2","Per cent","1.7","6","1","32.2",,"Female _ 4. 10 yrs or more or never","2020 Female","Female 2020"
"2018","ACT","Oral health","Teeth","Missing natural teeth","16 years and over","Person","54.3","Per cent","50.7","57.8","1.8",,,"Person _ Missing natural teeth","2018 Person","Person 2018"
"2020","ACT","Oral health","Teeth","Missing natural teeth","16 years and over","Person","52.6","Per cent","48.8","56.5","2",,,"Person _ Missing natural teeth","2020 Person","Person 2020"
"2018","ACT","Oral health","Teeth","Has dentures/false teeth","16 years and over","Person","13.2","Per cent","11.2","15.4","1.1",,,"Person _ Has dentures/false teeth","2018 Person","Person 2018"
"2020","ACT","Oral health","Teeth","Has dentures/false teeth","16 years and over","Person","13.1","Per cent","10.6","16.2","1.4",,,"Person _ Has dentures/false teeth","2020 Person","Person 2020"
"2018","ACT","Oral health","Teeth","Teeth affect the type of food they eat","18+","Person","11.5","Per cent","9.4","13.9","1.1",,,"Person _ Teeth affect the type of food they eat","2018 Person","Person 2018"
"2020","ACT","Oral health","Teeth","Teeth affect the type of food they eat","18+","Person","12.7","Per cent","10.4","15.4","1.3",,,"Person _ Teeth affect the type of food they eat","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","1. < 12 months","18+","Person","61.1","Per cent","57.7","64.5","1.7",,,"Person _ 1. < 12 months","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","1. < 12 months","18+","Person","54.5","Per cent","50.6","58.3","2",,,"Person _ 1. < 12 months","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","18+","Person","18.9","Per cent","16.3","21.7","1.4",,,"Person _ 2. 1yr to <2 yrs","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","18+","Person","21.9","Per cent","18.9","25.3","1.6",,,"Person _ 2. 1yr to <2 yrs","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","18+","Person","11.3","Per cent","9.1","14","1.2",,,"Person _ 3. 2 yrs to <10 yrs","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","18+","Person","14","Per cent","11.4","17","1.4",,,"Person _ 3. 2 yrs to <10 yrs","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","4. 5 yrs to <10 yrs","18+","Person","4.8","Per cent","3.5","6.6","0.8",,,"Person _ 4. 5 yrs to <10 yrs","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","4. 5 yrs to <10 yrs","18+","Person","5.6","Per cent","4","7.8","1",,,"Person _ 4. 5 yrs to <10 yrs","2020 Person","Person 2020"
"2018","ACT","Oral health","Last visit to a dental professional","5. 10 yrs or more or never","18+","Person","3.9","Per cent","2.8","5.3","0.6",,,"Person _ 5. 10 yrs or more or never","2018 Person","Person 2018"
"2020","ACT","Oral health","Last visit to a dental professional","5. 10 yrs or more or never","18+","Person","4","Per cent","2.6","6.1","0.9",,,"Person _ 5. 10 yrs or more or never","2020 Person","Person 2020"
"2018","ACT","Oral health","Teeth","Missing natural teeth","16 years and over","Male","53.6","Per cent","48.4","58.8","2.7",,,"Male _ Missing natural teeth","2018 Male","Male 2018"
"2020","ACT","Oral health","Teeth","Missing natural teeth","16 years and over","Male","52.1","Per cent","46.5","57.7","2.9",,,"Male _ Missing natural teeth","2020 Male","Male 2020"
"2018","ACT","Oral health","Teeth","Has dentures/false teeth","16 years and over","Male","13.6","Per cent","10.7","17.2","1.6",,,"Male _ Has dentures/false teeth","2018 Male","Male 2018"
"2020","ACT","Oral health","Teeth","Has dentures/false teeth","16 years and over","Male","13","Per cent","9.4","17.6","2.1",,,"Male _ Has dentures/false teeth","2020 Male","Male 2020"
"2018","ACT","Oral health","Teeth","Teeth affect the type of food they eat","18+","Male","10.8","Per cent","8","14.3","1.6",,,"Male _ Teeth affect the type of food they eat","2018 Male","Male 2018"
"2020","ACT","Oral health","Teeth","Teeth affect the type of food they eat","18+","Male","11.9","Per cent","8.7","15.9","1.8",,,"Male _ Teeth affect the type of food they eat","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","1. < 12 months","18+","Male","57","Per cent","51.9","62","2.6",,,"Male _ 1. < 12 months","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","1. < 12 months","18+","Male","51.9","Per cent","46.3","57.4","2.9",,,"Male _ 1. < 12 months","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","18+","Male","19.2","Per cent","15.4","23.6","2.1",,,"Male _ 2. 1yr to <2 yrs","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","2. 1yr to <2 yrs","18+","Male","23.3","Per cent","18.9","28.4","2.4",,,"Male _ 2. 1yr to <2 yrs","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","18+","Male","12.9","Per cent","9.7","16.9","1.8",,,"Male _ 3. 2 yrs to <10 yrs","2018 Male","Male 2018"
"2020","ACT","Oral health","Last visit to a dental professional","3. 2 yrs to <10 yrs","18+","Male","17.1","Per cent","13.1","22.1","2.3",,,"Male _ 3. 2 yrs to <10 yrs","2020 Male","Male 2020"
"2018","ACT","Oral health","Last visit to a dental professional","4. 5 yrs to <10 yrs","18+","Male","5.3","Per cent","3.4","8","1.2",,,"Male _ 4. 5 yrs to <10 yrs","2018 Male","Male 2018"
