"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"High Line Park NYC: Lecture and Panel with Robert Hammond","Wednesday 30 October 2013, Main Town Hall",,"765","Robert Hammond, the Executive Director of Friends of High Line
Professor Ruth Fincher, Professor of Geography, and the University of Melbourne
Melbourne City Councillor Arron Wood, an expert in sustainable businesses",,"Robert Hammond, Co-Founder and Executive Director of Friends of High Line will speak about the famous High Line, NYC’s famous public park built on an historic freight rail line elevated above the streets on Manhattan’s West Side. It is owned by the City of New York, and maintained and operated by Friends of the High Line. MC Rob Gell will host a post-lecture panel discussion, examine any lessons for Melbourne and take your questions."
"Not so hypothetical – A heated Conversation ","Monday 31 March 2014, 6pm - 7:30pm, Deakin Edge Fed Sq ",,"135","Andrew Wisdom, urban design expert (event facilitator); Cr Cathy Oke – Melbourne City Councillor; Ariel Liebman, senior research fellow and Director of Carbon Programs at the Monash Faculty of Information Technology; Claire Johnston, Lend Lease, Project Director for Victoria Harbour; Dean Griggs, Manager Community Safety and Wellbeing, City of Melbourne; Gary Stickland, General Manager, Alto on Bourke Hotel, a sustainability award-winning hotel; Ian Shears, Manager, Urban Landscapes, City of Melbourne; Mary Farrow, Director, Centre of Resilience, Emerald House; Simon Want, Head of Office, Office of Living Victoria; Terry Jones, Distributed Energy and Innovation Manager, SP AusNet; a homelessness advocate with the Peer Education and Support Program; and Tony Murphy, Deputy Fire Commissioner","GreenCross Australia","Who would have thought that tens of thousands would die during Europe's record-breaking 2003 sweltering heatwave? Climate models point to the increasing likelihood of extremes. Though it's been dangerously hot in Melbourne already, unprecedented heatwaves likely lie ahead. This hypothetical-style event will explore how Melbourne's energy, water, transport and health systems will respond as community services struggle to meet demand"
"What is the future of music and sound? ","Monday 24 March 2014, 6pm - 7:30pm Deakin Edge Fed Sq ",,"120","Phil Brophy – Artist, Curator, Filmmaker, Composer and Theorist
Dr Hamish Innes-Browne - Pitch Perception Project, Bionics Institute (Melb) 
Research Fellow, Bionics Institute
Gail Priest - Sound Artist, Writer and Curator, Sydney
Danni Zuvela - Co-Director Liquid Architecture festival
MC Robin  Fox – Audio Visual Artists, Composer and Musician 
",,"Sound is ubiquitous, especially in cities. The auditory cocktail we are exposed to everyday ranges from the sound we control in headphones to the often unwanted and unnecessary ‘vibe’ creation of myriad marketing machines, construction, traffic, and human babble. As we narrow the focus of our sense perception to our immediate and controllable environment (headphones and small screens) we shrink from a world called ‘real’ and enter a meta-state of mediated vibration."
"Green Cities – Building a Sustainable Melbourne ","Wednesday 19 March 2014, Melbourne Town Hall, Swanston Room ",,"310","Rit Aggarwalla (Special Advisor to C40 Cities Climate Leadership Group), Rob Bennett (Ecodistricts), Pascal Mittermaier(Director of Sustainability, Lend Lease Construction) and Jane Henley (CEO, World Green Building Council). Moderated by Cr Arron Wood (City of Melbourne)",,"Melbourne is regularly rated as the most liveable city in the world. Yet as climate change impacts and the demands of urbanisation accelerate, we need solutions that deliver a sustainable city. What can we learn from the experience of other cities and how might we apply those solutions in the next seven years? "
"Tunnerminnerwait and Maulboyheenner –Stories, Connections and Memorials","Wednesday 12 March, Deakin Edge Fed Sq",,"115","MC Genevieve Grieves – Worimi Nation, Curator and Film Maker 
Aunty Patsy Cameron – Tasmanian Aboriginal Elder, Cultural Consultant 
Dr Clare Land – Historian and Writer 
Simon Maidment – Curator National Gallery of Victoria (TBC)
Dr James Boyce – Author, Geographer, Historian (TBC) 
",,"Aboriginal Tasmanian men Tunnerminnerwait and Maulboyheenner were tried, found guilty and hanged in public for the murder of two white whale-hunters. In January 1842, they were the first people to be executed in Melbourne. Their stories and those of family connections between Tasmanian and Victoria Aboriginal peoples are a less well-known part of Melbourne’s early history.  Hear the stories and discussions about memorialisation and contribute to the conversation. "
"Art Climate Ethics: what role for the arts","Saturday 15 February2014 , Deakin Edge fed Sq ",,"450",,,
"Blak Literature: Stories about Writing Blak Australia - 3.30pm","Saturday 8 February2014, 3:30pm Deakin Edge Fed Sq",,"95","Adrian Hyland – Fiction Author; Dr Jared Thomas – Fiction Author; Dr Tony Birch – Fiction Author, Poet and Academic; Ellen van Neerven –Fiction Author; MC Daniel Browning – Producer and Presenter ABC Radio National – Awaye!",,"How do Indigenous and non-Indigenous writers go about depicting Indigenous Australians in their work? What are the ethics around depicting the blak voice?  Join the conversation as leading writers consider these questions and reflect on how non-Indigenous writers benefit from actively connecting with Indigenous people as part of their research. "
"Blak Theatre: Stories about Diversity, Change and Survival","Saturday 8 February2014 , 2pm Deakin Edge Fed Sq",,"105","Kylie Belling – Screen/Theatre Actor; Margaret Harvey – Actor and Playwright ; Marion Potts – Artistic Director Malthouse Theatre; Aaron Pedersen- Screen /Theatre Actor; MC - Daniel Browning – Producer and Presenter ABC Radio National – Awaye!",,"One third of Australians are not from a white Anglo background, yet over 90% of our playwrights are white and most theatre is still about white culture. How can blak theatre flourish to become part of the new mainstream? Panellists will discuss how the big and established theatre companies are changing to present great art for everyone. "
"Melbourne Now = New Melbourne? Talking about art and change ","Thursday 30 January 2014, Deakin Edge Fed Sq ",,"290","Prof Rob Adams AM - Architect/Urban Designer, Director City Design City of Melbourne 
Mr Tony Elwood - Director NGV
Ms Emily Floyd - Visual Artist
Mr Ian McDougall - Founding Director ARM Architecture 
Ms Fleur Watson - Curator, Design Hub RMIT University, Gues
MC Mr Peter Mares – Writer, Researcher and MC  
",,"Plans for Fishermans Bend, City North, Arden-Macaulay and QV Market signal change and growth as we head to a 5m plus “new” city. The NGV’s ambitious slice of contemporary local art can be seen as a bold forecaster of change for the inner city’s creative evolution. Join some of our brightest minds and have your say as they speculate on art and change and the formation of a new spirit for Melbourne.   "
"Getting to Zero: What does the AIDS/HIV response mean for you?","30 November 2012, Swanston Hall, Melbourne Town Hall",,"120","Mr Brent Allan, CEO, Living Positive Victoria, Associate Professor David Anderson, Deputy Director, Burnet Institute, Dr Leslie Cannold Social commentator, MC Lindy Burns – 774 ABC Melbourne
","AIDS14 Conference ","Melbourne is set to host the International AIDS Conference in 2014. Join the conversation as we discuss UNAIDS’s vision to achieve “Zero new HIV infections. Zero discrimination. Zero AIDS-related deaths.”"
"Employment, Mobility and Living in a growing city","30 March 2011, BMW Edge, Fed Square",,"350","Peter Mares, Halvard Dalheim, Graham Currie, Marcus Spiller, Moura Quayle","Future Leaders","Melbourne is expanding to the inner north and west and the notion and dominance of a CBD is changing.  What type and proportions of living, working and playing places should be provided, and how will mobility in these renewed areas be facilitated? How
do comparable cities cope and thrive? Join the conversation about jobs, dwellings, services, planning, and improved public transport, walking and cycling.
"
"Women and Work: Who Pays? ","Thursday 19 September 2013, 6pm - 7:30pm. Fed Square",,"85","Ms Clementine Ford - Writer and Broadcaster
Ms Michele ONeil - National Secretary Textile Clothing and Footwear Union of Australia 
Dr Clare Wright - Historian, Writer and Activist
Curator and MC: Ms Sophie Cunningham - Writer, Chair of Literature Australia Council, Founding Member Stella Prize 
",,"Melbourne writer and literary luminary Sophie Cunningham chairs this conversation on women and work that asks: who pays in the world of work?  As well as providing a historical perspective, issues up for discussion include freelance work, equal pay, and the place of women on corporate boards. We will consider what conditions are likely to be cast aside as governments change and economies shift, and look at the globalisation of the workforce. We will remember the women who are paying the price for the ever increasing drive towards consumerism.

"
"Objectivity and Dissent: The Future of Australia’s old and new media","Thursday 5 September 2013, 5:15pm - 6:30pm, Playhouse Theatre ACMI",,"610","Stephen Mayne - Founder of Crikey, Shareholder Activist and Melbourne City Councillor 
Dr Margaret Simons - Journalist, Writer and Director of the Centre for Advanced Journalism, University of Melbourne
David Williamson AO - Australian Playwright  
Curator and MC: Dr Leslie Cannold - Writer, Commentator and Activist 
",,"Join one of Australia’s best-known playwrights David Williamson and an esteemed group of panelists on the set of MTC’s Rupert for a robust discussion. Led by MC and host Dr Leslie Cannold and informed by some of the themes of David Williamson’s world premiere production, the panel will discuss the rise of the Networked Fourth Estate and the worldwide people's movement demanding transparency and accountability. Key among the institutions on trial is the media"
"Getting Better with Age: Living well in an older Melbourne","Wednesday 28 August 2013 6pm - 7:30pm, Melbourne Town Hall",,"125","Ms Sue Hendy - CEO COTA Victoria and Director of the International Federation on Ageing, (IFA) 
Prof. Brian Howe AO - Professorial Associate, Centre for Public Policy, University of Melbourne
Prof. Collette Browning - Head, Primary Care Research Unit, Monash University 
Fr. Bob Maguire AM, RFD - Father Bob Maguire Foundation 
Ms Marion Lau OAM –, People of Australia Ambassador, Community Representative Commissioner - Victorian Multicultural Commission and Chinese Ministerial Consultative Committee Member 
MC Peter Mares - ",,"Getting better with age: living well in an older Melbourne

Join our experienced panel as they discuss the facts and the fictions of ageing, celebrate the benefits of growing older and ask what a truly Age-Friendly Melbourne would look like.  
"
"Science City: Has Melbourne got what it takes?","Tuesday 25 june 2013 The Deaking Edge, Federation Square",,"115","Dr Krystal Evans – Biomedical Scientist, Walter and Eliza Hall Institute;
Dr Jee Hyun Kim – Developmental Behavioural Neuroscientist, DECRA Fellow, Florey Institute;
Dr Andrew Nash – Senior Vice President, Research, CSL Limited; Sir Gustav Nossal- Distinguished Australian Research Biologist;
Professor Peter Taylor – Director Life Science Computation VLSCI; Moderator Peter Mares - Writer and Researcher.","The Deakin Edge, Federation Square","Can we declare Melbourne a City of Science? A slice of our best brains dissect and analyse Melbourne’s scientific achievements and gaze over the horizon at our scientific future. Join the crowd, celebrate the successes and get that question answered."
"The Making of King Kong The Musical – A Conversation","Thursday 27 June 2013 The Regent Theatre",,"750","Sonny Tilders, Creative Director of CTC and Creature Designer of King Kong, and other members of the creative production and direction team","Global Creatures aqnd King kong the Musical","Hear from the creative team behind the King Kong musical as they discuss the world’s most innovative theatre production at Regent Theatre and see the seven-metre animatronic silverback revealed on stage."
"Toff Talks: Fast - More than runways and frocks","Monday 3 June 2013 
6.30pm - 7.30pm ",,"35","Mick Peel
Assoc. Prof Robyn Healy
Alasdair McKinnon
Grace McQuilten","The Toff in Town","
Do fashion designers just make life more enjoyable, easy, colourful and attractive and brands profitable? As the 'fast fashion' trend impacts, innovative fashion designers are reinvigorating the tradition of the artisan, using innovative design and business thinking, and working across a variety of creative disciplines. 
"
"Constitutional Recognition of Australia's first people","Thursday 30 May 2013
6.30pm - 7.30pm Swanston Hall, Melbourne Town Hall",,"143","Prof. Kerry Arabena
Prof. George Williams AO
Chris Graham 
Melissa Castan","Reconciliation Victoria, ANTAR, Federation Square, Future leaders","The Constitution is considered out of date with the modern reality of Australia; it doesn’t recognise Indigenous peoples and it’s discriminatory.  In the spirit of reconciliation, leading Indigenous and non-Indigenous public commentators discuss the suggested constitutional changes recommended by the “Expert Panel” and the related issues of land rights and sovereignty.  "
"Craig Sherborne ON BEING ORDINARY: Secular Sermon","Sunday 26 May 
3pm – 4pm
Ormond College, The University of Melbourne
",,"290","Craig Sherborne ","This School of Life Secular Sermon is co-presented by Melbourne Conversations, the City of Melbourne's free talks program and The Wheeler Centre. ","There are two ways to be ordinary: either true ordinary or the false kind. 

To be true ordinary you forgo the temptation to be better than you are. You feel no great effort in this. You feel perfectly natural and complete. False ordinary is a different matter entirely. It is an affectation you must work hard at. The mainstream culture is comfortable with ordinary people. There are benefits therefore in holding yourself back. Beware false ordinary, embrace the true. How can you tell which is which though?
"
"Guest Curator Series with Dr Leslie Cannold: Is it Treason to Have the Wrong Reason? ","22 May 2013
The Edge, Federation Square",,"311","Dr Leslie Cannold
Maria Tumarkin 
Jayne Josem 
Prof. Tony Coady ","Federation Square and Future Leaders.","Melbourne Conversations Guest Curator Series with Dr Leslie Cannold. ‘Is it Treason to Have the Wrong Reason – A conversation about political and personal ethics.

Ethics matter to all of us, but how can we tell right from wrong in a complex world? Is ‘meaning well’ enough to make a decision the right one, or do actions speak louder than words? How do we judge the person who makes an evil choice for all the wrong reasons, but ends up doing good as a result? From adoption in the 1960s, to ‘people-smugglers’ and the individual decisions we make to give to charity, join a panel of distinguished guests to discuss why acts, intentions and consequences often don’t line up, and whether we should even dare to judge in a morally messy world. 
"
"Andrea Durbach ON VENGEANCE: Secular Sermon","Sunday 21 April 
3pm – 4pm 
Council Chambers, Melbourne Town Hall
",,"120","Andrea Durbach","This School of Life Secular Sermon is co-presented by Melbourne Conversations, the City of Melbourne's free talks program and The Wheeler Centre. ","
(M)an has not grown less cruel with the passage of that illusory thing called time;
though in many parts of the world he has become a far greater hypocrite than he used to be.
Charles Duff, A Handbook on Hanging, 1923

Andrea’s sermon will focus on the ways we rationalise capital punishment – and how vengeance manifests in support of this enterprise.  It is the execution of vengeance in different guises or forms that she will explore: on what drives the self-delusion and collective duplicity – and ultimately, the sheer futility – that congregate to justify the taking of life.  
"
"Bosnia to Melbourne: standing against violence towards women","27 March 2013, NM Town Hall",,"153","Tasneem Chopra 
Martin de los Rios 
Myrna Lewis ","No partners","The evening begins with a screening of the challenging documentary* Women, War & Peace: I Came To Testify, presenting the story of two victims of rape from Bosnian town Foca during the civil war in the former Yugoslavia and their journey to justice.

Following the film, Myrna Lewis, co-founder of globally renowned Lewis Deep Democracy, will lead the discussion on what we can do to prevent violence against women in Melbourne. The Lewis Deep Democracy style of dialogue is a simple and powerful process that engages with all voices, ensures everyone can participate, listen and be heard.
"
"Toff Talk - Zines and the handmade Aesthetic ","25 March 2013, The Toff in Town ",,"45","Project Bridget (Chappell)
Bernard Caleo
Dr Anna Poletti  
Ben Birchall","The Toff in Town","Zines offer the opportunity for artists to tell stories using a variety of visual and material approaches, rather than just words. Join our panel to discuss how the approaches to creation have developed with the advent of new technologies and the resurgence of interest in artisan/bespoke one-off creations and, what the future may hold.

"
"Christine Kenneally On Lying: Secular Sermon","24 March 2013, Melbourne Zoo",,"280","Christine Kenneally ","This School of Life Secular Sermon is presented by Melbourne Conversations, the City of Melbourne's free talks program, and The Wheeler Centre","It used to be that the ability to tell the truth was the keystone to an honourable life, but in the last 20 years that has changed: today, your integrity is as dependent, if not more so, on your ability to recognise lies.

Christine Kenneally is an award-winning journalist and author who writes about ideas, science, and culture. She is drawn to information trails, hidden lives and the questions we are not supposed to ask. "
"Stompin’ Ground: A talk about dance land and culture","18 March 2013, Melbourne Town Hall",,"125","Alan Brown
Jida Gulpilil 
Marilyn Miller 
Clinton Nain
 Nikki Ashby 
","Arts House through Dance Massive 2013","Why dance if you don’t have land?

Join the panel of experts as they consider this political question and tell stories about Indigenous dance and its connections to cultural continuity, health, identity, community and land."
"John Safran On Unrest: Secular Sermon","24 February 2013, Madame Brussles",,"120","John Safran","This School of Life Secular Sermon is presented by Melbourne Conversations, the City of Melbourne's free talks program, and The Wheeler Centre in association with White Night Melbourne","""If you kill someone can you ever rest?"" 

The School of Life have asked John to preach a sermon ON UNREST, at dawn on a Sunday morning for a rooftop of party goers who have been going all night. His mind has turned to the ultimate unrest (probably because he’s been reading true crime books all year):  If you kill someone, can you ever truly rest?   What if it's believed to be a righteous or chivalrous or justified or merciful killing -  one we could all conceivably carry out if the circumstances were just so.  Does every moment after still become a dark night of the soul?  John will go off into the world and find out from killers themselves.  He will preach what he learns from that pilgrimage to those in the pews.
"
"Feeding a Growing Melbourne: Issue and Opportunities","14 February 2013, The Edge, Fed Square",,"250","Kate Auty
Miranda Sharp 
Martin Caraher
David Wallace  
Rob Gell 
","Sustainable Living Festival, Federation Square and Future Leaders ","Growth, land use competition, water costs, extreme weather, peak oil and farm viability are food security threats. Join the conversation on our food future, listen to stories on resilience, where our food comes from, health and nutrition, get some ideas on growing and buying locally and share your urban food story.  "
"David Woods On Humour: Secular Sermon","3 February 2013, State Library of Victoria",,"320","David Woods","This School of Life Secular Sermon is presented by Melbourne Conversations, the City of Melbourne's free talks program, and The Wheeler Centre in association with the State Library of Victoria Dome Centenary.","You are funny. We are funny. Everyone is funny. Some celebrate its use, others merely come across it. And then there are those completely cut off and unaware of it. All of us can develop it if we choose.

But why should we?

Some Humour will be baptized and some buried after dying during the proceedings.  Relevant health warnings will be issued.

Writer, performer and philosopher David Woods will explore the uses and meaning of humour. Additional performance by Mark Jones and The Beautiful Lies.
"
"Shaping Knowledge Cities in a digital world: What does this mean for you? 
","26 November
BMW Edge Federation Square",,"375","Daniel Donahoo
Andrew Jaspan 
Marigo Raftpoulos 
Sue Roberts
Antony Funnell 
","Federation Square, Melbourne Knowledge Week and Future Leaders","Many suggest that the explosion of new digital sources is influencing and accelerating our sharing of knowledge, modes of learning, our work and how we live. While mainstream and DIY digital subculture users shape the edges of technology and create new opportunities, where do you fit in and will it really change how we live and form our worlds? 

Join the conversation as we discuss the new opportunities and evaluate the challenges for our physical and personal landscapes.

"
"Toff Talks - South vs. North – Which side of the river do you sit on? ","29 October 2012, The Toff In Town ",,"75","Dave O’Neil 
Sophia Brous 
Dick Gross 
Zora Sanders ","The Toff in Town","A humorous rant around the fabled north/south divide delving into living, culture, music, art, bikes, cafes - you name it. They’re so different OR are they? "
"Recreating Melbourne’s ‘university quarter’: how do we make places for temporary communities?","26 May 2009, Melbourne Town Hall",,"200","Ruth Fincher Paolo Tombesi Maloti Ray Joyce Kirk John Dewar David Campbell Rob Moore ",,"Following the release of the final report of the University of Melbourne study, Transnational and Temporary: students, community, and place-making in central Melbourne, panelists will discuss the social, housing and public space needs of transnational and temporary students in Melbourne."
"Fed Square turns 10! Fed Square Turns 10! Uniting the “new” Melbourne","26 October 2012, BMW Edge Federation Sq",,"75","Kate Brennan
Seamus O’Hanlon 
Vanessa Walker
Diane Kerr
 Assoc. Prof. Andrew J. May
","Federation Square","Penny Wilson is the Chief Executive Officer of the Victorian Council of Social Services
Sheree Daly is a founding member of Choir of Hope and Inspiration (formerly Choir of Hard Knocks). 
Dr Gerry Naughtin has been a business owner, an Associate Professor, a government consultant and a PhD student at the University of Melbourne.
Chris Middendorp is a Writer and the Manager of Sacred Heart Mission. 
Moderator - Natasha Mitchell is ABC Radio National Host  of Life Matters and is currently vice president of the World Federation of Science Journalists
"
"Being Poor in a rich city: Voices on poverty and inequality","15 October 2012, BMW Edge Federation Sq",,"250","Penny Wilson is the Chief Executive Officer of the Victorian Council of Social Services
Sheree Daly is a founding member of Choir of Hope and Inspiration (formerly Choir of Hard Knocks). 
Dr Gerry Naughtin has been a business owner, an Associate Professor, a government consultant and a PhD student at the University of Melbourne.
Chris Middendorp is a Writer and the Manager of Sacred Heart Mission. 
Moderator - Natasha Mitchell is ABC Radio National Host  of Life Matters and is currently vice president of the World Federation of Science Journalists
","An Anti-Poverty Week event supported by The Big Issue and Sacred Heart Mission.","It's good to be named the world’s most liveable city again, but those experiencing poverty are still doing it tough. Hear the facts, stories and opinions on poverty and inequality from those in the know and contribute to the conversation. 
"
"Guest Curator Series: Lyndal Jones
Public Arts: Models of Possibility ","1 October 2012, BMW Edge Federation Sq.",,"200","Lyndal Jones, Artist and Professor of Contemporary Art, School of Media and Communication, RMIT University
Juliana Engberg is the Artistic Director of the Australian Centre for the Arts (ACCA) and recently been appointed the Artistic Director of the 2014 Sydney Biennale
Dr Bianca Hester is an artist, independent writer and Lecturer at Victorian College of the Arts
Becky Hilton is a performer, teacher, choreographer and director
David Cross is an artist, writer and curator based in Wellington, New Zealand
",,"As artists shift their concerns to engage with current social, political and environmental changes can we see these shifts reflected in approaches to art in the public realm? Or does the large-scale of many public artworks and/or desire for spectacle or comfort on the part of commissioning agents lead to an outcome that celebrates only wealth or the past? 

Join Melbourne artist Lyndal Jones and her invited guests as they reflect on a range of approaches and practices that explore future models of possibility for public art. 

"
"Imagining the emergent city: A lecture by CJ Lim","20 August 2012, RMIT Storey Hall ",,"570","CJ Lim is Professor and Vice-Dean at the Bartlett, University College London and the founding director of the multi-disciplinary and international award-winning Studio 8 Architects","RMIT University ","Internationally renowned and celebrated architect and urban visionary, Professor CJ Lim, will be presenting a lecture on Imagining the Emergent City with Professor Richard Blythe, Head of the School of Architecture and Design at RMIT University. 

Join CJ as he shares inspired thinking about the use of architectural story telling and an embrace of the fantastic as a critical part of designing healthy, sustainable, and equitable urban environments that are a pleasure to behold.
"
"Heritage and development innovation: making Melbourne a world leader.

","27 July 2012
RMIT Capitol Theatre 
",,"210","Helen Lardner
Shelley Penn
William Logan
 Dr Colin Long ","RMIT University ","Inner Melbourne will experience development and growth to meet contemporary needs and maintain prosperity. How should Melbourne lead by example and balance this need with the tangible heritage values of the material form and the newly emerging heritage paradigm associated with the values of cultural identity, memory and usage of urban spaces and places?  Hear from the experts and have your say. "
"The culture of the book: Celebrating our City of Literature, Rare Book Week 

","BMW Edge Federation Square
19 July, 6.00pm to 7.30pm",,"180","Cheryl Akle
Des Cowley 
Mary Dalmau
Douglas Stewart 
Louise Adler AM ","Rare Book Week ","To celebrate our City of Literature during the National Year of Reading, the City of Melbourne and the Australian
& New Zealand Association of Antiquarian Booksellers are pleased to invite you to an engaging conversation
about the culture of the book, the first event for the inaugural Melbourne Rare Book Week 19-29 July.

Rare or ubiquitous, printed or digital, the book is central to our literary status in this the National Year of Reading.
Join our literary luminaries and bibliophiles as they tell their stories and celebrate books and reading and reflect on
the future of the book and book sellers in Melbourne.
"
"""Toff Talks"" Urban Melbourne = Mega Melbourne: Where is it headed?
","Toff in Town
25 June, 7.30pm ",,"80","Eyal Halamish
Ellen Sandell  
Jaddan Comerford
Prof Rob Adams AM 
","The Toff in Town","We’re bursting with energy and innovation. Growth, green culture, cultural diversity, digital spaces, art, music, bikes, students, lanes, bars, fashion, sport – you name it, Melbourne’s famous for it! Join our talk about the merits, limits and consequences of rapid changes. 
"
"Shedding light on how we read the world: Unlocking extraordinary stories

","BMW Edge Federation Square
18 June, 6.00pm to 7.30pm ",,"150","Alice Pung 
Leah Hobson
Murray Turner
David Nyuol Vincent ","Federation Square 'Light in Winter' festival ","So much of absorbing our culture is premised on the idea of reading. Yet 'reading' is not only about looking at words on a page. 'Reading' is about illuminating our world, whether it be through interpreting faces, touch, hearing and absorbing. 

This panel explores reading by the other four senses from three panellists who have not, or are unable to, 'read' the conventional way - through blindness, having dyslexia at a time when it was not recognised as an ailment, or an inability to read English as a new arrival. It is important to include such people in our discussions in the 'national year of reading', and this panel takes a close and personal look at how they see the world, and the ingenious skills and insight they've developed as a result. "
"Talk Blak -Talking Back: Conversations on Political Blak Art","2 June 2011, BMW Edge, Fed Square",,"250","Tony Birch, Bindi Cole, Vernon Ah Kee, Daniel Browning

","Future Leaders","Media commentary and debate around Indigenous identity and history is a topical subject. Join the conversation around the contribution that politically engaged urban based contemporary Indigenous visual artists have made to issues of identity, culture, racism and history. 
"
"Mabo Decision 20 years on: Hopes and aspirations for Victorian Traditional Land Owners 
","Swanston Hall, Melbourne Town Hall
3 June, 2.30pm ",,"200","Adam McLean Margaret Gardiner Gary Murray Mathew Storey
","Future Leaders and the City of Melbourne, Indigenous Unit.","This Reconciliation Week, the City of Melbourne invites you to attend a Melbourne Conversations event that will celebrate Mabo Day and discuss issues around native title and the rights of Traditional Owners.  

Celebrate the 20th anniversary of the land mark Mabo High Court decision, hear from a panel of real, local players in the complex maize of native title and traditional owners land rights and join in with your comments and questions. Afternoon tea and discussion will follow and complete a memorable day of celebration. 
"
"""Toff Talks"" Music Activism - SLAM -  Where are you now?","Monday 28 May 2012
Toff in Town",,"47","James Young 
Dr Kate Shaw 
Helen Marcou
Cr Ken Ong 
","The Toff in Town","The 2010 SLAM rally saw 20,000 marchers descend on our parliament house to demand the link between live music and violence be removed. Two years on where does live music sit now? What changes have been made? How can planning decisions assist? What more needs to be done to save live Australian music?"
"""Toff Talks"": Sampling Remixing! How much of someone else’s sound can you really use? ","Monday 30 April 2012
Toff in Town",,"27","DJ Phil Ransom 
Kirsty Rivers 
Julian Hewitt 
Ben Birchall","The Toff in Town","Sampling and remixing is now part of the main stream of music, so what does Intellectual Property really mean for today’s musicians? How can you share and protect our creations and manage any tensions? Join our expert panel to get the latest information on copyright the ‘what to do’s’ if you want to use someone else’s work, whether you can use it and what happens if someone uses your work without your permission and more. "
"Drug Use it Happens
National Youth Week event","Tuesday 17 April 2012
BMW Edge, Federation Square, Melbourne ",,"74","Prof. Andrew Lawrence 
Lisa Pryor 
Peter Wearne
Dr Leslie Cannold 
","Future Leaders and as part of National Youth Week.","Alcohol and drug use, legal and illicit, is a fact of life. Join our panel as they shed some light on the stories of drug usage and lifestyle, health and harm. Have your say through our audience “hot seat” and contribute to this important national conversation during Youth Week.  "
"Sustainable Communities: Collaborating, Planning, Delivering.","Thursday 29 February 2012 
BMW Edge, Federation Square, Melbourne 
",,"480","Prof Jan Gehl
Prof Billie Giles-Corti
Li Lixin
Romilly Madew 
Melanie Nutter
Peter Mares ","Future Leaders, City Sustainability CoM
","The desire for sustainable communities is the touchstone of city forming when comparing major cities across the globe. As city design and planning experts from major cities around the world meet in Melbourne as part of the C40 group, never have the challenges of city growth been so great nor the achievements so promising. Hear about our local achievements and those of comparable large world cities. Have your say by jumping into the “hot seat” to make your point. "
"Rio+20: shaping our future, telling your stories
","Wednesday 29 February, Swanston Hall, Melbourne Town Hall

",,"270","Dr. Kate Auty, Prof. Robert Hill, Geoff Lawler, Ellen Sandell, Emeritus Prof. Chris Wallace-Crabbe AM and Rob Gell

","UNAA, Future Leaders, Oursay, City Sustainability CoM","Twenty years on from the Rio 1992 Earth Summit, the City of Melbourne in partnership with the United Nations Association of Australia (Vic) invites you to an important discussion in the lead up to the UN’s Rio+20 Conference on Sustainable Development in June.
Local organisations are going to Rio de Janeiro in June for the Rio+20 conference to assess and stimulate the world’s progress towards a sustainable future. Join expert commentators as they discuss the opportunities and challenges that lie ahead. OurSay, the digital democracy organisation, will capture your burning questions, eco-stories and achievements from the past 20 years, so you have the opportunity to contribute."
"Indigenous Visual Arts Talks
Melbourne Indigenous Arts Festival","12 February 2012,
BMW Edge, Fed Square",,"267","Protocol and Rights (55): Daniel Browning & Djon Mundine OAM 
Birarrung Wilam (68): Liz Liddle, Vicki Couzens & Lee Darroch 
Laneway Commissions (84): Tony Birch, Yhonnie Scarce, Destiny Deacon, Steaphan Paton & John Harding 
proppaNOW artists (60): Kim Kruger, Vernon Ah Kee, Richard Bell & Laurie Nilsen ","Future Leaders 
Melbourne Indigenous Arts Festival","Join the conversation as contemporary Indigenous artists discuss arts practice and the ""Blak"" experience. The sessions explore various media, ideas and concerns and examine the nature and impact of politically charged Aboriginal and Torres Strait Islander visual art. 
"
"Coranderrk 
Q & A Session","11 February 2012,
BMW Edge, Fed Square",,"378","Cast: & Panel: Richard, Frankland, Isaac Drandic, Julie Evans and Chris Healy plus the cast","Ilbijerri Theatre Company
Future Leaders
Melbourne Indigenous Arts Festival","VICTORIA, 1881: the men and women of the ‘Coranderrk Aboriginal Reserve’ take on the Board for the Protection of Aborigines in a fight for justice, dignity and self-determination. For the first time, we bring back to life Coranderrk’s voices – both black and white – through a theatrical re-enactment of their official testimonies before the 1881 Government Inquiry into Coranderrk.

Unites the power of oral history and the authority of the written-word to forge a personal connection with the voices of the past; allowing key figures such as William Barak and several of the men and women of Coranderrk to speak directly to a contemporary audience."
"Indigenous Writers Talks
Melbourne Indigenous Arts Festival","11 February 2012,
BMW Edge, Fed Square",,"166","Poetry Readings (50): Kylie Belling, 
John Harding, Tony Birch, 
Kym Walker 
Writing for Rap (55): Kylie Belling 
Tjimba Possum-Burns & Patrick Mau 
Writers Panel (61):  John Harding, Richard Frankland, Tony Briggs & Jane Harrison ","Future Leaders 
Melbourne Indigenous Arts Festival","Melbourne’s own Yorta Yorta woman, Kylie Belling, hosts some of Australia’s most talented storytellers at this session. Contemporary poets, songwriters, rappers, playwrights, scriptwriters and novelists will read, perform and talk about their work. The talks celebrate Indigenous writing and the legacy and tradition of David Unaipon, Kevin Gilbert and Oodgeroo Noonuccal. Writers will discuss the topics, “Who do Indigenous writers write for?"" and ""How do contemporary Indigenous writers move between the oral tradition and the written word?”"
