"indicator","type","topic","description","response","year","respondent_group","sample_size","result","format"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","183","16.8","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Parkville 3052","72","14.5","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","122","15.0","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","13.2","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Male","544","14.0","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","Female","682","20.2","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","18-24 years","285","23.2","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","25-34 years","259","19.5","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","35-44 years","137","16.9","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","45-54 years","131","11.2","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","55-64 years","146","4.6","Per cent"
"6b","Other","Food security","Skipped meals","Yes, in the last 12 months","2018","65+ years","279","0.1","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","City of Melbourne","1235","12.5","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Docklands 3008","101","5.5","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","East Melbourne 3002","82","16.9","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Kensington/ Flemingon 3031","142","12.0","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Melbourne 3000","278","12.0","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","North Melbourne 3051 / West Melbourne 3003","183","15.7","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Parkville 3052","72","6.9","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Southbank/ South Wharf 3006","121","12.3","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","10.9","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Male","545","12.6","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","Female","680","12.5","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","18-24 years","283","17.0","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","25-34 years","261","12.8","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","35-44 years","138","14.3","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","45-54 years","129","4.7","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","55-64 years","145","6.8","Per cent"
"6c","Other","Food security","Ran out of food","Yes, in the last 12 months","2018","65+ years","279","2.7","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","City of Melbourne","1246","89.0","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Carlton 3053","126","86.0","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Docklands 3008","103","88.4","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","East Melbourne 3002","82","86.7","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Kensington/ Flemingon 3031","142","88.6","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Melbourne 3000","284","90.2","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","North Melbourne 3051 / West Melbourne 3003","184","87.4","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Parkville 3052","72","94.6","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Southbank/ South Wharf 3006","123","91.5","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","85.6","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Male","548","90.3","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","Female","687","88.2","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","18-24 years","290","89.8","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","25-34 years","261","88.4","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","35-44 years","138","91.4","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","45-54 years","131","89.8","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","55-64 years","146","88.7","Per cent"
"7a","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - during the day","Reported as feeling very safe or safe","2018","65+ years","280","84.3","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","City of Melbourne","1227","64.0","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Carlton 3053","125","57.6","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Docklands 3008","100","67.6","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","East Melbourne 3002","80","62.5","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Kensington/ Flemingon 3031","140","62.0","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Melbourne 3000","280","59.4","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","North Melbourne 3051 / West Melbourne 3003","182","66.1","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Parkville 3052","71","74.9","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Southbank/ South Wharf 3006","122","71.0","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","127","68.7","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Male","544","72.4","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","Female","672","56.3","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","18-24 years","287","56.2","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","25-34 years","262","65.7","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","35-44 years","137","66.8","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","45-54 years","128","67.5","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","55-64 years","146","75.5","Per cent"
"7b","Council Plan Indicator","Perceptions of safety","Feel safe by yourself in your neighbourhood - at night","Reported as feeling very safe or safe","2018","65+ years","267","69.7","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","City of Melbourne","1188","86.5","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Carlton 3053","120","89.8","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Docklands 3008","103","82.5","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","East Melbourne 3002","72","74.2","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Kensington/ Flemingon 3031","133","86.3","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Melbourne 3000","280","87.3","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","North Melbourne 3051 / West Melbourne 3003","173","81.1","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Parkville 3052","70","90.3","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Southbank/ South Wharf 3006","118","92.0","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","83.2","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Male","525","85.1","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","Female","652","88.0","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","18-24 years","287","88.1","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","25-34 years","256","85.9","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","35-44 years","132","82.0","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","45-54 years","124","87.0","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","55-64 years","132","88.2","Per cent"
"11a","Other","Volunteering","Help out as a volunteer","Yes, in the last 12 months","2018","45-54 years","129","51.5","Per cent"
"7c","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - during the day","Reported as feeling very safe or safe","2018","65+ years","257","87.7","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","City of Melbourne","1086","59.0","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Carlton 3053","108","53.8","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Docklands 3008","96","66.3","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","East Melbourne 3002","61","51.8","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Kensington/ Flemingon 3031","116","50.7","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Melbourne 3000","263","62.7","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","North Melbourne 3051 / West Melbourne 3003","164","60.8","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Parkville 3052","67","51.1","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Southbank/ South Wharf 3006","108","57.9","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","103","61.9","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Male","495","68.0","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","Female","580","50.5","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","18-24 years","285","53.1","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","25-34 years","249","60.6","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","35-44 years","127","58.7","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","45-54 years","116","62.2","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","55-64 years","123","74.8","Per cent"
"7d","Other","Perceptions of safety","Feel safe by yourself on public transport in and around City of Melbourne - at night","Reported as feeling very safe or safe","2018","65+ years","186","61.1","Per cent"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","7.8","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","7.8","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Docklands 3008","90","8.1","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","East Melbourne 3002","77","8.2","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Kensington/ Flemingon 3031","136","7.7","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Melbourne 3000","267","7.7","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","North Melbourne 3051 / West Melbourne 3003","178","7.5","Average"
"11a","Other","Volunteering","Help out as a volunteer","Yes, in the last 12 months","2018","55-64 years","144","44.0","Per cent"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Parkville 3052","68","7.9","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Southbank/ South Wharf 3006","115","8.3","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","7.8","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Male","513","7.7","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","Female","643","7.9","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","18-24 years","277","7.8","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","25-34 years","248","7.8","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","35-44 years","129","7.3","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","45-54 years","125","8.0","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","55-64 years","140","8.1","Average"
"8a","Other","Subjective wellbeing","Satisfaction with standard of living","Average satisfaction score (from 0-10)","2018","65+ years","247","8.4","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","7.4","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","7.8","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Docklands 3008","90","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","East Melbourne 3002","77","7.8","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Kensington/ Flemingon 3031","136","7.3","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Melbourne 3000","267","7.2","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","North Melbourne 3051 / West Melbourne 3003","178","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Parkville 3052","68","7.0","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Southbank/ South Wharf 3006","115","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Male","513","7.4","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","Female","643","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","18-24 years","277","7.6","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","25-34 years","248","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","35-44 years","129","7.1","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","45-54 years","125","7.5","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","55-64 years","140","7.3","Average"
"8b","Other","Subjective wellbeing","Satisfaction with health","Average satisfaction score (from 0-10)","2018","65+ years","247","7.2","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","7.3","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Docklands 3008","90","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","East Melbourne 3002","77","7.8","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Kensington/ Flemingon 3031","136","6.9","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Melbourne 3000","267","7.0","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","North Melbourne 3051 / West Melbourne 3003","178","6.9","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Parkville 3052","68","7.2","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Southbank/ South Wharf 3006","115","7.5","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","6.9","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Male","513","7.2","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","Female","643","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","18-24 years","277","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","25-34 years","248","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","35-44 years","129","7.0","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","45-54 years","125","7.1","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","55-64 years","140","7.2","Average"
"8c","Other","Subjective wellbeing","Satisfaction with currently achieving in life","Average satisfaction score (from 0-10)","2018","65+ years","247","7.7","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","7.4","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","7.2","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Docklands 3008","90","7.6","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","East Melbourne 3002","77","7.8","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Kensington/ Flemingon 3031","136","7.3","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Melbourne 3000","267","7.1","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","North Melbourne 3051 / West Melbourne 3003","178","7.4","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Parkville 3052","68","7.6","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Southbank/ South Wharf 3006","115","7.8","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","7.2","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Male","513","7.2","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","Female","643","7.6","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","18-24 years","277","7.2","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","25-34 years","248","7.5","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","35-44 years","129","7.0","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","45-54 years","125","7.4","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","55-64 years","140","7.6","Average"
"8d","Other","Subjective wellbeing","Satisfaction with personal relationships","Average satisfaction score (from 0-10)","2018","65+ years","247","7.9","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","8.1","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","8.1","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Docklands 3008","90","8.6","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","East Melbourne 3002","77","8.3","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Kensington/ Flemingon 3031","136","8.1","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Melbourne 3000","267","8.0","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","North Melbourne 3051 / West Melbourne 3003","178","8.0","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Parkville 3052","68","8.0","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Southbank/ South Wharf 3006","115","8.4","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","119","8.0","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Male","513","8.2","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","Female","643","8.1","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","18-24 years","277","8.0","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","25-34 years","248","8.3","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","35-44 years","129","7.9","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","45-54 years","125","8.1","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","55-64 years","140","8.2","Average"
"8e","Other","Subjective wellbeing","Satisfaction with how safe you feel","Average satisfaction score (from 0-10)","2018","65+ years","247","8.1","Average"
"8f","Other","Subjective wellbeing","Satisfaction with feeling part of your community","Average satisfaction score (from 0-10)","2018","City of Melbourne","1166","6.6","Average"
"8f","Other","Subjective wellbeing","Satisfaction with feeling part of your community","Average satisfaction score (from 0-10)","2018","Carlton 3053","116","6.7","Average"
