"name","what","who","address_1","address_2","suburb","phone","phone_2","free_call","email","website","twitter","social_media","monday","tuesday","wednesday","thursday","friday","saturday","sunday","public_holidays","cost","tram_routes","bus_routes","nearest_train_station","category_1","category_2","category_3","category_4","category_5","category_6","longitude","latitude","geocoded_location"
"HomeGround Services","initial assessment and planning for housing crisis accommodation
limited financial assistance
assistance with public housing applications
free legal advice and assistance provided by Justice Connect.  Contact Justice Connect on telephone 1800 606 313 to talk to an Intake Worker to make an appointment
Not-for-profit real estate agency committed to providing landlords and tenants with a professional property management service, while reinvesting our revenue back into the community (Phone: 9288 9600)",,,"68 Oxford Street","Collingwood","9288 9611",,"1800 606 313","info@homeground.org.au","homeground.org.au","@_HomeGround","facebook.com/homegroundservices","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"86 (stop 16 Peel St)",,,"Accommodation","Legal / Financial Advice","Tenancy Assistance","N/A","N/A","N/A","144.98479699999999","-37.804758999999997","(-37.804759, 144.984797)"
"Homelessness Advocacy Service (HAS) – Council to Homeless Persons",,,,"2 Stanley Street","Collingwood",,,"1800 066 256","Angela@chp.org.au","chp.org.au/services/has/","@CHPVic",,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"86 (stop 18 Hodgson St)",,,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.98427799999999","-37.801915000000001","(-37.801915, 144.984278)"
"Inner Melbourne Community Legal ","free legal information, advice and casework","financially disadvantaged individuals who live, work or study in: 
·         Melbourne CBD
·         North Melbourne
·         West Melbourne
·         Docklands 
·         Carlton.","Suite 2","508 Queensberry Street","North Melbourne","9328 1885",,,"north_melbourne@clc.net.au","imcl.org.au","@IMelbCL","facebook.com/IMCL.org","9.00am - 5.00pm","9.00am - 5.00pm, General legal: fortnightly from 9:30 – 11:30am, Criminal law: fortnightly from 6:30 – 8:30pm","9.00am - 5.00pm, Family law: fortnightly from 6:30 – 8:30pm ","9.00am - 5.00pm","9.00am - 5.00pm, Debt and infringement: from 1:30 – 4pm","Closed","Closed","Closed",,"57 (stop 12 North Melbourne Town Hall)",,,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.95040399999999","-37.803069000000001","(-37.803069, 144.950404)"
"Inner Melbourne VET Cluster (IMVC)","Making Alternatives Program (MAP) Program – Term 4 (10 weeks): is designed for young adults, aged 15-18 years seeking an alternative learning environment to mainstream schooling.  Students will participate in Career and Industry exploration activities beyond the classroom.  The program’s small-group setting will also provide for a more supportive and individualized approach to learning.

Springboard Program:  The Springboard Program provides outreach case management and funding to young people who are, or have been, in residential out-of-home care, between 16 and 21 years of age, who are disengaged from education, training or employment.  The young person has to be subject to a Custody of Secretary Order or a Guardianship Order on or after their 16th birthday to be eligible for Springboard support.",,"Level 1","71 Palmerston Crescent","South Melbourne","9686 2354",,,"reception@imvc.com.au","imvc.com.au",,"facebook.com/IMVCInnerMelbourneVETCluster",,,,,,,,,,"55 (stop 118 Park St)",,,"Legal / Financial Advice","Employment Assistance","N/A","N/A","N/A","N/A","144.96907899999999","-37.835110999999998","(-37.835111, 144.969079)"
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Justice Connect Homeless Law","Homeless Law provides free legal advice and assistance to people who are homeless or at risk of homelessness.

The service assists with the following legal issues:
infringements that are related to homelessness, tenancy, credit and debt, guardianship and administration.

It operates from a number of outreach locations within the City of Melbourne.",,,"229 Barkly Street","Footscray ",,,"1800 606 313","admin@justiceconnect.org.au","justiceconnect.org.au","@Justice_Connect","facebook.com/JusticeConnect",,,,,,,,,,,,,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.89657500000001","-37.799988999999997","(-37.799989, 144.896575)"
"Living Room Primary Health Service","Living Room is made up of a team of doctors/nurses and community development workers who provide a confidential ‘user friendly’ free health service.

health services, referrals and information, chill out space, tea and coffee


There are a number of co-located services including:
Centrelink, podiatry, dieticians, dental hygienist, mental health nurses, social worker, psychologist, Hep C, liver clinic, housing services, youth response, employment agency.

Drop into Hosier Lane or contact outreach workers by phone.",,,"7-9 Hosier Lane","Melbourne","9945 2100",,"1800 440 188","livingroom@youthprojects.org.au","youthprojects.org.au","@Youth_Projects","facebook.com/YouthProjects","10:00am – 12:00pm, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Closed","Closed","Closed",,"City Circle, 70, 71, 75 (stop 5 Russell St)",,"Flinders Street","Health Services / Pharmacy","N/A","N/A","N/A","N/A","N/A","144.96902900000001","-37.816296999999999","(-37.816297, 144.969029)"
"McAuley Community Services for Women - McAuley House Program","medium term supported accommodation","Medium term supported accommodation for women, unaccompanied by children, aged between 25 – 55 years who are homeless, at risk of homelessness and/or have a mental illness.",,"149 Flemington Road","North Melbourne"," 9269 6868",,,"mcsw@mcauleycsw.org.au","mcauleycsw.org.au","@McAuleycsw","facebook.com/McAuleycsw","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"55, 57, 59",,,"Accommodation","Health Services / Pharmacy","N/A","N/A","N/A","N/A","144.94962899999999","-37.795588000000002","(-37.795588, 144.949629)"
"Quin House","Quin House accommodates men over 18 years. There is an abstinence-based program with referral through the withdrawal services.

residential drug and alcohol rehabilitation (3 months), post-residential program, accommodation referral","Men over 18 years",,"38-40 George Street","Fitzroy","9419 4874",,,,"vincentcare.org.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"86 (stop 14 Napier St)",,,"Food","Drug and Alcohol","N/A","N/A","N/A","N/A","144.98075800000001","-37.807262999999999","(-37.807263, 144.980758)"
"Rosies Bus","Rosies Bus parks at Flinders Street Station and provides tea, coffee, biscuits, milo, and cordial.
(Winter Season):  Blankets/Gloves/Beanies and Scarves)",,,,,"9795 5077",,,"rosies.vic@oblates.com.au","rosiesvic.oblates.com.au",,"facebook.com/rosiesvictoria","Closed","Closed","8.30pm - 10.30pm","Closed","8.30pm - 10.30pm","Closed","Closed","Closed",,,,"Flinders Street","Food","N/A","N/A","N/A","N/A","N/A",,,
"Matthew Talbot Fitzroy Soup Van","The Fitzroy Soup Van does street stops around the city area and operates 7 days per week.

Monday to Friday:
Sandwiches, soup, sausage rolls, meat pies, pasties, tea, coffee and cordial.

Saturday and Sunday:
Sandwiches, soup, tea, coffee and cordial.","The Fitzroy Soup Van is a free service available to anyone in the Fitzroy area. We typically support people who face financial difficulties and those who are homeless.",,"Multiple locations. Please contact provider for latest location information.",,,,,"soupvans@svdp-vic.org.au","vinnies.org.au/page/Find_Help/VIC/Food/Fitzroy_Soup_Van/",,,"Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Godfrey Street, City –  9.15pm.","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm",,,,,"Food","N/A","N/A","N/A","N/A","N/A",,,
"Melbourne Counselling Service","gambling counselling, youth sexual assault counselling, a unit of Gamblers Help, financial counselling, general counselling",,"Level 2 ","69 Bourke Street","Melbourne","9653 3250",,,,"salvationarmy.org.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"City Circle, 86, 95, 96 (stop 9 Spring St)",,"Parliament","Counselling and Psychiatric Services","Legal / Financial Advice","N/A","N/A","N/A","N/A","144.97162800000001","-37.812514999999998","(-37.812515, 144.971628)"
"Melbourne Sexual Health Centre","sexual health services, pregnancy testing, counselling, pharmacy, needle exchange, result and information line",,,"580 Swanston Street","Carlton","9341 6200",,,,"mshc.org.au",,,"8.40am - 5pm","8.40am - 5pm","8.40am - 5pm","8.40am - 5pm, 5.00pm - 6:30pm by appointment only","12:30pm - 5.00pm","Closed","Closed","Closed",,"1, 3, 5, 6, 8, 16, 64, 67, 72 (stop 3 Lincoln Square)",,,"Health Services / Pharmacy","Drug and Alcohol","Needle Exchange","N/A","N/A","N/A","144.96383700000001","-37.803077999999999","(-37.803078, 144.963837)"
"North West Outreach Service","needle and syringe program",,,,"Kensington, Flemington, Ascot Vale, Moonee Ponds, Essendon and Niddrie","0418 170 556",,"1800 170 556",,,,,"6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am","6.00pm – 2.00am",,,,,"Needle Exchange","N/A","N/A","N/A","N/A","N/A",,"144.915469",
"Hamodava Café","Provides meals Monday to Friday, at no cost.


a  safe place for Melbourne’s homeless and marginalized
meals provided Monday to Friday at no cost
assessment and referral for D&A, mental health and legal services",,,"69 Bourke Street","Melbourne","9653 3299",,,,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Closed","Closed","Closed",,"City Circle, 86, 96 (stop 9 Spring St)",,"Parliament","Food","N/A","N/A","N/A","N/A","N/A","144.97162800000001","-37.812514999999998","(-37.812515, 144.971628)"
"Open Family Australia","Outreach service for young people 10-25 years, accommodation referral, drug and alcohol referral, legal advice referral and recreational activities.

The ‘Chatter Box Bus’ operates from 8pm till late in and around Melbourne CBD ‘hotspots’ on Wednesday, Friday and Saturday nights.  Food, advice and activities offered.","Outreach service for young people 10-25 years",,"155 Roden Street","West Melbourne","8354 0800",,,"info@openfamily.com.au","openfamily.com.au",,,"9.00 am - 5.00 pm","9.00 am - 5.00 pm","9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late","9.00 am - 5.00 pm","9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late","Chatter Box Bus: 8pm till late","Closed","Closed",,"57 (stop 11 Victoria St)",,"North Melboourne","Accommodation","Drug and Alcohol","Legal / Financial Advice","N/A","N/A","N/A","144.94717700000001","-37.808663000000003","(-37.808663, 144.947177)"
"Orygen Youth Health","Public mental health service","Young people aged 15 – 24 years living in the Western and North-Western regions of Melbourne",,"35 Poplar Road","Parkville","9342 2800",,"1800 888 320","info@orygen.org.au","oyh.org.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"55 (stop 26 Royal Park Station)",,"Royal Park – Upfield Line.","Health Services / Pharmacy","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","144.94857099999999","-37.779449","(-37.779449, 144.948571)"
"Ozanam Community Centre","breakfast – daily between 9.15 am - 10am
lunch – daily between 12 noon - 1pm.
laundry, shower, health services, dentist, drug and alcohol counselling, doctor and nurse, therapeutic groups, centrelink, Inner Melbourne Legal Services.","Statewide services for homeless and disadvantaged people who are over 18 years old",,"268 Abbotsford Street","North Melbourne","9329 6733",,,,"vincentcare.org.au",,,"9.00am - 2.30pm","9.00am - 2.30pm","9.00am - 2.30pm","9.00am - 2.30pm","9.00am - 2.30pm","Closed","Closed","Closed",,"57 (stop 15 Arden St)",,,"Food","Health Services / Pharmacy","Dentistry","Showers / Laundry","Counselling and Psychiatric Services","N/A","144.946225","-37.800795000000001","(-37.800795, 144.946225)"
"Ozanam House","crisis accommodation for men over the age of 18, food (3 meals per day to residents), laundry ($1 operation charge for residents)

centrelink services Thursday 9:30am - 11.30am

Accommodation Referrals for Ozanam House through VincentCare Housing Services.
Phone 9304 0100 
Freecall:   1800 618 468","Crisis accommodation centre houses men over 18 years of age.",,"179 Flemington Road","North Melbourne","9304 0100 ","9329 5100","1800 618 468",,"vincentcare.org.au",,,"24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","Disability - $30.00 per night
New Start Allowance - $24.00 per night
Youth Allowance - $18.00 per night.","55, 57, 59 (stop 19 Abbotsford St Interchange)",,,"Food","Accommodation","Showers / Laundry","N/A","N/A","N/A","144.94850700000001","-37.795439000000002","(-37.795439, 144.948507)"
"Presbyterian and Scots’ Church Joint Mission (The Flemington Mission)","coffee, conversation,  blankets, books, etc. every Tuesday.
food relief is also available on the 1st and 3rd Tuesdays of each month.",,,"26 Norwood Street","Flemington","9376 3777",,,,,,,"Closed","10.00am - 1.00pm","Closed","Closed","Closed","Closed","Closed","Closed",,"57 (stop 25 Wellington St)",,"Newmarket (Craigieburn Line)","Food","Clothes and Blankets","N/A","N/A","N/A","N/A","144.93081000000001","-37.787084","(-37.787084, 144.93081)"
"RDNS Homeless Person’s Program","Health services",,,"113 Rosslyn Street","West Melbourne","1300 334 455",,,"cscentre@rdns.com.au","rdns.com.au",,,"8:30 AM - 5:30 PM","8:30 AM - 5:30 PM","8:30 AM - 5:30 PM","8:30 AM - 5:30 PM","8:30 AM - 5:30 PM","Closed","Closed","Closed",,"57 (stop 10 Chetwynd St)",,,"Health Services / Pharmacy","N/A","N/A","N/A","N/A","N/A","144.95082500000001","-37.808981000000003","(-37.808981, 144.950825)"
"Royal Victorian Eye & Ear Hospital","Outpatients’ emergency service",,,"32 Gisborne Street","East Melbourne","9929 8666",,,"info@eyeandear.org.au","eyeandear.org.au",,,"24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,"109, 12 (stop 12 St Vincent’s Plaza)",,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.97621899999999","-37.808784000000003","(-37.808784, 144.976219)"
"Sacred Heart Mission","free breakfast 8.30am – 10.30am (Monday to Friday) 
Saturday and Sunday and Public Holidays 9.00am - 10.30 am.
free lunch 11.45am – 1.15pm every day of the year, including public holidays
op shop
free showers & laundry
assistant with housing and referrals, physical and mental health, counseling and support
GP and nurse clinic
health and well-being program.",,,"87 Grey Street","St Kilda","9537 1166",,,"info@sacredheartmission.org","sacredheartmission.org","@ScdHrtMission","facebook.com/sacredheartmission","8.30am – 10.30am, 11.45am – 1.15pm","8.30am – 10.30am, 11.45am – 1.15pm","8.30am – 10.30am, 11.45am – 1.15pm","8.30am – 10.30am, 11.45am – 1.15pm","8.30am – 10.30am, 11.45am – 1.15pm","9.00am – 10.30am, 11.45am – 1.15pm","9.00am – 10.30am, 11.45am – 1.15pm","9.00am – 10.30am, 11.45am – 1.15pm","No Fee","16, 96 (stop 132 St Kilda Station)",,,"Food","Accommodation","Clothes and Blankets","Showers / Laundry","N/A","N/A","144.97978699999999","-37.863011","(-37.863011, 144.979787)"
"Sacred Heart Mission’s Women’s House","The Women’s House is a safe drop-in centre for women open Monday – Friday 11.30am - 3.00pm.
free lunch is available between 11.30am -  2.00pm
assistance with housing and referrals, physical and mental health, counseling and support
showers, laundry & telephones
computer and internet
art program and social activities","Single Women 25 years +",,"65 Robe Street","St Kilda","9536 8464",,,"womenshouse@sacredheartmission.org","sacredheartmission.org","@ScdHrtMission","facebook.com/sacredheartmission","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","Closed","Closed","Closed","No Fee","16, 96 (stop 132 St Kilda Station)",,,"Food","Accommodation","Clothes and Blankets","Showers / Laundry","Counselling and Psychiatric Services","N/A","144.98023699999999","-37.863675999999998","(-37.863676, 144.980237)"
"Sacred Heart Mission’s Clinic","provides natural and complementary therapies such as podiatry, physiotherapy, massage, hairdressing

appointment required","Priority is given to people who hold a pension/health care card or are living in unstable accommodation and live in the City of Port Phillip or have been referred by an agency.",,"1/99 Grey Street","St Kilda","9536 8456",,,,"sacredheartmission.org","@ScdHrtMission","facebook.com/sacredheartmission","9am - 4:15pm (Appointment needed)","9am - 4:15pm (Appointment needed)","9am - 4:15pm (Appointment needed)","9am - 4:15pm (Appointment needed)","9am - 4:15pm (Appointment needed)","Closed","Closed","Closed","a payment of $2 is requested however treatment will not be refused if a person is unable to pay","16, 96 (stop 132 St Kilda Station)",,,"Health Services / Pharmacy","N/A","N/A","N/A","N/A","N/A","144.980726","-37.863289999999999","(-37.86329, 144.980726)"
"Salvation Army – Project 614",,,,"69 Bourke Street","Melbourne","9653 3299",,,,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614",,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","144.97162800000001","-37.812514999999998","(-37.812515, 144.971628)"
"The Market Place","provides practical support by way of our no cost supermarket.
food, toiletries, clothing, etc.
shower facilities
assessment and referral service",,,"69 Bourke Street","Melbourne","9653 3299",,,,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614","9.30am – 12.00 noon","9.30am – 12.00 noon","9.30am – 12.00 noon","9.30am – 12.00 noon","9.30am – 12.00 noon","Closed","Closed","Closed",,"City Circle, 86, 96 (stop 9 Spring St)",,"Parliament","Food","N/A","N/A","N/A","N/A","N/A","144.97162800000001","-37.812514999999998","(-37.812515, 144.971628)"
"614/AMP Youth Bus","a safe place for Melbourne’s homeless and marginalized youth
provides activities and food
referral for D&A, medical and legal services
internet access",,,"Bus located corner Swanston and Flinders Streets - Mobile service please check provider's website for updated location","Melbourne",,,,,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614","6.30pm – 9.00pm","6.30pm – 9.00pm","6.30pm – 9.00pm","Closed","Closed","Closed","Closed","Closed",,,,,"Food","N/A","N/A","N/A","N/A","N/A","144.96755300000001","-37.817290999999997","(-37.817291, 144.967553)"
"Salvation Army – 24/7 Melbourne’s Road Home","is an outreach program that seeks to search, locate and engage with rough sleepers
can be contacted in regards to rough sleepers in and around the Melbourne CBD
accepts referrals from police, ambulance, business owners and the general community,",,,,,"1800 266 686 489",,"1800 COMMUNITY",,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"The Couch International Student Centre","links International Students to support services and provides general information
provides a safe space to socialize and interact with others
free meals",,,"69 Bourke Street","Melbourne","9653 3299",,,,"salvationarmy.org.au/melbourne614","@melb614","acebook.com/melbourne614","5.00pm – 9.00pm","5.00pm – 9.00pm","5.00pm – 9.00pm","5.00pm – 9.00pm","Closed","Closed","Closed","Closed",,"City Circle, 86, 96 (stop 9 Spring St)",,"Parliament","Food","N/A","N/A","N/A","N/A","N/A","144.97162800000001","-37.812514999999998","(-37.812515, 144.971628)"
"Salvation Army Open Door","accommodation (transitional)
laundry

Referrals via HomeGround, entering through Flagstaff Crisis Accommodation or Ozanam House.","Transitional accommodation (3 to 6 months) for homeless men who are over 18 years .",,"166 Boundary Road","North Melbourne","9329 6988",,,,"salvationarmy.org.au/adultservices",,,"9.00am - 5.00pm, program staffed 24 hours","9.00am - 5.00pm, program staffed 24 hours","9.00am - 5.00pm, program staffed 24 hours","9.00am - 5.00pm, program staffed 24 hours","9.00am - 5.00pm, program staffed 24 hours","Closed, program staffed 24 hours","Closed, program staffed 24 hours","Closed, program staffed 24 hours","$385 per fortnight on DSP.  
New Start Youth Allowance $350 per fortnight, including three meals per day.","57, 59 (stop 22 Flemington Bridge Station)",,"Flemington Bridge (Upfield Line)","Accommodation","Showers / Laundry","N/A","N/A","N/A","N/A","144.93988400000001","-37.790064000000001","(-37.790064, 144.939884)"
"Settlement Program","Providing assistance to members of the community that have lived in Australia for less than 5 years.

referral service, domestic violence support, drug and gambling information, housing advice, legal information, citizenship advice, support to community groups, settlement issues for new arrivals.",,,"58 Holland Court","Flemington","9376 2033",,,"jss@jss.org.au","jss.org.au","@JesuitSocialSer","facebook.com/jesuitsocialservices","9.30 AM - 5.30 PM","9.30 AM - 5.30 PM","9.30 AM - 5.30 PM","9.30 AM - 5.30 PM","9.30 AM - 5.30 PM","Closed","Closed","Closed",,"57",,,"Accommodation","Legal / Financial Advice","Drug and Alcohol","N/A","N/A","N/A","144.93570700000001","-37.787059999999997","(-37.78706, 144.935707)"
"St. Francis Pastoral Centre",,,,"326 Lonsdale Street","Melbourne","9663 2495",,,"stfrancis@blessedsacrament.com.au","stfrancismelbourne.org.au",,,"Closed","Closed","10.00am – 2.00pm","Closed","10.00am – 2.00pm","Closed","10.00am – 2.00pm","Closed","Tea/Coffee & Biscuit for $1.00 or donation.",,,,"Food","N/A","N/A","N/A","N/A","N/A","144.96247199999999","-37.811734999999999","(-37.811735, 144.962472)"
"St. Mary’s House of Welcome","meals program, showers, information and referral to drugs and alcohol/housing/health etc.
day-to-day living program:  provides activities and programs for people living with a mental illness.","All programs and services are open to adults aged over 18 years.",,"165-169 Brunswick Street","Fitzroy","9417 6497",,,,"smhow.org.au","@StMarysHOW","facebook.com/smhow","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 1:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00)","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 1:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00)","Closed","Closed","Sit down two-course lunch $2.00","11 (stop 14 King William St)",,,"Food","Showers / Laundry","Drug and Alcohol","N/A","N/A","N/A","144.97746000000001","-37.802492000000001","(-37.802492, 144.97746)"
"St. Vincent’s de Paul","clothing, furniture and bric-a-brac (cheap)

Call Head Office on 9895 5800 for help in finding your nearest branch.",,,"121 Johnston Street","Collingwood","9417 4559","9895 5800",,"collingwood.centre@svdp-vic.org.au","vinnies.org.au","@VinniesVictoria","facebook.com/StVincentdePaulSocietyVictoria","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,,"200, 207
(Hoddle St/Johnston St (Collingwood) stop ID 851)","Victoria Park","Clothes and Blankets","N/A","N/A","N/A","N/A","N/A","144.988812","-37.799683000000002","(-37.799683, 144.988812)"
"St. Vincent’s Emergency Department","Outpatients’ emergency service",,,"41 Victoria Parade","Fitzroy","9231 2211",,,,"www.svhm.org.au",,"facebook.com/StVincentsHospitalMelb","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,"109, 12 (stop 12 St Vincent’s Plaza)",,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.97496000000001","-37.807772999999997","(-37.807773, 144.97496)"
"Victoria Police - Melbourne East","In case of an emergency or if you require immediate assistance call Triple Zero (000)",,,"226 Flinders Lane","Melbourne","9637 1100",,"000","MELBOURNEEAST.UNI@police.vic.gov.au","police.vic.gov.au","@victoriapolice","facebook.com/victoriapolice","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,,,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.9665","-37.816606999999998","(-37.816607, 144.9665)"
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Stopover Youth Services","crisis refuge accommodation
advocacy and general support

Housing support program offered for 16-24 year old young people experiencing homelessness.  Individual room and bathroom, food included, small service fee payable by clients.  Stays of approximately 6 weeks, based on individual case plan.

Outreach housing support for young people experiencing homelessness either in temporary housing or without any fixed housing.  

Referral through the Opening Doors Framework Access Points, including Melbourne Youth Support at Frontyard, 19 King Street, Melbourne.","Housing support program offered for 16-24 year old young people experiencing homelessness.",,,,"8486 2133",,,"stopover@mcm.org.au","melbournecitymission.org.au","@MelbCityMission","facebook.com/MelbourneCitymission","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,,,,"Food","Accommodation","N/A","N/A","N/A","N/A",,,
"The Alfred","acute medical and surgical hospital services 
inpatient and outpatient treatment including geriatric medicine 
centre for heart-lung
transplants and treatment of trauma, HIV/AIDS, hemophilia and adult burns
after-hours emergency and casualty services",,,"Commercial Road","Melbourne","9076 2000",,,"contactus@alfred.org.au","www.alfred.org.au","@AlfredHealth","facebook.com/AlfredHealth","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,"72 (stop 26 Alfred Hospital)",,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.98604399999999","-37.845804000000001","(-37.845804, 144.986044)"
