OID_,SchoolName,District,DBN,Accessibil,Accessib_1,Website,BoroughNum,BoroughNam,PhoneNumbe,Capacity,Grades,Campus,Neighborho,Website2,ESL,Concentrat,Num_of_SAT_Test_Takers,SAT_Critical_Reading_Avg__Score,SAT_Math_Avg__Score,SAT_Writing_Avg__Score,TOTAL_SCORE,Location 1,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
,Christopher Columbus High School,11,11X415,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X415/default.htm,2,Bronx,718-944-3400,328,"09,10,11,12,SE",Christopher Columbus Educational Campus,Bronxdale, ,0, ,121,367,361,353,1202,"925 ASTOR AVENUE Bronx, NY 10469
(40.859671, -73.8607409739996)",7,6,307,11607
,In-Tech Academy (M.S. / High School 368),10,10X368,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X368/default.htm,2,Bronx,718-432-4300,1066,"06,07,08,09,10,11,12,SE", ,Spuyten Duyvil - Kingsbridge,http://www.intech-academy.org,1,Computer Science & Technology,111,390,408,383,1292,"2975 TIBBETT AVENUE Bronx, NY 10463
(40.88005, -73.9092090479996)",17,2,85,11272
,THE CINEMA SCHOOL,12,12X478, , ,http://schools.nyc.gov/SchoolPortals/12/X478/default.htm,2,Bronx,718-620-2560,306,"09,10,11,12,SE",James Monroe Educational Campus,West Farms - Bronx River,http://www.thecinemaschool.org,1,Film/Video,,,,,,"1551 EAST 172ND STREET Bronx, NY 10472
(40.831364, -73.8783446749996)",16,3,128,11610
,Jill Chaifetz Transfer High School,7,07X379, , ,http://schools.nyc.gov/SchoolPortals/07/X379/default.htm,2,Bronx,718-402-2429,146,"09,10,11,12", ,Melrose South - Mott Haven North, ,0, ,,,,,,"778 FOREST AVENUE Bronx, NY 10456
(40.81898, -73.9058412619996)",16,1,16,10934
,Discovery High School,10,10X549,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X549/default.htm,2,Bronx,718-733-3872,512,"09,10,11,12,SE",Walton Educational Campus,Van Cortlandt Village,http://www.discoveryhs.org,1,Humanities & Interdisciplinary,55,372,379,364,1170,"2780 RESERVOIR AVENUE Bronx, NY 10468
(40.870377, -73.8981629519996)",17,2,86,11606
,Bronx Collegiate Academy,9,09X227,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X227/default.htm,2,Bronx,718-410-4077,319,"09,10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village, ,1,Humanities & Interdisciplinary,39,324,376,349,1088,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
,Fannie Lou Hamer Freedom High School,12,12X682,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/12/X682/default.htm,2,Bronx,718-861-0521,472,"09,10,11,12,SE", ,Crotona Park East, ,1,Humanities & Interdisciplinary,72,342,346,341,1101,"1021 JENNINGS STREET Bronx, NY 10460
(40.830888, -73.8862427729996)",16,3,149,11269
,Bronx International High School,9,09X403,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X403/default.htm,2,Bronx,718-620-1053,393,"09,10,11,12,SE",Morris Educational Campus,Morrisania - Melrose,http://www.BronxInternationalHS.com,1,Humanities & Interdisciplinary,49,314,312,339,1014,"1110 BOSTON ROAD Bronx, NY 10456
(40.827602, -73.9044752569996)",16,4,165,10934
,Bronx School of Law and Finance,10,10X284,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X284/default.htm,2,Bronx,718-561-0113,397,"09,10,11,12,SE",John F. Kennedy Educational Campus,Spuyten Duyvil - Kingsbridge,http://www.LawandFinance.org,1,Law & Government,54,402,395,385,1236,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,Women's Academy of Excellence,8,08X282,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/08/X282/default.htm,2,Bronx,718-542-0740,392,"09,10,11,12,SE", ,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.thewae.org,1,Science & Math,44,407,386,378,1215,"456 WHITE PLAINS ROAD Bronx, NY 10473
(40.81491, -73.8566008239996)",7,5,266,11611
,The Bronxwood Preparatory Academy,11,11X514,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X514/default.htm,2,Bronx,718-696-3820,390,"09,10,11,12,SE", ,Williamsbridge - Olinville, ,1,Humanities & Interdisciplinary,48,377,372,363,1160,"921 EAST 228TH STREET Bronx, NY 10466
(40.887919, -73.8528716129996)",17,6,328,11275
,Bronx High School of Business,9,09X412,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X412/default.htm,2,Bronx,718-410-4060,382,"09,10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village, ,1,Business,34,356,376,351,1117,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
,Knowledge and Power Preparatory Academy International High School (Kappa),10,10X374, , ,http://schools.nyc.gov/SchoolPortals/10/X374/default.htm,2,Bronx,718-933-1247,342,"09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont,http://www.kappainternational.org,1,Humanities & Interdisciplinary,61,392,401,387,1241,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,Health Opportunities High School,7,07X670,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X670/default.htm,2,Bronx,718-401-1826,553,"09,10,11,12,SE", ,West Concourse,http://www.hopschool.com,1,Health Professions,114,363,368,364,1209,"350 GERARD AVENUE Bronx, NY 10451
(40.816086, -73.9303236149996)",16,1,26,10929
,Banana Kelly High School,8,08X530,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X530/default.htm,2,Bronx,718-860-1242,414,"09,10,11,12,SE", ,Longwood, ,1,Humanities & Interdisciplinary,54,373,381,377,1185,"965 LONGWOOD AVENUE Bronx, NY 10459
(40.817439, -73.8980492049996)",16,5,236,10937
,New Explorers High School,7,07X547,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/07/X547/default.htm,2,Bronx,718-292-4150,406,"09,10,11,12,SE", ,East Concourse - Concourse Village,http://www.myNEHS.info,1,Visual Art & Design,28,367,356,361,1112,"730 CONCOURSE VILLAGE WEST Bronx, NY 10451
(40.822776, -73.9235227929996)",16,1,10,10929
,Fordham Leadership Academy for Business and Technology,10,10X438,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X438/default.htm,2,Bronx,718-733-5024,402,"09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont, ,1,Business,63,367,385,367,1182,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,Leadership Institute,9,09X276,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/09/X276/default.htm,2,Bronx,718-299-7490,216,"09,10,11,12,SE", ,Claremont - Bathgate, ,1,Humanities & Interdisciplinary,30,361,353,367,1111,"1701 FULTON AVENUE Bronx, NY 10457
(40.84127, -73.8979786769996)",16,4,193,10935
,Bronx Aerospace High School,11,11X545,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/11/X545/default.htm,2,Bronx,718-696-6010,368,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville, ,1,Communications,46,388,393,382,1209,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,High School of Computers and Technology,11,11X275,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/11/X275/default.htm,2,Bronx,718-696-3930,527,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville,http://www.hsctbronx.org,1,Computer Science & Technology,72,381,376,354,1183,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,East Bronx Academy for the Future,12,12X271,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/12/X271/default.htm,2,Bronx,718-861-8641,599,"06,07,08,09,10,11,12,SE", ,Crotona Park East,http://www.eastbronxacademy.org,1,Humanities & Interdisciplinary,46,366,378,358,1148,"1716 SOUTHERN BOULEVARD Bronx, NY 10460
(40.836971, -73.8879901479996)",16,3,152,11269
,Mott Hall Bronx High School,9,09X252,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X252/default.htm,2,Bronx,718-466-6800,356,"09,10,11,12,SE", ,Claremont - Bathgate, ,1,Humanities & Interdisciplinary,67,369,367,356,1159,"1595 BATHGATE AVENUE Bronx, NY 10457
(40.839311, -73.9012805729996)",16,4,211,10935
,Bronx Community High School,8,08X377, , ,http://schools.nyc.gov/SchoolPortals/08/X377/default.htm,2,Bronx,718-892-1026,184,"09,10,11,12", ,Soundview-Castle Hl-Clason Pt-Hardng Pk, ,0, ,9,367,369,376,1121,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Bronx Leadership Academy High School,9,09X525,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X525/default.htm,2,Bronx,718-299-4274,675,"09,10,11,12,SE", ,Claremont - Bathgate,http://www.bronxleadershipacademy.org,1,Law & Government,114,384,394,388,1280,"1710 WEBSTER AVENUE Bronx, NY 10457
(40.843581, -73.9032200379996)",16,4,193,10935
,Monroe Academy for Business/Law,12,12X690,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X690/default.htm,2,Bronx,718-860-8140,113,"09,10,11,12,SE",James Monroe Educational Campus,West Farms - Bronx River, ,0, ,31,375,387,376,1169,"1300 BOYNTON AVENUE Bronx, NY 10472
(40.831366, -73.8788232769996)",16,3,128,11610
,Holcombe L. Rucker School of Community Research,8,08X332, , ,http://schools.nyc.gov/SchoolPortals/08/X332/default.htm,2,Bronx,718-860-1053,281,"09,10,11,12,SE", ,Longwood,http://www.holcombelrucker.com,1,Humanities & Interdisciplinary,39,363,371,350,1123,"965 LONGWOOD AVENUE Bronx, NY 10459
(40.817439, -73.8980492049996)",16,5,236,10937
,Hostos-Lincoln Academy of Science,7,07X500,P,Partially Accessible,http://schools.nyc.gov/SchoolPortals/07/X500/default.htm,2,Bronx,718-402-5640,516,"06,07,08,09,10,11,12,SE", ,Melrose South - Mott Haven North, ,1,Health Professions,66,420,426,411,1323,"600 SAINT ANN'S AVENUE Bronx, NY 10455
(40.814955, -73.9125195419996)",16,1,14,10933
,"Celia Cruz Bronx High School of Music, The",10,10X442,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X442/default.htm,2,Bronx,718-329-8550,421,"09,10,11,12",Walton Educational Campus,Van Cortlandt Village,http://www.ccbxhsm.org,1,Performing Arts,52,423,420,427,1322,"2780 RESERVOIR AVENUE Bronx, NY 10468
(40.870377, -73.8981629519996)",17,2,86,11606
,Bronx Engineering and Technology Academy,10,10X213,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X213/default.htm,2,Bronx,718-563-6678,404,"09,10,11,12,SE",John F. Kennedy Educational Campus,Spuyten Duyvil - Kingsbridge, ,1,Engineering,86,373,412,365,1236,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,High School of American Studies at Lehman College,10,10X696,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X696/default.htm,2,Bronx,718-329-2144,393,"09,10,11,12", ,Van Cortlandt Village,http://www.hsas-lehman.org,1,Humanities & Interdisciplinary,92,636,648,636,2012,"2925 GOULDEN AVENUE Bronx, NY 10468
(40.871258, -73.8975158259996)",17,2,86,11606
,Eagle Academy for Young Men,9,09X231,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/09/X231/default.htm,2,Bronx,718-466-8000,562,"06,07,08,09,10,11,12,SE", ,Claremont - Bathgate,http://www.eagleny.org,1,Humanities & Interdisciplinary,78,373,387,374,1212,"4143 THIRD AVENUE Bronx, NY 10457
(40.84517, -73.8969502959996)",16,4,219,10935
,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",8,08X519,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X519/default.htm,2,Bronx,718-860-5110,317,"09,10,11,12,SE", ,Soundview-Castle Hl-Clason Pt-Hardng Pk, ,1,Law & Government,68,373,370,356,1167,"1440 STORY AVENUE Bronx, NY 10473
(40.82117, -73.8811363459996)",16,5,225,11611
,Bronx High School for Medical Science,9,09X413,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X413/default.htm,2,Bronx,718-410-4040,452,"06,07,08,09,10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village,http://www.bhsms.org,1,Health Professions,64,400,419,402,1285,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
,Renaissance High School for Musical Theater & Technology,8,08X293,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X293/default.htm,2,Bronx,718-430-6390,433,"09,10,11,12,SE",Herbert H. Lehman Educational Campus,Schuylerville - Throgs Nk - Edgewater Pk,http://www.Renaissancemtt.org,1,Performing Arts,52,384,385,389,1210,"3000 EAST TREMONT AVENUE Bronx, NY 10461
(40.84054, -73.8381101479996)",7,5,285,11270
,Arturo A. Schomburg Satellite Academy Bronx,12,12X446, , ,http://schools.nyc.gov/SchoolPortals/12/X446/default.htm,2,Bronx,718-542-2700,228,"10,11,12", ,Longwood, ,0, ,14,380,372,349,1115,"1010 REV. J. A. POLITE AVENUE Bronx, NY 10459
(40.825171, -73.8939498889996)",16,3,116,10937
,Bronx Haven High School,7,07X381, , ,http://schools.nyc.gov/SchoolPortals/07/X381/default.htm,2,Bronx,718-292-3638,130,"09,10,11,12,SE", ,Melrose South - Mott Haven North, ,0, ,,,,,,"333 EAST 151 STREET Bronx, NY 10451
(40.818216, -73.9197282209996)",16,1,12,10929
,Bronx Theatre High School,10,10X546,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X546/default.htm,2,Bronx,718-329-2902,421,"09,10,11,12,SE",John F. Kennedy Educational Campus,Spuyten Duyvil - Kingsbridge,http://www.bxtheatre.org,1,Performing Arts,68,348,362,354,1132,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,New World High School,11,11X513,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X513/default.htm,2,Bronx,718-696-3800,375,"09,10,11,12,SE", ,Williamsbridge - Olinville, ,1,Humanities & Interdisciplinary,72,332,381,335,1120,"921 EAST 228TH STREET Bronx, NY 10466
(40.887919, -73.8528716129996)",17,6,328,11275
,Academy for Language and Technology,9,09X365, , ,http://schools.nyc.gov/SchoolPortals/09/X365/default.htm,2,Bronx,718-731-0219,311,"09,10,11,12,SE", ,University Heights - Morris Heights,http://www.alteagles.org,1,Communications|Computer Science & Technology,54,315,339,297,1005,"1700 MACOMBS ROAD Bronx, NY 10453
(40.849102, -73.9160884409996)",16,4,205,10931
,Samuel Gompers Career and Technical Education High School,7,07X655,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X655/default.htm,2,Bronx,718-665-0950,357,"09,10,11,12,SE", ,Mott Haven - Port Morris, ,0, ,47,398,416,370,1231,"455 SOUTHERN BLVD Bronx, NY 10455
(40.810408, -73.9067997359996)",16,1,2,10933
,English Language Learners and International Support Preparatory Academy (ELLIS),10,10X397, , ,http://schools.nyc.gov/SchoolPortals/10/X397/default.htm,2,Bronx,718-220-1889,288,"09,10,11,12", ,Spuyten Duyvil - Kingsbridge, ,1, ,38,343,356,330,1067,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,Kingsbridge International High School,10,10X268,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X268/default.htm,2,Bronx,718-329-8580,453,"09,10,11,12",Walton Educational Campus,Van Cortlandt Village, ,1,Humanities & Interdisciplinary,52,304,356,302,1014,"2780 RESERVOIR AVENUE Bronx, NY 10468
(40.870377, -73.8981629519996)",17,2,86,11606
,Astor Collegiate Academy,11,11X299,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X299/default.htm,2,Bronx,718-944-3418,463,"09,10,11,12,SE",Christopher Columbus Educational Campus,Bronxdale,http://www.astorcollegiateacademy.org,1,Science & Math,60,387,391,391,1229,"925 ASTOR AVENUE Bronx, NY 10469
(40.859671, -73.8607409739996)",7,6,307,11607
,High School of World Cultures,12,12X550,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X550/default.htm,2,Bronx,718-860-8120,364,"09,10,11,12",James Monroe Educational Campus,West Farms - Bronx River, ,1, ,42,304,323,312,981,"1300 BOYNTON AVENUE Bronx, NY 10472
(40.831366, -73.8788232769996)",16,3,128,11610
,Bronx Health Sciences High School,11,11X249,P,Partially Accessible,http://schools.nyc.gov/SchoolPortals/11/X249/default.htm,2,Bronx,718-862-4406,338,"09,10,11,12,SE",Harry S Truman Educational Campus,Co-Op City, ,1,Health Professions,74,370,381,382,1207,"750 BAYCHESTER AVENUE Bronx, NY 10475
(40.874131, -73.8338409429996)",7,6,375,12344
,"Metropolitan High School, The",12,12X248,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X248/default.htm,2,Bronx,718-991-4634,312,"09,10,11,12,SE", ,Longwood, ,1,Humanities & Interdisciplinary,49,347,367,341,1104,"1180 REV. J.A. POLITE AVE. Bronx, NY 10459
(40.825171, -73.8939498889996)",16,3,116,10937
