"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Laboratory Services Cost Analysis","2020-06-01T12:00:00.000","Department","In Progress","2020-05-31T12:00:00.000","90","Phases I -V complete.Phase VI (Overhead) to be completed by OMB.","Grimes, Terri L",,,"Grimes, Terri L","Laboratory Services Cost Analysis",,"402","This is a discretionary project.","402_Utilities_5/12/2020 3:38 PM","2019-05-01T12:00:00.000"
"Utilities","1 - Create a Quality Workforce in a Positive, Supportive Organization","Standarization of Knowledge, Training and Support","2020-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Administrative personnel completed second PowerPoint exercise. Completed travel training. Dept. travel flowchart completed and shared with admin team Friday, 10/18. Next steps - complete PCU travel policy and share with Senior Staff.","Heiss, Patsy",,,,"This project will provide a standard way to document all our processes and maintain them in a central location.",,"413","This is a mandatory or statutory requirement.","413_Utilities_12/24/2019 12:14 PM",
"Building and Development Review Services","4 - Foster Continual Economic Growth and Vitality","Land Development Code Implementation","2019-09-01T12:00:00.000","BCC","Completed","2019-12-31T12:00:00.000","100","​DRC process, text edits, conflicts in code, etc","Lyon, Blake G",,,,"Revisions      to the LDC were adopted in October 2018 and became effective in January      2019. Since that time staff has been going through extensive training so      that they are a proficient and efficient as possible when assisting our      customers. We continue to look for ways to effectively communicate the      zoning regulations to a customer base that does not utilize these      regulations on a routine basis.",,"394","This is a discretionary project.","394_Building and Development Review Services_1/3/2020 1:01 PM","2019-01-01T12:00:00.000"
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Develop the Transportation Design Manual","2020-04-30T12:00:00.000","BCC","In Progress","2020-04-08T12:00:00.000","75","2.17.20 - The finalized draft document is completed and must go before the Board of County Commissioners for approval.Design Manual is under going minor final changes and is ready to go to BCC for approval.  May go to Board concurrently with latest Land Development Code (LDC) update.","Jacobs, Kenneth A","Washburn, Thomas E",,"Ferguson, Alexis","Develop a Design Manual that includes Transportation Standards in an effort to centralize design information and remove design specific information from Land Development Code.","Building and Development Review Services, County Attorney, Planning","396","This is a discretionary project to improve processes.","396_Public Works_4/9/2020 3:49 PM","2018-10-01T12:00:00.000"
"County Administration","3 - Practice Superior Environmental Stewardship","Develop Sustainability and Resiliency Action Plan (SRAP)","2021-09-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","20","Since launching this initiative, a Sustainability and Resiliency Coordinator has been hired and a Leadership Committee and Action Team (LCAT) have convened to provide staff leadership of this initative​​​. The County announced the RFP for the Sustainability and Resiliency Action Plan (SRAP) on December 23, 2019.","Hodde, Hank",,,,"The SRAP is a multi-year project to set the foundation and platform for sustainability and resiliency initiatives, planning, programs, policies, and solutions. This process will take an evidence-based, comprehensive approach to develop achievable strategic goals and objectives, measurable short to long-term actions, process integration, and decision-support tools. It will promote organizational and community-based sustainability and resiliency activities and programming in alignment with the County's Strategic Plan, structure, operations, and services. The SRAP will also prioritize the economic and social case for environmental sustainability, community resiliency, hazard mitigation, and climate change adaptation, including cost savings, economic opportunity, and self-sufficient programs.​​",,"396","This is a discretionary project.","396_County Administration_2/12/2020 11:11 AM","2019-10-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategy - Develop Departmentwide Communication Plan","2020-05-31T12:00:00.000","Department","In Progress","2020-04-30T12:00:00.000","50","​Original version reviewed; editing according to feedback.","Heiss, Patsy",,,,"​One-way and two-way outreach strategies",,"479","This is a discretionary project to improve processes.","479_Utilities_4/21/2020 4:32 PM","2020-04-16T12:00:00.000"
"Administrative Services","5 - Deliver First Class Services to the Public and Our Customers","Conduct a Fleet Fuel Site Study","2020-11-06T12:00:00.000","BCC","In Progress","2020-02-29T12:00:00.000","25",,"Moore, Don",,,,,"Administrative Services","462","This is an administrative directive.","462_Administrative Services_11/6/2020 8:51 AM",
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Census 2020 Campaign","2020-09-30T12:00:00.000","BCC","In Progress","2020-03-06T12:00:00.000",,,"Boatwright, C","Connor, David","Hernandez, Barbra","Boatwright, C","Conduct countywide Census public education campaign with special focus on traditionally undercounted communities.​","Planning","408","This is an administrative directive.","408_Marketing and Communications_3/6/2020 11:35 AM","2018-12-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Digitization of Personnel Records","2020-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"PCU limited testing scheduled 10/31. Meeting Monday 10/21 with GMDS records personnel to discuss final set-up of personnel files with respect to medical and disciplinary documentation.","Heiss, Patsy",,,,"This project will provide a standard way to document all our processes and maintain them in a central location.",,"414","This is a discretionary project to improve processes.","414_Utilities_12/24/2019 12:14 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Track 2 Pinellas County Asset Management Program","2021-07-15T12:00:00.000","County Administration","In Progress","2019-12-24T12:00:00.000",,"Staff has been attending workshops and providing comments on the Woolpert Geodatabase Document. Implementation Team for Track 2 will be meeting for configuration training on Nov. 18th, 2019. Data Development Planning Workshop will be held on Dec. 9th, 2019. Plant OPS AMS Configuration Workshop will be held on Jan. 6th, 2019.  ​","Luttmann, Joan",,,,"Software needed for tracking of assets for Operations, Facilities, Cross Bar Ranch and SCADA.",,"418","This is an administrative directive.","418_Utilities_12/24/2019 12:14 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Explore Tampa Bay Center for Innovation (TBCI) Incubator – EDA Grant","2023-10-29T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","8","Concurrence was received on 10/30. The RFQP and Services Agreement are in contract review.","Meidel, Mike",,,"Margiotta, Cindy","The County has received a $7.5M grant from the US Economic Development Administration to design and construct a 45,000 square foot business incubator for target industries.",,"394",,"394_Economic Development_1/10/2020 10:08 AM",
"Airport","4 - Foster Continual Economic Growth and Vitality","Award New Advertising Concessionaire","2020-08-25T12:00:00.000","BCC","Not Started","2020-02-12T12:00:00.000","0","Requirements and Scope of Work is due by February 26th to Purchasing.​","Aehle, Yvette M","Jewsbury, Thomas R.",,"Aehle, Yvette M","The Airport's current advertising concessionaire agreement expires in August 2020.  A new advertising concessionaire RFP needs to be put on the street and the new advertising concessionaire is needed to ensure the Airport has the most advertisers offering the latest technology, while paying the Airport the best percentage of the revenues.​","Airport","405","This is a discretionary project.","405_Airport_2/12/2020 5:46 PM","2020-02-26T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","BCC Award: UWHCA with FDOT","2019-11-12T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"​BCC Meeting Date 11/12/2019 --*MAY BE RESCHEDULED*In legistar approver review with dept. as of 10/14/19. Legistar# 19-1918A. Utility Work by Highway Contractor Master Agreement with the Florida Department of Transportation.​","Simpson, Dennis M",,,,"​*BEING TRACKED IN GRANICUS* DELETE",,"462","This is a discretionary project.","462_Utilities_1/21/2020 10:29 AM",
"Utilities","3 - Practice Superior Environmental Stewardship","BCC Award: 4th Amendment to the operating agreement with Synagro or the Sludge Pelletization Project at SCB water reclamation facility",,"Department","In Progress","2019-12-24T12:00:00.000",,"12/4/2019 Legal requested a meeting with Synagro to review the draft amendment​BCC Meeting Date 12/10/2019. Expect draft contract from Legal 10/25.","Glaser, Daniel",,,,"​*ADD THIS AS A MILESTONE TO REGIONAL RESOURCE RECOVERY ITEM*",,"463","This is a discretionary project.","463_Utilities_1/21/2020 10:30 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Current legislation and hot topics","2020-04-30T12:00:00.000","Department","In Progress","2020-04-30T12:00:00.000","80","​Overview and tracking of state and federal legislation, and any other hot topics that affects PCU.  Weekly synopsis of activity is provided via email.","Duggan, Michele",,,"Duggan, Michele","Monitoring state and federal legislation tracking and other topics that may impact utilities.","County Administrator","439","This is a regulatory requirement.","439_Utilities_4/14/2020 3:47 PM","2020-01-13T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","BCC Award of Bid for Sewer Interceptor Rehabilitation - 94th Ave to 86th Ave to PS 069","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"BCC Meeting Date ​12/10/2019. ​Legistar# 19-514A. Per purchasing - Granite Inliner, the Contractor recommended for the Sewer Interceptor Rehab-94th-86th has not met SBE compliance yet and notified Mike Cannon.","Kelsey, Joel",,,,"​*IS THIS A CIP PROJECT BEING TRACKED ELSEWHERE? IF SO, POSSIBLY REMOVE?*",,"466","This is a discretionary project to improve processes.","466_Utilities_1/21/2020 2:57 PM",
"Contractor Licensing","2 - Ensure Public Health, Safety, and Welfare","Initiate Palm Harbor multi-discipline inspector pilot","2020-04-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","50","Kick of to the project participants on 12/9/19 and project will be live in the field 1/1/20.","Lancaster, Gay","Krickovic, Michelle","Burton, Barry","Krickovic, Michelle","​The goal of this initiative is to reduce costs and response times, and improve customer service and compliance with licensure, code enforcement, and building inspections by sharing expertise and resources from multiple departments serving similar customers in a common geographic area.","Building and Development Review Services","131","This is an administrative directive.","131_Contractor Licensing_1/10/2020 3:22 PM","2019-09-02T12:00:00.000"
"Contractor Licensing","5 - Deliver First Class Services to the Public and Our Customers","Investigations","2020-01-31T12:00:00.000","County Administration","In Progress","2020-03-31T12:00:00.000","30","3/31/2020 MK Process improvements are continually being implemented. Reporting is improved. Expectations and performance goals are being defined and refined. A strategy for managing the backlog of complaints against licensed contractors is in play. Progress is being made. The milestones and objectives are tracked in detail and regularly reviewed by Management at the Department level.1/2/2020 MK Meeting with Investigative Team to kick off new SP process for Case Management and Citation Logging. The two new processes together will eliminate redundancies, give us critical data points, standardize Investigator processes and manage cases more efficiently. The report intake and workflow has been mapped to the new process. The team will meet again in 2 weeks to review and refine.12/10/2019 MK Case Process Mapping is reviewing the end-to-end process for managing complaints against licensed contractors AND complaints of unlicensed contracting. In addition to mapping, we are implementing process improvements, eliminating waste and measuring data points. ​15%","Krickovic, Michelle","Krickovic, Michelle","Lancaster, Gay","Krickovic, Michelle","The Department is defining and refining the case management processfor investigations of complaints against licensed and unlicensed contractors.The goals are to maximize efficiency, minimize waste, manage complaints to meetcustomer expectations, improve compliance and collections.",,"123","This is a discretionary project to improve processes.","123_Contractor Licensing_4/1/2020 12:49 PM","2019-10-01T12:00:00.000"
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Strategic Plan Devlopment","2020-04-01T12:00:00.000","Department","In Progress","2020-02-08T12:00:00.000","10","Workshops have been scheduled for 1/6 & 1/7 with consultant to complete PESTLE analysis and update previously completed SWOT analysis. Next meeting scheduled for February 17th to finalize SWOT and PESTLE.","Cozzie, Paul A",,,,"This project is to develop a department strategic plan that aligns with over all County plan",,"480","This is an administrative directive.","480_Parks and Conservation Resources_3/4/2020 8:40 AM",
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Injunctive Relief Program","2020-03-31T12:00:00.000","BCC","In Progress","2020-02-10T12:00:00.000","80","​First injunctive relief went to the Court, awaiting final order. The Court has provide for an administrative extension. Reinspection is scheduled for February 21, 2020.The other six items are being tracked through the Court (each of which has an independent timeline).","Lyon, Blake G","Reazin, J",,,"This initiative is a result of suggestions from the County Attorney during the foreclosure process best practices evaluation, to gain compliance with homeowners to avoid foreclosure. It is another tool that the County can utilize to get issueresolution on difficult properties before going into the foreclosure process.","Building and Development Review Services, County Attorney","398","This is a discretionary project.","398_Building and Development Review Services_2/10/2020 11:32 AM","2018-05-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategy - Determine Level of Service Expectations for Stakeholders","2021-07-31T12:00:00.000","Department","Not Started","2020-04-30T12:00:00.000",,"​Not started","Heiss, Patsy",,,,"​As part of the Customer Satisfaction overall strategy, the team will determine how to gauge what our customers and stakeholders expect with regard to Level of Service.",,"483","This is a discretionary project to improve processes.","483_Utilities_4/21/2020 10:41 AM","2020-07-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Collaborate with other Florida Gulf Coast DMO’s to encourage and increase overall visitation to the Gulf Coast of Florida and to our respective cities.",,"Department","In Progress",,,,,,,,,,"420",,"420_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Update BCC on Unincorporated Recreation efforts",,"BCC","In Progress","2020-02-08T12:00:00.000","25","​1/6/2020- BCC Work Session Scheduled for May 14, 2020Unincorporated Seminole Youth Sports Master Plan completed","Cozzie, Paul A",,,,"Create PowerPoint for future BCC Work Session detailing current and future efforts to address youth recreation in unincorporated Pinellas",,"398","This is an administrative directive.","398_Parks and Conservation Resources_2/8/2020 11:37 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategy - Establish performance measures for Customer Satisfaction and Level of Service based on feedback.","2025-12-31T12:00:00.000","Department","Not Started","2020-04-30T12:00:00.000",,"​Not started","Heiss, Patsy",,,,"​After finalizing contents of Customer Satisfaction Survey and determining Level of Service expectations, goal team will develop metrics to measure PCU performance in relation to expectations.",,"484","This is a discretionary project to improve processes.","484_Utilities_4/21/2020 10:45 AM","2021-08-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","SCB AWRF Master Plan","2020-07-30T12:00:00.000","BCC","In Progress","2020-03-19T12:00:00.000","55","Initial progress meeting with B&V on Feb 5, 2020.  Project back on schedule.  Request for additional data provided 2/18/20. Scope will be revised to consider criticality and consequence of failure (In concert with other master plans). Internal staff met Mar 2, 2020 to further refine, define and add tpo the ranking priorities for the SCB Master Plan Project Drivers.  B & V provided a (5) category definition for 'Physical Condition Assessment' scoring, that looks to be able to be adapted to our evolving 'Resiliency' effort.  County provided the current list of 'Geodatabase Recommendations' built around Real Estate Management/Fleet/Parks and Solid Waste to show the extent of the equipment attributes being identified.  Next step will be for B & V and the county to determine how this information can be assimilated into a single tracking format so there are no duplication of efforts and that this will provide useable information to all interested parties.  Next 'meeting' has not yet been scheduled.","Engelmann, Michael","Menke, Tom",,,"Master Plan will provide the COUNTY with a 20-year planning horizon (through year 2040).  Project includes short and long term goals, future population/flow increases, and future regulatory requirements. Also considered are previous and ongoing studies, safety, security, resiliency,criticality and consequence of failure, sustainability efforts, and assessment of the existing infrastructure.","Utilities","406","This is as a result of an IG audit.","406_Utilities_3/19/2020 4:02 PM","2019-01-01T12:00:00.000"
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Maximize Use of County Properties for Economic Development","2021-02-28T12:00:00.000","BCC","In Progress","2020-03-20T12:00:00.000","40","Will be assisted by S.B. Friedman consulting for contract extension. This will be an ongoing program after 04/01/2021.","Meidel, Mike",,,"Margiotta, Cindy","With limited available land suitable for office or industrial development countywide and a shortage of affordable housing at all income levels, the County is seeking to maximize its surplus of county owned properties. This initiative will evaluate opportunities to redevelop County-owned properties to aid in economic development for the area and support affordable housing and job creation purposes.",,"397",,"397_Economic Development_3/20/2020 4:40 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Launch Economic Development Penny IV Program","2021-04-01T12:00:00.000","BCC","In Progress","2020-03-20T12:00:00.000","50",,"Margiotta, Cindy",,,"Meidel, Mike","Penny IV was approved in November 2017 and this initiative seeks to launch a program to efficiently and effectively utilize the 8.3% of Penny IV funds set aside for the development of affordable housing and new office and industrial space suitable for target industry employers.",,"398",,"398_Economic Development_3/20/2020 4:39 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Implement Small Business Supplier Diversity Program","2020-09-30T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","35","The software was installed and the data was loaded and verified by target date. Directive Issued April 2019. Over 400 Vendors approved. 6 enrolled ariport concessionaries enrolled so far in BDGNow database for complaince monitoring. 71 project managers/directors have been trained on the software. Initial recruitment letters have been sent for SBE CCNaconsultants and are reviewing responses. Tampa Bay Water was added as  government collaborative in December 2019. First Quarter FY20 is expected to have $3 million.","Johnson, Cynthia C",,,"Johnson, Cynthia C","The Small Business Supplier Diversity (SBSD) program seeks to increase County contracts awarded to local Small Businesses Enterprises (SBEs).",,"396",,"396_Economic Development_1/31/2020 1:39 PM",
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Increase consumer travel to the destination via participation in 18 consumer initiatives throughout the USA and Canada.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"421",,"421_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Video Production Strategy","2020-06-30T12:00:00.000","County Administration","In Progress","2020-03-20T12:00:00.000","15","Initial staff meetings scheduled.​","Derr, Brian","Derr, Brian","Hernandez, Barbra","Derr, Brian","Establish guidelines and standards for creation, sharing and marketing of future video products.​",,"399","This is a discretionary project to improve processes.","399_Marketing and Communications_3/20/2020 4:54 PM","2020-01-02T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategy-Develop a timeline to complete disaster master plan","2020-06-30T12:00:00.000","Department","In Progress","2020-04-30T12:00:00.000",,,"Munoz, Misael",,,,"Time line to complete the Utilities emergency master plan.",,"485","This is a discretionary project to improve processes.","485_Utilities_4/21/2020 4:55 PM","2019-06-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","FY21 Budget Process Development","2019-12-31T12:00:00.000","Department","In Progress",,,,"McCorkell, Cecilia",,,"McCorkell, Cecilia",,,"26",,"26_Office of Management and Budget_12/27/2019 1:41 PM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Hold Grants CoE worksession","2019-07-31T12:00:00.000","Department","In Progress",,,,"Ettel, Veronica E",,,"Ettel, Veronica E",,,"28",,"28_Office of Management and Budget_12/27/2019 1:41 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Explore opportunities for Team Tampa Bay","2020-09-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","0","This will become an ongoing programby 10/01/20","Meidel, Mike",,,"Meidel, Mike","Explore the formation of a new regional economic development marketing organization to replace the services formerly provided by the Tampa Bay Partnership",,"395",,"395_Economic Development_1/3/2020 12:39 PM",
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Develop New County Website","2021-06-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","15",,"Derr, Brian",,,"Derr, Brian","The website project is a conversion of thousands of pages of content into a content management system. It willCreate a mobile-friendly site.Create consistent user experience across the site.Enable website visitors to find the information they need without having to understand the County's structure.Provide access to information that resides on other county websites such as the Property Appraiser, Clerk, and Sheriff's sites through a multisite search.Distribute content creation while centralizing content review and site structure decisions.Make the site 100% complaint with the Americans with Disabilities Act (ADA).Update the design to make it better reflect Pinellas County as a progressive, forward-thinking local government.In addition, the county settled a lawsuit regarding PDF files on its website that were not ADA complaint. The settlement required new materials posted to the site to be compliant but does not require the county to make old materials complaint. These non-accessible materials, however, put the county at risk of lawsuits from other parties.",,"395",,"395_Marketing and Communications_1/13/2020 9:24 AM",
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Promote Voluntary Code Enforcement Compliance","2019-09-01T12:00:00.000","BCC","Completed","2020-02-10T12:00:00.000","100","​Code Enforcement worked with the Clerk of the Court, the County Attorney's office, other County departments, and other municipalities to promote the use of the electronic citation process. This improvement has resulted in the saving of hundreds of hours of staff time, which equates to tens of thousands of dollars saving to the County.Code Enforcement, through the budget review process, is looking to identify ways to increase administrative support to help address the increased workload due to the expanded citation process.","Reazin, J",,,,"​DRS, in particular the Code Enforcement Division, has been working to increase voluntary compliance by changing our service delivery model to focus on educating and informing our citizens. The focus is on compliance, not punitive in the form of fine collection or generating additional cases. Code Enforcement has been looking for      new and creative ways to communicate the code requirements to property      owners, in an effort to obtain voluntary compliance. From our point of      view a significant number of people that are found in violation find      themselves in that position because of not being familiar with the      regulations. Once they have been properly educated and informed about the      regulations and given an appropriate amount of time and resources they      will voluntarily comply. We are looking for ways to enhance that      education and communication.","Building and Development Review Services, County Administrator, Office of Management and Budget","399","This is a discretionary project to improve processes.","399_Building and Development Review Services_2/10/2020 11:35 AM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Establish LOS for Park Operations and Maintenance","2019-12-31T12:00:00.000","BCC","In Progress","2020-02-11T12:00:00.000","60","The draft level of service analysis​​ has been submitted to and reviewed with the Project Sponsors. Follow-up meetings are planned for January 2020 to develop an action plan based on sponsor feedback. Future milestone estimated completion dates are tentative pending this action plan.","Kunze, Shane",,,"Kunze, Shane","The project purpose is to evaluate current (FY19) levels of service for Pinellas County’s Parks and Conversation Resources department and provide recommendations for establishing formal levels of service. PCR is seeking to set realistic expectations so it may better understand resource need and allocation, better communicate its narrative, and prepare for future park development more efficiently.  PCR has not analyzed levels of service this intently in recent years and will objectively review its strengths and weaknesses. Levels of service are a key aspect to the success of a department because it communicates realistic expectations to staff, leadership, the public, and the Pinellas County Board of County Commissioners (BCC) and identifies gaps where additional focus or resources are needed. Understanding PCR’s levels of service and gaps will allow the department to better measure its success in the future and create a data driven narrative.​",,"24","This is a discretionary project.","24_Office of Management and Budget_2/11/2020 3:43 PM","2019-05-01T12:00:00.000"
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Analyze in-house and contract services for open conveyance systems","2020-09-30T12:00:00.000","Department","Not Started","2019-12-14T12:00:00.000",,"Review LOS expectations and our current performance rate. Compare in house and contract services in regards to cost and ability to meet LOS as well as a combination of both.","Goebel-Canning, Susan",,,,"Improve the delivery of Public Works projects",,"393","This is a discretionary project to improve processes.","393_Public Works_1/10/2020 10:51 AM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Implement Contractor/Consultant review process","2020-09-30T12:00:00.000","Department","In Progress","2019-12-13T12:00:00.000",,"Evaluations forms have been revised.  Next steps include developing the process for utilizing the forms and document retention.","Dean, Paul",,,,"Maximize partner relationships and public outreach",,"392","This is a discretionary project to improve processes.","392_Public Works_12/24/2019 11:06 AM",
"Office of Asset Management","5 - Deliver First Class Services to the Public and Our Customers","Software Integrations","2021-12-01T12:00:00.000","Department","In Progress","2020-02-05T12:00:00.000","0",,"Waugh, Jeremy",,,,"Incorporate software integrations with Cityworks and other County software systems to best utilize the complete suite of tools (EAM Strategy 11.4)",,"394","This is an administrative directive.","394_Office of Asset Management_2/5/2020 9:31 AM","2020-01-01T12:00:00.000"
"Planning","4 - Foster Continual Economic Growth and Vitality","Five-year Consolidated Plan","2021-08-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","35","​The draft consolidated plan and analysis of impediments is approximately 40% complete. The draft annual action plan is approximately 20% complete.","Bussey, Bruce","Riddle, Joe",,"Bussey, Bruce","​The Consolidated Plan identifies the County’s priority housing and community development needs and specific goals to be addressed with funding from HUD's formula grant programs.",,"393","This is a regulatory requirement.","393_Planning_1/22/2020 2:03 PM","2019-11-01T12:00:00.000"
"Administrative Services","5 - Deliver First Class Services to the Public and Our Customers","Management Partners Implementation Action Plan","2020-03-31T12:00:00.000","County Administration","In Progress","2020-06-30T12:00:00.000","30","This process is time consuming and will require ample time to coordinate and complete","Lauro, Joseph",,,"Lauro, Joseph","Analyze the purchasing process to clarify and simplify steps and address roles and sharing of responsibilities. Approve the approval process. ​",,"446","This is an administrative directive.","446_Administrative Services_7/24/2020 8:24 AM","2019-10-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategy-Meet requirements of AWIA","2020-09-30T12:00:00.000","Department","In Progress","2020-04-30T12:00:00.000","50","The AWIA compliance certification was submitted to the EPA on March 30,2020. The next step will be to develop an AWIA complaint emergency response plan.","Munoz, Misael",,,,"America’s Water Infrastructure Act of 2018(AWIA) requires community water systems that servemore than 3,300 people to complete a risk and resilienceassessment and develop an emergency response plan.",,"486","This is a regulatory requirement.","486_Utilities_4/21/2020 5:26 PM","2019-03-01T12:00:00.000"
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Lien Settlement Program","2019-07-01T12:00:00.000","BCC","Completed","2019-12-31T12:00:00.000","100","​The program has been development and implemented. On to second meeting of the Hardship Committee. Need to set a meeting with County Admin to demonstrate the program.","Lyon, Blake G","Rojas, C",,,"The lien      settlement program is how best to address the high volume of liens and      lien amounts that have been allowed to accrue over the years. The goal      is, like that of the foreclosure process, to return these properties back      into contributing assets for the community.",,"396","This is a discretionary project.","396_Building and Development Review Services_1/3/2020 1:01 PM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","SCB AWRF Master Plan","2020-07-30T12:00:00.000","BCC","In Progress","2020-05-30T12:00:00.000","58","Next benchmark will include energy (power) loads for key processes that are currently being upgraded (under a separate project) for monitoring and recording purposes.  TEAMS meeting set for June 9 (on-schedule).","Engelmann, Michael","Menke, Tom",,,"Master Plan will provide the COUNTY with a 20-year planning horizon (through year 2040).  Project includes short and long term goals, future population/flow increases, and future regulatory requirements. Also considered are previous and ongoing studies, safety, security, resiliency,criticality and consequence of failure, sustainability efforts, and assessment of the existing infrastructure.","Utilities","406","This is as a result of an IG audit.","406_Utilities_5/18/2020 3:12 PM","2019-01-01T12:00:00.000"
"Animal Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Community Cats Program","2020-01-31T12:00:00.000","County Administration","On Hold",,,"80%-Project on hold until department receives further direction from county administration. Meetings are scheduled with the County Administrator and the County Commissioners over the next few weeks to review research before formal adoption.","Brightwell, Doug",,"Brightwell, Doug",,"Pinellas County currently allows for free-roaming community cats that are cared for by citizens or groups in the community. These cats are sterilized, vaccinated and ear-tipped by community partners working with PCAS. Under the proposed program, feral cats brought into Pinellas County Animal Services that are healthy, but not considered adoptable, would also be sterilized, vaccinated and ear-tipped, and then returned to their place of origin by county staff.",,"194","This is a discretionary project.","194_Animal Services_2/20/2020 2:57 PM","2019-06-01T12:00:00.000"
"Public Works","4 - Foster Continual Economic Growth and Vitality","Partner with Creative Pinellas to implement art on infrastructure.","2020-06-30T12:00:00.000","BCC","In Progress","2020-04-09T12:00:00.000","25","A pilot program was done in FY19.  A similar funding amount is available for FY20 but Creative Pinellas would like to discuss other opportunities for public art including County buildings, signal cabinets and other potential areas like parks. February 12, 2020 The call for interested aritst was released in early February, once interested candidates submit an application they will be reviewed by Creative Pinellas and Public Works Transportation staff to select an artist for each of the three murals. Delayed meeting to select artists based on COVID-19.  Selection committee met 4/9/2020 via video conference and seleceted 3 potential artists.  Infrastructure has been prepared by Roadway Section.  New timeline will be determined and reflected in work plan.","Jacobs, Kenneth A","Ferguson, Alexis",,"Ferguson, Alexis","Support vibrant communities with art and culture. Three locations were selected for the FY20 Mural Art Program. These locatins include(1) Eastlake Road South of Keystone Road, Tarpon Springs(2) Southeast Corner of Belcher Road at Alderman Road, Palm Harbor(3) Belcher Road, North of Alderman Road, Palm Harbor","Creative Pinellas","397","This is a discretionary project.","397_Public Works_4/9/2020 3:43 PM","2019-10-01T12:00:00.000"
