"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Kinship Navigator","88 N Clinton Avenue","Rochester","NY","14604","(877) 454-6465","NYS","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","11/30/18-11/29/19","C028294","320500.00","http://www.nysnavigator.org/","POINT (-77.607148 43.158946)"
"A New Hope Center, Inc.","20 Church Street","Owego","NY","13827","(800) 696-7600","TIOGA","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028783","65000.00","http://www.anewhopecenter.org","POINT (-76.260412 42.103564)"
"Baker Hall","790 Ridge Rd.","Lackawanna","NY","14218","(716)828-7573","ERIE, CHAUTAUQUA","Kinship","State Aid","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","09/01/20-8/31/23","C028937",,"https://www.olvhumanservices.org/","POINT (-78.820737 42.826184)"
"Family Justice Center of Erie County Inc.","438 Main Street, Suite 201","Buffalo","NY","14202","(716) 558-5270","ERIE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV28","538750.00","https://www.fjcsafe.org/","POINT (-78.874292 42.88594)"
"Liberty Resources, Inc.","1045 James Street","Syracuse","NY","13203","(315) 366-5000","MADISON, CHENANGO","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028768","62000.00","http://www.liberty-resources.org","POINT (-76.132583 43.060157)"
"Steuben County Department of Social Services","3 East Pulteney Sq","Bath","NY","14810","(607) 664-2444","STEUBEN","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/21","C028351","400000.00",,"POINT (-77.31768 42.333116)"
"S.O.S. Shelter, Inc. (dba Rise-NY)","P. O. Box 393","Endicott","NY","13760","(607) 754-4340","BROOME","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV61","323250.00","http://www.sosshelter.org",
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218","Plattsburgh","NY","12903","(518) 563-8206","CLINTON","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027573","348543.00","http://www.bhsn.org","POINT (-73.446889 44.684674)"
"Catholic Guardian Society and Home Bureau","1011 First Ave., 10th Floor","Bronx","NY","10022","(718) 828-0300","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","10/1/18-9/30/23","C028305","496310.00","http://www.cgshb.org","POINT (-73.963651 40.757304)"
"Hillside Children's Center (Southern Tier)","840 Upper Front Street","Binghamton","NY","13905","(607) 722-2507","ALLEGHANY, BROOME, CHEMUNG, ONONDAGA, STEUBEN, TIOGA","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-3/30/23","C027915","269938.00","https://www.hillside.com/","POINT (-75.906156 42.129196)"
"Safe Horizon, Inc. (Brooklyn)","320 Schermerhorn Street","Brooklyn","NY","11217","(718) 330-5405","KINGS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/15-9/30/20","C027700","466497.00","http://www.safehorizon.com","POINT (-73.981551 40.687238)"
"Catholic Charities of Chenango County","3 O'Hara Drive","Norwich","NY","13815","(607) 334-8244","CHENANGO","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/15-1/31/16","C026408","191407.00","https://www.ccofcc.com/","POINT (-75.520007 42.519947)"
"Gateway- Longview, Inc.","10 Symphony Circle","Buffalo","NY","14201","(716) 783-3100","ERIE","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/15-8/31/20","C027679","102980.00","https://www.gateway-longview.org/","POINT (-78.881614 42.902986)"
"Henry Street Settlement","PO Box 2","New York","NY","10002","(212) 766-9200","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV37","53875.00","http://www.henrystreet.org",
"Sanctuary for Families Inc.","PO Box 1406, Wall Street Station","New York","NY","10268","(212)349-6009","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028780","77000.00","https://sanctuaryforfamilies.org/",
"Bestself Behavioral Health Inc. (Child & adolescent Treatment Service Inc. Reassignment)","556 Franklin Street","Buffalo","NY","14202","(716) 886-5437","ERIE","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028054","253657.00","https://www.bestselfwny.org/","POINT (-78.871598 42.901557)"
"Hope's Door, Inc.","PO Box 262","Hawthorne","NY","10002","212-475-6400","WESTCHESTER","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028773","59000.00","https://hopesdoorny.org/",
"Violence Intervention Program Inc.","PO Box 1161, Triborough Station","New York","NY","10035","(929)436-1001","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV82","323250.00","https://violenceinterventionprogram.org/",
"YWCA of Cortland, New York, Inc.","14 Clayton Avenue","Cortland","NY","13045","(800) 336-9622","CORTLAND","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029186","16178.00","http://www.cortlandywca.org","POINT (-76.18146 42.597997)"
"Mental Health Association of Fulton and Montgomery Counties (Hamilton Co.) Expansion","307-309 Meadow Street","Johnstown","NY","12095","(518) 736-2443","FULTON, MONTGOMERY AND HAMILTON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028070","91607.00","http://www.mentalhealthassociation.org/","POINT (-74.377811 43.00205)"
"Advocacy Center of Tompkins County Inc., The","P. O. Box 164","Ithaca","NY","14851","(607) 277-3203","TOMPKINS","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV02","129300.00","http://www.theadvocacycenter.org",
"Equinox, Inc.","102 Hackett Blvd","Albany","NY","12206","(518) 432-9937","ALBANY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV23","323250.00","http://www.equinoxinc.org","POINT (-73.785523 42.644083)"
"Mechanicville Area Community Services Center","POB 30, 6 South Main Street","Mechanicville","NY","12118","(518) 664-4008","SARATOGA","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV46","53875.00","http://www.mechanicvilleacsc.org",
"Liberty Resources, Inc.","945 S. 1st Street","Fulton","NY","12069","(315) 598-4642","OSWEGO","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/16-8/31/20","C027819","100000.00","http://www.liberty-resources.org/","POINT (-76.395358 43.306288)"
"FAMILY SVCS OF CHEMUNG CO INC","1019 E Water Street","Elmira","NY","14901","(607) 733-5696","CHEMUNG","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/15-9/30/20","C027781","195502.00","https://www.familyservicesofchemung.com","POINT (-76.789235 42.089766)"
"Steuben Churchpeople Against Poverty, Inc. (dba Arbor Housing & Development)","P. O. Box 31","Bath","NY","14810","(800) 286-3407","STEUBEN","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV73","129300.00","http://arbordevelopment.org",
"Child Abuse Prevention Center Inc.","35 Van Wagner Road","Poughkeepsie","NY","12603","(845) 454-0595","DUTCHESS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028049","239528.00","http://www.preventchildabusedutchess.org","POINT (-73.899067 41.698673)"
"Grace Smith House, Inc.","P. O. Box 5205","Poughkeepsie","NY","12602","(845) 471-3033","DUTCHESS","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV34","129300.00","http://www.gracesmithhouse.org",
"Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place Box 1075","New York","NY","10029","(649) 983-6126","NEW YORK CITY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA25","275254.00",,"POINT (-73.953632 40.790361)"
"Public Health Solutions","103-24 Roosevelt Ave","Corona","NY","11368","(347) 571-2792","QUEENS","Healthy Families New York Home Visiting","Federal MIECHV Competitive Grant","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medic","10/1/18-9/30/23","C028304","325000.00","https://www.healthsolutions.org/","POINT (-73.862507 40.749883)"
"Catholic Charities of Herkimer County","61 West Street","Ilion","NY","13357","(315) 866-0458","HERKIMER","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028771","59000.00","http://www.ccherkimercounty.org","POINT (-75.039172 43.014093)"
"Wayne County Action Program","28 Canal St","Lyons","NY","14489","(315) 907-2991","WAYNE","Healthy Families New York Home Visiting","Delinking","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medic","12/1/17-11/30/21","C028138","360000.00","https://www.waynecap.org/","POINT (-76.991078 43.064203)"
"Seneca County Community Counseling Center","31 Thurber Drive","Waterloo","NY","13165","(315) 538-1958","SENECA","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV70","193950.00","http://www.co.seneca.ny.us/dpt-comserv-mental-health.php","POINT (-76.8446 42.906311)"
"House of Faith Ministry, Inc. (dba Hudson Valley House of Hope)","PO Box 411","Fishkill","NY","12524","(845) 756-1136","DUTCHESS","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV40","53875.00","http://hudsonvalleyhouseofhope.org",
"YWCA of Genesee County","301 North Street","Batavia","NY","14020","(585) 343-7513","GENESEE","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028837","62000.00","http://ywcagenesee.org","POINT (-78.17327 43.004192)"
"New Alternatives for Children, Inc.","37 W 26th Street, 6 and 7th floors","New York","NY","10010","(212) 994-7938","MANHATTAN, QUEENS, BROOKLYN, BRONX, STATEN ISLAND","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-3/30/23","C027917","333000.00","https://www.nackidscan.org/","POINT (-73.990545 40.744439)"
"Albany County Opportunity Inc.","333 Sheridan Avenue","Albany","NY","12206","(518) 463-3175","Albany","Prevention","Community Based Child Prevention Program-Federally Funded","Strengthening Families Initiative will work with various community partners while providing parenting education workshops, educational supports and materials, while increasing protective factors in families.","8/1/19-7/31/24","C028526","150000.00","https://www.albanycap.org/","POINT (-73.76473 42.660949)"
"Allen Women's Resource Center, Ltd.","PO Box 340316","Jamaica","NY","11434","(718) 657-1803","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV04","53875.00","Allen Women's Resource Center – Allen Women's Resource Center (http://awrcny.org)",
"Dominican Women's Development Center","715 West 179 Street, Lower Level","New York","NY","10033","(212) 740-4335","MANHATTAN","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","10/1/15-9/30/20","C027666","550000.00","http://www.dwdc.org",
"Putnam/Northern Westchester Women's Resource Center, Inc.","935 South Lake Blvd., Suite 2","Mahopac","NY","10541","(845) 628-9284","PUTNAM","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028779","62000.00","http://pnwwrc.org","POINT (-73.735708 41.372242)"
"Family Justice Center of Erie County Inc.","438 Main Street, Suite 201","Buffalo","NY","14202","(716) 558-5270","ERIE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029164","201836.00","https://www.fjcsafe.org/","POINT (-78.874292 42.88594)"
"Pathstone Corporation","400 East Avenue","Rochester","NY","14607","(866) 314-7233","ORLEANS","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV56","53875.00","http://www.pathstone.org","POINT (-77.593283 43.154759)"
"YWCA of Schenectady","44 Washington Avenue","Schenectady","NY","12305","(518) 374-3386","SCHENECTADY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029212","201836.00","http://www.ywca-northeasternny.org","POINT (-73.949168 42.816584)"
"Bronx-Lebanon Hospital Center","1645 Grand Concourse, Suite 1k","Bronx","NY","10456","(718) 960-2084","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027585","638829.00","http://www.bronx-leb.org","POINT (-73.911971 40.843718)"
"Niagara County Department of Social Services","100 Davison Road, P.O. Box 506","Lockport","NY","11743","(716) 285-6984","NIAGARA","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027577","481710.00","http://www.niagaracounty.com/Departments/SocialServices.aspx","POINT (-78.664254 43.17653)"
"Madison County Sheriff's Department","6802 Buyea Road","Canstota","NY","13032","(315) 363-2816","MADISON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028052","141051.00",,"POINT (-75.703513 43.041506)"
"Hillside Children's Center (Southern Tier)","840 Upper Front Street","Binghamton","NY","13905","(607) 722-2507","ALLEGHANY, BROOME, CHEMUNG, ONONDAGA, STEUBEN, TIOGA","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-11/30/21","C027915","269938.00","https://www.hillside.com/","POINT (-75.906156 42.129196)"
"Opportunities for Otsego, Inc.","3 West Broadway","Oneonta","NY","13820","(607) 432-4855","OTSEGO","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA30","94670.00","http://www.ofoinc.org","POINT (-75.071301 42.448111)"
"Orange County DSS","30 Matthews Street Suite 301","Goshen","NY","10924","(845) 291-2839","ORANGE","Multidisciplinary/Children's Advocacy Center","VOCA","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/20-1/31/22","C028880","316667.00","http://www.orangecountycac.org","POINT (-74.336673 41.397641)"
"Safe Horizon, Inc. (Brooklyn)","320 Schermerhorn Street","Brooklyn","NY","11217","(718) 330-5405","KINGS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/20-9/30/25","C028982","466497.00","http://www.safehorizon.org","POINT (-73.981551 40.687238)"
"Hillside Children's Center","1 Mustard St.","Rochester","NY","14609","(315)935-6701","MONROE, ERIE","Kinship","State Aid","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","09/01/20-8/31/23","C028939",,"https://www.hillside.com/","POINT (-77.575025 43.160988)"
"Nassau BOCES Board of Cooperative Educational Services","Farber Admin Ctr., 71 Clinton Road","Garden City","NY","11530","(516) 622-6870","Nassau","Prevention","Community Based Child Prevention Program-Federally Funded","The ParentChild Plus and Family Child Care Provider programs engage parents in early childhood education, largely serving families in minority groups. The core model of ParentChild Plus is an evidence-based, early childhood home-visiting program which focuses on children in high-risk populations. The program provides two years of intensive services by well-trained and supervised paraprofessionals to children between the ages of 16 months to 4 years. The FCC program works similarly with providers. A new component with this contract is the Parent Advisory Committee; building upon the home visiting program by deepening parent involvement and leadership skill building.","8/1/19-7/31/24","C028524","148919.00","https://www.nassauboces.org/domain/1357",
"Child Care Coordinating Council Of The North Country, Inc.","P.O. Box 2640","Plattsburgh","NY","12901","(518) 561-4999","CLINTON, ESSEX, HAMILTON, ST LAWRENCE, ST. REGIS","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/19-3/30/22","C027991","300000.00","https://www.ccccnc.org/",
"CAMBA, Inc","21 Snyder Ave","Brooklyn","NY","11226","(718) 826-2223","KINGS","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","10/1/21-9/30/22","C028303","200000.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.957277 40.64857)"
"Rochester Society for the Protection and Care of Children","148 South Fitzhugh Street","Rochester","NY","14608","585-325-6101","Monroe","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","The Teen Age Parent Support Services (TAPSS) serves parents under the age of 21 and their children targeting the recruitment of families in Rochester. Parenting education is provided through implementing the Parents As Teachers (PAT) program in addition to positive parent-child activities, regular home visits, for about 12 months. Other services in the TAPSS program include counseling, sex ed., interpersonal relationship support and violence prevention, case management, including linkages to health care, familiy planning, development screenings, educational and employment support, and peer support groups.","8/1/19-7/31/24","C028525","129173.00","https://www.spcc-roch.org/","POINT (-77.612482 43.149673)"
"Lifespan of Greater Rochester, Inc.","1900 S. Clinton Avenue","Rochester","NY","14620","(585) 244-8400","MONROE","Elder Abuse Prevention","SRO","Lifespan is dedicated to providing information, guidance and services that help older adults take on both the challenges and opportunities of longer life. Lifespan provides more than 30 non-medical services, non-biased information, guidance and education.","9/1/18-7/31/19","C026956","60000.00","http://www.lifespan-roch.org","POINT (-77.594889 43.121047)"
"Adoptive and Foster Family Coalition of New York","21 Greene Avenue","Amityville","NY","11701","(631) 598-1983","ROCKLAND, PUTNAM, NASSAU, SUFFOLK","Permanency Resource Centers","State Aid to Localities","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/17-3/30/22","C027993","300000.00","https://affcny.org/","POINT (-73.418494 40.678576)"
"Salvation Army of Jamestown","83 South Main Street, POB 368","Jamestown","NY","14702","(800) 252-8748","CHAUTAUQUA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029171","201836.00","http://salvationarmynorth.org/community/jamestown","POINT (-79.237281 42.091963)"
"Delaware Opportunities, Inc.","35430 State Highway 10","Hamden","NY","13782","(607) 746-1730","DELAWARE","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","9/1/18-8/31/19","C028012","276608.00","http://www.delawareopportunities.org","POINT (-74.999481 42.188267)"
"Safe Horizon, Inc.","2 Lafayette Street, 3rd Floor","New York","NY","10007","(800) 621-4673","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029203","4673.00","http://www.safehorizon.org","POINT (-74.003491 40.713931)"
"Vincent J. Fontana Center","119 Tomkins Avenue","Staten Island","NY","10304","(917) 485-7815","Richmond","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","7/1/20-6/30/25","C028887","651749.00","https://www.healthyfamiliesnewyork.org/","POINT (-74.077998 40.621481)"
