"public_authority_type","public_authority_name","address_line_1","address_line_2","city","state","zip","website"
"IDA","Hempstead Industrial Development Agency","350 Front Street","Room 240","HEMPSTEAD","NY","11550","http://www.tohida.org"
"State","Hudson River-Black River Regulating District","350 Northern Boulevard","3rd Floor","ALBANY","NY","12204","http://www.hrbrrd.ny.gov"
"LDC","Franklin County Local Development Corporation","355 West Main Street","Suite 428","MALONE","NY","12953","http://www.franklinida.org"
"LDC","Franklin County Civic Development Corporation","355 West Main Street","Suite 428","MALONE","NY","12953","http://www.franklinida.org"
"IDA","Franklin County Industrial Development Agency","355 West Main Street","Suite 428","MALONE","NY","12953","http://www.franklinida.org"
"LDC","Wyoming County Business Center","36 Center Street","Suite D","WARSAW","NY","14569","http://www.wycoida.org/"
"LDC","Wyoming Tobacco Asset Securitization Corporation","36 Center Street",,"WARSAW","NY","14569","http://wyoming.yourtasc.com"
"IDA","Wyoming County Industrial Development Agency","36 Center Street","Suite D","WARSAW","NY","14569-9796","http://www.wycoida.org"
"Local","Mechanicville Community Development Agency","36 N. Main Street",,"MECHANICVILLE","NY","12118",
"IDA","Mechanicville-Stillwater Industrial Development Agency","36 North Main Street",,"MECHANICVILLE","NY","12118","http://mechanicville-stillwater-ida.org"
"Local","Binghamton Urban Renewal Agency","38 Hawley Street","City Hall, 4th Floor","BINGHAMTON","NY","13901","http://www.binghamton-ny.gov/binghamton-urban-renewal-agency-bura"
"State","Housing Trust Fund Corporation","38-40 State Street",,"ALBANY","NY","12207","http://www.nyshcr.org/HTFC/"
"LDC","Saranac Lake Local Development Corporation","39 Main Street",,"SARANAC LAKE","NY","12983","https://www.saranaclakeny.gov/index.php?section=departments_communitydev_ldc"
"LDC","Orange County Funding Corporation","4 Crotty Lane","Suite 100","NEW WINDSOR","NY","12553","http://www.ocnyida.com"
"IDA","Orange County Industrial Development Agency","4 Crotty Lane","Suite 100","NEW WINDSOR","NY","12553","http://www.ocnyida.com"
"LDC","Local Development Corporation of Mount Vernon","4 North Seventh Avenue",,"MOUNT VERNON","NY","10550",
"LDC","Putnam Tobacco Asset Securitization Corporation","40 Gleneida Avenue","Room 105","CARMEL","NY","10512","http://www.putnamcountyny.gov"
"LDC","Putnam County Economic Development Corporation","40 Gleneida Avenue","3rd Floor; Suite 310","CARMEL","NY","10512-1705","http://www.putnamedc.org"
"IDA","Hornell Industrial Development Agency","40 Main Street",,"HORNELL","NY","14843","http://www.hornellny.com/"
"LDC","Hornell Area Industrial Development Corporation","40 Main Street",,"HORNELL","NY","14843","http://www.hornellny.com/content/about-haidc"
"LDC","Cortland County Business Development Corporation","40 Main Street, Suite A",,"CORTLAND","NY","13045","http://www.cortlandbusiness.com"
"IDA","Cortland Industrial Development Agency","40 Main Street, Suite A",,"CORTLAND","NY","13045","http://www.cortlandbusiness.com"
"LDC","Cortland County Development Corporation","40 Main Street, Suite A",,"CORTLAND","NY","13045",
"LDC","Orange County Partnership Inc","40 Matthews Street",,"GOSHEN","NY","10924",
"LDC","Town Of Islip Economic Development Corporation","40 Nassau Ave.",,"ISLIP","NY","11751","http://www.islipida.com"
"IDA","Islip Industrial Development Agency","40 Nassau Avenue",,"ISLIP","NY","11751",
"State","Homeless Housing Assistance Corporation","40 North Pearl Street","10th Floor, Section B","ALBANY","NY","12243-0001","http://www.otda.state.ny.us/main/bhs/"
"Local","Yonkers Joint Schools Construction Board","40 South Broadway",,"YONKERS","NY","10701","https://www.yonkersny.gov/government/boards-commissions/boards-commissions-n-z/yonkers-joint-schools-construction-board"
"LDC","Monroe Tobacco Asset Securitization Corporation","400 County Office Building","39 West Main Street","ROCHESTER","NY","14614",
"LDC","Chemung County Property Development Corporation","400 East Church St",,"ELMIRA","NY","14901","http://www.chemunglandbank.com/"
"LDC","Chemung County Capital Resource Corporation","400 East Church Street",,"ELMIRA","NY","14901","http://Chemungcountyida.org"
"IDA","Chemung Industrial Development Agency","400 East Church Street",,"ELMIRA","NY","14901","http://chemungcountyida.com"
"Local","Upper Mohawk Valley Memorial Auditorium Authority","400 Oriskany Street",,"UTICA","NY","13502","http://www.theuticaaud.com"
"LDC","Tompkins County Development Corporation","401 E. State Street","Suite 402B","ITHACA","NY","14850","http://www.tcad.org"
"IDA","Tompkins County Industrial Development Agency","401 E. State Street","Suite 402B","ITHACA","NY","14850","http://www.tcad.org"
"Local","Islip Resource Recovery Authority","401 Main Street Frnt",,"ISLIP","NY","11751","https://www.toirra.com"
"LDC","Buffalo Erie Niagara Land Improvement Corporation","403 Main Street","Suite 602","BUFFALO","NY","14203","http://www.benlic.org/"
"Local","Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority","4039 Route 219, Suite 200",,"SALAMANCA","NY","14779","http://www.ccasstera.org"
"Local","Suffolk County Water Authority","4060 Sunrise Highway",,"OAKDALE","NY","11769","http://www.scwa.com"
"Local","Suffolk County Judicial Facilities Agency","41 Joseph St",,"SAYVILLE","NY","11782-9238",
"LDC","Griffiss Utility Services Corporation","410 Phoenix Drive",,"ROME","NY","13441","http://www.gusc.net/"
"LDC","Greene Tobacco Asset Securitization Corporation","411 Main Street",,"CATSKILL","NY","12414","http://greene.yourtasc.com"
"LDC","Greene County Economic Development Corporation","411 Main Street",,"CATSKILL","NY","12414","http://www.greenecountyedc.com"
"LDC","Carthage Industrial Development Corporation","414 State Street",,"CARTHAGE","NY","13619","http://villageofcarthageny.com/cidc"
"LDC","Yates Tobacco Asset Securitization Corporation","417 Liberty Street","Suite 1081","PENN YAN","NY","14527","http://Yates.YourTasc.com"
"Local","Glens Falls Urban Renewal Agency","42 Ridge Street",,"GLENS FALLS","NY","12801","http://www.cityofglensfalls.com"
"LDC","Glens Falls Civic Development Corporation","42 Ridge Street",,"GLENS FALLS","NY","12801",
"IDA","Glens Falls Industrial Development Agency","42 Ridge Street",,"GLENS FALLS","NY","12801",
"IDA","Herkimer Industrial Development Agency","420 E. German St., Suite 101A",,"HERKIMER","NY","13350","http://www.herkimercountyida.org"
"LDC","Onondaga Convention Center Hotel Development Corporation","421 Montgomery Street","Civic Center, 10th Floor (Law Dept.)","SYRACUSE","NY","13202","http://www.ongov.net"
"LDC","The Catskill Local Development Corporation","422 Main Street",,"CATSKILL","NY","12414","http://welcometocatskill.com/LDC/default.asp"
"IDA","Amherst Industrial Development Agency","4287 Main St",,"AMHERST","NY","14226","http://www.amherstida.com"
"LDC","Town of Amherst Development Corporation","4287 Main Street",,"AMHERST","NY","14226","http://www.AmherstIDA.com"
"LDC","Greater Syracuse Property Development Corporation","431 E Fayette Street","Suite 375","SYRACUSE","NY","13202","http://www.syracuselandbank.org"
"LDC","City of Troy Capital Resource Corporation","433 River Street, Suite 5000",,"TROY","NY","12180","http://www.troyny.gov/Departments/EconomicDevelopment/TroyCRC.aspx"
"IDA","Troy Industrial Development Authority","433 River Street, Suite 5000","City Hall","TROY","NY","12180","http://www.troyny.gov"
"Local","Schenectady Metroplex Development Authority","433 State Street","Suite 401","SCHENECTADY","NY","12305","http://www.schenectadymetroplex.org"
"LDC","Land Reutilization Corporation of The Capital Region","433 State Street","433 State Street","SCHENECTADY","NY","12305-1109","http://capitalregionlandbank.org/"
"LDC","Oswego County Land Bank Corporation","44 East Bridge Street","Suite 303","OSWEGO","NY","13126","http://www.oswegocountylandbank.com"
"LDC","Operation Oswego County","44 West Bridge Street",,"OSWEGO","NY","13126","http://www.oswegocounty.org"
"IDA","Oswego County Industrial Development Agency","44 West Bridge Street",,"OSWEGO","NY","13126","http://www.oswegocountyida.org/"
"LDC","Oswego County Civic Facilities Corporation","44 West Bridge Street",,"OSWEGO","NY","13126",
"IDA","Bethlehem Industrial Development Agency","445 Delaware Avenue",,"DELMAR","NY","12054","http://www.bethlehemida.com"
"LDC","The Greene Local Development Corporation","45 Sunset Blvd","Suite 3","COXSACKIE","NY","12051","http://www.greeneida.com/greene-local-development-corporation"
"IDA","Greene County Industrial Development Agency","45 Sunset Blvd.","Suite 3","COXSACKIE","NY","12051","http://www.greeneida.com"
"LDC","Oswego Tobacco Asset Securitization Corporation","46 East Bridge Street",,"OSWEGO","NY","13126","http://www.oswegocounty.com/otasc.html"
"State","Erie County Medical Center Corporation","462 Grider Street",,"BUFFALO","NY","14215","http://www.ecmc.edu/"
"LDC","Geneva Local Development Corporation","47 Castle Street",,"GENEVA","NY","14456",
"IDA","Geneva Industrial Development Agency","47 Castle Street",,"GENEVA","NY","14456",
"IDA","Babylon Industrial Development Agency","47 West Main Street, Suite 3",,"BABYLON","NY","11702","http://www.babylonida.org"
"IDA","Yonkers Industrial Development Agency","470 Nepperhan Avenue","Suite 200","YONKERS","NY","10701","http://www.yonkersida.com"
"LDC","Yonkers Economic Development Corporation","470 Nepperhan Avenue, Suite 200",,"YONKERS","NY","10701",
"Local","Monroe County Water Authority","475 Norris Drive",,"ROCHESTER","NY","14610","http://www.mcwa.com"
"LDC","Bolton Local Development Corporation","4949 Lakeshore Drive","P.O. Box 698","BOLTON LANDING","NY","12814","http://www.boltonldc.com/"
"LDC","Albany County Business Development Corporation","5 Computer Drive South",,"ALBANY","NY","12205-1608",
"LDC","Counties of Warren and Washington Civic Development Corporation","5 Warren St. Suite 210",,"GLENS FALLS","NY","12801","http://warren-washingtonida.com"
"IDA","Warren and Washington Counties Industrial Development Agency","5 Warren Street, Suite 210",,"GLENS FALLS","NY","12801","http://www.warren-washingtonida.com"
"Local","Incorporated Village of Hempstead Community Development Agency","50 Clinton Street","Ste. 504","HEMPSTEAD","NY","11550","http://www.villageofhempsteadcda.org"
"LDC","Rockland Second Tobacco Asset Securitization Corporation","50 Sanatorium Road","Building A Floor 8","POMONA","NY","10970","http://rocklandgov.com/departments/finance/"
"LDC","Rockland Tobacco Asset Securitization Corporation","50 Sanatorium Road","Building A - Floor 8","POMONA","NY","10970","http://rocklandgov.com/departments/finance/"
"LDC","Rockland County Health Facilities Corporation","50 Sanitorium Road",,"POMONA","NY","10970","http://www.rocklandgov.com"
"Local","Water Authority of Great Neck North","50 Watermill Lane",,"GREAT NECK","NY","11021","http://www.waterauthorityofgreatnecknorth.com"
"IDA","Saratoga County Industrial Development Agency","50 West High St.","Municipal Center","BALLSTON SPA","NY","12020","http://www.saratogacountyida.org"
"LDC","Saratoga County Capital Resource Corporation","50 West High Street",,"BALLSTON SPA","NY","12020","http://www.saratogacountyny.gov"
"IDA","Monroe Industrial Development Agency","50 West Main St Suite 1150",,"ROCHESTER","NY","14614","http://www.monroecountyida.org"
"LDC","Monroe County Industrial Development Corporation","50 West Main Street","Suite 1150","ROCHESTER","NY","14614","http://www.mcidcweb.com/about"
"LDC","Greater Mohawk Valley Land Bank Corporation","500 East Main Street","PO Box 53","LITTLE FALLS","NY","13365","http://gmvlb.org"
"LDC","Cornell Agriculture and Food Technology Park Corporation","500 Technology Farm Drive",,"GENEVA","NY","14456-0070","http://www.thetechnologyfarm.com"
"LDC","Lumber City Development Corporation","500 Wheatfield Street",,"NORTH TONAWANDA","NY","14120","http://www.lumbercitydc.com"
"Local","Buffalo Municipal Water Finance Authority","502 City Hall","65 Niagara Square","BUFFALO","NY","14202","http://www.buffalowaterauthority.com/"
"Local","Buffalo Water Board","502 City Hall","65 Niagara Square","BUFFALO","NY","14202","http://www.buffalowaterauthority.com/About/WaterBoard"
"LDC","Hudson Valley AgriBusiness Development Corp","507 Warren St",,"HUDSON","NY","12534","http://www.hvadc.org"
"Local","Town of North Hempstead Community Development Agency","51 Orchard Street",,"ROSLYN HEIGHTS","NY","11577-1326","http://www.northhempstead.com/content/7358/7129/4244/4278/default.aspx"
"LDC","Town of North Hempstead Business and Tourism Development Corporation","51 Orchard Street",,"ROSLYN HEIGHTS","NY","11577-1326","https://northhempsteadny.gov/Our-Mission"
"State","Dormitory Authority of the State of New York","515 Broadway",,"ALBANY","NY","12207-2964","http://www.dasny.org"
"LDC","New Rochelle Corporation for Local Development","515 North Avenue","Department of Development","NEW ROCHELLE","NY","10801","http://www.newrochelleny.com"
"IDA","New Rochelle Industrial Development Agency","515 North Avenue","Department of Development","NEW ROCHELLE","NY","10801","http://www.newrochelleny.com"
"LDC","New Rochelle Local Development Corporation","515 North Avenue",,"NEW ROCHELLE","NY","10801",
"IDA","Hudson Industrial Development Agency","520 Warren Street","City Hall","HUDSON","NY","12534","http://cityofhudson.org/content/Boards/View/1"
"Local","City of Hudson Community Development and Planning Agency","520 Warren Street",,"HUDSON","NY","12534","https://cms3.revize.com/revize/hudsonny/departments/boards_and_committees/hudson_community_development_and_planning_agency.php"
"Local","Saratoga Springs City Center Authority","522 Broadway",,"SARATOGA SPRINGS","NY","12866",
"LDC","Southold Local Development Corporation","53095 Route 25","PO Box 1179","SOUTHOLD","NY","11971","http://www.southoldldc.org"
"Local","Town of Riverhead Community Development Agency","542 East Main Street",,"RIVERHEAD","NY","11901","http://www.riverheadli.com/rthome.html"
"IDA","Sullivan County Industrial Development Agency","548 Broadway",,"MONTICELLO","NY","12701","http://www.sullivanida.com/"
"LDC","Sullivan County Funding Corporation","548 Broadway",,"MONTICELLO","NY","12701","http://www.scfundingcorp.com"
"LDC","The Sullivan County Infrastructure Local Development Corporation","548 Broadway",,"MONTICELLO","NY","12701","http://www.sullivanldc.com"
"IDA","Tioga County Industrial Development Agency","56 Main St.","County Office Bldg.","OWEGO","NY","13827","https://www.tiogacountyny.com/programs-agencies/industrial-development-agency/"
"LDC","Tioga County Property Development Corporation","56 Main Street",,"OWEGO","NY","13827","https://www.tiogacountyny.com/departments/economic-development-planning/"
"LDC","Greater Aurora Development Corporation","571 Main St.",,"EAST AURORA","NY","14052","http://www.east-aurora.ny.us/government/water-meter/water-meter-replacement-program.html"
"Local","Niagara Falls Public Water Authority","5815 Buffalo Avenue",,"NIAGARA FALLS","NY","14304","http://nfwb.org/NFPWA"
"Local","Niagara Falls Water Board","5815 Buffalo Avenue",,"NIAGARA FALLS","NY","14304","http://www.nfwb.org"
"LDC","Griffiss Local Development Corporation","584 Phoenix Drive",,"ROME","NY","13441","http://www.griffissldc.org"
"IDA","Oneida County Industrial Development Agency","584 Phoenix Drive",,"ROME","NY","13441","http://www.mvedge.org/ocida.asp"
"LDC","Oneida County Local Development Corporation","584 Phoenix Drive",,"ROME","NY","13441","http://www.oneidacountyIDA.org/OCLDC"
"LDC","Wyandanch Community Development Corporation","59 Cumberbach Street",,"WYANDANCH","NY","11798","http://www.wyandanchcdc.org"
"Local","New York City Water Board","59-17 Junction Blvd.","8th Floor","FLUSHING","NY","11373-5108","http://nyc.gov/html/nycwaterboard/html/home/home.shtml"
"State","Roosevelt Island Operating Corporation","591 Main Street",,"ROOSEVELT ISLAND","NY","10044","http://www.rioc.ny.gov"
"LDC","Livingston County Capital Resource Corporation","6 Court Street","Room 306","GENESEO","NY","14454","http://www.co.livingston.state.ny.us/"
"LDC","Livingston County Land Bank Corporation","6 Court Street","Room 305","GENESEO","NY","14454",
"IDA","Livingston County Industrial Development Agency","6 Court Street Room 306",,"GENESEO","NY","14454","http://www.co.livingston.state.ny.us/lcida"
"LDC","Cortland Tobacco Asset Securitization Corporation","60 Central Avenue",,"CORTLAND","NY","13045","http://cortland.yourtasc.com"
"LDC","Broome County Land Bank","60 Hawley St","PO Box 1766","BINGHAMTON","NY","13902-1766","http://www.broomelandbank.org"
"IDA","Corinth Industrial Development Agency","600 Palmer Avenue",,"CORINTH","NY","12822","http://www.townofcorinthny.com"
"LDC","Allegany County Land Bank Corporation","6087 State Rt 19n suite 300",,"BELMONT","NY","14813","http://www.alleganyco.com/development/allegany-county-land-bank-corporation/"
"LDC","TDC NNY INC.","61 Area Development Drive",,"PLATTSBURGH","NY","12901",
"IDA","Amsterdam Industrial Development Agency","61 Church Street",,"AMSTERDAM","NY","12010","http://www.amsterdamny.gov/business/amsterdam-industrial-development-agency.php"
"Local","Amsterdam Urban Renewal Agency","61 Church Street",,"AMSTERDAM","NY","12010","http://www.amsterdamny.gov/business/urban-renewal-agency.php"
"LDC","Hamburg New York Land Development Corporation","6100 South Park Avenue",,"HAMBURG","NY","14075","http://hamburgida.com"
"Local","Poughkeepsie Urban Renewal Agency","62 Civic Center Plaza",,"POUGHKEEPSIE","NY","12601",
"IDA","Poughkeepsie Industrial Development Agency","62 Civic Center Plaza",,"POUGHKEEPSIE","NY","12601",
"IDA","City of Rensselaer Industrial Development Agency","62 Washington Street",,"RENSSELAER","NY","12144",
"State","Natural Heritage Trust","625 Broadway",,"ALBANY","NY","12207","http://www.naturalheritagetrust.org"
"State","Environmental Facilities Corporation","625 Broadway","7th Floor","ALBANY","NY","12207-2997","http://www.efc.ny.gov"
"State","Greenway Conservancy for the Hudson River Valley, Inc.","625 Broadway - 4th Floor",,"ALBANY","NY","12207-2995","https://hudsongreenway.ny.gov/"
"LDC","Niagara Power Coalition","630 - 66th Street",,"NIAGARA FALLS","NY","14304","http://www.niagarapowercoalition.com"
"IDA","Niagara County Industrial Development Agency","6311 Inducon Corporate Dr Suite 1",,"SANBORN","NY","14132-9099","http://www.niagaracountybusiness.com"
"LDC","Niagara County Development Corporation","6311 Inducon Corporate Drive",,"SANBORN","NY","14132","http://www.niagaracountybusiness.com"
"LDC","Niagara Orleans Land Improvement Corporation","6311 Inducon Corporate Drive",,"SANBORN","NY","14132","http://www.niagaraorleanslandbank.com"
"LDC","Niagara Area Development Corporation","6311 Inducon Corporate Drive","Suite One","SANBORN","NY","14132-9099","http://www.niagaracountybusiness.com"
"State","New York Job Development Authority","633 Third Avenue",,"NEW YORK","NY","10017-6754",
"State","New York State Urban Development Corporation","633 Third Avenue",,"NEW YORK","NY","10017-8167","http://www.esd.ny.gov/"
"State","New York State Housing Finance Agency","641 Lexington Avenue",,"NEW YORK","NY","10022","http://www.nyshcr.org"
"State","State of New York Municipal Bond Bank Agency","641 Lexington Avenue",,"NEW YORK","NY","10022","http://www.nyshcr.org"
"State","New York State Affordable Housing Corporation","641 Lexington Avenue",,"NEW YORK","NY","10022","http://www.nyshcr.org"
"State","State of New York Mortgage Agency","641 Lexington Avenue",,"NEW YORK","NY","10022","http://www.nyshcr.org/"
"State","Tobacco Settlement Financing Corporation","641 Lexington Avenue",,"NEW YORK","NY","10022","http://www.nyshcr.org/"
"LDC","The Village of Waterford Local Development Corporation","65 Broad Street",,"WATERFORD","NY","12188",
"LDC","Town of Waterford Capital Resource Corporation","65 Broad Street",,"WATERFORD","NY","12188-2412",
"LDC","The North Country Alliance Local Development Corporation","65 Main Street, Box 8561","Clarkson University","POTSDAM","NY","13699-8561","http://northcountryalliance.org"
"State","New York Convention Center Operating Corporation","655 West 34th Street",,"NEW YORK","NY","10001-1188","http://www.javitscenter.com"
"IDA","Town of Lockport Industrial Development Agency","6560 Dysinger Road",,"LOCKPORT","NY","14094","http://www.lockporteconomicdevelopment.com"
"Local","Little Falls Urban Renewal Agency","659 E. Main Street","2nd Floor City Hall","LITTLE FALLS","NY","13365","http://cityoflittlefalls.net"
"Local","Clifton Park Water Authority","661 Clifton Park Center Road",,"CLIFTON PARK","NY","12065","http://www.cpwa.org"
"LDC","Catskill Watershed Corporation","669 County Highway 38","Suite 1","ARKVILLE","NY","12406","http://www.cwconline.org"
"IDA","Rockland County Industrial Development Agency","67 N","67 N. Main Street","NEW CITY","NY","10956","http://rocklandida.com"
"LDC","Rockland County Economic Assistance Corporation","67 North Main Street",,"NEW CITY","NY","10956","http://www.rocklandida.com"
"LDC","West Brighton Community Local Development Corporation","686 Forest Avenue",,"STATEN ISLAND","NY","10310","http://www.siboc.org/"
"Local","Green Island Power Authority","69 Hudson Avenue",,"TROY","NY","12183",
"LDC","Village of Holley Development Corporation","69 Public Square",,"HOLLEY","NY","14470",
"LDC","Albany County Land Bank Corporation","69 State Street","8th Floor","ALBANY","NY","12207","http://www.albanycountylandbank.org"
"Local","White Plains Urban Renewal Agency","70 Church Street",,"WHITE PLAINS","NY","10601-1901","http://www.whiteplainsny.gov/ura"
"LDC","Finger Lakes Regional Telecommunications Development Corporation","70 Ontario Street",,"CANANDAIGUA","NY","14424","http://www.axcessontario.com"
"IDA","Niagara Town Industrial Development Agency","7105 Lockport Road",,"NIAGARA FALLS","NY","14305",
"LDC","Steuben Area Economic Development Corporation","7234 Route 54 North","P.O. Box 393","BATH","NY","14810","http://www.steubencountyida.com"
"Local","Cayuga County Water and Sewer Authority","7413 County House Road",,"AUBURN","NY","13021","http://www.cayugacounty.us/CountyGovernment/WaterandSewerAuthority.aspx"
"LDC","NFC Development Corporation","745 Main Street",,"NIAGARA FALLS","NY","14302","http://niagarafallsusa.org/government/city-departments/nfc-development-corp/"
"Local","Niagara Falls Urban Renewal Agency","745 Main Street","MPO Box 69","NIAGARA FALLS","NY","14302","http://www.niagarafallsusa.org"
"LDC","Hudson Yards Infrastructure Corporation","75 Park Place","6th Floor","NEW YORK","NY","10007",
"LDC","Town of Sullivan Development Corporation","7507 Lakeport Rd",,"CHITTENANGO","NY","13037",
"IDA","Lewis County Industrial Development Agency","7551 S. State Street",,"LOWVILLE","NY","13367","http://www.naturallylewis.com"
"LDC","Essex County Capital Resource Corporation","7566 Court Street","PO Box 217","ELIZABETHTOWN","NY","12932","http://www.essexcountyida.com"
"LDC","Greater Brockport Development Corporation","76 Adams Street",,"BROCKPORT","NY","14420-1921","http://www.growbrockport.org"
"Local","American Museum of Natural History Planetarium Authority","79th Street @ Central Park West",,"NEW YORK","NY","10024",
"Local","Yonkers Parking Authority","8 Buena Vista Avenue",,"YONKERS","NY","10701","http://www.yonkersparkingauthority.com"
"LDC","Southern Tier Network, Inc.","8 Denison Parkway East","Suite 310","CORNING","NY","14830","http://southerntiernetwork.org"
"State","Municipal Assistance Corporation for the City of Troy","80 Maiden Lane","Suite 402","NEW YORK","NY","10038","https://www.troyny.gov/government/mac/"
"LDC","Tioga County Local Development Corporation","80 North Avenue",,"OWEGO","NY","13827","http://tclocaldevelopmentcorp.squarespace.com/"
"LDC","Town of Wawayanda Local Development Corporation","80 Ridgebury Hill Road",,"SLATE HILL","NY","10973","https://townofwawayanda.com/"
"IDA","Jefferson Industrial Development Agency","800 Starbuck Ave Suite 800",,"WATERTOWN","NY","13601","http://www.jcida.com"
"LDC","Jefferson County Local Development Corporation","800 Starbuck Avenue","Suite 800","WATERTOWN","NY","13601","http://www.jcida.com"
"LDC","Jefferson County Civic Facility Development Corporation","800 Starbuck Avenue","Suite 800","WATERTOWN","NY","13601","http://www.jcida.com"
"LDC","Watertown Industrial Center Local Development Corporation","800 Starbuck Avenue","Suite 804","WATERTOWN","NY","13601","http://www.wicldc.com"
"Local","North Hempstead Solid Waste Management Authority","802 West Shore Road",,"PORT WASHINGTON","NY","11050","http://www.northhempsteadny.gov/content/7352/7123/7215/4433/7217/default.aspx"
"LDC","Town of Babylon L. D. Corporation II","816 Deer Park Avenue",,"NORTH BABYLON","NY","11703","http://townofbabylon.com"
"LDC","City of Watertown Local Development Corporation","82 Public Square",,"WATERTOWN","NY","13601","http://www.watertownldc.com"
"Local","Franklin County Solid Waste Management Authority","828 County Route 20",,"CONSTABLE","NY","12926","http://www.cfswma.com"
"IDA","Newburgh Industrial Development Agency","83 Broadway, 3rd Floor","PO Box 1298","NEWBURGH","NY","12551-1298","http://www.cityofnewburgh-ny.gov/industrial-development-agency"
"IDA","Peekskill Industrial Development Agency","840 Main Street",,"PEEKSKILL","NY","10566","http://www.cityofpeekskill.com/industrialdevelopmentagency"
"LDC","Peekskill Facilities Development Corporation","840 Main Street",,"PEEKSKILL","NY","10566","http://www.cityofpeekskill.com/industrialdevelopmentagency/peekskill-facilities-development-corp"
"LDC","City of Peekskill Local Development Corporation","840 Main Street",,"PEEKSKILL","NY","10566","http://www.cityofpeekskill.com/industrialdevelopmentagency/peekskill-local-development-corp"
"LDC","Victor Local Development Corporation","85 East Main Street",,"VICTOR","NY","14564-5073","http://www.victorldc.org/"
"LDC","Business Development Corporation for a Greater Massena","85 Robinson Road","PO Box 5217","MASSENA","NY","13662","http://www.massenaworks.com"
"LDC","The Castleton-Schodack Local Development Corporation","85 South Main Street",,"CASTLETON","NY","12033",
"LDC","Bronx Overall Economic Development Corporation","851 Grand Concourse","Room 123","BRONX","NY","10451","http://www.boedc.com"
"IDA","Concord Industrial Development Agency","86 Franklin Street",,"SPRINGVILLE","NY","14141",
"LDC","Yonkers Downtown Waterfront Development Corporation","87 Nepperhan Avenue","suite 309","YONKERS","NY","10701","http://www.ydwdc.com"
"LDC","Cattaraugus County Capital Resource Corporation","9 E. Washington Street",,"ELLICOTTVILLE","NY","14731","http://www.cattcoida.com"
"LDC","Glen Cove Local Economic Assistance Corporation","9 Glen Street",,"GLEN COVE","NY","11542","http://glencoveida.org/local-economic-assistance-corporation/"
"IDA","Glen Cove Industrial Development Agency","9 Glen Street",,"GLEN COVE","NY","11542","http://www.glencoveida.org"
"Local","Nyack Parking Authority","9 North Broadway","Village Hall","NYACK","NY","10960",
"LDC","Montgomery County Capital Resource Corporation","9 Park Street","PO Box 1500","FONDA","NY","12068","http://www.mcbdc.org"
"LDC","Wayne Economic Development Corporation","9 Pearl Street",,"LYONS","NY","14489","http://wedcny.com"
"LDC","Wayne County Civic Facility Development Corporation","9 Pearl Street",,"LYONS","NY","14489","http://wedcny.com"
"IDA","Wayne County Industrial Development Agency","9 Pearl Street",,"LYONS","NY","14489-5917","https://web.co.wayne.ny.us/index.php/wcida/"
"Local","Glen Cove Community Development Agency","9-13 Glen Street","City Hall","GLEN COVE","NY","11542",
"Local","Genesee Valley Regional Market Authority","900 Jefferson Road",,"ROCHESTER","NY","14623","http://www.geneseevalleyregionalmarketauthority.com"
"IDA","Schuyler County Industrial Development Agency","910 South Decatur Street",,"WATKINS GLEN","NY","14891","http://flxgateway.com/scida/"
"Local","Buffalo Urban Renewal Agency","920 City Hall","65 Niagara Square","BUFFALO","NY","14202","http://www.ci.buffalo.ny.us/Home/City_Departments/BURA"
"LDC","Erie Tobacco Asset Securitization Corporation","95 Franklin","Room 1603","BUFFALO","NY","14202","http://www2.erie.gov/etasc/"
"LDC","Buffalo Urban Development Corporation","95 Perry Street","Suite 404","BUFFALO","NY","14203","http://budc.ecidany.com/index.asp"
"LDC","Buffalo and Erie County Industrial Land Development Corporation","95 Perry Street","Suite 403","BUFFALO","NY","14203","http://www.ecidany.com"
"LDC","Buffalo and Erie County Regional Development Corporation","95 Perry Street","Suite 403","BUFFALO","NY","14203","http://www.ecidany.com"
"IDA","Erie County Industrial Development Agency","95 Perry Street","Suite 403","BUFFALO","NY","14203-6525","http://www.ecidany.com"
"Local","Dutchess County Resource Recovery Agency","96 Sand Dock Road",,"POUGHKEEPSIE","NY","12601","http://www.dcrra.org"
"LDC","Cohoes Local Development Corporation","97 Mohawk Street",,"COHOES","NY","12047","http://www.cohoesldc.org/"
"IDA","Cohoes Industrial Development Agency","97 Mohawk Street",,"COHOES","NY","12047","http://www.cohoesida.org"
"LDC","Genesee Gateway Local Development Corporation","99 MedTEch Drive",,"BATAVIA","NY","14020","http://www.gcedc.com"
"IDA","Genesee County Industrial Development Agency","99 MedTech Drive",,"BATAVIA","NY","14020","http://www.gcedc.com"
"IDA","Wallkill Industrial Development Agency","99 Tower Drive","Building A","MIDDLETOWN","NY","10941","http://www.townofwallkill.com"
"Local","Albany County Airport Authority","Albany International Airport","Admin Bldg Room 204","ALBANY","NY","12211","http://www.albanyairport.com/"
"LDC","Binghamton Local Development Corporation","Binghamton City Hall, 4th Floor","38 Hawley St., 4th Floor","BINGHAMTON","NY","13903-7161","http://www.cityofbinghamton.com/department.asp?zone=Dept-Economic-Development&pid=6&pm=page"
"LDC","Brooklyn Navy Yard Development Corporation","Brooklyn Navy Yard, Building 292","63 Flushing Avenue, Unit 300","BROOKLYN","NY","11205-5928","http://www.brooklynnavyyard.org/procurementrfp4.html"
