"name_of_local_government","type_of_local_government","status_as_a_csc","date_adopted_csc_pledge","certification_expiration_date","population_from_2010_census","county","redc_region","dec_regional_office"
"Rockland town","town","Registered","2018-02-15T00:00:00.000",,"3775","Sullivan","Mid-Hudson","3"
"Rome city","city","Registered","2015-07-22T00:00:00.000",,"33725","Oneida","Mohawk Valley","6"
"Roseboom town","town","Registered","2018-10-11T00:00:00.000",,"711","Otsego","Mohawk Valley","4"
"Rosendale town","town","Registered","2009-05-13T00:00:00.000",,"6075","Ulster","Mid-Hudson","3"
"Royalton town","town","Registered","2010-02-08T00:00:00.000",,"7660","Niagara","Western New York","9"
"Rushford town","town","Registered","2016-07-01T00:00:00.000",,"1150","Allegany","Western New York","9"
"Rye Brook village","village","Registered","2016-03-22T00:00:00.000",,"9347","Westchester","Mid-Hudson","3"
"Rye city","city","Registered","2015-07-08T00:00:00.000",,"15720","Westchester","Mid-Hudson","3"
"Rye town","town","Registered","2017-05-16T00:00:00.000",,"45928","Westchester","Mid-Hudson","3"
"Sag Harbor village","village","Registered","2020-08-11T00:00:00.000",,"2169","Suffolk","Long Island","1"
"Saranac Lake village","village","Bronze Certified","2018-05-14T00:00:00.000","2025-09-30T00:00:00.000","5406","Franklin","North Country","5"
"Saratoga Springs city","city","Bronze Certified","2011-12-20T00:00:00.000","2025-08-31T00:00:00.000","26586","Saratoga","Capital Region","5"
"Saugerties town","town","Bronze Certified","2009-04-08T00:00:00.000","2025-08-31T00:00:00.000","19482","Ulster","Mid-Hudson","3"
"Scarsdale village","village","Registered","2020-02-03T00:00:00.000",,"17166","Westchester","Mid-Hudson","3"
"Schenectady city","city","Registered","2009-07-20T00:00:00.000",,"66135","Schenectady","Capital Region","4"
"Schenectady County","County","Bronze Certified","2009-04-14T00:00:00.000","2022-08-31T00:00:00.000","154727","Schenectady","Capital Region","4"
"Schroon town","town","Registered","2011-03-16T00:00:00.000",,"1654","Essex","North Country","5"
"Schuylerville village","village","Registered","2019-01-09T00:00:00.000",,"1386","Saratoga","Capital Region","5"
"Scottsville village","village","Registered","2017-10-10T00:00:00.000",,"2001","Monroe","Central New York","8"
"Sea Cliff village","village","Registered","2019-10-07T00:00:00.000",,"4995","Nassau","Long Island","1"
"Seneca Falls town","town","Registered","2016-11-01T00:00:00.000",,"9040","Seneca","Finger Lakes","8"
"Shandaken town","town","Registered","2016-10-03T00:00:00.000",,"3085","Ulster","Mid-Hudson","3"
"Shawangunk town","town","Registered","2018-12-20T00:00:00.000",,"14332","Ulster","Mid-Hudson","3"
"Shelter Island town","town","Registered","2021-02-05T00:00:00.000",,"2392","Suffolk","Long Island","1"
"Sherburne village","village","Registered","2020-05-15T00:00:00.000",,"1367","Chenango","Southern Tier","7"
"Sherman village","village","Registered","2018-05-02T00:00:00.000",,"730","Chautauqua","Western New York","9"
"Skaneateles town","town","Registered","2009-07-16T00:00:00.000",,"7209","Onondaga","Central New York","7"
"Skaneateles village","village","Registered","2009-04-27T00:00:00.000",,"2450","Onondaga","Central New York","7"
"Sleepy Hollow village","village","Bronze Certified","2014-09-23T00:00:00.000","2025-09-30T00:00:00.000","9870","Westchester","Mid-Hudson","3"
"Smithtown town","town","Registered","2009-04-14T00:00:00.000",,"117801","Suffolk","Long Island","1"
"Sodus town","town","Registered","2015-01-15T00:00:00.000",,"8384","Wayne","Finger Lakes","8"
"Sodus village","village","Registered","2014-09-09T00:00:00.000",,"1819","Wayne","Finger Lakes","8"
"Somerset town","town","Registered","2010-02-09T00:00:00.000",,"2662","Niagara","Western New York","9"
"Somers town","town","Registered","2010-02-04T00:00:00.000",,"20434","Westchester","Mid-Hudson","3"
"Southampton town","town","Bronze Certified","2012-10-23T00:00:00.000","2022-08-31T00:00:00.000","56790","Suffolk","Long Island","1"
"South Nyack village","village","Registered","2019-05-14T00:00:00.000",,"3510","Rockland","Mid-Hudson","3"
"Southold town","town","Registered","2019-09-24T00:00:00.000",,"21968","Suffolk","Long Island","1"
"Springville village","village","Registered","2017-03-20T00:00:00.000",,"4296","Erie","Western New York","9"
"Suffolk County","County","Silver Certified","2012-11-20T00:00:00.000","2025-08-31T00:00:00.000","1493350","Suffolk","Long Island","1"
"Sullivan County","County","Bronze Certified","2010-02-11T00:00:00.000","2022-08-31T00:00:00.000","77547","Sullivan","Mid-Hudson","3"
"Syracuse city","city","Registered","2009-04-27T00:00:00.000",,"145170","Onondaga","Central New York","7"
"Taghkanic town","town","Registered","2020-11-09T00:00:00.000",,"1310","Columbia","Capital Region","4"
"Tarrytown village","village","Registered","2009-06-15T00:00:00.000",,"11277","Westchester","Mid-Hudson","3"
"Tivoli village","village","Registered","2013-07-17T00:00:00.000",,"1118","Dutchess","Mid-Hudson","3"
"Tompkins County","County","Silver Certified","2009-04-21T00:00:00.000","2023-08-31T00:00:00.000","71550","Tompkins","Southern Tier","7"
"Troy city","city","Registered","2012-11-09T00:00:00.000",,"50129","Rensselaer","Capital Region","4"
"Tully village","village","Registered","2019-10-02T00:00:00.000",,"873","Onondaga","Central New York","7"
"Tupper Lake town","town","Registered","2019-06-13T00:00:00.000",,"5971","Franklin","North Country","5"
"Tupper Lake village","village","Registered","2019-09-25T00:00:00.000",,"3667","Franklin","North Country","5"
"Tusten town","town","Bronze Certified","2012-02-13T00:00:00.000","2023-08-31T00:00:00.000","1515","Sullivan","Mid-Hudson","3"
"Tuxedo Park village","village","Registered","2020-06-17T00:00:00.000",,"623","Orange","Mid-Hudson","3"
"Tuxedo town","town","Registered",,,"3624","Orange","Mid-Hudson","3"
"Ulster County","County","Silver Certified","2011-08-16T00:00:00.000","2021-08-31T00:00:00.000","182493","Ulster","Mid-Hudson","3"
"Ulysses town","town","Bronze Certified","2016-09-13T00:00:00.000","2023-08-31T00:00:00.000","4900","Tompkins","Southern Tier","7"
"Union Vale town","town","Registered","2018-05-17T00:00:00.000",,"4877","Dutchess","Mid-Hudson","3"
"Upper Nyack village","village","Registered","2021-08-02T00:00:00.000",,"2063","Rockland","Mid-Hudson","3"
"Utica city","city","Registered","2016-07-08T00:00:00.000",,"62235","Oneida","Mohawk Valley","6"
"Victor village","village","Registered","2010-02-01T00:00:00.000",,"2696","Ontario","Finger Lakes","8"
"Walden village","village","Registered","2019-07-16T00:00:00.000",,"6978","Orange","Mid-Hudson","3"
"Wappingers Falls village","village","Registered","2015-08-12T00:00:00.000",,"5522","Dutchess","Mid-Hudson","3"
"Wappinger town","town","Registered","2015-07-27T00:00:00.000",,"27048","Dutchess","Mid-Hudson","3"
"Warren County","County","Bronze Certified","2019-06-19T00:00:00.000","2025-08-31T00:00:00.000","65707","Warren","Capital Region","5"
"Warwick village","village","Registered","2019-07-02T00:00:00.000",,"6731","Orange","Mid-Hudson","3"
"Watervliet city","city","Bronze Certified","2010-02-16T00:00:00.000","2025-08-31T00:00:00.000","10254","Albany","Capital Region","4"
"Wawarsing town","town","Registered","2019-12-19T00:00:00.000",,"13157","Ulster","Mid-Hudson","3"
"Webb town","town","Registered","2019-09-10T00:00:00.000",,"1807","Herkimer","Mohawk Valley","6"
"Wesley Hills village","village","Registered","2018-08-07T00:00:00.000",,"5628","Rockland","Mid-Hudson","3"
"West Carthage village","village","Registered","2009-03-09T00:00:00.000",,"2012","Jefferson","North Country","6"
"Westchester County","County","Registered","2015-12-14T00:00:00.000",,"949113","Westchester","Mid-Hudson","3"
"West Winfield village","village","Registered","2020-03-09T00:00:00.000",,"826","Herkimer","Mohawk Valley","6"
"White Plains city","city","Registered","2014-09-02T00:00:00.000",,"56853","Westchester","Mid-Hudson","3"
"Whitney Point village","village","Registered","2017-06-14T00:00:00.000",,"964","Broome","Southern Tier","7"
"Williamson town","town","Registered","2015-06-09T00:00:00.000",,"6984","Wayne","Finger Lakes","8"
"Williamsville village","village","Registered","2019-05-28T00:00:00.000",,"5300","Erie","Western New York","9"
"Woodbury town","town","Registered","2010-02-04T00:00:00.000",,"11353","Orange","Mid-Hudson","3"
"Woodbury village","village","Registered","2020-05-14T00:00:00.000",,"10686","Orange","Mid-Hudson","3"
"Woodsburgh village","village","Registered","2009-04-27T00:00:00.000",,"778","Nassau","Long Island","1"
"Woodstock town","town","Bronze Certified","2016-06-21T00:00:00.000","2025-09-30T00:00:00.000","5884","Ulster","Mid-Hudson","3"
"Yonkers city","city","Bronze Certified","2009-04-14T00:00:00.000","2025-09-30T00:00:00.000","195976","Westchester","Mid-Hudson","3"
"Yorktown town","town","Registered","2009-12-09T00:00:00.000",,"36081","Westchester","Mid-Hudson","3"
