"name","url","agency","category","granularity","filter_value","rows","latitude","longitude","georeference"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","OTEGO","1","42.393369","-75.177734","POINT (-75.177734 42.393369)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","HAMLIN","1","43.295304","-77.920775","POINT (-77.920775 43.295304)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","BRIGHTWATERS","1","40.711393","-73.259665","POINT (-73.259665 40.711393)"
"Bridge Conditions, NYS Department of Transportation","http://data.ny.gov/d/wpyb-cjy8","Transportation, Department of","Transportation","County","ORANGE","458","41.4021351","-74.3055651","POINT (-74.3055651 41.4021351)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","WEST BLOOMFIELD","158","42.902482","-77.497037","POINT (-77.497037 42.902482)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","Municipality","PEEKSKILL","2","41.290357","-73.921894","POINT (-73.921894 41.290357)"
"Certificate of Need Applications: Beginning 1974","http://health.data.ny.gov/d/h343-jwie","Health, Department of","Health","Municipality","GREENWICH","1","43.087513","-73.496974","POINT (-73.496974 43.087513)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","DELEVAN","1","42.490677","-78.480264","POINT (-78.480264 42.490677)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","VILLAGE OF THE BRANCH","1","40.856103","-73.183431","POINT (-73.183431 40.856103)"
"Creating Healthy Places Intervention Locations","http://health.data.ny.gov/d/jxme-znux","Health, Department of","Health","Municipality","KINGSTON","24","41.927062","-73.997619","POINT (-73.997619 41.927062)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","RIVERHEAD","607","40.917006","-72.662142","POINT (-72.662142 40.917006)"
"Community Development Block Grant (CDBG) Contracts","http://data.ny.gov/d/n9bu-8eic","Homes and Community Renewal","Economic Development","County","SENECA","22","42.7810814","-76.8237786","POINT (-76.8237786 42.7810814)"
"Community Health Indicator Reports (CHIRS): Latest Data","http://health.data.ny.gov/d/54ci-sdfi","Health, Department of","Health","County","ONEIDA","349","43.2417474","-75.4358383","POINT (-75.4358383 43.2417474)"
"Citizen Statewide Lake Monitoring Assessment Program (CSLAP) Lakes","http://data.ny.gov/d/b6x3-58ht","Environmental Conservation, Department of","Energy & Environment","County","CAYUGA","6","43.0103267","-76.5743582","POINT (-76.5743582 43.0103267)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","BLEECKER","258","43.119807","-74.3679","POINT (-74.3679 43.119807)"
"Current Descriptive Data of Municipal Wastewater Treatment Plants","http://data.ny.gov/d/g5a2-qa6a","Environmental Conservation, Department of","Energy & Environment","County","CHAUTAUQUA","14","42.302941","-79.4057576","POINT (-79.4057576 42.302941)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","EAST AURORA","1","42.768085","-78.621022","POINT (-78.621022 42.768085)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","NORWOOD","258","44.749075","-74.993548","POINT (-74.993548 44.749075)"
"Chronic Disease Evidence-Based Self-Management Programs (QTAC): Location, Delivery and Capacity Data","http://health.data.ny.gov/d/dhmw-ig8b","Health, Department of","Health","County","ROCKLAND","27","41.1524303","-74.0240911","POINT (-74.0240911 41.1524303)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","CAMDEN","12","43.335864","-75.748164","POINT (-75.748164 43.335864)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","SOLVAY","1","43.062226","-76.216706","POINT (-76.216706 43.062226)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","Municipality","CATO","1","43.165727","-76.536958","POINT (-76.536958 43.165727)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","LANSING","2","42.478169","-76.481989","POINT (-76.481989 42.478169)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","RODMAN","5","43.851166","-75.940631","POINT (-75.940631 43.851166)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","LITTLE FALLS","8","43.043236","-74.859615","POINT (-74.859615 43.043236)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","ROYALTON","4","43.194617","-78.575594","POINT (-78.575594 43.194617)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","WILLSBORO","3","44.363769","-73.392243","POINT (-73.392243 44.363769)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","GREEN ISLAND","1","42.73713","-73.694446","POINT (-73.694446 42.73713)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","GAINESVILLE","606","42.641366","-78.13415","POINT (-78.13415 42.641366)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","MEDINA","43","43.2204","-78.386928","POINT (-78.386928 43.2204)"
"Bird Conservation Areas","http://data.ny.gov/d/9yjx-h3yi","Environmental Conservation, Department of","Recreation","Municipality","ITALY","1","42.610586","-77.292692","POINT (-77.292692 42.610586)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","BRIDGEWATER","2","42.879158","-75.251163","POINT (-75.251163 42.879158)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","Municipality","GENEVA","8","42.867972","-76.985573","POINT (-76.985573 42.867972)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","FLOWER HILL","2","40.807464","-73.681431","POINT (-73.681431 40.807464)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","LINCOLN","2","43.1833","-77.344704","POINT (-77.344704 43.1833)"
"Community Multi-Service Office (CMSO), Intake, and Evening Reporting Center (ERC) Offices","http://data.ny.gov/d/2vv4-9c5e","Children and Family Services, Office of","Human Services","Municipality","UTICA","1","43.102016","-75.230012","POINT (-75.230012 43.102016)"
"Active Construction Projects","http://data.ny.gov/d/ekci-x6aq","Dormitory Authority","Economic Development","County","NEW YORK","22","40.7742747","-73.9698104","POINT (-73.9698104 40.7742747)"
"Case-Specific Beneficial Use Determinations: Beginning 1988","http://data.ny.gov/d/id6x-swrj","Environmental Conservation, Department of","Energy & Environment","Municipality","LAFAYETTE","2","42.897351","-76.083009","POINT (-76.083009 42.897351)"
"Certificate of Need Applications: Beginning 1974","http://health.data.ny.gov/d/h343-jwie","Health, Department of","Health","Municipality","BOONVILLE","1","43.480514","-75.327131","POINT (-75.327131 43.480514)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","HIGHLAND FALLS","934","41.368093","-73.96587","POINT (-73.96587 41.368093)"
"All Payer Patient Safety Indicators (PSI) by Hospital: Calendar Year 2015","http://health.data.ny.gov/d/xmv7-gzdb","Health, Department of","Health","County","LIVINGSTON","13","42.7280752","-77.7754919","POINT (-77.7754919 42.7280752)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","GOSHEN","4257","41.40219","-74.324105","POINT (-74.324105 41.40219)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","WELLSVILLE","2","42.120693","-77.946058","POINT (-77.946058 42.120693)"
"Case-Specific Beneficial Use Determinations: Beginning 1988","http://data.ny.gov/d/id6x-swrj","Environmental Conservation, Department of","Energy & Environment","Municipality","SCIO","4","42.171429","-77.97865","POINT (-77.97865 42.171429)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","County","WARREN","8528","43.5609753","-73.8460059","POINT (-73.8460059 43.5609753)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","CHATEAUGAY","6","43.573898","-75.962502","POINT (-75.962502 43.573898)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","BELLEROSE","9460","40.724758","-73.720018","POINT (-73.720018 40.724758)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","MASTIC BEACH","1","40.76439","-72.846447","POINT (-72.846447 40.76439)"
"Adult Care Facility Quarterly Statistical Information Report: 2013-Present","http://health.data.ny.gov/d/h5s5-hcxg","Health, Department of","Health","County","ESSEX","127","44.1172179","-73.7727091","POINT (-73.7727091 44.1172179)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","ARDSLEY","4","41.008591","-73.841246","POINT (-73.841246 41.008591)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","LAWRENCE","11","40.611103","-73.734602","POINT (-73.734602 40.611103)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","VERONA","1","43.13817","-75.570637","POINT (-75.570637 43.13817)"
"Conservation Partnership Program Grants","http://data.ny.gov/d/pvur-3dya","Environmental Conservation, Department of","Energy & Environment","Municipality","NEW PALTZ","47","41.74753","-74.086891","POINT (-74.086891 41.74753)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","CENTRAL SQUARE","2","43.287265","-76.146635","POINT (-76.146635 43.287265)"
"Creating Healthy Places Intervention Locations","http://health.data.ny.gov/d/jxme-znux","Health, Department of","Health","Municipality","GLENS FALLS","3","43.308932","-73.6434","POINT (-73.6434 43.308932)"
"Child Welfare and Community Services Funded Programs","http://data.ny.gov/d/ahjq-dbec","Children and Family Services, Office of","Human Services","County","ERIE","28","42.7582365","-78.7796596","POINT (-78.7796596 42.7582365)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","EAST AURORA","4217","42.768085","-78.621022","POINT (-78.621022 42.768085)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","PEEKSKILL","3212","41.290357","-73.921894","POINT (-73.921894 41.290357)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","MORRIS","1","42.548682","-75.245229","POINT (-75.245229 42.548682)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","BURKE","5","44.904579","-74.169143","POINT (-74.169143 44.904579)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","CANDOR","1","42.227562","-76.337698","POINT (-76.337698 42.227562)"
"Case-Specific Beneficial Use Determinations: Beginning 1988","http://data.ny.gov/d/id6x-swrj","Environmental Conservation, Department of","Energy & Environment","Municipality","CORNING","7","42.141185","-77.05306","POINT (-77.05306 42.141185)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","LEBANON","4","42.780748","-75.647667","POINT (-75.647667 42.780748)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","WOODRIDGE","516","41.706999","-74.569322","POINT (-74.569322 41.706999)"
"All Payer Potentially Preventable Emergency Visit (PPV) Rates by Patient County (SPARCS): Beginning 2011","http://health.data.ny.gov/d/f8ue-xzy3","Health, Department of","Health","County","OTSEGO","6","42.6337636","-75.0326061","POINT (-75.0326061 42.6337636)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","GOWANDA","645","42.462527","-78.938915","POINT (-78.938915 42.462527)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","BERLIN","12","42.693088","-73.372101","POINT (-73.372101 42.693088)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","County","LIVINGSTON","21","42.7280752","-77.7754919","POINT (-77.7754919 42.7280752)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","NIAGARA FALLS","81","43.094464","-79.056432","POINT (-79.056432 43.094464)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","NORTH HUDSON","5","43.951597","-73.735061","POINT (-73.735061 43.951597)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","SANGERFIELD","1","42.894289","-75.370637","POINT (-75.370637 42.894289)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","GOUVERNEUR","14","44.336822","-75.46305","POINT (-75.46305 44.336822)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","PHILIPSTOWN","20","41.424835","-73.945829","POINT (-73.945829 41.424835)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","WEEDSPORT","6","43.048811","-76.563036","POINT (-76.563036 43.048811)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","County","SCHENECTADY","56","42.8181212","-74.0585726","POINT (-74.0585726 42.8181212)"
"Community Development Block Grant (CDBG) Contracts","http://data.ny.gov/d/n9bu-8eic","Homes and Community Renewal","Economic Development","County","MONTGOMERY","56","42.9022816","-74.4396827","POINT (-74.4396827 42.9022816)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","VERONA","33","43.13817","-75.570637","POINT (-75.570637 43.13817)"
"Creating Healthy Places Intervention Locations","http://health.data.ny.gov/d/jxme-znux","Health, Department of","Health","Municipality","MARCELLUS","2","42.982442","-76.340043","POINT (-76.340043 42.982442)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","FLORENCE","4","43.438475","-75.749714","POINT (-75.749714 43.438475)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","County","QUEENS","345777","40.657494","-73.8387531","POINT (-73.8387531 40.657494)"
"Conservation Partnership Program Grants","http://data.ny.gov/d/pvur-3dya","Environmental Conservation, Department of","Energy & Environment","Municipality","EAST AURORA","24","42.768085","-78.621022","POINT (-78.621022 42.768085)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","STEPHENTOWN","19","42.550456","-73.372534","POINT (-73.372534 42.550456)"
"County Seats","http://data.ny.gov/d/4xc7-bukh","Information Technology Services, Office of","Government & Finance","Municipality","PLATTSBURGH","1","44.699668","-73.451807","POINT (-73.451807 44.699668)"
"County Emergency Management Offices","http://data.ny.gov/d/jwkb-x5v6","Homeland Security and Emergency Services, Division of","Public Safety","Municipality","LOCKPORT","1","43.168861","-78.696849","POINT (-78.696849 43.168861)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","GREENE","1","42.331237","-75.770617","POINT (-75.770617 42.331237)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","County","OSWEGO","351","43.4638857","-76.2086833","POINT (-76.2086833 43.4638857)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","SAVANNAH","688","43.066311","-76.758034","POINT (-76.758034 43.066311)"
"Child Welfare and Community Services Funded Programs","http://data.ny.gov/d/ahjq-dbec","Children and Family Services, Office of","Human Services","Municipality","BATAVIA","8","42.99691","-78.186028","POINT (-78.186028 42.99691)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","Municipality","PORT HENRY","1","44.046967","-73.459591","POINT (-73.459591 44.046967)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","PROSPECT","1","43.307054","-75.146734","POINT (-75.146734 43.307054)"
"All Payer Inpatient Quality Indicators (IQI) by Hospital (SPARCS): Beginning 2009","http://health.data.ny.gov/d/xyfc-qbbr","Health, Department of","Health","County","JEFFERSON","164","43.9988484","-76.0521081","POINT (-76.0521081 43.9988484)"
"Annual Population Estimates for New York State and Counties: Beginning 1970","http://data.ny.gov/d/krt9-ym2k","Labor, Department of","Government & Finance","County","MONTGOMERY","58","42.9022816","-74.4396827","POINT (-74.4396827 42.9022816)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","HAMLIN","36","43.295304","-77.920775","POINT (-77.920775 43.295304)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","HERMON","1","44.467028","-75.230912","POINT (-75.230912 44.467028)"
"Curb Ramps on NYS-Owned Highways","http://data.ny.gov/d/hmbc-hni2","Transportation, Department of","Transportation","County","ULSTER","482","41.8881457","-74.2585695","POINT (-74.2585695 41.8881457)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","SUFFERN","6","41.112401","-74.149803","POINT (-74.149803 41.112401)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","EAST ROCKAWAY","33","40.642077","-73.669477","POINT (-73.669477 40.642077)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","NORTH SALEM","12","41.33549","-73.570194","POINT (-73.570194 41.33549)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","LONG LAKE","12","43.968501","-74.418712","POINT (-74.418712 43.968501)"
"Certified Disadvantaged Business Enterprises (DBEs) in the NYS Unified Certification Program","http://data.ny.gov/d/pfeu-dsx6","Transportation, Department of","Transportation","Municipality","BLOOMFIELD","23","42.899855","-77.426148","POINT (-77.426148 42.899855)"
"Chemical Dependence Treatment Program Admissions: Beginning 2007","http://data.ny.gov/d/ngbt-9rwf","Addiction Services and Supports, Office of","Human Services","County","SCHUYLER","326","42.3938","-76.8751817","POINT (-76.8751817 42.3938)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","County","KINGS","325","40.6343928","-73.9502687","POINT (-73.9502687 40.6343928)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","GREAT VALLEY","2","42.214358","-78.636542","POINT (-78.636542 42.214358)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","KIRKWOOD","2795","42.039653","-75.794738","POINT (-75.794738 42.039653)"
"Conservation Partnership Program Grants","http://data.ny.gov/d/pvur-3dya","Environmental Conservation, Department of","Energy & Environment","Municipality","QUEENSBURY","1","43.377308","-73.613629","POINT (-73.613629 43.377308)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","County","SARATOGA","192","43.1073812","-73.8639046","POINT (-73.8639046 43.1073812)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","NORWOOD","1","44.749075","-74.993548","POINT (-74.993548 44.749075)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","NORTH HILLS","1","40.77906","-73.676081","POINT (-73.676081 40.77906)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","PENN YAN","2","42.660945","-77.053647","POINT (-77.053647 42.660945)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","SARATOGA SPRINGS","620","43.083233","-73.78477","POINT (-73.78477 43.083233)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","HAMBURG","6622","42.723291","-78.839026","POINT (-78.839026 42.723291)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","County","BROOME","70","42.1602172","-75.8196184","POINT (-75.8196184 42.1602172)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","MALONE","6219","44.848892","-74.29167","POINT (-74.29167 44.848892)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","SOUTHAMPTON","5","40.887045","-72.389644","POINT (-72.389644 40.887045)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","STRATFORD","26","43.179382","-74.69306","POINT (-74.69306 43.179382)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","OTISVILLE","2","41.466344","-74.53843","POINT (-74.53843 41.466344)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","MANHEIM","516","43.099525","-74.774137","POINT (-74.774137 43.099525)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","MOHAWK","15","43.011333","-75.004253","POINT (-75.004253 43.011333)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","NYACK","313","41.090984","-73.918239","POINT (-73.918239 41.090984)"
"Citizen Statewide Lake Monitoring Assessment Program (CSLAP) Lakes","http://data.ny.gov/d/b6x3-58ht","Environmental Conservation, Department of","Energy & Environment","Municipality","NEW BERLIN","1","42.62431","-75.3323","POINT (-75.3323 42.62431)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","MILLPORT","1","42.267434","-76.837799","POINT (-76.837799 42.267434)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","SPRINGFIELD","13","42.836116","-74.85344","POINT (-74.85344 42.836116)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","TOMPKINS","7","42.076199","-75.440399","POINT (-75.440399 42.076199)"
"Child Health Plus Program Enrollment by County and Insurer: Beginning 2009","http://health.data.ny.gov/d/nkkt-2c9e","Health, Department of","Health","County","ROCKLAND","852","41.1524303","-74.0240911","POINT (-74.0240911 41.1524303)"
"Certificate of Need Applications: Beginning 1974","http://health.data.ny.gov/d/h343-jwie","Health, Department of","Health","Municipality","DEPEW","2","42.90181","-78.695","POINT (-78.695 42.90181)"
"Boats For Hire Near NYS Canal System","http://data.ny.gov/d/ibtm-q4dj","Canal Corporation","Transportation","Municipality","UNION SPRINGS","1","42.842233","-76.691958","POINT (-76.691958 42.842233)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","WILLIAMSVILLE","21","42.963175","-78.742914","POINT (-78.742914 42.963175)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","CHERRY CREEK","8","42.296322","-79.099108","POINT (-79.099108 42.296322)"
"Certified Disadvantaged Business Enterprises (DBEs) in the NYS Unified Certification Program","http://data.ny.gov/d/pfeu-dsx6","Transportation, Department of","Transportation","Municipality","PULASKI","1","43.566883","-76.12746","POINT (-76.12746 43.566883)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","AVON","98","42.912656","-77.745898","POINT (-77.745898 42.912656)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","County","NEW YORK","38171","40.7742747","-73.9698104","POINT (-73.9698104 40.7742747)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","JASPER","1","42.12254","-77.503328","POINT (-77.503328 42.12254)"
"Certificate of Need Applications: Beginning 1974","http://health.data.ny.gov/d/h343-jwie","Health, Department of","Health","Municipality","WATERLOO","3","42.904651","-76.862848","POINT (-76.862848 42.904651)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","County","CHENANGO","20","42.4935106","-75.6115785","POINT (-75.6115785 42.4935106)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","READING","6","42.419764","-76.938577","POINT (-76.938577 42.419764)"
"All Payer Patient Safety Indicators (PSI) Volume Measures by Hospital: Beginning 2009","http://health.data.ny.gov/d/ge6u-uxxf","Health, Department of","Health","County","ORANGE","4","41.4021351","-74.3055651","POINT (-74.3055651 41.4021351)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","COXSACKIE","1333","42.350856","-73.80355","POINT (-73.80355 42.350856)"
