"unique_case_id","electric_utility","gas_utility","county","region","climate_zone","confirm_multifamily_unit","job_title","electric_metering","organization_s_years_of_property_management","range_of_units_in_building","number_of_separate_buildings","other_nys_properties","number_of_other_nys_properties","other_nys_properties_built_after_january_2012","other_business_present","other_business_professional","other_business_food","other_business_retail","other_business_education","other_business_health","other_business_other","percentage_floor_space_non_residential","number_of_living_units","percentage_occupied_units","number_of_stories_of_average_building","common_area_buildings","number_of_common_area_buildings","common_area_buildings_gym","common_area_buildings_club_house","common_area_buildings_office","common_area_buildings_laundry","common_area_buildings_maintenance","common_area_buildings_storage","common_area_buildings_community","common_area_buildings_boiler","common_area_buildings_garage","common_area_buildings_other","year_built","major_renovations_past_five_years","past_renovations_units","past_renovations_common_area","past_renovations_building","past_renovations_storm_damage","past_renovations_hvac","past_renovations_other","past_renovations_lighting","past_renovations_cosmetic","major_renovations_next_five_years","future_renovations_units","future_renovations_common_area","future_renovations_building","future_renovations_storm_damage","future_renovations_hvac","future_renovations_other","future_renovations_lighting","future_renovations_cosmetic","percentage_studios","percentage_1_bedroom","percentage_2_bedroom","percentage_3_bedroom","natural_gas_service","natural_gas_metering"
"355","ConEd","NA","New York","New York City","4","Programmed skip","Other","Master meter for total building plus sub-meter for individual tenant units","30","5 or more units","1","Yes","300","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","60","95%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1950 to 1959","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","0%","40%","48%","12%","No","Programmed skip"
"87","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","29","5 or more units","1","Yes","9","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","131","100%","12","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1980 to 1989","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","25%","75%","0%","0%","No","Programmed skip"
"18","National Grid","New Wave Energy Corp.","Saratoga","Capital District","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","8","Programming change","20","Yes","12","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","199","100%","3","Yes","3","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1960 to 1969","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Refused","Refused","Refused","Refused","Yes","Individual metered plus separate meters for common area"
"206","National Grid","NA","Erie","Western New York","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","30","5 or more units","97","Yes","6","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","388","98%","2","Yes","1","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","1940 to 1949","Yes","Not mentioned","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","0%","100%","0%","Yes","One master meter, no individual tenant unit meters"
"19","Central Hudson","NA","Orange","Mid-Hudson","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","11","Programming change","75","Yes","1","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","150","95%","2","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1960 to 1969","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","6%","94%","0%","Yes","One master meter, no individual tenant unit meters"
"44","ConEd","NA","King (Brooklyn)","New York City","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","50","5 or more units","67","Yes","324","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1860","95%","4","Yes","1","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","33%","33%","34%","Yes","One master meter, no individual tenant unit meters"
"306","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","All individual metered tenant units, no master meter","30","5 or more units","1","Yes","8","Yes","Yes","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Don’t know","923","98%","40","Yes","5","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","2000 to 2009","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Don’t know","Don’t know","Don’t know","Don’t know","Yes","One master meter, no individual tenant unit meters"
"25","ConEd","Ambit New York","Westchester","Mid-Hudson","4","Programmed skip","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","10","Programming change","1","Yes","20","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","20","100%","5","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Don’t know","Don’t know","Don’t know","Don’t know","No","Programmed skip"
"137","NYSEG","Niagara Mohawk Power Corporation","Erie","Western New York","5","Yes","* District manager / Regional manager","Individual metered plus separate meters for common area","40","5 or more units","60","Yes","60","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","720","93%","3","Yes","4","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","1970 to 1979","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","17%","83%","0%","Yes","One master meter, no individual tenant unit meters"
"26","ConEd","New Wave Energy Corp.","King (Brooklyn)","New York City","4","Yes","Other","Individual metered plus separate meters for common area","28","Programming change","1","No","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","1","87","97%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","17%","40%","43%","Yes","Individual metered plus separate meters for common area"
"34","ConEd","Consolidated Edison Company Of N Y","New York","New York City","4","Yes","Owner of property","Master meter for total building plus sub-meter for individual tenant units","6","5 or more units","1","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","5","100%","5","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","0%","80%","20%","Yes","Individual metered plus separate meters for common area"
"37","NYSEG","NA","Tompkins","Southern Tier","6","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","10","5 or more units","3","Yes","20","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","36","90%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1960 to 1969","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","0%","25%","50%","25%","Yes","One master meter, no individual tenant unit meters"
"69","ConEd","NA","New York","New York City","4","Programmed skip","* Managing agent","All individual metered tenant units, no master meter","30","5 or more units","1","Yes","15","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","12","100%","4","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Don’t know","Don’t know","Don’t know","Yes","Individual metered plus separate meters for common area"
"177","ConEd","NA","Queens","New York City","4","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","30","5 or more units","32","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1024","100%","9","Yes","1","Not mentioned","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1950 to 1959","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","27%","45%","28%","Yes","One master meter, no individual tenant unit meters"
"60","ConEd","Consolidated Edison Company Of N Y","Bronx","New York City","4","Yes","* Managing agent","Master meter for total building plus sub-meter for individual tenant units","30","5 or more units","1","Yes","20","Yes","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","15","25","100%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","2010","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","50%","50%","0%","Yes","Don’t know"
"262","National Grid","NA","Oneida","Mohawk Valley","6","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","41","5 or more units","1","Yes","40","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","81","98%","7","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","100%","0%","0%","Yes","One master meter, no individual tenant unit meters"
"231","National Grid","NA","Oneida","Mohawk Valley","6","Programmed skip","Owner of property","All individual metered tenant units, no master meter","8","5 or more units","2","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","8","100%","1","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1980 to 1989","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","0%","100%","0%","No","Programmed skip"
"80","NYSEG","NA","Erie","Western New York","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","30","5 or more units","27","Yes","Don’t know","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","234","98%","2","Yes","1","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","1980 to 1989","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Don’t know","Don’t know","Don’t know","Yes","Other"
"101","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","2","5 or more units","7","Yes","Don’t know","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1232","99%","13","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1940 to 1949","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","0%","49%","49%","2%","Yes","One master meter, no individual tenant unit meters"
"50","NYSEG","NA","Niagara","Western New York","5","Programmed skip","Owner of property","Individual metered plus separate meters for common area","20","5 or more units","1","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","6","66%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","0%","100%","0%","No","Programmed skip"
"75","ConEd","NA","Westchester","Mid-Hudson","4","Programmed skip","Other","Individual metered plus separate meters for common area","Don’t know","5 or more units","13","Yes","9","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","96","95%","2","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","0%","6%","75%","19%","Yes","One master meter, no individual tenant unit meters"
"83","ConEd","NA","New York","New York City","4","Programmed skip","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","10","5 or more units","2","Yes","200","No","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","5","8","100%","5","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1940 to 1949","Yes","Not mentioned","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","100%","0%","0%","Yes","One master meter, no individual tenant unit meters"
"49","ConEd","NA","King (Brooklyn)","New York City","4","Yes","* President / Vice president","Individual metered plus separate meters for common area","43","5 or more units","3","Yes","4","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","8","100%","4","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","0%","10%","90%","Yes","Individual metered plus separate meters for common area"
"76","ConEd","NA","King (Brooklyn)","New York City","4","Programmed skip","* President / Vice president","Don’t know","20","5 or more units","1","Yes","Don’t know","Don’t know","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","35","100%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Don’t know","Don’t know","Don’t know","Yes","Don’t know"
"77","ConEd","NA","King (Brooklyn)","New York City","4","Yes","* Managing agent","Master meter for total building plus sub-meter for individual tenant units","18","5 or more units","1","Yes","10","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","96","100%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","12%","45%","37%","6%","Yes","Individual metered plus separate meters for common area"
"78","ConEd","NA","New York","New York City","4","Programmed skip","* Managing agent","Individual metered plus separate meters for common area","23","5 or more units","1","Yes","250","No","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","12","40","100%","11","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Don’t know","Don’t know","Don’t know","Don’t know","Yes","One master meter, no individual tenant unit meters"
"82","ConEd","NA","King (Brooklyn)","New York City","4","Programmed skip","Senior property manager","Other","Don’t know","5 or more units","1","Yes","Don’t know","Don’t know","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","50","100%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","100%","0%","0%","Yes","All individual metered tenant units, no master meter"
"85","ConEd","NA","Westchester","Mid-Hudson","4","Programmed skip","Other","Master meter for total building plus sub-meter for individual tenant units","65","5 or more units","2","Yes","1","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","90","100%","9","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1950 to 1959","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","0%","18%","55%","27%","Yes","One master meter, no individual tenant unit meters"
"86","ConEd","NA","Queens","New York City","4","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","50","5 or more units","1","Yes","50","Don’t know","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","1","286","95%","12","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","20%","30%","30%","20%","Yes","One master meter, no individual tenant unit meters"
"93","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","24","5 or more units","1","No","Programmed skip","Programmed skip","Yes","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Don’t know","380","100%","40","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","10%","60%","20%","10%","Yes","One master meter, no individual tenant unit meters"
"119","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","25","5 or more units","1","Yes","200","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","414","100%","19","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1950 to 1959","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Don’t know","Don’t know","Don’t know","Yes","Individual metered plus separate meters for common area"
"88","ConEd","NA","Westchester","Mid-Hudson","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","30","5 or more units","1","Yes","1","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","84","100%","6","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1950 to 1959","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","2%","80%","12%","6%","Yes","One master meter, no individual tenant unit meters"
"92","NYSEG","NA","Chemung","Southern Tier","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","25","5 or more units","1","Yes","19","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","24","100%","2","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","100%","0%","0%","Yes","One master meter, no individual tenant unit meters"
"114","NYSEG","NA","Livingston","Finger Lakes","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","Don’t know","5 or more units","7","Yes","Don’t know","Don’t know","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","56","94%","2","Yes","2","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","1980 to 1989","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","25%","50%","25%","Yes","Individual metered plus separate meters for common area"
"118","ConEd","Consolidated Edison Company Of N Y","Bronx","New York City","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","20","5 or more units","1","Yes","Don’t know","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","80","100%","8","Yes","6","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","2010","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","20%","80%","0%","0%","Yes","Individual metered plus separate meters for common area"
"108","ConEd","Keyspan Energy Delivery (Long Island)","King (Brooklyn)","New York City","4","Yes","Property / Leasing manager / Associate","All individual metered tenant units, no master meter","17","5 or more units","2","Yes","27","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","21","100%","5","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1939 or earlier","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","0%","100%","0%","Yes","Other"
