"vendor","fiscalyear","quarter","paymentamount"
"AMERICAN JAIL PRODUCTS LLC","2020-2021","4","753671.1"
"AMERICAN JAIL PRODUCTS LLC","2020-2021","3","805060.87"
"AMERICAN JAIL PRODUCTS LLC","2019-2020","4","856050.22"
"AMERICAN JAIL PRODUCTS LLC","2019-2020","1","204284.43"
"AMERICAN JAIL PRODUCTS LLC","2018-2019","3","1231735.07"
"AMERICAN JAIL PRODUCTS LLC","2018-2019","2","302337.5"
"AMERICAN JAIL PRODUCTS LLC","2017-2018","4","24196.75"
"AMERICAN JAIL PRODUCTS LLC","2017-2018","3","336238.25"
"AMERICAN JAIL PRODUCTS LLC","2017-2018","1","2359518.21"
"AMERICAN JAIL PRODUCTS LLC","2016-2017","4","280415.66"
"AMERICAN JAIL PRODUCTS LLC","2016-2017","3","2130798.22"
"AMERICAN JAIL PRODUCTS LLC","2016-2017","2","947918.55"
"AMERICAN JAIL PRODUCTS LLC","2016-2017","1","2424567.19"
"AMERICAN JAIL PRODUCTS LLC","2015-2016","4","1087109.92"
"AMERICAN JAIL PRODUCTS LLC","2015-2016","3","1066393.63"
"AMERICAN JAIL PRODUCTS LLC","2015-2016","2","1335376.33"
"AMERICAN JAIL PRODUCTS LLC","2015-2016","1","350668.44"
"AMERICAN JAIL PRODUCTS LLC","2014-2015","4","1322037.00"
"AMERICAN JAIL PRODUCTS LLC","2014-2015","3","2068392.95"
"AMERICAN JAIL PRODUCTS LLC","2014-2015","2","942190.76"
"AMERICAN JAIL PRODUCTS LLC","2014-2015","1","614127.05"
"AMERICAN PAVING & EXCAVATING INC","2015-2016","4","35372.31"
"AMERICAN PAVING & EXCAVATING INC","2015-2016","3","97722.41"
"AMERICAN PAVING & EXCAVATING INC","2015-2016","2","389101.28"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2022-2023","1","528408.86"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2021-2022","4","380045"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2021-2022","3","986951"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2021-2022","2","133820"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2021-2022","1","291888"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2020-2021","4","289065"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2020-2021","3","57873"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2020-2021","2","19063"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2020-2021","1","364010"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2019-2020","4","488032"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2019-2020","3","657009"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2019-2020","2","529552"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2019-2020","1","418007"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2018-2019","4","464976"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2018-2019","3","165508"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2018-2019","2","423373"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2018-2019","1","377898"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2017-2018","4","482932.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2017-2018","3","518698.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2017-2018","2","190756.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2017-2018","1","210502.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2016-2017","4","596614.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2016-2017","3","366170"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2016-2017","2","167900"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2016-2017","1","409344"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2015-2016","4","306703"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2015-2016","3","24033.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2015-2016","2","787557"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2015-2016","1","462289"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2014-2015","4","564800"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2014-2015","3","228042"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2014-2015","2","526206.00"
"AMERICAN PUMP & TANK INSTALLATION CO INC","2014-2015","1","520150.00"
"AMERI RESTORATION INC","2015-2016","4","139764.94"
"AMERI RESTORATION INC","2015-2016","3","42684.97"
"AMERI RESTORATION INC","2015-2016","2","98093.44"
"AMERI RESTORATION INC","2015-2016","1","149915.65"
"AMH MECHANICAL CONTRACTING INCORPORATED","2020-2021","3","13472"
"AMH MECHANICAL CONTRACTING INCORPORATED","2020-2021","2","10431.37"
"AMH MECHANICAL CONTRACTING INCORPORATED","2019-2020","3","31700.32"
"AMH MECHANICAL CONTRACTING INCORPORATED","2019-2020","2","52676.78"
"AMH MECHANICAL CONTRACTING INCORPORATED","2019-2020","1","77486.84"
"AMH MECHANICAL CONTRACTING INCORPORATED","2018-2019","4","30600"
"AMH MECHANICAL CONTRACTING INCORPORATED","2018-2019","3","38449.35"
"AMH MECHANICAL CONTRACTING INCORPORATED","2018-2019","2","145141"
"AMH MECHANICAL CONTRACTING INCORPORATED","2018-2019","1","192004.50"
"AMH MECHANICAL CONTRACTING INCORPORATED","2017-2018","4","18487.00"
"AMH MECHANICAL CONTRACTING INCORPORATED","2017-2018","3","97346.50"
"AMH MECHANICAL CONTRACTING INCORPORATED","2017-2018","2","16758.00"
"AMZ CONSTRUCTION SERVICES INC","2016-2017","3","56491"
"AMZ CONSTRUCTION SERVICES INC","2016-2017","2","47684"
"AMZ CONSTRUCTION SERVICES INC","2016-2017","1","322326.39"
"AMZ CONSTRUCTION SERVICES INC","2015-2016","4","157893.61"
"AN CURTISS CO INC","2022-2023","1","1291336.89"
"AN CURTISS CO INC","2021-2022","4","950182.94"
"ANDREW R MANCINI ASSOC INC","2022-2023","1","35458.51"
"ANDREW R MANCINI ASSOC INC","2018-2019","4","17890"
"ANDREW R MANCINI ASSOC INC","2018-2019","2","121800.61"
"ANDREW R MANCINI ASSOC INC","2018-2019","1","135400.02"
"ANDREW R MANCINI ASSOC INC","2017-2018","4","187200.26"
"ANDREW R MANCINI ASSOC INC","2017-2018","3","606610.59"
"ANDREW R MANCINI ASSOC INC","2017-2018","2","1218621.32"
"ANDREW R MANCINI ASSOC INC","2017-2018","1","287325.02"
"ANDREW R MANCINI ASSOC INC","2016-2017","4","229742.66"
"ANDREW R MANCINI ASSOC INC","2016-2017","3","770420.11"
"ANDREW R MANCINI ASSOC INC","2016-2017","2","490832.42"
"ANDREW R MANCINI ASSOC INC","2016-2017","1","218848.20"
"ANDREW R MANCINI ASSOC INC","2015-2016","4","196830.79"
"ANDREW R MANCINI ASSOC INC","2015-2016","3","63639.00"
"ANDREW R MANCINI ASSOC INC","2015-2016","2","271216.00"
"ANDREW R MANCINI ASSOC INC","2015-2016","1","26837"
"ANDREW R MANCINI ASSOC INC","2014-2015","4","56744"
"ANDRON CONSTRUCTION CORP","2021-2022","4","902649.15"
"ANDRON CONSTRUCTION CORP","2021-2022","2","332130.19"
"ANDRON CONSTRUCTION CORP","2021-2022","1","2233522.17"
"ANDRON CONSTRUCTION CORP","2020-2021","4","6161945.49"
"ANDRON CONSTRUCTION CORP","2020-2021","3","24090.25"
"ANDRON CONSTRUCTION CORP","2020-2021","2","25166.45"
"ANDRON CONSTRUCTION CORP","2020-2021","1","633726.58"
"ANDRON CONSTRUCTION CORP","2019-2020","4","501298.48"
"ANDRON CONSTRUCTION CORP","2019-2020","3","874116.18"
"ANDRON CONSTRUCTION CORP","2019-2020","2","665589.03"
"ANDRON CONSTRUCTION CORP","2019-2020","1","1113919.33"
"ANDRON CONSTRUCTION CORP","2018-2019","4","1188892.82"
"ANDRON CONSTRUCTION CORP","2018-2019","3","1112099.73"
"ANDRON CONSTRUCTION CORP","2018-2019","2","495748.76"
"ANDRON CONSTRUCTION CORP","2018-2019","1","592267.48"
"ANDRON CONSTRUCTION CORP","2017-2018","4","550774.94"
"ANDRON CONSTRUCTION CORP","2017-2018","3","1281231.63"
"ANDRON CONSTRUCTION CORP","2017-2018","2","328054.35"
"ANDRON CONSTRUCTION CORP","2017-2018","1","559406.22"
"ANDRON CONSTRUCTION CORP","2016-2017","4","733827.64"
"ANDRON CONSTRUCTION CORP","2016-2017","3","1462367.30"
"ANDRON CONSTRUCTION CORP","2016-2017","2","911050.0"
"ANDRON CONSTRUCTION CORP","2016-2017","1","1087484"
"ANJAC ENTERPRISES INC","2020-2021","3","277849.23"
"ANJAC ENTERPRISES INC","2020-2021","2","125813.34"
"ANJAC ENTERPRISES INC","2020-2021","1","62831.76"
"ANJAC ENTERPRISES INC","2019-2020","4","315654.47"
"ANJAC ENTERPRISES INC","2019-2020","3","298903.25"
"ANJAC ENTERPRISES INC","2019-2020","2","351103.21"
"ANJAC ENTERPRISES INC","2019-2020","1","1038636.11"
"ANJAC ENTERPRISES INC","2018-2019","4","519764.20"
"ANJAC ENTERPRISES INC","2018-2019","3","1184654.89"
"ANJAC ENTERPRISES INC","2018-2019","2","138156.4"
"ANJAC ENTERPRISES INC","2018-2019","1","84773.25"
"ANJAC ENTERPRISES INC","2017-2018","4","28680.94"
"ANJAC ENTERPRISES INC","2017-2018","1","186928.93"
"ANJAC ENTERPRISES INC","2016-2017","1","35463.4"
"ANJAC ENTERPRISES INC","2015-2016","4","30270.51"
"ANJAC ENTERPRISES INC","2015-2016","2","101827.65"
"ANJAC ENTERPRISES INC","2014-2015","4","43903.68"
"ANJAC ENTERPRISES INC","2014-2015","3","147689.09"
"ANJAC ENTERPRISES INC","2014-2015","2","135600.62"
"ANR CONSTRUCTION & MGMT CORP","2019-2020","1","27190"
"ANR CONSTRUCTION & MGMT CORP","2018-2019","4","48041"
"ANR CONSTRUCTION & MGMT CORP","2018-2019","3","17170"
"ANR CONSTRUCTION & MGMT CORP","2018-2019","2","99745"
"ANR CONSTRUCTION & MGMT CORP","2017-2018","3","99147.00"
"ANR CONSTRUCTION & MGMT CORP","2017-2018","1","27065.00"
"ANR CONSTRUCTION & MGMT CORP","2016-2017","4","175711.00"
"ANR CONSTRUCTION & MGMT CORP","2016-2017","3","104658"
"ANR CONSTRUCTION & MGMT CORP","2016-2017","2","190730"
"ANR CONSTRUCTION & MGMT CORP","2016-2017","1","127606"
"ANR CONSTRUCTION & MGMT CORP","2015-2016","4","237330"
"ANVIL FENCE & SUPPLY CO INC","2017-2018","1","21179.00"
"ANVIL FENCE & SUPPLY CO INC","2016-2017","4","150205.00"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2016-2017","4","56666.00"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2015-2016","4","68759"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2015-2016","2","8849"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2015-2016","1","40407"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2014-2015","4","62632"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2014-2015","2","33031.00"
"AON FIRE PROTECTION ENGINEERING OFILLINOIS PC","2014-2015","1","54963.00"
"AOW ASSOCIATES INC","2017-2018","2","412759.28"
"AOW ASSOCIATES INC","2017-2018","1","143231.02"
"AOW ASSOCIATES INC","2016-2017","4","872934.03"
"AOW ASSOCIATES INC","2016-2017","3","1635132.89"
"AOW ASSOCIATES INC","2016-2017","2","784992.78"
"AOW ASSOCIATES INC","2016-2017","1","338589.79"
"AOW ASSOCIATES INC","2015-2016","4","650051.41"
"AOW ASSOCIATES INC","2015-2016","3","483707.80"
"AOW ASSOCIATES INC","2015-2016","2","272426.00"
"A PETER LUGER CONSTRUCTION INC","2020-2021","3","755546.42"
"A PETER LUGER CONSTRUCTION INC","2020-2021","1","160557.84"
"A PETER LUGER CONSTRUCTION INC","2019-2020","4","144197.41"
"APEX DEVELOPMENT INC","2022-2023","1","420856.65"
"APEX DEVELOPMENT INC","2021-2022","4","416561.33"
"APEX DEVELOPMENT INC","2021-2022","3","407431.99"
"APEX DEVELOPMENT INC","2021-2022","2","1026048.49"
"APEX DEVELOPMENT INC","2021-2022","1","3492360.72"
"APEX DEVELOPMENT INC","2020-2021","4","3963877.50"
"APEX DEVELOPMENT INC","2020-2021","3","1512016.71"
"APEX DEVELOPMENT INC","2020-2021","2","1016568.04"
"APEX DEVELOPMENT INC","2020-2021","1","1254598.00"
"APEX DEVELOPMENT INC","2019-2020","4","1239234.74"
"APEX DEVELOPMENT INC","2019-2020","3","762943.46"
"APEX DEVELOPMENT INC","2019-2020","2","761876.39"
"APEX DEVELOPMENT INC","2019-2020","1","684745.22"
"APEX DEVELOPMENT INC","2018-2019","4","197770.52"
"APEX DEVELOPMENT INC","2018-2019","3","597360.4"
"APEX DEVELOPMENT INC","2018-2019","2","127866.48"
"APEX DEVELOPMENT INC","2018-2019","1","240200.65"
"APEX DEVELOPMENT INC","2017-2018","4","291478.23"
"APOLLO DISMANTLING SERVICES LLC","2021-2022","2","71355.3"
"APOLLO DISMANTLING SERVICES LLC","2020-2021","4","726170.88"
"APOLLO DISMANTLING SERVICES LLC","2020-2021","3","200553.74"
"APOLLO DISMANTLING SERVICES LLC","2018-2019","1","82483.35"
"APOLLO DISMANTLING SERVICES LLC","2017-2018","4","114633.65"
"APOLLO DISMANTLING SERVICES LLC","2017-2018","3","16109.00"
"APOLLO DISMANTLING SERVICES LLC","2017-2018","1","281349.31"
"APOLLO DISMANTLING SERVICES LLC","2016-2017","4","682518.61"
"APOLLO DISMANTLING SERVICES LLC","2016-2017","3","668734.68"
"APOLLO DISMANTLING SERVICES LLC","2016-2017","2","616248.85"
"APOLLO DISMANTLING SERVICES LLC","2016-2017","1","363440.55"
"APS CONTRACTORS INC","2020-2021","3","77532"
"APS CONTRACTORS INC","2020-2021","2","55044"
"APS CONTRACTORS INC","2019-2020","4","1225040.82"
"APS CONTRACTORS INC","2019-2020","3","562751.31"
"APS CONTRACTORS INC","2019-2020","2","269477.85"
"APS CONTRACTORS INC","2019-2020","1","1260400.15"
"APS CONTRACTORS INC","2018-2019","4","792779.20"
"APS CONTRACTORS INC","2018-2019","3","714630.75"
"APS CONTRACTORS INC","2018-2019","2","436586.45"
"APS CONTRACTORS INC","2018-2019","1","275254.66"
"APS CONTRACTORS INC","2017-2018","4","895666.00"
"APS CONTRACTORS INC","2017-2018","3","512495.55"
"APS CONTRACTORS INC","2017-2018","2","986437.25"
"APS CONTRACTORS INC","2016-2017","4","873244.75"
"APS CONTRACTORS INC","2016-2017","3","473301.87"
"APS CONTRACTORS INC","2014-2015","3","910302.17"
"APS CONTRACTORS INC","2014-2015","2","351044.00"
"APS CONTRACTORS INC","2014-2015","1","634856.50"
"APTIM ENGINEERING NEW YORK PC","2017-2018","3","58694.00"
"ARA PLUMBING CORP","2018-2019","1","35776.18"
"ARA PLUMBING CORP","2017-2018","4","29298.30"
"ARA PLUMBING CORP","2017-2018","3","117094.05"
"ARA PLUMBING CORP","2017-2018","2","131454.19"
"ARA PLUMBING CORP","2017-2018","1","44182.60"
"ARA PLUMBING CORP","2016-2017","4","43067.76"
"ARA PLUMBING CORP","2016-2017","3","125727.24"
"ARA PLUMBING CORP","2016-2017","2","27437.3"
"ARA PLUMBING CORP","2016-2017","1","18506.68"
"ARA PLUMBING CORP","2015-2016","4","24847.79"
"ARA PLUMBING CORP","2015-2016","3","40949.70"
"ARA PLUMBING CORP","2015-2016","2","43023.94"
"ARA PLUMBING CORP","2015-2016","1","39619.38"
"ARA PLUMBING CORP","2014-2015","4","21108.11"
"ARA PLUMBING CORP","2014-2015","3","29411.57"
"ARA PLUMBING CORP","2014-2015","2","55295.60"
"ARA PLUMBING CORP","2014-2015","1","26356.51"
"ARBEN GROUP LLC","2019-2020","3","34703"
"ARBEN GROUP LLC","2019-2020","1","95204.07"
"ARBEN GROUP LLC","2018-2019","1","143671.86"
"ARBEN GROUP LLC","2017-2018","4","213616.62"
"ARBEN GROUP LLC","2017-2018","3","108893.27"
"ARBEN GROUP LLC","2017-2018","2","342448.40"
"ARBEN GROUP LLC","2017-2018","1","334375.77"
"ARBEN GROUP LLC","2016-2017","4","577309.11"
"ARBEN GROUP LLC","2016-2017","3","1139913.97"
"ARBEN GROUP LLC","2016-2017","2","533276.47"
"ARBEN GROUP LLC","2016-2017","1","120270"
"ARBEN GROUP LLC","2015-2016","4","609829.22"
"ARCADIS OF NEW YORK INC","2018-2019","3","4095"
"ARCADIS OF NEW YORK INC","2018-2019","2","7839"
"ARCADIS OF NEW YORK INC","2018-2019","1","17365"
"ARCADIS OF NEW YORK INC","2017-2018","3","3284.00"
"ARCADIS OF NEW YORK INC","2017-2018","1","16931.00"
"ARCADIS OF NEW YORK INC","2016-2017","4","8946.00"
"ARCADIS OF NEW YORK INC","2016-2017","3","8665"
"ARCADIS OF NEW YORK INC","2015-2016","4","20602"
"ARCHITECTURAL RESOURCES PC","2022-2023","1","336586"
"ARCHITECTURAL RESOURCES PC","2021-2022","4","487721"
"ARCHITECTURAL RESOURCES PC","2021-2022","3","355067"
"ARCHITECTURAL RESOURCES PC","2021-2022","2","256688"
"ARCHITECTURAL RESOURCES PC","2021-2022","1","1084701"
"ARCHITECTURAL RESOURCES PC","2020-2021","4","1099590"
"ARCHITECTURAL RESOURCES PC","2020-2021","3","68484"
"ARCHITECTURAL RESOURCES PC","2020-2021","2","131031"
"ARCHITECTURAL RESOURCES PC","2020-2021","1","18952"
"ARCHITECTURAL RESOURCES PC","2019-2020","4","45103"
"ARCHITECTURAL RESOURCES PC","2019-2020","3","86166"
"ARCHITECTURAL RESOURCES PC","2019-2020","2","195413"
"ARCHITECTURAL RESOURCES PC","2019-2020","1","212485"
"ARCHITECTURAL RESOURCES PC","2018-2019","4","68500"
"ARCHITECTURAL RESOURCES PC","2018-2019","3","166716"
"ARCHITECTURAL RESOURCES PC","2018-2019","2","281053"
"ARCHITECTURAL RESOURCES PC","2018-2019","1","153260"
"ARCHITECTURAL RESOURCES PC","2017-2018","4","128933.00"
"ARCHITECTURAL RESOURCES PC","2017-2018","3","150398.00"
"ARCHITECTURAL RESOURCES PC","2017-2018","2","137428.00"
"ARCHITECTURAL RESOURCES PC","2017-2018","1","46284.00"
"ARCHITECTURAL RESOURCES PC","2016-2017","4","34982.00"
"ARCHITECTURAL RESOURCES PC","2016-2017","3","167962"
"ARCHITECTURAL RESOURCES PC","2016-2017","2","28096"
"ARCHITECTURAL RESOURCES PC","2016-2017","1","13507"
"ARCHITECTURAL RESOURCES PC","2015-2016","4","102110"
"ARCHITECTURAL RESOURCES PC","2015-2016","3","107572.00"
"ARCHITECTURAL RESOURCES PC","2015-2016","2","47017"
"ARCHITECTURAL RESOURCES PC","2015-2016","1","81373"
"ARCHITECTURAL RESOURCES PC","2014-2015","4","301941"
"ARCHITECTURAL RESOURCES PC","2014-2015","3","23861"
"ARCHITECTURAL RESOURCES PC","2014-2015","2","86751.00"
"ARCHITECTURAL RESOURCES PC","2014-2015","1","86638.00"
"ARCON CONSTRUCTION & MANAGEMENT SERVICES INC","2020-2021","4","5683.95"
"ARCON CONSTRUCTION & MANAGEMENT SERVICES INC","2020-2021","2","29405.35"
"ARCON ELECTRIC LLC","2018-2019","4","5158.49"
"ARCON ELECTRIC LLC","2018-2019","2","16520.11"
"ARCON ELECTRIC LLC","2018-2019","1","40132.21"
"ARCON ELECTRIC LLC","2017-2018","4","34924.59"
"ARCON ELECTRIC LLC","2017-2018","3","6434.60"
"ARISTA CONTRACTING INC","2022-2023","1","127185.05"
"ARISTA CONTRACTING INC","2021-2022","2","479588.05"
"ARISTA CONTRACTING INC","2021-2022","1","1280871.9"
"ARISTA CONTRACTING INC","2020-2021","3","1140911.33"
"ARISTA CONTRACTING INC","2020-2021","2","204585.06"
"ARISTA CONTRACTING INC","2020-2021","1","154609.2"
"ARISTA CONTRACTING INC","2019-2020","4","44786.56"
"ARISTA CONTRACTING INC","2019-2020","3","385290.55"
"ARISTA CONTRACTING INC","2019-2020","2","194113.5"
"ARISTA CONTRACTING INC","2019-2020","1","543951.38"
"ARISTA CONTRACTING INC","2018-2019","4","137949.12"
"AROLD CONSTRUCTION CO INC","2022-2023","1","599650.92"
"AROLD CONSTRUCTION CO INC","2021-2022","4","827121.08"
"AROLD CONSTRUCTION CO INC","2021-2022","3","986400.82"
"AROLD CONSTRUCTION CO INC","2021-2022","2","70593.74"
"AROLD CONSTRUCTION CO INC","2021-2022","1","876643.65"
"AROLD CONSTRUCTION CO INC","2020-2021","4","2300702.4"
"AROLD CONSTRUCTION CO INC","2020-2021","3","692746.81"
"AROLD CONSTRUCTION CO INC","2020-2021","2","300360.43"
"AROLD CONSTRUCTION CO INC","2020-2021","1","181689.02"
"AROLD CONSTRUCTION CO INC","2019-2020","4","862076.67"
"AROLD CONSTRUCTION CO INC","2019-2020","3","1486385.37"
"AROLD CONSTRUCTION CO INC","2019-2020","2","1330809.31"
"AROLD CONSTRUCTION CO INC","2019-2020","1","1064875.6"
"AROLD CONSTRUCTION CO INC","2018-2019","3","2488212.14"
"AROLD CONSTRUCTION CO INC","2018-2019","2","2262604.38"
"AROLD CONSTRUCTION CO INC","2018-2019","1","1119546.03"
"AROLD CONSTRUCTION CO INC","2017-2018","4","1769162.17"
"AROLD CONSTRUCTION CO INC","2017-2018","3","472803.60"
"AROLD CONSTRUCTION CO INC","2017-2018","2","1570662.25"
"AROLD CONSTRUCTION CO INC","2017-2018","1","1534190.92"
"AROLD CONSTRUCTION CO INC","2016-2017","4","710350.30"
"AROLD CONSTRUCTION CO INC","2016-2017","3","1964191.50"
"AROLD CONSTRUCTION CO INC","2016-2017","2","1556359.84"
"AROLD CONSTRUCTION CO INC","2016-2017","1","2737201.67"
"AROLD CONSTRUCTION CO INC","2015-2016","4","906677.75"
"AROLD CONSTRUCTION CO INC","2015-2016","3","267725.08"
"AROLD CONSTRUCTION CO INC","2015-2016","2","1412171.16"
"AROLD CONSTRUCTION CO INC","2015-2016","1","254425.75"
"AROLD CONSTRUCTION CO INC","2014-2015","4","547688.5"
"AROLD CONSTRUCTION CO INC","2014-2015","3","428109.00"
"AROLD CONSTRUCTION CO INC","2014-2015","2","345219.05"
"AROLD CONSTRUCTION CO INC","2014-2015","1","175573.13"
"ARROW SHEET METAL WORKS INC","2016-2017","4","9643.00"
"ARROW SHEET METAL WORKS INC","2016-2017","3","176487.26"
"ARROW SHEET METAL WORKS INC","2016-2017","2","440766.11"
"ARROW SHEET METAL WORKS INC","2016-2017","1","204868.13"
"ARROW SHEET METAL WORKS INC","2015-2016","3","33012.50"
"ARROW SHEET METAL WORKS INC","2015-2016","2","19338"
"ARROW SHEET METAL WORKS INC","2015-2016","1","30385.06"
"ARROW SHEET METAL WORKS INC","2014-2015","4","22886.73"
"ARROW SHEET METAL WORKS INC","2014-2015","3","286660.73"
"ARROW SHEET METAL WORKS INC","2014-2015","2","180454.04"
"ARROW SHEET METAL WORKS INC","2014-2015","1","15690.20"
"ASHLEY MCGRAW ARCHITECTS DPC","2022-2023","1","91018"
"ASHLEY MCGRAW ARCHITECTS DPC","2021-2022","4","23890"
"ASHLEY MCGRAW ARCHITECTS DPC","2021-2022","3","8975"
"ASHLEY MCGRAW ARCHITECTS DPC","2021-2022","2","8262"
"ASHLEY MCGRAW ARCHITECTS DPC","2021-2022","1","214185"
"ASHLEY MCGRAW ARCHITECTS DPC","2020-2021","4","272238"
"ASHLEY MCGRAW ARCHITECTS DPC","2020-2021","3","96170"
"ASHLEY MCGRAW ARCHITECTS DPC","2020-2021","2","134563"
"ASHLEY MCGRAW ARCHITECTS DPC","2020-2021","1","61249"
"ASHLEY MCGRAW ARCHITECTS DPC","2019-2020","4","115494"
"ASHLEY MCGRAW ARCHITECTS DPC","2019-2020","3","217233"
"ASHLEY MCGRAW ARCHITECTS DPC","2019-2020","2","438181"
"ASHLEY MCGRAW ARCHITECTS DPC","2019-2020","1","115337"
"ASHLEY MCGRAW ARCHITECTS DPC","2018-2019","4","120116"
"ASHLEY MCGRAW ARCHITECTS DPC","2018-2019","3","183746"
"ASHLEY MCGRAW ARCHITECTS DPC","2018-2019","2","49158"
"ASHLEY MCGRAW ARCHITECTS DPC","2018-2019","1","76266"
"ASHLEY MCGRAW ARCHITECTS DPC","2017-2018","4","15126.00"
"ASHLEY MCGRAW ARCHITECTS DPC","2017-2018","3","53832.00"
"ASHLEY MCGRAW ARCHITECTS DPC","2017-2018","2","53927.00"
"ASHLEY MCGRAW ARCHITECTS DPC","2017-2018","1","6240.00"
"ASPLUNDH TREE EXPERT CO","2015-2016","2","450003"
"ASPLUNDH TREE EXPERT CO","2015-2016","1","15850"
"ASPLUNDH TREE EXPERT CO","2014-2015","4","289034"
"ASPLUNDH TREE EXPERT CO","2014-2015","3","115681"
"ASPLUNDH TREE EXPERT CO","2014-2015","2","235055.00"
"ASPLUNDH TREE EXPERT CO","2014-2015","1","2198957.00"
"ASSOCIATED FIRE PROTECTION CORP","2014-2015","3","3738.8"
"ASTIVIDA CONSTRUCTION INC","2014-2015","3","6720"
"ASTIVIDA CONSTRUCTION INC","2014-2015","1","5053.55"
"ATANE ENGINEERS ARCHITECTS AND LANDSURVEYORS DPC","2018-2019","4","84000"
"ATCO CONTRACTING GROUP INC","2021-2022","2","69420"
"ATCO CONTRACTING GROUP INC","2017-2018","1","62764.00"
"A-TECH CONCRETE COMPANY","2015-2016","3","65350.01"
"A-TECH CONCRETE COMPANY","2015-2016","2","353252.46"
"A-TECH CONCRETE COMPANY","2015-2016","1","143027.53"
"A-TECH CONCRETE COMPANY","2014-2015","4","8170"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2021-2022","2","64295.26"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2021-2022","1","245883"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2019-2020","4","367239"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2019-2020","3","917211"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2019-2020","2","1556435"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2019-2020","1","1070274"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2018-2019","4","1632751"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2018-2019","3","67408"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2018-2019","2","431233"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2018-2019","1","1432798"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2017-2018","4","3055.00"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2017-2018","2","118567.00"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2016-2017","4","4550.00"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2016-2017","3","633304"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2016-2017","2","273644"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2016-2017","1","272903"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2014-2015","3","54452"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2014-2015","2","96285.00"
"ATLANTIC CONTRACTING & SPECIALTIES LLC","2014-2015","1","65115.00"
"ATLANTIC ELECTRIC INC","2021-2022","4","40502.3"
"ATLANTIC ELECTRIC INC","2020-2021","2","7100.2"
"ATLANTIC ELECTRIC INC","2019-2020","4","79404.86"
"ATLANTIC ELECTRIC INC","2019-2020","3","79767.75"
"ATLANTIC ELECTRIC INC","2019-2020","2","40694.20"
"ATLANTIC ELECTRIC INC","2019-2020","1","65992.65"
"ATLANTIC ELECTRIC INC","2018-2019","4","18674.62"
