"facility_name","location_address","location_address2","city","state","zip_code","county","region","phone_number","owner_name","owner_type","activity_desc","activity_number","active","east_coordinate","north_coordinate","accuracy_code","waste_types","authorization_number","authorization_issue_date","expiration_date","georeference"
"Northrup Septic Service","4861 Route 80 West",,"Tully","NY","13159","Onondaga","7","3156965691","Dewey Northrup","Private","Storage - septage - registration","[34A50045]","Yes","403775","4742307","4.1 - Address Matching","Septage","34A50045","2018-05-15T00:00:00.000","2023-05-15T00:00:00.000",
"Paragon Recycling & Transfer Corp","35 Dale Steet",,"West Babylon","NY","11704","Suffolk","1","6312491639","Paragon Recycling & Transfer Corp","Private","C&D processing - permit","[52T46]","Yes","635999","4510103","4.3 - Utilization of Digital Orthophoto Quads","Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Roofing Shingles;Wood (Unadulterated Pallets);Asphalt;Brick;Rock;Concrete;Paper / Cardboard;Plastics","1-4720-00581/00002","2016-12-16T00:00:00.000","2021-12-15T00:00:00.000",
"City of Rome Department of Public Works","132 Race Street",,"Rome (C)","NY","13440","Oneida","6","3153397774","City of Rome Department of Public Works","Municipal","RHRF - 5 tpd or less - registration","[33R10012]","Yes","463340","4783650","1 - No accuracy stated","Wood (Brush/ Branches/ Trees/ Stumps)","33R10012","2019-09-18T00:00:00.000","2024-09-17T00:00:00.000","132 Race Street
Rome (C), NY 13440
(43.202661, -75.449189)"
"S. St. George Enterprises; Inc.","3624 Webster Road",,"Fredonia","NY","14063","Chautauqua","9","7166722488","St. George Enterprises; Inc.","Private","Composting - yard trimmings - registration","[07P10060]","Yes","146452","4705925","4.2 - Utilization of GIS and existing spatial data","Yard Waste;Grass Clippings","07P10060","2021-09-07T00:00:00.000","2026-09-07T00:00:00.000","3624 Webster Road
Fredonia, NY 14063
(42.421724, -79.30487)"
"Hurds Farm Compost","205 Hurds Road",,"Clintondale","NY","12515","Ulster","3","8456566070","Hurds Orcahrds LLC",,"Composting - source separated organic waste - registration","[56C03]","Yes","578486","4617059",,,"56C03",,,"205 Hurds Road
Clintondale, NY 12515
(41.705997, -74.066751)"
"Providence Transfer Station","375 Centerline Road",,"Middle Grove","NY","12850","Saratoga","5","5188826541","Town of Providence","Municipal","Transfer facility - registration","[46T10019]","Yes","575876","4772406",,"MSW (Residential/Institutional & Commercial);Yard Waste","46T10019","2019-10-16T00:00:00.000","2024-10-15T00:00:00.000","375 Centerline Road
Middle Grove, NY 12850
(43.091222, -74.08054)"
"South Bristol Rural Transfer (T)","6098 Middlebrook Road",,"South Bristol","NY","14512","Ontario","8","5853746341","Town of South Bristol","Municipal","Transfer facility - registration","[35T10019]","Yes","303497","4782880","4.1 - Address Matching","MSW (Residential/Institutional & Commercial);Construction & Demolition Debris","35T10019","2020-10-29T00:00:00.000","2025-10-28T00:00:00.000","6098 Middlebrook Road
South Bristol, NY 14512
(42.723322, -77.399832)"
"Douglas Tyler & Son Used Auto Truck Parts","66 Tylers Lane",,"Cottekill","NY","12419","Ulster","3","8456877396","Douglas Tyler","Private","Vehicle Dismantling Facility","[56J05]","Yes","574874","4635835",,,,,,"66 Tylers Lane
Cottekill, NY 12419
(41.872221, -74.096641)"
"Tamarack Compost","5898 State Route 40",,"Argyle","NY","12809","Washington","5","5188121940","Daniel Sill",,"Composting - SSO - registration","[58P20016]","Yes","445795","1848134",,"Food Scraps","58P20016","2022-03-09T00:00:00.000","2027-03-08T00:00:00.000","5898 State Route 40
Argyle, NY 12809
(43.295071, -73.453597)"
"Jos. M. Troffa Materials Corp.","70 Comsewogue Road","Suite 9","East Setauket","NY","11733","Suffolk","1","6319284665","Joseph M. Troffa","Private","CDDHRF - concrete rock brick - registration","[52C10365]","Yes","661279","4533001","4.3 - Utilization of Digital Orthophoto Quads","Rock;Brick;Concrete;Construction & Demolition Debris","365","2021-11-04T00:00:00.000","2026-11-04T00:00:00.000","70 Comsewogue Road
East Setauket, NY 11733
(40.933497, -73.082763)"
"Nassau Suffolk Materials Inc.","255 North Fehr Way",,"Bayshore","NY","11706","Suffolk","1","6314621632","George Condos","Private","CDDHRF - uncontaminated soil sand gravel rock - registration","[52C60313]","Yes","644896","4514165","4.3 - Utilization of Digital Orthophoto Quads","Soil (Clean);Sand;Gravel","52-0313","2020-05-18T00:00:00.000","2025-05-17T00:00:00.000","255 North Fehr Way
Bayshore, NY 11706
(40.765643, -73.283671)"
"Rochester Recycling LLC","851 West Avenue","Building 17","Rochester","NY","14611","Monroe","8","5852548157","Mark Schartau","Private","RHRF - greater than 5 tpd - registration","[28R20005]","Yes","283500","4780600","4.2 - Utilization of GIS and existing spatial data","Plastics;Office Paper;Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated Pallets);Paper / Cardboard","28R20005","2019-01-18T00:00:00.000","2024-01-17T00:00:00.000","851 West Avenue
Rochester, NY 14611
(43.149655, -77.661817)"
"Syracuse Fiber Recycling; LLC","1416 Willis Avenue",,"Syracuse","NY","13211","Onondaga","7","3154874346",,,"Other","[34Z01]","Yes","402334","4768521","1 - No accuracy stated","Papermill Sludge","7-3115-00043/02001","2013-05-16T00:00:00.000","2023-05-15T00:00:00.000","1416 Willis Avenue
Syracuse, NY 13211
(43.061728, -76.198826)"
"Parishville LCD","P.O. Box 155",,"Parishville","NY","13672","St. Lawrence","6",,"Town of Parishville","Municipal","Landfill - land clearing debris","[45D02]","Yes","514769","4941718","4.1 - Address Matching",,"45D02","2007-01-12T00:00:00.000",,
"Wayland TS","2078 Dieter Road",,"Wayland","NY","14572","Steuben","8","6076642460","Steuben County","County","RHRF - 5 tpd or less - registration","[51R10005]","Yes","285068","4714524","1 - No accuracy stated","Commingled Containers;Commingled Paper;Container Glass;Used Oil;Electronics","51R10005","2021-04-02T00:00:00.000","2026-04-02T00:00:00.000","2078 Dieter Road
Wayland, NY 14572
(42.553577, -77.617682)"
"Chautauqua Landfill","3889 Towerville Road",,"Ellery","NY","14701-9653","Chautauqua","9","7169854785","Chautauqua County","County","Transfer station - permit","[07R22]","Yes","143958","4681301","4.2 - Utilization of GIS and existing spatial data","Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Plastics;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;White Goods","9-0636-00006/00013","2015-10-07T00:00:00.000","2025-10-06T00:00:00.000","3889 Towerville Road
Ellery, NY 14701-9653
(42.201451, -79.315205)"
"JC Fibers Inc","1779 Mt Read Blvd",,"Rochester","NY","14615","Monroe","8","5853427210","Frank Colubriale","Private","Transfer facility - permit","[28TP0026]","Yes","283630","4785070","1 - No accuracy stated","Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream","8-2699-00117/00001","2022-01-13T00:00:00.000","2032-01-12T00:00:00.000","1779 Mt Read Blvd
Rochester, NY 14615
(43.187516, -77.659593)"
"ESMI of New York","304 Towpath Road",,"Fort Edward","NY","12828","Washington","5","5187475500","ESMI of New York LLC","Private","Other","[58Z01]","Yes","615717","4796220","4.3 - Utilization of Digital Orthophoto Quads",,"5-5330-00038/00019","2015-07-22T00:00:00.000","2025-07-31T00:00:00.000",
"Kloiber Auto Recycling; Inc","10353 Darien Road",,"Holland","NY","14080","Erie","9","7166554012","David Kloiber","Private","Scrap metal processor - registration","[15V30038]","Yes","204307","4731808","1 - No accuracy stated","Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous","15V30038","2019-02-15T00:00:00.000","2024-02-15T00:00:00.000","10353 Darien Road
Holland, NY 14080
(42.684183, -78.609081)"
"TGS Organic Reclamation","5730 State Route 434",,"Apalachin","NY","13732","Tioga","7","6077606545","Robert Taylor",,"Composting - SSO - registration","[54P20012]","Yes","403254","4659988","4.1 - Address Matching","Yard Waste;Food Scraps","54P20012","2018-05-15T00:00:00.000","2023-05-15T00:00:00.000","5730 State Route 434
Apalachin, NY 13732
(42.084978, -76.164793)"
"USDHS - PIADC Bldg 101 Animal Waste Crematory","Building 101","Plum Island","Greenport","NY","11944","Suffolk","1","6313233007",,,"Regulated medical waste - onsite treatment","[52H18]","Yes","734321","4562447","4.2 - Utilization of GIS and existing spatial data","Infectious Substances;Animal Waste","1-4738-00028/00032","2017-10-30T00:00:00.000","2022-10-29T00:00:00.000",
"Royal Waste Services; Inc.","891 East 135th street",,"Bronx","NY","10454","Bronx","2","7189930097","Royal Waste Service; Inc.","Private","RHRF - greater than 5 tpd - registration","[03R20012]","Yes","591969","4517243","4 - GIS Assisted","Newspaper;Commingled Paper","03R20012","2020-12-31T00:00:00.000","2025-12-31T00:00:00.000","891 East 135th street
Bronx, NY 10454
(40.800857, -73.909916)"
"John Francesco Scrap Inc","267 Hooker Place",,"Staten Island","NY","10303","Richmond","2","7187279674","John Francesco Scrap Inc",,"RHRF - exempt (non-VDF)","[43M00]","Yes","572044","4498296",,,,,,"267 Hooker Place
Staten Island, NY 10303
(40.632111, -74.148307)"
"Dolomite Products Company; Inc. - Gates","1085 Buffalo Road",,"Gates","NY","14624","Monroe","8","5852359292","Dolomite Products Company; Inc.","Private","CDDHRF - asphalt pavement and millings - registration","[28C20024]","Yes","281600","4780700","4.2 - Utilization of GIS and existing spatial data","Asphalt;Asphalt Millings;Asphalt Pavement","28C20024","2021-02-12T00:00:00.000","2026-02-03T00:00:00.000","1085 Buffalo Road
Gates, NY 14624
(43.149966, -77.679789)"
"Philadelphia Transfer Station","32893 State Route 11",,"Philadelphia","NY","13673","Jefferson","6","3156420119","Town of Philadelphia","Municipal","RHRF - 5 tpd or less - registration","[23R10028]","Yes","442736","4888142","4.1 - Address Matching","Paperboard/Boxboard;Newspaper;Office Paper;Commingled Paper;Container Glass;Plastic;Commingled Containers;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Electronics;Enameled Appliances / White Goods","23R10028","2019-11-21T00:00:00.000","2024-11-20T00:00:00.000","32893 State Route 11
Philadelphia, NY 13673
(44.143993, -75.716538)"
"Prentice Auto Parts","1875 Lewiston Road",,"Basom","NY","14013","Genesee","8","5858134620","Ronald Swimline","Private","VDF - small - registration","[5190052]","Yes","226903","4777073",,,,,,"1875 Lewiston Road
Basom, NY 14013
(43.096309, -78.35684)"
"TD Auto Dismantling","503 Abbotts Road",,"Cuba","NY","14727","Allegany","9","5853070027","Ted Ingalls","Private","VDF - small - registration","[02V20012]","Yes","224278","4684633","1 - No accuracy stated","End of Life Vehicles","02V20012","2019-02-15T00:00:00.000","2024-02-15T00:00:00.000","503 Abbotts Road
Cuba, NY 14727
(42.264248, -78.334859)"
"NYCDOS Staten Island Transfer Station","600 West Service Road",,"Staten Island","NY","10314","Richmond","2","7189671400","NYCDOS","Municipal","Transfer station - permit","[43T33]","Yes","568278","4493082",,"MSW (Residential/Institutional & Commercial)","2-6403-00141/00001","2017-11-06T00:00:00.000","2022-11-02T00:00:00.000",
"L.I. Organic Fertilizer Corp","48 Lamar Street",,"West Babylon","NY","11104","Suffolk","1","6319567600","Lamar Street properties; LLC","Private","CDDHRF - uncontaminated soil sand gravel rock - registration","[52C60373]","Yes","636933","4510819","4.3 - Utilization of Digital Orthophoto Quads","Soil (Clean)","52C60373","2022-03-18T00:00:00.000","2027-03-17T00:00:00.000","48 Lamar Street
West Babylon, NY 11104
(40.736666, -73.378091)"
"Earth Waste and Metal","942 Mason Street",,"Morrisonville","NY","12962","Clinton","5","5185613577","EWS Real Estate of NY; Inc.","Private","VDF - large - registration","[10V50002]","Yes","614163","4949170",,"End of Life Vehicles","10V50002","2020-04-29T00:00:00.000","2025-04-29T00:00:00.000","942 Mason Street
Morrisonville, NY 12962
(44.686861, -73.561231)"
"Anthony's Auto Wreckers","367 Hunts Point Ave",,"Bronx","NY","10474","Bronx","2","7185892470","Cesar Acebo","Private","Vehicle Dismantling Facility","[7062883]","Yes","594406","4518189",,,,,,"367 Hunts Point Ave
Bronx, NY 10474
(40.809459, -73.88052)"
"TS Haulers","3968 Middle Country Road",,"Calverton","NY","11933","Suffolk","1","6313691265","Edward Partidge","Private","C&D processing - registration","[52W77R]","Yes","688610","4533439","4.3 - Utilization of Digital Orthophoto Quads","Asphalt;Concrete;Metals (Ferrous);Metals (Non-Ferrous)","52W77R","1999-01-04T00:00:00.000",,"3968 Middle Country Road
Calverton, NY 11933
(40.927698, -72.759368)"
"Gershow Recycling of New Hyde Park","24 Denton Avenue",,"New Hyde Park","NY","11040","Nassau","1","5167461081","Gershow Recycling Corporation","Private","Scrap metal processor - registration","[0104]","Yes","612221","4510587","1 - No accuracy stated","Scrap Metal - Aluminum ;End of Life Vehicles;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous","104","2018-12-15T00:00:00.000","2021-12-14T00:00:00.000","24 Denton Avenue
New Hyde Park, NY 11040
(40.738325, -73.671364)"
"Hannibal TS/RHRF","1167 County Route 7",,"Hannibal","NY","13074","Oswego","7","3155919200","Oswego County DPW","Municipal","RHRF - 5 tpd or less - registration","[38R10013]","Yes","374864","4799757",,"Source Separated Recyclables (Metal/Glass/Paper/Plastic)","38R10013","2018-06-14T00:00:00.000","2023-06-13T00:00:00.000","1167 County Route 7
Hannibal, NY 13074
(43.338985, -76.539401)"
"Poland Sand & Gravel","8649 South Main Street",,"Poland","NY","13431","Herkimer","6","3158263761","PSG Realty; LLC","Private","CDDHRF - concrete rock brick - registration","[22C10004]","Yes","496206","4785400",,"Concrete","22C10004","2019-12-23T00:00:00.000","2024-12-22T00:00:00.000","8649 South Main Street
Poland, NY 13431
(43.217399, -75.054966)"
"Zabel's Auto Repair","127 Zabel Hill Road",,"Feura Bush","NY","12067","Albany","4","5187682671","Gilbert Zabel","Private","Vehicle Dismantling Facility","[7028698]","Yes","585021","4708115",,,,,,"127 Zabel Hill Road
Feura Bush, NY 12067
(42.520827, -73.964852)"
"Brookhaven Waste Management Facility","350 Horseblock Road",,"Yaphank","NY","11719","Suffolk","1","6312868551","Town of Brookhaven","Municipal","Landfill - LI - outside the deep flow recharge - permit","[52LN0226]","Yes","675100","4518600","4.2 - Utilization of GIS and existing spatial data","Ash (WWTP Sludge);Ash MSW Energy Recovery Combined;Construction & Demolition Debris;Sewage Treatment Plant Sludge;Downtime waste;Bypass Waste (Unprocessible/Processible)","1-4722-00030/00019","2021-07-12T00:00:00.000","2026-07-11T00:00:00.000",
"Rasta Ranch Vineyards","5882 Route 414",,"Hector","NY","14841","Schuyler","8","6075462974","Diane Buglion-Mannion","Private","Land application - UFPW - registration","[49A30013]","Yes","346421","4708945","1 - No accuracy stated","Non-recognizable Food Processing Waste","49A30013","2019-10-16T00:00:00.000","2024-10-16T00:00:00.000","5882 Route 414
Hector, NY 14841
(42.51829, -76.8736)"
"Clinton Auto Parts","1125 Clinton Street",,"Buffalo","NY","14206","Erie","9","7168563016","2390 Kenmore Avenue Inc. dba Clinton Auto Parts","Private","VDF - large - registration","[15V50067]","Yes","186834","4754316","1 - No accuracy stated","End of Life Vehicles","15V50067","2019-10-21T00:00:00.000","2024-10-21T00:00:00.000","1125 Clinton Street
Buffalo, NY 14206
(42.877147, -78.833256)"
"Lake George Sand & Gravel LCD","70 Transfer Road",,"Lake George","NY","12845","Warren","5","5187984151","Cutting Edge Group LLC","Private","Landfill - land clearing debris","[57D13]","Yes","603017","4805828",,"Land Clearing Debris","57D13","2002-10-23T00:00:00.000",,"70 Transfer Road
Lake George, NY 12845
(43.400276, -73.728683)"
"Arthur Trovei & Sons Inc","82 Sleepy Hollow Road",,"Sparrowbush","NY","12780","Orange","3","8456491142","Arthur Trovei","Private","VDF - large - registration","[36V50001]","Yes","523496","4582841",,"Catalytic Converters;End of Life Vehicles;Brake Fluid;Engine Coolant/Antifreeze;Power Steering Fluid;Gasoline;Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Mercury Switches;Refrigerant;Scrap Metal - Non-ferrous","36V50001","2018-09-17T00:00:00.000","2023-09-17T00:00:00.000","82 Sleepy Hollow Road
Sparrowbush, NY 12780
(41.396689, -74.719105)"
"Rockland County SWMA  HHW Facility","35 Fireman's Memorial Drive",,"Pomona","NY","10970","Rockland","3","8453642086","Rockland County SWMA","County","Household hazardous waste","[44Z01]","Yes","580848","4558471","1 - No accuracy stated",,"3-3926-00267/00005","2012-03-28T00:00:00.000","2025-11-09T00:00:00.000","35 Fireman's Memorial Drive
Pomona, NY 10970
(41.174513, -74.035657)"
"Maspeth Recycling Inc","58-08 48 Street",,"Maspeth","NY","11106","Queens","2","7186281290","Domenick Cipollone","Private","C&D processing - registration","[41W39]","Yes","591094","4508572","2.1 - NYSDEC 100 m grid collection","Concrete;Asphalt;Soil (Clean);Sand","41W39",,,"58-08 48 Street
Maspeth, NY 11106
(40.721241, -73.921994)"
"James Property - Great Lakes Cheese","4418 Haskell Road",,"Cuba","NY","14727","Allegany","9","5859681552","Great Lakes Cheese; Inc.","Private","Land application - UFPW - registration","[02A30006]","Yes","229161","4676517","1 - No accuracy stated","Non-recognizable Food Processing Waste","02A30006","2018-10-17T00:00:00.000","2023-10-17T00:00:00.000","4418 Haskell Road
Cuba, NY 14727
(42.196985, -78.277041)"
"George Mulyca","2387 Mariaville Road",,"Schenectady","NY","12306","Schenectady","4","5182650189","Carolyn LaHart & Marilyn Peterson",,"Land application - septage - registration","[47A42805]","Yes","479077","4742684",,"Septage","47A42805","2019-04-01T00:00:00.000","2024-04-01T00:00:00.000","2387 Mariaville Road
Schenectady, NY 12306
(42.818151, -74.028636)"
"St. Lawrence County Ogdensburg Transfer Station","522 CR 28A",,"Ogdensburg","NY","13669","St. Lawrence","6","3153937501","St. Lawrence County","County","RHRF - greater than 5 tpd - registration","[45R20018]","Yes","466376","4950800","4.1 - Address Matching","Single Stream;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Electronics;Textiles","45R20018","2019-11-18T00:00:00.000","2024-11-17T00:00:00.000",
"Lorric C&D Processing","68 Pine Hill Road",,"Spencerport","NY","14559","Monroe","8","5853528400","Lorric Development Corp","Private","C&D processing - registration","[28W09]","Yes","270193","4787978",,"Wood (Clean);Concrete;Brick;Soil (Clean);Asphalt;Rock;Wood (Chips);Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Roofing Shingles","28W09","2002-07-29T00:00:00.000",,"68 Pine Hill Road
Spencerport, NY 14559
(43.209509, -77.830117)"
"Davenport TS (T)","7920 County Route 10",,"Davenport Center","NY","13751","Delaware","4","6072785285","Town of Davenport","Municipal","Transfer station - registration","[13R26]","Yes","506895","4699369",,"MSW (Residential/Institutional & Commercial)","13R26",,,"7920 County Route 10
Davenport Center, NY 13751
(42.447671, -74.918135)"
"Truxton (T) Transfer Station","6514 Academy Street",,"Town of Truxton","NY","13159","Cortland","7","6078426984","Town of Truxton","Municipal","RHRF - 5 tpd or less - registration","[12R10006]","Yes","415747","4730586","4 - GIS Assisted","Commingled Containers;Container Glass;Commingled Paper","12T10006","2018-01-28T00:00:00.000","2023-05-03T00:00:00.000","6514 Academy Street
Town of Truxton, NY 13159
(42.723443, -76.029354)"
"National Grid","287 Maspeth Avenue",,"Brooklyn","NY","11222","Kings","2","7182705786","National Grid","Private","C&D processing - registration","[24W38]","Yes","590245","4508023","4.3 - Utilization of Digital Orthophoto Quads","Asphalt;Concrete;Brick;Rock;Soil (Clean);Construction & Demolition Debris","24W38",,,"287 Maspeth Avenue
Brooklyn, NY 11222
(40.718103, -73.931266)"
"F & B Recycling","2138 Casehill Road",,"Lafayette","NY","13084","Onondaga","7","3153827781","Frederick D. Powers III","Private","VDF - small - registration","[34V20022]","Yes","403364","4747580",,"Mercury Switches;Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Lead Weights;Lead-acid Batteries;Waste Tire;End of Life Vehicles","34V20022","2019-02-25T00:00:00.000","2024-02-25T00:00:00.000","2138 Casehill Road
Lafayette, NY 13084
(42.875049, -76.183476)"
"Avon (T) Highway Dept","5390 Agar Road",,"Avon","NY","14414","Livingston","8","5852262425","Town of Avon Highway Dept.","Municipal","Transfer facility - registration","[26T10002]","Yes","277444","4749907","3.6 - Unknown type","One Day Annual Bulk Cleanup;Wood (Brush/ Branches/ Trees/ Stumps)","26T10002","2019-07-25T00:00:00.000",,"5390 Agar Road
Avon, NY 14414
(42.871453, -77.719147)"
"Hart's Parts","282 Harvey Bridge Rd.",,"Ohio","NY","13324","Herkimer","6","3158267027","Trevor Hart","Private","Vehicle Dismantling Facility","[7009813]","Yes","501152","4799212",,,,,,"282 Harvey Bridge Rd.
Ohio, NY 13324
(43.347115, -74.987407)"
"Canos Recycling LLC","1083 Kings Highway",,"Saugerties","NY","12477","Ulster","3","8453317600","Yesenia Cano (Jessie)",,"Scrap metal processor - registration","[56V30001]","Yes","584613","4657608",,"Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;End of Life Vehicles","56V30001","2021-08-18T00:00:00.000","2026-08-18T00:00:00.000","1083 Kings Highway
Saugerties, NY 12477
(42.065737, -73.976668)"
"Islip Multi-Purpose Recycling Facility","1155 Lincoln Avenue",,"Holbrook","NY","11741","Suffolk","1","6315953421","Islip Resource Recovery Agency","Municipal","Transfer facility - permit","[52TP0229]","Yes","661707","4515955","4.3 - Utilization of Digital Orthophoto Quads","Construction & Demolition Debris","1-4728-00701/00003","2022-01-13T00:00:00.000","2027-01-12T00:00:00.000","1155 Lincoln Avenue
Holbrook, NY 11741
(40.77864, -73.083875)"
"Norwood Hot Mix Asphalt Facility","7971 State Highway 56",,"Norwood","NY","13668","St. Lawrence","6","3153536611","Barrett Paving Materials; Inc.","Private","C&D processing - registration","[45W01]","Yes","500895","4958887","4.1 - Address Matching",,"45W01","2017-07-19T00:00:00.000",,"7971 State Highway 56
Norwood, NY 13668
(44.78205, -74.988907)"
"Bailey Farm Mine Yard Waste Composting","State Route 146",,"Halfmoon","NY","12065","Saratoga","5","5184231804","Troy Sand & Gravel Co Inc","Private","Composting - yard waste - permit","[46PP0020]","Yes","606537","4748454",,"Yard Waste","5-4138-00062/00005","2019-11-21T00:00:00.000","2024-11-20T00:00:00.000",
"Orleans Transfer Station","18108 County Route 3",,"Orleans (T)","NY","13656","Jefferson","6","3156582537","Town of Orleans","Municipal","RHRF - 5 tpd or less - registration","[23R10007]","Yes","419605","4898783","1 - No accuracy stated","Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Source Separated Recyclables (Metal/Glass/Paper/Plastic)","23R10007","2019-02-04T00:00:00.000","2024-02-03T00:00:00.000",
"Saratoga Springs Transfer Station","41 Weibel Avenue",,"Saratoga Springs","NY","12866","Saratoga","5","5185873550","City of Saratoga Springs","Municipal","Transfer facility - registration","[46T10010]","Yes","602208","4771575",,"MSW (Residential/Institutional & Commercial)","46T100010","2018-07-02T00:00:00.000","2023-07-01T00:00:00.000","41 Weibel Avenue
Saratoga Springs, NY 12866
(43.089567, -73.743452)"
"Speonk Earth Recycling LLC","60 5th Ave",,"Speonk","NY","11972","Suffolk","1","6315868300","Alexander Porto","Private","CDDHRF - uncontaminated soil sand gravel rock - registration","[52C60319]","Yes","694465","4523429","4.1 - Address Matching","Gravel;Rock;Sand;Soil (Clean)","52-0319","2020-09-10T00:00:00.000","2025-09-09T00:00:00.000",
"Green Meadows LLC","4083 Middle Country Road",,"Calverton","NY","11933","Suffolk","1","5168855952","Richard DeLea","Private","C&D processing - registration","[52W168R]","Yes","688452","4533233",,"Soil (Clean);Concrete;Asphalt;Wood (Unadulterated);Wood (Brush/ Branches/ Trees/ Stumps)","52W168R","2010-10-15T00:00:00.000",,"4083 Middle Country Road
Calverton, NY 11933
(40.927712, -72.763469)"
"Weir Farm Sand & Gravel Mine Composting","846 Farm to Market Rd. ( St. Rt. 67)",,"Schaghticoke","NY","12154","Rensselaer","4","5186748774","Troy Sand & Gravel","Private","Composting - yard trimmings - registration","[42P14204]","Yes","612675","4750051",,"Yard Waste","42P14204","2019-04-01T00:00:00.000","2024-04-01T00:00:00.000",
"Raymundo Auto Sales","307 Bartnick Road",,"King Ferry","NY","13081","Cayuga","7","3157296419","Santos Raymundo","Private","Vehicle Dismantling Facility","[7097005]","Yes","370791","4721519",,,,,,"307 Bartnick Road
King Ferry, NY 13081
(42.633868, -76.57554)"
"Synergy Biogas Plant","6466 Lemley Road",,"Covington","NY","14591","Wyoming","9","5854956995","Synergy Biogas; LLC",,"Anaerobic digestion - permit","[61P50010]","Yes","250510","4746307","4 - GIS Assisted","Fats; Oils; Greases (FOG);Non-recognizable Food Processing Waste;Source Separated Organic Waste (SSOW)","9-5628-00019/00001","2020-02-12T00:00:00.000","2030-02-11T00:00:00.000","6466 Lemley Road
Covington, NY 14591
(42.828929, -78.054837)"
"Phelps (V) Transfer","1342 State Route 96",,"Phelps","NY","14532","Ontario","8","3155483882","Village of Phelps","Municipal","Transfer facility - registration","[35T10009]","Yes","332682","4758285","4.2 - Utilization of GIS and existing spatial data","MSW (Residential/Institutional & Commercial);Single Stream","35T10009","2019-03-07T00:00:00.000","2024-03-06T00:00:00.000","1342 State Route 96
Phelps, NY 14532
(42.954659, -77.048883)"
"Ticonderoga/Leerkes Landspreading","Delano Road",,"Ticonderoga","NY","12883","Essex","5","5185857855","Bernard Leerkes Jr.","Private","Land application - biosolids/septage/other - permit","[16L01]","Yes","626220","4860158","4.3 - Utilization of Digital Orthophoto Quads","Biosolids","5-1548-00045/00002","2018-01-05T00:00:00.000","2023-04-30T00:00:00.000",
"Jet Auto II Inc.","5710 Preston Court",,"Brooklyn","NY","11234","Kings","2","7182093730","Jet Auto II Inc.","Private","VDF - large - registration","[24V50006]","Yes","591051","4499282","4.2 - Utilization of GIS and existing spatial data","End of Life Vehicles;Engine Coolant/Antifreeze;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water","24V50006","2019-12-23T00:00:00.000","2024-12-22T00:00:00.000","5710 Preston Court
Brooklyn, NY 11234
(40.639638, -73.921964)"
"Hololob Industries Inc.","275 East Main Street",,"Yaphank","NY","11980","Suffolk","1","6313108686","Edward Charles Hololob","Private","Composting - yard trimmings - registration","[52P10302]","Yes","676453","4522726","4.3 - Utilization of Digital Orthophoto Quads","Yard Waste","302","2021-11-01T00:00:00.000","2023-11-01T00:00:00.000","275 East Main Street
Yaphank, NY 11980
(40.83723, -72.910403)"
"Westhampton Auto Salvage","2341 Quogue Riverhead Road",,"East Quogue","NY","11942","Suffolk","1","6316534055","Kevin Schewire","Private","VDF - large - registration","[52V50306]","Yes","701126","4526012","4.3 - Utilization of Digital Orthophoto Quads","End of Life Vehicles","52V50306","2021-03-30T00:00:00.000","2026-03-29T00:00:00.000","2341 Quogue Riverhead Road
East Quogue, NY 11942
(40.860796, -72.613012)"
"Transit Auto Towing Inc","165 Saw Mill River Road",,"Yonkers","NY","10701","Westchester","3","9147797666","Transit Auto Towing Inc","Private","Vehicle Dismantling Facility","[60J14]","Yes","594227","4533213",,,,,,"165 Saw Mill River Road
Yonkers, NY 10701
(40.943941, -73.880619)"
"Olive TS (T)","580 Beaverkill Road",,"Olive","NY","12461","Ulster","3","9146578177","Town of Olive","Municipal","Transfer station - registration","[56R06]","Yes","566288","4643165",,"MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics","56R06",,,"580 Beaverkill Road
Olive, NY 12461
(41.938301, -74.201181)"
