"tax_year","credit_type","place_of_residence","size_of_earned_income","notes","number_of_claims_zero_qualifying_children","credit_amount_claimed_zero_qualifying_children_000","average_credit_zero_qualifying_children","number_of_claims_one_qualifying_child","credit_amount_claimed_one_qualifying_child_000","average_credit_one_qualifying_child","number_of_claims_more_than_one_qualifying_child","credit_amount_claimed_more_than_one_qualifying_child_000","average_credit_more_than_one_qualifying_child","number_of_claims_two_qualifying_children","credit_amount_claimed_two_qualifying_children_000","average_credit_two_qualifying_children","number_of_claims_more_than_two_qualifying_children","credit_amount_claimed_more_than_two_qualifying_children_000","average_credit_more_than_two_qualifying_children","number_of_claims_total","credit_amount_claimed_total_000","average_credit_total","place_of_residence_sort_order","earned_income_sort_order"
"2010","NYS EITC","Total, New York City Counties","$48,001 AND OVER","d/",,,"1","0","0","0",,,,"0","0","0",,,"12","99","1","12","6","13"
"2010","NYS EITC","Total, New York City Counties","TOTAL",,"231421","20777","90","318485","196748","618",,,,"215925","217502","1007","80916","95320","1178","846747","530346","626","6","14"
"2009","NYS EITC","Total, New York City Counties","$0 - $4,000",,"48078","2935","61","12930","3029","234",,,,"4763","1326","278","1346","410","304","67117","7701","115","6","1"
"2009","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"99149","12164","123","36539","22977","629",,,,"12817","9481","740","3407","2843","834","151912","47465","312","6","2"
"2009","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"66220","4605","70","74648","65191","873",,,,"29717","35533","1196","8829","12057","1366","179414","117386","654","6","3"
"2009","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"9669","1068","110","48113","40563","843",,,,"47003","67465","1435","14300","23538","1646","119085","132634","1114","6","4"
"2009","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"1027","143","139","38853","29439","758",,,,"29305","39222","1338","10301","16176","1570","79486","84981","1069","6","5"
"2009","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"104","69","668","35544","21531","606",,,,"24032","27457","1143","8647","12109","1400","68327","61166","895","6","6"
"2009","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"66","39","590","31796","13848","436",,,,"21644","19777","914","7260","8419","1160","60766","42083","693","6","7"
"2009","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"45","18","394","27721","7412","267",,,,"19298","13233","686","6548","5977","913","53612","26639","497","6","8"
"2009","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"38","9","224","21555","2670","124",,,,"17849","8211","460","6143","4246","691","45585","15136","332","6","9"
"2009","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/",,,"176",,,"112",,,,"13659","3152","231","5095","2323","456","22378","5882","263","6","10"
"2009","NYS EITC","Total, New York City Counties","$40,001 - $44,000","d/",,,"155",,,"18",,,,"4017","679","169",,,"250","7990","1613","202","6","11"
"2009","NYS EITC","Total, New York City Counties","$44,001 - $48,000","d/","0","0","0",,,"203",,,,"793","31","39",,,"136","2442","256","105","6","12"
"2009","NYS EITC","Total, New York City Counties","$48,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","82","1","9","82","1","9","6","13"
"2009","NYS EITC","Total, New York City Counties","TOTAL",,"224405","21052","94","331570","207071","625",,,,"224897","225569","1003","77324","89249","1154","858196","542941","633","6","14"
"2008","NYS EITC","Total, New York City Counties","$0 - $4,000",,"51100","3003","59","11829","2920","247","5451","1571","288",,,,,,,"68380","7493","110","6","1"
"2008","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"95035","11064","116","33072","21051","637","14594","10929","749",,,,,,,"142701","43044","302","6","2"
"2008","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"54432","3078","57","61594","52534","853","36010","44040","1223",,,,,,,"152036","99652","655","6","3"
"2008","NYS EITC","Total, New York City Counties","$12,001 - $16,000","d/",,,"42",,,"806","55573","77570","1396",,,,,,,"111513","116964","1049","6","4"
"2008","NYS EITC","Total, New York City Counties","$16,001 - $20,000","d/",,,"0",,,"692","37423","47331","1265",,,,,,,"76545","74405","972","6","5"
"2008","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","36452","18850","517","31674","32196","1016",,,,,,,"68126","51046","749","6","6"
"2008","NYS EITC","Total, New York City Counties","$24,001 - $28,000","d/",,,"1",,,"347","28504","22250","781",,,,,,,"60754","33433","550","6","7"
"2008","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","29036","5205","179","26364","14548","552",,,,,,,"55400","19753","357","6","8"
"2008","NYS EITC","Total, New York City Counties","$32,001 AND OVER","d/",,,"1",,,"68","38053","9665","254",,,,,,,"52602","10659","203","6","9"
"2008","NYS EITC","Total, New York City Counties","TOTAL",,"208035","17457","84","306376","178892","584","273646","260099","950",,,,,,,"788057","456448","579","6","14"
"2007","NYS EITC","Total, New York City Counties","$0 - $4,000",,"52595","2840","54","11560","2926","253","5173","1552","300",,,,,,,"69328","7317","106","6","1"
"2007","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"94871","10808","114","40832","26846","657","16301","12318","756",,,,,,,"152004","49972","329","6","2"
"2007","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"48955","2450","50","82916","69726","841","49513","61601","1244",,,,,,,"181384","133777","738","6","3"
"2007","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"4352","124","28","50472","39737","787","64581","88321","1368",,,,,,,"119405","128181","1073","6","4"
"2007","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","44123","29026","658","40281","48518","1204",,,,,,,"84404","77544","919","6","5"
"2007","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","39629","18825","475","34136","31999","937",,,,,,,"73765","50825","689","6","6"
"2007","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","34255","10394","303","30344","21431","706",,,,,,,"64599","31825","493","6","7"
"2007","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","30203","4155","138","28035","13399","478",,,,,,,"58238","17553","301","6","8"
"2007","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","9043","394","44","33721","7061","209",,,,,,,"42764","7454","174","6","9"
"2007","NYS EITC","Total, New York City Counties","TOTAL",,"200773","16221","81","343033","202028","589","302085","286200","947",,,,,,,"845891","504448","596","6","14"
"2006","NYS EITC","Total, New York City Counties","$0 - $4,000",,"47423","2571","54","15371","5036","328","10156","6048","595",,,,,,,"72954","13655","187","6","1"
"2006","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"87986","9641","110","44374","29331","661","17671","13378","757",,,,,,,"150037","52350","349","6","2"
"2006","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"41078","1874","46","61154","49478","809","47274","58047","1228",,,,,,,"149509","109399","732","6","3"
"2006","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"3185","77","24","49056","36737","749","51833","67576","1304",,,,,,,"104074","104389","1003","6","4"
"2006","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","42252","25366","600","37024","41116","1111",,,,,,,"79276","66483","839","6","5"
"2006","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","38723","16184","418","32497","27502","846",,,,,,,"71220","43686","613","6","6"
"2006","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","33167","8167","246","30698","18920","616",,,,,,,"63865","27087","424","6","7"
"2006","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","25709","2434","95","28191","11031","391",,,,,,,"53900","13465","250","6","8"
"2006","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","1610","73","45","25823","4209","163",,,,,,,"27433","4282","156","6","9"
"2006","NYS EITC","Total, New York City Counties","TOTAL",,"179672","14163","79","311416","172805","555","281167","247827","881",,,,,,,"772268","434796","563","6","14"
"2005","NYS EITC","Total, New York City Counties","$0 - $4,000",,"49532","2714","55","14484","4155","287","7242","2865","396",,,,,,,"71263","9733","137","6","1"
"2005","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"83752","8893","106","46994","31222","664","18696","14099","754",,,,,,,"149448","54215","363","6","2"
"2005","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"34498","1456","42","53843","42103","782","45189","54449","1205",,,,,,,"133534","98007","734","6","3"
"2005","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"2563","52","20","46283","33069","714","46083","57731","1253",,,,,,,"94929","90851","957","6","4"
"2005","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","41848","23056","551","37121","38440","1036",,,,,,,"78969","61497","779","6","5"
"2005","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","37838","14120","373","33558","26041","776",,,,,,,"71396","40160","563","6","6"
"2005","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","32364","6522","202","31470","17310","550",,,,,,,"63834","23832","373","6","7"
"2005","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","19478","1380","71","28483","9261","325",,,,,,,"47961","10641","222","6","8"
"2005","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","744","17","22","19733","2531","128",,,,,,,"20477","2547","124","6","9"
"2005","NYS EITC","Total, New York City Counties","TOTAL",,"170345","13114","77","293876","155643","530","267575","222726","832",,,,,,,"731811","391484","535","6","14"
"2004","NYS EITC","Total, New York City Counties","$0 - $4,000",,"50300","2687","53","15386","3899","253","7722","2286","296",,,,,,,"73408","8872","121","6","1"
"2004","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"83899","8521","102","50443","33083","656","22434","16802","749",,,,,,,"156776","58406","373","6","2"
"2004","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"43792","1093","25","53053","40297","760","48260","57211","1185",,,,,,,"145105","98601","680","6","3"
"2004","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"535","3","6","44989","30749","683","44677","53765","1203",,,,,,,"90201","84518","937","6","4"
"2004","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","42203","21242","503","36088","34348","952",,,,,,,"78291","55590","710","6","5"
"2004","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","38292","12643","330","34034","23947","704",,,,,,,"72326","36590","506","6","6"
"2004","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","32906","5254","160","32249","15410","478",,,,,,,"65155","20664","317","6","7"
"2004","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","15917","648","41","29331","7521","256",,,,,,,"45248","8169","181","6","8"
"2004","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","0","0","0","14813","1273","86",,,,,,,"14813","1273","86","6","9"
"2004","NYS EITC","Total, New York City Counties","TOTAL",,"178526","12304","69","293189","147816","504","269608","212564","788",,,,,,,"741323","372683","503","6","14"
"2003","NYS EITC","Total, New York City Counties","$0 - $4,000",,"49290","2647","54","17172","4260","248","9473","2764","292",,,,,,,"75935","9671","127","6","1"
"2003","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"78786","7829","99","67033","44499","664","24717","18427","746",,,,,,,"170536","70755","415","6","2"
"2003","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"25496","853","33","58623","43371","740","60565","70984","1172",,,,,,,"144684","115208","796","6","3"
"2003","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"204","1","3","47038","30850","656","45704","53212","1164",,,,,,,"92946","84063","904","6","4"
"2003","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","42392","20066","473","36844","33180","901",,,,,,,"79236","53246","672","6","5"
"2003","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","38541","11494","298","34800","22720","653",,,,,,,"73341","34214","467","6","6"
"2003","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","34396","4379","127","33460","14309","428",,,,,,,"67856","18687","275","6","7"
"2003","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","9053","281","31","28670","6045","211",,,,,,,"37723","6327","168","6","8"
"2003","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","0","0","0","9687","618","64",,,,,,,"9687","618","64","6","9"
"2003","NYS EITC","Total, New York City Counties","TOTAL",,"153776","11329","74","314248","159200","507","283920","222259","783",,,,,,,"751944","392788","522","6","14"
"2002","NYS EITC","Total, New York City Counties","$0 - $4,000",,"47346","2318","49","17885","4061","227","9816","2611","266",,,,,,,"75047","8990","120","6","1"
"2002","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"75461","6685","89","66373","39769","599","24816","16755","675",,,,,,,"166650","63208","379","6","2"
"2002","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"21473","647","30","57479","38225","665","54500","57743","1060",,,,,,,"133452","96615","724","6","3"
"2002","NYS EITC","Total, New York City Counties","$12,001 - $16,000","a/","48","0","1","48475","28063","579","44454","46030","1035",,,,,,,"92977","74093","797","6","4"
"2002","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","43542","17724","407","36838","28960","786",,,,,,,"80380","46684","581","6","5"
"2002","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","38131","9409","247","34694","19528","563",,,,,,,"72825","28936","397","6","6"
"2002","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","34020","3162","93","32427","11602","358",,,,,,,"66447","14764","222","6","7"
"2002","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","4701","91","19","26950","4388","163",,,,,,,"31651","4479","142","6","8"
"2002","NYS EITC","Total, New York City Counties","$32,001 AND OVER",,"0","0","0","0","0","0","6598","289","44",,,,,,,"6598","289","44","6","9"
"2002","NYS EITC","Total, New York City Counties","TOTAL",,"144328","9649","67","310606","140505","452","271093","187906","693",,,,,,,"726027","338060","466","6","14"
"2001","NYS EITC","Total, New York City Counties","$0 - $4,000",,"43960","2012","46","17277","3631","210","10512","2561","244",,,,,,,"71749","8204","114","6","1"
"2001","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"71316","5427","76","64966","35065","540","26769","16733","625",,,,,,,"163051","57224","351","6","2"
"2001","NYS EITC","Total, New York City Counties","$8,001 - $12,000","d/",,,,"55815","32877","589",,,"952",,,,,,,,,"714","6","3"
"2001","NYS EITC","Total, New York City Counties","$12,001 - $16,000","d/",,,,"48651","23693","487",,,"885",,,,,,,,,"676","6","4"
"2001","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","43525","13879","319","36400","22957","631",,,,,,,"79925","36836","461","6","5"
"2001","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","36929","6469","175","33831","14660","433",,,,,,,"70760","21129","299","6","6"
"2001","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","24664","1363","55","30400","7599","250",,,,,,,"55064","8962","163","6","7"
"2001","NYS EITC","Total, New York City Counties","$28,001 AND OVER","a/","0","0","0","31","0","4","20637","1843","89",,,,,,,"20668","1843","89","6","8"
"2001","NYS EITC","Total, New York City Counties","TOTAL",,"129959","7756","60","291858","116978","401","274473","173773","633",,,,,,,"696290","298507","429","6","14"
"2000","NYS EITC","Total, New York City Counties","$0 - $4,000",,"41312","1718","42","17990","3416","190","11262","2477","220",,,,,,,"70564","7611","108","6","1"
"2000","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"68931","4477","65","61958","29364","474","28186","15814","561",,,,,,,"159075","49655","312","6","2"
"2000","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"11219","191","17","56888","29262","514","71290","59757","838",,,,,,,"139397","89210","640","6","3"
"2000","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","50181","20471","408","42833","32252","753",,,,,,,"93014","52723","567","6","4"
"2000","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","44088","11099","252","37085","19151","516",,,,,,,"81173","30250","373","6","5"
"2000","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","37543","4572","122","33019","11179","339",,,,,,,"70562","15751","223","6","6"
"2000","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","16226","483","30","30109","5314","177",,,,,,,"46335","5797","125","6","7"
"2000","NYS EITC","Total, New York City Counties","$28,001 AND OVER",,"0","0","0","0","0","0","13048","732","56",,,,,,,"13048","732","56","6","8"
"2000","NYS EITC","Total, New York City Counties","TOTAL",,"121462","6386","53","284874","98668","346","266832","146677","550",,,,,,,"673168","251731","374","6","14"
"1999","NYS EITC","Total, New York City Counties","$0 - $4,000",,"42110","1540","37","20943","3488","167","13478","2616","194",,,,,,,"76531","7643","100","6","1"
"1999","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"65818","3675","56","60928","25144","413","30357","15087","497",,,,,,,"157103","43906","279","6","2"
"1999","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"9477","133","14","57356","25692","448","66480","48702","733",,,,,,,"133313","74527","559","6","3"
"1999","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","50483","17320","343","42531","27275","641",,,,,,,"93014","44595","479","6","4"
"1999","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","43242","8630","200","37009","15734","425",,,,,,,"80251","24364","304","6","5"
"1999","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","35967","3095","86","32243","8634","268",,,,,,,"68210","11728","172","6","6"
"1999","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","9131","132","14","27976","3541","127",,,,,,,"37107","3673","99","6","7"
"1999","NYS EITC","Total, New York City Counties","$28,001 AND OVER",,"0","0","0","0","0","0","8686","308","35",,,,,,,"8686","308","35","6","8"
"1999","NYS EITC","Total, New York City Counties","TOTAL",,"117405","5347","46","278050","83500","300","258760","121896","471",,,,,,,"654215","210743","322","6","14"
"1998","NYS EITC","Total, New York City Counties","$0 - $4,000",,"43848","1606","37","20863","3448","165","13679","2610","191",,,,,,,"78390","7664","98","6","1"
"1998","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"66387","3587","54","59785","24451","409","29767","14785","497",,,,,,,"155939","42823","275","6","2"
"1998","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"8063","107","13","56377","24813","440","62608","45281","723",,,,,,,"127048","70201","553","6","3"
"1998","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","50092","16517","330","41333","25707","622",,,,,,,"91425","42224","462","6","4"
"1998","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","42330","7855","186","36042","14629","406",,,,,,,"78372","22485","287","6","5"
"1998","NYS EITC","Total, New York City Counties","$20,001 - $24,000","d/",,,,"34980","2533","72","31912","7882","247",,,,,,,"66893","10416","156","6","6"
"1998","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","3870","38","10","26952","2933","109",,,,,,,"30822","2971","96","6","7"
"1998","NYS EITC","Total, New York City Counties","$28,001 AND OVER",,"0","0","0","0","0","0","5478","137","25",,,,,,,"5478","137","25","6","8"
"1998","NYS EITC","Total, New York City Counties","TOTAL",,"118299","5299","45","268297","79656","297","247771","113965","460",,,,,,,"634367","198920","314","6","14"
"1997","NYS EITC","Total, New York City Counties","$0 - $4,000",,"45298","1639","36","22110","3642","165","14171","2684","189",,,,,,,"81579","7965","98","6","1"
"1997","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"65536","3358","51","58582","23467","401","29319","14593","498",,,,,,,"153437","41418","270","6","2"
"1997","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"6752","80","12","57124","24411","427","55790","39366","706",,,,,,,"119666","63857","534","6","3"
"1997","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","50293","15505","308","39828","23362","587",,,,,,,"90121","38867","431","6","4"
"1997","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","41231","6742","164","35354","13145","372",,,,,,,"76585","19887","260","6","5"
"1997","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","30933","1698","55","31368","6696","213",,,,,,,"62301","8394","135","6","6"
"1997","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","167","4","22","24371","1919","79",,,,,,,"24538","1922","78","6","7"
"1997","NYS EITC","Total, New York City Counties","$28,001 AND OVER",,"0","0","0","0","0","0","1320","14","11",,,,,,,"1320","14","11","6","8"
"1997","NYS EITC","Total, New York City Counties","TOTAL",,"117586","5078","43","260440","75467","290","231521","101780","440",,,,,,,"609547","182325","299","6","14"
"1996","NYS EITC","Total, New York City Counties","$0 - $4,000",,"47416","1708","36","24640","4020","163","14517","2696","186",,,,,,,"86573","8424","97","6","1"
"1996","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"63477","3071","48","54894","21386","390","28079","13873","494",,,,,,,"146450","38330","262","6","2"
"1996","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"5001","56","11","55793","22846","409","45879","31346","683",,,,,,,"106673","54248","509","6","3"
"1996","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","49974","13961","279","36681","19848","541",,,,,,,"86655","33809","390","6","4"
"1996","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","40158","5682","141","33788","11301","334",,,,,,,"73946","16983","230","6","5"
"1996","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","25409","1083","43","30964","5579","180",,,,,,,"56373","6662","118","6","6"
"1996","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","53","1","17","18247","1092","60",,,,,,,"18300","1093","60","6","7"
"1996","NYS EITC","Total, New York City Counties","TOTAL",,"115894","4834","42","250921","68979","275","208155","85735","412",,,,,,,"574970","159548","277","6","14"
"1995","NYS EITC","Total, New York City Counties","$0 - $4,000",,"51849","932","18","21597","2622","121","11019","1678","152",,,,,,,"84465","5232","62","6","1"
"1995","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"64535","1318","20","78651","11686","149","31775","6012","189",,,,,,,"174961","19016","109","6","2"
"1995","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"9952","121","12","60038","9041","151","59466","12501","210",,,,,,,"129456","21663","167","6","3"
"1995","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","41580","5865","141","33661","6643","197",,,,,,,"75241","12508","166","6","4"
"1995","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","27989","3511","125","25019","4352","174",,,,,,,"53008","7863","148","6","5"
"1995","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","21338","2390","112","18810","2841","151",,,,,,,"40148","5230","130","6","6"
"1995","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","1180","129","109","7772","1039","134",,,,,,,"8952","1168","130","6","7"
"1995","NYS EITC","Total, New York City Counties","TOTAL",,"126336","2372","19","252373","35243","140","187522","35065","187",,,,,,,"566231","72680","128","6","14"
"1994","NYS EITC","Total, New York City Counties","$0 - $4,000",,"38355","505","13","20484","986","48","10762","582","54",,,,,,,"69601","2073","30","6","1"
"1994","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"50132","790","16","42407","5165","122","21847","3045","139",,,,,,,"114386","9000","79","6","2"
"1994","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"7709","23","3","51168","7505","147","31955","5756","180",,,,,,,"90832","13284","146","6","3"
"1994","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"0","0","0","45202","5067","112","31224","4411","141",,,,,,,"76426","9478","124","6","4"
"1994","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"0","0","0","37317","2462","66","28651","2616","91",,,,,,,"65968","5078","77","6","5"
"1994","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","28974","670","23","26646","1124","42",,,,,,,"55620","1793","32","6","6"
"1994","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","0","0","0","5311","48","9",,,,,,,"5311","48","9","6","7"
"1994","NYS EITC","Total, New York City Counties","TOTAL",,"96196","1318","14","225552","21855","97","156396","17581","112",,,,,,,"478144","40754","85","6","14"
