"waterway","mile","shore","name","launch_type","latitude","longitude","parking","overnight_parking","camping","day_use_amenities","portage_distance","potable_water","restrooms","georeference","itsuid"
"Hudson River (tidal)","153.62","east","Ingalls Avenue Boat Ramp","Ramp","42.747274","-73.685467","Cars (17) / Cars with Trailer (19)","No","No",,"100' +/-","No","No","POINT (-73.685467 42.747274)","Ingalls Avenue Boat Ramp"
"Erie Canal","89.07","south","Ilion Marina Boat Ramp","Ramp","43.01952","-75.02816","Cars (20) / Cars with Trailer (6)","Yes, fee","No","Picnicking, Pavilion","20' +/-","Yes","Yes (Flush)","POINT (-75.02816 43.01952)","Ilion Marina Boat Ramp"
"Erie Canal","283.44","south","Holley South Wall Kayak Launch","Car Top - Dock","43.22803","-78.02139","Cars (20)",,"No","Canalway Trail, Picnicking, Hibachi(s), Fishing","100' +/-","Yes","Yes (Flush)","POINT (-78.02139 43.22803)","Holley South Wall Kayak Launch"
"Erie Canal","83.30","north","Herkimer Fishing Access Kayak Launch","Car Top - Terraced Steps","43.01835","-74.9786","Cars (20) / Cars with Trailer (5)",,"No","Picnicking, Hibachi(s), Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","35' +/-","No","Yes (Portable toilet)","POINT (-74.9786 43.01835)","Herkimer Fishing Access Kayak Launch"
"Erie Canal","267.60","north","Henpeck Park Kayak Launch","Car Top - Low Wall","43.1882","-77.73135","Cars (40)",,"No","Canalway Trail, Picnicking, Hibachi(s), Fishing","250' +/-","No","No","POINT (-77.73135 43.1882)","Henpeck Park Kayak Launch"
"Erie Canal","4.68","north","Halfmoon-Crescent Park Kayak Launch","Car Top - Beach Landing","42.82247","-73.73553","Cars (8)",,"No","Picnicking, Walking Trail, Historic","100' +/-","No","No","POINT (-73.73553 42.82247)","Halfmoon-Crescent Park Kayak Launch"
"Oneida Lake","135.85","north","Godfrey Point Boat Ramp","Ramp","43.2238","-75.84995","Cars (40) / Cars with Trailer (20)","Yes, 24 hour limit","No","Fishing (DEC Access Site)","100' +/-","No","Yes (Portable toilet)","POINT (-75.84995 43.2238)","Godfrey Point Boat Ramp"
"Erie Canal","20.03","north","Glenville Boat Ramp","Ramp","42.83122","-73.93039","Cars (20) / Cars with Trailers (15)","Yes, 24 hour limit","No","Handicap Accessible, Restaurant, Picnicking, Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","50' +/-","No","No","POINT (-73.93039 42.83122)","Glenville Boat Ramp"
"Seneca Lake","17.51","west","Geneva Boat Ramp","Ramp","42.870469","-76.975864","Cars (40) / Cars with Trailer (10)","Yes","No","Bike Path, Winery, Downtown shopping, Courtesy docks, Promenade, Visitor center, Picnicking, Fishing","100' +/-","Yes","Yes","POINT (-76.975864 42.870469)","Geneva Boat Ramp"
"Erie Canal","87.41","north","Gems Along the Mohawk Kayak Launch","Car Top - Terraced Steps","43.01703","-74.99808","Cars (5)",,"No","Restaurant, Fishing, Tour Boat","500' +/-","Yes","Yes","POINT (-74.99808 43.01703)","Gems Along the Mohawk Kayak Launch"
"Erie Canal","21.50","south","Gateway Landing Kayak Launch","Car Top - Beach Landing","42.81783","-73.952","Cars Only (20)",,"No","Canalway Trail, Gazebo, Picnicking, Dock, Fishing","100' +/-","No","No","POINT (-73.952 42.81783)","Gateway Landing Kayak Launch"
"Erie Canal","313.25","south","Gasport Boat Ramp","Ramp","43.20152","-78.55831","Cars (5) / Cars with Trailer (3)","Yes","No","Located next to Marina, Picnicking, Hibachi(s), Fishing","20' +/-","No","No","POINT (-78.55831 43.20152)","Gasport Boat Ramp"
"Erie Canal","47.99","south","Fultonville Docks Kayak Launch","Car Top - Dock","42.94907","-74.35907","Cars (2)","No","No","Fast food restaurants, Fishing (Smallmouth Bass, Walleye, Carp)","100' +/-","No","No","POINT (-74.35907 42.94907)","Fultonville Docks Kayak Launch"
"Oswego Canal","12.90","east","Fulton Boat Ramp","Ramp","43.33592","-76.41548","Cars (10) / Cars with Trailer (10)","Yes","No","Picnicking, Gazebo, Hibachi(s), Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Walleye, Carp, Channel Catfish)","20' +/-","No","No","POINT (-76.41548 43.33592)","Fulton Boat Ramp"
"Hudson River","37.96","west","Ft. Edward Yacht Basin Kayak Launch","Car Top - Beach Landing","43.26708","-73.5909","Cars (20)",,"No","Fishing, Ball Fields, Playground, Pool, Picnicking","50 +/-","No","Yes (at Ball Fields)","POINT (-73.5909 43.26708)","Ft. Edward Yacht Basin Kayak Launch"
"Cayuga Lake","11.36","east","Frontenac Park Boat Ramp","Ramp","42.84244","-76.69682","Cars (20) / Cars with Trailer (10)","No","No","Picnicking, Hibachi(s), Pavilion, Fishing","20' +/-","Yes","Yes (Chemical)","POINT (-76.69682 42.84244)","Frontenac Park Boat Ramp"
"Erie Canal","4.48","south","Freddie's Park Kayak Launch","Car Top - Beach Landing","42.8201","-73.7299","Cars (10)",,"No","Picnicking, Historic Interpretation, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","150' +/-","No","No","POINT (-73.7299 42.8201)","Freddie's Park Kayak Launch"
"Erie Canal","91.64","south","Frankfort Harbor Boat Ramp","Ramp","43.04108","-75.06933","Cars (40) / Cars with Trailer (15)","Yes, call (315) 895-7651","No","Pavilion, Picnicking, Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","Yes","Yes (Flush)","POINT (-75.06933 43.04108)","Frankfort Harbor Boat Ramp"
"Champlain Canal","25.20","west","Fort Hardy Kayak Launch","Car Top - Beach Landing","43.099149","-73.575809","Cars (15)",,"No","Bike path, Picnicking, Hibachi(s), Gazebo, Pavilion, Fishing","150' +/-","Yes","Yes (Flush)","POINT (-73.575809 43.099149)","Fort Hardy Kayak Launch"
"Champlain Canal","37.40","west","Fort Edward Kayak Launch","Car Top - Dock","43.261114","-73.579833","Cars (12)",,"No","Picnicking, Hibachi(s), Fishing","150' +/-","No","No","POINT (-73.579833 43.261114)","Fort Edward Kayak Launch"
"Champlain Canal","49.39","west","Fort Ann Landing Kayak Launch","Car Top - Dock","43.414140","-73.485146","Cars (5)",,"No","Fishing","40' +/-","No","No","POINT (-73.485146 43.41414)","Fort Ann Landing Kayak Launch"
"Erie Canal","246.76","north","Fairport Kayak Launch","Car Top - Beach Landing","43.10265","-77.44312","Cars (10)","Yes","No","Kayak Rentals (www.eriecanalboatcompany.com), Showers, Fishing","20' +/-","Yes","Yes","POINT (-77.44312 43.10265)","Fairport Kayak Launch"
"Erie Canal","338.40","south","Eastern Park Kayak Launch","Car Top - Sloped Dock","43.01440","-78.86770","Cars (6)",,"No","Picnic Pavilions, Volleyball courts, Playground","150' +/-","Yes","Yes","POINT (-78.8677 43.0144)","Eastern Park Kayak Launch"
"Cayuga Lake","17.93","west","Deans Cove Boat Ramp","Ramp","42.744831","-76.768051","Cars (15) / Cars with Trailer (10)","Yes","No","Fishing","20' +/-","No","Yes (Chemical)","POINT (-76.768051 42.744831)","Deans Cove Boat Ramp"
"Hudson River (tidal)","146.50","west","Corning Preserve Boat Ramp","Ramp","42.656532","-73.741678","Cars (30) / Cars with Trailer (20)","No","No","Picnicking, Bike Path, Crew Rowing, Fishing","100' +/-","No","Yes (Portable toilet)","POINT (-73.741678 42.656532)","Corning Preserve Boat Ramp"
"Oneida Lake","146.01","north","Constantia Kayak Launch","Car Top - Beach Landing","43.2394","-76.05015","Cars (15)",,"No","Fishing","20' +/-","No","No","POINT (-76.05015 43.2394)","Constantia Kayak Launch"
"Erie Canal","195.16","north","Conquest Kayak Launch","Car Top - Beach Landing","43.06816","-76.66815","Cars (4)",,"No","Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp, Channel Catfish)","600' +/-","No","No","POINT (-76.66815 43.06816)","Conquest Kayak Launch"
"Champlain Canal","53.59","west","Comstock (informal) Boat Ramp","Ramp","43.459350","-73.441033","Cars (5)",,"No","Fishing","20' +/-","No","No","POINT (-73.441033 43.45935)","Comstock (informal) Boat Ramp"
"Erie Canal","171.53","south","Community Park Boat Ramp","Ramp","43.14816","-76.32055","Cars (10) / Cars with Trailer (5)","No","No","Picnicking, Hibachi(s), Fishing","20' +/-","No","No","POINT (-76.32055 43.14816)","Community Park Boat Ramp"
"Erie Canal","211.15","south","Clyde Boat Ramp","Ramp","43.079972","-76.868443","Cars (10) / Cars with Trailer (5)","Yes, call (315) 923-3971","No","Picnicking, Hibachi(s), Fishing","20' +/-","Yes","Yes (Portable toilet)","POINT (-76.868443 43.079972)","Clyde Boat Ramp"
"Seneca Lake","51.79","east","Clute Memorial Park Boat Ramp","Ramp","42.38269","-76.8607","Cars (20) / Cars with Trailers (20)","Yes","Yes","Free to Launch, $5.00 to Park, Fishing, Picnicing","20' +/-","Yes","Yes","POINT (-76.8607 42.38269)","Clute Memorial Park Boat Ramp"
"Oneida Lake","137.30","north","Cleveland Terminal Kayak Launch","Car Top - Beach Landing","43.23123","-75.8813","Cars (20)",,"No","Fishing (DEC Access Site)","50' +/-","No","No","POINT (-75.8813 43.23123)","Cleveland Terminal Kayak Launch"
"Erie Canal","159.42","south","Clay Boat Ramp","Ramp","43.21044","-76.26622","Cars (10) / Cars with Trailer (5)","Yes, 24 hour limit","No","Fishing (Largemouth Bass, Smallmouth Bass, Crappie, Northern Pike, Carp, Channel Catfish)","20' +/-","No","No","POINT (-76.26622 43.21044)","Clay Boat Ramp"
"Cayuga Lake","7.38","west","Cayuga Lake State Park Boat Ramp","Ramp","42.90037","-76.74988","Cars (40) / Cars with Trailer (25)","Yes","Yes","Picnicking, Pavilion, Walking Trails, Swimming, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.74988 42.90037)","Cayuga Lake State Park Boat Ramp"
"Cayuga Lake","42.26","west","Cascadilla Creek Kayak Launch","Car Top - Beach Landing","42.45155","-76.50880","Cars (100)",,"No","Weekend farmers' market, Picnicking","100' +/-","Yes weekends, No weekdays","Yes (flush weekends/portable weekdays)","POINT (-76.5088 42.45155)","Cascadilla Creek Kayak Launch"
"Erie Canal","60.69","south","Canajoharie Boat Ramp","Ramp","42.90899","-74.57249","Cars (20) / Cars with Trailer (10)","Yes, 24 hour limit","No","Pavilion, Picnicking, Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","Yes","No","POINT (-74.57249 42.90899)","Canajoharie Boat Ramp"
"Erie Canal","250.70","south","Bushnell's Basin Kayak Launch","Car Top - Dock","43.06253","-77.47894","Cars (15)",,"No","Canalway Trail, coffee shop, ice cream shop, craft brew store, pubs","100' +/-","Yes","Yes","POINT (-77.47894 43.06253)","Bushnell's Basin Kayak Launch"
"Erie Canal","186.64","south","Brutus Kayak Launch","Car Top - Beach Landing","43.07606","-76.51452","Cars (15)",,"No","Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp, Channel Catfish)","350' +/-","No","No","POINT (-76.51452 43.07606)","Brutus Kayak Launch"
"Erie Canal","278.80","south","Brockport South Wall Kayak Launch","Car Top - Low Wall","43.21559","-77.9361","Cars (10)",,"No","Canalway Trail, Restaurants, Shops, Bike Rentals","50' +/-","Yes","Yes (Flush)","POINT (-77.9361 43.21559)","Brockport South Wall Kayak Launch"
"Erie Canal","258.07","north","Brighton Reserve Kayak Launch","Car Top - Dock","43.105614","-77.599724","Cars (30)",,"No","Canalway Trail","150' +/-","No","No","POINT (-77.599724 43.105614)","Brighton Reserve Kayak Launch"
"Oneida Lake","138.76","south","Briggs Bay Boat Ramp","Ramp","43.16257","-75.92684","Cars (40) / Cars with Trailer (40)","Yes, 24 hour limit","No","Fishing (DEC Access Site)","20' +/-","No","Yes (Portable toilet)","POINT (-75.92684 43.16257)","Briggs Bay Boat Ramp"
"Erie Canal","334.80","north","Botanical Gardens Boat Ramp","Ramp","43.0383","-78.82718","Cars (40) / Cars with Trailer (15)","No","No","Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","20' +/-","No","No","POINT (-78.82718 43.0383)","Botanical Gardens Boat Ramp"
"Erie Canal","114.97","north","Bellamy Harbor Park Kayak Launch","Car Top - Sloped Dock","43.201762","-75.452391","Cars (10)",,"No","Canalway Trail, Fishing, Picnicking","50' +/-","No","No","POINT (-75.452391 43.201762)","Bellamy Harbor Park Kayak Launch"
"Erie Canal","302.67","north","Bates Road Boat Ramp","Ramp","43.23034","-78.37128","Cars (10) / Cars with Trailer (5)","Yes","No","Canalway Trail, Picnicking, Hibachi(s), Fishing","20' +/-","No","No","POINT (-78.37128 43.23034)","Bates Road Boat Ramp"
"Erie Canal","249.08","south","Ayrault Road Boat Ramp","Ramp","43.0794","-77.46011","Cars (12) / Cars with Trailer (4)","Yes, call (585) 223-5050","No","Fishing","20' +/-","No","Yes (Portable toilet)","POINT (-77.46011 43.0794)","Ayrault Road Boat Ramp"
"Erie Canal","275.47","south","Arrowhead Boat Ramp","Ramp","43.2024","-77.87719","Cars (10) / Cars with Trailer (10)","No","No","Fishing","20' +/-","Yes","Yes","POINT (-77.87719 43.2024)","Arrowhead Boat Ramp"
"Erie Canal","17.33","south","Aqueduct Park Kayak Launch","Car Top - Low Dock","42.84935","-73.88983","Cars (15) / Cars with Trailer (5)",,"No","Canalway Trail, Canoe/Kayak Rental, Picnicking, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","200' +/-","No","Yes (Portable toilet)","POINT (-73.88983 42.84935)","Aqueduct Park Kayak Launch"
"Erie Canal","36.68","north","Amsterdam Boat Ramp","Ramp","42.92384","-74.17101","Cars(20) / Cars with Trailer (5)","Yes, 24 hour limit","No","Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","No","No","POINT (-74.17101 42.92384)","Amsterdam Boat Ramp"
"Erie Canal","331.73","south","Amherst Veterans Park Boat Ramp","Ramp","43.06508","-78.80262","Cars (20) / Cars with Trailer (10)",,"No","Canalway Trail, Picnicking, Hibachi(s), Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","20' +/-","No","Yes (Portable toilet)","POINT (-78.80262 43.06508)","Amherst Veterans Park Boat Ramp"
"Cayuga Lake","41.90","west","Allan H. Treman State Marine Park Boat Ramp","Ramp","42.456405","-76.512511","Cars (40) / Cars with Trailer (25)","Yes","No","Picnicking, Hibachi(s), Showers, Fishing, Dry Dock Available","20' +/-","Yes","Yes (Flush)","POINT (-76.512511 42.456405)","Allan H. Treman State Marine Park Boat Ramp"
"Erie Canal","3.02","north","Alcathy's Boat Ramp","Ramp","42.80789","-73.71451","Cars (20) / Cars with Trailer (20)","Yes","No","Picnicking, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","25' +/-","No","Yes (Portable toilet at Guard Gate)","POINT (-73.71451 42.80789)","Alcathy's Boat Ramp"
"Erie Canal","294.09","south","Albion Boat Ramp","Ramp","43.24793","-78.21207","Cars (5) / Cars with Trailer (3)","Yes","No","Picnicking, Hibachi(s), Fishing","20' +/-","No","No","POINT (-78.21207 43.24793)","Albion Boat Ramp"
"Erie Canal","221.33","north","Abbey Park Boat Ramp","Ramp","43.06329","-77.00266","Cars (10) / Cars with Trailer (3)","No","No","Picnicking, Pavilion, Hibachi(s), Fishing","20' +/-","Yes","Yes (Flush)","POINT (-77.00266 43.06329)","Abbey Park Boat Ramp"
