"title","highlight","blurb","indicator"
"EC18 - 4.	+103% Freight levels at the Port of Oakland have risen by 103 percent since 1990","115%","Freight levels at the Port of Oakland have risen by 115 percent since 1990","Seaport Activity"
"EC18 - 3.	2.3 million shipping containers passed through the Port of Oakland in 2015","2.5 million","shipping containers passed through the Port of Oakland in 2018","Seaport Activity"
"EC18 - 2.	#1 Los Angeles and Long Beach surpass all other ports in the United States for goods movement","#1","Los Angeles and Long Beach surpass all other ports in the United States for goods movement","Seaport Activity"
"EC18 - 1.	#7 The Port of Oakland moves the seventh-highest number of containers of any seaport in the United States","#8","The Port of Oakland moved the eighth-highest number of containers of any seaport in the United States in 2017","Seaport Activity"
"EC17 - 5.	#2 Bay Area passenger traffic has grown at the second-fastest rate of any major U.S. metro since the end of the Great Recession","#1","Bay Area passenger traffic has grown at the fastest rate of any major U.S. metro since the end of the Great Recession","Airport Activity"
"EC17 - 4.	+15% Oakland (OAK) handled 15% more air freight in 2015 than it did just three years earlier","20%","Oakland (OAK) handled 20 percent more air freight in 2017 than it did just five years earlier","Airport Activity"
"EC17 - 3.	-26% The tonnage of air freight handled at Bay Area airports has dropped 26% since 2001","-21%","The tonnage of air freight handled at Bay Area airports has dropped 21% since 2001","Airport Activity"
"EC17 - 2.	+47% San Francisco (SFO) has seen a 47% increase in passenger boardings since 2001","63%","San Francisco (SFO) has seen a 63 percent increase in passenger boardings since 2001","Airport Activity"
"EC17 - 1.	35 million boardings occurred at Bay Area airports in 2015","40 million","boardings occurred at Bay Area airports in 2017","Airport Activity"
"EC13-14 - 6.	$722 billion Our region's economy generated $722 billion in output in 2015 alone","$900 billion","Our region's economy generated $900 billion in output in 2017","Economic Output"
"EC13-14 - 5.	#1 The Bay Area's economy continues to produce more output per capita than any other major U.S. metro area","#1","The Bay Area's economy continues to produce more output per capita than any other major U.S. metro area","Economic Output"
"EC13-14 - 4.	#1 The Bay Area economy has grown faster than any other major metro area's since 2001","#1","The Bay Area economy has grown faster than any other major metro area's since 2001","Economic Output"
"EC13-14 - 3.	+18% Sonoma County's inflation-adjusted economic output grew by just 18% from 2001 through 2015","20%","Sonoma County's inflation-adjusted economic output grew by 20 percent between 2001 and 2017","Economic Output"
"EC13-14 - 2.	+77% The inflation-adjusted economic output of Silicon Valley grew by 77% from 2001 to 2015","99%","The inflation-adjusted economic output of Silicon Valley nearly doubled between 2001 and 2017","Economic Output"
"EC13-14 - 1.	$95,000 The average economic output per Bay Area resident was $95,000 in 2015","$115,000","The average economic output per Bay Area resident was $115,000 in 2017","Economic Output"
"EC1-2 -6.	#1 The Bay Area has the highest share of information jobs of any major metro","#1","The Bay Area has the highest share of information jobs of any major metro","Jobs by Industry"
"EC1-2 - 5.	-23% San Francisco County has seen a 23% decline in jobs in the finance sector since 1990","-23%","San Francisco County has seen a 23% decline in jobs in the finance sector since 1990","Jobs by Industry"
"EC1-2 - 4.Â½ Nearly half of all Bay Area manufacturing jobs are in Santa Clara County","½","Nearly one-third of all Bay Area professional & business services jobs are in Santa Clara County","Jobs by Industry"
"EC1-2 - 3.	-28% Manufacturing declined more than any other industry, with 28% fewer jobs now compared to 1990","+50k","The manufacturing sector added almost 50,000 jobs between 2012 and 2017","Jobs by Industry"
"EC1-2 - 2.	2.	1/5 One out of five jobs in the Bay Area are in the professional and business services sector","1/5","Nearly one out of five jobs in the Bay Area is in the professional and business services sector","Jobs by Industry"
"EC1-2 - 1.	1.	+20% Jobs in the information sector grew by 20% since 2013","18%","Jobs in the information sector grew by 18% from 2015 to 2017","Jobs by Industry"
"T1-2. 1. 75% of Bay Area commuters drove to work in 2018","74%","of Bay Area commuters drove to work in 2018","Commute Mode Choice"
"T1-2. 2. 12% of Bay Area commuters relied on public transit in 2018, the highest share since 1970","12%","of Bay Area commuters relied on public transit in 2018","Commute Mode Choice"
"T1-2. 3.	7% of Bay Area commuters have shifted away from driving since 2000","7%","of Bay Area commuters have shifted away from driving alone since 2000","Commute Mode Choice"
"T1-2. 5. #1 San Francisco County has the highest rate of transit use, walking and biking in the region","#1","San Francisco County has the highest rate of transit use, walking and biking in the region","Commute Mode Choice"
"T1-2. 6. #1 New York has the highest rate of non-auto commuting among major metros, with the Bay Area ranked second","#1","New York has the highest rate of non-auto commuting among major metros, with the Bay Area ranked second","Commute Mode Choice"
"T3-4. 1.	31  The average Bay Area commute time is 31 minutes","31","The average Bay Area commute time was 31 minutes in 2018","Commute Time"
"T3-4. 2.	1/2 of Bay Area commuters spend less than 30 minutes getting to work each day","1/2","of Bay Area commuters spend less than 30 minutes getting to work each day","Commute Time"
"T3-4. 3. 37 Contra Costa County residents have the longest average commutes in the Bay Area at 37 minutes","37","Contra Costa County residents have the longest average commutes in the Bay Area at 37 minutes","Commute Time"
"T3-4. 4.#1 Sonoma County residents have the shortest average commutes in the region at just 24 minutes","#1","Sonoma County residents have the shortest average commutes in the region at just 24 minutes","Commute Time"
"T3-4. 5. 15% of Bay Area commuters spend more than one hour getting to work each day","15%","of Bay Area commuters spend more than one hour getting to work each day","Commute Time"
"0","2x","Dallas produced over twice as many units per capita as the Bay Area in 2018","Housing Production"
"0","1/3","Sonoma County in 2018 rebuilt one third of units lost to the 2017 wildfires","Housing Production"
"0","20%","of units produced in 2018 were in San Francisco or San Jose","Housing Production"
"0","52%","of units produced in 2018 were multi-family homes","Housing Production"
"0","15,400","total units of housing were produced in the Bay Area in 2018","Housing Production"
