"the_geom","objectid","fullname","onewaydir","roadclass","fullnameab","joinid","segmentid","shape_stlength"
"MULTILINESTRING ((-90.040814227858 29.944093204993, -90.040819161877 29.944015802139, -90.040850591753 29.943562179098, -90.040876532865 29.943105743122, -90.040881298099 29.94303560707))","2567","1100 LB Landry Ave (Northbound)",,"Major Arterial","L. B. Landry Ave","0","2516304","385.19554349043023"
"MULTILINESTRING ((-90.03253293032 29.961581054138, -90.032502221532 29.961709566572, -90.032318033314 29.96234112853, -90.032275863426 29.962485723486, -90.03225002297 29.962565219869))","1300","800 Poland Ave (Riverbound)",,"Major Arterial","Poland Ave","0","2515172","368.99626468690667"
"MULTILINESTRING ((-90.108441735709 30.00284828702, -90.108427246677 30.002932908403, -90.10830982233 30.003954638122, -90.108244907552 30.004520118382, -90.108235066763 30.004613563338))","547","6200 Canal Blvd (Riverbound)","To-From","Major Arterial","Canal Blvd","0","2508502","645.32353985070927"
"MULTILINESTRING ((-90.036225152805 29.929940254475, -90.035919038213 29.930020180105, -90.035811559164 29.930045837878, -90.035791192329 29.930050075913, -90.035649566959 29.930079548084, -90.035558647191 29.930095915283, -90.035453152468 29.930112572819, -90.035311071462 29.930130469653, -90.035168233804 29.930142981686, -90.035024907142 29.930150086213, -90.034881361027 29.930151769524, -90.03468225355 29.930147251749, -90.034381934144 29.930155828842))","3374","US 90B Exit","From-To","Ramp",,"0","2513142","592.80823808648404"
"MULTILINESTRING ((-90.051813466234 29.979032266564, -90.051297491507 29.97906398926, -90.051086254714 29.979078441306, -90.050769401869 29.979097050036, -90.05068192364 29.979102572611))","2436","2440 N Galvez St",,"Major Arterial","N Galvez St","0","2513602","359.15817348956358"
"MULTILINESTRING ((-90.037942583078 29.933714886622, -90.037945607913 29.933885743513, -90.037955395337 29.934056407211, -90.037971934867 29.934226676267, -90.037995205747 29.934396346487, -90.038025181105 29.934565217668, -90.038061825214 29.93473308705, -90.038105093793 29.93489975672, -90.038154936927 29.935065026947, -90.038211293941 29.935228701764, -90.038274098678 29.935390587087, -90.038340880884 29.935540960068, -90.038413921893 29.935689108541, -90.038493123842 29.935834836348, -90.038577259287 29.935976154732, -90.038667186738 29.936114739388, -90.038762791931 29.936250411596, -90.038863948245 29.936382994976, -90.038970525574 29.93651231681, -90.039082385062 29.936638208695, -90.039199380911 29.936760507791, -90.039370120397 29.936916632436, -90.039440098009 29.93697567619, -90.039511772391 29.937033359738, -90.039585100244 29.937089671917, -90.039643881605 29.937132832623, -90.039736559254 29.937195476534, -90.039799674079 29.937236236536, -90.039895482112 29.937296571709, -90.039993488839 29.937356019734, -90.040091381078 29.937413177493, -90.040238563234 29.937494644163, -90.040278989369 29.937516408161, -90.040280909538 29.937517404189, -90.040392238834 29.937575140476, -90.040751980342 29.937749783109, -90.041038453406 29.937874448283, -90.041178442029 29.937933797201, -90.041224269142 29.937952732291, -90.041237574757 29.937958229406, -90.041309019424 29.937985465627, -90.041313177679 29.937987051221))","3383","US 90B Exit",,"Freeway","Crescent City Connection","0","2526104","2012.7639672811679"
"MULTILINESTRING ((-89.981714766777 29.922599790555, -89.981633040477 29.922564957196, -89.981301872525 29.922421096483, -89.980880957552 29.922232178443))","2615","6800 General Meyer Ave (Westbound)",,"Major Arterial","General Meyer Ave","0","2517949","296.0450856343295"
"MULTILINESTRING ((-89.983912284642 30.014907720177, -89.983735009671 30.014938957151, -89.98365944081 30.014951991111, -89.983572368381 30.014969326276, -89.98336405206 30.015019920242, -89.983048575595 30.015057875517, -89.982858599172 30.015089969118, -89.982785567521 30.015100360798, -89.982496405005 30.015133472579, -89.982342540525 30.015149640642, -89.982217608141 30.015165238451, -89.982178175651 30.015172259225))","141","8800 Chef Menteur Hwy (Riverside)",,"Major Arterial","Chef Menteur Hwy","0","2522769","557.83722346186767"
"MULTILINESTRING ((-90.103345862526 29.972088563992, -90.103264110608 29.972163968154))","2056","S Carrollton Ave (Median)","To-From","Major Arterial","S Carrollton Ave","0","2509976","37.708546083360794"
"MULTILINESTRING ((-89.979269798681 29.921317449242, -89.979169776323 29.921270571361, -89.978702397078 29.921069754494, -89.97858087043 29.921015841829, -89.978499864056 29.92097789022))","2829","7000 General Meyer Ave (Eastbound)",,"Major Arterial","General Meyer Ave","0","2524930","273.40813519441542"
"MULTILINESTRING ((-90.021437565462 30.027153074322, -90.021395043324 30.02716583844, -90.021353842695 30.027178098802, -90.020846945315 30.027329930413, -90.020782477589 30.027349456058, -90.020320528177 30.027489369586, -90.019680850893 30.027682361081, -90.019531761098 30.027725166576, -90.018752963543 30.027960747933, -90.018600677231 30.028002384397, -90.018422601363 30.028046525995))","261","6100-6300 Morrison Rd (Lakeside)",,"Major Arterial","Morrison Rd","0","2527444","1007.9821525126979"
"MULTILINESTRING ((-90.077106252108 29.955576663723, -90.077254406554 29.955644223994, -90.077658688122 29.955827139454, -90.077885245873 29.955931093239))","1842","1500 Tulane Ave (Riverbound)","To-From","Major Arterial","Tulane Ave","0","2502523","278.32956457808433"
"MULTILINESTRING ((-90.052086969779 30.0262877883, -90.050870196009 30.026501443466, -90.049651780586 30.026716153114, -90.048252893908 30.026969070541, -90.048136979871 30.026993403585, -90.048047769752 30.027014838536, -90.047907029862 30.027052246673, -90.047764034837 30.027100999668, -90.047544164739 30.027172782775, -90.047186906352 30.027282814685, -90.046983993356 30.027347254221, -90.046918818187 30.027370178067, -90.046854483648 30.027395353895, -90.046791055499 30.027422544224, -90.046694393855 30.027468962863, -90.046606807848 30.02751632793, -90.046547604774 30.027551541477, -90.046397396918 30.027654517276, -90.046321943841 30.027707989776, -90.046022287913 30.027926008931, -90.04595338687 30.027973732403, -90.045331931575 30.028452697057))","1991","2600 Leon C Simon Dr (Riverside)","From-To","Major Arterial","Leon C Simon Dr","0","2519072","2325.787856472748"
"MULTILINESTRING ((-90.053428911111 29.985051164731, -90.053333894161 29.985057023774, -90.053305854943 29.985058753092, -90.053179675533 29.985066533777, -90.053047990607 29.985074653269, -90.052933505849 29.985081712881, -90.052287372104 29.985119667574))","2501","2500 Florida Ave",,"Major Arterial","Florida Ave","0","2518228","362.24557142322323"
"MULTILINESTRING ((-90.04969263576 29.991374784629, -90.049458496483 29.991389593863))","3360","Interstate 610 Exit","From-To","Ramp",,"0","2513443","74.3143384803343"
"MULTILINESTRING ((-90.076262591046 29.948457123348, -90.076410141333 29.9484908995, -90.076524284441 29.948517027576))","2134","Girod St (Median)",,"Local","Girod St","0","2505070","85.692365769093996"
"MULTILINESTRING ((-89.967273158667 30.010243165887, -89.967307725599 30.010595148917, -89.967450090522 30.012044790559, -89.967454508925 30.012114650887, -89.967537967867 30.012924027148, -89.967545551601 30.012999550365, -89.96764508743 30.013990744442, -89.967648850372 30.014058525541, -89.967661026972 30.014177422307, -89.967674974071 30.014299810971, -89.967674976721 30.014299838983))","181","3600-3900 Read Blvd (Riverbound)",,"Major Arterial","Read Blvd","0","2559593","1480.764950462948"
"MULTILINESTRING ((-90.035419748748 29.965590082851, -90.034446008071 29.965370410239))","2352","4000 Saint Claude Ave (Riverside)","From-To","Major Arterial","Saint Claude Ave","0","2514752","318.5075591290929"
"MULTILINESTRING ((-90.036859740709 29.970278673764, -90.036762812291 29.970254638048, -90.036141582696 29.970118994135, -90.036040560635 29.970093741853))","2373","3700 N Robertson St","From-To","Major Arterial","N Robertson St","0","2514850","267.97769808757994"
"MULTILINESTRING ((-90.06579715374 29.942286095097, -90.06578776277 29.941834979937))","1660","920 S Peters St",,"Major Arterial","S Peters St","0","2505936","164.07872810522321"
"MULTILINESTRING ((-90.0815392502 29.946964478383, -90.081665794208 29.947046567885, -90.081840540261 29.947162734525, -90.081995482423 29.947268880182, -90.083455548111 29.948277820522, -90.083541102749 29.94833693962, -90.08357686561 29.948363122759, -90.083624249738 29.948397813213), (-90.083624251918 29.94839763917, -90.083685668347 29.948445600202, -90.083710456291 29.948464957464, -90.083865377603 29.948593778225, -90.083952363028 29.948674944916, -90.08399780673 29.948719671141, -90.084050521579 29.948774860225, -90.08409298488 29.948822050273, -90.084166585857 29.948909961998, -90.084249309874 29.949021807891, -90.084295748792 29.949089349142, -90.08436574015 29.949203456947, -90.084419318873 29.949298768976))","3236","Pontchartrain Expressway","From-To","Freeway","Pontchartrain Expy","0","2524625","1258.0209583008204"
"MULTILINESTRING ((-90.063530884367 29.991181770152, -90.064318753392 29.991129919612, -90.064910440476 29.991092832563, -90.064925535168 29.991091885414, -90.064956492059 29.991089942715, -90.064992618921 29.991087675299, -90.065457594575 29.991058490884, -90.065518127914 29.991054690845, -90.065645356845 29.991046704576, -90.065696891585 29.991043470222, -90.065738228847 29.991040875612, -90.06574993766 29.991040140226, -90.065750056039 29.99104013239, -90.066169858131 29.991017138215, -90.066169912963 29.991017135047, -90.066199596083 29.99101552264, -90.066231424053 29.991013793594), (-90.063283778238 29.991197425213, -90.063448530548 29.991186936605, -90.063471848762 29.991185482528, -90.063489660107 29.991184372376, -90.063517089193 29.991182661917, -90.063530813948 29.991181774752))","3212","Interstate 610","From-To","Freeway","Interstate 610","0","2519097","935.47904275040003"
"MULTILINESTRING ((-89.963745850537 30.019524906558, -89.963660854765 30.019546279565, -89.963039068643 30.019699682302))","119","10420 Chef Menteur Hwy (Riverside)",,"Major Arterial","Chef Menteur Hwy","0","2522810","232.53049845806405"
"MULTILINESTRING ((-90.089172431992 29.954935435747, -90.089247545826 29.954944437454, -90.089336647186 29.954959068523, -90.089437390894 29.954981363134, -90.089513273693 29.955002324432, -90.08968867312 29.955060920936, -90.089799770347 29.955100021452, -90.08996511505 29.955160594074, -90.090032966274 29.955188714339, -90.090043409052 29.955193042627, -90.090148806439 29.955237021373, -90.090187697549 29.955256114437, -90.09032163277 29.955322157715, -90.090451548058 29.955394032817, -90.090577109003 29.955471555318, -90.090697991695 29.955554525226, -90.0907871187 29.955616918442, -90.091621044162 29.956214903212, -90.091642278067 29.956230140971, -90.09217718704 29.956613996002, -90.092294765373 29.956698610511, -90.092427880689 29.956794864893, -90.092481210184 29.956833426423, -90.092564537921 29.956893672317, -90.092598878734 29.956918417614, -90.093196379201 29.957348963338, -90.09350453968 29.957574494027, -90.0938684505 29.95783809346, -90.09398579036 29.957919372328, -90.09406482711 29.957974118389, -90.094551914768 29.958311508669, -90.095193698481 29.95875155179, -90.097253183502 29.96005966091))","3143","Interstate 10","From-To","Freeway","Interstate 10","0","2506401","3184.0509144731063"
"MULTILINESTRING ((-89.961247587115 30.045479391939, -89.961360184717 30.045425909929, -89.961738504668 30.045253880305, -89.961743589061 30.045251568529, -89.96223819823 30.045019810319, -89.962654735753 30.044828718517, -89.963029496701 30.044650633048, -89.963271394931 30.044534046893, -89.963479062456 30.044424236284, -89.963486455331 30.044421912372, -89.963492794192 30.044421800543, -89.963969481674 30.044172955487, -89.965108472088 30.043578355954))","3473","Interstate 10 Exit","From-To","Ramp",,"0","2523521","1404.3224119944623"
"MULTILINESTRING ((-90.05206170149 30.023689853, -90.052069491773 30.023792826023, -90.052143269173 30.02468910227, -90.05214448814 30.024703899744))","1983","6300 Franklin Ave (Riverbound)",,"Major Arterial","Franklin Ave","0","2519792","369.70092693121205"
"MULTILINESTRING ((-90.051977169772 30.022647706576, -90.052004832045 30.023027660785, -90.052005446357 30.02303481599, -90.052052696439 30.023584995885, -90.05206170149 30.023689853))","1986","6200 Franklin Ave (Riverbound)",,"Major Arterial","Franklin Ave","0","2519389","379.93825353795722"
"MULTILINESTRING ((-90.12062551295 29.915293830415, -90.120887343596 29.915284352772, -90.120958822553 29.915279232858, -90.121065924444 29.915273795312))","1189",,,"Local","Coffee Dr","0","2525248","139.7282239006804"
"MULTILINESTRING ((-90.065668584956 29.990422517279, -90.065665603534 29.99061176523, -90.065667329596 29.990616473281, -90.065672773842 29.990730663316, -90.065679913192 29.990815377002, -90.065686067347 29.990888394517, -90.06568694998 29.990899841364, -90.065692062693 29.990966160889, -90.065696891585 29.991043470222, -90.065701748994 29.991121240769, -90.065709853368 29.991209697911, -90.065715361302 29.991278855876, -90.065727164313 29.991427050636))","2300","3200 Allen St","From-To","Major Arterial","Allen St","0","2521093","366.02964449870581"
"MULTILINESTRING ((-90.075546233907 29.952121305512, -90.075571169394 29.951842943125, -90.075575132824 29.951705955167, -90.075573215752 29.9515896054, -90.075561154258 29.95142930392, -90.075548467215 29.951316756104, -90.075545114702 29.951208738165, -90.075547892605 29.951091919878, -90.075553887465 29.951018579117, -90.075569823944 29.95082361194))","1888","400 Loyola Ave (Riverside)",,"Major Arterial","Loyola Ave","0","2502701","472.8374008373961"
"MULTILINESTRING ((-89.981248987704 30.034862275832, -89.979759435154 30.035341484501, -89.979345841682 30.035490443281, -89.978711385987 30.035687692449, -89.978196584473 30.035833731804, -89.978046651018 30.035877554615, -89.977911912422 30.035921760863, -89.976975063666 30.036192372501, -89.976943209548 30.036201534121, -89.976366356104 30.036360685978, -89.976323776381 30.03637392237))","3403","Interstate 10 Exit","From-To","Ramp",,"0","2523574","1653.0247021566875"
"MULTILINESTRING ((-89.897244273939 30.041239382862, -89.897142913317 30.041300474579, -89.89698501699 30.041398566595, -89.896542310737 30.041657389634, -89.896229764841 30.04185959467, -89.895935966498 30.042056275295, -89.895795553084 30.042151621724, -89.895710998326 30.042278532399))","87","15200 Chef Menteur Hwy (Lakeside)",,"Major Arterial","Chef Menteur Hwy","0","2513015","619.38616362479252"
"MULTILINESTRING ((-90.068513257159 29.992146480419, -90.06844747271 29.992185751824, -90.068293564707 29.992280507586, -90.067694756388 29.992649167107, -90.066518132825 29.993361930939))","2308","2300 Gentilly Blvd (Lakeside)",,"Major Arterial","Gentilly Blvd","0","2525954","770.88267776020507"
"MULTILINESTRING ((-90.075416009294 29.953540805988, -90.075448741916 29.953467490831, -90.075597663969 29.952971772376, -90.075653286765 29.95278661922, -90.075787183968 29.952333141874, -90.075819162195 29.952214671955))","1814","300 Loyola Ave (Lakeside)",,"Major Arterial","Loyola Ave","0","2502697","499.07557477360183"
"MULTILINESTRING ((-90.015160207841 30.007520600063, -90.015238385643 30.007478758026, -90.015317683736 30.00743825789, -90.015479469307 30.007361284587, -90.01561315633 30.007302056236, -90.015716737933 30.007258136893, -90.015871086234 30.007197469467, -90.015963393473 30.007163975951, -90.01617078084 30.007094679357, -90.016277461892 30.007062818206, -90.01638530923 30.007033701377, -90.016494190995 30.007007345678, -90.016619242746 30.006979993184, -90.016712577513 30.006961762406, -90.016860945924 30.006934031089, -90.017579382265 30.006766442982, -90.019175716176 30.006396972605, -90.019649523347 30.006287306308))","3087","Interstate 10","To-From","Freeway","Interstate 10","0","2525109","1495.7617912543365"
"MULTILINESTRING ((-90.068160278258 29.948936114601, -90.068716838891 29.949064972995, -90.068831136952 29.949091435725, -90.069275219983 29.949194250604, -90.069393775871 29.949220754803))","1897","500 Poydras St (Riverbound)",,"Major Arterial","Poydras St","0","2505734","404.12351933398156"
"MULTILINESTRING ((-89.938040502936 30.043151755367, -89.93804843907 30.043082339949, -89.938055751155 30.043028112332, -89.938067783368 30.042955816247, -89.938494030238 30.041474569021, -89.938859924086 30.04025813222, -89.938926526665 30.040044183787, -89.93896311322 30.039917429924))","3501","Interstate 510 Exit","From-To","Ramp",,"0","2527306","1212.4988048603952"
"MULTILINESTRING ((-90.041806014523 29.985080879946, -90.041531406168 29.9850178504, -90.041026528764 29.984901965785, -90.040924560448 29.984878500025))","1115","2950 Florida Ave",,"Major Arterial","Florida Ave","0","2513845","288.59256939857954"
"MULTILINESTRING ((-90.051862090958 29.940172363754, -90.051828002395 29.939649683871))","2531","1500 Teche St",,"Local","Teche St","0","2516095","190.38320274805207"
"MULTILINESTRING ((-90.073701464291 29.986888982792, -90.073734492666 29.98694588902, -90.073846980106 29.987143415566, -90.073932680101 29.987292304844, -90.073959749765 29.987340786834, -90.073970103703 29.987359330053, -90.074184851487 29.98774353739, -90.074187754617 29.98774928354, -90.074207052763 29.987791984544, -90.074222421479 29.987835878542, -90.074231612765 29.987866403884))","1558","2900 Saint Bernard Ave (Lakebound)",,"Major Arterial","Saint Bernard Ave","0","2524459","393.53978482501282"
"MULTILINESTRING ((-90.049453987479 29.972023198415, -90.049446835653 29.972046277007, -90.04934505482 29.972364033059, -90.049330063966 29.972410834196, -90.049185340398 29.972902855766, -90.049161799257 29.972982480466))","2457","1400 Franklin Ave (Riverbound)",,"Major Arterial","Franklin Ave","0","2514322","360.9294072562962"
"MULTILINESTRING ((-90.002934342195 29.931846748699, -90.002826066194 29.931795082444, -90.00282228096 29.931793454339, -90.001996837756 29.931438440525, -90.001700052878 29.931310794327, -90.001501830501 29.931225939007, -90.001353085025 29.931158690645))","2644","4900 General Meyer Ave",,"Major Arterial","General Meyer Ave","0","2524904","559.92550506720352"
"MULTILINESTRING ((-90.077811052623 29.978949790459, -90.077824754808 29.979071678889, -90.07782513224 29.979075036151, -90.077730071546 29.979499513539, -90.077701527808 29.979640776839))","1632","1510 Gentilly Blvd (Lakeside)",,"Major Arterial","Gentilly Blvd","0","2561127","255.19710554426837"
"MULTILINESTRING ((-90.115446632312 30.010368824597, -90.115321243293 30.012019894112, -90.115310029728 30.012184358286))","478","6500 Pontchartrain Blvd","To-From","Major Arterial","Pontchartrain Blvd","0","2507323","661.65575042000592"
"MULTILINESTRING ((-90.037565900577 29.929992350431, -90.037502943213 29.930374928816, -90.037485086253 29.930485908053, -90.037475239461 29.930547585264, -90.037387187674 29.931115824367, -90.037348363734 29.931376722445, -90.037338333938 29.931445212416))","3381","US 90B Exit","To-From","Ramp",,"0","2513117","533.24582034233322"
"MULTILINESTRING ((-90.030670956349 29.967766447259, -90.030643971567 29.967856067463, -90.030447486068 29.968518722074, -90.0303619829 29.968800885149))","2392","1400 Poland Ave (Riverbound)",,"Major Arterial","Poland Ave","0","2515314","388.69736255636133"
"MULTILINESTRING ((-90.115140237136 29.971300287008, -90.115131468121 29.971357597052, -90.115115508707 29.971461895881))","1177","Dixon St (Median)",,"Other",,"0","2561212","59.289890425110734"
"MULTILINESTRING ((-90.072152702362 29.94041358394, -90.072178896982 29.9404241673, -90.072352000685 29.940510776833, -90.072476378133 29.940579363696))","904","1200 Clio St",,"Local","Clio St","0","2505856","118.99945386308529"
"MULTILINESTRING ((-90.066998521733 29.948683346068, -90.067115076124 29.948708188175, -90.067468106594 29.948787910107, -90.067583495702 29.948814218456))","1857","400 Poydras St (Riverbound)",,"Major Arterial","Poydras St","0","2505742","191.27685421263737"
"MULTILINESTRING ((-89.994804242288 30.032307092159, -89.994876902952 30.032452776466, -89.995022799755 30.03275701509, -89.995060945646 30.032830620107, -89.995206335181 30.033100186111, -89.995480369332 30.033619469371, -89.99575104101 30.034117138424, -89.995848594469 30.034300095112, -89.995934088732 30.034453912829, -89.995987603651 30.034559467134))","203","7100 Crowder Blvd (Lakebound)",,"Major Arterial","Crowder Blvd","0","2518778","900.75652409808686"
"MULTILINESTRING ((-90.055762365802 29.991414345743, -90.055402785263 29.991437913955, -90.054916775925 29.991464881799, -90.054781523144 29.991473496092, -90.054308692834 29.991512142812, -90.054130137235 29.991530054522, -90.054089858156 29.991532295681, -90.054084790367 29.991532577662, -90.054052545921 29.991534351119, -90.054026641673 29.991535775757, -90.054014640295 29.991536435802, -90.053865241082 29.99154469079, -90.053857528461 29.991545116541, -90.053825026532 29.991546912783, -90.053793496597 29.991548655282, -90.053787912283 29.991548963734, -90.053390212085 29.991569171315, -90.053129675052 29.991577994935, -90.052908605952 29.991581724514))","3210","Interstate 610","To-From","Freeway","Interstate 610","0","2521753","905.67200463422375"
"MULTILINESTRING ((-90.063565283039 29.969239094894, -90.063614757301 29.96933093359, -90.064076751468 29.970138953731))","866","1300 Saint Bernard Ave",,"Major Arterial","Saint Bernard Ave","0","2513395","365.13068906274594"
"MULTILINESTRING ((-90.071751078851 29.983469311811, -90.071653169524 29.983300358314))","2086","Saint Bernard Ave (Median)",,"Major Arterial","Saint Bernard Ave","0","2524450","68.817658569360603"
"MULTILINESTRING ((-90.074700918353 29.980158770963, -90.074515286429 29.98036095431, -90.074083392422 29.980846672125, -90.074024305029 29.980913122138, -90.073983312281 29.980959223415))","1449","1640 N Broad St (Lakeside)","To-From","Major Arterial","N Broad St","0","2506927","369.26454462016937"
"MULTILINESTRING ((-90.072160480044 29.9637326505, -90.072221321106 29.963773659776, -90.07284764817 29.964192724123, -90.072939503572 29.964254182066))","1853","1600 Orleans Ave (Lakebound)","From-To","Major Arterial","Orleans Ave","0","2506285","311.15813682890439"
"MULTILINESTRING ((-90.024115506398 30.02527888454, -90.024251587938 30.025653183855, -90.02435082503 30.025915221167, -90.024355313269 30.025927072304, -90.024378146933 30.025987770678))","295","7200 Downman Rd (Lakebound)",,"Major Arterial","Downman Rd","0","2560634","270.86658714938721"
"MULTILINESTRING ((-90.055543666809 29.968818813527, -90.054415800464 29.968887503764))","1259","2250 Saint Claude Ave (Lakeside)","To-From","Major Arterial","Saint Claude Ave","0","2514192","357.9896736749663"
"MULTILINESTRING ((-90.104475196736 29.968174665929, -90.104523715725 29.968196633428, -90.106106502149 29.968919638005, -90.10634481434 29.969028666214))","838","4000 Tulane Ave (Lakebound)","From-To","Major Arterial","Tulane Ave","0","2509887","668.49915624601977"
"MULTILINESTRING ((-89.920094724803 30.074418777495, -89.920171489104 30.074316979163, -89.920352150078 30.074117393289, -89.920469055932 30.073985227739, -89.920668453269 30.073747128883, -89.920830469806 30.073615713012, -89.920836965038 30.073610701203, -89.920895541097 30.073572590394, -89.92095434188 30.073538095408, -89.921029248806 30.073500125299, -89.921119953482 30.073461048851, -89.92119522624 30.073433411258, -89.92127248322 30.073410903267, -89.921343279993 30.073395491446, -89.921395279176 30.073386660255, -89.921468798451 30.073377415517, -89.921544895377 30.073371052011, -89.921597197831 30.073368708152, -89.921677240802 30.073369135545, -89.921748132123 30.073373471628, -89.921817737946 30.073381932345, -89.921886655289 30.073393584786, -89.921947835661 30.073406746039, -89.922021070438 30.073426161522, -89.922085909897 30.073447135441, -89.922324251932 30.07351472343, -89.922492247418 30.073558043111, -89.922574696073 30.073579431699, -89.922749392455 30.073627993484, -89.92310121674 30.073730943312, -89.923218096888 30.07376386615, -89.923335676123 30.073795253556, -89.923392915746 30.073809321823, -89.923461987253 30.073824328043, -89.923567626364 30.073840868477, -89.923626589613 30.073847777138, -89.923701128523 30.073854165683, -89.923804616642 30.073860191074, -89.923909271953 30.073863928035, -89.923981630563 30.073859594637, -89.924042667378 30.073853897708, -89.924125495673 30.073843355219, -89.924196840516 30.073831632624, -89.924267673558 30.073817965357, -89.924337920478 30.073802614689, -89.924407493541 30.073785602913, -89.924515014679 30.073755749635, -89.924572559404 30.073734959802, -89.924619605091 30.073716300436, -89.924695499679 30.073683137786, -89.924754189583 30.073654779661, -89.924887304804 30.073585068764, -89.92494704456 30.073548925369, -89.925025359917 30.073495212353, -89.925068540336 30.073461880174, -89.925129622047 30.073418098601, -89.926309291813 30.072313782321))","3495","Interstate 10 Exit","From-To","Ramp",,"0","2512686","2370.6223371437609"
"MULTILINESTRING ((-90.088990700316 29.963870661086, -90.089039524602 29.963814699327, -90.089259611935 29.963559780434, -90.08974513746 29.963006768074))","1602","300 S Broad St (Lakeside)","From-To","Major Arterial","S Broad St","0","2502340","394.67603115548906"
"MULTILINESTRING ((-89.990122852956 30.013966748971, -89.989046591901 30.014151707718, -89.988961096121 30.014167560197, -89.98886908832 30.014185516904))","36","8300 Chef Menteur Hwy (Lakeside)",,"Major Arterial","Chef Menteur Hwy","0","2518608","404.70858166247854"
"MULTILINESTRING ((-90.05068192364 29.979102572611, -90.050549369721 29.979109391695, -90.050236472328 29.979125818166, -90.0496676065 29.979160860566, -90.049550586653 29.979169963967))","1923","2500 N Galvez St",,"Major Arterial","N Galvez St","0","2513626","359.03013873632733"
"MULTILINESTRING ((-90.09914374893 29.96476251748, -90.099194000321 29.964595871674, -90.099315192889 29.964398139812, -90.099355169484 29.964338868596, -90.099404904362 29.964265127939, -90.099415953712 29.964248745184, -90.099647032129 29.963969244557, -90.100046686975 29.963499135155, -90.100090484001 29.963446913435, -90.100293680617 29.963204627798, -90.100335835649 29.963154781558, -90.100375156823 29.963108286529, -90.100535726169 29.962918671883, -90.10062454649 29.962812999854, -90.100690113283 29.962734992429, -90.100787442185 29.962618345136, -90.100821422817 29.962577619362, -90.100845465462 29.962548721624, -90.100856356668 29.962535632322, -90.100873666737 29.962514826616, -90.100950417676 29.962422791434, -90.100978415191 29.962389219214, -90.101000436431 29.962362812616, -90.101053853204 29.962298764996, -90.101059308544 29.962292223508, -90.101114033324 29.962226463849, -90.10111549619 29.962224706468, -90.10133838911 29.961956436462, -90.101438749298 29.961838110053, -90.101750515443 29.961472564302, -90.10197788029 29.96120368088, -90.102020476685 29.961155128483, -90.102216457081 29.960962763673, -90.102334803352 29.960910561918))","720","Norman C Francis Pkwy/I-10 Overpass (Lakeside)","From-To","Major Arterial","S Norman C Francis Pkwy","0","2525857","1737.6462663965622"
"MULTILINESTRING ((-90.022952132086 30.022094002199, -90.023166395537 30.022674413294, -90.023183352227 30.022720590742, -90.023267433418 30.02295543973, -90.023643573068 30.023983323522, -90.024092398038 30.025215455927, -90.024115506398 30.02527888454))","183","6900 Downman Rd (Lakebound)",,"Major Arterial","Downman Rd","0","2560639","1215.3298125129668"
"MULTILINESTRING ((-90.071805597207 29.941035129475, -90.071839523109 29.940913695278, -90.071840154469 29.940911533187, -90.071840195659 29.940911392077, -90.071925391994 29.94061958874, -90.071949521386 29.940536464858, -90.071990362992 29.940395767536))","1666","1100 Camp St",,"Major Arterial","Camp St","0","2506579","239.76212076849592"
"MULTILINESTRING ((-90.060296466076 30.01460764212, -90.060354834661 30.015340259598, -90.060368080324 30.015537805209, -90.060371412114 30.015622278974))","923","5500 Elysian Fields Ave (Lakebound)","From-To","Major Arterial","Elysian Fields Ave","0","2520128","369.76495612216081"
"MULTILINESTRING ((-90.070909453437 29.98172536434, -90.070965363494 29.981825347286, -90.071322739886 29.982445754275))","745","2500 Saint Bernard Ave (Riverbound)",,"Major Arterial","Saint Bernard Ave","0","2523823","292.83625469509798"
"MULTILINESTRING ((-90.060978383525 30.023152720199, -90.061022355614 30.023725920113, -90.061050424928 30.024091818455, -90.061056190976 30.024174192711, -90.061067112426 30.024330228868))","1985","6300 Elysian Fields Ave (Lakebound)","From-To","Major Arterial","Elysian Fields Ave","0","2519662","429.13669278082466"
"MULTILINESTRING ((-90.021241760565 29.925208113483, -90.020625854602 29.924940279685, -90.020300329288 29.924767263239, -90.02027942978 29.924757159829, -90.019917693386 29.924582279844, -90.019754496377 29.924501673012, -90.019646815962 29.924439100342))","2791","3600 General De Gaulle Dr (Westbound)",,"Major Arterial","General De Gaulle Dr","0","2524758","577.91459850135072"
"MULTILINESTRING ((-89.994220323938 30.031231948443, -89.994013809709 30.030835437079, -89.993818692285 30.030470883568, -89.993608691439 30.030078517936, -89.993554886557 30.029977988763, -89.99350048314 30.029876340985, -89.993377401621 30.029646371926, -89.993269216552 30.029461512963, -89.99303851254 30.029067299893, -89.992864550301 30.028717239807))","168","5800 Crowder Blvd (Lakebound)",,"Major Arterial","Crowder Blvd","0","2518714","1010.3411126068795"
"MULTILINESTRING ((-90.109394861756 29.994783266791, -90.109499140183 29.994805185712, -90.109529974252 29.994811666977, -90.109909256609 29.994851771257, -90.110300215917 29.994893108791, -90.110423816022 29.994900330076, -90.11051228968 29.994908191004, -90.110795612204 29.994944001713, -90.111055318505 29.994984540191, -90.111313649558 29.995031261928, -90.111570412769 29.995084129769, -90.111825414137 29.995143106017, -90.112078462377 29.995208145437, -90.112184867498 29.995234322623, -90.112292661464 29.995255765937))","3448","Interstate 610 Exit","From-To","Ramp",,"0","2506762","935.20748541333103"
