"type","name","po_box","phone","contact","title","location_1"
"State Credit Unions","Alpine Credit Union","PO BOX 217","801-225-0256","Paul Atkinson","President","1510 N STATE ST
OREM, UT 84059-0217
(40.32482017900048, -111.70712219399968)"
"State Credit Unions","Utah Prison Employees Credit Union","PO BOX 250","801-576-7490","Kristine Argyle","President","14425 BITTER BRUSH LN
DRAPER, UT 84020-0250
(40.488928425000495, -111.89575989799971)"
"State Industrial Banks","First Electronic Bank",,"801-572-4004","Randall Chesler","President","280 W 10200 S STE 200
SANDY, UT 84070
(40.566027773000485, -111.89786025399968)"
"Holding Companies","Celtic Investment, Inc.",,"801-353-6500","Wade Newman","CFO","268 S STATE ST STE 300
SALT LAKE CITY, UT 84111
(40.76354190900048, -111.8882624529997)"
"State Banks","Central Bank",,"801-375-1000","Matt C. Packard","President","75 N UNIVERSITY AVE
PROVO, UT 84601
(40.234681071000466, -111.65872605699968)"
"Holding Companies","Village Bancorp",,"435-674-5203","Douglas G. Bringhurst","President","294 E TABERNACLE ST
ST. GEORGE, UT 84770
(37.108113011000455, -113.57724071099972)"
"State Credit Unions","Utah Heritage Credit Union","PO BOX 50","435-436-8288","Ilene Rollo","President","84 W MAIN
MORONI, UT 84646
(39.52495826600045, -111.5853280979997)"
"Financial Associations","Utah Bankers Association",,"801-364-4303","Howard Headlee","President","175 S MAIN ST STE 1420
SALT LAKE CITY, UT 84111
(40.76546900000045, -111.89096339999969)"
"State Credit Unions","Meadow Gold Employees Credit Union",,"801-908-7113","Lynn Nelson","President","3691 W 1987 S
SALT LAKE CITY, UT 84104
(40.72773637400047, -111.9794001789997)"
"Federal Credit Unions","Devils Slide Federal Credit Union","PO BOX 588","801-829-6900","Jill J. Carrigan","President","243 E 125 N
MORGAN, UT 84050
(41.040991120000456, -111.6745234069997)"
"Federal Credit Unions","Dugway Federal Credit Union",,"435-831-4572","Jackie Carnahan","President","BLDG 5326 VALDEZ CIR
DUGWAY, UT 84022
(40.21996342800048, -112.7495921959997)"
"State Credit Unions","Education First Credit Union",,"801-392-4877","Kent Greenfield","President","1250 COUNTRY HILL DR
OGDEN, UT 84403
(41.18612707900047, -111.94742219999966)"
"Holding Companies","First Utah Bancorporation",,"801-274-2136","Ronald E. Sperry","EVP/CFO","3826 S 2300 E
SALT LAKE CITY, UT 84109
(40.68800026000048, -111.8245463239997)"
"State Credit Unions","Provo Police & Fire Department CU","PO BOX 1402","801-377-5634","Sheldon Lindsay","President","250 W CTR ST STE 114
PROVO, UT 84601
(40.23384797200049, -111.66311048899968)"
"State Banks","Green Dot Bank",,"801-374-9500","Lewis Goodwin","President","1675 N 200 W
PROVO, UT 84604-2540
(40.25671489600046, -111.66188953399967)"
"Federal Credit Unions","North Sanpete Federal Credit Union",,"435-462-9075","Julie Strate","President","521 E MAIN ST #81
MOUNT PLEASANT, UT 84647
(39.54687592100049, -111.44529862199971)"
"State Industrial Banks","LCA Bank Corporation","PO BOX 684382","435-658-5446","Timothy V. Talbert","President","1375 DEER VALLEY DR STE 218
PARK CITY, UT 84068-4382
(40.656628715000465, -111.5033849509997)"
"State Industrial Banks","Sallie Mae Bank",,"801-320-3700","Paul F. Thome","President & CEO","175 S W TEMPLE STE 600
SALT LAKE CITY, UT 84101
(40.76546111500045, -111.89392158299967)"
"State Industrial Banks","EnerBank USA",,"801-832-0700","Louise P. Kelly","President","1245 E BRICKYARD RD STE 600
SALT LAKE CITY, UT 84106
(40.70261810700049, -111.85685515399967)"
"National Banks","Wells Fargo Bank NW, N.A.",,"801-246-5526","Greg Winegardner","Regional President","299 S MAIN ST 10TH
SALT LAKE CITY, UT 84111
(40.76293101200048, -111.89095111999967)"
"Holding Companies","Peoples Utah Bancorp",,"801-642-3130","Wolf Muelleck","CFO","33 E MAIN ST
AMERICAN FORK, UT 84003
(40.37682770800046, -111.79779033999966)"
"State Credit Unions","Kings Peak Credit Union",,"435-722-3795","Paul Nielson","President","180 N 300 E
ROOSEVELT, UT 84066-2005
(40.30184204900047, -109.9872908639997)"
"Out-of-State State Banks","Bank of the West",,"801-531-3411","James E. Smith","President","142 E 200 S
SALT LAKE CITY, UT 84111
(40.764972686000476, -111.88669003499967)"
"State Credit Unions","Tanner Employees Credit Union",,"801-483-8396","Kevin Louder","President","1865 S MAIN STE 2
SALT LAKE CITY, UT 84115-2385
(40.72967022800049, -111.89108483699971)"
"Federal Credit Unions","Goldenwest Federal Credit Union","PO BOX 1111","801-337-8300","Kerry Wahlen","President","5025 S ADAMS
OGDEN, UT 84402
(41.21587681400047, -111.97058872599968)"
"State Credit Unions","Firefighters Credit Union",,"801-487-3219","Thomas R. Gourdin","President","124 W 1400 S
SALT LAKE CITY, UT 84115-5227
(40.73927795300045, -111.8947905759997)"
"State Banks","CIT Bank",,"801-412-6800","Randall Chesler","President","2180 S 1300 E STE 250
SALT LAKE CITY, UT 84106
(40.72397449800047, -111.85380621599967)"
"State Credit Unions","Bailey, Inc. Employees Credit Union",,"801-955-9326","Joyce McDonald","President","5392 PEGGY LANE
WEST VALLEY CITY, UT 84120
(40.67942728300045, -112.0196714219997)"
"National Banks","Key Bank, N.A.",,"801-535-1000","Jill M. Taylor","District President","50 S MAIN ST STE 2000
SALT LAKE CITY, UT 84130-0815
(40.76855319100048, -111.8911790679997)"
"State Credit Unions","Hi-Land Credit Union",,"801-261-8909","Blair Asay","President","965 E WOODOAK LN
MURRAY, UT 84117
(40.65331772900049, -111.86396012299969)"
"Federal Credit Unions","University First Federal Cr. Union","PO BOX 58025","801-481-8800","Jack Buttars","President","3450 S HIGHLAND DR STE 201
SALT LAKE CITY, UT 84158
(40.680725071000495, -111.84306450799971)"
"Federal Savings & Loans","American Express Bank, FSB",,"801-945-5000","Douglas H. Short, III","President & CEO","4315 S 2700 W
SALT LAKE CITY, UT 84119
(40.676850781000496, -111.95794483799972)"
"State Banks","Capital Community Bank",,"801-356-6699","H. Don Norton","President","3280 N UNIVERSITY AVE
PROVO, UT 84604
(40.27701475300046, -111.6576244749997)"
"State Industrial Banks","GE Capital Bank",,"801-733-2820","Scott E. Roberts","President","6510 MILLROCK RD
HOLLADAY, UT 84121
(40.63283271200049, -111.80045628299968)"
"State Banks","Bank of American Fork",,"801-756-7681","Richard T. Beard","President","33 E MAIN ST
AMERICAN FORK, UT 84003-2360
(40.37682770800046, -111.79779033999966)"
"Holding Companies","Capital Community Bancorporation",,"801-356-6699","Mike Watson","COO","3280 N UNIVERSITY AVE
PROVO, UT 84604
(40.27701475300046, -111.6576244749997)"
"National Banks","Wells Fargo Bank, N.A.",,"801-246-5526","Greg Winegardner","Regional President","299 S MAIN ST 10TH
SALT LAKE CITY, UT 84111
(40.76293101200048, -111.89095111999967)"
"State Banks","Ally Bank",,"801-790-5000","Barbara Yastine","President","6985 UNION PARK CTR STE 435
MIDVALE, UT 84047
(40.62386110300048, -111.85808215799972)"
