"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-3022","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","150","160","10","6.7","180","160","0.00","350","0","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-3031","Waiters and Waitresses","570","610","40","7.0","410","720","12.32","1170","25628","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-3041","Food Servers, Nonrestaurant","120","120","0","0.0","90","100","12.56","190","26112","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","35-9000","Other Food Preparation and Serving Related Workers","580","640","60","10.3","560","600","0.00","1220","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","90","100","10","11.1","80","90","12.19","180","25340","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-9021","Dishwashers","150","160","10","6.7","120","130","12.19","260","25340","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","220","250","30","13.6","270","280","12.13","580","25226","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","37-0000","Building and Grounds Cleaning and Maintenance Occupations","2670","2920","250","9.4","1520","2110","15.00","3880","31201","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","37-1000","Supervisors of Building and Grounds Cleaning and Maintenance Workers","200","230","30","15.0","80","160","0.00","270","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","90","100","10","11.1","40","70","29.47","120","61299","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","110","130","20","18.2","40","90","30.47","150","63370","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","37-2000","Building Cleaning and Pest Control Workers","1590","1730","140","8.8","1070","1140","0.00","2350","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","980","1080","100","10.2","630","730","15.78","1460","32828","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-2012","Maids and Housekeeping Cleaners","590","620","30","5.1","430","390","12.15","850","25278","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","37-3000","Grounds Maintenance Workers","870","970","100","11.5","380","810","0.00","1290","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-3011","Landscaping and Groundskeeping Workers","670","740","70","10.4","290","620","17.66","980","36712","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","160","180","20","12.5","70","150","23.98","240","49886","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","39-0000","Personal Care and Service Occupations","4470","5650","1180","26.4","3670","3620","13.76","8470","28625","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-1000","Supervisors of Personal Care and Service Workers","80","90","10","12.5","40","60","0.00","110","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-1021","First-Line Supervisors of Personal Service Workers","80","80","0","0.0","30","50","0.00","80","0","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-2000","Animal Care and Service Workers","140","150","10","7.1","90","130","0.00","230","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-2021","Nonfarm Animal Caretakers","70","90","20","28.6","60","70","14.17","150","29491","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-3000","Entertainment Attendants and Related Workers","190","250","60","31.6","220","250","0.00","530","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-3091","Amusement and Recreation Attendants","110","160","50","45.5","140","170","12.70","360","26421","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-4000","Funeral Service Workers","30","30","0","0.0","30","20","0.00","50","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-5000","Personal Appearance Workers","310","310","0","0.0","180","190","0.00","370","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","39-9000","Other Personal Care and Service Workers","3690","4800","1110","30.1","3100","2940","0.00","7150","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-9011","Childcare Workers","570","610","40","7.0","430","440","14.74","910","30655","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-9021","Personal Care Aides","2890","3900","1010","34.9","2510","2220","0.00","5740","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-9031","Fitness Trainers and Aerobics Instructors","100","140","40","40.0","70","130","0.00","240","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-9032","Recreation Workers","110","110","0","0.0","60","110","13.40","170","27874","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","39-9041","Residential Advisors","30","30","0","0.0","20","30","20.50","50","42645","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","41-0000","Sales and Related Occupations","6790","7340","550","8.1","4300","6220","13.59","11070","28272","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","41-1000","Supervisors of Sales Workers","910","1000","90","9.9","330","710","0.00","1130","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-1011","First-Line Supervisors of Retail Sales Workers","820","900","80","9.8","300","650","19.23","1030","40008","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-1012","First-Line Supervisors of Non-Retail Sales Workers","90","90","0","0.0","30","60","27.97","90","58179","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","41-2000","Retail Sales Workers","4840","5250","410","8.5","3580","4680","0.00","8670","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-2011","Cashiers","2190","2340","150","6.8","2020","2250","12.89","4420","26814","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-2021","Counter and Rental Clerks","230","240","10","4.3","120","180","17.36","310","36103","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-2022","Parts Salespersons","120","130","10","8.3","50","100","21.22","160","44131","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-2031","Retail Salespersons","2290","2540","250","10.9","1390","2140","12.60","3780","26200","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","41-3000","Sales Representatives, Services","460","460","0","0.0","140","380","0.00","520","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-3021","Insurance Sales Agents","130","90","-40","-30.8","40","70","17.12","70","35603","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-3031","Securities, Commodities, and Financial Services Sales Agents","70","90","20","28.6","20","60","23.54","100","48973","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-3099","Sales Representatives, Services, All Other","220","240","20","9.1","70","220","0.00","310","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","41-4000","Sales Representatives, Wholesale and Manufacturing","430","460","30","7.0","140","330","0.00","500","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","30","40","10","33.3","10","30","41.07","50","85420","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","390","420","30","7.7","120","300","37.58","450","78172","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","41-9000","Other Sales and Related Workers","160","170","10","6.3","120","120","0.00","250","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-9022","Real Estate Sales Agents","30","30","0","0.0","10","10","14.07","20","29272","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","41-9099","Sales and Related Workers, All Other","50","60","10","20.0","20","50","17.22","80","35832","High school diploma or equivalent","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","43-0000","Office and Administrative Support Occupations","10290","10860","570","5.5","5170","7160","19.34","12900","40233","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-1000","Supervisors of Office and Administrative Support Workers","750","810","60","8.0","290","530","0.00","880","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-1011","First-Line Supervisors of Office and Administrative Support Workers","750","810","60","8.0","290","530","25.58","880","53189","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-3000","Financial Clerks","1730","1780","50","2.9","950","1060","0.00","2060","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-3011","Bill and Account Collectors","80","70","-10","-12.5","30","60","17.54","80","36474","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-3021","Billing and Posting Clerks","250","300","50","20.0","110","180","19.83","340","41236","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-3031","Bookkeeping, Accounting, and Auditing Clerks","1030","1040","10","1.0","630","570","20.62","1210","42885","Some college, no degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-3051","Payroll and Timekeeping Clerks","220","230","10","4.5","110","140","22.51","260","46819","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-3071","Tellers","130","130","0","0.0","60","90","15.48","150","32182","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-4000","Information and Record Clerks","2290","2460","170","7.4","1160","1800","0.00","3130","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4031","Court, Municipal, and License Clerks","150","150","0","0.0","70","70","21.11","140","43920","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4051","Customer Service Representatives","800","800","0","0.0","380","680","16.15","1060","33585","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4061","Eligibility Interviewers, Government Programs","50","50","0","0.0","20","30","26.68","50","55494","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4071","File Clerks","60","50","-10","-16.7","30","30","12.31","50","25617","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4081","Hotel, Motel, and Resort Desk Clerks","90","80","-10","-11.1","50","100","0.00","140","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4111","Interviewers, Except Eligibility and Loan","270","360","90","33.3","160","230","17.59","480","36576","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4121","Library Assistants, Clerical","40","40","0","0.0","30","30","14.70","60","30584","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4131","Loan Interviewers and Clerks","210","240","30","14.3","80","140","22.16","250","46112","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4151","Order Clerks","40","40","0","0.0","20","30","20.74","50","43131","Some college, no degree","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","120","110","-10","-8.3","40","90","0.00","120","0","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4171","Receptionists and Information Clerks","340","400","60","17.6","220","280","14.23","560","29591","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-4199","Information and Record Clerks, All Other","90","100","10","11.1","50","60","20.31","120","42250","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-5000","Material Recording, Scheduling, Dispatching, and Distributing Workers","2100","2510","410","19.5","1020","1660","0.00","3090","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5031","Police, Fire, and Ambulance Dispatchers","70","70","0","0.0","30","40","26.19","70","54480","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5032","Dispatchers, Except Police, Fire, and Ambulance","110","130","20","18.2","40","70","19.24","130","40017","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5051","Postal Service Clerks","50","50","0","0.0","20","20","29.91","40","62213","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5052","Postal Service Mail Carriers","180","170","-10","-5.6","60","70","29.38","120","61086","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5061","Production, Planning, and Expediting Clerks","140","150","10","7.1","50","100","25.03","160","52063","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5071","Shipping, Receiving, and Traffic Clerks","240","290","50","20.8","90","170","19.17","310","39884","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5081","Stock Clerks and Order Fillers","1150","1430","280","24.3","650","1070","0.00","2000","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","110","140","30","27.3","60","80","18.91","170","39331","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-6000","Secretaries and Administrative Assistants","1720","1660","-60","-3.5","870","1030","0.00","1840","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-6011","Executive Secretaries and Executive Administrative Assistants","240","200","-40","-16.7","110","130","33.72","200","70130","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-6012","Legal Secretaries","60","60","0","0.0","30","40","23.95","70","49809","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-6013","Medical Secretaries","280","350","70","25.0","160","190","15.28","420","31783","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1140","1060","-80","-7.0","560","670","22.65","1150","47105","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","43-9000","Other Office and Administrative Support Workers","1680","1620","-60","-3.6","870","1070","0.00","1880","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-9021","Data Entry Keyers","40","30","-10","-25.0","20","20","12.53","30","26047","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-9022","Word Processors and Typists","70","40","-30","-42.9","30","30","19.92","30","41431","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-9041","Insurance Claims and Policy Processing Clerks","160","100","-60","-37.5","50","80","16.64","70","34609","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-9061","Office Clerks, General","1250","1260","10","0.8","700","800","16.94","1510","35234","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","43-9199","Office and Administrative Support Workers, All Other","150","160","10","6.7","70","120","15.39","200","32028","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","45-0000","Farming, Fishing, and Forestry Occupations","11070","11260","190","1.7","4410","13650","13.10","18250","27258","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","45-1000","Supervisors of Farming, Fishing, and Forestry Workers","580","590","10","1.7","210","650","0.00","870","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","580","590","10","1.7","210","650","12.82","870","26660","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","45-2000","Agricultural Workers","10460","10640","180","1.7","4190","12960","0.00","17330","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2011","Agricultural Inspectors","30","40","10","33.3","20","40","24.96","70","51909","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2041","Graders and Sorters, Agricultural Products","420","410","-10","-2.4","170","440","12.59","600","26176","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2091","Agricultural Equipment Operators","610","700","90","14.8","260","810","17.84","1160","37116","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","7240","7420","180","2.5","2910","9060","13.03","12150","27113","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","1970","1890","-80","-4.1","770","2380","12.59","3070","26176","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","45-2099","Agricultural Workers, All Other","110","110","0","0.0","40","140","24.40","180","50766","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","45-4000","Forest, Conservation, and Logging Workers","30","30","0","0.0","10","40","0.00","50","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","47-0000","Construction and Extraction Occupations","2340","2630","290","12.4","800","1920","20.61","3010","42885","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","47-1000","Supervisors of Construction and Extraction Workers","190","220","30","15.8","60","150","0.00","240","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","190","220","30","15.8","60","150","28.81","240","59934","High school diploma or equivalent","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","47-2000","Construction Trades Workers","1920","2140","220","11.5","640","1550","0.00","2410","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2031","Carpenters","370","370","0","0.0","120","270","30.95","390","64374","High school diploma or equivalent","None","Apprenticeship"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2051","Cement Masons and Concrete Finishers","120","140","20","16.7","40","100","16.92","160","35180","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2061","Construction Laborers","550","610","60","10.9","190","450","14.67","700","30513","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2073","Operating Engineers and Other Construction Equipment Operators","130","150","20","15.4","50","120","28.30","190","58863","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2081","Drywall and Ceiling Tile Installers","110","110","0","0.0","30","80","33.80","110","70308","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2111","Electricians","100","110","10","10.0","30","90","0.00","130","0","High school diploma or equivalent","None","Apprenticeship"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2141","Painters, Construction and Maintenance","130","140","10","7.7","50","90","16.99","150","35334","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2152","Plumbers, Pipefitters, and Steamfitters","240","290","50","20.8","80","210","19.28","340","40104","High school diploma or equivalent","None","Apprenticeship"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-2181","Roofers","40","50","10","25.0","10","40","26.68","60","55504","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","47-3000","Helpers, Construction Trades","60","70","10","16.7","20","60","0.00","90","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","47-4000","Other Construction and Related Workers","110","130","20","18.2","60","90","0.00","170","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","47-4051","Highway Maintenance Workers","30","30","0","0.0","10","20","29.64","30","61654","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","47-5000","Extraction Workers","60","80","20","33.3","20","70","0.00","110","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","49-0000","Installation, Maintenance, and Repair Occupations","3320","3550","230","6.9","1080","2250","21.95","3560","45643","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","49-1000","Supervisors of Installation, Maintenance, and Repair Workers","250","270","20","8.0","80","160","0.00","260","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","250","270","20","8.0","80","160","34.65","260","72078","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","49-2000","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","150","180","30","20.0","50","140","0.00","220","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","49-3000","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","1220","1270","50","4.1","360","860","0.00","1270","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3021","Automotive Body and Related Repairers","90","90","0","0.0","30","60","22.10","90","45980","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3023","Automotive Service Technicians and Mechanics","450","450","0","0.0","120","310","16.19","430","33683","Postsecondary non-degree award","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","220","250","30","13.6","70","150","20.55","250","42740","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3041","Farm Equipment Mechanics and Service Technicians","170","190","20","11.8","60","120","23.96","200","49834","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","80","90","10","12.5","30","60","27.76","100","57746","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-3093","Tire Repairers and Changers","160","150","-10","-6.3","50","120","12.91","160","26864","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","49-9000","Other Installation, Maintenance, and Repair Occupations","1700","1840","140","8.2","590","1100","0.00","1830","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","40","50","10","25.0","10","30","29.14","50","60619","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","130","150","20","15.4","40","100","23.86","160","49640","Postsecondary non-degree award","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9041","Industrial Machinery Mechanics","470","530","60","12.8","160","300","31.08","520","64646","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9043","Maintenance Workers, Machinery","80","90","10","12.5","30","50","22.61","90","47023","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9071","Maintenance and Repair Workers, General","740","780","40","5.4","270","470","19.43","780","40430","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","49-9099","Installation, Maintenance, and Repair Workers, All Other","70","70","0","0.0","30","50","18.59","80","38671","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","51-0000","Production Occupations","6040","6090","50","0.8","2500","4780","15.61","7330","32462","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-1000","Supervisors of Production Workers","510","530","20","3.9","170","370","0.00","560","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-1011","First-Line Supervisors of Production and Operating Workers","510","530","20","3.9","170","370","35.00","560","72812","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-2000","Assemblers and Fabricators","190","180","-10","-5.3","70","140","0.00","200","0","N/A","N/A","N/A"
