"contactid","topic","phone_number","organization","department","website","email","address","searchterms","_24hour","emergency"
"246","Cross Walk Light Operation","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS","No","No"
"247","Crown Secretary","780-449-1300","Prosecutor Court Clerk",,,,"20 Blackfoot Rd",,,
"248","Culvert - New/Blocked","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"249","Curb Cock Locates - C.C.","780-467-7785","Strathcona County","Utilities","/departments/utilities/",,,,,
"953","Dandelions","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"250","Dandelions on County Land - Urban","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"251","Dangerous Goods - Permits","780-467-5216","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"252","Dangerous Goods - Route Maps","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"253","Day Homes","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"254","Dead Animal on Road","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"255","Dead Bird - Test for West Nile Virus","780-427-3574","Government of Alberta","Fish and Wildlife",,,,,,
"256","Dead Cat on Road","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"257","Deaf Line (TTY to Voice)","711","Telus",,,,,,,
"258","Death Certificate - Sioux Road","780-417-5283","Sherwood Park Registries",,,,,,,
"259","Death Certificate - Wye Road","780-417-7300","Registry on Wye",,,,"25, 99 Wye Road",,,
"260","Deck Permits","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"261","Deer Hunting ","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"262","Demographics","780-464-8252","Strathcona County","Corporate Planning and Intergovernmental Affairs","/departments/corporate-planning/",,,"CPIA",,
"263","Demolition Permit - Commercial","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/permitting/commercial-and-industrial-permitting/",,,"PDS",,
"265","Demolition Permit - Residential","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"268","Development Agreement","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"269","Development Appeal","780-464-8136","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"270","Development Permit","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"271","Dial Before You Dig (Also Call Shaw)","780-490-3555","Shaw Cable",,,,,,,
"272","Dial Before You Dig (Also Call Strathcona County)","780-467-7785","Strathcona County","Utilities - Water and Wastewater Services",,,,,,
"274","Directory Assistance - Local","411","Telus",,,,,,,
"275","Directory Assistance - Long Distance","780-555-1212","Telus",,,,,,,
"276","Disaster Planning","780-410-8550","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"277","Discharge of Mortgage","780-427-2742","Government of Alberta","Service Alberta",,,"10365 - 97 Street, Edmonton",,,
"278","Ditches/Drainage - Rural","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"279","Dog - Control, Licensing, Catcher, Complaint","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"280","Dog - Doggie Bag Dispensers and Waste Receptacles","780-416-6729","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"954","Doggie Bag Dispensers/Temporary Signs","780.400.2028","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"281","Dog - Mess in Yard","780-342-4600","Alberta Health Services",,,,,,,
"282","Dog - Off-Leash Area Maintenance","780-416-6729","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,"south of Twp Rd 522 & west of Hwy 21","RPC",,
"285","Dog/Pet  - Burial on Owner's Land","780-342-4600","Alberta Health Services",,,,,,,
"283","Dog - Pound","780-471-1774","Edmonton Humane Society",,,,"13620-163 Street, Edmonton",,,
"284","Dog - Rural Pet Keeping","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"955","Dogs - in Parks","780.400.2028","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"286","Donation Receipt","780-464-8187","Strathcona County","Financial Services","/departments/financial-services/",,,"FIN",,
"287","Donation to Give","780-464-8103","Strathcona County","Office of the Elected Officials","/local-government/mayor-councillors/councillors/",,,,,
"956","Drainage - along Pathways","780.417.7100","Strathcona County","Transportation and Agriculture Services",,,,"TAS",,
"288","Drainage - Blocked Culvert (Rural)","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"289","Drainage - Lot Grading of Urban and Newer Homes","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"290","Drainage - Parks ","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"291","Driver's License Registry - Sioux Road","780-417-5283","Sherwood Park Registries",,,,"104 - 52 Sioux Road",,,
"292","Driver's License Registry - Wye Road","780-417-7300","Registry on Wye",,,,"25, 99 Wye Road",,,
"293","Driveway - Changing","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"294","Driveway - Lowering curb level","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"295","Driveway - New Application","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"296","Driving Comments re: County Vehicles","780-417-7170","Strathcona County","Fleet Services","/departments/fleet-services/",,,"FLEET",,
"297","Driving Comments re: Transit Drivers","780-464-7433","Strathcona County","Transit","/departments/transit/",,,,"No","No"
"298","Ducks, Moose","780-427-3574","Government of Alberta","Alberta Environment (Fish and Wildlife)",,,,,,
"299","Dugouts","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"300","Dumping - Illegal dumping and/or Garbage","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"302","Dumping Station for RVs - Seasonal","780-992-6248","Fort Saskatchewan RV Dump Station",,,,"11121-88 Ave",,,
"303","Duplex Sites for Sale","780-464-8065","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"305","Dutch Elm Disease - Private","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"308","Easements","780-464-8065","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"309","Eastgate Lake (behind Sherwood Park Mall) Grass Areas","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"310","Eco Station - Ambleside","780-442-5311","Eco Station",,"www.edmonton.ca/programs_services/garbage_waste/eco-station-ambleside.aspx",,"Ambleside: 14710 Ellerslie Road South",,,
"311","Eco Station - Coronation","780-442-5311","Eco Station",,"www.edmonton.ca/programs_services/garbage_waste/eco-station-coronation.aspx",,"Coronation: 11440 - 143 Street",,,
"312","Eco Station - Kennedale","780-442-5311","Eco Station",,"www.edmonton.ca/programs_services/garbage_waste/eco-station-kennedale.aspx",,"Kennedale: 5355 - 127 Avenue (Opening Spring 2015)",,,
"313","Eco Station - Old Strathcona","780-442-5311","Eco Station",,"www.edmonton.ca/programs_services/garbage_waste/eco-station-strathcona.aspx",,"Strathcona:  5150 - 99 Street",,,
"314","Edmonton Citizen Action Centre","780-496-8200","City of Edmonton","Edmonton Citizen Action Centre",,,,,,
"316","Edmonton Waste Management Center","780-442-5311","City of Edmonton","Edmonton Waste Management","www.edmonton.ca/programs_services/garbage_waste/edmonton-waste-management-centre.aspx ",,"13111 Meridian (1st) Street NE",,,
"317","Education - Continuing Education","780-467-7292","Elk Island Public School Board",,,,,,,
"318","Education - Elk Island Catholic School","780-467-8896","Elk Island Catholic School Board",,"www.eics.ab.ca",,"160 Festival Way   fax:  467-5469",,,
"319","Education - Elk Island Public School","780-464-3477","Elk Island Public School Board",,"www.eips.ca",,"683 Wye Road       fax:  417-8181 ",,,
"320","Elder Abuse","780-464-7233","A Safe Place",,,,,,"Yes",
"321","Election Information","780-464-8157","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"323","Electrical Permit","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"324","Electrical Permit - Booking Inspections","780-464-8169","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"322","Electric/Gas Service Provider for Strathcona County Buildings","780-464-8408","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"325","Electronic Coke Board - Wye Road","780-464-0801","Chamber of Commerce",,,,,,,
"327","Elk Island National Golf Course","780-998-3161","Elk Island National Golf Course",,,,,,,
"328","Elk Island National Park","780-922-5790","Elk Island National Park",,"www.pc.gc.ca/eng/pn-np/ab/elkisland/index.aspx",,,,"No","No"
"957","Emerald Hills Regional Park","780.400.2064","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"330","Emergency Preparedness - Emergency Guides","780-410-8550","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"331","Emergency Services","780-467-5216","Strathcona County","Emergency Services","/departments/emergency-services/",,"Station 6  915 Bison Way","EMS",,
"332","Employment ","780-467-7331","Strathcona County","Human Resources","/departments/human-resources/careers/ ",,,"HR",,
"333","Employment Insurance (EI)","1-800-206-7218","Government of Canada","Service Canada",,,,,,
"334","Employment Opportunities","780-464-7000","Government of Alberta","Alberta Works",,,,,,
"335","Encroachments","780-410-6524","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"336","Energy Centre - Community","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,,,
"337","Energy Exploration Committee","780-416-6739","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"338","Enforcement Services","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,"911 Bison Way, Sherwood Park (with RCMP)","RCMP",,
"342","Environmental, Municipal Reserve and Conservation Easements","780-464-8144","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"339","Environment Canada - General","780-951-8600","Government of Canada","Environment Canada",,,,,,
"340","Environment Canada - Weather Data ","780-951-8881","Government of Canada","Environment Canada",,,,,,
"341","Environment Hotline","1-800-222-6514","Government of Canada","Environment Canada",,,,,,
"343","Enviroservice","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,,,
"344","Equipment for Auction","780-467-5869","Strathcona County","Fleet Services","/departments/fleet-services/",,,"FLEET",,
"345","Facility Booking - Community Center/County Hall","780-410-8505","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"346","Facility Booking - Glen Allan Recreation Complex","780-467-4404","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"347","Facility Booking - Kinsmen Leisure Centre","780-464-2112","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"348","Facility Booking - Millennium Place","780-416-3300","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"349","Facility Booking - Rural Bookings","780-922-3377","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"350","Facility Booking - Sherwood Park Arena","780-467-2211","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"958","Fairy Rings","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"351","Family and Community Services","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"352","Family and Social Services","780-464-7000","Government of Alberta",,,,"85 Cranford Way",,,
"353","Family Day Homes","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"354","Farm Assistance Program","780-310-4455","Government of Alberta","Agriculture and Rural Development","www.agric.gov.ab.ca",,,,"No","No"
"359","Federal Government Information","1-800-662-6232","Government of Canada",,"www.canada.gc.ca",,,,,
"360","Fence - Building","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"361","Fence - Paint Colour Information (RPC)","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"959","Fences - County-Owned , Chain Link, Pipe Rail, Boarded","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"362","Fertilizer","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"960","Fertilizing (except SAP, SAL, MP)","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"363","Festival Place - Administration","780-464-2852","Festival Place",,"www.festivalplace.ab.ca",,"100 Festival Way                 ",,,
"364","Festival Place - Ticketmaster Outlet ","780-449-3378","Festival Place",,"www.festivalplace.ab.ca",,,,,
"365","Fiber Optics - County Owned","780-464-7285","Strathcona County","Information and Technology Services","/departments/information-technology-services/",,,"ITS",,
"366","Fiber Optics - Telus/Shaw","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"367","Fiber Optics - Traffic Ops","780-464-8282","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"368","Field/Ball Diamond Closures ","780-467-5800","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","Automated",
"369","Final Inspection Report - Commercial","780-464-8215","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"370","Final Inspection Report - Commercial","780-464-8131","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"371","Final Inspection Report - Residential","780-464-8264","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"372","Final Inspection Report - Residential","780-464-8133","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"373","Final Inspection Report - Residential","780-416-7290","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"374","Financial Assistance","780-464-7000","Government of Alberta","Alberta Family and Social Services",,,,,,
"381","Firearm Discharge Regulations ","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"382","Firearm Permit","780-495-7799","Government of Alberta","Chief Firearms Officer",,,"#720, 10909 Jasper Ave. Edmonton",,,
"383","Firearm Safety Course","780-466-6682","Alberta Hunter Education",,"www.aheia.com/",,,,,
"375","Fire Chief","780-467-5216","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"376","Fire Hydrant Flush","780-467-7785","Strathcona County","Utilities","/departments/utilities/",,,,,
"377","Fire Permit - Fire Pits, Brush Burning","780-449-9651","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"961","Fire Pits - County owned - incl spark rests","780.200.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC","No","No"
"378","Fire Protection Systems","780-464-8215","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"379","Fire Protection Systems","780-464-8131","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"380","Fire Works Permit","780-449-9651","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"384","First Aid","780-410-6508","Strathcona County","Human Resources","/departments/human-resources/",,,"HR",,
"385","First Aid - Courses","780-464-8468","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"387","Fish and Game - Sherwood Park","780-467-0085","Sherwood Park Fish and Game Association",,,"info@spfga.org","P.O. Box 3098, Sherwood Park AB T8H 3T1",,,
"388","Fish and Wildlife - Government of Alberta","780-427-3574","Government of Alberta","Fish and Wildlife",,,,,"No","No"
"389","Fishing and Hunting License","780-922-5515","Country Mercantile Store","Fish and Wildlife",,,"21273 Wye Road, Sherwood Park, AB   T8G 1C7",,,
"390","Fishing and Hunting License - Canadian Tire","780-449-1577","Canadian Tire","Fish and Wildlife",,,"169 Ordze Avenue, Sherwood Park, AB  T8A 4L7",,,
"391","Fishing and Hunting License - Esso","780-467-4630","Esso","Fish and Wildlife",,,"51073 HIGHWAY 21, Sherwood Park, AB  T8B 1K5",,,
"392","Fishing and Hunting License - Ministik Services","780-662-2358","Sai Ministik Service Incorporated","Fish and Wildlife",,,"21348 HIGHWAY 14, Sherwood Park, AB  T8G 1G1",,,
"393","Fishing and Hunting License - Mohawk Millshaven","780-464-1334","Mohawk","Fish and Wildlife",,,"2 Main Boulevard, Sherwood Park, AB  T8A 3W8",,,
"394","Fishing and Hunting License - Sherwood Park Archery Lanes","780-464-0017","Sherwood Park Archery Lanes","Fish and Wildlife",,,"429 Sioux Road, Sherwood Park, AB T8A 4H2",,,
"395","Flags (County) - To Borrow","780-464-8103","Strathcona County","Corporate Services",,,,,,
"396","Flower Beds/Flowers","780-464-8181","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"962","Flowers, Flower Beds","780.464.8181","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"399","FOIP Inquiries","780-464-8219","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"400","Food Bank (9:00 - noon Mon-Fri)","780-449-6413","Strathcona Food Bank",,,,"255 Kaska Road",,,
"402","Freedom of Information and Protection of Privacy","780-464-8299","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS","No","No"
"404","Funerals - Connelly McKinley","780-468-2222","Connelly-McKinley",,,,,,,
"403","Funeral Services Regulatory Board","780-452-6130","Alberta Funeral Services Regulatory Board",,"www.afsrb.ab.ca/","afsrb@telusplanet.net","11810 Kingsway Avenue, Alberta, Canada T5G 0X5",,,
"405","Funerals - Glenwood Memorial","780-467-3337","Glenwood Memorial Gardens",,,,,,,
"406","Funerals - Park Place","780-417-8000","Park Place Funeral Home",,,," 51 Broadway Blvd",,,
"407","Funerals - Serenity","780-998-1422","Serenity Funeral Service",,,,,,,
"408","Furnace Inspections - ATCO","780-424-5222","ATCO Gas",,,,,,,
"409","Furnace inspections - County","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"410","Future Development","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"411","Garage Sales","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"412","Garbage - General Inquiry/Garbage Not Picked Up","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,,,
"413","Garbage - Health Risk","780-342-4600","Alberta Health Services",,,,"2 Brower Dr, Baseline Rd, Sherwood Park, AB T8H 1V4",,,
"414","Garbage - Illegal Dumping","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"415","Garbage - Info","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,"organics, green routine, waste, green cart, black cart, blue bag, recycling",,
"416","Garbage - Neighbour's Yard","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"417","Garbage - On Recreational Grounds/Walkway","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"418","Garbage - On Road To Be Picked Up ","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"419","Garbage - Pickup From Highways as Fundraiser","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"420","Garbage - Pickup In Parks, Volunteer","780-464-8476","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"422","Gas - Direct Energy Emergency","780-420-5585","Direct Energy",,,,,,"Yes","Yes"
"425","Gas/Electric Service Providers for Strathcona County","780-464-8408","Strathcona County","Utilities","/departments/utilities/",,,,,
"423","Gas Permit","780-464-8064","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"424","Gas Permit","780-416-7266","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"426","Geese","1-800-563-9453","Canadian Wildlife Federation",,,,,,,
"427","GIS Maps","780-464-8255","Strathcona County","Information and Technology Services","/departments/information-technology-services/",,,"ITS",,
"964","Glass - in sand at playgrounds","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"428","Glen Allan Recreational Centre (GARC)","780-464-4404","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,"199 Georgian Way","RPC",,
"963","Goal Posts","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"429","Gopher","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"430","Gopher - In Recreation, Parks and Culture Fields","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"431","Gopher - Poison","780-998-3437","UFA",,,,,,,
"433","Government MLA - Ft. Sask/Vegreville (Prov)Jessica Littlewood  (ND)","780-992-6560","Government of Alberta",,,,"9925B - 104 St.  Ft. Sask.  T8L 2E7",,"No","No"
"434","Government MLA - Sherwood Park (Prov)Annie McKitrick (ND)","780-417-4747","Government of Alberta",,,," 116B Village Park Mall, 937 Fir St. Sh.Pk. T8A 4N6",,"No","No"
"435","Government MLA, Strathcona (Prov)Estefania Cortes-Vargas (ND)","780-416-2492","Government of Alberta",,,,"#19, 99 Wye Road  Sh. Pk",,"No","No"
"432","Government MP - Sherwood Park - Fort Saskatchewan (Federal)Garnett Genuis","780-467-4944","Government of Canada",,,,"2018 Sherwood Drive Suite 214",,"No","No"
"436","Government of Canada","1-800-662-6232","Government of Canada",,"www.canada.gc.ca",,,,,
"439","Grading certificates - New Homes","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"438","Grading - Lots (Residential)","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"965","Graffiti","780.464.8176","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"440","Graffiti - Anti Graffiti Wraps","780-464-8176","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"441","Grass Clippings - Disposal","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,,,
"967","Grass Cutting - Deermound Dog Off-Leash Park","780.417.7100","Strathcona County","Transportation and Agriculture Services",,,,"TAS",,
"442","Grass Cutting - Rural Roadsides/Ditches","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"443","Grass Cutting - Schools, Parks, Boulevards","780-464-8495","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"966","Grass - Sideyard Issues/Letters","780.464.8495","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"444","Gravel","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"445","Guardrail Maintenance","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"448","Handicap Parking Sticker - Sioux Road","780-417-5283","Sherwood Park Registries",,,,,,,
"449","Handicap Parking Sticker - Wye Road","780-417-7300","Registry on Wye",,,,"25, 99 Wye Road",,,
"450","Handicap Stalls in Parking Lots","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"451","Health Inspectors","780-342-4600","Alberta Health Services","Capital Health Centre",,,"2 Brower Drive, Sherwood Park, AB",,,
"452","Health Link Alberta","1-866-408-5465","Health Link Alberta",,,,,,"Yes",
"455","Heavy and Wide Load Permit","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"968","Herbicides","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"969","Heritage Mile - Paving Stone","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"970","Heritage Parkway - Signs","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"456","Heritage Trail - Design","780-464-8117","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"457","Heritage Trail - Maintenance,Heritage Mile, Fountain, etc.","780-400-2064","Strathcona County","Recreation Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"458","Heritage Trail - Signs/Heritage Parkway","780-400-2062","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"464","Highways Maintenance","1-800-390-2242","EMCON Services Inc.",,,,,,"No","No"
"463","Highways - Roadside Development","780-963-5711","Alberta Transportation and Utilities","Infrastructure",,,,,,
"465","Hire-a-Student","780-416-4159","Chamber of Commerce",,,,,,,
"466","History of Strathcona County","780-464-8022","Strathcona County","Communications","/departments/communications/",,,"COM",,
"467","Home Care - Homemakers","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"468","Home Care - Nursing","780-342-4600","Alberta Health Services","Capital Health Centre",,,,,,
"469","Home Occupation - Home Based Business","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"470","Horses On Road","1-866-509-2088","Livestock Identification Services",,,,,,,
"471","Horticulturist","780-464-8181","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"472","Hospital ","780-449-5380","Alberta Health Services",,,,"9000 Emerald Drive",,,
"473","Host Liquor license Liability Insurance","780-464-8472","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"474","Housing and Consumer Info","780-427-4088","Government of Alberta",,,,,,,
"475","Housing Co-op","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"972","Ice Depth Checks/Thin Ice signs","780.400.2064","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"477","Ice Rental - Glen Allan Recreation Complex","780-467-4404","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"478","Ice Rental - Millennium Place","780-416-3300","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"479","Ice Rental - Rural Bookings (SOC, ARC, Moyer)","780-922-3377","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"480","Ice Rental - Sherwood Park Arena","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"481","Ice Rink - Repairs","780-400-2062","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"482","Ice Skating on Ponds - Broadmoor Lake Only","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"971","Ice & Water Safety","780.464.8013","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"483","Immunization","780-342-4600","Alberta Health Services",,,,"2 Brower Drive, Sherwood Park, AB",,,
"484","Imperial Oil","780-449-8520","Imperial Oil",,,,,,,
"485","Imperial Refinery","780-449-8571","Imperial Strathconal Refinery",,,,,,,
"486","Income Tax Help For Seniors/Disabled/Low Income","780-464-4242","Strathcona County","Volunteer Centre (IVC)",,,,,"No","No"
