"fy_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","actual_amount_disbursed","proposed_qualified_investment_attracted","actual_qualified_investment_attracted","committed_number_of_new_jobs","total_projected_jobs","actual_net_new_jobs","new_hires_relocated_to_mi","actual_new_hires_for_period","educational_attainment_less_than_a_high_schooldiploma","educational_attainment_high_school_diploma_or_equivalent","educational_attainment_advanced_training_certificate","educational_attainment_some_colleg","educational_attainment_associate_degree","educational_attainment_bachelor_s_degree","educational_attainment_master_s_degree","educational_attainment_doctorate_degree"
"FY14","Herbruck Poultry Ranch Inc.","2014-04-25T00:00:00.000","Ionia and Saranac","Ionia","Expansion","Grant","500000.00","0.00","33000000.00","0.00","50","50","0","0","0","0","0","0","0","0","0","0","0"
"FY14","Mahindra North American Technical Center Inc.","2014-04-28T00:00:00.000","Troy","Oakland","New","Grant","500000.00","0.00","1912854.00","6047000.00","112","112","61","2","61","0","4","18","0","1","19","16","3"
"FY14","Toyoda Gosei North America Corp.","2014-05-14T00:00:00.000","Troy","Oakland","Expansion","Grant","250000.00","0.00","7951500.00","0.00","51","51","11","0","11","0","0","0","0","1","6","3","1"
"FY14","Challenge Manufacturing Company LLC","2014-05-27T00:00:00.000","Pontiac","Oakland","Expansion","Grant","2500000.00","0.00","50000000.00","0.00","450","450","-199","0","0","0","0","0","0","0","0","0","0"
"FY14","SolarBos","2014-06-04T00:00:00.000","Walker","Kent","New","Grant","250000.00","0.00","884000.00","500000.00","50","56","5","1","5","0","0","0","3","1","1","0","0"
"FY14","Cascade Die Casting Group","2014-06-05T00:00:00.000","Sparta and Gaines Township","Kent","Expansion","Grant","275000.00","0.00","5336000.00","159500.00","50","50","16","0","29","0","20","2","3","3","1","0","0"
"FY14","Ventra Ionia Main LLC","2014-06-09T00:00:00.000","Ionia","Ionia","Expansion","Grant","500000.00","0.00","8504539.00","1780220.00","144","137","0","0","0","0","0","0","0","0","0","0","0"
"FY14","Hirotec America Inc.","2014-07-01T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","1000000.00","0.00","26000000.00","427166.00","130","140","33","0","33","0","0","33","0","0","0","0","0"
"FY14","Medbio Inc. ""","2014-07-08T00:00:00.000","Cascade Township","Kent","Expansion","Grant","180000.00","0.00","3393000.00","0.00","45","45","0","0","0","0","0","0","0","0","0","0","0"
"FY14","NEMO Capital Partners LLC","2014-07-11T00:00:00.000","Southfield","Oakland","New","Grant","500000.00","0.00","2150000.00","1900000.00","125","125","22","8","19","0","5","1","0","3","7","3","0"
"FY14","S&P Data Michigan LLC","2014-07-14T00:00:00.000","Troy","Oakland","New","Grant","1000000.00","0.00","4380546.00","150000.00","400","421","40","0","40","2","32","0","4","0","2","0","0"
"FY14","Walbro Engine Management LLC","2014-07-14T00:00:00.000","Cass City","Tuscola","Expansion","Grant","165000.00","0.00","4150000.00","127000.00","25","28","16","0","16","0","9","0","3","2","2","0","0"
"FY14","Roush Industries Inc.","2014-07-18T00:00:00.000","Livoni a and Allen Park","Wayne","Expansion","Grant","1000000.00","0.00","8700775.00","0.00","210","210","38","0","38","1","18","8","3","3","4","0","1"
"FY14","Suniva, Inc.","2014-07-22T00:00:00.000","Saginaw Township","Saginaw","New","Grant","2500000.00","0.00","12225000.00","2500000.00","350","350","7","3","7","0","3","0","1","0","3","0","0"
"FY14","HA Automotive Systems Inc.","2014-07-22T00:00:00.000","Troy","Oakland","New","Grant","2250000.00","0.00","28800000.00","3300000.00","368","368","0","0","0","0","0","0","0","0","0","0","0"
"FY14","Anchor Coupling Inc.","2014-07-24T00:00:00.000","Menominee","Menominee","Expansion","Grant","1000000.00","0.00","9056000.00","1093863.00","110","110","11","0","11","0","7","1","3","0","0","0","0"
"FY14","Middleville Tool & Die Company Inc.""","2014-07-30T00:00:00.000","Yankee Springs Township","Barry","Expansion","Grant","350000.00","0.00","6300000.00","0.00","35","35","0","0","0","0","0","0","0","0","0","0","0"
"FY14","North American Lighting Inc.14","2013-12-10T00:00:00.000","Farmington Hills","Oaldand","Expansion","Grant","300000.00","0.00","6842000.00",,"76","76",,,,,,,,,,,
"FY14","Futuramic","2014-01-16T00:00:00.000","Detroit","Wayne","Relocation","Grant","600000.00","0.00","20030000.00",,"100","103",,,,,,,,,,,
"FY14","Urban Science Applications Inc.","2014-01-17T00:00:00.000","Detroit","Wayne","Expansion","Grant","700000.00","0.00","2084105.00",,"126","126",,,,,,,,,,,
"FY14","Borgwamer Inc.","2014-03-25T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","3200000.00","0.00","11000000.00",,"180","200",,,,,,,,,,,
"FY14","AvaSure","2014-05-14T00:00:00.000","Belmont","Kent","Expansion","Grant","550000.00","0.00","1896400.00",,"110","110",,,,,,,,,,,
"FY14","WKW Roof Rail Systems LLC","2014-06-04T00:00:00.000","Battle Creek","Calhoun","New","Grant","950000.00","0.00","22842000.00",,"186","186",,,,,,,,,,,
"FY14","Eissmann Automotive Port Huron LLC","2014-07-15T00:00:00.000","Port Huron","St. Clair","New","Grant","850000.00","0.00","13550000.00",,"225","233",,,,,,,,,,,
"FY14","INZI Controls Detroit LLC","2014-07-18T00:00:00.000","Rochester Hills","Oakland","New","Grant","150000.00","0.00","4105000.00",,"61","64",,,,,,,,,,,
"FY14","Brembo North America Inc.'","2014-07-22T00:00:00.000","Albion Township","Calhoun","Expansion","Grant","2000000.00","0.00","78428651.00",,"0","254",,,,,,,,,,,
"FY14","Celia Corporation","2014-07-28T00:00:00.000","Sparta","Kent","Expansion","Grant","233000.00","0.00","4175000.00",,"50","50",,,,,,,,,,,
"FY14","Flow-Rite Controls Ltd.","2014-07-30T00:00:00.000","Byron Center","Kent","Expansion","Grant","224000.00","0.00","6055552.00",,"64","64",,,,,,,,,,,
"FY14","Duffey Petrosky & Company","2014-08-04T00:00:00.000","Farmington Hills","Oakland","Expansion","Grant","1000000.00","0.00","912708.00",,"204","204",,,,,,,,,,,
"FY14","Unified Business Technologies Inc.","2014-08-08T00:00:00.000","Troy","Oakland","Expansion","Grant","650000.00","0.00","17174800.00",,"150","171",,,,,,,,,,,
"FY14","Transform Automotive LLC","2014-08-08T00:00:00.000","Shelby Charter Township","Macomb","Expansion","Grant","550000.00","0.00","41946000.00",,"77","77",,,,,,,,,,,
"FY14","Toyota Motor Engineering & Manufacturing, N.A. Inc.","2014-08-26T00:00:00.000","Saline","Washtenaw","Expansion","Grant","4000000.00","0.00","32500000.00",,"250","250",,,,,,,,,,,
"FY14","Neogen Corporation","2014-08-28T00:00:00.000","Lansing","Ingham","Expansion","Grant","100000.00","0.00","1035000.00",,"25","25",,,,,,,,,,,
"FY14","Topsy Labs Inc.14","2013-08-26T00:00:00.000","Kalamazoo","Kalamazoo","Expansion","Grant","350000.00","0.00","170000.00",,"35","35",,,,,,,,,,,
"FY14","ADP Dealer Services Inc.","2014-09-01T00:00:00.000","Detroit","Wayne","Expansion","Grant","1000000.00","0.00","3590000.00",,"100","100",,,,,,,,,,,
"FY14","American Axle & Manufacturing","2014-09-05T00:00:00.000","Detroit","Wayne","Expansion","Grant","1000000.00","0.00","15400000.00",,"75","75",,,,,,,,,,,
"FY14","Costco Wholesale Corporation","2014-09-08T00:00:00.000","Belleville","Wayne","New","Grant","450000.00","0.00","47890000.00",,"126","126",,,,,,,,,,,
"FY14","International Business Machines Corporation","2014-09-08T00:00:00.000","East Lansing","Ingham","Expansion","Grant","500000.00","0.00","200000.00",,"100","100",,,,,,,,,,,
"FY14","Hannigan Insurance Agency LLC","2014-09-12T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","400000.00","0.00","516000.00",,"75","75",,,,,,,,,,,
"FY14","Dicastal North America Inc.'","2014-09-17T00:00:00.000","Greenville","Montcalm","New","Grant","3500000.00","0.00","139616538.00",,"300","300",,,,,,,,,,,
"FY14","Android Industries-Detroit LLC","2014-09-17T00:00:00.000","Detroit","Wayne","Expansion","Grant","500000.00","0.00","16487341.00",,"100","131",,,,,,,,,,,
"FY14","Plasan Carbon Composites Inc.","2014-09-17T00:00:00.000","Walker","Kent","Expansion","Other","6000000.00","0.00","29022000.00",,"620","620",,,,,,,,,,,
"FY14","Nexthermal Corporation","2014-09-19T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","250000.00","0.00","1964000.00",,"50","50",,,,,,,,,,,
"FY14","Sunrise Windows","2014-09-23T00:00:00.000","Bedford Township","Monroe","Expansion","Grant","350000.00","0.00","5101675.00",,"75","96",,,,,,,,,,,
"FY14","Harman-Novi","2014-09-30T00:00:00.000","Novi","Oakland","Expansion","Grant","800000.00","0.00","44889000.00",,"150","150",,,,,,,,,,,
"FY14","Magna Exteriors and Interiors USA Inc. ","2014-01-29T00:00:00.000","China Township","St. Clair","Expansion","Grant","1329000.00","0.00","3639100.00","0.00","443","443","274","0","274","7","251","0","13","2","1","0","0"
"FY14","Eberspticher North America Inc.","2014-02-25T00:00:00.000","Brighton","Livingston","Expansion","Grant","4500000","0.00","122000000.00","3700000.00","545","545","150","0","150","0","111","0","0","0","39","0","0"
"FY14","Challenge Manufacturing Company LLC 14","2014-07-22T00:00:00.000","Lansing","Clinton","Expansion","Grant","2300000.00","0.00","65500000.00",,"420","420",,,,,,,,,,,
"FY14","Lauren Plastics LLC","2013-11-15T00:00:00.000","Spring Lake Township","Ottawa","Expansion","Grant","300000.00","150000.00","7063000.00","0.00","70","71","20","0","20","0","7","0","5","7","0","1","0"
