"fiscal_year_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","cumulative_amount_disbursed","total_projected_investment_1","actual_private_investment_2","new_jobs_committed_3","actual_new_jobs_created_4","new_jobs_created_that_are_not_temporary_5","average_annual_salary_of_new_jobs","other_economic_assistance","status_of_loans_stage","duration_of_economic_assistance_years"
"2015","Lippert Components Manufacturing, Inc.","2014-10-16T00:00:00.000","Sterling Heights","Macomb","Expansion","Grant","200000","100000","1668000","891813","102","0","54","37131","0","Monitoring","4.21"
"2015","Greenfield Die & Manufacturing Corp.","2014-10-28T00:00:00.000","Plymouth","Wayne","Expansion","Grant","2000000","460000","42968954","0","128","30","57","65000","0","Monitoring","6.21"
"2015","Magna International of America, Mimco Inc.","2014-10-28T00:00:00.000","Plymouth Township","Wayne","Expansion","Grant","3000000","0","59227000","0","466","0","100","37000","0","Monitoring","4.18"
"2015","Thomson Reuters (Tax & Accounting) Inc.","2014-10-28T00:00:00.000","Pittsfield Township","Washtenaw","Expansion","Grant","2400000","0","19866000","1309050","300","0","19","49933","0","Monitoring","7.18"
"2015","Mobis North America, LLC","2014-10-28T00:00:00.000","Plymouth","Wayne","Expansion","Grant","1250000","250000","26570000","14200000","121","28","62","84500","0","Monitoring","4.34"
"2015","LTC Roll & Engineering","2014-10-29T00:00:00.000","Cottrellville","St. Clair","Expansion","Grant","450000","0","8550000","0","90","0","2","35608","0","Monitoring","5.09"
"2015","Fullerton Tool Company, Inc.","2014-10-31T00:00:00.000","Saginaw","Saginaw","Expansion","Grant","430000","0","8044884","795936","58","0","7","28950","0","Monitoring","5.17"
"2015","Shanghai SIIC Automotive Electric Company STEC","2014-11-05T00:00:00.000","Madison Heights","Oakland","New","Grant","700000","0","15097200","1605665","176","0","7","104700","0","Monitoring","8.16"
"2015","TG Fluid Systems USA Corporation","2014-11-21T00:00:00.000","Brighton","Livingston","Expansion","Grant","150000","0","12934128","12000000","36","0","53","27990","0","Monitoring","4.58"
"2015","Founders Brewing Company","2014-11-25T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","250000","0","40400000","30000000","72","0","22","42200","0","Monitoring","5.02"
"2015","Covisint, L.L.C.","2014-11-25T00:00:00.000","Southfield","Oakland","Expansion","Grant","1500000","0","5500000","2786600","50","0","14","92800","0","Monitoring","6.10"
"2015","Alcoa Howmet","2014-11-26T00:00:00.000","Whitehall","Muskegon","Expansion","Grant","285000","0","16734500","2205297","25","0","0","0","0","Monitoring","6.10"
"2015","DAVID Corporation","2014-12-05T00:00:00.000","Livonia","Wayne","Expansion","Grant","150000","69000","418180","1113594","26","13","16","84812","0","Monitoring","4.95"
"2015","Loc Performance Products, Inc.","2014-12-16T00:00:00.000","Plymouth","Wayne","Expansion","Grant","600000","400000","12140000","2161665","95","50","54","32271","0","Monitoring","5.13"
"2015","Paslin Company","2014-12-16T00:00:00.000","Warren","Macomb","Expansion","Grant","1700000","1000000","20612000","8000","200","100","80","63014","0","Monitoring","5.67"
"2015","Brose North America, Inc.","2014-12-16T00:00:00.000","New Boston","Wayne","Expansion","Grant","4250000","1250000","97600000","3720701","475","154","112","25750","0","Monitoring","7.52"
"2015","Fori Automation","2014-12-19T00:00:00.000","Shelby Township","Macomb","Expansion","Grant","250000","0","9900000","9036748","52","0","25","65158","0","Monitoring","5.04"
"2015","NHK International Corporation","2014-12-29T00:00:00.000","Novi","Oakland","Expansion","Grant","150000","0","9000000","0","26","0","10","63981","0","Monitoring","5.01"
"2015","Irwin Seating Company","2014-12-30T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","300000","0","1900000","0","60","0","40","28080","0","Monitoring","4.93"
"2015","TI Automotive LLC","2015-01-20T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","500000","0","7033133","0","97","0","2","79500","0","Monitoring","6.17"
"2015","Forest River Products","2015-01-27T00:00:00.000","White Pigeon","St. Joseph","New","Grant","350000","0","7080000","0","396","0","0","0","0","Monitoring","5.93"
"2015","Cargill Kitchen Solutions","2015-01-30T00:00:00.000","Lake Odessa","Ionia","Expansion","Grant","262500","0","27512000","14815539","35","0","33","32489","0","Monitoring","4.17"
"2015","Orbbec 3D Technology International, Inc.","2015-02-03T00:00:00.000","Troy","Oakland","New","Grant","300000","0","3228118","679960","40","0","4","50000","0","Monitoring","6.05"
"2015","OMT VEYHL USA CORPORATION","2015-02-11T00:00:00.000","Holland","Ottawa","Expansion","Grant","750000","0","9831700","1680596","206","0","47","33124","0","Monitoring","4.91"
"2015","Sensient Flavors","2015-02-11T00:00:00.000","Harbor Beach","Huron","Expansion","Grant","150000","0","31850000","0","28","0","16","45276","0","Monitoring","6.93"
"2015","MIG Molding","2015-02-12T00:00:00.000","Almont","Lapeer","Expansion","Grant","105000","0","1242422","0","32","0","16","27125","0","Monitoring","2.44"
"2015","Gentherm Incorporated","2015-02-19T00:00:00.000","Northville","Oakland","Expansion","Grant","750000","0","8442500","5477515","150","0","51","97265","0","Monitoring","6.10"
"2015","Denso Manufacturing Michigan, Inc.","2015-02-26T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","640000","640000","56635500","90433048","100","100","207","31052","0","Monitoring","2.74"
"2015","KUKA Systems North America LLC","2015-03-03T00:00:00.000","Clinton Township","Macomb","Expansion","Grant","900000","0","14400000","7130255","116","0","29","53414","0","Monitoring","4.83"
"2015","Superior Industries International Inc.","2015-03-16T00:00:00.000","Southfield","Oakland","Relocation","Grant","900000","336000","2517000","0","75","24","29","122435","0","Monitoring","7.54"
"2015","Detroit Diesel Corporation","2015-03-24T00:00:00.000","Detroit","Wayne","Expansion","Grant","1300000","0","208000000","106000000","245","0","210","86000","0","Monitoring","5.04"
"2015","Emhart Teknologies","2015-03-27T00:00:00.000","Chesterfield","Macomb","Expansion","Grant","350000","0","32871000","11700000","83","0","27","45229","0","Monitoring","5.11"
"2015","Plasan North America","2015-03-30T00:00:00.000","Walker","Kent","New","Grant","850000","0","12330000","0","121","0","10","60050","0","Monitoring","5.01"
"2015","Atomic Object, LLC","2015-04-13T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","250000","0","2942700","0","33","0","4","68764","0","Monitoring","5.29"
"2015","Sakthi Auto Group USA","2015-04-28T00:00:00.000","Detroit","Wayne","Expansion","Grant","3500000","0","31865000","0","350","0","190","40290","0","Monitoring","6.68"
"2015","Terryberry Company","2015-05-01T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","250000","0","2650000","0","53","0","27","29312","0","Monitoring","5.06"
"2015","Harloff Manufacturing Company","2015-05-04T00:00:00.000","Paw Paw","Van Buren","Relocation","Grant","158000","30000","920250","653000","38","5","5","31752","0","Monitoring","4.66"
"2015","Hearthside Food Solutions","2015-05-06T00:00:00.000","Kentwood","Kent","Expansion","Grant","450000","0","10698400","10316018","91","0","129","22360","0","Monitoring","2.66"
"2015","Bmax USA","2015-05-11T00:00:00.000","Pontiac","Oakland","New","Grant","250000","0","1348900","250000","26","0","1","50000","0","Monitoring","5.06"
"2015","Michigan Brand","2015-06-04T00:00:00.000","Frankenmuth","Saginaw","Expansion","Grant","250000","0","4785000","0","94","0","30","21000","0","Monitoring","3.91"
"2015","Magna Cosma International","2015-06-08T00:00:00.000","New Hudson","Oakland","New","Grant","1600000","0","56088310","0","250","0","0","0","0","Monitoring","4.90"
"2015","Ferrous CAL Co.","2015-06-08T00:00:00.000","Gibraltar","Wayne","Expansion","Other","6000000","2000000","50200000","0","25","0","0","0","6000000","Monitoring","35.95"
"2015","Magna Seating of America Inc.","2015-06-19T00:00:00.000","Novi","Oakland","Expansion","Grant","984000","0","65191000","0","164","0","0","0","0","Monitoring","5.46"
"2015","Mico Industries","2015-06-19T00:00:00.000","Kentwood","Kent","Expansion","Grant","350000","0","8186955","0","81","0","0","0","0","Monitoring","5.22"
"2015","Agape Plastics, Inc.","2015-06-19T00:00:00.000","Grand Rapids","Ottawa","Expansion","Grant","300000","0","14715000","3706130","54","0","10","26520","0","Monitoring","5.10"
"2015","ZF North America, Inc.","2015-06-23T00:00:00.000","Northville","Wayne","New","Grant","4000000","0","71198290","0","571","0","0","0","0","Monitoring","7.54"
"2015","Spirit Airlines","2015-06-23T00:00:00.000","Romulus","Wayne","New","Grant","1000000","0","31710000","2210139","84","0","7","55028","0","Monitoring","4.44"
"2015","Shepherd Caster Corporation","2015-07-07T00:00:00.000","St. Joseph","Berrien","Expansion","Grant","350000","0","1549000","1300000","50","0","30","47840","0","Monitoring","4.49"
"2015","Shift Digital","2015-07-15T00:00:00.000","Birmingham","Oakland","Expansion","Grant","465000","0","2481687","0","93","0","0","0","0","Monitoring","5.19"
"2015","YFS Automotive Systems, Inc.","2015-07-28T00:00:00.000","Romulus","Wayne","New","Grant","1300000","0","26900000","0","162","0","2","90000","0","Monitoring","4.93"
"2015","CW Bearing USA, Inc.","2015-08-12T00:00:00.000","Northville Township","Wayne","New","Grant","550000","0","24900000","0","125","0","0","0","0","Monitoring","6.97"
"2015","Magna Dexsys (Norplas)","2015-08-26T00:00:00.000","Delta Township","Eaton","Expansion","Grant","640000","0","10555252","0","192","0","0","0","0","Monitoring","4.02"
"2015","Hearthside Food Solutions","2015-08-26T00:00:00.000","Kentwood","Kent","Expansion","Grant","300000","0","15678894","0","66","0","0","0","0","Monitoring","3.35"
"2015","Coyote Logistics","2015-09-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","320000","0","990800","0","80","0","0","0","0","Monitoring","5.34"
"2015","Valiant International, Inc.","2015-09-22T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","2300000","0","32690000","0","223","0","0","0","0","Monitoring","5.61"
"2015","Carhartt, Inc.","2015-09-22T00:00:00.000","Dearborn","Wayne","Expansion","Grant","1350000","0","19340000","0","215","0","0","0","0","Monitoring","3.02"
"2015","Neapco Drivelines, LLC","2015-09-22T00:00:00.000","Belleville","Wayne","Expansion","Grant","1500000","0","57700000","0","167","0","0","0","0","Monitoring","6.47"
