"ubicacion","departamentopais","municipio","direccion","codigo_postal","telefono","email","horario","latitud","longitud"
"PV. ZONA CENTRO","SANTANDER","BUCARAMANGA","KR 16 37 85 CENTRO","680006","(7)6521796",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.117346236569756","-73.12523803122765"
"PV. VALLEDUPAR","CESAR","VALLEDUPAR","KR 11 17 34","200001","(5)5744076",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.471861338538456","-73.24694043440681"
"PV. AEROPUERTO CUCUTA","NORTE DE SANTANDER","CUCUTA","AV 8 2N 30 ZONA INDUSTRIAL","540001","(7)5870929",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.928504158485895","-72.50204244858092"
"PV. CUCUTA AV QUINTA","NORTE DE SANTANDER","CUCUTA","AV 5 13 94 LC 2 CENTRO","540006","(7)5838397",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.883079890915324","-72.50306128105562"
"PV. OCAÑA","NORTE DE SANTANDER","OCAÑA","CERRADO",,"CERRADO",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","8.246666","-73.355196"
"PV. BARBOSA","SANTANDER","BARBOSA","CL 8 N 9 50","684511","(7)7486116",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.932040125881506","-73.61806745218885"
"PV. BARRANCABERMEJA","SANTANDER","BARRANCABERMEJA","CL 49 CON KR 11 ESQUINA","687033","(7)6111431",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.058766385452408","-73.8666277336775"
"PV. CC LA FLORIDA","SANTANDER","FLORIDABLANCA","CL 31A 26 89 LC 210","681004","(7)6390888",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.069658481159669","-73.10493970573914"
"PV.ZONA INDUSTRIAL - GIRÓN","SANTANDER","GIRON","KILOMETRO 4 VIA GIRON BUCARAMANGA CENTRO EMPRESARIAL EL BUE BD 2","680004","(7)6970847 EXT 7075",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.08693624434873","-73.1339662887096"
"PV. SAN GIL","SANTANDER","SAN GIL","KR 10 10 50","684031","(7)7241809",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.553493255488748","-73.13218299096317"
"PV. SOCORRO","SANTANDER","SOCORRO","KR 14 15 ESQUINA","683551","(7)7275792",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.468563640347577","-73.26121222809714"
"PV. ARAUCA","ARAUCA","ARAUCA","CL 22 19 54","810001","(7)8851862",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.086549033990428","-70.7570207537874"
"PV. PRINCIPAL","TOLIMA","IBAGUÉ","KR 5 N 31 28 ED ORTHOREIR","730006","(608)2629290",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.439483605858796","-75.22148057014638"
"PV. SAN MIGUEL","TOLIMA","IBAGUÉ","KR 4 N 11 110 CENTRO","730006","(608)2624139",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.4444747730846235","-75.24018045653823"
"PV. BERLIN","TOLIMA","IBAGUÉ","KR 16 SUR 90 66 PARQUE EMPRESARIAL BERLIN","730005","(608)2771595 Ext.8042",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.41997821061163","-75.1819150850534"
"PV.JORDAN","TOLIMA","IBAGUÉ","CL 61B N 5 84L 4 JORDAN 1 ETAPA","730002","(608) 2745884",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.43623425758165","-75.2027570318199"
"PV. FLORENCIA","CAQUETA","FLORENCIA","CL 12 N 12 13 CENTRO","180001","(608)4347576",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.61250263959996","-75.6134666625235"
"PV. NEIVA","HUILA","NEIVA","CL 7 N 6 36","410010","(608)8711552",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","2.926517609384741","-75.28720589253503"
"PV. ZONA INDUSTRIAL NEIVA","HUILA","NEIVA","CL 29A SUR 4 37 ZONA INDUSTRIAL SUR NEIVA","410006","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","2.89968658905902","-75.2815547106112"
"PV. LAS GRANJAS","HUILA","NEIVA","AV 26 42 05 BARRIO LAS GRANJAS","410001","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","2.9506758298443887","-75.28994695691968"
"PV. GIRARDOT","CUNDINAMARCA","GIRARDOT","KR 11 N 18 06 ED TELECOM","252432","(601)8351675",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.297089728694466","-74.8067201090887"
"PV.LA PLATA","HUILA","LA PLATA","KR 5 N 4 28 BARRIO PAEZ","415060","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","2.388652907266793","-75.89203970186324"
"PV. PITALITO","HUILA","PITALITO","CL 2 N 3 20","417030","(608)8360118",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.8488765621104655","-76.04825046775039"
"PV. ESPINAL","TOLIMA","ESPINAL","CL 11 N 6 20","733520","(608)2483533",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.150153792095294","-74.88573839302036"
"PV.GUAMO","TOLIMA","GUAMO","CL 11 N 13 08 CENTRO","733540","(608)2270121",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.032171134950098","-74.9741163745076"
"PV. LIBANO","TOLIMA","LIBANO","KR 9 N 5 10","731040","(608)2564759",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.923495847692138","-75.06237052549011"
"PV.FLORIDABLANCA","SANTANDER","FLORIDABLANCA","CL 198 36 15 BARRIO COOVIFLORIDA","681003","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.065065965748887","-73.08473300547084"
"PV AVENIDA CIRCUNVALAR","RISARALDA","PEREIRA","AV CIRCUNVALAR 8B 51 ED BANCAFE LC 103","660003","(606) 3419513",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.80747711637193","-75.6863155174815"
"PV.MAJAYURA","GUAJIRA","RIOHACHA","KR 15 N 9 49","440001","(5)7295380",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.547894158786255","-72.91503666588059"
"PV. MELGAR","TOLIMA","MELGAR","CL 6 22 56 BARRIO EL CENTRO","734001","(608)2454842",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.205756464621301","-74.64180120292414"
"PV AMBALA","HUILA","CAMPOALEGRE","KR 20 63 31/37 LC 5 BARRIO AMBALA","413020",,,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","0","0"
