"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"169","DELICIAS DEL VALLE","CL 23 2 C  06","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"170","CABALLERO PENAGOS YOHANA","CR 9  8  23","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"171","EXEDRA S.A.S","CL 18 11 116 OF. 302","SECTOR SERVICIOS","2020","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"172","EINELECO INGENIERIA","CR 1 B ESTE 7 04","SECTOR SERVICIOS","2015","3320","Instalación especializada de maquinaria y equipo industrial."
"173","TECNOLOGY STORE YM","CL 10 8 50","SECTOR SERVICIOS","2015","96","Otras actividades de servicios personales"
"174","MISCELANEA JEYUDI","CR 5 5 A 08","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"175","PINZON PINZON SANDRA MARGARITA","CL 24 3 03","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"176","CRUZ VELASQUEZ MARTHA CECILIA","CL 7 7 64","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"177","FAMA SANTA MARIA/FAMA EL CEBU","CR 10 7 A 70 CR 10 7A-80","SECTOR COMERCIAL","2016","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"178","ALMACEN PARA EL HOGAR","PLAZA DE MERCADO LOCAL 85","SECTOR COMERCIAL","2016","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"179","VILLARRAGA BEJARANO MARIA EVANGELINA","CL 8 9 50 LC 53","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"180","CASTRO GUZMAN SORAIDA PATRICIA","CL 10 9 55","SECTOR INDUSTRIAL","2020","1811","Actividades de impresión."
"181","VARIEDADES  YORIANA","CR 2 E 19 23","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"182","MONTAÑO CORREA OLGA LUCIA","CR 1 E 20 A 38","SECTOR COMERCIAL","2019","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"183","PANADERIA SEBASTIAN","CARRERA 2 No. 23 41","SECTOR INDUSTRIAL","2020","1081","Elaboración de productos de panadería."
"184","FAJARDO DEVIA DORALY","CL 8 7 41 LC 2","SECTOR COMERCIAL","2020","6190","Otras actividades de telecomunicaciones."
"185","TRANSPORTE","CL 7 A 13 13","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"186","VARIEDADES ANGIE LORENA","CL 8 9 80","SECTOR COMERCIAL","2016","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"187","ALDANA PABON GREICY JAZMIN","CARRERA 8 No. 7-25","SECTOR COMERCIAL","2020","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"188","J.E CONSTRUCTORA SAS","CL 2 6 05","SECTOR SERVICIOS","2020","4111","Construcción de edificios residenciales."
"189","SORHEZ SAS","CL 10 B 9 06 OF. 201","SECTOR SERVICIOS","2020","4290","Construcción de otras obras de ingeniería civil."
"190","INFINITY DECORACIONES","CR 9  10 23  LC  1","SECTOR COMERCIAL","2015","4751","Comercio al por menor de productos textiles en establecimientos especializados"
"191","SUAREZ  BLANCA  LIGIA","KM 65 VIA BOGOTA-GIRARDOT- CHINAUTA","SECTOR ECONÓMICO NO DECLARADO","2020","5511","Alojamiento en hoteles."
"192","JUYA RAMIREZ MIGUEL ANGEL","CR 9 10 A 12","SECTOR ECONÓMICO NO DECLARADO","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"193","PARQUEADERO FUSACATAN","CR 2 21 75","SECTOR SERVICIOS","2020","5210","Almacenamiento, parqueaderos y depósitos."
"194","PEREZ RODRIGUEZ MARIA ADELA","EL  TRIUNFO BOQUERON-CUNDI/CA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"195","MACOSER J H","CL 10 8 63","SECTOR COMERCIAL","2017","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"196","SALAMANCA GOMEZ DEIFAN FANNY","AV GERANIAS CON OCOBOS FCA VILLA YANETH","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"197","BUITRAGO BOHORQUEZ FLOR ALBA","CR 7 7 62","SECTOR COMERCIAL","2016","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"198","BAQUERO  GLORIA ISABEL","CL 24 2 D 21","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"199","URBANIZACION EL COMBOY","VIA PANAMERICANA","SECTOR SERVICIOS","2020","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"200","CAMACHO AROCA PRAXEDES","CR 17 A 3 A 03 NORTE","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"201","RAMIREZ BLANCA CECILIA","CL 21 66 20","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"202","QUINTERO DE OTAVO ALBA INES","CL 20 A 69 45","SECTOR SERVICIOS","2018","9602","Peluquería y otros tratamientos de belleza."
"203","SOTO RODRIGUEZ JOSE VICENTE","CL 10 8 09","SECTOR COMERCIAL","2019","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"204","TRANSPORTE","CR 68 21 A 29","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"205","DIMATE ROMERO BLANCA CECILIA","CL. 22  6 46  C. 11 CJ. TERRANOVA","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"206","SURTIDORAS DE POLLOS","CARRERA 97 # 59 04 BOGOTÁ/AV LAS PALMAS N0. 5 04","SECTOR COMERCIAL","2012","201","COMERCIAL"
"207","BRASA Y CANDELA MANILA","TV 12 22 42 LOCAL 105","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"208","CONFECCIONES MARGARET","CR 6 16 A 85","SECTOR INDUSTRIAL","2015","1410","Confección de prendas de vestir, excepto prendas de piel."
"209","SEMILLAS LA DECIMA","CL 7 A 11 14","SECTOR COMERCIAL","2017","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"210","GALEANO DE PALACIOS LUISA","CR 7 9 40","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"211","SIERRA RODRIGUEZ CLAUDIA MILENA","TV 12 16 B 26","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"212","GOMEZ DE ORTIZ ANA ALCIRA","CR 9 8 23","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"213","RODRIGUEZ VANEGAS JORGE ELIECER","CR 69  23 C 14 LLANO VERDE","SECTOR COMERCIAL","2016","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"214","ABRIL NUÑEZ MARTHA CAROLINA","AV LAS PALMAS  9 22  OFC 304","SECTOR SERVICIOS","2020","8622","Actividades de la práctica odontológica."
"215","BVQI COLOMBIA LTDA","CL 72 7 82  P3","SECTOR SERVICIOS","2019","7020","Actividades de consultaría de gestión."
"216","SIMPLE S.A","CR 5 7 25 PISO 2","SECTOR SERVICIOS","2017","6311","Procesamiento de datos, alojamiento (hosting) y actividades relacionadas."
"217","H Y G PAGOS ASISTIDOS SAS","CR 6 7 36 OF 214","SECTOR SERVICIOS","2020","7020","Actividades de consultaría de gestión."
"218","ROJAS RAMIREZ JORGE ENRIQUE","KM 65 VIA CHINAUTA - MELGAR","SECTOR SERVICIOS","2020","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"219","CARRILLO PADILLA JIMMY ANDERSON","KM 70 VIA MELGAR - GIRARDOT","SECTOR COMERCIAL","2019","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"220","MUÑOZ RAMIREZ ESTEFANIE ROSSANA","CR 5 9 48  LC 1","SECTOR INDUSTRIAL","2020","1082","Elaboración de cacao, chocolate y productos de confitería."
"221","IMC T DESIGN SAS","CR 14 16A 65","SECTOR FINANCIERO","2016","6422","Actividades de las compañías de financiamiento."
"222","CARO DE GUTIERREZ MARIA CELIA","CARRERA 2 # 1A 12","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"223","PEÑA DE UÑATE ANA ELSA","MZ B CS 59 EBEN EZER","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"224","CAMPOD E TEJO CLUB FUSAGASUGA","CR 4 5 35","SECTOR SERVICIOS","2016","9312","Actividades de clubes deportivos."
"225","CRUZ DE DIAZ ROSA IDALI","CR 3 11 A 05","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"226","MOGOLLON DE BELTRAN MARIA HELENA","CR 10 7 10","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"227","RODRIGUEZ BLANCA MARIA","CARRERA 8 No. 6-08","SECTOR INDUSTRIAL","2020","1410","Confección de prendas de vestir, excepto prendas de piel."
"228","VILLAREAL CUSTODIA","CL 2 2 E 68 B. CEDRITOS","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"229","HOTEL EL PARQUE ZABAL","CL 6 7 71","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"230","ALMACEN LUBRIREPUESTOS","CAMBIO NIT ARREGLO CEDULA RESOL NO. 0393","SECTOR COMERCIAL","2020","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"231","RESTAURANTE ASADERO MAMA MIRYAM","KM 64.5 VIA CHINAUTA","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"232","TPTE.MICROBUS  PL.SMB369 16 PASJ  TIERRA GRATA CHINAUTA","CR 2 11 B 25","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"233","VILLALOBOS BENAVIDES NOHORA NELLY","CL 23 13 18 BRR SAN MATEO","SECTOR SERVICIOS","2016","8511","Educación de la primera infancia."
"234","CENTRO NATURISTA Y ESOTERICO ANGELO","CL 5 N 1 B 03 ESTE","SECTOR COMERCIAL","2012","204","COMERCIAL"
"235","TRANSPORTE","CL 10 6 54","SECTOR SERVICIOS","2015","4921","Transporte de pasajeros."
"236","MORALES ULLOA TANIA","CR 6 9 60","SECTOR SERVICIOS","2019","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"237","GARCIA VILLAMIL YOLANDA","AV LAS PALMAS   6-48","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"238","DISEÑO DENTAL FUSA CONSULTORIO ODONTOLOGICO","CR 6 7 36 LC 201","SECTOR SERVICIOS","2013","93","OTRAS ACTIVIDADES DE SERVICIOS"
"239","EL BAUL DE LOS DETALLES","CL 2 N 9 63","SECTOR COMERCIAL","2012","206","COMERCIAL"
"240","MARTINEZ PINILLA LEYDY LORENA Y OTRA","TV 12 24 13   BARRIO SAN MATEO","SECTOR INDUSTRIAL","2020","2395","Fabricación de artículos de hormigón, cemento y yeso."
"241","VIDRIOS PEÑA","CL 10 9 19","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"242","CHISAGUANO VERGARA LUZ ADRIANA","CR 3 7 24  NORTE","SECTOR SERVICIOS","2017","6190","Otras actividades de telecomunicaciones."
"243","ANGEL NEME SONIA","PLAZA DE MERCADO LOCAL 181","SECTOR COMERCIAL","2017","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"244","BELTRAN JIMENEZ MARIA MARIELA","CL 17 9 34","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"245","C.C UNO A  LOCAL 42/NO REGISTRADO","CALLE 8 NO. 9 50","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"246","BETANCOURTH SANDRA","CR 11 20 18","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"247","HIDALGO RUIZ BLANCA NIEVES","CR 6 4 81","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"248","TORRES RAMIREZ OFELIA ROCIO","CR 7 6 43","SECTOR INDUSTRIAL","2017","3210","Fabricación de joyas, bisutería y artículos conexos."
"249","MARTINEZ PEÑALOZA GLORIA STELLA","CALLE 9D NO  4E 33 BELA VISTA","SECTOR COMERCIAL","2020","4769","Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados."
"250","CUBILLOS GUTIERREZ DORIS STELLA","CR 8 5 36","SECTOR SERVICIOS","2017","3319","Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p."
"251","POLICARPA INFANTE MARIA","VEREDA TIERRA NEGRA","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"252","CALZADO LA REBAJA II","CALLE 8 No. 9-50 LOCAL 104","SECTOR COMERCIAL","2017","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"253","TIENDA LA 55 FUSAGASUGA","CL 5 4 70","SECTOR COMERCIAL","2019","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"254","NO RPEORTADO","CL 12 12 47","SECTOR SERVICIOS","2020","1089","Elaboración de otros productos alimenticios n.c.p."
"255","NINGUNO REPORTADIO","CR 2 8 31","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"256","VIRGINIA CRISTANCHO ANA","CALLE 8 No. 9 50 L. 12","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"257","RIVERA TRIVIÑO MARTHA CECILIA","CL 1 NORTE 4 52","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"258","LUMARI JA","CR 6 15 04","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"259","RESTAURANTE EL PORVENIR PIQUETEADERO","CR 12 7A 16","SECTOR SERVICIOS","2015","5611","Expendio a la mesa de comidas preparadas."
"260","VALENCIA RUGE HERNAN ANDERSON","CRA 11 9 05","SECTOR SERVICIOS","2015","7500","Actividades veterinarias."
"261","NO REPORTA","CR 16 3 B05","SECTOR INDUSTRIAL","2015","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
"262","MAXIBELLEZA FUSAGASUGA","CL 5 1 51","SECTOR SERVICIOS","2015","9602","Peluquería y otros tratamientos de belleza."
"263","HARD COLORS","CR 7 9 53","SECTOR SERVICIOS","2015","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"264","CENTRO DE GIROS Y ENVIOS","CR 50 19 10","SECTOR SERVICIOS","2015","5310","Actividades postales nacionales."
"265","MINIMERCADO EL NEGRITO","TR 10 1 66","SECTOR COMERCIAL","2018","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"266","TIENDA DOÑA NANCY","CR 3 4 04","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"267","SURTIGUAYAS FUSAGASUGA","AV DE LAS PALMAS 17 28","SECTOR COMERCIAL","2016","4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores."
"268","VIVERO SANTA BARBARA","KILOMETRO 2 5 VIA LA AGUADITA","SECTOR COMERCIAL","2012","201","COMERCIAL"
"269","SANCHEZ VEGA MERCEDES","CR 1 7 09","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"270","TRANSPORTE","CL 1 A 1 56","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"271","MARTINEZ MARTINEZ JULIO CESAR","CARRERA 6 3-43","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"272","RIVERA BERNAL JOSE ALIRIO","CL 3 NORTE 12A-03 GAITAN","SECTOR COMERCIAL","2019","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"273","MEDIFUSACAR SAS","CL 3 BIS 26C-26 FUSAGASUGA","SECTOR SERVICIOS","2020","8691","Actividades de apoyo diagnóstico."
"274","DIEG´S SPORT","CL 8 8-05 LC 110","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"275","MUEBLES EL PALACIO DEL REY",,"SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"276","FERRELECTRICOS ALARCON","CR  9  10A  82","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"277","INGENIERIA ELECTRONICA SAS","CL  22  11A  08","SECTOR SERVICIOS","2017","6110","Actividades de telecomunicaciones alámbricas."
"278","MCS COLOMBIA SAS","CL  14  52  71","SECTOR SERVICIOS","2020","4390","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil."
"279","TALLER DE ORNAMENTACION Y COMPRA Y VENTA DE MUEBLES DE SEGUNDA","CR 10 4 74","SECTOR INDUSTRIAL","2020","2511","Fabricación de productos metálicos para uso estructural."
"280","CHALA RODRIGUEZ YESID EDUARDO","CR 7 5 38 /40","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"281","RUSSI KILBY SANDRA","CL 12  4 50","SECTOR COMERCIAL","2017","9311","Gestión de instalaciones deportivas."
"282","TRANSPORTE","CL 17 B 12 72","SECTOR SERVICIOS","2015","4921","Transporte de pasajeros."
"283","AUTOSERVICIO J.R.P.","CR 1 E 25 16","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"284","MORENO CELEITA VICTOR MANUEL","CARRERA 2 NO  6-64","SECTOR INDUSTRIAL","2020","1089","Elaboración de otros productos alimenticios n.c.p."
"285","MAKRO VIVIENDA CONSTRUCTORA INMOBILIARIA","TV 12 22 42 LC 115","SECTOR SERVICIOS","2015","4111","Construcción de edificios residenciales."
"286","ALMACEN EL PRINCIPE","CALLE 8 No. 7 24/26","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"287","TALLER DE ORNAMENTACION PUNTO DURO","TV 10 A 3 61 NORTE","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"288","FAMA CEBU","CL 19 1 12 BRR PABLO BELLO","SECTOR COMERCIAL","2012","201","COMERCIAL"
"289","TIENDA LA GORDA",,"SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"290","CASTAÑEDA GUTIERREZ ODILIO","AV LAS PALMAS  4 -37","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"291","TRNSPORTES AVICOLAS NACIONALES DE COLOMBIA S.A.S","CL 100 19 A 50 OF 805","SECTOR SERVICIOS","2019","4923","Transporte de carga por carretera."
"292","MANIQUI IN","CRA 6 7 36","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"293","ASOPROINCO ORGANIZACIÓN SINDICAL","TR 12 17 82","SECTOR SERVICIOS","2017","8430","Actividades de planes de seguridad social de afiliación obligatoria."
"294","MONTALLANTAS LA MACARENA","CL 2 15 08","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"295","DECORACIONES Y DISEÑOS","CL 71 21 26","SECTOR SERVICIOS","2015","9524","Reparación de muebles y accesorios para el hogar."
"296","TAPICERIA  JER","CR 7 16 54","SECTOR SERVICIOS","2020","9609","Otras actividades de servicios personales n.c.p."
"297","TALLER DE ARTE MANITAS CREATIVAS","CL 20 5 B 17","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"298","BAÑOS PUBLICOS","PLAZA DE MERCADO","SECTOR COMERCIAL","2019","4792","Comercio al por menor realizado a través de casas de venta o por correo."
"299","PARRA RICO MARIA NANCY","CR 3 8 08","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"300","EFECTY ESTADIO","CRA 6 16 86","SECTOR SERVICIOS","2020","5320","Actividades de mensajería."
"301","ALUMINIOS Y CRISTALES DE FUSA","CL 25 38A 10","SECTOR SERVICIOS","2015","4330","Terminación y acabado de edificios y obras de ingeniería civil."
"302","INMOBILIARIA BALMORAL","CARRERA 6 No.17 104/106","SECTOR SERVICIOS","2017","6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata."
"303","CAMPOS SACHICA JAIME","CL 16 C 16 36","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"304","EL OASIS HIPERMERCADO DE LA SALUD Y  LA BELLEZA","CR 8 6 40 LC 102","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"305","PARQUEADERO SEGUNDO GAITAN","CL 2 10 A 14 LT 2","SECTOR SERVICIOS","2017","5210","Almacenamiento, parqueaderos y depósitos."
"306","INGECOMPUTO.LB","CALLE 9 NO. 7-35","SECTOR SERVICIOS","2019","7110","Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica"
"307","RESTAURANTE BAR EL MANANTIAL","KILOMETRO 68 CHINAUTA","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"308","TRANSPORTE-COOTRANSFUSA","CR 18 A 56 14","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"309","MOKA CAFE BAR","C.C. MANILA  LC  87","SECTOR SERVICIOS","2013","55","HOTELES, RESTAURANTES, BARES Y SIMILARES"
"310","HOTELMONACO SPA","TV 12 19 A 30","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"311","CUBILLOS TAUTIVA RAUL","FINCA  SAN RAFAEL VDA  PALACIOS","SECTOR SERVICIOS","2020","9319","Otras actividades deportivas."
"312","TRANSPORTE UNITRAES (1) PLACAS SMA 177","CR. 13 18 52 AP. 201 VILLA COUNTRY","SECTOR COMERCIAL","2019","4921","Transporte de pasajeros."
"313","ALVAREZ  RAMON","DG 30 10 26","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"314","TALLER SURTIFRENOS VALERO","CR 2  5A 06 BRR PEKIN","SECTOR COMERCIAL","2017","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"315","DIAZ CASTELLANOS GILBERTO","CL 10 A 1 E 17","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"316","CAMPO DE TEJO VILLA SANDRA","CARRERA 11 # 7 17","SECTOR SERVICIOS","2016","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"317","ROMERO TORRES EDILBERTO","CARRERA 2A No. 25A-04","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"318","HERNANDEZ ARMANDO","CALLE 22 No. 73-48","SECTOR SERVICIOS","2017","9609","Otras actividades de servicios personales n.c.p."
"319","TALLER DE LATONERIA Y PINTURA EL AGUILA","CL 11 7 01","SECTOR SERVICIOS","2020","9609","Otras actividades de servicios personales n.c.p."
"320","AQUI LA RED","CR 5 7 08  APTO 204","SECTOR SERVICIOS","2015","6110","Actividades de telecomunicaciones alámbricas."
"321","REMONTADORA EL AMIGO","CALLE 7 # 7 55","SECTOR SERVICIOS","2020","9523","Reparación de calzado y artículos de cuero."
"322","RESTAURANTE CENADERO AGUAPANELO S","DG 16 D 2 D 40","SECTOR SERVICIOS","2015","5611","Expendio a la mesa de comidas preparadas."
"323","caseta udec /","CARRERA 9 No. 8-15","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"324","NINGUNO REPORTADO","TV 14 24 31 BRR SAN MATEO","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"325","SABOGAL MORENO LUIS ALFONSO","CALLE 7 No. 7 32","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"326","CANTOR QUINTANA ARMANDO","CARRERA 6 No. 3-49 NORTE","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"327","HELADERIA ARLEKIN","CL  17A  13  60","SECTOR SERVICIOS","2017","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"328","ZAMUDIO GARAVITO HEIDELBRTH","CL 22 61 56","SECTOR ECONÓMICO NO DECLARADO","2020","8730","Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas."
"329","MUÑOZ BALVUENA HECTOR MAURICIO","CL  10B  9  22 L 2","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"330","TIENDA LA MAYE GABRIELA","DG 19 0-35","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"331","TERRA SPORT E.U.","CL 11 7-33","SECTOR INDUSTRIAL","2017","1410","Confección de prendas de vestir, excepto prendas de piel."
"332","MENDOZA HERRERA RUPERTO","TV 12 14-29","SECTOR SERVICIOS","2020","5613","Expendio de comidas preparadas en cafeterías."
"333","BIOREPRODUCCION TECHNOLOGY GENETIC S SAS}","CRA 8 3-37","SECTOR SERVICIOS","2020","7500","Actividades veterinarias."
"334","LINEA  DE  VIDA AMBULANCIAS SAS","CL 8 2-45","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"335","BELTRAN SANCHEZ DIEGO IVAN","CRA 8 10 23","SECTOR SERVICIOS","2020","5210","Almacenamiento, parqueaderos y depósitos."
"336","CAUCHOS UNIVERSAL","CALLE  3  5  6","SECTOR COMERCIAL","2016","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"337","DANIELA RODRIGUEZ NAVARRO","CL  10A  9  21","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
